ISBN,書籍簡介
9789864085705,"


	《裝潢建材全能百科王》2020全新升級改版！
	2012年出版以來歷久不衰，年銷萬本，是挑選建材的暢銷經典。
	國內裝潢史上最完整、最實用的建材百科全書
	第一本圖鑑式概念的建材知識大全，
	教你精挑細選，買到超值又安心的建材！

	●280種居家常用建材X 550張建材圖鑑 X 1000個設計師建材運用秘技●
	※增加趨勢新建材！PTC自控溫遠紅外線地暖系統、美草塌塌米、白洲土

	自行發包要看、驗收監工要看、找設計師裝潢更要看，
	設計科系學生必修、設計職人必備專業工具書
	從入門到精通，裝潢絕不吃虧的終極學習，一定要認識建材，才能搞定工班及設計師！
	‧原來拋光石英磚也會吃色，設計師怎麼一開始沒告訴我？！
	‧我家住山上，特別潮溼，貼壁紙沒有問題嗎？
	‧好想要鋪實木地板，可是房子在一樓容易反潮，可以鋪嗎？
	‧家裡有寵物跟小孩又喜歡實木的質感，設計師推薦超耐磨地板，這真的有木頭的溫暖質感嗎？
	‧想要引光入室又怕被偷窺，難道除了用窗簾外，沒有其它的選擇了嗎？
	‧設計師說天花板要貼鏡面，可以讓空間變大，這是真的嗎？以後清理會不會不方便呢？
	‧超喜歡北歐風居家，好想要一面文化石牆面，要去哪裡找呢？有沒有保養上的問題呢？
	‧聽說黑心工班會將矽酸鈣板偷換成氧化鎂板，有什麼方法可以辨別？！
	‧來自大陸黑心貨不少，有些建材都含有毒的物質，要怎麼知道工班挑的建材，不是黑心貨？
	‧好喜歡白色大理石地板，可是設計師說難保養，難道沒有好保養的淺色大理石？
	‧復古磚跟拋光石英磚有何不同？為何價格比較貴呢？
	‧完工不到一年，拋光石英磚一片片都凸起破裂，是不是當初買到黑心建材，還是施工問題？！
	‧我家的木地板竟然用矽力康收邊，一點質感也沒有，有沒有其他的收邊材可以換掉？！

	全民裝修不可不知的建材萬用知識大全
	開工前，關於建材你要知道的事：
	各類建材的特性是什麼？種類有哪些？建材價格到底對不對，有沒有買貴？

	裝修中，關於建材你要知道的事：
	這樣的建材，工班的施工到底對不對？監工到底該注意什麼？

	完工後，關於建材你要知道的事：
	驗收時，該注意什麼？平日的清潔保養有沒有做對？

	開工前、裝修中、完工後三大基本流程中，你一定要清楚的建材基礎知識。
	有了這一本，你就知道該如何聰明挑、安心選、省時買，找到超值又有保障的建材，
	事前功課做得足，別再當花錢花時間的冤大頭！
	本書針對還沒裝修、開始要裝修、甚至已經裝修完工的全民，建立一套完整的建材知識系統，介紹250種你一定要知道的建材。直接針對材質特性、種類、挑選法則、施工監工驗收、事後清潔保養下手，詳細條列各項不可不知的建材基礎知識。
	本書以建材元素為分類，一一介紹石材、磚材、木素材、板材、塑料材、玻璃、塗料、壁紙、廚房設備、衛浴設備、門窗、窗簾、照明設備、趨勢新建材等基礎建材，並從上千個實際案例嚴選設計師常用的1000個經典法則和創新點子，1500張以上的精彩圖例，完整解答你在建材搭配上的疑惑，不用依賴設計師，也能自力進行居家風格改造！

	第一本圖鑑式概念的建材超百科全書，
	瞭解建材特性不稀奇，教你怎麼用才是王道！
	張張設計師的真實圖例告訴你，建材如何搭配才能發揮效用的最大值。

	∥建材真相全圖解∥沒圖沒真相，500張圖鑑帶你一一認識建材到底長怎樣。
	∥小資一族省錢術∥貨比三家不吃虧！各種建材列表比優劣、比價差，讓你精準掌握建材特色和市價。
	∥這樣挑才不後悔∥完全不藏私，業界才知道的挑選建材小訣竅一次告訴你。
	∥解析工法不被騙∥解析常用的施工方法，讓你面對工班也不害怕被騙。
	∥正確保養用得久∥平時保養做得好，讓你花小錢省大錢，延長需要重新裝潢的期限。
	∥搭配法則超嚴選∥挑了之後該怎麼配？從上千案例嚴選設計師1000個經典搭配法則，自力設計不求人。
	∥設計師私房推薦∥從設計師觀點出發，告訴你最想知道的建材CP值到底優不優。

"
9789864083459,"


	告別多此一舉的無效設計
	拒絕白撩錢的低效裝修
	富爸爸裝潢哲學，學到就是賺到!

	執業十年以上，輔導過近千位屋主的室內設計師邱柏洲，在不計其數的個案執行過程中，要有求必應不難，難在釐清自己的需要，並建立正確的心態。很多時候，為了避免花大錢省小錢，往往多做了許多低效能甚至零效能的無謂設計。
	如何能用最少的預算達成最大的裝潢效能？
	如何能不吃虧、不後悔的打造居家環境？
	如何能避免千金難買早知道？
	本書爬梳邱柏洲十年以來的實戰經驗，透露業界不明說的裝潢knowhow，教你如何從「心」出發，思慮盤算每個決定，適切裝潢裝修的心法，往往就在執行的細節中。

	★房市專家 SWAY
	★楊桃美食集團創辦人 蔡秉釗
	★【找到小家的味道】作者TINA聯名推薦

	★簡單生活不簡單FB粉絲團、早知道就把我家搞成這樣FB網路社團 齊聲喊讚！

"
9789865117702,"


	 

裝修0經驗也看得懂！

第一次裝修免心慌！

不管統包，還是找設計師，

都應該學的基礎裝修知識！

	 

	．做了天花板結果屋高變低超困擾

	．地板磁磚突然爆裂，是施工不良還是天氣的錯

	．油漆顏色怎麼選，看起來都不對勁，到底錯在哪裡

	．塗了油漆結果牆面起泡，還能補救嗎

	．系統家具怎麼做，才能真的省錢、撿便宜

	．燈光美、氣氛佳，但間接燈光灰塵堆積超難清！

	 

	根據天花、地板、牆面、照明、塗料、系統櫃，幾個常見居家裝修重點區域做為章節分類，章節中從設計、選材及施工面向做解析，讓讀者對於裝潢工程有基本認知，藉此

	便可確實掌握工程內容及進度，其中並提供施作完成實際案例，以便更具體了解完工樣貌，並在每個章節最後集結各種裝修問題，為讀者解決居家裝修時的迷思與困惑。

	 

本書特色

	○匯整基礎裝修知識，讓讀者容易了解。
	○詳細解說裝潢知識，為讀者解析各種裝修疑難雜症。
	○以區域做章節，方便閱讀者快速找到解答。

"
9789860600612,"


磁磚掉落、地板迸裂？！
	地表最強、超實用的泥作工大全來了
	超硬核的手把手步驟圖教學，裝修零經驗也好懂  
	房事保平安、裝修有保障，全靠這一本！


保障1
	房子會NG是泥作沒做好？！ 首度公開泥水界的真秘密
	裝修好吃驚，室內窗邊磁磚有裂痕，室外裂大縫，油漆乾裂、牆壁歪斜、地磚膨共，泥作也要負一半責。
	20個常見裝修建築出包QA，搞懂房子出的狀況，和泥作工法的選擇有密切關係，本書首度公開，教你正確的工法運用，防土水師ㄟ偷吃步。

保障2
	流鼻水、黏麻糬，有聽沒有懂？！一次聽懂土水師的行內話
	什麼叫黏條ㄚ、黏麻糬、流鼻水、ㄌㄚˋ土賽、拉毛和打毛，每一個技術裡面暗藏泥作知識大學問。
	麻糬就是黏灰誌，牆流鼻水是指粗底砂漿太濕沒抹平，隨地心引力往下沉。……專業用語不求人，快速聽懂泥作師工地暗號。

保障3
	順序錯裝修會GG？！拆解最到位的泥作工程順序
	從結構拆模板開始，有水泥的地方，就有泥作的事。
	先粗底才能水泥粉光，而且要等自然風乾，否則粉光容易裂。
	油漆牆不能直接貼磚，要先刮表層，打毛製造密密坑洞好黏貼。
	拆解泥作工程順序，從黏灰誌結構整平，一路開講步驟到貼磚砌隔間牆，連收邊法也全不藏私大公開。

保障4
	鯊魚劍工法施工最快？軟底大理石工法不能重壓？ 科普貼磚工法施工眉角
	泥作工法沒分好和壞，只分用對沒用對。資深泥作師傅經驗傳授施工眉角與禁忌。
	鯊魚劍法一次全室打底快快貼，用在這個地方，小心日後磁磚會裂掉。
	軟底大理石工法好控洩水坡度，平整度最好抓，就是剛貼磚不能大象踩步壓重量，小心變形。
	窗邊貼磚也有八塊肌，原來可以防磚裂，滲水危機超前部屬。

保障5
	超好懂的step by step工法步驟
	實地跟拍紀錄工法步驟， 輕鬆看圖學施工，老泥作師親傳工法要領，曝光魔鬼施工細節
	貼磚工法學問大，大理石工法X 濕式工法 X 硬底日式工法 X鯊魚劍騷底工法，有分磁磚類型和施工場所，不是你想怎麼貼就怎麼貼。
	牆壁陰角陽角美型收邊，45度鳥仔嘴倒角vs.收邊條訣竅

保障6
	10分鐘跟著行家挑磚長知識
	貼磚看工法，也要找對磚，5大空間 X 10大陷阱迷思 X 9大專有名詞，搞懂泥作貼磚大小事。
	大尺寸磁磚很美，要小心翹曲度，地磚最怕不平整
	浴室地磚首選要防滑，廚房自然要抗汙。
	必讀重點名詞：吸水率、硬度、翹曲度、耐磨、抗彎強度
	挑磚陷阱題：限量、價格超激安，背後有玄機；磁磚也分一二軍，小心被混包。

本書特色

	土水師ㄟ不傳技法全公開！
	實地拍攝、又強又實用、好操作的工法聖經。

	★牆壁漏水長壁癌、地磚膨共、牆歪一邊、油漆乾裂有皺紋、說好的浴室乾溼分離卻滿地都濕到底，惱人房事，就靠到位的泥作工法來解決。
	★不怕不肖工班偷吃步，美化家庭編輯部工地跟拍，貼身紀錄最優的泥作施工全過程。
	★挖寶資 #做工的人，圖解工法步驟，找出裝修NG解法。

"
9789864086320,"


	裝潢新手估價、分配預算一定要看的實用工具書
	就算只有50萬，只要跟著4大步驟做，
	也能用低預算作出有質感的家！

	預算，一直是裝潢族群相當在意的問題之一！無論小資族群還是白領階級的高薪者，總會有夢想中的居家品質、空間想法以及裝潢思考，當終於有了人生的第一棟房子時，付了頭期款，著手進行裝潢計劃卻發現存款所剩無幾，想精省裝修工程的預算，但是有哪些東西可以省？又有哪些卻是怎麼也不能省？省下預算，是否就代表著質感減分？不如就聰明花費，解決問題！

	看到別人家的美輪美奐，回頭看看自己辛苦掙來的新家，有限的預算內也想實踐自己的裝潢靈感、打造想要的居家空間怎麼辦？掌握屋況的裝潢通則，募集屋主們實際案例，聰明花費五十萬就打造出居家設計美感，分析如何把錢花得妙、效果好且功能佳的私房秘技，讓消費者從裝修工程的估價、控管預算，找對工班到對應完工成果，聰明花費做出讓親友都稱讚的居家新體驗。

本書特色


	．預算少，Step By Step解決裝潢問題：
	裝潢情境題，清楚易懂的圖表，說明五十萬能有那些不同的解決方案，預算分配方式。
	．該找誰，工種項目行情分析：
	羅列設計師、系統傢具、工班、訂製傢具等專業團隊的分析比較和優缺點，並解析工料市場行情價，不怕被削一筆。
	．全方位個案實例解析：
	募集屋主裝潢事件實例，如何聰明花費精簡費用，從傢具規格訂製、裝潢思考、工程工法等，解析把有限的預算花得妙、又能讓裝潢效果好的私房秘技。

"
9789864086153,"



30坪150萬，省錢裝潢全攻略，精簡費用也能老宅變成舒適宅！

		觀察過去幾季的房屋銷售數字，台北市每季老宅交易都有一定，數量屋齡40年以上的老宅交易占全部交易達3成以上，
		顯示出精華區老宅仍有相當高的市場性，由此可見，越來越多預算有限的年輕人願意用屋齡來換較低的房價。但20年以上的老屋裝潢，預算要怎麼抓才不會口袋空空？

		■老屋病症關鍵：老屋體質總檢查，把隱形危險因子揪出來。
		■精省預算關鍵：設計師提供省錢又保障的創意，讓你不吃虧。
		■基礎工程關鍵：防水、噪音、溫度、潮濕，重要工法程序SOP。


	 

"
9789864084944,"


	「鉛筆仔」（iân-pit-á）不是鉛筆，「哈利」不是英國王子，
	「麻吉」不能吃，「隔斷」是要斷捨離嗎？「雪種」是誰的種？「櫃桶」非櫃也非桶！

	裝潢界人士裝逼必需品，市井小民的裝潢「快譯通」！
	設計師、工班脫口而出的陌生字眼，
	只要翻書一查，解釋、圖片、怎麼做一應俱全。

	裝潢用語大集合，
	本書收錄裝潢現場最常用／最重要的3000組用語及作法說明圖解，
	讓你因地制宜，說出最接地氣的專業用法。
	涵蓋工具、材料設備、工法、常見問題，不懂的名詞一翻就會！

"
9789864084678,"


華人世界第一本完整收錄裝潢基礎工法大全
	好評熱賣新封面版
	施工現場必備人手一本！
	裝潢絕不後悔的工法關鍵，有這本就足夠！


	【列出工法正確步驟】►工序不對，影響裝潢成果
	隔間沒放隔音棉，家中無寧日；沒設計專用電力，廚房設備跳電跳不完。因此要是工法少做一步，就可能萬劫不復重新來過。

	【解析工法差異】►瞭解適用情境，才能對症下藥
	你知道光是貼磚就有三種工法嗎？軟底施工法的工期短、費用低，適用在無須打底的空間中；硬底施工法的工時久，需要事前整平施作區域，但也最安全、最不易發生問題。不同工法的適用情境和費用皆有不同，瞭解其中差異，就能對症下藥，解決裝潢困境。

	【重點技法細節說分明】►拆解基礎技法，一步驟一圖解
	解析最關鍵的重點技法，告訴你施工細節怎麼做才對。圖解化的系統知識，讓你一看就懂。

	【揭露常犯問題】►警示注意工程常見問題
	點出工序中最容易、也最常出現的問題，確保施工順利。

	【常用材質的施工注意】►同一種類的不同材質，也有工法差異
	即便是磚，也有玻璃磚和石英磚兩種不同類型，不僅告訴你材質特性，也解析如何順應不同材質，改變施工作法。

	裝潢時，絕對不想遇到這些施工狀況
	■工法不當，選錯適用工法
	‧貼完磚才發現，地面和牆面的溝縫沒對齊，整間醜到爆！
	施工貪快，沒做磁磚計畫 ►後果：全部重拆，完工延後！

	‧新門窗裝沒多久就膨斗？！
	水泥砂漿打太多 ►後果：門窗關不緊，風聲雨水一起來！

	■費用多寡也會影響工法施作
	‧天花板角材間距拉大？！
	省了角材費 ►後果：角材撐不住，天花竟然會出現波浪狀！

	‧壁面防水只塗一層？！
	省了材料費和工時 ►後果：太薄沒有效，事後可能漏水漏不完！

	裝潢糾紛絕大多的問題都出在於「施工不當」！但造成施工不當的根本原因，可能是工序沒做對、材料沒用足，甚至砍價砍太多，省料省工的結果下，影響裝潢成敗。

	全台第一本，系統化整理裝潢常用工法！
	廣邀設計師、工班，提供最專業、最詳盡的工法解析

	分門別類，從材質切入，囊括隔間、樓梯、水電、石材、磚材、木素材、金屬、衛浴、廚具、空調等項目，告訴你施工的前中後要注意的事，詳列常用工法項目，解析施工技法，抓出常犯施工問題，理解工法可以更簡單，讓你裝潢更安心。

"
9789866408823,"


  



它聰明，你好用，
  這樣設計，舒適省裝潢！

  牆面、櫃體、吧檯、桌子、玻璃、門片、平台、樓梯、家具、燈光，
  都可以拿來一物多用，千萬別浪費！
  書中集結超過二十位，逾101個設計師最新、最具創意、最嚴選的「一物多功」手法，以圖鑑方式全方位呈現，是一本完整的居家機能圖鑑。

坪數小不用怕，舒適宅不可少
  「我想要有足夠的收納空間」、「我想要我的家看起來大一點」、「我希望孩子能幫忙做家事」、「我想要一間圖書室」、「我希望客人來訪時，能輕鬆又自在！」、「我想要住得舒適！」我們對家的需求總是太多，但無奈坪數卻總是不夠用；只有將需求化整為零，一物多用，才可能兩全其美。

這樣設計，才聰明！
  廚房和餐廳的牆不只是牆，把牆切半，製造一個平台，既增加空間穿透性，又是出菜檯，增進家人互動；一張桌子可以扮演4種角色，放於住家中央，就能集隔牆、餐桌、書桌、梳妝台於一身；床頭板後方加設衣櫃，再挪出一半作為梳妝檯使用，更衣、梳妝一次搞定；把洗手檯從衛浴空間解救出來和公共空間共用，洗手不用跑遠路……於是，牆不只是牆，桌子不只是桌子，讓空間運用更極致。

餐桌當書桌，就能少一間書房，你說省不省？
  【方案一】
  在廚房設計大面開放式書架，並把吧檯延伸出的桌面當成書桌，足足省下打造書房的錢。
  【方案二】
  過長的走道太浪費又無聊嗎？從牆邊延伸出一個閱讀平台，就能當作親子共讀、共伴的共享區塊，不用特別製造書房空間。

11個物件，高CP值運用術，千萬要學會
  其實家裡的大小物件，都可以大變身，一物飾多角。書中以居家的常備物件為分類：牆面、櫃體、吧檯、家具、玻璃、門片、平台、樓梯等，看設計師的創意和巧思，如何把它們變聰明。
  ●半面牆＝隔屏吧台＋出菜台
  ●電視牆＝窗台＋穿鞋椅
  ●可以移動轉彎的牆＝隔間牆＋書櫃門片
  ●一張桌子＝客廳隔牆、廚房矮牆、餐桌、書桌、梳妝台

工法、尺寸、KNOW HOW全提醒，設計不出錯
  不只是圖片賞析！書中的每項設計手法，皆會說明它適用在什麼空間？能滿足什麼樣的機能需求？需要注意哪些尺寸細節？有哪些施工時你該知道的注意事項，設計師的不藏私秘訣通通在此，讓你設計不出錯，真正享有好空間。
  ●電視牆牆下的置物平台檯面應落在離地40～45公分
  ●旋轉牆的牆週邊家具以輕便款式為主
  ●滑動桌的插座要配合滑動路線
  ●床頭背板厚度至少約要8公分左右
  ●靠窗的臥榻平台要用抗紫外線的耐候漆

本書特色

  ◆小坪數最需要，高CP值運用術，千萬要學會，這樣設計，聰明又省錢！
  ◆70種設計師最愛機能手法、尺寸一次看，教你如何花一樣錢，就是比別人家更好用。
  ◆從12-80坪，31個最具參考價值的嚴選案例，從全局思考如何舒適又省大錢。
  ◆物件大變身，牆面、櫃體、吧檯、家具等，11大類主力品項，都能一物飾多角，物盡其用
  ◆第一本機能圖鑑，逾101個風格案例，格局、收納、採光全有解，看設計師的聰明解決方案。


  

"
9789866408557,"

國民裝修保命寶典教你開工不被坑+施工做對事+監工有撇步◆ 還給小市民正義的裝潢寶典，網友們同聲齊讚的裝修人天堂◆ 傳授最基礎的國民裝修必知，送給全民最貼心、最實惠的禮物◆ 開工必備的裝潢早知道，沒看這本，千萬不要隨便找工班 ◆ 讀了這本，保證不被設計師牽著走，預算不追加◆ 地雷工法VS正確工法，全面圖解，教你做對事，日後問題不來找◆  有圖有真相！逾百張工地現場照，破解黑心陷阱，絕不誤觸地雷◆ 真實後悔案例教學，吸取前人血淚經驗，把錢花在刀口上◆ 直擊良心工班愛用的建材品牌與價錢，提供俗又大碗兼賺安心的建議真實案例圖解版百筆血淚經驗告訴你的裝修早知道不被工班呼攏，一定要知道的正確工法隨書附贈 保平安簽約要點+保荷包估價單遇到這些裝潢問題，你是不是常常感到很無助？Q1.不懂建材，不知該從何挑選起？Q2.設計師說要做的裝潢，哪些真的得做，哪些又是沒必要的？Q3工班這樣做，是正確工法還是日後會大出紕漏？Q4.水電要設計幾迴才不跳電？Q5.衛浴防水到底要做幾層，才不會漏水？Q7.雨天窗戶漏風又漏水，到底是哪裡出問題？這些問題，姥姥在書裡給你答案！這是第一本針對小市民的需求而特別製作的「不後悔之國民版裝修書」。沒有「落落長」令人眼花瞭亂的工班細則，而是挑出過程中40個「最不起眼，但也是最致命、最抓狂」的常見錯誤與糾紛，並預先提醒，在施工過程中本該專業施作，但卻往往一點也不專業的工程漏洞。透過「我很後悔」屋主(=苦主)實際案例，與「你要當心」工班現身說法，了解裝修災難的起始原因與關鍵。千金難買早知道，被坑錢很傷，但做了後悔，問題收不完更是事大。資深居家媒體人姥姥了解大家的痛處，透過多方的探訪與工地現場往返，並與多位專業人士（設計師、工班師傅）詳談，不只要說出裝修出包影響有多大，也透過一張張真實圖片，提供正確工法的解說，讓你避免日後悔不當初的事件發生。至於已經「不幸」誤入歧途的居家裝修，姥姥也提供「補救手帖」，協助適度的善後。本書以「國民裝修」為前提，從裝修前你該知道的事，到拆除、水電、泥作、木作 廚衛等，逐一將地雷工法vs.正確工法重點說明，同時也教你如何擬定保命合約，看懂估價單聰明抓預算……讓居家改造不只不花冤枉錢，支出都在刀口上，還能免除日後令人捶心肝的麻煩問題出現。—沒看這本，裝潢問題沒完沒了—拆除■ 最抓狂！排糞管不知何時打破，得敲水泥救漏水？■ 最揪心！白拆了的磁磚地，白付了的一筆錢■ 最心煩！聽信工班與設計師，陽台外推惹麻煩■ 最傻眼！地磚染污，防護工作只是做做樣子水電■	最氣結！漏電斷路器被調包■	最無力！7000元換電箱，但一樣會跳電■	最不便！使用家電，還得錯開時間搞「宵禁」■	最遙遠！一延再延的延長線，我們一家都是線■	最麻煩！臥室床頭沒開關，睡前得再走下床■	最危險！電線用黑心貨，超怕短路失火■	最忽略！沒接接地線，易被電到■	最偷懶！沒裝出線盒，電線受損沒保護■	最呼攏！配電管硬管變軟管，日後易變形■	最粗心！熱鋼管緊貼冷膠管，日久容易破裂漏水冷氣■ 最悶熱！冷氣被裝在格柵中，整個夏天都在冒汗■ 最失衡！冷氣安裝在短邊牆，空間半冷半熱泥作■	最惡裂！水泥比例不對，日後裂痕處處■	最要命！磚牆一天砌好上漆，牆封水氣造成裂痕■	最不平！鋪好地板才發現房子高低落差大■	最漏氣！鋁窗填縫不實，漏風也漏水木作■	最黑心！天花板被換成氧化鎂板，結露又變形■	最偷工！天花板不上膠就打釘，木吊筋不足量就完工■	最減料！櫃子木料變薄，抽屜深度變淺■	最砸錢！系統家具，不一定比木作櫃便宜■	最短命！鉸鏈五金用了一年多就鏽了■	最走光！隱藏門關不起來，暗門超難用的■	最受傷！木地板膠水亂亂噴■	最虛偽！染色海島型木地板，雜木假裝紫檀木廚衛■	最抱歉！浴室防水沒做好，樓上洗澡樓下下雨■	最無言！填縫太趕，易反黃，不細心則會弄髒■ 最潮濕！浴室門檻沒做好，水滲入臥室木地板■ 最操勞！浴室有做洩水坡，仍要手動掃積水■ 最不便！落水頭設在「狹路」中，很不好清理■ 最猶豫！留浴缸好，還是淋浴就好？■ 最酸痛！烘碗機裝太高,天天手酸脖子酸油漆■ 最混亂！噴漆保護工程不佳，配電盤受污音響品質打折扣■ 最慘白！我可以不要白色嗎？誰說不行！

"
