ISBN,書籍簡介
9789864086771,"


買房置產必備的一本書
找對格局、挑對屋況不被坑！

從建物土地差異、繳納稅務、消防安全等買屋之前的流程與細節，
到購屋後準備開始裝修的各式疑難雜症一次蒐羅，
讓即將準備購屋或換屋的你，買到好房子。

掌握200個買屋裝修關鍵QA！
從裝修層面開始設想、挑選房子，就能省下多餘裝潢費！

	Ch1看屋階段
	Q：毛胚屋、標配屋、實品屋的差異？哪一種類型的裝潢費較低？
	Q：如何看懂預售屋平面圖格局配置，藉由客變省下多餘建材費？
	Q：聽說有中繼水箱的樓層會比較便宜，真的可以買嗎？
	Q：如何檢查老屋是否會漏水？購買前該注意什麼？

	Ch2買屋階段
	Q：如何利用實價登錄找低點？
	Q：為避免房屋現況說明書與現況不符，合約上該如何註記？
	Q：2021年7月即將要上路的房地合一稅2.0，對未來想買房的人有什麼影響嗎？

	Ch3裝修階段
	Q：很喜歡設計師的規劃，但是估出來的費用和預算差太多，該怎麼辦？
	Q：若自己找工班裝修，連工帶料較省，還是工、料分開較便宜？
	Q：市面上的估價單格式眾多，哪一種估價單對我來說比較有保障？
	Q：盤多魔地板看起來和EPOXY地板很像，兩者有什麼分別？怎麼計價？

"
9789860638660,"


風格師給你

「軟」實力入門指南！

6大經典風格＋8大明星級軟件，讓你選對物，搭對味   

	　

超過85個居家布置法則

還給你「自我檢測評量」用3招搞定選擇障礙的自己！ 

腦子裡的概念對了，家的風格就成形了！

	   

●六大空間風格，你確定都做對了？

定位，材質、配色、比例、尺寸該知道—

	 

	北歐風∣工業風∣新美式∣輕奢風∣現代風∣日系風

	 

	▼看起來很像其實不一樣，北歐風和無印風比一比！

	▼經典、復古、輕質、現代，你知道工業風其實還分4大類？

	▼新美式風格的軟裝、硬裝完美7/3比，究竟如何操作？

	▼打造輕奢風，如何拿捏恰到好處的貴氣？

	▼如何透過微混搭，用比例玩出高明現代風？

	▼日系風總整理，告訴你規劃重點與空間材質占比！

	▼你知道掌握哪8件事，北歐風就到位？

	 

●8大軟件配置，，擺對了家就升級了！

掌握關鍵規劃，向雜色拼盤的居家空間說 byebye—

	 

	地毯∣掛畫∣燈飾∣木質∣櫥櫃∣抱枕披毯∣植栽∣香氛

	 

	▼你知道地毯的選擇，要能覆蓋所有家具？

	▼牆面掛畫，寬度與高度規劃，前方是否有家具是關鍵！

	▼線性法、格式法、上架法……掛畫5大陳列法照著做準沒錯？

	▼一次告訴你，5大木色系各自適合那些空間！

	▼燈具購買前，要先破除哪三大迷思？

	▼居家7大主要櫃體，功能和尺寸選購要注意哪些事？

	▼抱枕選配5大原則，3款披毯擺放法，值得收藏的美感秘訣！

	▼有哪6種室內植物超好養，還能帶動居家空氣感？

	▼如何運用香氛，使好氣味成為風格的一部分？

	 

●擁有這本書，就像把風格師帶在身邊

	完成了裝修，卻怎樣都少一味？原來關鍵就在於布置與軟件。

	 

	不需要花大錢，只需要有好概念！是室內設計師，同時也是風格設計師的作者，透過簡潔扼要的法則說明，讓大家可以了解不同風格要如何正確組搭，才不會走鐘。

	 

	全書從北歐、工業、輕奢、現代、新美式、日系，元素、色彩、造型、比例、尺寸，幫你拆解剖析，深入說明，讓腦中的風格樣貌不再似是而非。此外，也協助你一次弄懂家具、燈具、櫃子、抱枕、地毯、畫作……8大明星軟件的特質與交錯搭配法則。書中還以實際案例步步詳解，透過完整思考過程，看空間如何形塑成功。

	 

"
9789864086757,"


	學不會斷捨離沒關係，做對收納規劃就對了！
	7大空間場域，匯整超過150個最好用的收納設計，
	有裝潢需要的你一定要看。

	櫃子是否好用，關鍵不在「大小尺寸」，而是「善用空間格局+五金配件」創造收納！

	真實生活中，每個人都脫離不了有鞋子要收、雜貨控愛買餐盤，
	或者是一堆衣服怎麼收都覺得好亂，有些衣服摺了又會皺，
	在寸土寸金的都市，唯有在裝潢時就規劃好收納，再加上省力收納絕技，
	居家收納才能一次到位！

	整合「空間規劃祕訣」、「好用櫃子設計」層面，
	蒐羅250個涵蓋玄關、客廳、餐廚、臥房到浴室的收納櫃設計，根據物品出沒地點規劃到位收納，
	深入剖析櫃子的型式、尺寸、材質、五金配件，以及各種物件的超省時收納絕技，
	居家收納就成功99%，剩下的1%，才是管好你自己。

	【超無力】玄關小鞋子老是散落一地？
	只要「側拉軌道」+「旋轉鞋架」，就能讓鞋櫃增加一倍的容量！

	【找不到】各式各樣的衣服多到好凌亂？
	只要「抽拉式滑軌」+「大型把手」，床頭後方就能創造一個大衣櫃
	「重型吊輪」+「滑輪」，雙層衣櫃好推又收更多

	【好阿雜】一堆書和雜誌都快沒地方擺？
	只要「善用樑下空間」+「6分厚木芯板」，小房子也能有大書櫃
	「高低落差設計」+「抽盤」，論文、漫畫、大開本通通都能收

	【理還亂】電腦、事務機線路好難看？
	只要「側板」+「格柵門片」，機體線路完全變不見
	「滑抽」+「預留孔洞」，不外露又能方便維修

"
9789865117641,"


	人們傳承居住的房屋有其歷史，
	一棟房屋落成的時代有其背景。
	走過時代的房屋具有力量，
	日久天長積累下來的歲月痕跡，
	亦是英國住宅的魅力。

	英國最美村莊科茲窩如蜂蜜色澤般的石板屋，美得令人彷彿置身童話世界；莎士比亞的故居亞芳河畔的史特拉福，留有大量獨具特色的半木結構建築；英國影集《唐頓莊園》的取景地海克利爾城堡，典型哥德式建築令人心醉。

	前往英國旅遊時，經常會發現同一地區的房屋外觀十分統一，這是因為他們常會拿當地所能取得的材料來建造房屋。在某一地區能夠取得的建材會帶有該片土地的色澤，因此光從建築物就能看出是哪個地區的住家。諸如薩福克粉紅的住家、愛丁堡市區的黃砂岩建築、威爾斯北部的9色粘板岩住家等等。

	此外，英國的住家與建築所散發出的獨特氣韻之所以吸引人，在於他們認為「越老的房子越有價值」。英國人沒有拆毀住家的概念，因為他們將歷史悠長的住家視為驕傲。購買劣化的住家，靠一己之力復甦成美麗模樣以提升資產價值的文化深受重視，這使得DIY在英國普及發達，也成了英國人裝潢技術高超的關鍵因素。

	本書是由具有二級建築師資格、熱愛英國住宅的作者，以手繪方式介紹英國建築風格的演變、不同住宅型態的特色、室內設計規劃的重點等等，甚至還介紹了夏洛克．福爾摩斯的家、知名建築師麥金塔的宅邸、《彼得兔》作者的家「丘頂」等等，讓人得以一窺英國人的生活型態、人文歷史與建築美學。造訪之前，如果能先了解英國住宅與建築的特色，漫步街頭時更能細細品味這份經過歲月打磨的英倫風情。

	★充滿溫度的手繪插畫，透過建築外觀、平面格局、室內擺設等細節，彷彿帶領讀者走進英國人的家。
	★藉由眾多實際案例，介紹英國人各類生活風格的居住型態，讓人得以從房屋一探英倫住居的生活美學。
	★專家全面剖析英國住宅特色，從建築樣式到英國人的生活型態，完整體現英倫文化與歷史發展。

"
9789864086245,"


	設計是從無到有的過程，
	從構想到現場，
	都是靠設計施工圖傳達，
	會畫整套施工圖，為室內設計工作中「基本的基本」。
	當設計完成準備在現場施作時，
	讓所有想法與細節，
	傳達給施工人員了解並照圖作且不出錯，
	「施工圖」質量的好壞就非常關鍵。

與其在工地現場拆拆改改耗時、耗工、耗損毛利，
	設計從業人員應在繪圖當下思考到現場施工情境，
	並了解工法、材料，才能做出得以實踐的好設計，
	畫好施工圖，是讓工班照圖施作不出包的第一步。

	│本書特色│
	1施工圖為實踐設計的基本，本書內容為與時俱進、與業界實務接軌的教材。
	2作者為學界、業者最強專業組合，以簡明清晰的表述形式，梳理施工圖的邏輯概念、基本知識、畫法及實際案例參考。
	3不論是學校教育、轉職學習、業界教育訓練，本書都適用。

	│適合對象│
	1.學校教育：各學校都有安排一學期或一學年的必修課，可作為各校任教老師的指定教材。
	2.轉職學習：可作為補習班或公協會的轉職教育中的施工圖課程的上課教材。
	3.業界教育訓練：設計公司新進菜鳥學習施工圖的參考書，目標具規模的設計公司都需添購。

"
9789862353578,"

★好評暢銷書《建築的設備教室》、《圖解RC造建築入門》、《圖解S造建築入門》、《圖解建築室內裝修設計入門》系列力作第5彈★專業審訂：國立台灣大學土木工程學系教授兼系主任、土木水利工程學會理事長 呂良正根基營造股份有限公司總經理 黃慧仁295堂建築施工入門課――――Q&A解說 + 插圖圖解 = 輕鬆理解建築施工！◎一頁一問，搭配精繪插圖，循序漸進介紹建築施工知識◎完整說明細節和整體概念，詳盡導讀施工要點及工法◎每頁、每項獨立章節，3分鐘即可輕鬆讀完一個單元◎日本暢銷建築書作家親授掌握建築施工之道，充實實務知識的必備書最有趣的建築施工入門書――――建築知識的學習起點，一次弄懂建築施工的門道！建築施工領域包羅廣泛，涉及規劃設計、土木問題、工程執行、時間管理，大至高樓大廈等大規模建物，小至小範圍的住居室內裝修，都需要進行建築施工。本書集結作者的經驗，加上許多專家協力，匯集蒐羅相關工程知識。全書內容以結構體為中心，詳盡介紹建築施工的工程概要、建物施工順序、閱讀工程表的方法、契約文件注意事項、施工機械的種類和性能、地盤・軀體・內外裝修工程解說、地下水對策，沒有施工現場經驗的讀者，一樣可以迅速掌握建築施工的要點。全書295個單元，一頁一Q&A，含括最入門至較深入的內容，簡潔易懂的文字，清晰的圖解和精準的漫畫，引導讀者將紙上的學問連結至實務面，全盤概略了解建築施工的基本事項，並據以應用於施工現場。對於想了解建築施工基礎知識或加以實際應用的人，本書都提供了讓人樂在其中的輕鬆學習方式！建築施工17大章節超級學習術――――入門前的入門書，基礎前的基礎學！

"
9789862357880,"


――――――――★★好評暢銷書「圖解建築」系列力作第11彈★★――――――――

	 
	《建築的設備教室》、《圖解RC造建築入門》、《圖解S造建築入門》、《圖解建築室內裝修設計入門》、《圖解建築施工入門》、《圖解建築結構入門》、《圖解結構力學練習入門》、《圖解RC造+S造練習入門》、《圖解建築物理環境入門》、《圖解建築計畫入門》
	 
	▋ 關於建築設備一定要懂的事――――
	   水 × 空氣 × 電力 × 防災 × 節能，充實設備知識，打造更好的住居空間
	 
	│ 如何根據房間規畫來選擇最適當的空調設備？
	│ 怎樣讓室內的上下溫度差減到最少？
	│ 想要更有效率地除濕該怎麼做？
	│ 用水還能節能的竅門是什麼？
	│ 供水系統的配管有哪些門道？
	│ 水資源即將枯竭，我們每人每天平均用了多少水？
	│ 排水系統是城市的一大問題，如何規畫最合理？
	│ 現代人無時無刻都要用電，有哪些我們應該了解的電氣基本知識？
	│ 自家發電緊急電源有備無患？
	│ 我們樓板上、地板下的各種配線配管究竟是怎麼配置的？
	│ 室內應該有多少照明器具才是最佳亮度？
	│ 火災發生時，初期如何滅火最有效、怎樣選擇正確的滅火撒水設備？
	│ 逃生避難最有利的策略是什麼？
	│ 如何住得安全又環保？
	 
	▋ 320堂建築設備練習入門課――――
	   Q&A解說 + 插圖圖解 = 輕鬆學習建築設備！
	 
	│ 逐頁問答詳解，搭配精繪插圖，循序漸進介紹建築設備練習知識
	│ 完整說明細節和整體概念，詳盡導讀空調系統、風管、水槽、配管配線、電氣、防災滅火的設備要點
	│ 每頁、每項獨立章節，3分鐘即可輕鬆讀完一個單元
	│ 日本暢銷建築書作家親授掌握建築設備練習之道，充實建築設備知識的必備書
	 
	▋ 最有趣的建築設備練習入門書――――
	   建築知識的學習起點，一次弄懂建築設備練習的門道！

	建築設備除了一般的物理學之外，還涉及空氣、水等的流體力學、熱力學、電機工程學和化學，複雜多元，集結了人類的經驗與智慧。
	 
	除去了設備，建築就無法稱之為建築。許多建物的紛爭和抱怨源頭就是設備問題。當災害發生時，結構是問題所在，而日常生活中的紛爭，幾乎都是與設備有關的部分。
	 
	本書將重點放在系統的說明，從整體的系統依序解說至個別的設備。全書320個單元，主題含括最入門至較深入的內容，所有說明皆附有圖解，透過圖像化的方式，讓困難的理論變得簡單易懂，容易應用。為了與實務做連結，除了詳述建築設備的基礎事項，同時以清晰的繪圖幫助理解冷凍機的組成、送風機的特性曲線、交流的波形等理論部分。
	 
	對於想了解建築設備知識或具體運用於生活中的人，本書都提供了讓人樂在其中的輕鬆學習方式！
	 
	▋ 建築設備練習13大章節超級學習術――――
	   入門前的入門書，基礎前的基礎學！
	 
01 │ 空調設備
02 │ 汽化與凝結‧莫里爾圖
03 │ 冷凍機與鍋爐
04 │ 風管與送風
05 │ 供水設備
06 │ 熱水供水設備
07 │ 排水設備
08 │ 電氣的基礎知識
09 │ 供電設備
10 │ 配線設備
11 │ 消防設備
12 │ 節能指標
13 │ 默記事項

"
9789861755403,"


臺灣書市第一本！

從換屋／裝修前的準備，一路包到完工後維持清爽屋況的裝修書！

不只是想裝修自宅者必讀，

換屋族／購屋族、室內設計師／裝修業者、房屋銷售人員／建商、整理師也必備！

	 

徹底擊退！打造簡約舒適好宅的兩大敵人：預算少、雜物多。

輕鬆享受！少揹一些房貸、少花一些裝修費、少做一些惱人的家事，過更輕盈自在的生活。

	 

想以真正省錢的方式打造好宅，不是在工法或材質上錙銖必較！

本書從源頭抓起，讓你節省購屋預算和裝修費用，

還告訴你如何使用房子才能久住不亂，否則花再多錢裝修都是枉然……

	 

	許多讀者因為《零雜物》認識Phyllis，知道她是整理收納領域的專家，卻沒注意到，她其實有室內設計的背景。此外，在過去13年，她總共住過10間房子，堪稱換屋達人，而且每次都是自己設計、裝修。

	綜合多年相關經驗，Phyllis領悟到，清除雜物最能節省裝修費用，甚至購屋預算；且雜物若多，裝修成什麼風格都不會好看。於是，她寫出了一本有別於臺灣書市或只訴諸某種風格、或只教你如何省錢、或只細述材質與工法，從頭照顧到尾、以「減法」為概念的裝修書！

	 

‧購屋／換屋前：換屋達人Phyllis分享10大關鍵心得

‧裝修準備及規畫階段：室內設計師Phyllis逐一盤點哪些是不必要的設計、哪些是必須花的錢

‧裝修後：整理專家Phyllis的「房屋使用手冊」，讓精心裝修過的房子維持初入住時最清爽的樣貌

	 

∣本書適用對象∣

	 

★想裝修／裝潢自宅者必讀！

	裝修規畫、預算拿捏、簡約舒適風格的營造、屋況的維持，關於裝修你必須知道的事情all in one！

	 

★換屋族／購屋族必讀！

	Phyllis從與每間房子磨合的過程中歸納出來的經驗談，絕對能讓你少繞許多遠路。

	 

★室內設計師／裝修業者必備！

	請業主先讀完這本書，你會省下很多溝通成本，而且不必擔心辛苦完成的作品在短期內就被業主住到毀容。

	 

★房屋銷售人員／建商必讀！

	房市吹起小宅風潮，但小坪數的房子真的好住嗎？這本書能讓潛在買方明白，小宅也能創造出舒適感、空間感和清爽感！

	 

★專業整理師必讀！

	整理師在幫客戶整理家裡時如果沒有考慮到各種生活動線，整理的效果不會太好，客戶的家會像復胖一樣「復亂」。而這些重點，Phyllis在書裡都有提到！

	 

林黛羚（友善生活觀念推廣者）、邱沁宜（財經節目主持人）、顏定滄（惠宇建設總經理）　推薦！

"
9789869757843,"


	鄰居煮飯油煙飄進我家，冷氣室外機噪音擾人不能睡，梅雨季窗戶漏水又結露、颱風一來更怕玻璃破、家裡冬冷夏熱不舒服、風聲彷彿有尖銳口哨聲…，竟全都是「用錯鋁窗」惹的禍！

	第一本真正研究鋁窗的設計專書
	讓一般大眾從DIY自救、認識產品到工班挑選都妥當，
	讓專業設計者學習環境評估、選配產品到完美安裝，
	完全致勝一本就通。

	為什麼鋁窗不能隨便做？因為70%的生活品質決定在鋁窗

	即使裝潢百萬等級，卻噪音、漏水、又冷又熱，影響睡眠也影響心情，住得非常不舒服。但大部分人換沙發、做櫥櫃，就是沒想過要修理鋁窗！

	正確的鋁窗應該有「擋風、擋雨、擋噪音，顧安全、顧採光、顧溫度」基本功能，對美學要求高的業主，還可以透過鋁窗創造色彩、分割方式以及全新建築造型，這是一本教大家解決自修、採購、學習、設計的全攻略。

█超圖解!清晰又好懂
	(1) 405張圖片，深入淺出解答容易懂。
	(2) 43個表格大整理，分成初級讀者用以及高階專家用，分類清楚好好讀。
	(3) 清晰插圖，解釋玻璃與鋁框的作用原理、被破壞的方式。
	(4) 根據居住現況，如何選購真正好用的鋁窗。

█超標準!設計、構造、施工專業知識
	(1)好窗還要配超標準的施工，專業者必學！
	(2)環境評估，解決低頻、噪音。
	(3)正確施工20步驟，從測量、安裝到清潔，也可以作為屋主監工的標準！

█疑難雜症，專業師傅急救法!
	(1)強颱來臨，窗戶怕漏水，以及各種窗戶的居家問題
	什麼！長型窗和方形窗的膠帶貼法不一樣?根據應力原理教你最正確的膠帶貼法。
	什麼！窗縫漏水可以自己緊急補救?孩子的黏土就可以暫時擋住水的方式。
	(2)降低噪音、結露
	有「引流槽」就可以防止結露水造成室內溼答答
	換玻璃、厚窗簾，就可以降低噪音影響。
	(3)強震之後窗戶安全嗎？
	跟著師傅這樣做，檢修應急不求人。

本書特色

█消費者採購前的自救書
	→隔音不良、漏風滲水，找出原因的自我檢查
	→評估優良廠商的訣竅
	→破解估價單藏的秘密

█鋁窗業者自我進修必讀的教科書
	→專業知識、環境評估、產品設計、正確安裝
	→與消費者溝通的關鍵語，避免糾紛
	→產品解釋、預估天候變化、強度分析

█設計師估價前必懂的工具書
	→窗型配置VS美學分割
	→窗框顏色與搭配

"
9789864084418,"


●暢銷熱賣年度增訂版●

堅持內容的紮實與品質，

同時每個試題新增種角度的圖面說明，

◎室內設計證照考試過關必備

◎室內設計師、轉換職場都一定要會的基本製圖

讓你一次就能考上

1 第一本針對室內設計證照的手繪製圖大樣 

802不只剖圖繪製，還有實際施工圖對照 

	全書完整收錄地坪、天花、牆面和門片、木作檯櫃大樣範例3D將陳鎔老師多年來豐富的教學經驗當中，統整學生們最常忽略、漏畫、甚至是用錯符號的地方通通整理成手繪技巧，讓考生們時時警惕、不再犯錯。

"
