ISBN,書籍簡介
9789573288510,"


	本書打開了我們的眼界
	開始尋找都市裡的歷史遺跡、神秘空間
	探索城市小旅行的點子，成為都市偵探
	對「未知世界」的想像力激增

	今天走在全球大部份的城市裡，我們踩著的那片地，恐怕不是只有人行道而已。

	本書將腳下的土地一層一層剝開，窺探令人目眩神迷的纜線導管、地底管道、排水設施、墓穴、地窖、水井、地道、捷運或地鐵、古老建築的地基等。

	書中記載了30多個城市的地底空間，以國際換日線為起點，向西展開全球之旅。從北美洲到南美洲，從亞洲太平洋到歐洲大陸，許多神奇的空間逐一浮現，包含：

	★蒙特婁、多倫多廣大的地下購物空間，風雨無阻
	★莫斯科神秘的「深層軍用地鐵系統」
	★墨西哥市地鐵線上的猛瑪象與祭祀神殿
	★赫爾辛基在冷戰時期開鑿出的巨大避難空間，如今持續擴大
	★東京市區驚人的地下神殿：首都圈外郭放水路與全球最密集的運輸網路
	★華府地下，竟有一個小型捷運系統，供聯邦公務員使用

	作者是著名的交通建設專家，他走訪全球進行研究調查，發現許多令人驚訝的資料。於是他將這些「人為建設與自然景觀的完美結合」，用生動的文字及精美的影像記錄下來，見證了人類利用空間的智慧。

	無論是對歷史遺跡、神秘空間有興趣的人，或者只想當個都市偵探、探索城市小旅行的點子，都能在本書中發現無限驚喜。

	下一次走在都市的街道上，你對「未知世界」的想像力將會激增。

"
9789888466313,"


以建築圖解經典文學
以空間形塑角色命運


	本書以《紅樓夢》中榮寧二府的府邸開始，從精細描繪的鳥瞰圖、平面圖、內部細節圖，帶領讀者一步步進入《紅樓夢》的角色世界：瀟湘館的素映襯黛玉之脫俗；怡紅院之豔對應了寶玉的萬千榮寵；稻香村的人工鄉趣是李紈自我低調的生存術；暖香塢的僻與暖反襯出惜春的冷。大觀園的每一處建築群，都有其獨特的風格，反映著主人的性情品格。建築與園林如金針密織，既織就紅樓夢的錦繡富貴，也織出其最終蒼然的虛幻大夢。

	此書作者一為中文專業，一為建築專業，通力合作重現紅樓裡的建築與園林，從大觀園的小路石路水路出發，在縱橫交錯間挖掘曹雪芹的曲折深意，追尋一覺紅樓深沉的脈絡。

推廣重點
	以建築讀紅樓，另闢蹊徑的經典新讀；
	繪圖精細，深入呈現寧榮二府及大觀園的建築與園林細節；
	透過具象的路徑仔細梳理書中複雜的人物關係及其命運。

"
9789757900764,"


世界之最、遺世獨立小屋
	典藏讓人掉淚、心跳不已圖卡


	獻給每一位曾想要放慢生活腳步、
	人間蒸發到世界角落靜一靜、
	深吸一口大自然的氣息的你……

	從270幅照片中嚴選出最吸引人、最精彩的10張照片，
	製作出讓人最想收集擁有的「小屋典藏卡」（一組5張，隨機出貨）

	★來自擁有1000萬訪客、35萬追隨者的世界性網站Cabin Porn
	★6年精挑細選，從超過12000個客戶檔案中篩選出具代表性的個案
	★盤點126間世界之最小屋，270幅讓人掉淚、心跳不已照片
	 
	讓人好想一卡皮箱入住的秘境小屋！
	這世上有一種房子，一打開門窗，
	就是大海、森林、山野、沙漠、冰雪、星空、花海……
	它或許位在浪濤拍岸的海邊，或許在雲霧蒸騰的高山、蔥籠茂密的森林、開闊無邊的曠野……總之，是你心所嚮往的所在。
	這幢居所，無需複雜，簡樸實用為上，用材或許沒有都會華廈的高級，但安頓身心、慰藉心靈的功能卻是都會華廈比不上的。
	現在，這一生心所繫的夢想願望，可以透過觀覽、感動，
	在內心獲得解放、舒發，進而實現……

	如果你有能力，那就去完成自己專屬的秘境小屋吧，
	如果你還無法實現，那就將這值得一生細細品味的《秘境小屋》收藏起來……

◎一處與世人共享的隱避之所
	一位創始人在森林中打造了與世人共享的隱蔽之所，讓大家到此學習實做。幾位朋友收集了各種房子的照片，然後靠雙手塑造出心目中理想家園的樣子。

◎由父子所開闢的田園居所
	這間小屋只能靠馬匹與背包，徒步十公里的山路，來拖運所有的工具、設備與建材，才能逐步建蓋完成。這裡不只是一家三口人的山林野居，也是作為父親的他，百年後期盼的安眠之地。

◎情侶一同替荒廢的沙漠家園煥然一新
	這原是一棟破爛平房，窗戶破了、油漆剝落，還有輛破舊的老拖車停在屋旁的空地上，房子旁邊甚至還有支電線桿，突兀地闖入這塊土地。但她們卻合力將它變成了一個溫馨的沙漠之家。

◎情侶攜手搭建十七世紀風格的懷舊旅店
	他一直夢想著有一天能夠親手建造自給自足的家園，而且還能讓一些遊客來住宿。然後他看上了一塊約七公頃的林地，開始以石材作為地基，一步步地，與女友共同創建了一間懷舊旅店。
	　
◎一群好友建造了小棚屋來烹煮樹汁
	這是一間祖先遺留下來的製糖小屋，有座手工搭建的磚造拱爐與煙囪。從二○○一到二○一三年，兄弟二人聯合其他親朋好友，逐年修復毀損的製糖廠，並開始在製糖小屋中烹煮出第一批的楓糖漿。

◎九公尺高的私人臥房
	他走遍森林四周，調查著樹林，爬上了幾棵樹，最後選定一棵又高又健壯的落葉松。然後，他完全靠自己的點子來蓋房子，最終完成了一間高九公尺的專屬房間。

◎再續沙漠傳奇的建築系學生
	這裡只是一支約二公尺多的煙囪座落在一棵樹與一塊水泥板旁，一旁還有兩塊約三十公分高的白色磚牆，沒別的了。但不久後，他開始描繪著利用煙囪蓋房子的點子……。

◎藝術家在地底的家
	他原先只想要尋求一塊寧靜場所來寫作與繪畫。但力求精簡的生活態度，讓他捨棄了地面上的平房與圓屋，然後由聯通地道開始往地下發展，逐步挖掘溝通，最終形成如哈比人般溫馨的地洞居處。

◎親手為廢棄建物賦予新生命
	這是個原作為儲存穀物的廢棄筒倉，規劃好架構後，一群大男人開始搜羅可利用廢材、大膽切割筒倉、架設永久性支撐、安置大扇窗戶、安裝電路系統……，穀倉就徹底變身了。

◎他們將家族的渡假場地變得獨一無二
	他們的父母花了九天時間蓋了一間蒙古包小屋，但兄弟兩人成年後，決定再加蓋一間獨特的蒙古包。他們花了一個夏天的時間準備，用兩週時間便完成了，卻也迎來了逐年人數增加的「蒙古包大會」。

"
9789862983065,"

本書台灣之神農大帝、保生大帝、清水祖師、文昌帝君等四位神明之重要廟宇，包括三重先嗇宮、宜蘭五穀廟、臺北大龍峒保安宮、臺南學甲慈濟宮、嘉義仁武宮、臺北艋舺清水巖、淡水清水巖、三峽長福巖、新莊文昌祠、苗栗文昌祠、臺中四張犁文昌廟及犁頭店文昌祠，分成神祀事略、建廟沿革、空間配置及建築特寫進行介紹。透過本書可對臺灣廟宇建築有更深的認識。
                    
"
9789862942062,"


	日本時代，人們逐漸對西化、現代化產生了嚮往與追尋。在官方的主導下，西洋建築形式逐漸在臺灣發展。政府官舍、火車站、郵便局、銀行、洋式街屋……，充滿異國風情的紅磚、石柱、尖塔和雕飾成為日常風景，不僅改變了市容景觀，也象徵令人憧憬的理想生活。細究這些建築，除了原本固有的形式，還有許多展現出在地性格的細節。

	從荷蘭時代開始，臺灣的建築匠師開始模仿西方的建築技法和空間運用。到了日本時代，地方匠師的營造體系已經能用熟悉的材料與技術，打造出符合新時代流行的風格。這些出現於臺灣的西洋建築，與歐洲原版建築的比較，一直都是全球化與在地化研究樂於探討的議題。

	透過相機和文字，建築專業出身的兩位作者試圖顛覆文化單向傳播造成的交流。模糊同時期的地域區別，將歐洲與臺灣的近代化建築與街景組合起來，經由風格形式的比較和對話，進一步思考，我們在今日看待這些西洋建築的角度，與當年建造時有什麼不同，並且定位臺灣建築在世界脈絡中的角色。

本書特色

	◎從日本時代開始，逐漸在臺灣各地建起的西洋建築，大幅改變了生活景觀。

	◎富有權威感、具有嚴謹外觀的公共建築；街屋商店中繁榮、活潑的建築表現；西洋宗教建築所帶來的信仰感受……透過這些照片，可以看到臺灣歷史中文化傳播的足跡，以及臺灣社會所憧憬和嚮往的理想生活。

	◎這些西洋建築，不僅是有形的物質資產，也是臺灣對於現代化的想像與實踐。

	◎透過臺灣與比利時兩地建築物的對照，除了從相同之處看到臺灣與世界的關聯，也能從相異的地方看到在地的特色與轉化。

	◎回顧這些建築在建造之時的理念和時代意義，也有助於進一步思考，對於當代的我們來說，這些建築除了文資價值以外，究竟具有什麼樣的意義與價值？

	◎全書150多張全彩照片，以功能將建築區分為六類，帶領讀者一遊臺灣與比利時的西洋建築風光。

"
9789866395932,"

本書介紹臺灣大學社會科學院的建築過程及相關圖集。將伊東先生建築過程中的設計過程、草圖9幅、平立剖圖43幅、模型7座與數位模型、重要施工照片、完工攝影等全數資料，一次性的完整呈現。
                    
"
9789866395949,"

本書介紹臺灣大學社會科學院的建築過程及相關圖集。將伊東先生建築過程中的設計過程、草圖9幅、平立剖圖43幅、模型7座與數位模型、重要施工照片、完工攝影等全數資料，一次性的完整呈現。
                    
"
9789864962112,0
9789864012046,"


可曾想像過，「創作者」們究竟是過著什麼樣的生活？
這群以無窮的創意自豪的藝術工作者，
其所擁有的傢俱、裝潢甚至是家中布局，
是否就和他們天馬行空的腦袋一樣，活像是一件件的立體藝術品？


	本書採訪了16位活躍於藝術圈的各類型創作者，帶領各位讀者穿梭令人驚艷不已的居家環境，一窺常人無法觸及的神祕住所！融於日常生活中的藝術、極具個性的室內陳設、重視每個角落的精心布置，皆反映了每位主人不同的性格與對美的嚴格要求。

	被喜愛的物品包圍，打造一個身心靈都能放鬆的自在場所──這是創作者們一致追求的目標。享受在家的每一段時光、用心品味生活，有時甚至可以萌生出許多新的靈感，為下一件作品提供絕佳的創作來源。

	讓人耳目一新的精美照片，搭配房屋主人的對自我眼光的精闢見解，看他們暢談家中的各種設計、富有巧思的神奇發想。宛如欣賞雜誌般的呈現方式，使得原本很有距離感又十分抽象的藝術生活，似乎又能更貼近一步。

	◆ 雖往返於鄉下和都市之間卻輕鬆度過每一天
	一方面是令人眼花繚亂又方便快捷的都市生活，另一方面是時間緩緩流逝、自然資源富足的鄉下生活。八重樫同時過著這兩種生活，在東京和千葉的兩幢房子氛圍截然不同。早在十年前，在東京土生土長的八重樫突然有一天覺得馬上要厭倦東京生活，於是夫妻二人開始尋找「鄉下」的家。在福岡和鐮倉等地幾經找尋，最終在千葉縣外房地區找到了這棟已有90年歷史的舊民宿。是一棟建於戰前的6LDK平房，擁有300坪的庭院，有採光很好的走廊。八重樫只選擇跟這間高雅考究的房子相配的傢俱和雜貨，現在在這裡正充分享受著充滿了情趣的生活。（DJ•撰稿人八重樫）

	◆ 能夠使心情放鬆的是「隨意」的世界
	「嶄新乾淨的東西讓我沉不下心來，但也沒有必要全部都是舊物件。總而言之把『喜歡的東西』混合起來放入房間讓它更有個性。比如我用麥克筆在廚房壁櫥的門上寫了自己和朋友『喜歡』的一些話語，想把裝飾起來的房間稍微弄淩亂一些，甚至會使用比較粗糙的筆觸。」（植物造型師川本諭）

	◆ 盡全力用雙手創造生活
	伊藤在創造自己生活的過程中，從傢俱到家電乃至服裝都堅持「不買新的」。一是自己對發光明亮的嶄新物品感到羞恥，二是覺得以合理的價格創造美好生活是一種樂趣。這一點跟其他的創作者是共通的，但伊藤是「擅長取用和發現」。來到這裡之後又成了「擅長拾取」。院子裡的雞窩，據說也是用從海邊撿來的浮木和石頭搭建起來的。提到在東京近郊的鄉下生活，人們往往會在腦海中描畫一種安閒舒適的場景，但在伊藤看來，為了生存必須從零開始嘗試，甚至覺得選到了極其偏遠的地段。（攝影師•編輯伊藤慎一）

本書重點
	★ 深入採訪16位藝術工作者／創作者，將家中精緻的布局與傢俱作介紹
	★ 自在又獨樹一格的家中環境，往往替創作者們提供了良好的靈感、創作來源，甚至是新的發想
	★ 可如雜誌般欣賞各個創作者的品味與風格，了解不同於一般人的居家環境

"
9789574854257,"


	房地產藍海策略，「創意的規劃設計」將是影響成敗的關鍵，房地產業者在面臨土地難求、地價節節攀升之際，豈能不謹慎從事?!

	集合住宅占居房地市場上的大宗，但長期以來，集合住宅除帶來現代化的舒適便利外，同時也造就人與人之間的疏離感與管理上的弊端；本書即希望導引讀者認識什麼是真正的「好宅」，而非空泛的豪宅。

	當你兼具豐沛的建築設計知識與鑑賞力時，將得以參與設計的心情和設計師共同完成土地開發的終極目標，創建優質住宅，繼而口碑、身價齊揚！

"
9789869184236,"


國際知名的建築師和屋主夫妻，到底腦袋在想什麼啊？

方方正正的不蓋，為什麼偏要蓋歪歪的？

歪歪斜斜的家，這樣還可以住人嗎？

	 

日本知名建築事務所Atelier bow-wow設計的「Sway house」建築設計過程全公開。

四格漫畫、配上簡單詼諧的對白，史上最輕鬆帶你看蓋房子的完整始末。

	 

人一生中購買的最大商品，應該就是自己的家吧！

	 

	找地、買地、蓋房子，比起直接買現成的房子，耗時、耗體力，更是耗腦力。在廣告公司工作的丈夫和插畫家的妻子，某天毅然決然的決定要蓋一棟自己的家。自此開始整整耗時兩年，期待又煎熬的築巢之旅！

	 

	永井夫妻用詼諧風趣的漫畫，鉅細靡遺的描繪出箇中的期待、苦惱、愉快、搖擺、滿足……輕鬆歡笑之餘，也詳盡描述了蓋房子時面對的問題和因應對策。

	 

	「下次想住在寬敞，有很多儲藏室的地方！！

	工作間也要寬敞！！

	反正要搬家

	買吧！！

	 

咦！？ 買房子？

公寓大樓，或者透天厝？

委託建築師好像比較好，可是一定很貴，太勉強了！！」

	 

	有一個自己的家，是每個人都有的夢想。無奈預算有限，沒辦法恣意地挑選。所以便宜行事，挑一間最符合預算的公寓？還是設計還算可以的透天厝？作者永井夫婦為了堅持設計品味，面對人生最大型的商品絕不妥協！

	 

	「基本設計完成後，找了三家公司估價，預算大幅超出。就算是最便宜的，也超過了一千萬日圓！

	受此打擊的妻子，好像已經變成『夠了，什麼都好………』的樣子了。」

	 

如果完美的設計格局，估價之後整整超出預算好幾百萬，要怎麼求解？

	 

	建築事務所Atelier Bow-wow到底是提出怎麼樣的改良方案，不僅通過預算、讓屋主夫妻接受，更驚呼「是一個不輸給基本設計案的有趣設計」，讓插畫家妻子找回精神！

	 

《我和建築師一起蓋一棟歪斜的家》是一本對於想要蓋住家的人最好的引導。

	 

	公寓大樓好，還是透天厝好？

	格局已經定型的成屋？還是客製化的房子？

	先買土地？還是先找建築師？

	和建築師一起蓋房子好像很貴？

	身為屋主對於自己的家的思考是？

	預算超過了，怎麼辦？

	 

種種發生的狀況和問題，透過作者詳細的描繪，帶領大家認識蓋房子的困擾以及成就感。

	 

	本書用四格漫畫以及簡單詼諧的文字，跟著作者永井夫婦的腳步，歷經不動產商不斷的誘導買成屋、貸款的時限以及房租的壓力，經過漫長的抉擇後，最後決定與建築師塚本由晴、貝島桃代所成立的Atelier bow-wow一起蓋一棟歪斜的家！

	 

	最輕鬆、有趣的方式進入與建築師一起蓋房子的世界，讓人馬上想要找建築師一起蓋房子。不僅如此，還有數篇對於建築深入剖析的短文、以及可以拿來參考的蓋房子指南。

	 

看了本書之後，和建築師一起蓋自己的家，不再是天方夜譚了。

	 

	現在隨著永井夫婦一步一步規劃實現「永井家」，也開始想像你的理想住家的藍圖吧。

	 

本書特色

	 

	◆用幽默詼諧的四格漫畫，帶領你一打開就停不下來

	 

	◆穿插的幾篇由建築師真壁智治、塚本由晴所撰寫的短文。趣味之餘，也可以思考建築之於個人以及建築之於社會的意義。

"
