ISBN,書籍簡介
9789864013449,"

演出即將開始，歡迎您一起來經歷古典音樂的至高饗宴，感受當指揮棒揮下之後，那股讓BRAVO喝采響徹廳堂的魔力吧！拋開艱深又難以親近的刻板印象，用最輕鬆、最情境式的方法重新感受古典音樂的知識與魅力本書並非是要「教導」、而是要「引導」各位摸索出最適合自己的品鑑門路與風格不論是從零基礎開始培養認知，或是想育成新世代菁英涵養的朋友都能在其中有所斬獲的一冊！由古典樂狂熱男子導覽， 漸漸被拉進古典音樂世界的女主角亞里沙。沒想到……這比自己認知的，還要棒多了！由一份樂譜推展開來的無限多種解釋，再加上音樂家各自的個性，使得相同曲子也有不同表現效果♪這正是古典音樂的深奧之處。如果豎耳傾聽每個樂音……全新的感動，正等著你去發現！「我是知道幾個著名音樂家名字，但對他們本身和代表作一無所知」「交響樂、管弦樂、協奏曲、室內樂、歌劇……雖然都統稱古典音樂，但細分下來好像挺複雜的，真是難懂」「覺得樂曲好聽，但不知道該怎麼更深入了解曲子相關的知識與故事」「我很喜歡吹奏樂器的表現，但說到古典樂好像都是以小提琴或鋼琴為主對吧？」「很想親身體驗現場演奏的魅力，但感覺自己的氣質和音樂廳格格不入」……etc.如果你有以上疑問、煩惱、或誤解，不管是從基礎知識認知，還是延伸到實際鑑賞與名曲選輯，都能在本書的協助下完成一次充實且美好的古典音樂世界體驗！古典樂是人類情感與文化的延伸，透過音符和樂器展現各式各樣的人生百態與自然情境，探究其創作根源與發展就能了解到，古典音樂乃是相當親切、親民，不論男女老少、身分地位，都能愉快欣賞、享受的藝術娛樂。是要聽熱鬧，還是聽門道？這並不是古典音樂的唯一解！在我們的日常生活中，古典音樂就如同電視戲劇中的背景音樂一樣，隨著我們的生活，藉由樂音的流動，展現出豐富多元的情境。配合當下的感受與情境，隨手點播一曲，讓樂曲與你的思緒、氣息相互連結，徹底品味那穿透身心靈的絕美體驗。欣賞古典音樂其實並沒有過多的限制，唯一可能出現的侷限，就是「當你誤解它遙不可及」的時候。現在馬上就來感受知名作曲家 × 代表曲交織出的音樂魅力吧！♫為什麼這是本最適合各種族群的古典音樂世界「導覽書」？★詳盡的資訊與專欄，輔以活潑生動的情境漫畫，理解更親民！☆豪華收錄知名音樂家、音樂史、樂團編制、曲目類型等等超詳盡的內容，隨心所欲挑選自己喜歡或感興趣的領域，皆能自在上手。★單元間環環相扣，接連觸發讀者對衍生知識的學習興趣。☆附贈精選29首名曲的CD，配合介紹，立即感受樂曲意境。★介紹目前最新的音樂家與音樂活動國際情勢，掌握古典音樂潮流的最新脈動！
                    
"
9789869829748,"


	名曲之所以經典，在於樂章的雋永；
	樂章之所以傳世，在於作曲家對音符的執著。
	精選100首的執著、100首的感動、100首的經典。

	★曾榮獲國立台灣藝術教育館「中小學優良藝術出版品」推薦
	★掃描QRCODE，古典音樂大師的100首經典名曲，風靡百年，魅力重現

	巴洛克四平八穩的樂風，曳曳獨絕；
	情感充沛的浪漫樂派，瑰麗雄奇；
	體現澎湃民族風情的國民樂派，質樸雅麗；
	而變化萬千的現代樂派，摧枯拉朽，風華獨具。
	請靜靜聆賞、細細體會，一首首名曲帶來的心靈洗滌。

	晨起時刻，帕華洛帝用溫暖明亮的歌聲詮釋《我的太陽》('O Sole Mio)，揭開嶄新的一天；緊湊樂句、動感節拍、力度不斷高漲的《大黃蜂的飛行》提振精神；或讓舒伯特來烹煮一道清新可口的《鱒魚》，為美味的午餐加料添香；午後暫且放下工作，讓心神徜徉在舒曼的《森林情景》；華燈初上，小約翰．史特勞斯《藍色多瑙河》幽幽繞繞，歐洲燈火便在眼前隱隱約約；夜闌人靜，聽布拉姆斯輕聲吟唱著《搖籃曲》，一夜好眠。

	本書精選100首在音樂史上流傳不絕、耳熟能詳、扣人心弦的經典名曲，從創作者、創作背景、成功的演出、有趣的創作故事、音樂家軼事，兼談相關的音樂知識；年代跨越了巴洛克樂派、古典樂派、浪漫樂派、國民樂派到現代樂派，概括了音樂史上重要音樂大師的精心傑作。

"
4717702099367,"


	全方位古典音樂基本知識一次上手！
	從基礎樂理到西洋樂器歷史，
	從音樂流派風格到知名作曲家。
5大流派ｘ16位作曲家x簡明圖解


覺得古典音樂「好像很難懂」，不知從何處下手嗎？
	不論你想知道：
	音階是如何被發現的？
	奏鳴曲與交響曲的差別在哪裡？
	貝多芬屬於古典樂派還是浪漫樂派？
	都能在本書中找到解答！


古典音樂原來這麼有趣！
	本書提供了入門必備的各項古典音樂基礎知識，並透過各種不同的角度做精闢解說。
	從古代音樂、巴洛克、古典樂派到現代音樂的歷史，知名作曲家們波瀾萬丈的人生及代表作品，古典音樂的風格及類型；
	更介紹各種樂器及樂器的構造和歷史。
	本書盡量避免出現過於專業的辭彙和術語，並配合圖解，讓想瞭解古典音樂的讀者都得以輕鬆閱讀。
	古典音樂不再高不可攀！

"
9789865112257,"


	古典樂，就是幾百年前的流行音樂！
	時至今日，它早已自然而然地融入我們的日常生活中。
	本書以漫畫搭配小故事，帶您輕輕鬆鬆踏入古典音樂殿堂！

	《交響情人夢》作者二之宮知子老師絕讚推薦！


	你有以下症狀嗎？
	◎想了解古典樂，卻不知從何下手。
	◎希望知道生活中耳熟能詳的樂曲由來。
	◎覺得古典樂艱澀難懂，一看相關書籍就召喚周公。
	◎想去聽演奏會，但擔心不懂禮節貽笑大方。
	◎對於音樂家的生活很感興趣。
	◎希望進一步充實有關古典樂的知識。

	如果，你符合上列任何敘述，快來翻開這本書！

	透過書中活潑詼諧的呈現方式，你會了解――「巴哈是超級奶爸」、「神童莫札特愛講冷笑話」、「貝多芬的屋子髒得嚇人」等等，知名音樂家的八卦趣聞；「演奏進行中，樂器斷弦的處理方式」、「指揮者昏倒時的代理人」等等，諸多演奏會的祕密；以及古典樂的分類；交響樂團中各樂器扮演的角色……

	不用正襟危坐、不需大把鈔票，搭配附贈的CD或掃描書中QR Code，邊看邊聽，一探古典樂門道。


	★掃描QR Code名曲立刻聽★
	只要用手機掃描散布書中的15個QR Code，就能馬上享受多首古典名曲。

	★隨書附贈超值CD★
	收錄56首古典名曲，加上196頁妙趣橫生的內容，物超所值，買到賺到！

"
9789864085699,"


前東京愛樂的海外公關部部長為古典樂新手寫的入門聖經！
清楚介紹古典樂的起源、演進歷史與重要的音樂家
讓你不再霧煞煞，開始享受古典樂的絕妙之作

	音樂是世界共通的語言，而古典樂的魅力更是歷久彌新，對現代人來說，提到西方古典樂，幾乎直接與18-19世紀的古典樂派、浪漫樂派的莫札特、貝多芬、舒伯特、蕭邦等人畫上等號，但廣義來說，古典樂可追溯到兩千年前，當時古希臘人就已將音樂定義為一門學問，也曾被納入奧林匹克的藝術競賽。

	從數學家畢達哥拉斯創造音階，成為西洋音樂的基礎原理後，樂器與音樂千年來已發展出許多形式，但早期的音樂只為宗教服務，是歌劇與舞蹈的配角，到了18世紀後半，演奏交響曲的管弦樂團才逐漸成為主角大放光芒，而譜寫出偉大作品的作曲家們也因此名垂青史。

	古典樂潮能席捲全世界，不僅因為天才音樂家輩出，也和工業革命、啟蒙運動等社會思潮有關。例如樂器技術的革新與大量生產讓更多人能接觸此技藝；市民權利的普及讓音樂會不僅限於上流階級才能欣賞，音樂家也能擺脫貴族僕役的束縛自由創作；交通網路的拓展讓演奏家的舞台更寬廣等。可見古典樂的發展與西方文明的進步密不可分。

	作者旁徵博引，從古典樂的歷史、流派、各種樂器的特色談到重要的音樂家與其作品、生平，更佐以豐富的照片、畫作，讓人伴隨著世界史認識古典樂之豐富內涵與精采故事。

"
9789578567160,"


最精簡的古典音樂名曲GUIDE
 讀完它、照著聽，古典音樂的世界就能一手掌握
 •日本amazon5顆星推薦
 •最長銷的古典音樂類書籍

  

這是一本只有音樂家才寫得出來的音樂書
 世界級交響樂作曲家／日本重量級音樂創作人吉松隆，
 最從音樂本質出發的名曲Guide，
 掌握曲式、樂派兩大關鍵，古典音樂真的能一下就聽懂。

  

 #貝多芬是因為寫不了能賺錢的歌劇，只好朝永恒的藝術之路奮勇前進，一輩子潦倒。
 #巴哈是將世俗音樂與宗教音樂結合，創造出古典音樂的第一個人，所以被稱為音樂之父。
 說到底，音樂還是要能娛樂眾人才賺得到錢呀！

  

•超多曲式沒在怕，一針見血的解說讓你一點就通
 交響樂是為交響（管弦）樂團所作的純器樂樂曲最高形式。
 協奏曲是獨奏樂器與交響樂團對奏的一種音樂。
 歌劇是歌手演唱並扮演故事角色的舞台藝術作品，管弦樂團則在樂池裡負責伴奏。
 此外還有奏鳴曲、室內樂、宗教曲等，真的各種類型都有呢。

  

•各種樂派超多變，瞭解精髓，掌握風格一點都不難
 古典樂派曲風就是端正高雅，用貝多芬的音樂，三兩下就能讓哭鬧的小孩安靜下來。
 巴洛克音樂對現代人是屬於「治療系」的音樂，端正高雅更勝古典樂派。
 民族樂派儘管帶有「鄉土味」，率直與熱情卻很迷人。
 現代音樂的特色在「沒有重點」，是一種無政府主義的音樂。
 此外還有浪漫派、後期浪漫派、近代樂派……雖然叫古典音樂，但卻是不停在求新求變呢！

  

 本書還有知道愈多愈有助益的音樂用語、必聽名盤推薦，及音樂家自己的聆聽心法。
 讀完它，即使是對古典音樂一竅不通的門外漢，也能很快有自己對音樂的品味和喜好。

  

【本書特色】
 1. 最懂音樂本質的古典音樂入門書，所有你需要的音樂基礎知識都在本書裡。
 2. 輕鬆逗趣的說明，在發出會心一笑的同時，讓你對音樂的認識更上一層樓。
 3. 手繪插圖，再繁複的音樂知識，都能一眼就看懂。
 4. 大師心法融會出的聆聽音樂秘訣，讓你能迅速徜徉在音樂之海裡。

"
9789574352173,"

解密幼兒爵士鋼琴Book 1/音名,唱名與音階,在音樂書海中,應該屬於少數以爵士音樂家的思維,幫助小朋友,從零開始,認識鋼琴鍵盤的音樂書,同時本書附上曲目伴奏MP3(QR Code掃描),也可使用於二位以上小朋友們為一班之入門教材.本著作強調小朋友,能以細心的觀察與圖像思考,學中玩,玩中學習彈奏爵士鋼琴所需要的音階,律動與爵士樂常用的英文和弦符號 , 並從小知道如何詮釋歐美爵士音樂曲風 ,進而祈望老師與家長們,利用本書中,詳細的文字說明,幫助小朋友同時擁有古典與爵士音樂雙語能力,讓古典與爵士的兩條腿,在音樂之道路上 , 走得長遠愉快 .最後感謝各界人士的一切協助 ,讓少有專為幼兒小朋友設計的爵士鋼琴入門教材,得以發行,才疏學淺,不足之處,懇請指教.
                    
"
9789574366361,"

解密幼兒爵士鋼琴Book 2/和弦,律動與曲目,在音樂書海中,應該屬於少數以爵士音樂家的思維,幫助小朋友,從零開始,認識鋼琴鍵盤的音樂書,同時本書附上曲目伴奏MP3(QR Code掃描),也可使用於二位以上小朋友們為一班之入門教材.本著作強調小朋友,能以細心的觀察與圖像思考,學中玩,玩中學習彈奏爵士鋼琴所需要的音階,律動與爵士樂常用的英文和弦符號 , 並從小知道如何詮釋歐美爵士音樂曲風 ,進而祈望老師與家長們,利用本書中,詳細的文字說明,幫助小朋友同時擁有古典與爵士音樂雙語能力,讓古典與爵士的兩條腿,在音樂之道路上 , 走得長遠愉快 .最後感謝各界人士的一切協助 ,讓少有專為幼兒小朋友設計的爵士鋼琴入門教材,得以發行,才疏學淺,不足之處,懇請指教.
                    
"
9789578567092,"


這是一本只有音樂家才能寫出來的音樂書
 大師心法融會出的「絶對必要」音樂知識，一看就懂，一懂就能用。
 輕鬆逗趣的說明，在發出會心一笑的同時，樂理變得再也不可怕。

你是聽熱鬧還是聽門道？看完這一本就知道。
 音樂史那麼長，音樂家又各有特色，到底該從那裡開始接觸？
 音樂流派那麼多，為什麼所有音樂最後都還是會和古典音樂拉上關係？

瞭解構成音樂本質的三項要素，讓你對音樂的問題都不再是問題。
 •樂譜：是記錄音樂的方式，是音樂家的語言，有了它，高低、快慢、強弱都有了表達方式。
 •和聲：是直向音符重疊和變化的方法，有了它，聲音就能從單純的音，變成複雜的音樂。
 •樂團：是讓不同音質的音結合起來的方式，藉由樂團不同的編制，音樂可以呈現出不同的風貌。

 從音樂的結構開始，藉由各種有趣的登場人物，吉松隆一步步地以最簡單的方式，帶領讀者進入音樂的殿堂，並糾正一般人對音樂的錯誤觀念，讓古典音樂變得快速易懂，一點也不可怕。

 原書名：《古典音樂簡單到不行》

本書特色

 1.最懂音樂本質的古典音樂入門書，所有你需要的音樂基礎知識都在本書裡。
 2.輕鬆逗趣的說明，在發出會心一笑的同時，樂理變得再也不可怕。
 3.手繪圖解，再繁複的音樂知識，都能一眼就看懂。
 4.大師心法融會出的「絶對必要」音樂知識，一看就懂，一懂就能用。

 附【隨便聽聽專欄】，一語道破古典音樂界的秘辛與迷思。

"
9789869602648,"


經典再現，《你不可不知道的100首鋼琴曲與器樂曲》全新重大改版！

	 

★掃描QRcode，經典樂曲立即穿越時空飄揚到耳畔

★新增精美彩圖，宛如回到兩百年前的音樂殿堂

★曾獲選為臺北市立圖書館「好書大家讀」知識讀物組最佳少年兒童讀物

	 

	大師與樂器，奏出風格各異的美好旋律。

	文字與樂曲，譜出視聽兼具的絕妙閱讀。

	 

精選40位古典音樂大師的100首經典名曲，風靡百年，魅力重現

	 

	最純粹的聲音，最脫俗的樂曲，精選巴哈、莫札特、貝多芬、孟德爾頌、蕭邦、舒曼、李斯特、柴可夫斯基、克萊斯勒、薩拉沙泰、帕格尼尼……等古典大師的鋼琴與器樂曲，成就你不可不知的100首經典，你不可不聽的100首的扣人心弦。

	 

樂器是旋律與世人之間的橋樑

	 

鋼琴曲與器樂曲是所有學音樂的人最早接觸的樂曲，簡單、純淨，相較於交響曲的氣度恢弘、協奏曲的錯縱華麗，更有著脫俗的清新質感。本書收錄古典音樂大師們流傳至今的100首經典名曲，以一貫的「輕鬆讀懂古典樂」為宗旨，從有趣的創作故事、音樂家的生平軼事及簡單明瞭的古典樂小常識中，引領你進入豐富多元的樂曲世界。此外，每首經典隨篇附樂曲QRcode，輕鬆掃描，經典樂曲立即美妙重現，享受絕無僅有的樂曲體驗。

"
