ISBN,書籍簡介
4719865570936,"

本書將日語演歌歌名以日語五十音的順序作編排，方便讀者尋找歌名。同時本書以中日對照的方式，將日語歌詞翻譯成中文，讓讀者更能了解與體會日語演歌的歌曲內容與意涵。
                    
"
4719865571018,"


	日語演歌曲譜第四集

"
4719865570035,"


 日語演歌曲譜第三集。

"
4719865570998,"

本書將日語演歌歌名以日語五十音〈あいうえお〉的順序作編排，方便讀者尋找歌名。同時本書以中日對照的方式，將日語歌詞翻譯成中文，讓讀者更能了解與體會日語演歌的歌曲內容與意涵。
                    
"
9789864801077,"


作曲、改編遇到瓶頸，該怎樣才能把曲子寫好？
	編寫和弦進行時，總覺得還是哪裡怪怪的……
	想要讓曲子的情緒表現更明顯，但不知道怎麼做？
	這時，就是需要重配和聲技巧的時候了！

	重配和聲，簡單來說就是和弦的置換技法。
	即使不更動旋律，只要調整和弦，就可以讓樂曲增添情感、閃閃發亮。不過，由於旋律不會改動，所以和弦並不是放什麼都可以，而是有一些基本的方法原則。
	本書將從最基礎的重配和聲知識開始解說，透過50種示範例，從連初學者都能立刻學會的簡單實用技巧到稍微有點複雜的專業技法都一一詳細說明；此外，為了讓說明更加好懂，全書範例都以四小節為主，並且將曲調定為C大調、A小調，帶領讀者輕鬆愉快地踏入重配和聲世界！

	◎本書附有重配和聲前後的鋼琴演奏音檔以及編曲版本，方便讀者聆聽參照；亦附有MIDI檔，因此可在DAW上確認和弦聲位。

"
9789868995239,"


	學習古典音樂傳統以來都是以五線譜為基礎，故無五線譜識譜能力的人一直是裹足不前無從學起，因此本社精心編輯出版了(世界古典名曲精華)首創(用簡譜演奏古典名曲)並編配和弦及首調和弦代號，盼能在短時間達成演奏古典樂曲的目的，舉凡各種中西樂器都能輕易上手，並附上(五線譜與簡譜對照)讓會五線譜的人也可以對照簡譜學習使用。

"
9789868995222,"


	本書收錄了歷年來流行排行金曲，永難忘懷的創世經典情歌，全美冠軍排行榜、電影主題曲之精選集，流行樂天王、天后不朽的經典金曲，橫跨半世紀的雋永情歌，首首都能撼動人心，深情感人，絕對值得珍藏的好書。

	增訂(加值版)16頁

"
9789576009600,"

本書精選懷念的愛國、康樂、流行歌曲及中外名曲，首首動聽，曲曲扣人心弦，提供給愛好音樂之演唱者、演奏者之最佳工具書。
                    
"
9789576009617,"

本書精選懷念的國台語、民謠、金曲等，首首動聽，曲曲扣人心弦，提供給愛好音樂者之演唱、演奏之最佳工具書。
                    
"
9789576009594,"


 本書精選懷念的國、台語老歌、民謠、金曲等，首首動聽，曲曲扣人心弦，讀者只要人手一冊，保證歡唱無限。

"
9789868995246,"

懷念的昭和演歌暢銷曲，翻唱了(台)(國)語經典老歌，採用大字體、漢字注音及歌詞中文翻譯。演唱時可第一遍日語或第二遍套入 (台)(國)語歌詞唱法歡唱教學。
                    
"
9789869835138,"

●學會6個基本伴奏型態就能彈奏古典名曲！●全書以C大調改編，初學者也能簡單上手！●樂譜採左右手簡譜型式，彈奏視譜輕鬆又快速！●樂曲示範MP3免費下載！★★ 樂曲示範MP3免費下載(需登入麥書文化官網會員) ★★ https://bit.ly/375KbP5
                    
"
