ISBN,書籍簡介
9789860639421,"

1.	每週練習，築夢踏實 規劃了現代人每週練得完的進度，符合當代需求2.	精確掌握練習時程綜合「行事曆、記事本、樂譜」的版面設計，練琴有效率3.	循序漸進，由淺入深左右手分開訓練，從基礎到綜合4.	掃描QR Code線上影音示範老師隨時隨地在你身邊
                    
"
9789869835190,"

暢銷十餘年最佳吉他叢書，無須任何音樂基礎，人人皆可輕鬆自學。●入門－吉他彈唱、演奏入門教本，基礎進階完全自學。●詳盡－精選收錄中文流行、西洋流行等必練歌曲。●專業－譜面清晰、圖文並茂、解義正確、一目了然。●編曲－最佳彈唱編曲，擺脫教材不合邏輯的編曲方式，曲曲皆能彈唱。●攻略－理論、技術循序漸進，吉他技巧完全攻略。本次改版增加了許多熱門的傳唱歌曲,像是，刻在我心底的名字(盧廣仲)、Mojito(周杰倫)、與我無關(阿冗)、我還年輕我還年輕(老王樂隊)、有點甜(汪蘇瀧)、阿飛的小蝴蝶(蕭敬騰)、說好不哭(周杰倫)、追光者(岑寧兒)、體面(于文文)、想見你想見你想見你(八三夭)...等。多數樂譜均遵循原曲編曲編寫，並不刻意簡化彈奏調性，經過編寫出來的樂譜，合乎彈奏慣性。另外也針對文字與技巧做了局部增修，特別是現在流行編曲用了很多的連接和弦(Passing Chord)，在本版次也有較多著墨。希望大家學的愉快！
                    
"
9789868770737,"


	嚴選中外名曲二十二首，精彩改編。
	五線譜和六線譜（TAB）對照，方便古典和民謠演奏者。
	難度分為初、中、高三級，初學者和進階者皆適用。
	線圈活頁裝訂，可以服貼於譜架上。
	掃描QR碼，可於YouTube和優酷觀看演奏示範。

"
9789579755641,"

【第一部份：新手上路】 ... 12 吉他各部位名稱 ................ 13 調音器、節拍器 ................... 14 移調夾、彈片 .................. 15 如何選購一把好吉他 ............... 16 Lesson 1：彈奏姿勢 固定琴身 ..18 右手撥單音的姿勢 .............. 19 左手按弦姿勢 ................. 21 音程、音階與調性 ............. 23 彈奏C大調音階 .................... 24 右手刷弦 ..................... 25 左右手一起練習 ................... 26 隨堂筆記 ..................... 27 Lesson 2：和弦互換 ...........28 基礎樂理 ..................... 29 音程推算 ......................... 30 完全五度與減五度 ............. 31 練習曲 T1213121（五月天）........ 32 Lesson 3：右手下刷 ...........33 和弦互換 ..................... 34 三和弦結構 ....................... 35 C大調順階三和弦 ............. 36 順階和弦的應用 ................... 38 練習曲 星空（五月天）............. 40 練習曲 T1213121（五月天）.... 42 Lesson 4：右手上刷 ...........44 練習曲 最好的結局（八三夭）....... 45 右手彈奏姿勢的建立 ........... 46 拇指撥弦 ......................... 48 右手123指同時撥弦 ............ 49 Lesson 5：右手刷弦 ...........52 C大調順階三和弦 .................. 53 右手基本概念 .......................... 54 反向T321 ......................... 56 指法綜合練習 .......................... 58 練習曲 擁抱（五月天）............. 60 練習曲 心牆（郭 靜）.................. 62 Lesson 6：節奏概念 ...........64 16 beats的節奏 .................... 65 8 beats的節奏 ......................... 66 【第二部份：彈彈唱唱】 ... 67 移調夾Capo ...................... 67 填填看................................ 68 練習曲 寶貝（張 懸）............. 69 練習曲 接不接受（河仁傑）............. 70 練習曲 是什麼讓我遇見這樣的你（白 安）72 練習曲 你不是真正的快樂（五月天）..73 練習曲 Love Story（Taylor Swift）..... 74 練習曲 寶貝多多（PiA樂團）........ 76 練習曲 烏克麗麗（周杰倫）............. 78 【第三部份：更上層樓】 ... 80 Lesson 7：單音的彈奏與表情 ...80 勾音 (Pull Off) ................... 81 非空弦的勾音 ......................... 82 滑音 (Slide) ..................... 84 C大調音階 Pattern 3 .................. 85 Lesson 8：G大調 ............. 86 G大調順階三和弦 ..................... 87 G大調順階和弦進行 ............... 88 封閉和弦的推算 1 ..................... 89 封閉和弦的推算 2 ................. 91 封閉和弦的推算 3 ..................... 92 練習曲 T1213121（五月天）....... 94 練習曲 青花瓷（周杰倫）.............. 96 Lesson 9：使用級數移調 .......98 Lesson 10：七和弦 ............100 C大調順階七和弦整理 ................. 102 低音線編曲 ....................... 103 練習曲 紅塵客棧（周杰倫）............. 104 練習曲 我的歌聲裡（曲婉婷）....... 106 練習曲 乾杯（五月天）................. 108 Lesson 11：G大調順階七和弦 ..110 G大調的低音線編曲 ............... 111 練習曲 因為愛（韋禮安）............... 112 練習曲 天后（陳勢安）............. 114 【第四部份：談談唱唱、彈彈唱唱】 Lesson 12：採譜(抓歌) ... 116 練習曲 在我身邊（林 綾）............. 118 練習曲 同一個下雨天（PiA樂團）.... 120 練習曲 旅行的意義（陳綺真）........... 122 練習曲 我不願讓你一個人（五月天）124 練習曲 五天幾年（林 凡）............. 126 練習曲 愛很簡單（陶 吉吉）......... 128 練習曲 小手拉大手（梁靜茹）........... 130 隨堂筆記 ......................... 132
                    
"
9789868855304,"

前言「烏 克麗麗」翻譯自英文名字「Ukulele」，來自於美麗的夏威夷，是一種很棒的樂器，擁有完整的音域、優美的音色與豐富的音樂表現力。其實我們時常會在卡 通裡看到它，例如星際寶貝、海綿寶寶等。它也常出現在廣告、歌手的音樂錄影帶或是國外的影片裏，只是我們從來沒去注意它，只把它當成是玩具、道具，或以為 是小吉他。彈奏烏克麗麗的方法有很多種，可以說只要能發得出聲音來的方法就是「可以用」的方法，但卻不見得是「好」的方法！這本「烏克麗麗玩家」裏不但要告訴大家較好的方法，並且清楚的引導你一條最佳路徑去練成這個好方法。烏 克麗麗有一部分彈奏方法類似於古典吉他，另有一部分彈奏方法類似於民謠吉他，還有一些彈奏方式與班鳩琴、曼陀林、琵琶等世界各地的彈撥樂器相似。內涵非常 豐富，可以學的東西很多。請千萬不要劃地自限；不要只把它當玩具；不要以為它專屬於兒童；不要只學三四個和弦，唱幾首歌就說學完了。烏克麗麗擁有的天空還 非常的寬廣，值得去不斷地探索與品味。學習烏克麗麗的彈奏應該同時培養以下幾種能力，交替學習，相輔相成：一、 獨奏能力 ~ 包含基本動作的引導與訓練，以及透過各種手型、指法與樂曲的訓練，建立演奏各種風格之獨奏曲的能力； 二、 彈唱能力 ~ 透過和弦與節奏的訓練，培養為歌曲伴奏的能力與自彈自唱的能力； 三、 合奏能力 ~ 透過旋律與和弦搭配練習，以及重奏樂曲的練習，逐步訓練合奏能力。四、 識譜能力 ~ 透過對樂理的理解以及對音樂工具的掌握，培養解決音樂問題的能力，以及面對演奏需求變化的應變能力。烏克麗麗雖然入門容易，但是千萬不要因為這樣而小看它。它和鋼琴、提琴、吉他等樂器一樣是一個完整的音樂展現工具，可以演奏各種風格的音樂。它可以很小品也可以很華麗，可以很流行也可以很古典。請不要只把烏克麗麗當成玩具，雖然它真的很好玩！學習烏克麗麗同時應該包含「學音樂」以及「學習演奏烏克麗麗」這兩件事。若能深入學習，您必定會發現更多的樂趣。這本「烏克麗麗玩家」採用由淺入深、循序漸進、按部就班的引導式教學，帶您進入烏克麗麗的世界。「烏 克麗麗玩家」不只教您演奏烏克麗麗的好方法，也帶您透過烏克麗麗來認識音樂。學習任何一種樂器，都不能不懂音階、節奏、調性、樂譜記號等基本樂理；若逃避 了這些音樂的基本知識，就限制了樂器在自己手上所能創造的樂趣。無論您有沒有音樂基礎，都請不用擔心，因為在「烏克麗麗玩家」裏，會以最平易近人的方式幫 您了解與活用這些樂理。本書盡量採取連小朋友都看得懂的方式來編寫，但是絕對不只適合小朋友看而已。學習烏克麗麗沒有年齡限制，閱讀「烏克麗麗玩家」也沒有任何限制，任何年齡都可以是傑出的玩家。不同年齡的玩家，自然會從烏克麗麗得到不同的體會與樂趣。
                    
"
9789869489393,"

你想快速學會烏克麗麗？( •́ _ •̀) ？ 還是..快樂學烏克麗麗(ﾉ>ω<)ﾉ很多人開始彈烏克麗麗就是因為它簡單好學，也因為如此，很多教本都標榜快速學習，但是只追求快速學會的結果，就是各方面都囫圇吞棗學不好。雖然很快就學了一首歌，卻沒有學會樂譜怎麼看，拍子怎麼數，和絃怎樣換，長期下來，不僅基礎不扎實，實際進度慢，遭遇的學習瓶頸還會多到讓學生想放棄！學烏克有更好的方法！(✪ω✪) 如果學烏克能循序漸進，從最簡單的和絃、節奏和旋律開始，學好基礎的樂理和讀譜的技巧以後，再加上其他和絃及節奏變化，這樣不僅能打好扎實的基礎，以後學習其他的歌曲甚至轉換樂器也都能快速上手。這就是烏克知音最重要的基礎概念。☆烏克知音 一本循序漸進又兼顧彈奏樂趣的好教材烏克知音是特別針對音樂初學者設計的教材，內容包含豐富的知識和樂理常識，不僅在歌曲旋律、節奏及和絃各方面都循序漸進，每一個學習階段和單元也安排了大量歌曲，遇到新的節奏及和絃還有各種小練習幫助你更快進入狀況。而且收錄的歌曲旋律也特別為烏克量身打造，每一首歌曲的旋律都可以用烏克麗麗彈奏，不用怕音域太低無法彈，或音域太高音不夠。烏克知音的特色☆循序漸進的節奏安排烏克知音從一拍、兩拍、三拍、四拍等最容易數的節奏開始，再慢慢導入比較困難的附點、半拍和四分之一拍。學好各種拍子的數法，當然就不需要再痛苦的跟著音樂一句句模仿了。☆由簡入繁的和絃教學彈一首歌要學好幾個新和絃，按都按不好了，還要換來換去，對初學者來說真是痛苦又麻煩。如果能用好幾首歌來學一個新和絃，那不就輕鬆多了？烏克知音從最常用的基礎和絃開始，每教一個新和絃都安排了很多首歌曲可供練習，熟練以後再學新和絃，就能輕鬆上手。☆好彈好唱、獨奏合奏都超棒除了可以刷奏和撥奏以外，本書所有歌曲的旋律都可以使用21吋的烏克麗麗彈奏，即使用最入門的彩琴，也沒有音域不夠的問題。大多數的歌詞都經過精心設計編寫，簡單易唱而且押韻順暢。歌曲也搭配有各種刷奏和撥奏節奏型，學生能開心的自彈自唱，或者跟朋友合奏，用來上團體課效果也非常好。☆五線譜、簡譜、TAB譜三譜並列，輕鬆學看譜，不再霧煞煞學古典音樂的人習慣五線譜，學流行音樂的喜歡看簡譜，彈吉他的人愛看TAB譜，沒問題！烏克知音所有的歌曲都採用三譜並列的方式，不管學過什麼樣的樂器，在烏克知音裡一定能找到習慣看的譜，還能透過對照方式學習讀新的樂譜。而且烏克知音TAB譜採用附有節奏符桿的專業寫法，往後要改彈吉他，也能馬上適應。☆線上影音示範，隨時隨地，想看就看不知道這首歌怎麼彈嗎？沒問題，老師馬上彈給你看！不要再辛苦的到處找CD機！打開手機，掃描QR code，馬上就能聽到示範演奏。想要聽旋律邊刷邊唱？要演出沒人彈伴奏？打開手機，刷個QR code，有網路的地方，就隨時能學習，隨時都可以輕鬆演奏！
                    
"
9789869149860,"

最完整的烏克麗麗教學書，從零基礎開始講解。內容包含三大方向：「單音」、「彈唱」、「演奏曲」。還有重點樂理解析和Baritone烏克麗麗。內容包羅萬象，系統分明，實用度超高！帶領讀者廣泛地瞭解烏克麗麗的多種表現方式。【特色】◎收錄多首華語、西洋熱門歌曲，各種練習範例，一本滿足！◎QR掃碼線上影音示範教學，自學免煩惱！◎簡練而一目瞭然的圖文排版，讓你體驗舒適的閱讀感受。◎單音篇：指板音階詳解，結合單音練習曲，訓練主奏旋律操控。◎彈唱篇：系統清晰的和弦與伴奏概念說明，建立彈唱基礎。◎演奏曲篇：培養獨奏實力，朝指彈領域邁進。◎Baritone篇：認識中音烏克麗麗的彈法，領域更加擴展。◎烏克麗麗及Baritone烏克麗麗的順階和弦總表，查詢便利。
                    
"
9789869724654,"


	吉他和弦千變萬化，雖然說簡單幾個和弦指型，就可以彈遍大多數的流行歌曲。不過對於那些想更深入探索吉他奧妙的人，基本和弦指型已經無法滿足不斷延伸的求知欲。深入學習吉他和弦的理論與演奏，將大大提升編曲表現上的可能性。本教材針對吉他和弦做了深入的剖析，跟著這套教材學習，任何人(當然包括你) 都可以用吉他彈出各種和弦的各種聲部，盡情表現吉他和弦之美。

課程規劃包括：

	《附教學影片二維碼》
	第一部分   基本和弦指型的延伸變化
	第1章    C開放和弦指型的延伸變化
	第2章    D開放和弦指型的延伸變化
	第3章    E開放和弦指型的延伸變化
	第4章    F開放和弦指型的延伸變化
	第5章    G開放和弦指型的延伸變化
	第6章    A開放和弦指型的延伸變化
	第二部分    和弦聲部的深入學習
	第7章     三和弦的轉位
	第8章     三和弦的擴張聲部
	第9章     七和弦Drop2聲部 ( Part 1 )
	第10章    II-V-I的聲部導向
	第11章    Drop2和聲技巧練習
	第12章    屬七降九和弦與減七和弦
	第13章    七和弦Drop2聲部 (Part 2) 　
	第14章    七和弦Drop3聲部 (Part 1)
	第15章    七和弦Drop3聲部 (Part 2)
	第16章    七和弦Drop2聲部的延伸變化
	第17章    七和弦Drop3聲部的延伸變化
	第18章    不同和弦的共同指型

課程簡介：
2020 最新版，隨書附贈6小時教學影片

	為了確實發揮這份教材的效用，我想在此強調一些重要觀念：

	1. 這份教材最寶貴的地方在於整理出很豐富、很有條理的和弦結構圖給吉他手練習，藉由和弦結構圖來理解和弦的按法，而不是死記指型卻不知和弦結構。學員所必須做的最基本訓練，就是詳細觀察書中所附的和弦結構圖並且很確實地把它彈出來，指型中的每一個音都要很清楚的彈出來，同時也要很清楚每個音的結構。〈哪個音是根音、哪個音是三度音、哪個音是五度音、哪個音是九度音...〉
	   
	2. 要具備紮實熟練的吉他和弦表現能力，事實上是需要付出許多時間練習的，只有持續練習才能讓手指與頭腦靈活反應。這份教材的內容可以幫助學員徹底掌握各種主要的和弦結構，但你必須花時間去練習，這無法速成，也不是隨便可以做到的。花一個星期的時間持續練習1~3頁的內容是很正常的，所以一個用功的吉他手大概也要花一到兩年的時間才有辦法練完所有內容。  
	   
	3. 本教材著重在和弦結構的記憶與基礎演奏力的加強，但是如果不知如何利用和弦來表現音樂，單純地演奏和弦本身是沒有多大意義的，至於如何利用和弦來表現音樂這個課題，請參考酷派音樂出版的其他教材。
	   
	4. 學習吉他勢必會有許多疑惑，最好的方法就是跟好老師上課，這是無法取代的。好教材是絕佳的教學輔助資料，但任何教材都無法主動偵測你的問題並提供解法，因為這是好老師才有辦法做到的。
	    
	最後我還是想提醒一次，教材本身是一個沒生命的東西，它不會主動改變你的能力，你必須持續花時間練習教材中的內容，才會隨著時間進步。
	    
	我是蔡文展，在此獻上我最深的祝福，有空記得到www.wenguitar.com看看吧！

"
9789869835114,"

●各種節奏詳細解說●基礎進階最佳教材●中西流行必練歌曲●經典指彈歌曲、吉他編曲教學●前奏影音示範、原曲仿真編曲
                    
"
9789869835107,"

●最經典的民謠吉他技巧大全●收錄多首近年熱門流行彈唱歌曲●基礎入門、進階演奏完全自學●精彩吉他編曲、重點解析●簡譜、六線套譜對照●詳盡樂理知識教學/// 2019全新改版 ///◆熱門華語流行歌曲精彩收錄！｜周杰倫〈說好不哭〉、〈告白氣球〉、〈不該〉…｜周興哲〈如果雨之後〉、〈怎麼了〉…｜李榮浩〈李白〉、〈演員〉、〈年少有為〉…｜盧廣仲〈快魚仔〉、〈幾分之幾〉…｜鄧紫棋〈光年之外〉、〈倒數〉… ◆點閱破千萬歌曲不錯過收錄！〈小幸運〉、〈兜圈〉、〈我還年輕我還年輕〉、〈說散就散〉、〈追光者〉、〈雪落下的聲音〉、〈體面〉、〈畢竟深愛過〉、〈有一種悲傷〉、〈剛好遇見你〉… ◆最經典民謠吉他技巧大全、簡譜與六線譜對照、及最精彩的吉他編曲盡在本書！◆從基礎入門到進階演奏完全自學，吉他玩家不可錯過本書！

"
