ISBN,書籍簡介
9789869926904,"

◎以國民樂器直笛，簡單吹奏出感動人心的優美旋律，輕鬆走進音樂的世界。◎充滿愛與溫暖的直笛曲集，10童謠曲集、6首古典樂曲集、9首讚美詩歌曲集，適合初學者或已具備音樂基礎者演奏的曲目。◎以放大直笛指法圖示對應於樂譜下方，指法清楚、閱譜清晰，配合耳熟能響的旋律，使小小朋友與爺爺奶奶都能輕鬆學習與入門！ ◎本書附獨家精彩吹奏教學影片頻道，並持續更新中。直笛——「高音直笛」可說是家家戶戶都有的國民樂器，也是多數人在學齡期第一種啟蒙樂器，其淳樸、典雅、優美且純淨的聲音，受到當代大眾的喜愛，並被推廣至兒童及青少年的學校音樂教育，由於直笛的入門門檻與成本較低，演奏技巧相較於其它種樂器較為簡單直接，在世界各國常成為學習音樂的入門樂器。然而高音直笛雖相當普及，但針對高音直笛所編著的樂譜曲集卻不多見，因此這本曲集編輯了多首童謠、古典樂曲與詩歌，將其音域移至適合高音直笛吹奏的調性，並在樂譜中同步標示「高音直笛指法」，方便讀者參照，以降低吹奏的難度，使人人都能簡單上手！耳熟能響的旋律、適合居家吹奏、親子同樂，小小朋友與爺爺奶奶，都能輕鬆地在遊戲中學習與入門！只要動動手指、順順呼吸，便能透過直笛旋律創造親子交流、家居同樂音樂環境。註：本書中所使用的指法，皆為「英式直笛」的系統。更多精彩內容請見http://www.pressstore.com.tw/freereading/9789869926904.pdf
                    
"
9789869378765,"


你還在為找不到高音指法而煩惱嗎？
你確定沒有更適合更省力的指法嗎？


	這是一本高音指法秘笈，單音範圍是C#6-E7，震音是C#6-C7，一共整理出多達一百七十幾組指法，是讓你在練習時事半功倍，演奏上得心應手的錦囊妙「技」。

"
9789869913348,"


「把老師帶回家！」
市面上最詳盡的烏克麗麗影音教學書！
1分鐘絕對讓你會彈烏克麗麗！

	 

	★附贈【教學QR code】每一首曲子都有真人示範演練

	 

	相信大家都喜歡音樂，也懷有自彈自唱的夢想，或許不用很高超的技術、很複雜的樂理，只想純粹享受自己能彈奏音樂的快樂。

	小巧可愛的烏克麗麗是療傷系的樂器，無論是流行歌曲、教會詩歌與心靈治療，都具有非常好的效果！

	買了一把烏克麗麗，卻無法入門嗎？
	您知道吉他譜不適合學烏克麗麗嗎？
	上網學烏克麗麗，影片卻看不清楚嗎？
	買了烏克麗麗書籍打算自學，卻發現沒有真人親身示範？

	 

	這是第一本專門為烏克麗麗所設計的學習書~
	讓你從「生日快樂」到「淚光閃閃」，
	從「李大仁之歌」到「Crazy G」，
	從調音開始，一步一步帶著你學會烏克麗麗，
	相信自己！你也能彈出「卡農」！

	 

	Aguiter老師藉由分享多年來教學的心得，從完全不會彈到知道怎麼彈的同學心態寫起，試著用親切的方式，讓同學們簡單而純粹得到演奏音樂所帶來的幸福與快樂！ 準備好彈奏開心的烏克麗麗了嗎？同學們，一起來吧！！！

	 

	 

	Aguiter老師明白，烏克麗麗新手一顆單純想學音樂的心！

	親切易懂的教學方式，挑選專門烏克麗麗彈奏的歌曲。
	8堂課完全學會烏克麗麗獨奏、自彈自唱、演奏三大技巧！

	 
	十數年任教於學校、社團、醫學中心、教會經驗的Aguiter郭志明老師，嘔心瀝血錄製DVD影音，完全親身示範書中曲譜，讓你對照書本、看著影片就可以學會烏克麗麗，立刻上手演奏！

保證只要書裡有的，影片也絕對仔細教你！
有了這本書，不再當烏克麗麗孤兒~

"
9789869829786,"


全新增訂內容，
	◎跟著這本書，讓我們一窺的製琴世界
	◎新增多張手繪插圖


	選料、拼板、刮板、音孔音梁、合琴、隨琴、刻頭、裝頭、油漆、裝配等幾道工序組成。
	無聲的手創造有聲的製琴師。

	★本書榮獲國立台灣藝術教育館「中小學優良藝術出版品」推薦

	猶如輕風拂面般輕鬆流暢的文字，卻有讓讀者一篇接一篇欲罷不能的魔力。

	學樂器、愛音樂者，閱讀此書如遇知音
	與音樂無淵源者，則不斷有挖寶的驚喜。

	跟著作者對提琴的熱情與豐富知識，一步步進入外人難窺堂奧的提琴世界，或知悉「秘密」，或讚佩工藝，或對於特別的製琴城鎮之旅印象深刻，不知不覺也能體會其間趣味，並愛上提琴，更進一步了解音樂、藝術與古董。

	提琴充滿著神祕性與藝術氣息，自古未有樂器如提琴一般，具有如此豐富的文化內涵。

	人們鑽研琴藝、尋覓收藏名琴、探討製琴的祕密，曲折的過程交織成一首首動人心弦的樂章。環繞在提琴周圍的人，如製琴師、修琴師、演奏家及琴商，他們的故事不曾間斷，精釆的情節，絕對引人入勝。

	本書描述作者多年來學琴、製琴、修琴的各種經歷，及其觀察所得。此中既有人性的爾虞我詐，也有愛情的溫馨感人；也提到了提琴經濟的興衰，製琴名城的歷史滄桑，以及新興琴鎮的崛起，和工業化製琴所帶來的影響。當然，不可或缺的，作者也介紹了提琴各個部件的材質與特性，和它們對於一把好琴所帶來的決定性作用。看完此書必可對於提琴的各個方面有全面性的認識。

"
9789869784252,"


	Mozart KV.314常常被國際比賽、樂團考試第一輪、入學甄試選定為指定演奏曲。台灣音樂教育深耕50餘年，許多優秀的音樂人才紛紛在世界各地深造，更在許多國際比賽嶄露頭角，他們豐富的參賽經驗與世界好手觀摩切磋的演奏心得，能夠收錄下來與大家分享實在是一件很棒的事。

	演奏教學經歷豐富的留法長笛演奏家Hsiao-Pei Iris MA馬曉珮副教授，邀請畢業於法國國立巴黎高等音樂院長笛演奏家珈妏Chia-Wen OU(Conservatoire national sup é rieur de musique et de danse de paris)

	與德國薩爾高等音樂學院最高演奏文憑長笛演奏家林于斐 Yu-Fei LIN(Hochschule f ü r Musik Saar , Konzertexamen)

	一同編輯全新版本並分享珍貴的裝飾奏，為長笛作品再添一筆的可貴紀錄。樂團改編成鋼琴譜的部分由留美鋼琴博士黃楚涵Chu-Han Huang(University of Texas at Austin , D.M.A.)將多年鋼琴合作上的經驗與研究集合編輯收錄在這本樂譜中。

	這些優秀的音樂家們各個都是台灣之光，藉由此次出版紀錄傳承讓這首經典的作品有更廣闊的視角並注入新時代的生命力。

名人推薦

	莫札特的長笛協奏曲KV314可謂曠世經典，能夠有台灣頂尖長笛演奏家所編譯的版本，藉由樂譜中編譯者所譜寫的種種記號，讓讀者深刻理解演奏家對於此曲的詮釋，實在是一大福音！－德國紐倫堡音樂學院最高演奏文憑、前香港小交響樂團長笛首席　洪健鈞

	莫札特協奏曲KV314是長笛、雙簧管學子必修的重要曲目。作為最具代表性的歌劇作曲家，莫札特也將其戲劇創作中的機智幽默展現在質量均豐的氣樂曲中。這次新編的版本，為莘莘學子提供編者自身寶貴的經驗與全新的視野。期待愛樂者能重新享受學習這首永垂不朽的經典。－現任職德國福士愛樂(Würth Philharmoniker)首席短笛、維也納愛樂暨維也納國家歌劇院樂團館史上首位亞裔長笛協演團員　謝佩珊

	儘管莫札特的「D大調長笛協奏曲KV314」是他出於急迫而從雙簧管協奏曲移調完成的，這首曲子的價值仍然影響不了後世音樂家們對於「如何詮釋此作品」的熱切追求。在缺乏完整手稿的情況下，維也納音樂之友協會檔案室裡的十八世紀抄本似乎讓真理出現在眼前；然而閱讀古老樂譜就像閱讀古文一樣，也需要更多專業的訓練—因此，三位優秀老師在尋找真理幽暗的道路上提供了一盞明燈，更嘗試摸索創作出個人華彩裝飾奏—這些過程，定能提供更多詮釋靈感。首先向各位前輩同儕的用心表達敬意，更祝福各位也都能找到屬於自己心中的「莫札特」！－奧地利音樂藝術家樂團長笛首席、國立維也納音樂暨表演藝術大學兼任教師　陳廷威

	全世界的演奏家終其一生都在追求莫札特音樂的真、善、美，曉珮老師把積累的演奏和教學經驗，歷練成最珍貴的音樂語言，記錄下來與我們分享，如此善念將造福全人類並賦予這部經典作品新的藝術價值。－胡志瑋

"
9789869149891,"

本書的使用方法，提供二胡C、 D、G、F、A- Bb、Bb 調完整的音位表，提供練習曲，音域盡量以三個把位為主，藉以熟練二胡常用的音符，樂曲則選用樂壇流行的音樂為中心，配合編者提供的弓法、指法練習，期望愛樂者能更有自信的掌握曲子，演奏出心中理想的聲音。▲書內附二維碼：掃描伴奏mp3檔▲二胡音階把位示意圖/常用演奏符號說明【收錄歌曲】所有歌曲附贈 二胡樂器演奏之伴奏QR Code
                    
"
9789864801251,"


通用概念╳軟硬體構造效果╳造音混音技術
打造原創音色個性、各類電音曲風詮釋力！

	電子音樂通常是作曲、聲音製造與混音同時進行，混音又是作品的成敗關鍵。混音除了讓聲音更加悅耳之外，還具有藉由聲響傳達主張的作曲行為。
	本書以軟體音源等基本音色為例，示範混音該以何種效果處理，塑造聲音個性，又具備好音色、聲音強度和質感的具體執行方法。利用本書專屬示範音源及素材，實際體驗處理的前後差異，隨心所欲塑造聲音形象。

專業推薦
DJ Mykal a.k.a.林哲儀 台灣首席DJ、知名樂評／評審
fish.the 知名電音製作人、中原大學數位音樂講師、Ableton認證講師
Starr Chen陳星翰 華語金曲製作人
黃韻玲 知名歌手／演員／音樂製作人、果核音樂創辦人
黃少雍 音樂製作人、派樂黛唱片負責人

日本書評
	‧這本和其他書不同，可以理解到Mixdown、mastering階段的作業，是研究創作電子音樂的好書！
	‧這本書是以不同DTM環境為前提，不只是ableton Live使用者，也很推薦其他DAW使用者閱讀。
	‧我在看這本書之前，大概看了10本相關的書，但這本讓我學到很多新的東西，例如「再怎麼玩弄低音，也無法提升音壓的原因」、「遮蔽效果」等等，參數解說不會很制式，非常好理解。

"
9789869724678,"


	本教材將與您分享如何用薩克斯風來吹奏即興，內容中詳細介紹多種基本即興架構的練習，再慢慢帶您進入演奏即興的階段。課程一開始將會先從當你拿到樂器必經的一些基本功練習，為您設計出各式各樣的練習模式，讓你從這些枯燥的基本練習中添加許多新鮮感，以及明確的練習目標。

	 

	而本書籍也將介紹一種近年來開始廣泛使用的電子樂器-電吹管（電子吹管樂器），在目前市面上有限的相關資訊中，獨家為您做電吹管的一些基本介紹以及演奏示範。 

	 

	課程最後將附有兩首專輯中的單曲：Let's Do It Again重來又何妨、Conference Call電話會議的全樂曲、全譜，以及純樂團伴奏版本，讓您聆聽後亦能夠跟著伴奏來演奏，享受如融入在樂團的合奏!!

	 

第一單元- SAX基本功練習：長音練習、點音練習、音階練習

	 

	長音練習 - 基本練習中最主要的長音練習，不僅只是吹長而已，你可以有數種練習的方式，比如音量上的變化，並且有許多平均與控制等相關細節，都是需要注意的。

	 

	點音練習 - 在本單元內容中，富有21種不同節奏變化的點音練習，以及重音位置的變化，讓乏味的練習變得更豐富，效果更佳！

	 

	音階練習 - 在本單元的內容中，將會指導您如何音階搭配節拍器作階段性的練習，並附有12個大調的譜例；音階練習中亦有許多要點，影片將一一為您說明。

	 

第二單元- SAX即興演奏法：即興演奏練習、風格與節奏選用、即興的旋律處理

	 

	即興演奏練習 - 即興雖然說來複雜難以捉摸，但它其實也是有一套練習方法的，本章節內容將為您推薦多種練習方式，以及輔助即興練習的方法。

	 

	風格與節奏選用 - 即興的音樂風格最主要的一些區別，就是重音位置以及節奏上的不同，本章節內容將提供數種改變重音位置的練習法，讓您得以培養出更佳的節奏感！

	 

	即興的旋律處理 - 當我們在吹奏一首音樂，其實就像在說話或看文章一樣，有起承轉合，而本章節中將為您講解如何在一條旋律中，適當的添加表情與味道。

	 

第三單元- 電吹管的使用：電吹管簡介、基本按鍵介紹、特殊按鍵介紹

	 

	電吹管簡介、基本按鍵介紹、特殊按鍵介紹 - 目前市面上仍未有電吹管的相關書籍資料，本章節將為您介紹此樂器的基本操作，以及如何使用這些特殊音效來演奏的示範。

	 

	附錄(一) - Let's Do It Again重來又何妨（收錄在董舜文第一張個人專輯「歡日紀∣One Day」） 以及Conference Call電話會議（收錄在「無限融合樂團 II」專輯中）全譜附和弦。 

	 

	附錄(二)- 教學影片的最後，附上兩段無限融合樂團於台北西門河岸留言演出的影片，分別是「浮華驕女」與「璀璨如星」，兩首曲子都是呂聖斐老師的作品。

	 

本書特色

	 

	你是否嚮往吹奏薩克斯風的帥氣風采，但總以為那是遙不可及的夢想？其實薩克斯風並沒有你想像的複雜！現在，你只要跟著這份教材(DVD+書)循序學習，不用多久，你也會是舞台上最亮眼、最酷炫的薩克斯風手！

	 

"
9789865220983,"


	高雄流行音樂中心副執行長   黃中岳 專文推薦
	專為樂手寫的爵士吉他工具書，解決爵士吉他彈奏的三大難題：
	comping, chord melody , single   note soloing，一網打盡；
	附錄超過130分鐘的獨奏雙CD

	--------------------------

	本書涵蓋學習爵士吉他的多個不同面向，例如：和聲、伴奏、即興演奏等，以實用為主軸，不拐彎抹角，將傳統上長篇大論的樂理論述的部分作簡化，著重實務上的執行(即演奏)，以及將抽象概念化為具體文字化的描述，希望能讓對爵士吉他有興趣的朋友們能對如何彈奏有一些了解。

	另專章介紹20世紀以來爵士吉他的發展以及歷代具有代表性的大師，並推薦專輯，作者認為訴諸最直接的聆聽才是學習爵士樂的不二法門。

	附上兩張CD,分別涵蓋伴奏（comping)範例與Chord melody style 範例，單音獨奏短句範例與歌曲範例以及play along。作者鼓勵大家仔細聆聽例句以及背後的和聲，當你把這些和聲進行印在腦中時，就可以開始慢慢試著在上面造出好聽的句子，而play along這部份就是讓大家可以進入實際操作的狀態。

	臉書(facebook)另成立同書名的粉絲團，不定期分享演出或是教學的資訊。

"
9789869724661,"


	這是一套從零開始的薩克斯風課程，任何人都可輕易入門並迅速抓住學習重點進而奠定良好的基礎。除了基本的基礎課程介紹外，潘恆健老師演奏了示範曲-望春風、月亮代表我的心，藉由耳熟能詳的經典曲目，讓學習者更能掌握學習重點，不用多久，您也可以吹奏出美妙動人的旋律。

	課程重點：
	三種常見的薩克斯風〈Alto、Tenor、Soprano〉，說明音色與調性的差異。
	薩克斯風的構造〈吹嘴、塑圈、竹片〉，解說其材質與規格的差異及選用的考量。

	‧腹式呼吸
	‧基本吹奏技巧〈嘴型、換氣、喉嚨、點舌〉
	‧組裝樂器
	‧薩克斯風指法表
	‧長音、音階與和弦琶音的練習
	‧基本練習曲
	‧樂器保養

	示範曲練習：望春風、月亮代表我的心

本書特色

	你是否嚮往吹奏薩克斯風的帥氣風采，但總以為那是遙不可及的夢想？其實薩克斯風並沒有你想像的複雜！現在，你只要跟著這份教材(DVD+書)循序學習，不用多久，你也會是舞台上最亮眼、最酷炫的薩克斯風手！

"
