ISBN,書籍簡介
9789869836807,"

關於<鑼鼓節奏遊戲>專為樂齡族活動、團體活動、親子音樂遊戲設計的節奏教材，統合您的手眼耳肢體神經功能，豐富您生活的音樂涵養！音樂有四個要素：曲調、節奏、和聲與音色。而節奏有對比性（一拍有幾個音）、先後性（音的先後出現）、時值（音的時間絕對值，或說音的長短）等的意涵，這本＜鑼鼓節奏遊戲＞以節奏為內涵，它包括了對比性與先後性，因為沒有音高所以不具時值概念，但含蘊著音色內涵；也就是樂器不同產生的聲音變化。簡單的說，有音的長短，音的先後及聲音的變化。但這已足夠讓我們可以玩出音樂的樂趣。為方便視譜，本書採用＜方便式記譜＞；利用空間佈局概念，樂譜演奏的音只出現在聲部拍子的空間位置上，若是休止符無需演奏的拍子則以空白為之；不寫休止符，這樣視譜簡單容易、且容易有拍子的先後秩序感，在視譜時有音樂的完形概念，學員不只會演奏自己的聲部，也會出現音樂的整體印象。符號的學習本是一項抽象的內在思考，這種由視譜(腦力內在思考)到樂器(肢體)演奏有益於幼兒感覺統合的發展、老年延遲退化等優勢。本書以四分音符為拍子單位的記譜，拍號只用二四拍子，四四拍子或三四拍子，速度採中庸速度即可。基本上以簡明的記譜法讓樂齡族容易使用，符號的學習本是一項抽象的內在思考，這種由視譜（腦力內在思考）到樂器（肢體）演奏有益於幼年感覺統合的發展、老年延遲退化等優勢。本書含適合個人與團體表演的齊奏篇與適合分聲部表演的合奏篇，自101首起有二聲部，138首起有三聲部。本書適用於樂齡族、上班族、幼兒園或初級音樂専業學習練習節奏。
                    
"
9789869758208,"

簡單易上手的打擊樂器用木箱鼓合奏玩樂團一起進入節奏的世界吧！▼..▼.▼..▼.▼..▼.▼ 輕鬆入門24課，木箱鼓一學就會！●簡單易懂●循序漸進●詳盡的教學內容●影音教學示範學習樂器完全無壓力快速上手！
                    
"
9789860632217,"

魔法非洲鼓手(三)-鼓曲篇是繼魔法非洲鼓手(一)(二) 之後的進階系列教材●深入介紹共10首非洲鼓曲~包含每首西非及南非鼓曲的文化背景故事源起介紹,●編寫了djembe二聲部節奏練習,綜合應用練習,三個墩墩鼓的節奏練習,歌曲應用練習.歌謠的唱誦詞譜.並編寫了Break及solo的進階內容!●全台灣第一本適合本國人學習的非洲鼓系列教材●附教學影音示範視頻,直接掃教材內QRcode看示範視頻，對照教材學習.更容易幫助記憶
                    
"
9789869857413,"

主編的話[打出健康!打出活力!]一直是我推廣非洲鼓教學近20年的實證目標成果。尤其是在銀髮族及老人院的長者們身上,更能看到顯著的成果!初學非洲鼓打擊其實完全不需要任何音樂基礎,不需要看五線譜,從3歲到90歲在短短時間內,只要透過專業教師的適度引導,就可以在鼓圈中享受擊鼓的歡樂。我在中國大陸及台灣已經推廣落地實踐多年並普遍運用在幼兒園及小學的JC兒童非洲鼓教程,內容融入了奧福(Orff)及高大宜(Kodaly)音樂教學法,並加入JC魔法音樂教學系統,課程設計中,有[節奏動物園],[知識遊樂園],[鼓圈合奏],[世界音樂巡演],[綜合音感]教學環節，是涵蓋歌唱、打擊、知識點、舞蹈律動、合奏、通關遊戲及非洲文化故事的多元統合教程~![金貝小鼓手]系列一共會有四冊,上課的內容適合幼兒園及小學低年級,也同樣適用於銀髮族長者及特教、長照或長青關懷站的長者!另外[魔法非洲鼓手]系列叢書,會較適合小學中高年級以上~成人來學習! 非洲鼓打擊真的是適合全齡來學習,對每個人的身心健康、社會關係、腦力發育、領導能力、五感統合有相當正向的影響力。所以希望這二系列的非洲鼓教材能讓更多學員受益，也希望藉由培養種子教師們的研習，讓更多老師們深入了解教學引導方法，進而去受益更多的人群! 本教材主要是給學生使用，教師用的教學指導課綱及教材的輔助音樂需另外購買。因為一個好的引導老師若沒有實際參加過師資培訓及提升自己的教學能力，並了解如何使用輔助音樂來上課，就無法達到最佳的教學成效!在此祝福所有人都能因為非洲鼓的學習及引導教學得到健康快樂及幸福美滿!JC魔法音樂學校-創意教學總監趙偉竣
                    
"
9789869758260,"

●國內第一本爵士鼓完全教戰手冊●近百種爵士鼓打擊技巧範例圖片解說●內容由淺入深，系統化且連貫式的教學法●附示範音檔MP3下載●2019年最新版本，附教學影音QRcode★《實戰爵士鼓》2019年全新改版★—— 新增教學示範影像QR Code ——爵士鼓新手必備手冊 ‧ No.1爵士鼓實用教程！從基礎到入門、具有系統化且連貫式的教學內容提供近百種爵士鼓打擊技巧之範例練習 ▼由淺入深，從基礎到入門器材分析，識譜讀譜完全掌握鼓棒控制、揮動，又酷又炫 ▼精彩圖片說明，完全圖解近百種爵士鼓打擊技巧圖片解說，基本手法～單擊、輪鼓、重複、裝飾、彈跳…等打擊技巧，過門～手與腳的組合、使用節拍器數拍子 ▼親身體驗，實用節奏練習Pop、Rock、Blues、Jazz、Latin36種常用節奏範例練習，配合背景音樂，真實體驗樂團樂趣
                    
"
9789869060172,"

魔法非洲鼓手2 -鼓曲篇是繼魔法非洲鼓手1 -新手篇 之後的進階系列教材◆深入介紹共8首非洲鼓曲~包含每首西非鼓曲的文化背景故事源起介紹,編寫了djembe     二聲部節奏練習,綜合應用練習,三個墩墩鼓的節奏練習,歌曲應用練習.歌謠的唱誦詞譜.....◆全台灣第一本適合本國人學習的非洲鼓系列教材◆視覺圖像格譜及三線節奏鼓譜同時存在,不怕看不懂◆附教學影音示範視頻,對照教材學習.更容易幫助記憶◆無須任何音樂基礎,跟著教材學習,新手也可變專業
                    
"
9789869060165,"

[打出健康!打出活力!]一直是我推廣非洲鼓教學近20年的實證目標成果。尤其是在銀髮族及老人院的長者們身上,更能看到顯著的成果!初學非洲鼓打擊其實完全不需要任何音樂基礎,不需要看五線譜,從3歲到90歲在短短時間內,只要透過專業教師的適度引導,就可以在鼓圈中享受擊鼓的歡樂。我在中國大陸及台灣已經推廣落地實踐多年並普遍運用在幼兒園及小學的JC兒童非洲鼓教程,內容融入了奧福(Orff)及高大宜(Kodaly)音樂教學法,並加入JC魔法音樂教學系統,課程設計中,有[節奏動物園],[知識遊樂園],[鼓圈合奏],[世界音樂巡演],[綜合音感]教學環節，是涵蓋歌唱、打擊、知識點、舞蹈律動、合奏、通關遊戲及非洲文化故事的多元統合教程~![金貝小鼓手]系列一共會有四冊,上課的內容適合幼兒園及小學低年級,也同樣適用於銀髮族長者及特教、長照或長青關懷站的長者!另外[魔法非洲鼓手]系列叢書,會較適合小學中高年級以上~成人來學習! 非洲鼓打擊真的是適合全齡來學習,對每個人的身心健康、社會關係、腦力發育、領導能力、五感統合有相當正向的影響力。所以希望這二系列的非洲鼓教材能讓更多學員受益，也希望藉由培養種子教師們的研習，讓更多老師們深入了解教學引導方法，進而去受益更多的人群! 本教材主要是給學生使用，教師用的教學指導課綱及教材的輔助音樂需另外購買。因為一個好的引導老師若沒有實際參加過師資培訓及提升自己的教學能力，並了解如何使用輔助音樂來上課，就無法達到最佳的教學成效!在此祝福所有人都能因為非洲鼓的學習及引導教學得到健康快樂及幸福美滿!JC魔法音樂學校-創意教學總監趙偉竣
                    
"
9789869610742,"


 ANDERSEN
 給長笛的24首大練習曲
 作品第15號

  

 被譽為－－長笛界的蕭邦
 是各大比賽、考試的指定曲目之一

  

 特邀巴黎管絃樂團長笛首席Vincent LUCAS錄製示範CD

"
9789869060158,"


	[打出健康!打出活力！]一直是我推廣非洲鼓教學近20年的實證目標成果。尤其是在銀髮族及老人院的長者們身上,更能看到顯著的成果！

	初學非洲鼓打擊其實完全不需要任何音樂基礎，不需要看五線譜，從3歲到90歲在短短時間內，只要透過專業教師的適度引導,就可以在鼓圈中享受擊鼓的歡樂。

	我在中國大陸及台灣已經推廣落地實踐多年並普遍運用在幼兒園及小學的JC兒童非洲鼓教程，內容融入了奧福(Orff)及高大宜(Kodaly)音樂教學法,並加入JC魔法音樂教學系統，課程設計中，有[節奏動物園]、[知識遊樂園]、[鼓圈合奏]、[世界音樂巡演]、[綜合音感]教學環節，是涵蓋歌唱、打擊、知識點、舞蹈律動、合奏、通關遊戲及非洲文化故事的多元統合教程～！
	   
	[金貝小鼓手]系列一共會有四冊，上課的內容適合幼兒園及小學低年級，也同樣適用於銀髮族長者及特教、長照或長青關懷站的長者！另外[魔法非洲鼓手]系列叢書，會較適合小學中高年級以上～成人來學習！
	   
	非洲鼓打擊真的是適合全齡來學習，對每個人的身心健康、社會關係、腦力發育、領導能力、五感統合有相當正向的影響力。所以希望這二系列的非洲鼓教材能讓更多學員受益，也希望藉由培養種子教師們的研習，讓更多老師們深入了解教學引導方法，進而去受益更多的人群！
	   
	本教材主要是給學生使用，教師用的教學指導課綱及教材的輔助音樂需另外購買。因為一個好的引導老師若沒有實際參加過師資培訓及提升自己的教學能力，並了解如何使用輔助音樂來上課，就無法達到最佳的教學成效!在此祝福所有人都能因為非洲鼓的學習及引導教學得到健康快樂及幸福美滿！


	JC魔法音樂學校-創意教學總監
	趙偉竣

"
9789869018425,"

好時光 樂譜 –陶笛阿志十五週年創作專輯樂譜{本書樂譜} 鋼琴樂譜 陶笛線譜 陶笛簡譜{陶笛伴奏kala曲目}1.	島嶼奏鳴曲2.	森林狂想(森林版)3.	好時光4.	京城之秋5.	年6.	蒲公英的飛行7.	風的故事8.	池上稻浪9.	深秋日記10.	森林狂想(四重奏版)11.	晨之光12.	因為你
                    
"
