ISBN,書籍簡介
4713510946039,"

三十年前，她是一個才華洋溢的年輕女子，是「蘭陵劇坊」的當家花旦，是台灣金鐘獎的「最佳兒童節目主持人」。有一天，她拋下這些身分，在皮箱裡裝了六雙高跟鞋，遠渡重洋，到美國去學戲劇。加州的牧場上，她遇見了「老先生」，老先生是個戲劇大師，更是個智者，他的訓練觸動了她所有的觀念與靈感……她回到台灣，創立自己的劇團，在自己的山上創作、訓練、演出……。長年以來，深埋在她心中的「表演者」到底是什麼？一語難以道盡，就從一九八三年夏天，第一次抵達那個加州牧場開始說起……請翻開這本書，表演課即將開始——1984年間，在美國加州偏遠牧場與波蘭劇場大師果托夫斯基的相遇，改變了劉若瑀的人生，也啟發了台灣的表演藝術。「優人神鼓」是台灣十分重要的現代表演團體，早期從「優劇場」轉變而來。創辦人劉若瑀接受了果托夫斯基的身體訓練之後，驚覺所有的創作都必須找回自我。於是回到台灣之後，以探索台灣人的身體為訓練宗旨，創作融入傳統、祭儀、太極……等領域，並逐漸探索出以靜坐、苦行為表演質地的訓練方法。如今「優人神鼓」以打鼓來實踐道藝和一、東西交融的表演理念，持續創作，並以此表演享譽國內外。本書內容即為劉若瑀在1984〜1985年間，在加州洛杉磯爾宛（Irvine）大學果托夫斯基工作坊接受嚴格訓練的珍貴記錄與學習心路歷程，也是日後回台創立「優劇場」，以及日後蛻變為「優人神鼓」的重要關鍵。這是劉若瑀的第一本書，也是優人神鼓從創團至今的第一本書。談的是與大師的相遇，與大師的對話，以及特殊的表演訓練。而劉若瑀是極細膩敏銳的表演者，她的經歷與思索充滿了深度的靈性，她談的是表演方法，也是人生。
                    
"
9789571194158,"


	一本極為實用的演員工作手冊~~一個好演員不需要天分，只要勇氣、意志力和認知

	這是一本極為實用的演員工作手冊，涵蓋的範圍很廣。從演員的基本技巧訓練、如何準備上場、與導演和其他演員的相處之道，以及道具和裝飾如何運用等等，都在本書討論之列。在引言中，知名劇作家大衞．馬梅指出演員必須排除有關「天分」的迷思。一個致力於表演藝術的好演員不需要天分，只要憑藉著勇氣、堅強的意志力和常理認知，他或她一定會擁有自己的一片天。

"
9789869873826,"


	《你哪裡人？我歐陽倫》，乃是由作者、編輯、裝幀與設計、漫畫、印務，在製書的各個環節上，緊密地相互轉譯配合，形成一種近乎集體創作的狀態，共同傳達出本書的核心提問：演員的創作從何而來，又會往何處而去？形式上，它是本藝術家創作書；內容上，則是一次從表演出發，結合書籍形式的集體創作實驗。

推薦人

	鍾欣凌　演員
	姚愛甯　演員
	陳頤華　秋刀魚雜誌總編
	鍾昕翰　黑潮文化發行人
	朱盈樺　北教大文化創意產業經營學系助理教授

"
9789865112004,"


	誕生於日本，並且正向全世界擴散的嶄新娛樂
	「2.5次元舞台劇」
	持續創造令眾多粉絲為之狂熱作品的領航者們，
	對於未來有著什麼樣的想像呢？
	探究「2.5次元」之歷史與未來的寶貴訪談集！

	「在2.5次元的世界，沒有不可能一詞」
	所謂的2.5次元，在不同的觀眾眼中，會有不同的詮釋。
	所以，雖然有點難用言語解釋……
	但我不是很贊同模仿動畫的風格去製作舞台劇。
	我覺得，動畫本身其實也很類似2.5次元工程了。
	換言之，就是把不會動也沒有聲音的漫畫，加上動作和聲音。
	所以，直接把動畫立體化，並不是2.5次元。
	我認為以漫畫的基礎，把漫畫帶給讀者的印象立體化，才算是2.5次元。
	只要抓住本質，2.5次元也能使人讚嘆『這就是我想看的東西』。

	「讓角色走進觀眾席－－刀劍亂舞」
	音樂劇『刀劍亂舞』一共由兩部作品組成。
	第一部是包含故事的音樂劇，第二步則是換上另一套服裝，
	但角色設定維持不變的純演唱會。
	演唱會部分，是以「刀劍男士如果活在現代，會用何種方式去戰鬥」的概念來設計的。
	實際上，這樣的設計早在最開始就已經想好了。

	「音樂劇『網球王子』－－絕對的轉捩點」
	決定要留下什麼、精簡什麼，換言之，就是要找出一個作品最重要的部分。
	每一個作品，都必須進行最精準的判斷。
	「雖然不曉得那是製作人的決定，還是演出家的決定，但總之一定得由其中一人來決斷。」
	音樂劇『網球王子』（通稱『網王音樂劇』。2003年～），便在討論後決定拿掉「網球」。
	「但與此同時，我們卻成功保留了比賽的緊張感和角色性。」
	在『網王音樂劇』中，運用了快速移動的圓形的聚光燈，配合擊球音效來代替真正的網球。
	因此演員們得以只拿著球拍，在舞台上自由地移動。
	「起初我們還考慮過在把網球固定在長竿上來移動的方案。但當時要是採用這個方法，或許『網王音樂劇』就無法成為在今日仍大受歡迎的作品了。那時沒有選擇長竿方案真是太好了。」

	★松田誠、茅野イサム、和田俊輔、佐藤流司……由業界頂尖人士所敘述的2.5次元舞台現場風景
	★內附佐藤流司16頁彩色寫真，並收錄松田誠×佐藤流司的特別對談
	★刀劍亂舞、網球王子、排球少年……人氣舞台&音樂劇製作者、演員的幕前幕後大公開！

"
9789865716776,"


	金門「風獅爺」在現代文明的衝擊下是否還存在？溼地的螃蟹家族面臨了什麼困境？好鼻師如何大吹牛皮自稱可以尋回所有遺失物品？白賊七如何天花亂墜把人耍得團團轉？永康二王廟、天后宮石馬和開臺聖王鄭成功家族有何關聯？赤崁樓第十尊贔屭到哪裡去了？麻豆水堀頭「龍喉出天子」風水如何被破壞殆盡？五百羅漢又如何保護小朋友出入平安？
	 
	本土素材，全新創作。嚴肅議題，在輕鬆笑鬧之間，變得詼諧逗趣，適合中、小學生讀劇、搬演的課外讀物，也適合一家大小共同觀賞、閱讀。

本書特色

	市面上少有的兒童劇本，並有專業作者背景作支持，不但適合演出更適合用來訓練孩子的想像力。

"
9789864490134,"


	【內容簡介】
	從改編腳本、搭設舞臺、訂定票價、製定宣傳及售票計畫，到上臺表演，全部由說唱好Young黨這群90後一手包辦！
	〈戲劇雜談〉京劇玩大衛魔術？把空氣當飯吃？
	〈酒令〉高材生喝酒開外掛，Jolin Jolin我愛你！
	〈討白朗〉穿越時空Online，出山剿匪玩裸睡！
	〈花暢快板〉雙人尬板High翻天！
	〈四子科考〉上京趕考打油詩，傻子一字神回敬！
	〈大相面〉掉渣算命仙幫你整形改運！

	【本書特色】
	相聲LKK？
	別逗了！到他們手上就變了Young！
	青春魅力注入傳統段目！
	臺灣評書女王葉怡均領軍相聲新勢力，為喜愛說唱藝術的孩子搭建夢想舞臺！

"
9789573276128,"


她的設計，已是台灣文化史的一部分。
──金馬、金鐘、金鼎、金蝶獎得主，一九六九迄今，以圖文陳述作品概念與設計初心

	只要看見台灣，你一定看見過霍榮齡！
	──尹萍以報導文學的動人筆觸，回憶並見證台灣四十年來的重要藝文脈動

	雲門舞集：雲門的海報，在繁忙的大城市中，能讓人抽離出來，讓人安靜，又能與舞碼產生聯結。
	蘭陵劇坊：阿霍的服裝設計，其實就是一種裝置藝術，或者說是「軟雕塑」，是立體的。
	新象：在燕尾和馬背之間的山牆中間，劃開一方天窗。台灣的傳統建築是她創作最重要的靈感來源和素材。
	兩廳院：精采的、重要的，都在裡面，外表只要端莊樸素，翻開就能看出分量。
	新舞臺：把畫面的邊緣當成假想中的門與簾。傳統與創新，在她不是口號，不是標題，是深入到骨髓裡的精神。
	天下康健：雜誌視覺的靈魂是從她的窗口望出去的。她決定我們怎麼看，她當然是個里程碑。
	故宮：精簡是一種美，足夠的局部放大是一種力量。汝窯青瓷，蓮瓣如雙手十指捧心，情意綿長。
	臺灣史前文化博物館：臺灣編織藝術和原民文物，在地性美學。
	蘭陽博物館：勾繪出在地噶瑪蘭人文化，趣味性美學。
	國家公園：它沒有事件、沒有劇情，卻是她真正用心用情的地方。所有美的設計，終歸要還諸天地。

	阿霍自言，她是手工業時代的人。
	傳統與創新，在她不是口號，不是標題，是深入到骨髓裡的精神。
	堅持用手藝呈現創意，使她的創作，別人無法模仿。

	這本作品集，記錄著一九七○年代以來，台灣的文化藝術蓄勢起飛，一群有夢想有熱忱的人，在各自的舞台達成了屬於他們的成就。而霍榮齡，這一位最經典、最具代表性的職人，她以平面設計行走江湖，再跨足到劇場、造型服裝、空間等領域，與數不清的舞團、劇團、出版社、藝文平台、政府機構合作，甚多是草創時期的相挺，她於繽紛的織錦上再添花，穿針引線，成功扮演了將藝文創作介紹給這個社會的觸媒，也塑造著屬於她的設計風格與標誌。

	很多人常把一部作品的成就與榮耀盡數歸於創作者身上，此書的出版，更希望引領讀者來一窺那雙「看不見的手」。尹萍以報導文學的筆法，將阿霍四十年來的成績，整理成極具故事性的生動文字，飽覽四百餘幅作品之餘，更共同見證（或回味）了那個美好的創意年代，精微地體現了設計師付出的心血點滴。

	面對各種不同的業主與案子，阿霍的成品常常超出委託人的期待；也因為她對每件作品認真對待的真心實意，一路走來幫助了許多的人，書中如此龐大的作品量，包含著這段路上所結下的善緣。

	此書封面是青藏高原上的一座鹽湖，由白到灰到黑的漸層，像極她的手染手作精神，也表現出她低調再低調的個性。此書費時二年完成，為求精準呈現，每一幅圖片經過無數次的修色，並親自帶著校稿請每一位訪談人一一確認。

	陳玉峰說：「時間總是站在她的視窗邊，她設計的成品就是愈陳愈香、經久不膩，愈久愈耐看。」

	這樣一位設計師的作品，值得你的「凝視」！

"
9789573274513,"


一場相聲+武俠的盛宴
馮翊綱創意料理「金庸小說」！

 劇本是外家招式，談笑間，觀眾或狂笑、或莞爾，開心即可。

 本書則是這套演出的內功口訣，呈現劇本背後的創意源流。──馮翊綱

 丐幫鎮幫武功「打狗棒法」有八字訣：「絆、劈、纏、戳、挑、引、封、轉」；

 馮翊綱則以「扮、批、饞、戳、挑、癮、瘋、撰」八字為軸，寫就本書：

 「扮」，扮演浪漫；「批」，批判時事；
 「饞」，饞嘴食肆；「戳」，戳穿觀念；
 「挑」，挑戰積習；「癮」，癮頭交錯；
 「瘋」，瘋魔原著；「撰」，撰寫奇緣。

 條條剖析劇本緣起與創意來源；侃侃而談社會觀想與人生態度；細細咀嚼金庸小說故事韻味；點點演繹幽默與藝術的轉化之路；悄悄分享舞台上看不見的後台秘辛。

 看馮翊綱老師，以金庸小說為食材，以表演生涯為廚具，以社會觀察為佐料，無論你對金庸的功力高淺，都能酣暢讀出一位喜劇創意人的靈感滋味，習得「趨吉避凶」、「自我解嘲」、「追求幸福」的江湖人生！

"
9789299006320,"


OISTAT國際劇場組織的運作大公開
  

 關於國際劇場的大小事，找OISTAT就對了。

 —Bert Determann，荷蘭鹿特丹劇院營運總監

  

 對於熱愛劇場、有志於國際交流的讀者，本書是絕佳指南。

 對於尋找組織經營方針的讀者，本書是必備的策略參考。

  

 語言藩籬、工作模式、文化隔閡等種種困難下，國際交流向來不是一件容易的工作，而OISTAT國際劇場組織走過40年，聯繫全球劇場人的秘訣是什麼? 

  

 作為國際組織的總部，面對全球劇場愛好者與專業人士，每個都是重要關係人，總部肩負使命，推展國際網絡的建立，還得小心翼翼踩著文化、宗教、政治、地理等細微敏感界線，運籌帷幄，避免世界戰爭。

  

 OISTAT國際劇場組織是全球唯一總部不斷轉換駐在國的非政府國際組織(NGO)，本書以中英文雙語完整記錄組織之運作模式、組織架構、總部角色、國際專案、歷史年表等，解析每個階段的目標任務，每十年轉移總部所在地的影響，以及此一制度帶來的挑戰。

  

 OISTAT國際劇場組織為第一個總部在台灣的國際性非政府組織。透過與全球文化人士的密切合作，在組織核心觀察國際趨勢，將國際組織營運的第一手資料，詳實整合紀錄。

  

 書中總結過去數十年的經驗，檢視國際非政府組織共同面臨的困境，為下一個總部團隊提出建言，更是國際型非政府組織未來的參考。透過本書，讀者將深入了解國際組織的演變、日常事務，與其所面臨的挑戰和機會。書中並收錄了國際與台灣劇場工作者的看法與分析，忠實呈現OISTAT風貌。

  

 ★ 中英文雙語呈現

 ★ 架構清晰輔以案例說明，提點國際文化交流時的注意事項

 ★ 台灣參與國際文化藝術事務的重要紀錄與未來參考

"
9789867637857,"


華文界第一本step by step圖解手影書！
 最詳盡、最簡單、一看就能學會55個手影動作詳解

  

 親子遊戲 朋友互動 單人手影 組合式多人手影光與影，魔幻和遊戲，也許是親子同樂，有時是朋友聚會，可以用在求婚，也能在生日時用手影慶祝．．．

  

 嘿！YOU，用手影來博取大家歡心吧！

  

 我們都有過夜晚面對牆壁開盞燈，開始「搔手弄指」，擺出各種動物的形狀與姿態，模擬故事般地與家人同樂、給朋友驚奇、讓情人感動。我們也曾有過，看著別人玩手影心生羨慕，別人手指靈活又能變化多端，於是忍不住好奇心，跟著玩起了手影！

 本書由台灣首席手影大師張正龍所演出。詳細收錄他的私房手影技巧從單人手影到多人手影，從適合聚會到節日應景的手影，學習手影前的Q&A、燈具的挑選與準備、藏手指小技巧等學習手影小關鍵。超過55個主題單元、30餘種延伸變化，Step by Step玩手影，只要1秒，就能讓你成為萬人迷！

  

本書特色

  

 ◆由台灣第一位首席手影表演者張正龍親自示範。
 ◆全書由知名設計繁花似錦，加上人氣插畫家許匡匡聯手設計，排版精美，深具收藏價值！
 ◆收錄超過55個手影主題、30餘種手影變化，可以單獨，可以與朋友、孩子、家人一起創造驚喜！
 ◆燈光挑選、手指練習、輔具使用、道具製作等，你想知道的手影學習關鍵技巧，通通在這裡。
 ◆從單人手影開始，到多人組合式的手影，讓你一享獨自學習以及與好朋友互動的歡樂時光！
 ◆不管是用在聖誕節、萬聖節、情人節、中秋節或是尾牙等表演，或是爸媽帶著小孩一起互動，讓孩子練習手指靈活度，都深具實用價值。

"
