ISBN,書籍簡介
9789869868600,"


不要隨便終結孤單，除非你已經學會了終結愛情。
 紀蔚然X易智言X庾澄慶X柴智屏X李焯雄

  

 「神說，要有光，就有了光。」——創世紀‧章3節

 這段經文充滿創作隱喻。一來是那從無到有的過程；二來，我也期許我的作品像光，光能驅走黑暗，光能帶來熱與溫暖，光能讓我們看見前方的路，光能射進你的瞳孔，讓你與世界產生連結。

"
9789571383415,"


＊台灣原汁原味原創劇本書

＊金鐘編劇最暖心劇作

＊擁有11種結局的唯一機會

＊絕對值得收藏

	 

	一首寫給港都基隆的時代情歌，勾勒那些被大雨澆熄的故事

	以及那個她們曾經浪擲青春、難以割捨的基隆港都

	 

【2019年華山烏梅劇院13場完售】

【2020年感動再開，全台灣12場巡迴】

	 

	金鐘常勝「超級夜總會」澎恰恰 Ｘ 傳藝金曲最佳作曲人 李哲藝

	金鐘編劇「花甲男孩轉大人」詹傑 X「搭錯車」金牌導演 曾慧誠

	躍演VMTheatre Company 力作

	演員｜澎恰恰、張芳瑜、謝淳雅、林凱薇、曾志遠及神秘嘉賓

	 

	◤桃園廣藝廳            9/17-19，共2場（企業專屬場）

	◤新北藝文中心演藝廳    10/30-11/1，共4場

	◤台東藝文中心演藝廳    11/28，共1場

	◤新竹文化局演藝廳      12/12-13，共2場 

	◤台中國家歌劇院中劇院  2021年1/8-10，共3場

	 

	麗晶卡拉OK的老闆娘陳麗卿，待在港邊40年了。她見過最妖嬌的陪酒小姐青春正好，見過最癡情的跑船人獨守燈下，見過基隆港最好光景，夜裡燈火通亮，等待卸貨的大船一艘又一艘，嘴裡罵著幹恁娘的工人頭家，開著橋式起重機，一顆心卻記掛在岸上的愛戀溫柔鄉。當繁華散盡，如夏日煙雲，港邊冷清得只剩盤旋不去的老鷹。麗卿恍惚想起40年前，她也是芳華正好的女子。跳起舞、唱起歌，也是風姿萬千。收店的最後一夜，苦酒滿杯，麗卿忽然想點首歌，唱自己的人生。

	 

	「麗晶卡拉OK的最後一夜」是一首寫給港都基隆的時代情歌，勾勒那些被大雨澆熄，浪擲青春、難以割捨的故事。劇本書由電視劇「花甲男孩轉大人」金鐘編劇詹傑創作，由「搭錯車」金牌導演曾慧誠執導，在澎恰恰主演的魅力召喚下，創下2019年13場完售紀錄，2020年9月至2021年1月再次展開全台12場巡演，此次同樣邀請不同嘉賓詮釋獨特專屬結局。
	 

名人推薦

	 

	魏德聖大讚：「比電影更有魅力。」

	瞿友寧推薦：「前一秒笑到崩潰、下一秒感動落淚。」

	那那大師力推：「我決定回家要趕快帶爸爸媽媽看。」

	 

書評

	 

	自由時報--人客不想散「麗晶卡拉OK的最後一夜」又加一夜

	ent.ltn.com.tw/news/breakingnews/2672847

	 

	中央通訊社--麗晶卡拉OK最後一夜 唱出基隆港邊風華與凋敗

	www.cna.com.tw/news/acul/201901030235.aspx

	「麗晶卡拉OK的最後一夜」由曾慧誠執導，搭配金鐘編劇詹傑與音樂總監李哲藝共同打造，在澎恰恰主演的魅力召喚下，12場演出都有不同的特別嘉賓站台，詮釋不同的關門結局，嘉賓陣容包括Ella陳嘉樺、許效舜、林美秀、苗可麗、黃子佼、又仁、蕭景鴻、廖文強、呂名堯、陳何家。

	李哲藝說，音樂是最能立刻讓人連結到另一個年代記憶的途徑，藉著「黃昏的故鄉」、「甜蜜蜜」、「牽亡歌」等老歌，搭配為劇情推展新編的歌曲，以恰恰、吉魯巴等過往年代的演奏與編曲風格，還有懷舊卡拉OK實景，這部作品要觀眾一同隨著澎恰恰的歌聲腳步，走進基隆港邊的萬千風華、走進卡拉OK店內那些陪唱女子的生命故事。面對這次演出，澎恰恰十分慎重，他說自己長年從身邊的女人身上看到了台灣女性的偉大，還有她們為了成全而不訴說的心事，「我想演出她們的心理，那是我的觀察、想像，也是我對她們的敬佩與讚美。」他說反串女性對自己而言雖不陌生，但唯有在劇場的演出中，那表演心境是連續的、是真實能進入女性角色的。他也認為，這次的演出是自己從綜藝咖一腳跨進劇場界、轉型成老文青後的叛逆轉身。

	 

	評論迴響--「麗晶卡拉OK的最後一夜」：音樂劇到底要不要字幕，這題真難

	talks.taishinart.org.tw/juries/wwj/2019012202

	躍演所安排各場不同的神秘嘉賓，延續了這份即興丟接的劇場魅力。我看2019年1月3日場次，神秘嘉賓為苗可麗。苗可麗的氣勢和澎恰恰足可匹敵，兩人鬥戲過癮。聽說許效舜、林美秀、黃子佼場次各是不同風格。知名度高的影劇圈藝人雖然對票房有助益，但往往電視藝人演出音樂劇反而令人出戲，畢竟對鏡頭表演，和對著現場觀眾表演相當不同，因此只要音樂劇打出「明星牌」，往往讓我卻步。此番躍演 Ｘ 澎恰恰的合作，讓我對娛樂圈藝人前進劇場圈多了幾分信心。

	 

"
9789573910923,"


	劇本農場第五年的作品，這第五年的創作過程中，遭遇了三年前同樣的逆流，其中一位劇作家因為個人因素，中途退出了農場計畫，儘管還是有些遺憾，但是創作原本就是十分走心的一段旅程，我們尊重創作過程中獨特的心靈悸動和抉擇，因而也更加珍惜堅持到最後的劇作家與作品。

	這一次，邀請到蔡逸璇和陳緯恩兩位劇作家，逸璇鍾情於歌仔戲劇本的創作，緯恩近年的作品多在影視，我們拉他重回劇場，希望可以為劇場的創作帶來不同形式風格的質變。除了兩位「現役」劇作家之外，今年多了一位其實也是從頭到尾共同經歷創作旅程的「見習生」阿鶴（黃煚哲），他原是劇團常聘的攝影師，為劇團和歷年演出留下了許多珍貴的攝影作品。

	今年兩個「正式」的劇本，在內容上都有帶有記憶的沉澱與回顧，形式上是過去農場的劇本中相當少見的，逸璇的《文武天香》是歌仔戲的新編作品，以溫柔的顛覆之姿新創了當代歌仔戲文學性與劇場性兼具的作品，緯恩的《血案兇手的冷酷告白》則是具有影視特質的懸疑作品，在一步步揭露過往的時間之流裡，探索著心靈中的殘缺與驚恐，兩位的視野和關懷各有不同，風格上更是前者淒美浪漫，後者神祕慄動，展現出農場劇作家們不同的創意特質。相較之下，阿鶴的《婆紗》夾帶著南風鹹味，部分場景透過布袋戲的特殊語言結構來呈現記憶的吉光片羽，雖然生澀卻也生色。於是，我們發現這一次，劇作家們竟巧合地都在屬於「回憶」的今昔鏡照中，努力看見生命的底蘊，許是我們面對當代種種的生命殘缺時，本能地會從反芻中汲取繼續前行的勁能！

	這三本劇本，在公開讀劇時，在劇團新據點「新嘉義座」為提煉出特殊的讀劇風貌，也讓劇作家們聆聽專業演員們為劇本的「獻聲」而得以檢視自身創作，而阮劇團在持續穩定發展的過程中，仍然堅守「劇本農場」的創作精神，持續邀請青年劇作家成為農場的耕耘者，再一次拓展了舞臺劇本創作的版圖，更是令人點滴在心頭。

	當年願景劇本農場「十年30個劇本」，如今竟然即將百分之五十達標，時間，真不愧是最了不起的魔法師，足以讓種子茁壯成樹。

"
9789861336848,"


吳念真首度為六七年級發聲，寫出犀利又溫柔的寫實人生
 近二十年來不斷超越自己，締造台灣舞台劇的新高峰

  

上一代改變的世界，就是下一代的未來，你知道嗎？
當年的「未來」已成為「現在」的當下，這世界是否真的被改變過？
如果曾經改變……那是更好？還是更壞？

 在一個薪水一直不漲，房價、物價一直飛漲的年輕世代。一群已經不再是社會新鮮人的六七年級生，不願被歸類為世故的大人，漸漸放棄追逐夢想，慢慢面對環境現實，妥協與掙扎每天上演。

 為了專心照料父親而辭去工作，面對經濟壓力、不知父親何時會離去的焦慮，身心俱疲的獨子。事業成功的女強人，卻因為父母成天吵鬧而對婚姻失去信心，長大後離開了家，卻也因此成不了家。雙薪夫妻努力養家，薪水全給了房貸，同時還得照顧上下兩代。父親期待接班卻渴望掌握自己人生的企業二代。想生小孩卻生不出來的年輕夫妻，天天照表操課，婚姻藉此就能幸福美滿？

 這群六七年級生，各自努力著，也各自面對著現實社會的壓力，他們到底該如何面對與自處。

療癒最深層的悲傷，看見最深刻的盼望

 您總是能很精準的道出很多人內心深處的某個點，這部戲給我的感動與震撼，遠遠超過人間系列一到五！──台北‧陳小姐

 以前看《人間條件》系列覺得像在看長輩的故事，但看《人間條件6》我哭得亂七八糟，每一段都像在說自己，不同面向的自己，將面臨這些困境的自己，在現實與理想中掙扎的自己，和自己、和長輩和解的自己。──台北‧楊小姐

 將台灣家庭的互動與內心種種憂喜與掙扎刻劃得淋漓盡致！精采萬分！透過演員的口中道出許多台灣人心中對家庭的期待、疑惑、心聲和愛，讓不願開口或不好意思開口的人，心中有了出口和寄託。──高雄‧沈小姐

 無數個家庭的縮影，活生生赤裸裸的呈現在我們眼前，每一個場景、每一句對白，無不反映出我們五、六年級生，最深層的心聲，對上與對下的磨心與無奈。──台北‧郭小姐

"
9789573910732,"


	這是三位劇作家劇本合集作品，每位劇作家完成由劇團安排進行內部讀劇，讓劇作家聆聽自己的作品之後在行修改，讓劇本更完整。經過將近九個月的沉澱，再經過2017年金秋時節正式對外公開讀劇，讓劇作家有展示自己作品的機會，集結三位優秀的劇作家作品，成就阮劇團一貫的初衷，也讓這三位劇作家得以發光發熱。

	林俐馨的《千萬分之二》帶我們感受蒼茫人海中，看似擦肩而過其實纏綿不絕的人生境遇，以及在不同時空組合的可能配對中，那種無法割捨的愛恨情傷；小白的《陰間失格》，帶我們穿梭陰陽奇想，在無盡的想像和荒謬突梯中回觀現實，透視人生勝利組和魯蛇一族，兩者貌似不同其實相似的闇黑心靈；小黑的《國道上空》則是引我們回到為職棒瘋狂卻黯然於簽賭疑雲的矛盾時光，透過一條虛懸在半空、荒廢的國道斷橋，令我們強吞下英雄崩毀的失落與茫然，以及人性幽微的靈光。三人題材不同，手法各異，但三位劇作家都創作出奠基於於現實而飛奔於想像中的作品，或許劇他們真是要在我們這焦急、惶恐的世代中，努力開出了一朵鮮艷的情熱之花！

"
9789866102356,"


	《青春悲懷》為汪其楣創作劇本，再度以愛滋為主題，卻用她最熟悉也最擅長的舞台劇形式，給不想忘記的、或仍在承受壓力的故事主角們，一個說出心語的完整舞台。

	戴著面具的用藥人，
	身懷祕密的轉學生，
	為自己縫紀念被單的同志，
	尋找性與愛的「普通人」，
	外配在台灣的打拚與戀情，
	愛滋三十年來的戰役與進展，

	這個戲是屬於生活在這裡的每一個人的，重點不是疾病，而是人情與人性，也是台灣的社會真實，充滿了我們熟悉又在意的生命。

	「世界有事，心中有人，我們書寫、閱讀，我們對話、敷演。就是一種行動的開始。」

"
9789868645936,"


	《櫻桃園》是契訶夫的第五部長篇劇作，也是他與世長辭前的最終集大成之作。

	《櫻桃園》堪稱一曲舊時代，舊社會的輓歌，它描繪了以女主人翁柳泊芙為首的舊地主家庭坐吃山空，急轉直下的沒落過程，他們無力面對社會變遷的大浪潮，只能眼睜睜看著，以昔日農奴後人羅巴金為代表的，新布爾喬亞階級的崛起。面對地產即遭拍賣的經濟困境，羅巴金一度提出砍掉櫻桃園，改建渡假別墅的解決方案，他的好意未被地主家庭接受，櫻桃園最終反而落入羅巴金之手。

	史塔帕新譯本於二〇〇九年春於紐約布魯克林音樂學院（BAM）首演。

"
9789868645943,"


	創作於一八八七年的《伊凡諾夫》是契訶夫第一部四幕長篇足本劇。

	伊凡諾夫本來是個才華出眾，懷抱極大社會改革理想與熱情的年輕人，卻在幾年內，不敵庸俗的社會舊勢力，氣力用盡，變得落寞潦倒。伊凡諾夫身家處於破產邊緣，同時他的妻子安娜也因肺癆不久人世，雖有崇拜者，年輕姑娘莎夏不顧一切愛著他，一心想幫助他重新站起來，但他卻深陷苦惱，自覺失去生活的一切目標和意義，最後，在心魔的作弄下，在他與莎夏的婚禮上舉槍自殺。

	史塔帕新譯本於二〇〇八年春於倫敦溫德翰（Wyndham）劇院首演。

"
9789869272087,"


	從一百年前溫泉池旁表演的少女歌唱隊，到現在有400位演員、全世界獨一無二的歌舞劇團──寶塚歌劇團──比華麗更華麗！由女性組成的、閃亮亮的夢！

	寶塚歌劇團──百年歷史的大型全女子歌舞劇團，在日本就如同歌舞伎一般，是個家喻戶曉的名詞，在東京與大阪都有超過兩千個座席的專用劇場，並且經常性地在日本各地巡迴演出，幾乎隨時都處於一票難求的狀態。

	寶塚歌劇團的除了有夢幻又華麗的演出，最大特色在於裡面的所有演員都是女性，而由女性扮成的又俊又帥的「男役」，又是最受粉絲歡迎的。此外，許多日本知名藝人，如天海祐希、黑木瞳等等，也都曾是寶塚演員。

	百年歷史、成員單一性別組成、（粉絲）制度嚴謹、購票困難，以及演出的華麗特色等等，常讓人只聽過「寶塚」名字，卻不知其所以然。

本書特色
	    
	無論是新入坑或資深塚飯，以及想要了解寶塚的人──由專業塚飯（也是歷史學博士）從「基礎講座」到「進階講座」，還有「服裝組專題講座」和「寶塚考古專題講座」，帶領大家一起進入寶塚世界。
	   
	本書適合隨身攜帶，隨時翻閱，查詢或溫習，當一個好塚飯。

"
9789869272094,"


身兼歷史學博士的專業塚飯為您撰寫──
歐洲最美的皇后x寶塚《伊麗莎白》x哈布斯堡家族


真實的傳奇歷史，愛與死的夢幻劇──讓我們一起沉淪於這個雙向互動的《伊麗莎白》輪迴裡！

	一般大眾對寶塚歌劇團最有印象的作品莫過於1974年製作上演，至今依舊廣受歡迎的《ベルサイユのばら》（凡爾賽玫瑰）。不過距今二十年前的1996年2月16日，一個新的寶塚代表作品已然誕生。到今年10月16日結束第八次重演為止，寶塚一共上演了1,001回的《エリザベート－愛と死の輪舞》（伊麗莎白－愛與死的輪舞），觀劇人次高達240萬。

	為了慶祝這個以奧匈帝國皇后伊麗莎白（Elisabeth，小名Sisi，1837–1898）傳奇性一生為故事主軸的音樂劇在寶塚上演二十周年，2016年年底與2017年年初，劇團還要招集歷年參演人員，盛大舉辦Special Gala Concert。消息甫出，連遠在台灣塚飯也個個摩拳擦掌，搶票地獄再怎麼炙熱，也不能放過這個與死神和伊麗莎白相見的機會。

	寶塚的《伊麗莎白》何以能夠如此抓住人心呢？優美的音樂與流暢的劇情自不在話下，但《伊麗莎白》最特出的，還是在於它巧妙卻深刻地引用了眾多歷史題材，既不至於造成初看者的負擔，卻又蕩氣迴腸，讓人在觀劇之餘不斷回味，不忍心讓故事的情節從腦海中離開。

	寶塚的《伊麗莎白》一方面引發了觀眾鑽研劇中相關歷史的高度興趣，一方面又讓對這些人、事、物已有所知的人，無法抗拒探討本劇編導、演出家、演員如何詮釋這段歷史的誘惑。

本書特色

	1.    從故事主軸到場景、服飾，從主角到配角，甚至只出現在相關寶塚作品中而非《伊麗莎白》本劇中的歷史人物，我們都做了介紹。

	2.    結合死神、伊麗莎白、哈布斯堡家族、奧匈帝國等等各類相關題材的而成的歷史懶人包，能夠讓大家省下在茫茫歷史大海中尋找航向的時間與精力。

"
