ISBN,書籍簡介
9789577438591,"


初雨打動一池蓮，翩然半遮掩；
憐卿卿憐相隔遠，擎珠映素顏。
——題詩．黃強華

	囊括素還真自2007年「霹靂皇朝之鍘龑史」～2019年「刀說異數」各種造型的外拍，
	以及天踦爵、三餘無夢生、鷇音子、麒麟星、解鋒鏑等各個化身的風采。
	同時收錄以素還真為中心的親人與摯友等，近160張照片在詩畫意境中，
	透過攝影師細膩的掌鏡功力，將劇中人物的魅力延伸到你我眼前，
	是霹靂迷必收的劃時代寫真書。

本書特色

	★演繹霹靂靈魂的角色——素還真睽違14年後，再啟寫真風華。

"
9789861899237,"


這本書不僅要讓學戲的人看，
 更要給看戲的人學！


陳錫煌是台灣布袋戲的國寶藝師。
 他見過布袋戲的繁榮，也眼見它逐漸衰微，
 決心用「技藝」喚醒「記憶」。

 光有演戲的大師，沒有懂看戲的觀眾，布袋戲也無法延續。
 唯有了解，才能欣賞，夠多人欣賞，美才能存續！

 本書從布袋戲國寶藝師陳錫煌的角度，講述布袋戲的歷史、戲偶的特色，並且用大量的插圖，記錄大師陳錫煌的操偶訣竅、道具運用與製作步驟，揭開布袋戲少為人知的技術，讓這門優雅的藝術更加平易近人，得以長久流傳。

 陳錫煌師父從自身學藝的經驗談起，介紹布袋戲的歷史、藝術與文化，內容包括：
 掌中人生（講述他從小學藝、整團演出、校園傳承與發揚掌藝的藝術生涯。）
 開演之前（介紹布袋戲祖師爺田都元帥、扮仙儀式及布袋戲的歷史演變。）
 彩樓構造（講解布袋戲的舞台──「彩樓」的構造、功能及組裝步驟。）
 認識戲偶（解說戲偶的構造、基本持偶方法，以及「人偶合一」的重要。）
 生旦淨丑（介紹戲箱中常見的基本角色與操演技巧。）
 盔帽冠巾（介紹常見戲偶頭戴與公巾的製作方法。）
 刀槍劍戟（介紹布袋戲常用的兵器與劍的製作方法。）
 道具示範（解說五彩布、一桌二椅、文房四寶及動物偶的使用方法。）
 動作解析（剖析文生開扇、小旦梳頭、笑生打盹、白闊抽菸的操演訣竅。）
 鑼鼓管絃（介紹布袋戲前後場的運作、後場樂師及樂器介紹。）

本書特色

 1.傳統布袋戲國寶藝師陳錫煌親自口述，帶領讀者了解布袋戲的前世今生！
 2.大師講解搭配細膩的插圖解說，內容含括戲偶角色、舞台構造、道具介紹、製作工藝、動作操演……讓讀者一次看懂布袋戲的掌中奧秘！
 3.內含操偶動作圖解搭配QR code影片，讓你邊看邊學，學習領會「人偶合一」的境界。

"
9789863566090,"


 【英雄名錄】轟掣天下&轟霆劍海錄登場人物介紹
 【神兵大觀】轟掣天下&轟霆劍海錄登場武器介紹
 【奇景珍寶】轟掣天下&轟霆劍海錄場景、道具介紹
 【風華再現】轟掣天下&轟霆劍海錄經典武戲集錦
 【劇情實錄】轟掣天下&轟霆劍海錄文字劇情
 【天地玄奇】主題曲歌詞、詩詞、生難字解析、人物登退場表

本書特色

 白蓮耀世，群俠共抗閻王野心；
 道真雙秀，再寫時代神話傳奇。
 「霹靂俠影之轟掣天下」、「霹靂俠影之轟霆劍海錄」雙戲一次典藏

"
4718016029996,"


	【英雄名錄】仙魔鏖鋒II斬魔錄登場人物介紹
	【神兵大觀】仙魔鏖鋒II斬魔錄登場武器介紹
	【奇景珍寶】仙魔鏖鋒II斬魔錄場景、道具介紹
	【風華再現】仙魔鏖鋒II斬魔錄經典武戲集錦
	【劇情實錄】仙魔鏖鋒II斬魔錄文字劇情
	【天地玄奇】主題曲歌詞、詩詞、生難字解析、人物登退場表

本書特色
	 
	霹靂風雲錄上市以來佳評不斷
	系列書籍超越你對霹靂布袋戲過往出版品的想像
	全面收錄「霹靂天命之仙魔鏖鋒II斬魔錄」
	仙魔鏖鋒系列的膾炙人口，絕對值得收藏

	魔吞典藏卡蒐藏之路接近尾聲
	首刷附贈「魔劍狼」、「玉璃猿」、「赤龍影」3張魔吞典藏卡
	雙面精心製作，本尊、化身一舉收藏！

"
9789571194592,"


	長期以來，觀眾對於布袋戲常流於看熱鬧的層次，無法窺其門道，從而發現偶戲藝術之美。為了培養國民中小學、高中職學生的美育，坊間出版多種「藝術與人文」的教材，但對布袋戲的介紹，往往過於簡略，無法引起學生的興趣、正確認識劇種，遑論其美育的效果。古人云：「入門須正，取法乎上。」意指學習任何事務，必須追求典範，培養純正的藝術趣味。

	因此，本書即以百年劇團「小西園」為經典範例，共分為四章，特色如下：

	1.介紹臺灣布袋戲的歷史、重要劇團。
	2.認識百年劇團小西園與「戲狀元」許王。
	3.經典戲齣的賞析：〈蕭何月下追韓信〉、〈古城訓弟〉。
	4.技法與步驟：介紹製作偶戲的偶頭、戲臺、頭盔、服飾、樂器……等技巧及工序。
	5.附錄：臺灣布袋戲重大事紀示意圖、臺灣布袋戲劇團地圖及QR code等拉頁地圖。
	6.隨書附贈：雙拉頁地圖、珍稀影片＋精采劇目（DVD）。

	本書以經典圖片、插畫，全彩圖文並茂的方式呈現。期能薪傳偶戲之美，讓更多人深入認識這舉世唯一僅有的臺灣布袋戲，領略其蘊涵的奧祕與魅力。
	 
	找回失落的臺灣意象手感──布袋戲

	本書符合十二年國教「藝術涵養與美感素養」的核心素養內涵

	布袋戲不僅是臺灣珍貴的偶戲文化資產，也是一種豐沛的軟實力，更是魅力無窮的表演藝術。

	從野臺搭棚看戲到電視的霹靂布袋戲。它是生存於民間的文化藝術，也是上一代人共同的記憶，更是臺灣民俗藝術揚名國際的標記。

"
4718016026780,"


	【英雄名錄】動機風雲&刀劍春秋登場人物介紹
	【神兵大觀】動機風雲&刀劍春秋登場武器介紹
	【奇景珍寶】動機風雲&刀劍春秋場景、道具介紹
	【風華再現】動機風雲&刀劍春秋經典武戲集錦
	【劇情實錄】動機風雲&刀劍春秋文字劇情
	【天地玄奇】主題曲歌詞、詩詞、生難字解析、人物登退場表

本書特色

	千年鬥、五劍臨，佛厲魔蹤風雲變；
	亂紅塵、鬼神影，元章初始動機先。

	驚鴻掠影復塵囂，一瞥恩仇血路迢。
	刀劍齊鋒征世亂，春秋競逐睨天驕。

	經典不朽，跨時代感動推出
	全方位典藏「霹靂戰元史之動機風雲」、「霹靂驚鴻之刀劍春秋」
	雙檔好戲合體推出，延續您的收藏之路

"
4718016024601,"


	【英雄名錄】超過50名本劇核心人物介紹，精美彩頁、大呼過癮。
	【神兵大觀】最清晰的武器寫真，工藝之美、一覽無遺。
	【奇景珍寶】場景、道具整理解析，悠遊恣意、鬼斧神工。
	【風華再現】動人武戲橋段寫真及劇情回顧，怦然心動、不容錯過。
	【劇情實錄】每章文字劇情簡述，重點複習、再次回味。
	【天地玄奇】曠世窮武介紹、人物登退場表、生難字解析，探索奧妙、飽覽新知。
	 
本書特色

	二○一七年霹靂出版品最強年度盛事
	集結攻略本、設定集、寫真集優點的全新企劃！
	一次典藏「霹靂狼煙之古原爭霸」的所有菁華！！

"
9789867860118,"


 布袋戲 (Potehi) 源起中國福建南部，是全世界最為精緻的音樂劇場形式之一。在這本開創性的著作裡，六位研究者勾畫出布袋戲從福建傳佈至台灣和東南亞地區之輪廓，包括印尼、馬來西亞、新加坡與緬甸。本書著重於探究當前布袋戲如何在不同國家和地區內存續，從演出活動、語言、音樂、圖像學和宗教信仰等不同層面，觸及社會政治、文化議題。這本書含有豐富的圖片以及深入淺出的內容，是研究與學習亞洲文化、劇場藝術之人士不可或缺的書籍。
  

 The glove puppet theatre, potehi, which originated in the south of Fujian province, China, is one of the most elegant forms of music theatre in the world. In this path-breaking book, six researchers chart its spread from Fujian to Taiwan and Southeast Asia, including Indonesia, Malaysia, Singapore and Myanmar. The emphasis of this book is on how glove puppet theatre is currently functioning in these different countries and regions, touching upon sociopolitical and general cultural issues, as well performance practice, language, music, iconography and religious aspects of the genre. Lavishly illustrated and written in an accessible style, this book is an indispensable addition to the shelf of any student or scholar of theatre as well as a broader readership interested in Asian culture.

"
9789571058436,"


 2015年偶動漫史詩鉅作《奇人密碼－古羅布之謎》
 幕後全記錄，電影沒說的秘密在此全揭露！
 隨書獨家附贈～精采幕後花絮DVD

  

【緣起】傳承VS.創新不衝突
 黃海岱家族第四代──電影《奇人密碼》編劇黃亮勛，肩負父執輩代代相傳的使命，又有著七年級生的新思維。他以一個全新的、充滿傳承意味的劇本，講述兩代父子、叔姪間的傳承，並由專業的偶人漫娛樂團隊，打造出一部劇情、風格以及技術都和過去截然不同，全新的國際級史詩鉅作。改變，並不是要顛覆傳統，而是用一種新方法、新視野，讓傳統突破限制。

  

【開創】3D拍攝+3D動畫，掀起驚豔新視界！
 只有霹靂，才能超越霹靂！
 首部布袋戲電影《聖石傳說》帶來的震撼與感動，在十多年後仍令眾多戲迷津津樂道，這一次，台灣布袋戲要以新型態、新科技邁向國際化，台灣的布袋戲因霹靂而聞名國際，從傳統到創新始終在挑戰不可能，為民俗技藝帶來新的活力。透過引人入勝的電影劇本、3D技術以及龐大的綠幕背景，電影從拍攝到後製完全Mode im Taiwan，偶動漫要為台灣布袋戲寫下新的一頁！

  

【故事】亙古傳說中，以古喻今的真理
 遠古中國，一段從長安到樓蘭的奇幻冒險故事
 探索古羅布神秘之境的永恆世界……
 開啟絲路之門的英雄漢使張騫，在鑿空西域的過程中意外獲得了神秘的礦石「萬鵲」及「奇人設計圖」，並帶回中原視為傳家寶。其孫張猛依設計圖打造出以萬鵲為動力「奇人」──木人「阿西」，卻因此慘遭滅門；幸而千鈞一髮中將一雙年幼的子女──張墨、張彤及奇人「阿西」安全送出。長大後的張墨與張彤帶著阿西，希望能解開神秘礦石及滅門之謎，而開啟了前往西域的探險之旅！這一場旅程中，以古絲路強國──樓蘭國為背景，在失落世界中為了謎樣的能量張，竟掀起騫後代（漢族）、古羅布族、樓蘭國三個族群的糾葛……

  

【直擊】電影拍攝現場大驚奇！
 台上十分鐘，台下十年功。
 用人偶拍電影，難！用人偶拍攝3D電影，更難！操偶師如何賦予人偶生命與情感？拍攝過程中有那些驚險場面與秘辛？書中完整收錄電影拍攝過程的幕後花絮，包括八音才子黃文擇、霹靂操偶教父丁振清（貓叔）的採訪內容，精彩絕倫！
  

"
9789869142540,"


★全球首部3D布袋戲電影《奇人密碼─古羅布之謎》
 ★大量引進好萊塢電影製作技術，加上電腦動畫的科技效果與數位音效製作，為台灣本土文創樹立了全新里程碑。
 對這部眾所期待電影的製作過程感到好奇嗎？
 ★本書收錄所有人物、場景設定從原畫到電影呈現之間的珍貴資料，讓您對「布袋戲」所能達到的藝術成就從此改觀！


 大漠穹蒼碧天，
 玉門外不見長安美，
 百難中兄妹情，
 手足齊心共破千危；
 奇人神物，睹物思情，
 十六載難忘兒時樂，
 月明星稀，簫笛悲鳴，
 奶酒澆愁妹吐真言。
 雅丹黑沙遍遮日，
 樓蘭佛臉慈祥下，
 人心難辨實，不為虎口羊；
 孔雀河谷迷蹤境，
 戰鼓徹霄無染夜，
 羅布男兒血戰沙場，為誰亡？

"
