ISBN,書籍簡介
9789571390758,"


	第一次，我看到滿滿的示威人群占據上海街道。成千上百藍色制服的學生，宛如海浪湧進城裡每條大路，怒吼著、狂叫著，夾雜骯髒飢餓的工人，不分你我齊步向前，把我淹沒，帶著我，一起衝向最前線。

【二○一一年 台灣文學獎劇本金典獎】

	從死亡的一端，來回搬演的一度叛逆激進的劇中人短暫的菁華和漫長的臨終，詹傑似是透過《逆旅》為我們展開了一種台灣的歷史情懷。——周慧玲（國立中央大學英文系所教授）

	＊二○一一年台灣文學獎劇本金典獎
	＊公視表演廳記錄拍攝
	＊二○一二年十一月三十日至十二月一日/國立中央大學黑盒子劇場  首演
	＊二○一三年十一月二十九日至十二月一日/台北水源劇場
	＊北藝大年度導演呈現採用劇本
	＊文化大學畢業製作採用劇本
	＊台南藝術大學畢業製作採用劇本

	一九三○年，女革命家謝雪紅正在自己追求真理的路途上。
	一九八○年，嫁做人婦的曹海安正準備書寫一本關於謝雪紅的傳記。
	二○一○年，演員VIVI偶然來到醫院，尋找她失蹤多年的母親。

	一本陳舊且寫滿批注的《謝雪紅傳》，一位尋找母親的落寞女兒，一位在醫院拍攝生死面容的攝影師，他們偶然相遇，逐步揭開為時間所湮沒的家族秘密，貼近一個女人無可言說的渴慕、寂寞、拘束，以及愛情失落，終而踏上一條無人作陪的路途，以自己凋零生命，重新貼近並註解謝雪紅。此刻，她們終將相遇。

"
9789869278164,"


——服妖者，男穿女服，女穿男服，風俗狂慢，變節易度，故有服妖。


	★《春眠》之後，簡莉穎第二本劇本集面世。全書收錄《全國最多賓士車的小鎮住著三姐妹（和她們的Brother）》、《服妖之鑑》、《遙遠的東方有一群鬼》＋劇作家簡莉穎Ｘ導演許哲彬對談

	★特別收錄18禁首度公開劇作《直到夜色溫柔》

一個房間
兩家的客廳
三生三世的浪漫奇譚

	繼《春眠》之後，劇作家簡莉穎第二本劇作集結，既以西方寫實劇《三姐妹》、《群鬼》為原型，寫盡華人家庭的瑣碎日常與愛恨糾葛；也由後漢「服妖」之說、明清「擬男」戲曲獲得靈感，透過一名白色恐怖時期「渴望穿女裝的警察」，揉合反串扮裝、性別倒錯與國家暴力於一劇。18禁首度公開劇作《直到夜色溫柔》，則描寫當代「約炮」文化，勾勒各種愛與性的慾望及困頓。

	劇作家自述：「戲劇是西方傳進來的藝術形式，如何開放地擁抱當代戲劇，同時又自覺到二十世紀以來，現代性在亞洲造成的影響——了解我們所處的社會——才可能有好的原創。」穿梭於西方經典與傳統戲曲間，簡莉穎同時作原創也作改編，只為扣問「當代劇場工作者」這個身分，如何以戲劇創作回應當下。

"
9789865540333,"


	提到「百老匯」（Broadway），浮現在你腦海的可能是紐約市重要的南北向大道；可能是美國舞台戲劇的表演與創作重鎮；當然，它也非常有可能是《悲慘世界》、《歌劇魅影》、《貓》，或者任何一部「音樂劇」的代名詞。

	 

	本書收錄知名廣播人、資深樂評人宋銘的音樂劇解說專文，以及百老匯不同風格、不同時期的三大音樂劇作品評析，以其科班出身及長期觀察表演藝術的視野，將2010年代轟動全美的嘻哈音樂劇《漢米爾頓》（華文世界中首次正式出版的評析專文）、1990年代百老匯最賣座的音樂劇《西貢小姐》和1980年代後史上最成功的音樂劇《歌劇魅影》，化為一篇篇精彩動人的故事篇章！

	 

本書特色

	 

	★收錄《漢米爾頓》一劇在華文世界中唯一正式出版的評析專文！

	★完整呈現百老匯三個世代的成功音樂劇，紙上觀劇精彩萬分！

"
9789574458899,"


是生存還是競爭？是麵包還是槍彈的戰場？

	 

	在《勇氣媽媽》中，安娜和三個子女拉著馬車販賣軍用品，靠戰爭討生活，雖然三個子女都因為戰爭而相繼喪生，明知戰爭的禍害，卻忍不住想要戰爭，拉著馬車繼續向前邁進，只要活下去的勇氣尚存，一切必得繼續下去。

	 

	安娜被譽為現代西方劇場形象最為突出的女性角色。她是勇敢和懦弱的化身，她既是現實主義者，也是機會主義者；她是唯利是圖的生意人，也是個性堅強的母親。從左派的角度來看，她更是一位對抗資本主義的無產階級化身。

	 

	布萊希特以反諷手法宣示他的反戰思想，透過描寫戰爭，他也凸顯像勇氣媽媽這種在戰爭夾縫中求生存的矛盾角色。透過詼諧的對白及歌隊合唱，本劇充分展現出史詩劇場獨特的風格與魅力。

	 

本書特色

	 

	1、台灣唯一繁中譯本，大師經典著作，呈現人類真實人性

	2、適合戲劇工作者、戲劇相關科系師生閱讀

	 

"
9789574458905,"


世上真有好人嗎？
處在這個競爭激烈的世界，人能否保持純真善良，同時還能在社會上繼續生存？

	《四川好女人》這部人間寓言，帶我們重新反省人性善惡、社會現實與生存選擇的問題。
	本劇是布萊希特晚期的作品，完成於一九四三年。描述三位神仙來到四川的小城，希望在人間找到一個真正的「好人」。走遍全城，卻沒半個人願意接待祂們，只有貧困的妓女沈蒂好心收留祂們過夜。她因此得到一筆金錢作為回報，原本滿以為從此可以改善生活，卻發現商業利益與樂善好施的原則相衝突，她只好化身成現實、強悍的表哥蕭大掌管店舖。她到底是要當個精打細算，明算帳不講情面的生意人，還是做個好人，被城裡居民壓榨欺負？

本書特色

	1、台灣唯一繁中譯本，大師經典著作，呈現人類真實人性
	2、適合戲劇工作者、戲劇相關科系師生閱讀

"
9789578924918,"

粵劇教學不但能拓闊學生的創意思維，打破傳統語文的學習空間，對於情意教育也有裨益。通過豐富的戲曲文詞，體驗粵劇的藝術造詣，在香港的中國語文學習範疇引入粵劇元素，能更有系統地學習獨特的本土文化。本書通過粵劇跨學科課程的實踐及評估，提升學生對粵劇學習的興趣和能力；並且針對學習差異，完成多個層面的語文學習教程。本書以劇本教學（〈帝女花〉、〈紫釵記〉、〈再世紅梅記〉）為經，其中包括語文能力，人物性格，文化學習；並以粵劇教習為緯，通過「唱」、「做」、「唸」、「打」及各項舞台技巧，訓練學生多元智能，建立自信和成就感，從而明白粵劇演出的困難和局限。此外，本書另一重點是「劇場觀戲」的延展，劇場觀戲將平面的劇本故事立體化、形象化。「西九戲棚考察」讓學生近距離接觸戲棚建築及演出過程，認識及了解傳統粵劇文化。除了知識培養、能力訓練、問題探討、總結學習成果外，教學模式也由課堂走到戲棚，最終培養學生的品德情意及正確價值觀。粵劇教學內容廣泛，兼顧知識、能力和情意等，有助學生發展多元智能，以應付生活和社會的要求，達成全人發展及終身學習的目標；同時啟發學生關注和欣賞傳統藝術。本書通過多元的教學活動，切合學生不同的興趣和能力，示範靈活多變的學習方法，將粵劇融入課程，提升語文教學的質與量。
                    
"
9789888582150,"

本集為上海新興廣播社慶祝成立十四周年紀念印製刊行，該社社長為香港六七十年代有「百萬司儀」美譽的著名電視節目主持人胡章釗（1915?-1999）。全書收錄粵曲二百多首，包括著名粵劇老倌白駒榮、桂名揚、薛覺先、馬師曾、上海妹、半日安、譚蘭卿等的流行曲目，歌伶方面，則有平喉四傑的小明星、月兒、張蕙芳、徐柳仙等人的佳作。名曲甚多，如〈胡不歸（之）慰妻〉，到了二十一世紀的今天仍然不斷有名伶票友翻唱。卷首又有胡章釗、薛覺先、新馬師曾、上海妹、（張）月兒、半日安、白雪仙、歐陽儉等名家年輕時的近照，彌足珍貴。集中於粵曲常見的梆子二簧配樂都只列曲詞而不另標音符，於新選小曲則附以工尺譜，後來粵曲詞譜結集多用此格式。從當中曲目曲詞可見取材廣泛，不乏描寫中國抗戰時代人民生活狀況及抗日歌曲，絕非限於只有帝王將相、才子佳人的故事。自民初至中華人民共和國成立時，省（廣州）港（香港）兩地與上海經濟文化交往頻繁，民初僑居上海的廣東人很多，如永安百貨公司的郭氏家族、成功爭取開放租界公園予華人(撤下「華人與狗，不得入内」的規定)的名律師及慈善家馮炳南等，都是廣東人。當時上海有頗具規模的粵人聚居小社區、廣東人學校等。故此以廣播粵曲粵劇為主的電台，能夠在滬上經營，可以作為粵滬文化交流的歷史見證。集中廣告，多為上海當地商戶，但亦有跨地聯營的商號，臚列北京、上海、廣州和香港等地的分店資料，說明當時商家的經貿活動已經穿梭往來於中國沿海各大城市。
                    
"
9789574458141,"


	本書探尋評析亞陶的生命與足跡，是癲狂、疾病、哲學、劇場、人類學和表演研究論述的多部和聲。作者從不同視角探討亞陶生平與著作中基進前衛卻又神秘傳奇的事蹟與軌跡，提供讀者一個混雜且多樣貌的亞陶形象。亞陶的身體病痛體現於他的書寫、思考方式與藝術創作，他的病痛轉化為細/戲說哲理的過程不但耐人尋味，也構築了他的多重人生與多重事件。本書除了關注亞陶及其複象(包括他的病痛、書寫、生活、劇場、評論、追隨者與評論家等等)的存在，也在爬梳其生命和思想脈絡的同時，重新想像並組構讓人耳目一新的亞陶，並評價亞陶的詮釋者對他思想的詮釋與挪用。

	本書以兩部曲重新標示亞陶研究的新範疇：第一部曲「從病痛到細/戲說哲理，綜觀亞陶一生的受難與熱情」；第二部曲「亞陶效應的四個事件」。全書概分為八個篇章，脈絡分明地穿梭於「瘋子亞陶」與「先知亞陶」的辯證，是國內最具創見與前瞻性的亞陶研究專書。作者蘇子中教授綜論亞陶的生命與著作，佐以鉅細靡遺的歷史回顧和學術巡禮，熱情洋溢，見識不凡，篇篇均是引人入勝又具反思深度的傑作。

	破除語言以觸及生命，就是劇場的創造或再創造……當我們說到「生命」這個字眼時，意思不是指以外在事實來驗證的生命，而是指那形式永遠無法觸及既脆弱又騷動的核心。如果我們這個時代依舊有最可怕、最該詛咒的事，那就是我們在藝術上一味玩弄形式，而不能像那些綁在火刑柱上被活活燒死的殉道者般，穿透熊熊烈焰發出信號。――亞陶 (現代前衛劇場之父)

	《亞陶事件簿》是一本超獨特的書，我毫無保留地推薦給讀者諸君。這是國內第一本鑽研亞陶的學術專書，利用八個獨立的篇章，將 可見的「瘋子亞陶」和不可見的「亞陶先知」做了鉅細靡遺的歷史定位和學術巡禮。熱情洋溢，見識不凡，篇篇俱是可讀又具反思深度的傑作。――鍾明德 (台北藝術大學戲劇系教授)

"
9789864962099,0
9781625034069,"

本書是旅美華裔劇作家唐宇晨最新中英雙語版影視文學作品。
                    
"
