ISBN,書籍簡介
4712977747647,"


	【套書特色】
	★原北京舞蹈學院附中校長、芭蕾舞教育家 曹錦榮先生推薦
	這套由李巧老師翻譯的芭蕾教學法叢書是俄羅斯芭蕾舞學派教學的經典。對芭蕾舞教學有著解疑、示範的作用。是每一位芭蕾舞教師最貼心的教科書，也是舞者最實用的參考書。

	★摘錄自 北京舞蹈學院芭蕾舞系2011年發行簡體中文的出版說明～
	《俄羅斯學派 古典芭蕾教學法》作為俄羅斯瓦崗諾娃芭蕾舞學院認定的教科書，是一本極具權威性的專業教材。本系特將該書定為古典芭蕾訓練課程的指定教材同時願意將此書推薦給每一個學習和熱愛芭蕾舞的人。

	　　
	【內容簡介】
	本套書為舉世聞名的俄羅斯瓦岡諾娃芭蕾舞蹈學院官方認定的教科書，充實詳盡的記載了古典芭蕾由簡而繁的舞蹈技巧；描述各種動作從初學式、完成式乃至各種變化做法的演進過程及循序漸進的教學步驟。書中並有部份動作的練習組合範例、高年級課程範例、八年學制的教程大綱等。本書有多種文字譯本，為世界各地芭蕾舞校的重要參考書籍。譯者經多年精心翻譯方能有中文譯本的出版。

	《俄羅斯學派之古典芭蕾教學法典》
	本書為舉世聞名的俄羅斯瓦岡諾娃芭蕾舞蹈學院官方認定的教科書，充實詳盡的記載了古典芭蕾由簡而繁的舞蹈技巧；描述各種動作從初學式、完成式乃至各種變化做法的演進過程及循序漸進的教學步驟。書中並有部份動作的練習組合範例、高年級課程範例、八年學制的教程大綱等。本書有多種文字譯本，為世界各地芭蕾舞校的重要參考書籍。譯者經多年精心翻譯方能有中文譯本的出版。
	《俄羅斯學派之古典芭蕾教學法典》對教師而言，是一本不可多得的專業參考書；對舞者來說，則是檢驗與鞭策自身學習的工具。

	《古典芭蕾基訓初階：一至三年級的教學》
	誠摯的將這本 俄羅斯學派 的專業好書，獻給所有的舞蹈愛好者，尤其是熱愛古典芭蕾的同好。不論你是舞蹈老師、成熟的舞者或是學生一定都會愛上此書，也能深深感受到作者對芭蕾及對我們的愛。
	本書將動作過程及身體各部份的協調性記載得巨細無遺、絲絲入扣。而以表格列出動作練習的節拍，對照著身體的動作程序，讓讀者彷彿身歷其境、同步練習，就像是在腦海中觀察著最正確動作的slow-motion一般！
	最獨特、感人的是字裡行間不時出現的各種提醒，有些是為了怕你受傷；有些是為了讓動作完成得更順利而優美；更多的是為了使你養成良好的專業習慣，以促進中、高年級的學習，最終能夠在舞台上呈現完美的表演。
	如非頭腦最清楚、經驗最豐富、最誨人不倦的教學專家執筆，怎能寫得出書中這些細膩的文字內容。這樣幾近「碎碎念」的描述手法，不僅表達了作者對古典芭蕾藝術的熱愛，也十足傳達了對我們的疼愛之心。

	《古典芭蕾技巧進階：四至五年級的教學》
	精湛的舞蹈技巧是古典芭蕾藝術的一項重要元素。當具備了初階訓練的穩固基礎之後，就逐步進入技巧養成的階段。芭蕾的技巧是以平穩幽雅的旋轉、從容懸浮的跳躍、簡潔俐落的擊腿、輕盈靈敏的踮立等面貌呈現在舞台上的。這些技巧最終還將互相滲透、交融，進而形成空中的旋轉，踮立的跳躍等等不可思議的高難度舞步。為了要掌握芭蕾藝術的核心技巧，並且避免在訓練的過程中受傷，必須學習手、眼、身、步、法的協調配合。許多時候，甚至需要將心神意念貫注在身體活動中，以抵抗自由落體的慣力衝擊；或者相反，運用肢體反彈的力道順勢完成擊腿的技巧。相關的細節和訣竅，全部包容在這本俄羅斯學派 的專業好書中。
	俄羅斯教學法素以科學性與邏輯性聞名於世，對於專業技巧訓練的先後順序格外審慎、嚴謹，本書據此詳盡闡述四年級和五年級的所有教學內容，並且提供了各類技巧訓練的教學範例。

"
9789574458851,"


	國際知名舞蹈家、編舞家強納森‧布洛斯（Jonathan Burrows）認為舞蹈是與自己身體的思考方式進行的一場對話。他反思自己多年來的舞蹈生涯與創作經驗，以及帶領舞蹈工作坊的討論內容，詳細寫下創作、醞釀創意的過程與工作方式，不僅帶領讀者理解創作舞蹈表演的歷程與原因，更期望自身的經驗能幫助其他舞者及編舞家順利進行創作。布洛斯分享編舞過程的許多練習、冥想、原則與概念，舞者與編舞家都能藉此找到屬於自己的創作美學與方向。不管想要創作什麼樣的舞蹈表演藝術，《編舞筆記》都能作為實用參照。

本書特色

	1. 創作舞蹈的實用經驗，加深理解舞蹈藝術
	2. 與2020桃園鐵玫瑰藝術節合作出版
	3. 適合舞蹈工作者、舞蹈相關科系師生閱讀

"
9789869681742,"


	從日治到當代，一百多年來，臺灣人始終在追尋自由，
	政治的自由、思想的自由、文化的自由；
	而臺灣現代舞發展的歷史，就是臺灣人追尋「身體的自由」的歷史。

	假如我是一隻海燕
	永遠也不會害怕
	也不會憂愁
	我愛在暴風雨中翱翔
	剪破一個又一個巨浪

	──雷石榆，〈假如我是一隻海燕〉

	我們對於自己的身體，看似有權自主，實際上卻受到許多禮俗、傳統觀念，或是法律等無形的規範，限制著我們的自由。另一方面，舞蹈這項藝術的核心，則是以身體為語言，用最直接的肢體運動，表達出人最真實的內在感受。在這層意義上，現代舞走得相當遠，因為它的出現，就是為了打破古典芭蕾日益僵固的審美標準，讓身體能夠盡情揮灑，更貼近奔放的心靈與思想。而這源於反叛、追求自由的現代舞，雖誕生於二○世紀的歐美，卻引起了普世的心靈共鳴並傳入亞洲，先是日本，而後朝鮮，最後輾轉進入臺灣，落地生根。
	　　
	《假如我是一隻海燕：從日治到解嚴，臺灣現代舞的故事》以細緻而優美的文筆，生動地描繪了現代舞在臺灣的發展，同時，也記錄下臺灣人在政治與文化之外，追尋身體自由的歷史。「假如我是一隻海燕」語出雷石榆的同名詩作，這是他寫給愛妻蔡瑞月的詩作，後也被改編為現代舞作品；而這隻在狂風巨浪中奮力飛翔的海燕，既象徵著蔡瑞月，也象徵著臺灣現代舞發展史上每個舞者努力的身影。回顧過往，最早，經由日本的現代舞之父石井漠、朝鮮的半島舞姬崔承喜，影響了臺灣的蔡瑞月、李彩娥等一代人，再到如今人們熟知的林懷民與雲門舞集等，是在他們各自的努力之下，現代舞在臺灣才逐漸成為一項被人認真看待的藝術；也是因為這些舞蹈家的努力，才讓臺灣人普遍更理解、更能掌握、更懂得展現自己的身體。而這項藝術所象徵的，諸如自由、解放、抵抗等近代啟蒙思想的精神，也歷經日本帝國的殖民、戰後國民黨的統治與戒嚴、冷戰局勢下的美援勢力，渡過層層壓力、重重難關，最後終於完成了在地化，發展出自己的特色。

本書特色

	1. 少數關注臺灣舞蹈文化發展，並且面向大眾的藝術通史著作。且除了關注舞蹈藝術本身之外，亦關注舞蹈家們在政治、性別等層面的努力與突破，描繪出現代舞在整個文化當中的位置，以及對整體社會的影響。

	2. 過往相關著作，一類是以「舞蹈」為主，並未特別點出「現代舞」這個舞種的特殊意義，以及它和臺灣史、臺灣文化發展的緊密關聯；而另一類著作大多以單一舞蹈家為中心，關注其生平故事，卻比較無法俯瞰全貌。本書則以現代舞為軸線，用舞蹈家的生命片段為材料，來描繪此舞種的發展，既關注橫向影響，也關注縱向傳承。

	3. 作者本身學習現代舞，所以書中並不僅止於史料的鋪陳或是講述人物故事，亦能夠用深入淺出的方式，適時講解觀舞重點，分析舞蹈作品的美學所在。

"
9789577635778,"


	一幅畫，我們「看」到它的鮮豔色彩；一首歌，我們「聽」見它的悅耳動人；一件雕塑，我們「觸」摸到它的鬼斧神工。而一段舞蹈表演，除了可以看見舞者華美的服裝、聽見高潮迭起的背景音樂，更能用心感觸到，舞者將所想表達的藝術內涵，揉合進有力的舞蹈動作中，帶給觀眾們前所未有的震撼。從高雅的劇場藝術到通俗的街頭舞蹈，琳瑯滿目的舞蹈動作，絢爛得令人目不暇給。究竟舞蹈之美的差異為何，我們不能客觀地去定義它，因為每個人對舞者的動作有諸般感受，唯獨自己才能細嚼慢嚥出箇中的滋味。

	舞蹈藝術走向表演專業或群眾普及，並非兩條平行線。舞者日夜勤奮的學習，最終渴望的不是與生活漸行漸遠，而是希望有朝一日在觀眾面前，可以透過舞蹈表達自己，盡己所能地為世界添上一些美好與思考；而一般觀眾覺得藝術殿堂深奧艱澀、難以企及，卻未曾發現舞蹈的媒介就是與他們並無二致的「人」，舞蹈中所說的各個主題，就是他們平時關心的「愛與生命」的話題，這些難以言喻的微妙思緒，將透過舞者們的表演，把生活跟藝術緊密的串聯起來。所以舞蹈的專業與普及，無論從教育或欣賞的角度來說，都是不可分割的一體兩面。

	這是一本關於舞蹈知識的入門書籍，藉由多年教學經驗做出整理與解析，作者運用簡明清晰的邏輯，為大眾揭開許多舞蹈藝術看似玄妙難懂的知識，以多年來對舞蹈深入的研究，書中對舞蹈所進行解構及評論絕對是有憑有據的。對舞蹈有興趣朋友、長年在舞蹈中打轉無法解惑的舞蹈科系同學們、成年後才接觸舞蹈的朋友們，很多道理我們都知道，但偏偏苦於「有口難言」，如果你們能看看這本書，必定會「恍然發現」其中的種種道理，並瞭解舞蹈中很多的為什麼！

	拉筋真的會長不高嗎？學舞蹈能夠養活生計嗎？這些為人津津樂道的話題，或許不屬於專業領域的範疇，也沒有一個標準的答案，卻使舞蹈知識更貼近我們的日常生活。你所不認識的舞蹈世界，經常缺少一把開啟的鑰匙，雖然很多的內容都曾出現於不同的書籍或文章中。然這本「50則非知不可的舞蹈欣賞概念書」是以淺顯的文字闡述觀點，書寫流暢很適合一般讀者閱讀。

"
9789570850574,"


從日本帝國趨於日落的太平洋戰爭後期，到國民政府遷台前的短暫暮光之際
台灣舞蹈藝術曾如夕陽中的幾抹雲彩，燦亮、多變、絢麗……

	台灣精緻化、舞台化的舞蹈表演藝術，在觀念與形式上是殖民現代化的成果，而其發展鑲嵌在三個極為不同的時代脈絡中：日本殖民統治、戰後的短暫過渡，以及國府遷台後的兩岸對峙與國際冷戰局勢。在三個表面看似斷裂的政治與文化環境中，底層卻有歷史的伏流延續而轉變著。徐瑋瑩的《落日之舞：台灣舞蹈藝術拓荒者的境遇與突破1920-1950》探究日治到戰後初期台灣舞蹈藝術萌發的脈絡，聚焦於舞蹈與政治（戰爭）、性別、階層、教育等因素之關係，梳理台灣舞蹈藝術如何可能的社會原因。

	舞蹈研究有其時效性，在時間沖刷下，後人是愈來愈難貼近時代的真實脈動，感悟體驗的深入書寫。台灣舞蹈藝術史的學術建構勃發於解嚴後的1990年代中葉，但隨著第一代舞蹈家們陸續凋零，舞蹈界的學者雖然努力研究與書寫，但是因人數屈指可數，加上瞬間即逝的舞蹈藝術讓資料蒐集、釐清、理解相對困難，因此舞蹈史的建構，呈現零散片段的現象。

	徐瑋瑩以兩位被喻為「台灣第一」的新舞蹈家林明德與蔡瑞月為主軸，將其生命史置入宏觀的歷史長河，考察行動者如何邁向舞蹈藝術之路，也揭示形塑舞蹈家之可能（或不可能）的社會機制，並同時參照同一世代其他舞蹈家的生命歷程，藉此彰顯林明德、蔡瑞月在同世代舞蹈家中的殊異性。對身為舞蹈人的徐瑋瑩而言，「落日之舞」的探索，不只是學術知識的積累，還有對於自我的填補與療癒，以及啟動繼續追尋台灣舞蹈藝術史的動力。

"
9789571159263,"

在各式各樣的表演藝術中，舞蹈具有其獨特的地位，除了唯美動作的展現，它還結合了音樂、道具、服裝等各種要素，而其他的表演藝術也往往融入了舞蹈動作。本書共分五章，第一章到第四章分別針對中國舞蹈、芭蕾舞、現代舞及娛樂舞蹈作概要性的介紹，除了簡述各類舞蹈的起源與發展演變外，也實際帶領讀者以文字的方式欣賞各類舞蹈中的經典舞作；第五章則是從「架構」、「動作」、「音樂」、「舞者」以及「服裝‧燈光」等方面切入，引導讀者欣賞舞蹈，並說明「劇場規則」以作為觀眾進入劇場欣賞舞蹈的基本認識。
                    
"
9789571156774,"

蝴蝶和小鳥也可以成為舞蹈的教材來源嗎？如何用舞蹈來表達下雨天的心情呢？什麼叫做連體嬰的舞蹈呢？近來坊間出現許多「創意舞蹈」的課程，代表基礎舞蹈教學正在改變中，本書以主題式創意即興的方式來引導舞蹈教學，不僅可以更深入舞蹈本質，亦可讓教學進入正軌且不失其創意性。本書作者潛心研究教學十餘年，盡力將其研究心得表達於本書之中，不同於一般制式化的舞蹈教學，可以將此書作為教學概念的參考，再自行研發出適合自己的舞蹈教材。
                    
"
9789571127767,"

另外，書中對印度、俄羅斯、英格蘭等世界各地民族舞／樂文化的介紹與精要探討，特別是，芭蕾舞與西方現代／當代社交舞的發展在文化人類學上的關聯，頗值得注目。
                    
"
9789571117782,"

本書共分五章，其中第一章到第四章係對中外各主要舞蹈種類作一概要的介紹，讓您對這些舞蹈的起源與特色有個基本的認識，第五章則針對如何欣賞舞蹈作重點而簡明的介紹。因此本書可作為大專院校舞蹈科系同學補充教材，亦可提供專業舞蹈老師教學的參考資料。再者，本書之內容將可幫助那些對舞蹈有興趣的社會人士作為舞蹈欣賞的入門指南。
                    
"
9789570515701,"

薪傳
　一九七八年十二月十六日，是卡特政府宣佈承認大陸，與中華民國斷交的日子。而當天，也正是雲門舞集「薪傳」首演的日子。這一天，因而成為一個分嶺。台灣的社會與民，從此走向一與過去大有不同的路途，進而爆發新的能量；「薪傳」，則成為雲門舞集最轟動的一齣舞劇，歷二十年不衰，也成為臺灣文化作品代表之一。

　透過一九七八年十二月十六日這天兩件事情的前後發展，我們可以重新體會台灣政治、經濟及社會環境變動的情境，也為一件獨特的文化創作的過程和背景留下見證。

　他們舞得驚心動魄，那只為了謀一口飯的移民形象，不再只是形象而已，經過他們的詮釋，已化為有血有肉的真人物，誓與天抗、與海鬥，不能前進，就只有死亡。他們在舞台上飛躍、翻滾、急奔、哀泣、歡樂，每個動作都牽動著觀眾的每一個細胞。舞罷，他們自己都被感動得抱在一起嚎啕大器，領隊的老師們也上台來，緊緊擁抱，器成一團。素來很吝惜稱讚掌聲的香港人，和幾百位參加舞蹈節的各國舞者齊齊站起來，給予如雷貫耳的掌聲，學生們整整謝幕長達二十幾分鐘。
作者簡介
　古碧玲，興趣廣汎泛，認為任何存在天地間之事物，都值得關切。深好閱讀的樂趣，喜覽各類書籍，政治、經濟、歷史、傳記、科普、時尚、文學、藝術、電影、推理、性研究乃至於烹飪等著作。
                    
"
