ISBN,書籍簡介
9789860568769,"


 「所謂舞踏的場所即是母親的腹中。生與死是緊密相連的一體，就如同人的出生必然也有死亡跟隨，總是內含著矛盾，而我們的生命就這樣誕生。」

  

 日本舞踏家大野一雄與土方巽並列為日本舞踏（Butoh）的創始人，對現代和後現代舞蹈有著巨大的影響。1906年生於北海道函館的他，在看了舞蹈家阿根廷娜的演出後受到啟發，於1933年開始正式學習現代舞，於1977年屆70歲之時，以《阿根廷娜頌》向她致敬，並受邀參加南錫國際戲劇節，於國際聲名斐然。

 本書集結兩本著作而成：第一部「魂之糧」，是大野慶人對父親大野一雄及其舞蹈的解說，以130多張照片呈現了他的舞蹈和哲學；第二部「練習時的言語」，是1977年至1996年間大野一雄在排練場對學生發表的談話，以格言形式整理而成。想要瞭解現代舞、舞踏及日本現代美學的讀者，都可以從中一探究竟，深入了解這位二十世紀日本最具特色之一的當代藝術家。

  

 「在看過大野先生的演出和演講後，也許我該說讓我們「認真地」去生活。」

 林懷民，雲門舞集創辦人╱藝術總監

  

 「大野一雄是我們所知道最令人驚嘆的藝術家。他是舞蹈史上最具原創性和影響力的藝術家之一。他的舞蹈和人性探索毫不受限。同樣感人的是他的兒子慶人對一雄的藝術和生活所作的坦率且真誠的評論。他們兩位一起創造了奇蹟。」

 永子（Eiko）＆高麗（Koma）

  

 「大野一雄是二十世紀最偉大的舞踏藝術家，在他的舞蹈和後裔中與瑪莎．葛蘭姆和摩斯．康寧漢一樣重要。他的言語帶讀者到達通常無法經由舞蹈和跳舞企及之處。」

 Carol Martin，紐約大學戲劇系副教授

  

 本書特色

 大野一雄在華文世界第一本中文譯作

 圖文並茂，從中深入大野一雄的哲學與舞踏的世界

  

"
4713510945759,"


 許芳宜，這個被媒體譽為「瑪莎葛蘭姆傳人」的舞者，為了追求舞蹈之夢，一直以自己的方式與體驗，不循常規地堅持走出自己的路。從學生時代就脫離父親為她描繪的人生藍圖，隻身獨闖舞者聖地紐約，吞下所有現實環境的不平等和嘲諷，忍受離鄉背井、快樂悲傷都沒有人分享的孤寂，這一切，都是為了跳舞。

 這個愛跳舞的女子，以自己的例子證明——敢於夢想，認真實踐，我行，你一定也行。

 本書分為兩部分，「PARTⅠ：芳宜說芳宜」，許芳宜現身說法，從小時候的舞蹈啟蒙說起，娓娓道來她的家庭、求學過程、隻身獨闖紐約時期、影響她的師長、愛情與工作的兩難……跟著她的敘述，深入了解她成功背後的心情。

 「PARTⅡ：他們說芳宜」則採訪了數十位藝文界、媒體界重要人士，透過他們的眼睛來談「許芳宜」這個人，更能體會到她的成功並非僥倖，而是來自高度自律，以及比其他人更認真與持續不斷的努力。

"
9789571375373,"


人生不能複製，生命無法重來。
 我是生命的指揮家，人生這場大戲和我的現場演出不謀而合，
 一個是 Life 人生，一個是Live現場。


 我的名字叫做許芳宜，19歲我許下人生的第一個夢想：我要成為職業舞者。
 23歲我做到了，36歲人生目標開始搖晃，39歲強迫闖關，40歲全新方向。
     
 老天爺很照顧我，無論走到哪兒總讓我有機會體驗不同的人生功課，
 有些功課看似簡單卻十年都過不了關，
 有些功課因為站在懸崖，卻因一轉念而開啟了人生的另類樂章。

▍本書收錄珍貴影像 ▍
 無論台灣或紐約，排練中、後台裡，專業攝影師貼身記錄許芳宜的身影

 從舞台上「瑪莎‧葛蘭姆的傳人」到推廣「身體要快樂」人人口中的許老師，
 媒體上的許芳宜，總是讓人感覺安定、勇敢、明亮──就在國際紛紛報導這位舞蹈明星之時，許芳宜的人生舞台卻上演著無數不為人知的舞碼。

 在人生最耀眼奪目的時刻，她赫然發現自己就站在人生的十字路口：不知道年近四十歲的自己，到底要什麼？接下來該往哪裡去？徬徨、迷惑接踵而來；再多的榮耀與光環，都無法給予她明確的方向；她，忘記要勇敢。

 許芳宜回到當初，細數內心的掙扎與拉扯：一人在異鄉，在老鼠四處流竄的租屋處度過每一日；曾經害怕走進練舞教室、與舞蹈大師爭吵；也回望自己在舞台上的拚搏，兩次骨折使頸椎受到壓迫，舞台後方總有醫生等候；如何在被醫生告知「會痛，但不會死」之下重新認識自己的身體、向身體學習；更進一步拉進自己與身體的距離，發現年齡、身體對自己更深層的意義。
 　
 許芳宜首次親筆寫下她的挫折、孤獨、堅強與把握機會創造不凡的每一步；
 在面對未知的時候，她隨著心的方向，用身體藝術創作，找到人生的答案。

 她曾經一度在缺乏自信的時候，得到大師給她永難忘懷的鼓勵：「如果妳要費這麼大的力氣找明星們來眾星拱月，為何不把自己變成會發光的太陽，讓星星們向妳靠近，讓星星們想藉妳的光來發亮。」

 如今，她用生命實踐，身體力行：「我要成為太陽！」

"
9789860658873,"

以四個不同類型與編制的作品為主體書寫，從個人的生命歷程出發，闡述及印證個人的藝術理念與教育理念之追求。張曉雄以其獨特的當代舞蹈教學體系，影響了臺灣、中港、新馬、澳洲等地不計其數的舞者，門生遍布國際舞壇。在這本從創作談中，張曉雄從他個人的生命歷程出發，關照藝術教育中的創作展演環節。以其體裁、題材、編制與風格迥然的四個作品為例，敘述作為藝術表演、創作與教育的踐行者，如何在過往20多年間，耕耘於舞蹈教育領域。
                    
"
9789572889657,"


	《劉鳳學舞蹈全集》預計出版十卷，書目和收錄舞作依序為：
	第一卷　唐宮廷讌樂舞研究系列（一），尋找失去的舞跡．重建唐樂舞文明（貴德、皇帝破陣樂）
	第二卷　唐宮廷讌樂舞研究系列（二）（春鶯囀、蘇合香）
	第三卷　唐宮廷讌樂舞研究系列（三）（團亂旋、傾盃樂、拔頭）
	第四卷　劉鳳學作品第109號《曹丕與甄宓》（上）
	第五卷　劉鳳學作品第109號《曹丕與甄宓》（下）
	第六卷　中國現代舞系列——傳統／現代的詮釋（火花、十面埋伏、門神、冪零群、拉邦三環創作法實驗、俑之一——漢俑）
	第七卷　與宇宙共舞——臺灣原住民舞蹈及中國少數民間舞系列（九族基本舞步、賞月舞、青春舞曲、嘉戎族狩獵舞、西拉雅姆、虹彩妹妹、農家樂、太極劍舞）
	第八卷　儒家舞蹈研究（人舞、化成天下、威加四海）
	第九卷　劉鳳學作品第107號《沉默的杵音》
	第十卷　劉鳳學作品第127號《揮劍烏江冷》

	每一卷內容包含「論述」和「劇場演出實錄」兩大部分，前者以歷史經緯、田野調查、學術研究為梗概，後者以拉邦舞譜、樂譜、設計圖稿、影像呈現，理論和實踐並陳，顯示出劉鳳學逾一甲子的舞蹈創作、舞蹈學術、舞蹈教育的廣博，也透過其個人與她的舞者、龐大的藝術工作群，形塑臺灣當代舞蹈史從微觀至巨觀的多種面向。

	本書為全集第一卷‧唐宮廷讌樂舞研究系列（一），以中古世紀唐（618～907）讌樂舞為研究對象，並以讌樂之舞蹈為論述焦點，上篇為研究成果，透過史料及出土文物，探究讌樂舞從西元前16世紀至西元618年的演化過程中，渉及歷史的、地理的、政治的、文化的、民族的、社會的各領域所帶來之轉變及影響；下篇為劉鳳學重建唐中曲《貴德》、唐大曲《皇帝破陣樂》兩支舞作的舞譜，以及劉鳳學小傳、年表、相關圖片和劇照。

本書特色

	《劉鳳學舞蹈全集》是臺灣第一部舞蹈全集，劉鳳學更是臺灣首位出版「舞蹈全集」的舞蹈家。

"
9789865406066,"


＃ 46年舞蹈生涯 唯一巡演日記

	＃ 雲門舞集幕後開箱
	關於飛行 演出 掌聲 受傷 應變 與跨文化觀察 以及林懷民對於文化養成的感觸和期許

	＃ 2019年底林懷民卸任雲門舞集藝術總監 錯過再也沒有的親筆巡演日記

	雲門的人走出主流社會的軌道。我們的工作常常離家，把至親好友撇在一邊遠行⋯⋯
	流浪是我們的宿命。
	——林懷民

	「跟雲門去流浪」是雲門舞集創辦人林懷民的海外巡演日紀。2007年暮春到夏初，六國八城的七週巡演中，林懷民在後台，在飯店，在飛機上寫下他的工作，他的見聞與心情。

	這是第一次，我們窺見雲門這個世界級的團隊如何克服困難，在雪梨、倫敦、里斯本、莫斯科、巴塞隆納等城，推出讓觀眾跳起來喝采的演出，以及舞台下的真實生活。

	林懷民親切温暖的分享家常，一路帶著讀者看雲門，看世界，看人生。遇到美好的事物，他像孩子一樣，歡呼「拍手！拍手！拍手！」他也坦述生命的哀傷，關於失敗，關於死亡。全書節奏輕快，敍事抒情，感人至深。說歸到底，林懷民原本就是一位𠎀出的作家 。

	2019年7月，林懷民最後一次主持雲門的戶外公演，四萬多人湧入台北自由廣場，跟他告別。紐約時報以全版的篇幅，報導了這個盛會。

	記者問他，退休後會不會寫自傳。他說，絕無可能。

	那麼，「跟雲門去流浪」是絕唱了！

"
9789574968312,"

蔡麗華，1945年生於臺南新化，小時候就展現文學、運動、舞蹈多方面的天賦。本書作者蔡富澧以流暢文筆，細數她一生以超人毅力，創辦舞蹈系所、田野調查與舞團及雜誌經營的作為。本書並闡述她數十年間，在編舞上求新求變，重視舞者的人文素養，極大程度影響臺灣民族舞蹈的發展走向，培育優秀人才的歷程，以及她身體力行，51歲赴美國德州TCU攻讀舞蹈碩士，並在69高齡，抱病完成香港新亞研究所史學博士學位嘔心瀝血的感人故事。
                    
"
9789861336688,"


身心自在，是人生最美麗的平衡。十年前，曹金鈴是全神貫注優雅的舞者，今天的她，教大家輕鬆的和自己身體對話。只需十分鐘，你便享有身、心、靈的平靜，歡愉和自在！

 知名舞蹈家曹金鈴年屆七十，回首十年前因為多年習舞所累積的運動傷害，讓她全身僵硬，無法自由運用身體。曾經是生命中最重要的事──跳舞，竟成了她最大的負擔！

 於是她利用這段時間踏遍世界各地，去印度學習肚皮舞，也到峇里島克服旱鴨子的心理障礙，更遠赴新疆天池西王母祖廟朝聖。她不斷探索生命的真諦，也體悟到舞蹈帶給她的影響與喜悅，最重要的是，重新拾回舞蹈的初心。這是這十年間她最大的收穫。

 因此她設計出一段簡易體操，不分年齡性別，都能在簡單卻別具巧思的動作中，獲得肢體的伸展與紓解，重啟與身體的對話。她要帶領讀者在每日十分鐘的肢體活動中，獲得最完美的體態，尋回最平衡的身心狀態。

 「蹉跎了十多年的光陰，我想，人生七十才開始，重新出發，或許任何時候都不嫌遲！」

本書特色

 ★臺灣第一位留學寶塚音樂學校，進入寶塚歌劇團，也是破紀錄的超長彩帶舞創始者，知名舞蹈家曹金鈴在習舞超過半世紀後的人生體悟！

 ★沉澱十年後，曹金鈴找回舞蹈的初心，拿出舞者的態度，與身體進行真誠的對話，並將多年所學，融會成十分鐘的身心靈平衡操，帶領讀者與身體對話，重獲平衡。

 ★特別收錄二十四節氣小提醒，讓你在每個時節都能檢驗自己的身體狀況，把自己調整到最佳狀態，迎接每一個值得期待的歲月！

 ★KimiBarre／KIMIKO Studio 創辦人 Kimiko、導演 王小棣、前民生報總編輯 陳念慈、資深演員 李立群、弘道老人福利基金會執行長 李若綺、諮商心理師 林萃芬、表演藝術評論臺駐站評論員 徐瑋瑩、藝文方家總監 陳敏、名製作人 楊佩佩、資深藝人 譚艾珍　真摯推薦

"
9789869333696,"


台灣少有的舞蹈家散文集。透過古名伸細膩的感知與文字，我們不只看見台灣當代的美學切片，更找到全新的角度，向外看世界，向內看自己。

舞蹈家古名伸橫跨七年的專欄集結。這七年，不止是古名伸的七年，也是時代的七年。古名伸寫舞蹈、身體、藝術教育、美感養成。那恰恰是台灣最匱乏的美學教育。

  

古名伸的身體，是一團包著棉絮的火球，動作由內至外激烈地燃燒。--香港《越界》雜誌。

  

創作的念頭冒出來之後，我們就要開始找舞者、找音樂、找贊助、找場地；接著就是無止盡的排練、推敲、籌備；觀眾席燈暗，舞臺燈亮；舞臺燈暗，觀眾席燈暗。

  

一箱箱器材被推出去，最後一個人關掉最後一盞燈，靜靜的舞臺恢復到原來的模樣，彷彿不曾發生過任何事。只有經歷其中的人相信，這一切真的發生過。

--古名伸，〈修了三輩子的福氣〉

  

 近年來，表演藝術在台灣如繁花盛開，畢娜‧鮑許舞團的演出一票難求；雲門新作總是引起話題；每年雲門二的春鬥，也讓人看見新舞碼、新舞者；舞蹈家林麗珍的紀錄片「行者」，更讓許多人感動。

  

 然而，我們卻極少從舞蹈家的眼睛來理解「跳舞這件事」。舞蹈家古名伸，是台灣知名舞者，同時也是編舞家，更是將即興接觸舞蹈引進台灣的重要推手。她的散文集《完美，稍縱即逝---舞蹈家古名伸的追尋筆記》，集結了在《表演藝術雜誌》七年的專欄，紀錄舞台之外，舞蹈家的思考與糾結，那些無人知曉的時時刻刻終於被看見了。

  

 全書由首篇〈過關斬將的跳舞人〉拉開序幕，古名伸寫著：

也許大多數線上的舞蹈人一路走來都很堅決，不東張西望，所以生命中總有一種核心清楚的素質。到底那個致命的吸引力是什麼，不是很容易說得清楚，但當新生們出現在我面前時，那堅決是我認得的。

  

 在〈把堅持放在不肯妥協的一角〉中，她則寫道：

我們持續經營著勢必灰飛煙滅的表演藝術，它的特質與宿命從來沒有改變過，歷史上前仆後繼往這個黑洞縱身一跳的舞者，也從沒缺過。我們看到了一個製作的裝臺，又看到了它的拆臺；我們嗅到了一個潮流竄起的氣味，又眼睜睜看它失寵退去；一個主義在歷史上標下了重要的註記，另一個和它完全抵觸的主義依然升起。

  

 舞團與舞蹈家日以繼夜地苦熬，只為了追求舞台上剎那的燦爛，《完美，稍縱即逝---舞蹈家古名伸的追尋筆記》，紀錄了這不斷往復的，從零到完美又落幕的歷程。全書分為四個篇章，〈跳舞的人〉、〈創作與即興〉、〈純真年代〉、〈人生行旅〉，這些篇章不只紀錄了舞蹈家的追尋，更坦率地寫出她心中的反省與遲疑，但最終，我們將看見舞蹈家義無反顧奔赴舞台，追尋完美的身影。

"
9789862138366,"


	「飛天舞蹈，是我一生追求的志業，在這個道途上，它成就了我的藝術，也成就我的婚姻，更引導了我的人生觀。」

	樊潔兮，自三歲習舞以來，在芭蕾、現代、中國舞等嚴謹專業造就了她，超過半世紀的舞齡，匯集東西方人文、宗教及藝術，用生命與愛孕育出作品。除了舞蹈家的身份，樊潔兮另一個重要的身分，叫柯夫人，從28歲遇到世界知名的攝影大師柯錫杰之後，樊潔兮的舞蹈之路更廣，有了愛情和婚姻的支持，卻也更多責任。在31歲那年，她毅然決然赴紐約學舞，追求藝術與夢想，就此舞出另一片天空。創作出一種似動非動、動靜兼備，且具「定格留白」的新舞種──Vu.Shon。日本佛教藝術專家吉永邦治先生觀賞後，盛贊：「潔兮女士的飛天舞蹈，使人覺得那並不是凡人活生生的肉身，而是自然界裡的一股自然風香。」

	本書結合攝影大師柯錫杰作品，樊潔兮除了細說習舞歷程，更為讀者述說人生路上的動人故事：「當我回眸而望這多年所付出的心血，和上天給我的磨難，似乎都轉化如絲路天山雪水一般的甘甜，讓我永生呵護、隨身相伴。」

"
9789869410953,"


★2015年《時代雜誌》百大最具影響力人物
★《紐約時報》暢銷作者米斯蒂‧科普蘭私密自傳

	出身底層的天才芭蕾舞者，舞出堅持不懈與優雅的生命之歌
	寫給勇敢追逐夢想的每一個人

	『登臺演出時，一切掌握在你手中——沒有時間再擔心或想辦法改進，成與不成一翻兩瞪眼。要不優雅著地，要不失足跌倒。一就是一，已成定局，這就是自由。而舞臺，就是我感受自由的地方。』——米斯蒂・柯普蘭

	從十三歲的米斯蒂‧科普蘭第一次將雙手放到舞蹈教室扶手上，她一路舞向頂峰的英雄之旅就此展開。這位身材嬌小、個性焦慮、來自弱勢家庭的女孩，其實是名不可多得的天才。科普蘭在書中娓娓道來，她如何在世界頂尖的美國芭蕾舞團中，成為首名非裔美國籍女性首席舞者的歷程。在秩序井然、優雅美麗的芭蕾世界與苦澀難熬的現實生活之間，她必須選擇擁抱自己的身分與夢想，找到敢於與眾不同的勇氣。

	這是一個以自我實現和身份認同為主軸的故事，每一個勇敢追逐非凡生活的人，都能從她的故事中獲得啟發與力量。柯普蘭以她的親身經歷印證：「不管追求什麼樣的目標，舞者成功的機率都非常高。因為他們在練習技藝的過程中，在身體和心理上都培養出鎮定和遵守紀律的特質。」

	即使你起步比別人慢、年紀已經不小，或時常懷疑自我，舞者堅持不懈的精神將引領你舞出獨特的人生。

"
