ISBN,書籍簡介
9789869439909,"


 「你有被所愛的人拋棄過的經驗嗎？」

  

 有人失去睡眠，有人失去工作，有人失去所愛的人，
 有人決定放棄自己的生命，有人則努力將離航的拉回海岸。

  

 李屏瑤：「《無眠》是我在劇本界的長女，也是《向光植物》的異卵雙生。」

  

 這是一個關於失眠的故事，也關於自殺，
 一方面關照著死亡，也討論該如何活，
 關於那些被留下來的人，該如何好好走上一段路的故事。
 這是一場旅程，也是一場療程。

  

 「會覺得很不公平，憑什麼這個人死了，憑什麼那個人可以活著？」
 「像是我，為什麼只有我被留下來。」

  

 一個離職的諮商心理師，一個懷抱秘密的遺物整理員，
 看似沒有任何交集的兩個人，在失眠者的聊天室相遇了。
 她遇過一些離奇的事，她談過一場無法公開的感情，
 很多故事難以對人說，但也許，陌生人會是你最好的樹洞。

  

 「即使這個世界不夠好，留不住一些我們覺得很好的人，甚至留不住我們愛的人。選擇死亡需要勇氣，但是選擇留在這個世界，可能需要更大的勇氣。」——李屏瑤

"
8667106512459,"


台灣國寶畫師顏振發

五十年手繪看板生涯全紀錄

	 

	位於台南「大井頭」旁的全美戲院，宛如時間封存的記憶堡壘，老戲院的傳統被保留了下來，本事櫥窗、宣傳放送車、寄車處、大廳販賣部、空襲警報告示、外牆上的大型電影看板⋯⋯。在對街騎樓下，一位身穿格子襯衫的忙碌職人，衣服上沾滿顏料，微微駝背著，靜默地坐在比他還高大的看板前。

	飽和的灰色打底是他準備恣意揮灑的畫布，他一手握著A3數位影印的電影海報，上頭滿是原子筆打好的方正格子，另一隻手則緊握粉筆，慢條斯理地在看板上打底、畫框。板凳四周圍繞著五顏六色的油漆桶，他時而微蹲、時而思索，躲在陰影下繪畫，彷彿時間並不存在。他沉浸於創作的世界裡，當白色粉筆描好輪廓後，他揮灑筆刷逐步展開一幅看板的旅程。他就是本書故事的主人翁──顏振發師傅。

	在書中，顏師傅回憶下營老厝的童年、離鄉背井追求畫師生涯的磨難過程，每當想起多年的艱辛困苦，他不禁潸然淚下。他也感慨看板江湖上只剩他還在作畫，當桃園中源戲院宣布歇業之後，「北有謝森山、南有顏振發」的台灣手繪看板傳奇也隨之落幕。從此，他成為台灣最後一個為戲院服務的手繪看板師傅，而全美戲院也成為全台碩果僅存、保留手繪看板傳統的老戲院。

	昔日默默作畫、堅守執業的畫師們，一起走過台灣戰後電影、戲院與廣告的歷史。年輕時他們從未想過自己會被時代淘汰、被數位與電腦打敗，當時都是單純地對畫圖充滿憧憬與理想，可能只是因為走進戲院看了一部電影、在報紙廣告上學著描繪明星肖像、仰望著一大幅大型看板而開始嚮往畫師職業，因為不同的因緣而在這片江湖裡交會。

	在許多地方有無數隱姓埋名的畫師，他們離開江湖、轉行他途，畫筆被遺留在某個不再打開的抽屜中，桶裡的油漆也早已乾涸凝固，但身上仍留有手繪魂。這段熄滅不了的記憶與技藝被存放在心底深處。藏著不等於被遺忘，他們的精神正由顏振發與研習班的學員一同傳承下來。

	他的雙手仍如少年般有力地緊握著筆刷和油漆，將電影、廣告、美術與手工藝匯集於一塊看板上。五十年來他畫過數千部電影，終生奉獻給電影產業最末端的廣告招牌，卻是戲院觀眾面對每部電影的第一印象。然而，他的名字在電影尾聲的工作人員名單中缺席了。

	在這裡，顏師傅仍盡力為每一檔電影妝點門面，緊緊抓住觀眾的目光，手繪看板與老戲院已成為生命共同體。

	 

本書特色

	★「大井頭」系列《大井頭放電影：臺南全美戲院》續集。
	★台灣國寶畫師顏振發50年手繪看板生涯、首部不藏私傳奇全紀錄。
	★描繪顏師傅的生命小史、手繪技藝，並首度彙整其精彩的看板和油畫作品。
	★攝影藝術家陳伯義親自操刀貼身記錄。
	★優美的文字充滿感情，搭配300張精彩海報和圖片，圖文並茂。

"
9789862359068,"


【中‧日詞條對照】


橫跨紙本至數位時代
	從作畫、美術、攝影、CG、技術到軟體
	華文世界第一本動畫工作術語全收錄


專業推薦──
	石昌杰（國立臺灣藝術大學多媒體動畫藝術學系教授）
	邱立偉（Studio2創辦人 、 《小貓巴克里》導演）
	張師堯（AniMapp 動畫地圖園丁）
	陳世昌（國立雲林科技大學視覺傳達設計系 教授）
	陳尚柏（台南應用科技大學多媒體動畫系 教授）
	楊婉儀（動畫製片、導演、繪本作家、《給孩子的動畫實驗室》譯者）
	鄭睿哲（知名日式2D動畫達人／仙人掌）

	一部動畫的誕生，從企畫、繪製、拍攝到後製，涵蓋製作、美術、攝影、音樂等不同專業，而各個單位能合作無間的關鍵之一，就是完備的專業術語。

	本書由日本動畫權威機構「日本動畫協會」監修，在動畫分工日趨專業及數位化的浪潮下，以動畫製作流程為主軸，將超過1000條以上的專業術語，分為制作、作畫‧演出、色彩‧美術、攝影、CG、技術、軟體與其他八大類，既掌握製作整體流程，也透過深入淺出的說明，逐一闡釋各詞條的意涵。

	除卻各專業分工用語，本書更囊括動畫相關歷史、授權機制、商業模式與團體組織等，既可做為喜愛動畫的讀者豐富視野的知識庫，對於學習動畫的新人及專業人士，也是一本必不可少的常備工具書。

本書特色：
	第一本跨越語言隔閡，中‧日詞條動畫事典
	從紙本至數位時代的動畫製作流程圖
	八大分類，超過1000條以上專業術語

感動推薦──

	我在1978年代進入動畫業，就先幫東京的龍之子動畫公司做代工，當時除了日本師傅之外，沒有其他管道學習進一步的動畫理論和技術，好不容易有同事從日本帶回一本動畫專有名詞的書，大家都十分驚喜，可惜都是日文，只能從穿插其中的漢字約略了解其意。經過那麼多年的發展，其實大多數術語並未改變，但在書市中仍缺乏一本專業、有系統的專書，可以提供給新進動畫人學習。

	現在這個缺憾終於解決了，孫家隆老師這本《決定版！日本動畫專業用語事典
	》的出版，彷彿讓我看到當年那本日文書的驚喜再現，從書目的分科、分類，以及五十音的細目編排，可以更加方便的查閱想要知道的專有術語，以及技術的說明，真是動畫人的福音。本人有幸能推薦本書，最要感謝編輯群和孫老師的用心付出，能造福我們動畫人的學習渴望！
	──陳世昌（國立雲林科技大學視覺傳達設計系教授）

"
9789579072847,"


與朗․霍華、彼得․傑克森合作的
	好萊塢資深編劇顧問琳達‧席格傾囊相授……

	告訴你
	如何創造難忘的人物

	背景故事∣人物定義∣外貌描寫∣細化人物∣心理情緒∣打造英雄
	角色態度∣添加矛盾∣配角功能∣對白技巧∣田野調查∣續集延伸

	書中有系統地，提供塑造人物的方法與有效技巧。從輪廓描寫到深入刻畫、情感層次、心理情結，一步步教你設定角色性格，巧妙編織人物間關係，幫你寫出有活力的群像劇。

■你寫的人物有靈魂嗎？
	這是一本，劇本、小說、廣告、遊戲、企畫都需要的人物形塑教科書！

	本書中，作者訪問了三十餘位創作者，包括小說家、電影編劇、電視編劇、戲劇家、廣告創意人。特別是在和小說家的對話中，他們也確認了所有與電影、電視有關的人物概念同樣適用於小說。

●提升人物，找到讓劇本點石成金的終極祕訣
	《角色人物的解剖》帶來的是一次對人物寫作方法的探索之旅。

	透過角色人物的解剖，進而創造難忘的人物是一個過程。儘管某些創作者認為這是教不出來的，但作為一名劇本顧問，作者發現，還是有些流程和概念能夠有效地改善人物。書中在與許多知名創作者的對話中，歸納出不少實用的做法。正是通過這些訣竅，得以掌握形塑人物的核心。

	本書為國際知名編劇顧問琳達‧席格經典力作，是期望邁向作家之路的讀者必備參考用書。眾多大學亦將此書做為編劇課的教科書。書中深究人物創作中的關鍵問題，剖析眾多奧斯卡名作角色建構歷程，提供角色寫作系統化的導引。

	․掌握人物形塑六步驟
	․了解精彩對白四種元素，五大特質
	․善用外貌描寫，引發細節聯想
	․解決六大常見瓶頸問題
	․探究反派角色的魅力
	․創造人物可信度，複雜度
	․增添奇幻人物的內涵，突破人物刻板形象……
	․運用吸引＋衝突＋反差＋轉變，創造人物「動態關係」

■ 帶你深入編劇現場，一窺編劇思路—
	《迷霧森林十八年》 深入非洲山林，研究剖析人物　
	《風雲女郎》       被過去拯救或出賣？背景故事的影響力！　
	《夜鷹熱線》       電台DJ曾經是員警！矛盾人物如何創造？
	《凡夫俗子》       如何與人物溝通，進入人物頭腦
	《歡樂酒店》       再多角色也不怕！教你如何拍好「群像劇」？
	《飛越杜鵑窩》     田野調查，實地體驗精神病院的生活！
	《回到大魔域》 四種非現實人物一次搞定
	《遠離非洲》       當你的人物是「真人真事改編」
	朱爾斯．菲佛  普立茲漫畫家的對白心法

■好萊塢資深編劇顧問給你的，10堂實作練習課──
	․關於人物的背景我需要知道些什麼？
	․我是否花了足夠的時間和許多不同的人相處，以避免創造出俗套人物？
	․我對描寫的職業有感覺嗎？人們怎麼看待他們的工作？
	․我瞭解人物生活的地方嗎？
	․如果不看人物的名字，我是否能分辨出誰在講話？
	․我的人物關心什麼？是通過行動和態度傳達出來，或是獨白？
	․對白能否反映不同人物在態度上的反差？
	․我的配角是否正在接管故事？這種接管是使故事受到損害，還是使其得到有趣的發展？
	․我的人物是否都在故事中承擔起某種功能？
	․我是否願意暫時跟隨該人物，看看會發生什麼事？
	․我是不是過度工作，導致腦子不動了？
	․我有沒有花時間體驗生活，以便有更多可寫之物？

"
9789865534042,"



		你知道嗎？那些你以為很有難度的拍攝場景，其實是這樣拍出來的：
史蒂芬‧史匹柏在大白鯊裡，把牛奶注入泳池，以達到水域混沌的效果；
西恩‧貝克在日舞影展驚艷眾人的作品夜晚還年輕，是用iPHONE拍攝完成的；
尚盧‧高達的法外之徒中，角色在羅浮宮內遭警衛追趕的場景，竟是真的違規現場。
電影大師們這樣拍電影！拍電影其實沒有你想的那麼難！


		本書由英國衛報評選出的「架上最佳設計電影雜誌」《Little White Lies》整理製作，
		捨去了艱澀的專業術語，以清楚易懂的文字和其獨特的美術設計風格，
		從企劃、預算、分鏡、拍攝、鏡頭、燈光、剪輯、音效錄製到發表，整理成39個步驟，
		搭配專業電影製作人的大師建議，幫助任何有心想拍片的人們，讓作品能夠更具質感。
		無論你是想在Youtube上發表你的大作，或是製作一部能上院線放映的電影，這本書都將成為你邁向成功的捷徑。

教父如何用鏡頭的移動，來透露角色間的關係和地位？
八惡人如何用畫幅比例，來表現角色受到壓迫的窒息感？
計程車司機如何用運鏡的節奏，來強調角色內心的孤寂？
辛德勒的名單如何用黑白色調，來展現大屠殺的嚴酷與暴虐？
黃昏三鏢客如何用臉部特寫鏡頭，來呈現角色間對峙的緊張感？
侏儸紀公園如何藉由向觀眾展現空間距離，以營造無法喘息的焦慮感？
神鬼認證如何用手持拍攝的技術，給觀眾一種彷彿在現場即時撞見的感覺？
		翻開本書，解開這些拍攝的秘密，並運用進你自己的電影裡吧！


		書中將製作電影的過程拆解成多個組成部分，不但可以在裡面找到該如何達到某種效果的技巧，
		同時也能學到這些效果所能展現的實際意義，以及如何有效地運用它們。
		書末還附預算表、拍攝時程表、設備清單、拍攝鏡頭規劃表、分鏡繪製圖和10個拍片必備的工具素材網站，
		幫助你檢視自己的製作計畫，並掌握拍片的要領，邁向大師之路！


	 

"
9789571087313,"

★全員到齊！史上最詳盡完整的漫威圖鑑，一口氣收藏所有角色！★漫威之父史丹‧李親撰引言！「精益求精」的畢生心血之作！★超過1200位人物與漫威宇宙重大事件，以及60萬字以上的深度剖析！★黑寡婦的身世、永恆族的祕密、魔比斯與蜘蛛宇宙的關聯⋯⋯打開本書，搶先踏入漫威宇宙第四階段！★全球各語言版本集體合印，追求最高品質——僅此一刷，絕不再版！漫威推出的超級英雄電影系列，自二◯◯七年起開始上映，至今已累積二十三部電影，並創造全球超過一百八十三億美元的票房成績，成為有史以來系列電影中票房收入之冠。在電影裡，那些讓你著迷的人物——堅韌不屈的超級英雄美國隊長、鋼鐵人、雷神索爾，或是擁有迷人反派特質的洛基、奧創、薩諾斯——全都是根據漫威歷史悠久的漫畫宇宙改編而來，就連X戰警、蜘蛛人，甚至刀鋒戰士，也通通都出自漫威之手。《漫威英雄典藏圖鑑》暢銷全球，收錄超過1200位漫威漫畫宇宙中的角色，並於二◯一九年進行全新修訂與擴充；別具指標性的漫威超級英雄與反派皆擁有最完整詳盡的介紹，新創立的角色、最新的冒險與重大事件亦收錄其中，例如「第二次英雄內戰」與「祕密帝國」。書中所有角色皆全面漫畫化，由漫威工作室旗下最優秀的藝術家親繪，替每個人物精心設計了令人驚豔的美術圖；角色的個人資料以及歸屬的團隊介紹、精彩的生平與冒險故事，也都是由漫威團隊裡最出色的專家執筆撰寫。▏這是一本不容錯過、屬於漫威迷的終極百科全書！如果您是漫威漫畫宇宙迷：本書為最專業詳盡的圖鑑，讓您永久典藏，成為傳家之寶。如果您是漫威電影宇宙迷：本書為電影宇宙中所有角色的起點，讓您一窺所有祕辛。如果您是小說家及漫畫家：由最頂尖的團隊親撰親繪超過1200個角色人物與故事，讓您擁有教科書等級的資料寶庫。
                    
"
9789579542975,"


一切盡在不言中的影像，如何運用鏡頭效果，傳達無數精細意念？
	當數位單眼鏡頭帶來的鏡頭革命，讓所有創作者首度有了公平的競爭舞台
	《鏡頭之後》作者也為所有人解密大導演奧妙敘事的鏡頭配方


	若想學著看懂電影畫面構圖能表達多少豐富意涵，《鏡頭之後》提供了精闢的概念及操作指引，因此成為全球電影愛好者和拍攝者的教戰手冊。但是，電影「說話」的技巧遠不只有構圖，要看懂每一個畫面明講、暗示了什麼意念，你需要更全面地理解「鏡頭的語言」和敘事系統。

	從焦點及景深的選擇、空間的壓縮及擴展、速度感的操控，到耀光、變形，導演和攝影指導靈活運用鏡頭的各種光學性質，搭配影片的敘事框脈絡自成一種語言，足以表達出角色的心理狀態、情感、特殊氛圍，甚至是你想得到的任何抽象概念。

	《蘿拉快跑》運用望遠鏡頭的窄視野和透視壓縮，大幅影響景框x 軸（左右水平移動）上的動作速度，使蘿拉奔跑的速度看起來遠比實際所能跑出得還要快，這部片也以這種不尋常的速度操控而成為動作驚悚片的經典。《阿拉伯的勞倫斯》同樣運用望遠鏡頭，當駱駝騎士從遠方往攝影機奔馳而來（沿著景框Ｚ軸而非x 軸移動）時，看起來遠比實際上更慢，黑色形影在沙漠的地平線上幾乎一直沒怎麼前進，卻又在距離夠近時迅雷不及掩耳地現身，射死勞倫斯的嚮導——短短幾分鐘的鏡頭，同時創造出情節的懸疑感及沙漠世界的危機四伏感。《辛德勒的名單》裡，微距鏡頭緊貼著打字機，不只放大了文字的視覺面積，也放大了文字的重要性，讓畫面大聲疾呼每一個文字的背後都是一條等待救援的沉重人命。而《2001：太空漫遊》的關鍵角色HAL 9000總是透過機器裝設的鏡頭觀看人類同伴的舉動，魚眼鏡頭的變形效果和畫面四邊的暗角，從一開始就預示了人類與機械之間互動的扭曲與侷限，衝突終將無可避免。

	在過去，這類鏡頭技巧只有巨大、昂貴的攝影機的才能拍攝，但數位單眼相機問世後，高畫質影片、可更換鏡頭的種種鏡頭效果不再是大製作的專屬，連骨董鏡頭的光學瑕疵這種昂貴的視覺效果也變得唾手可得。在影像的層面上，業餘影像工作者及獨立製片得以拍出與好萊塢主流大片不分軒輊的作品，甚至還能經由實驗創造更多變化。《夜晚還年輕》巧妙融合了iPhone的深景深和外掛鏡頭的寬螢幕變形特徵，打造出原創的視覺風格，呼應片中的次文化背景。這部只用智慧型手機拍出的電影可以打入日舞影展，正證明了只要同時理解鏡頭的敘事力與技術力，不需昂貴的器材，也能充分解放鏡頭的藝術表現潛力。

	觀賞電影，甚至拍攝電影，都必須從理解鏡頭敘事系統與技術概念開始。資深電影人莫卡杜將鏡頭能表現的效果依照意念分門別類，搭配將近90部影片的豐富劇照，清晰解說鏡頭的各種特質可以如何用在電影敘事上。看懂整部電影作品，你不需再將目光鎖在「一英吋高」的字幕上，而是在大銀幕上熟悉又陌生、自然且怪誕的畫面裡，聆聽鏡頭侃侃而談。

	如果你會自己動手拍影片，不管用的是iPhone還是大砲，本書都能幫助你發揮鏡頭的敘事能力，甚至建立專屬於你的「光學個性」。
	如果你只看不拍，本書也能幫助你解讀出導演和攝影師埋藏在畫面中的視覺線索，洞悉深層涵義，理解大師奧妙的影像敘事體系。

"
9789571055411,"


	「這是哥吉拉的世界，我們只是剛好住這而已。」

	王者萬歲！「王中之王」正式啟動怪獸宇宙！
	橫掃各國票房冠軍，全台上映五天破億、累積票房突破兩億台幣！
	震撼全球的正宗哥吉拉續集電影《哥吉拉II：怪獸之王》所有內幕祕辛全收錄！

	在準備迎接《哥吉拉對金剛》（預定2020年上映）的大戰前夕，讓我們再次重回目睹泰坦巨獸們回歸的感動！

	★全書比照國外原書規格，給予臺灣讀者最完整的震撼體驗！
	★最經典的怪獸們全員傾巢！日本東寶株式會社四大鎮社之寶一次擁有！
	★美國亞馬遜網友盛讚推薦：「所有哥吉拉迷都必須把這一本設定集加進自己的收藏裡！」
	★完整收錄概念草圖、美術設計、片場攝影照片以及更多第一手電影製作祕辛！不論是動畫粉絲、漫畫狂熱者、電影人或是美術設計師都值得擁有的精彩珍藏品！

	繼《哥吉拉》和《金剛：骷髏島》在全球獲得巨大的成功後，華納兄弟電影公司與傳奇影業再次替怪獸宇宙開啟全新篇章，讓哥吉拉與流行文化歷史上最著名的怪獸們一決勝負！

	這一次，神祕政府組織「君主計畫」的成員必須面對的是更多宛如神獸般巨大的怪物：哥吉拉與蝶龍摩斯拉、拉頓，以及他的最強宿敵、擁有三顆頭的王者基多拉，將掀起一場終極大戰。當這些一直被認為只是古老傳說的生物又重回地表，當每一隻怪物都想稱王，人類只能束手無策地坐以待斃嗎？

	《哥吉拉II：怪獸之王》電影美術設定集將深度剖析這部史詩級電影的一切幕後祕辛：電影概念藝術圖、片場攝影照片，以及來自電影幕後的關鍵成員──包括導演麥可•道格堤──的第一手資料，帶領大家一窺哥吉拉、摩斯拉、拉頓以及王者基多拉是如何被賦予令萬物懼怕的生命。

"
9789575325305,"


《冰雪奇緣》、《醉後大丈夫》、《星際效應》、《一級玩家》的指定翻譯師！
	15年翻譯老手的教戰手冊！一次揭開這個夢幻又神祕的職業內幕！
	從入行、接案、收費、翻譯技巧到譯者心態，完整揭露！

	 

	當你坐在電影院裡，看著《瘋狂亞洲富豪》裡女主角在亞洲富豪世界中奮力求生、聽著《冰雪奇緣》的艾莎高歌Let it go、迷失在《星際效應》裡感人的父女情感羈絆中，你可曾想過這些電影的字幕是誰翻的嗎？

	或者說，你曾經想過電影字幕翻譯也是一種職業嗎？在家上網接案工作，不用出門打卡上班，平常還可以免費去電影院看試片，這麼夢幻的工作，你有心動想踏進來嗎？

	本書作者是電影界的資深翻譯師，十多年來經手的電影近600部，作品涵蓋各種影片類型，從《不可能的任務：鬼影行動》、《星際效應》、《黑魔女：沉睡魔咒》、《007空降危機》等商業大片，到《冰雪奇緣》、《送子鳥》等動畫片，到《醉後大丈夫》、《高年級實習生》等喜劇片，每年平均翻譯的外片多達50部。

	作者將從事這一行十多年來的甘苦化作文字寫進本書中，分享一路走來的電影翻譯經驗，讓對這個行業好奇的讀者，能一窺這個工作的內幕。除此之外，作者更大方傳授各種接案實務與技巧，解答每個接案者心中最忐忑的問題，像是要怎麼進入這一行？競爭會很激烈嗎？收入穩定嗎？要如何穩定接案？絕對是新手譯者或有志從事這一行的人最實用的建議！

看完本書，你將可以學到︰
入門基本功
	認識電影字幕翻譯這一行
	電影字幕翻譯的入行途徑
	需要具備的條件、技能

實力養成術
	如何加強翻譯能力
	翻譯電影和翻譯書籍的差異
	開發客戶與維繫關係
	如何讓案件源源不絕
	字幕譯者要遵守的職業道德
	怎麼應對鄉民提出的批評

收穫滿載期
	字幕譯者的自由接案生活
	要如何靠接案維生
	電影字幕翻譯的計價方式
	妥善的存錢和理財規劃

"
9789571086231,"


 「當一個人幫助他人是出於應該或必須這樣做，只因為這是正確的事而非其他理由，那麼毫無疑問地，這個人便是真正的超級英雄。」──史丹‧李

 由30個國家共177位動畫師聯手打造，完美結合3D、2D、日漫與美漫畫風，《蜘蛛人：新宇宙》打破傳統，身處不同時空的6位蜘蛛人齊聚一堂，為MCU的「多重宇宙」開啟先河！

 ★全書比照國外原書規格，特別申請限定版內封面「蜘蛛人VS綠惡魔」，搭配全球唯一首刷贈品（數量有限）「蜘蛛人人設卡」，給予臺灣讀者完整閱讀體驗！

 ★改變漫改電影歷史，開創動畫電影全新格局，與《復仇者聯盟：無限之戰》、《一個巨星的誕生》等電影並列2018年最佳電影！

 ★斬獲奧斯卡金像獎、美國製片工會獎、金球獎、英國電影學院電影獎、美國動畫安妮獎的最佳動畫長片！

 ★橫掃美國動畫安妮獎最佳動畫長片、角色繪製、角色設計、美術設計、導演、編劇、剪輯、導演、劇本、剪輯等十項大獎！

 「失去了這套裝備，你還剩下什麼？如果什麼也不剩，那就不配使用它。」《蜘蛛人：返校日》中，鋼鐵人東尼‧史塔克曾如此嚴厲地告誡彼得‧帕克，最終讓彼得痛定思痛，成為能擔負重任的蜘蛛人。

 《蜘蛛人：新宇宙》則顛覆以往認知，共有六位形象各異的蜘蛛人登場，天才少年邁爾斯‧摩拉斯正是其核心主角。被迫承擔蜘蛛人之名的他，沒有班叔或鋼鐵人殷殷教導，只有一個頹廢的彼得‧B‧帕克帶領他走上超級英雄之路，與四位來自其他宇宙的蜘蛛人一起拯救世界。

 「能力越強，責任越大。」說得輕巧，執行卻很困難。不論倒下多少次，都肩負著一定要站起來的期待。沉重的負擔雖未壓垮邁爾斯，六位來自不同宇宙的夥伴更讓他安心，無法掌控能力卻是他的軟肋，直到嚴厲的父親告訴他：「我愛你，但這次你可以不必回你愛我。」他終於得以面對自己的內心渴望，順利承接蜘蛛人的一切──無論是能力，抑或是責任。

 面具背後，可以是任何人。

本書特色

 ※ 收錄超過六百張精美圖片，包含草圖、關鍵影格及劇照，無論是動畫迷、漫威迷、蜘蛛人迷，或者準備進入這個華麗產業的準動畫師們，都能在這本書中找到最想一窺的寶貴資訊！

 ▎邁爾斯的叔叔亞倫，設定基礎是「低階版鋼鐵人」；
 ▎動畫裡蘊藏的漫畫風格，除了色彩與畫風，還需要什麼？
 ▎每位蜘蛛人背後最偉大的女人梅嬸，這次走強悍路線；
 ▎邁爾斯和廢柴彼得‧帕克的初見面，被火車拖曳的十幾條街道竟然完全不同；
 ▎面具底下的六位蜘蛛人，該怎麼毫無違和地一起出現？
 ──更多祕辛與幕後設計理念，都能在本書中找到哦。

"
