ISBN,書籍簡介
9789571085289,"


 「食物和水四天前已耗盡，氧氣明早會用完，就這樣了。待我睡去後會夢見妳，自始至終都是妳。」──鋼鐵人《復仇者聯盟：終局之戰》

 整個宇宙於彈指之間毀去半數生靈，鋼鐵人作為復仇者聯盟的核心成員，卻隻身飄零在外太空，彈盡糧絕；其餘英雄似乎也束手無策，為僅存的信念背水一戰。
 終點是旅程的一部分。抵達終點之前，不妨先來探索漫威磅礡宇宙的起點－－首位不具備超能力、最毒舌的雅痞英雄「鋼鐵人」東尼‧史塔克。

 ★全球唯一中文版，完整記錄《鋼鐵人》從連載四十年的漫畫成為世界最知名英雄的歷史一刻！
 ★高規格製作！外附豪華硬殼書盒，書籍採用方背穿線精裝，燙上質感防刮霧面青口金，內頁全彩印刷！
 ★收錄上百張珍貴手稿、分鏡與鋼鐵裝設計圖，影迷與漫迷不可或缺的夢幻收藏品！
 ★系列電影全球票房突破720億臺幣，名列影史票房總榜TOP10！
 ★漫威電影宇宙第三階段完結《復仇者聯盟：終局之戰》2019年4月24日震撼上映，再創全新英雄世代！

 二○○八年，力求翻身的小勞勃‧道尼與搖搖欲墜的漫威影業一拍即合，催生出工作室第一部電影《鋼鐵人》。作為一鳴驚人、無可撼動的成功基石，《鋼鐵人》與漫威影業其後十九部英雄電影共同架構了「漫威電影宇宙」的傳奇，風靡全球，此句名言隨之而生：「漫威成就了小勞勃‧道尼，小勞勃‧道尼則成就了鋼鐵人。」

 你能想像，除了小勞勃‧道尼之外，還有誰能演出鋼鐵人嗎？
 為求快速穿脫鋼鐵裝，馬克2號的初始構想其實是「超長滑雪褲」；
 無所不能的管家賈維斯，為何智慧鍵盤上總是出現五角形？
 小辣椒換心手術的名場面，原本是用高科技機械手臂取代？！

 從漫畫改編成電影，由草稿、無數棄之不用的設計圖，到大銀幕分鏡圖與剪輯畫面，帶領您進入漫威電影宇宙的初心，一探鋼鐵裝和各式特效的起點！

 ★一日鋼鐵人迷，終身鋼鐵人迷！
 ◎看完《復仇者聯盟：終局之戰》預告時揪心大喊「不──！」
 ◎顫抖泛淚，捨不得小勞勃‧道尼卸下鋼鐵裝
 ◎認為「即使重啟《鋼鐵人》，沒有小勞勃‧道尼就不是史塔克了」
 ◎有到NASA一起聯署「東尼‧史塔克#SaveTonyStark」
 ◎模型從馬克1號買到馬克50號還停不下來
 ◎燒香拜佛胸前劃十字，祈禱小辣椒能穿上「救援（Recuse）」鋼鐵裝拯救東尼
 ──如有以上任一症狀，請勿錯過這本書！

"
9789869855785,"

一個人，創造一個江湖他的作品，讓我們跟千古英雄有了共同的呼吸風靡亞洲的漫畫家  鄭問謹獻給所有對夢想赤誠的你致敬鄭問重磅級的訪談陣容台灣╱張大春、林崇漢、馬利（郝明義）、黃健和、黃強華、黃博弘、蕭言中、鍾孟舜、練任、陳志隆……日本╱栗原良幸、新泰幸、森田浩章、宮路洋一、千葉徹彌、池上遼一、高橋努、寺田克也……香港╱黃玉郎、馬榮成、溫紹倫、陳景團、鍾英偉、馮志明、劉偉強、陳某……中國╱雷軍、沈烽亮、代志強、鄒濤、商偉光、李凱、李磊、禹海蓮、宗祥智、鄭允、蔣曉光……「我想呈現鄭問身為『人』的樣貌，他的起落、孤寂、壓抑、驕傲，時不我予。」――王婉柔（《千年一問》電影導演）鄭問的創作天分、畫技至今無人能超越，每一部作品皆被奉為經典中的經典。他身後留下的江湖故事，重溫起來依然令人悸動不已。他趕上了台灣本土漫畫最燦爛的時代，卻也經歷了最欲振乏力的時代。他懷抱理想，卻不被大環境厚待，一生不斷地找尋能夠全然肯定他的舞台。路追尋鄭問的足跡，我們想用紀錄片訴說他的故事。鄭問一生低調創作，鮮少受訪，甚至被曾經的書迷漸漸忘卻；不願看見鄭問的筆墨被時間洗去，在他離世的隔年，毅然踏上《千年一問》的追尋旅程。追逐鄭問的創作足跡，從畫室助手、日本漫畫同業、出版社編輯們的真摯吐露，重現鄭問對創作的執著與熱愛。「歷史從來是為了被遺忘而寫，然而跨越千古再起的感動是可以隨時被喚起的。」★最完整的鄭問傳記本書以文字拼湊完整鄭問的創作歷程，並涵蓋紀錄片135分鐘之外。從鄭問紀錄片拍攝計畫的緣起開始，由主創者的訪談帶出鄭問紀錄片欲探討切入的角度，如何從一個喜歡畫畫的人，變成一位畫漫畫的人，從鄭進文到鄭問，對於視覺創作的追求是什麼？而又如何透過與他一起生活的人認識他對藝術的執迷專注，與為人處事的知情重義。導演王婉柔帶著劇組實地走訪，台灣、日本、香港、北京、珠海，蒐集曾經與鄭問交集過的人事物，是鄭問遠征異鄉的輝煌、技壓群雄的風光。但盛名背後，是他體力與創意的烈火燃燒、他的好勝與倔強、他的千嘗萬試、他的艱苦卓絕、他的好學勤讀，以及時刻將自己逼到極致；盛名底下的小縫隙中，還躲藏著各式各樣細微的情緒——壓抑、疑懼、沮喪、虛懷、狂烈、欲求而不得——這些是每個創作者都有過的私密時刻，於外卻不一定看得到。於外，鄭問心中的英雄是堅持、有道理、有禮貌。在每個他露臉的公開影像紀錄中，你果真看到一位謙虛有禮的漫畫家，那是他要求自己的理想典範，卻何嘗不是一個枷鎖？諸多看似背反的、矛盾的東西，集合在一位創作者身上，卻又如此真誠。戴著腳鐐跳舞，他在枷鎖箝制下還是如此勇敢奮力、挑戰極限，要創造出讓人會怕的東西。越壓抑越刺激他，不能停下；向前、向前、向前走。攝影韓哥說，我有一個目標：我們來讓觀眾目不暇給。目不暇給。一如鄭問畫作給人的震撼與繽紛，眼睛前的繁花盛開、視覺上的華麗流轉。透過受訪者與諸多資料構築他的面貌，如同他創造的人物，在畫紙上一筆一筆添水加墨，人物卻終究僅存在於平面上。所以到底是什麼，讓人物從電影銀幕中活脫脫地跳將出來，留下不可磨滅的深刻印象？我行其野，是鄭問走在他心相的曠野，抑或其實是「我」（自以為）走在鄭問的荒原？竟發現，這些「問」、問「他是誰」的過程，更多地其實都是反向地在問自己。「我」，到底是誰？「我」看到什麼感受到什麼，「我」要做什麼選擇、下什麼決定？他卻是生命的鬥士、是勇者。每個階段不論好壞成敗，他總是認認真真地面對。所以，同他一般認真地哭、享受著笑吧；好好地恨、專注地愛吧。生命的深刻只有全心全意投入的人才能體會，然後等熱情悲喜情緒都散去後、濾過渣滓後，仍然靜靜地，知道自己在何處、知道什麼事是重要的。如同看盡千帆皆過、哭笑盡蛻，大千世界依舊有情有愛。What a wonderful world。
                    
"
9789869440370,"


解讀大片時代的電影類型與市場現況
 揭開中國電影軟實力的時代軌跡與特質
 中國｜拆哪｜拆解影像讀中國

  

大片：一個中國土生土長的語彙。
 人們把高成本、大卡司、驚人票房的好萊塢電影稱為｢大片｣。現在，中國版大片已崛起﹗

  

 美國大片多年來在中國總是能夠攻城掠地，不過，從二○○二年年底的《英雄》開始，中國電影谷底翻身，自二○○三年到二○一七年十五年的時間，中國電影不但在中國市場的票房多次力壓好萊塢電影，也已成為瞄準好萊塢的世界第二大電影市場。

  

近十五年來，中國大片時代已然成型。
  

 彭博商業週刊專文〈中國電影業 追趕好萊塢〉，直指二○一二年中國已成全球第二大電影市場，可謂中國崛起的眾多現象之一！此外，甚至有媒體指出，二○一七年中國電影市場將超越好萊塢！
  

 ｢電影｣是政治經濟脈絡交錯下的產物，中美角力將對中國電影市場產生什麼樣的衝擊？當中國大片時代已成事實，我們如何拆解它的內在，在華語電影中找到屬於自己的位置？

  

 本書以「看電影，讀中國」揭開序幕，從主旋律到商業元素、政策規範到製作發行，涵蓋歷史回顧、最新脈動，介紹了百部重要華語電影與電影人，
 是認識「中國電影發展」及「好萊塢電影在中國」的第一堂課。

"
9789860537581,"


	電影道盡人生悲歡，歌仔戲搬演忠孝節義，胡琴鑼鼓齊鳴換京劇登臺，藝術之餘兼及飲食休閒，天外天劇場榮景曾如斯。話說從頭，日治時期中部首富吳鸞旂傳奇一生，私人戲院由其子吳子瑜出資擴建為劇場，第三代吳燕生傳承詩詣，吳家三代層層疊出劇場與櫟社共通的俠氣背景。昔時天外天劇場歐式建築風采壯觀華麗，藝文娛樂盛極一時，文雅春風吹拂得劇場一片欣欣向榮、繁花錦簇。戰後劇場進入如秋的憂鬱，易主以國際戲院繼續闖蕩江湖，無奈生機漸失宛若冬之冷寂，終與藝文漸行漸遠，空遺一身傲骨。九天之外有否曙光？時至今日，我們仍殷殷詰問。《劇場演義》好戲開鑼，欲知詳情，君請入座。

"
9789574457472,"


	名詩人張錯是詩壇長青樹，佳作屢出，歷年創作不懈，是為異數。《日夜咖啡屋》是他第廿本創作詩集，格局雄渾，氣度恢宏。詩人博學多才，由文入藝，各類藝術文物、繪畫、音樂在他手中，經營出無數極有企圖心的隱喻詩篇，詞彙純熟準確，滔滔如長江大河，輕輕如竊竊私語。近年留台，長年飄泊滄桑之餘，滋長出另一股濃郁鄉情歸屬。

	詩集收錄48首詩作，為近六年精心傑作。詩集內最大特色為書末另撰有30篇〈繫鈴人語〉，解鈴還須繫鈴人。詩人提供許多詩作原創動力與背景，用意並不純然要求讀者藉此進行解讀，而是提出一種解讀前或後的各種「誘因」(incentive)，好讓讀者「出發」(departure)去尋找自己個人的體驗與共鳴。

	雨後清晨，一彎虹彩駕長車出現
	往事紅橙黃綠，紫氣東來
	……
	佛袖轉身不見，卻又餘情未了
	第二度降臨，不是葉慈是楚辭
	帶長劍，挾秦弓，從山的一端
	到另一端，衣袂飄忽，紅橙黃綠
	虹霓朝霞，夕淋霪雨，青藍靛紫
	彎弓臂筋賁張，捲起
	一襲濕了又乾青衫袖。
	──〈虹〉

"
9789862101162,"


映像相關創作者不可錯過的必讀書，

不管是整體的製作概念或細部的實戰技巧，

皆能夠滿足您在求知或是實務上的需求。

	 

	本書是藉由經驗豐富的專家來傳授在影片製作時所必要的技術或作業等，從基礎到具體的KNOWHOW，乃至獨特的竅門。我們推薦給因興趣來享受影片製作樂趣的初學者、以進入業界為目標的學生、從事（或希望從事）婚禮、企業介紹和產品的推廣影片之創作者以及導演這樣的等級，還有實際上已經到現場從業卻對於相關知識仍有點不安的讀者來閱讀本書。同時，本書也很適合作為其他行業希望跨進影片製作領域的入門手冊。

	 

	近來，攝影器材的價格下跌，同時影片編輯也可以透過PC來輕易地進行。因此即使是沒有經過師徒制來磨練技術的創作者，也可以做出看起來有那麼一回事的影片；但是如果要製作出可以發表在公開市場上的影片的話，則必須要具備最低限度的知識，並且了解業界內的規則，同時取得來自周邊從業者的信賴。

	 

	本書的設計是由前製作業開始，直到攝影、編輯、後製作業等一連串的流程來讓讀者學習理解，因此讀者按順序讀下來可以有連貫性的理解；不過讀者也可以挑選自己感興趣的篇章來閱讀，那也是很有幫助的。

	 

	小編在大學時代曾修過電影、電視學之類的課程，也興致勃勃地跟同學拍了幾部短片，回想到過去的那段時光，真是辛苦！器材昂貴、租借不易姑且不說，就連實務上遇到了問題或麻煩，想要尋求解惑的參考書籍也不可得。現在有了這麼一本解說深入的參考書，相信可以減少許多讓你獨自摸索的時間，更快地得到所需的解答。

	 

本書特色

	 

	◎由日本放送映像相關器材的綜合廠商Grass Valley所撰寫，映像專業月刊Video SALON編輯部負責編著。

	 

	◎書籍內容適合欲學習或從事電影、影視相關製作者來參考。深入解說影片製作中的每個環節及其注意的要點。

	 

	◎專欄論述日本婚禮影片製作的新趨勢、公司內部電視的內容製作，以及高校映像製作的教學實施等案例。

"
9789865716349,"


	胡蝶是二十世紀三十年代紅極一時的電影明星，被譽為「民國第一美女」，也是中國第一位正式「民選」的電影皇后。

	 

	經歷了童年與少年的動盪奔波，少女時代的她遭遇到被輿論鬧得沸沸揚揚的初戀風波，又意外承受了東北失陷之夜與張學良共舞的「江山美人罪案」之巨大社會壓力；她與黑幫老大杜月笙鬥智鬥勇結果成了好朋友；然後在抗戰期間她被戴笠「霸佔」了近三年，更是她「難以啟齒的人生憾事」。

	 

本書特色    

	 

	民國第一美女胡蝶，從影之路一路順遂，除了演技好，但做人處世卻比其他影星更勝一籌。本書從胡蝶與影響他最深的五個男人開始描述胡蝶和他的電影。

"
9789868954656,"


最美的獨立書店「有河book」八周年紀念出品

影癡店主686十多年來近百篇觀影心得集結

	 

	「電影發明了以後，我們的生命延長了三倍。」

	這是一本集結多年觀看與思索，歷歷呈現電影如何開闊視野界線，延長生命經歷的心得分享文集。作者686熱愛閱讀與觀影，並曾有幸在導演楊德昌劇組工作過，對電影的理解深入卻不拘泥於特定範疇領域。從網路新聞台一直到部落格、臉書，一篇篇角度獨特的影評在網路上吸引眾多讀者。本書是十多年文章在讀者千呼萬喚下的彙整集結，既是紀念過去諸多電影在生活中扮演的角色，也是對未來堅守一個看電影的人所做出的重量級宣告。

"
9789573275398,"


	本書第一部以十一篇專文分別介紹紀錄片在台灣、南韓、日本、中國、 印尼、馬來西亞、菲律賓、印度、伊朗，以及中南半島的泰國、越南、緬甸和柬埔寨，和位在中亞的吉爾吉斯坦、烏茲別克斯坦、塔吉克斯坦和哈薩克斯坦等各國的發展概況。

	 

	第二部由來自蒙古、柬埔寨、巴勒斯坦、黎巴嫩、新加坡、巴基斯坦、日本、中國和韓國等地的紀錄片工作者，從自身的經驗說明當地紀錄片拍攝與流通的概況。

	 

編輯室報告

	 

	《紀錄亞洲》既是以文字來描述亞洲各國紀錄片的發展歷程，也是在顛覆、去中心化亞洲這個概念。

	在南北跨越近九千公里、東西綿延超過一萬三千公里的地域，居住了超過四十億人，在人種、政治、宗教上各有不同的劃分，其分殊差異的程度，使得「亞洲」一詞顯得空洞而蒼白。

	 

	這些國家掙脫殖民或專制統治、發展經濟的歷程與條件各有不同，所碰到的政治、階級、生態矛盾也是面貌各異，紀錄片作為一種屬於西方的科技媒介，在亞洲各國發展的取徑、條件與困境也各有不同。

	《紀錄亞洲》以十一篇專文與十三位導演訪談，由不同的紀錄片工作者介紹了紀錄片在自己國家所扮演的角色。

"
9789865716172,"

導演在片場總是對演員頤指氣使。演員惡搞導演，沒聽過吧！小咖要在影壇立足，腦筋要動得快！銀光幕前斯文專情的男大明星，台下卻是寂寞難耐常常藉「討論劇情」大搞男女關係。● 由電影導演卜萬蒼談到「左聯」、戰時重慶影劇界四大名旦——白楊、舒繡文、張瑞芳與秦怡，牽引出更多巨星間的愛情離合。● 在國民黨黨營電影事業中幾番的改制，人事的更迭，到抗戰勝利後接收京滬影院竟掀起爭奪戰的種種內幕，可謂蔚為奇觀。● 香港邵氏影業的分分合合、導演羅維和李小龍的衝突，更談香港的所謂「鹹濕」小電影等等。本書以輕鬆詼諧的筆觸，深入淺出談論電影界的人、事、物，讀來猶如盡窺百年華語電影史。
                    
"
