ISBN,書籍簡介
9789864087167,"



「本書是所有美食攝影師的必讀聖經！」－ 麥可・強森，Mike Bakes NYC社群創始人

無論你是美食部落客、想要踏入商業攝影圈的新手，
還是喜歡拍攝美食上傳到社群上分享，
無論使用手機還是單眼相機，都能輕鬆拍出可口誘人的食物美照！


		【專文作序推薦】
		沈倩如｜美國專業食物攝影師
		林志潭｜Arko Studio 攝影師

		【專業完美推薦 】
		Charles｜不只是個攝影大叔  IG@factoryxii
		Coya (滿分人妻)｜食物攝影師  IG@coyalunch
		干智安｜平面攝影師
		鄧博仁｜臺科大學設計系兼任助理教授
		警長｜食物攝影師（依筆畫順序排列）


		拍出令人驚艷的專業美食照，成為一位食物攝影大師！

		《完美食物攝影指南》是多產攝影師瓊妮・賽門的精心教學之作，一本在手，讓美食攝影變得超簡單！無論你是具有潛力美食的部落客，想要踏入商業攝影圈一展長才，或是喜歡拍攝美食在IG分享。跟著本書精心安排的52堂課練習拍攝，一本書就讓你擁有專業食物攝影師，應知且必學會的觀念與技法，拍出可口誘人、自帶香氣的食物美照，不再困難！


		【這本書可以幫助你】
		・52個單元，只要一週一練習，一年就能邁向專業的美食攝影師！
		・不用複雜的器材，在家也能找到拍攝特寫的最佳光源！
		・零失手！構圖和搭景的色彩理論與視覺重量原理
		・不藏私攝影師必備小物，拍出和廣告照片般的漢堡！
		・用手機拍也可以！搭配本書的專業指導，讓你在社群PO的美食照片一定讚數飆升！

		【國外推薦】
		「本書是所有美食攝影師的必讀聖經！」
		－ 麥可・強森，Mike Bakes NYC社群創始人／Even Better Brownies作者。

		「瓊妮是化腐朽為神奇的大師，再難駕馭的食物都能拍得令人垂涎。」
		－ 麗莎・布萊恩，Downshiftology社群創始人。

		「《完美食物攝影指南》能讓所有新銳美食攝影師功力大增。」
		－ 瑞秋・科里奈克，Two Loves Studio 社群創始人。

		「瓊妮的教學風格，不論你是新手還是老練的攝影師都能輕易拍出食物美照，這本書推薦給所有美食出版社！」
		－ 荷莉・尼爾森，Spend with Pennies 社群創始人。


	 

"
4717702106683,"


★★★★★
	亞馬遜讀者五星高分評價
	最具共鳴感的攝影藝術分析

	世界知名攝影大師　集四十年攝影教學精華代表作
	攝影美學完全剖析　從各種不同角度切入創意核心
好讀易懂內容淺白　跟大師學習超越平凡推向極限

	👑 經典重現 👑
無論你身處哪個攝影階段，這是一本能讓你不斷重新複習的經典之作。

	布魯斯‧巴恩博為世界知名攝影師、暢銷書作家，也是最優秀的攝影導師。他對光線的認知無人能及，能將光線與構圖巧妙結合運用於任何題材的拍攝上，從多年的攝影教學分享中，提出讀者最常卡關的瓶頸項目「個人風格與創意」，並從各種不同的角度切入，說明攝影的「觀看」與「創造力」是可以透過教導被學習的。作者更以自身的經歷提供給讀者作為精進的墊腳石，無論你是初學者或是進階玩家，甚至是專業影像工作者，他都能幫助你相信自己的直覺與表現方式。

在攝影之前，你能有「多少」想像力呢？
	面對眾人的懷疑和異義時，你又能讓自己的想像力「持續」多久呢？

	拍出一張完美作品，需要事前思考與準備、熟悉所有流程，以及了解光線與構圖如何影響拍攝瞬間的成敗。這些過程都需要你全心投入與放入個人情感，而拍攝過程也像是實驗，只有極少部分的實驗才能獲得成功的結果。

	本書不僅有豐富的攝影作品，作者布魯斯‧巴恩博為世界知名攝影師、暢銷書作家，也是最優秀的攝影導師，對光線的認知無人能及，能將光線與構圖巧妙結合運用在任何題材上，為提供更貼切的創意思考範例，繪畫、音樂、寫作、科學，與經營題材皆被納入討論，並以四十多年的攝影教學中心思想出發，激發讀者探索自己對攝影的熱情與動機，找出適合自己的創作方向與表現方式。

"
4717702106607,"


靜心生活仔細觀察 打光技法就在你身邊 了解你僅有的器材 挑戰可能的佈燈極限 無須死守燈法公式 換個角度位置找出路

	攝影者是活的 / 光線會隨時間空間變化 / 別把方法想死了 /

	《WOW!原來專業攝影師這樣打光(暢銷紀念版)》為張馬克沉潛多年後的打光心法與技法，不論是內容或是打光的方式都與以往大不相同。本書根據攝影玩家最常發問的控光問題及燈法喜好，將棚拍、外拍用光技法歸類，讀者可依拍攝情境所需快速索引至合適的學習章節，附有佈光圖明確標示燈架位置，讓自學攝影更為容易。

	除了攝影棚內的佈光訓練外，更結合人像外拍打光，透過不同的燈具配件，挑戰戶外拍攝的環境限制，詳細說明在打燈之前，應先搞懂手上的器材，拍攝時才能發揮到最大值，又或者遇到重重阻礙的解套步驟，永遠不要害怕打出失敗的光線，唯有不斷犯錯才能從中找出對的光法，仔細觀察、換個位置角度、繞著模特兒轉一圈，打光方法自在人心，一支燈不是只有一二三，變化全看你怎麼排列組合及運用。

"
9789571084794,"

※ 跟著「安室奈美恵」、「Mr.Children」等明星的MV攝影師，學習用影片說出好故事※ 一堂完整、簡單易懂的影片拍攝教學課程，入門（初心）者也不用擔心※ 剖析8段高水準影片（可用QR Code線上欣賞），徹底了解拍攝、剪輯與配樂的要領※ 從靈感發想、器材選用、運鏡、打光、剪輯、配樂，學習好萊塢級的拍片手法｜看了本書您將可以獲得｜1. 藝人御用MV攝影師親授的拍片know-how2. 搭配線上範例影片進行的影片拍攝重點剖析3. 破除許多影片拍攝方面的困惑與疑慮4. 學會怎麼策劃與執行每一次的分鏡與取景5. 融會貫通並且活用在手機的影片拍攝上6. 懂得思考與分析不同情境的最佳拍法7. 讓自己的攝影作品更上一層樓的秘訣在這個手機攝影功能日益強大的年代，有越來越多的人開始投入影片拍攝的世界。而隨著婚禮、產品介紹、Vlog等場合所衍生的影片拍攝需求，也跟著日益增多。本書由曾拍攝「安室奈美恵」、「Mr.Children」等知名藝人的MV，遠赴美國L.A.深造並榮獲艾美獎國際級影片製作團隊大力肯定的婚禮攝影師「酒井洋一」，從影片的靈感發想、器材的選用、鏡位與相機運鏡手法、打光、配樂、剪輯，提供一個完整的動態影片策劃與拍攝教學課程。除了各式要領的解說，更特別收錄8段高水準的實拍作品（包括：海外婚禮、日本婚禮、商業影片等）並附上QR Code方便讀者一邊在線上瀏覽，一邊搭配本書當中的重點摘要說明，以便更加具體與有效地學會媲美好萊塢等級的影片拍攝訣竅！
                    
"
9789571060873,"


※ 初學者也ok，從基礎開始的各式攝影know-how滿載
※ 以「圖解」的方式，幫助讀者迅速理解構圖、對焦、光圈、快門等抽象的概念
※ 一個跨頁示範1～2個主題，方便讀者按圖索驥，分次到位與學習
※ 用大量的「實拍範例」，搭配簡單扼要的重點說明，提昇學習成效
※ 就算用手機拍也能夠受用的扎實攝影觀念與技巧，全都濃縮在本書當中

｜看了本書您將可以獲得｜
	1. 57個立竿見影的攝影妙方
	2. 豐富教學經驗暢銷作家親撰的攝影絕活
	3. 破除許多拍照方面的困惑與疑慮
	4. 學會怎麼捕捉下眼前的每一道美景
	5. 融會貫通並且活用在手機攝影上
	6. 懂得思考與分析不同情境的最佳拍法
	7. 讓自己的攝影作品更上一層樓的秘訣

	在這個因為智慧型手機的緣故，幾乎人人都在拍照的年代裡，攝影儼然已經是一場不分男女老少的全民運動了。

	然而，要怎麼樣活用手中的各式攝影器材，拍出令親友稱羨不已的美照，可就需要經過一番磨練與長久經驗的累積才行。

	對於忙碌的現代人來說，卻不見得有足夠的時間可以參加動輒數周甚至是數個月的攝影課程，此時，本書就是一個最棒的「個人攝影家教」。

	由知名攝影名家／暢銷作家「上田晃司」親自操刀所有的拍攝與內容撰稿，以「全圖解」的形式，把各種曾經讓許多人打退堂鼓，不得其門而入的「光圈」、「快門」、「感光度」、「構圖」、「對焦」、「景深」、「光影」、「色溫」等各式抽象的概念，全都用最簡單易懂的「圖例」、「實拍照」與「重點提示」，讓每一位讀者都可以迅速吸收與學習名家的攝影know-how，飛快提昇自己的攝影功力。

各界名人 誠摯推薦

	十面埋伏、阿默 Mookio、陳漢榮 Herman Chen、黑麵

"
9789865003555,"

大量圖文對照，步驟清晰明瞭；解析多廠相機之，重複曝光功能；作者豐富實務，經驗傳授。本書屬於技藝教材，含有一定科技難度，但由於作者大篇幅地應用圖文對照，結合自己拍攝實例來介紹經驗，因此行文引人入勝，通俗容易。作者也在書中分享自己如何掌握多重曝光的心得體驗，避免人們產生誤解。如：強調構思立意在多重曝光中的重要性、如何發現適合多重曝光的素材、如何控制多重曝光竅門，不同廠牌的相機間多重曝光的異同⋯⋯相信讀者閱讀本書，很快就能學會多重曝光技法，創作出與眾不同的新作。
                    
"
9789579199094,"


 這些攝影用語知識是風格突破的起點，
 與其尋找創新的方法，不如回到原點重溫基本，
 從最簡單的法則找出最不平凡的創意。

 那些生硬的攝影詞彙總讓人吞不下去，不過，這些其實是你突破自己的基本配備，本書將其重新歸納再解釋，提供有心學習攝影的讀者，以基礎攝影用語知識作為根本，往上學習必備的拍照技巧與觀念，並在最後章節追加能提升攝影涵養相關的不同學門論述，將這幾個區塊組合起來，便是《攝影的起點》的重要金字塔架構。學習任何事物，基礎的打底都是非常重要的。掌握基本後，再去了解自己的拍攝需求，並針對自己做出合適的選擇，不斷地練習再練習，於攝影風格上尋求擊破點等，這些都是你通往攝影這條路上會遇見的日常練功風景。

"
9789571062235,"


※ 破萬暢銷作家，阿默 mookio，用攝影改變你觀看世界的角度。
※ 帶領大家重拾「底片相機」的攝影之道，培養出自己獨特的攝影美學。
※ 用最貼近生活的方式，讓大家沈浸在拍照所帶來的樂趣與心靈感受。
※ 針對RF、輕便、SLR、中片幅，精選與介紹數款適合您日常使用的經典相機。
※ 「默式拍法」的精髓與關鍵思維，盡在本書當中，等著您來細細品味與探索。
※ 深刻體認，「京都」的絕美瞬間、「台灣」的迷人角落。

【倘若生活是攝影，並不是一張構圖謹慎的照片，也不是精心設計的光影布局，而是存在於人情之間的相遇滋味。】

	當我們拿著相機，去看生活中不起眼的小事，不要過分地討論器材，也不要詳細的技巧解說，只要誠實地把自己接觸的一切記錄下來，讓人看了迷戀，不僅是沿途風景的美麗片刻，還有難忘的記憶點，這不就是真實的感動嗎？

	當你愛極了平凡的日子，對於攝影的熱情日增月益，每一刻的光景，都驅使著你拿相機從觀景窗看出去，每次的快門都出自於你的本心，所察覺的事物出自於你的關心，照片中充滿生活感的人情味，難道不是喜歡拍照的初衷嗎？

【若你內心是一暗室，日常便是照進室內的光，透過拍照的指尖得以挽留。】

	當我們拿著相機走入了生活，學會如何去觀察身邊的人和事，遇見形形色色的人，和他們發生真實的交集，除了留念在心中，也希望藉由著按下快門，能夠記錄此時此刻的共鳴，照片便成為屬於你獨一無二的「生活寫真」。

	把你所感受的生活拍攝出來，不用說太多的話語，你與相機之間是無聲的默契，指尖是觸發直覺和靈感的關鍵。

【或許，對於任何攝影的觀念與看法，都是對日常生活的累積與思考。】

	照片擁有誠實的魔力，能客觀地表達出「你看見了什麼」、「你感受了什麼」、「你喜愛了什麼」。

	拍照是最誠實的情感表達方式之一，如果想知道你的生活是甚麼模樣？那就去拍照吧！

	用相機框住令你留戀的風景，
	於是我們…

【將「拍照」變成了動詞。】

	拍照是件輕鬆的事，帶給我們探索世界的好奇心，從追尋光線開始，記錄身邊的人、發生的事和路過的風景。透過拍照，去捕捉微妙的變化，只要能把身邊常見的事物，拍出不尋常的感覺，就是攝影的樂趣。

	順著光線看過去，尋找焦點落下之處，你所拍攝的物件是否有吸引人的觀點，設法彰顯它的特點，是攝影的第一課。

	現在，請跟著我們，隨著阿默的文字與影像，
	用最直覺的方式，一起探索攝影的本質，
	在日常生活中，用拍照來練習、來修練。

"
9789571069463,"


※ 打破非單眼相機不可的定律，讓每個人都能享受手機攝影的樂趣。
※ 以簡明易瞭的圖例，搭配重點及要領說明，徹底活用與釋放智慧型手機的拍照性能。
※ 提供「正確」與「錯誤」的示範，讓你我迅速掌握最佳的商品表現方式。
※ 幫助大家用最少的預算與器材，達到最大的拍攝效果與宣傳、展示效益！

	智慧型手機的功能可說是日新月異，但除了不斷強調的大螢幕、高處理器效能以外，每支Smartphone其實都搭載了一個強大又方便的相機功能！你知道嗎？在某些情境下，使用手機來拍攝商品，竟然遠比使用笨重又不易上手的單眼相機還要來得更加合適呢！

	打個比方，想要讓商品「由前到後」都清晰呈現的話，此時清晰範圍較大的手機（景深先天就比較深），反而比需要大費周章縮小鏡頭光圈並且透過多張疊圖才能達成相同效果的單眼相機（景深先天就比較淺），要來的好用許多喔！

	本書由日本商品攝影名師／暢銷作家「久門 易」拍攝與執筆，徹底分享他使用手機來拍攝各種商攝案件的實例，為大家示範如何透過一些日常生活的小物品，輔佐一點攝影小巧思、APP和獨門撇步，用人手一支的智慧型手機拍出媲美職業等級的商品照片，一舉提昇人氣與銷售！

	【不管用什麼器材，攝影的技巧與道理都是互通與同等重要的】

	在人手一機（智慧型手機／相機）的這個年代，
	用手機拍攝日常生活、美食、風景、寵物、人像甚至是商品攝影，
	都早已是習以為常的事情了。

	然而，無論手中拿的是單眼相機、微單、小相機還是智慧型手機，
	唯有從平日就培養與理解正確的攝影的技巧、法則、觀念，
	才能把相片拍好，讓人散發出「你好專業喔～」的讚嘆與佩服。

	這本《商品攝影速成講座！只要一支手機就幫你搞定各種不同的拍攝需求 》，
	乍看之下似乎只有針對手機介紹相關的拍攝技法。

	但其實，各位只要翻開本書，一步一步地閱讀下去，
	就會發現有許多就連天天拿單眼相機的人們，
	都往往會忽略掉的「關鍵法則與技巧」。

	只要把書中的各項要領謹記在心，
	必且加以活用在日常的各種拍攝當中，
	想必您的技術、作品水準絕對會瞬間大幅提昇！

	專業與業餘，往往只有一線之隔。

	本書，將會帶領您邁向專業之路！

"
9789571071480,"


	※ 精選43個你我都會遇到的情境，以最間單的方式分析與教學！
	※ 一個主題搭配一個攝影概念，一步一步讓您融會貫通！
	※ 剛買相機的入門者也能即刻上手與活用！

	有時候，明明看了很多器材、技巧教學書，但就是覺得好像與「現實」有那麼點偏離。這是因為許多法則、原理，往往都需要根據當下的情境與狀況來進行調整。而本書，便是由這樣的概念所衍生出來的一本「速成」攝影教學書。

	由43種不同的情境，直接提供切合真實情況的範例，並且非常「系統化」且簡短扼要地給予「狀況分析」與「要領提點」。讓每一個正準備要出國旅行的人、剛拿到相機想要即刻測試、以及希望找到拍攝靈感的人們，都可以吸收並加以運用在每一次的拍攝當中，讓作品一看就散發出「專業」氣息與水準！

【看了馬上就懂，從新手變高手】
	一張好相片與還不錯的相片，有時只有差在取景的巧思或稍微留意光影的改變。

	本書從「都市、街道」、「自然風景」、「人、動物、交通、小物」這3大類別，彙整43個攝影妙方，直接用範例來分析，用一目了然的方式來解說拍攝的訣竅，並且提供不同的思維或注意事項小提點。

	此外，更利用「數位相機的基礎知識」與「關於相機與器材的單純疑問」這兩個章節，來替各位解說關於相機、器材等常見的疑惑，讓大家更加了解關於攝影的大小事。

【多拍、多練習，就是邁向高手的不二法門】
	現在就給自己一天一個練習，跟著本書的步調，
	來策劃一場又一場精彩的攝影小旅行吧！

｜本書用法｜
	從3大主題中，挑選自己感興趣的主題。
	接著，從中翻閱與找尋近期想要拍的項目。
	閱讀與吸收該項目的訣竅，思考一下與自己的拍攝方式有何不同。

	出門拍照去！
	檢視作品，是否有吻合書中介紹的要領。

	作品有變得更好挑選下一個主題閱讀與挑戰。
	作品似乎有待加強再次瀏覽與思考該主題書中提到的注意事項。

	只要依循上述的作法，
	不用等到看完整本書，
	也可以逐步地提昇自己的功力與作品水準喔！！

"
