ISBN,書籍簡介
9789865510237,"

手機攝影必備拍照秘笈，教你用手機拍出「你的生活」！光圈、快門、感光度三大攝影要素零藏私講解，解析構圖、角度、光源運用等必知攝影訣竅，剖析人像、食物、風景、動物等主題拍攝技巧，帶初學者用手機紀錄生活，用照片寫下你的故事！從底片相機、數位相機，直至出現手機相機，都反應出人喜歡用照片紀錄生活的日常，讓每個當下，都成為永恆的畫面。但當手機相機拿起來，大家都想拍出美美的照片，卻只會按下快門鍵，不知道怎麼找角度、調光線，或是運用內建修圖軟體做基本的照片調整，讓新手都很苦手。雖然手機具備相當高的便利性，但對於手機相機的規格卻不是人人都能理解，所以書中將這些初入門須知的相關知識，一一解析，讓大家可以針對不同的主題，讓每一個片刻，變成永恆的美好回憶。〔攝影三要素X基礎攝影力〕從光圈、快門、感光度三大攝影要素零藏私講解，帶你輕鬆了解基礎攝影知識。〔主題拍攝技巧X用OX帶你解析〕將人像、風景、食物各式主題運用Q&A的方式，讓你判斷哪張是NG、哪張是OK，從練習中學習拍攝技巧！本書特色※攝影入門X新手必備除了說明光圈、快門、感光度三大攝影要素外，也說明構圖、角度、光源運用方法等攝影基本觀念，帶你從拍攝觀念入門，步步進入手機攝影的世界。※手機拍攝X基本觀念手機跟相機的差異比較，從畫質、解析度、變焦方式等各相異處進行解說，讓你釐清手機相機能拍出的最大值，在進一步拍攝出照片想呈現的效果。※各式主題拍攝X實地練習將人像、食物、風景、寵物、旅遊等不同主題的NG和OK照片並列，讓大家練習從判斷照片好壞中，學習到角度、構圖、光線等拍攝技巧。
                    
"
9789865534219,"


光線的總和：自然光、人造光與混合光的融會運用，你需要有效的刻意練習
	三步驟快速佈燈：「觀察」、「拆開」再「連接」，將現場光線延伸成連續的光牆
	打光系統化：主光、補光與邊光的佈局圖解，你想要的光線場景一定能打出來

	 

觀察、拆開再連接，
	將自然光線作為你的最佳助拳者，
	打造成片光牆，塑造你最想要的光線場景

	 

	背景亮度、色溫不同和光線的軟硬是一般人在打光時都會遇到的問題，看似複雜難解，在馬克的眼中，一點都不難。只要做好「打光開始三步驟」，便可以拆解各種棚內拍攝、室內或是戶外拍攝的打燈環境。

	 

	測光觀察現場光線狀況、了解色溫，最後再決定哪一個為主光，哪一個為補光？並且將自然光、人造光與混合光的融會運用，誰說拍攝得全由自己打燈呢？如果懂得和最佳助拳者──「自然光」做好朋友，絕對可以輕省許多。少帶燈具，就可減少許多事前的準備，讓你在拍攝的順暢度上提升不少。

	 

	除此之外，將光線分開思考也是許多人在打燈上的難題。讓每支燈各自為政，往往容易形成光線的中斷，讓其中存在許多黑暗的區域。其實，光線可控可收，利用「Ｌ型的佈光」方式，便可打造出一個有方向的延伸性光牆，讓你的拍攝看起來更自然。

	 

	「將打光變成簡單系統化」是馬克教學一直堅持的核心，唯有如此，才能在各樣環境中變化運用。跟著馬克不僅可以學會影像原理與攝影器材間的完美搭配，更能實踐每一篇章中的影像魔力。它平實不虛華，卻相當有深度，覺得值得每一個打燈的新手或老手細細研讀且實踐著。

"
9789571092638,"


★ 從零開始也沒關係，徹底解說活用「離機閃燈」的職人know-how與技巧
★ 以「圖解」的方式，詳盡說明運用閃光燈的要領
★ 不藏私公開獨創的「閃燈曝光五角形」，適用於各種人像拍攝情境
★ 解構從「單燈」到「多燈」的打光差別，用「實拍照」清楚明瞭地示範
★ 連用iPhone等智慧型手機都能夠活用的「閃燈攝影」技巧

【讓人像創作即刻進階的職人用光技巧】

	雖然單用自然光，或許可以拍出不錯的人像照。

	可是，若要讓自己的人像創作更上一層樓，那就勢必要學習「離機閃燈」的攝影控光技法。

	無論是在「逆光下」、「想要同時保留背景與前景人像的細節時」、「希望在大白天創造出暗沉背景下的魄力人像照（俗稱的『壓光』）」、「在美麗夜間燈飾下，想讓模特兒顯得亮眼又突出時」、「想要在攝影棚內，用光源打亮模特兒局部來營造氛圍時」、「希望在雨天將人像背後的雨滴打得璀璨奪目又亮眼時」等各種創意表現，全都需要藉由「離機閃燈」才能夠達成。

	本書特別力邀日本超人氣閃燈人像名師／暢銷作家／YouTuber，Ilko Allexandroff（伊爾科．亞歷山卓夫）老師，從基礎知識開始，以「圖解」的方式一步一步帶領讀者認識、學習與進入「離機閃燈」攝影的殿堂，那怕是使用iPhone等智慧型手機來拍，也能夠享受離機閃燈所帶來的人像攝影創作樂趣。

【超人氣攝影師的獨門絕活，徹底公開】

	本書分成六大章節，從「人像攝影的重要基本觀念」、「離機閃燈打光時的8項基本原則」、「離機閃燈打光時的8種必備搭配器材」、「瞭解打光技巧的練習法」、「實踐！巧妙運用離機閃燈打造美麗動人的相片作品」、一直到「閃燈攝影時的構圖思考概念」，用各種淺顯易懂的「圖解」搭配簡短扼要的「重點」說明，讓有興趣嘗試或已經在從事離機閃燈人像影像創作的攝影愛好（或初學）者，都可以用最短的時間學習到最正確且最有效益的打光技巧。

	相信各位讀者只要翻開本書，馬上就能透過各種「圖像化」與「條列化」的系統編排，迅速吸收與理解過去可能一直搞不懂的問題或是癥結點。

	此外，隨著各種可以支援手機攝影的閃燈配件的誕生，書籍當中所介紹的攝影觀念與技巧其實早已經能夠運用到用手機來拍照的場合裡，讓影像創作者得以更加靈活地使用不同類型的攝影器材（包括手機），隨時隨地都能營造出最理想的光線、構圖、氛圍，拍出高水準的作品。

	有別於網路上片段且破碎的資訊，作者用心地把進行離機閃燈攝影創作時可能遭遇的狀況與挑戰，以非常有條理的方式彙整起來，不管是打光時的基本原則，還是器材的選擇與設定，全都可以找到相對應的實用資料與實拍範例，讀者可以根據自己的需求，找到相關主題的單元，便能夠有效率地學習日本超人氣攝影名家的獨門絕活，並且轉化成自己的知識與攝影技巧，讓日後的影像創作日益進步、提升到新的境界。

各界名人 誠摯推薦

	黑麵、琴佳諾、陳漢榮 Herman Chen、陳紀東、火野攝影

"
9789863774266,"


～想成為攝影高手必備的「專業基礎知識」！～
不想永遠都是「半調子」？
讓本書來為你一一破解攝影誤區，
4大章節，26堂攝影師必修課！從「相機設定」、「數位知識」、「鏡頭」到「攝影配件」，
全方位解說最詳細的「專業基礎知識」！
助你邁向高手之路！

 「想要一台能拍出淺景深的相機？」、「想要換成色溫為5000K的螢幕？」
 要是被專業攝影師聽到這些話，臉就丟大了！

 很多人雖然大致了解相機的操作與攝影知識，
 但很難正確而詳實地說明出來，或是存在許多錯誤的觀念。
 例如：
 ✗「焦距」等同於「視角」。
 ✗有了「高倍率變焦鏡頭」就可以不用移動腳步拍攝了。
 ✗以為只要開了「大光圈」就一定會有模糊的「散景效果」。

 當然，每個人或多或少都會接觸到一些錯誤的攝影知識，
 對於實際拍攝也不會造成太大影響，
 而且「不追求複雜的知識或技術，只憑自己的感覺來拍照」，
 的確也是充滿樂趣的一件事。
 然而，只要稍有知識上的誤解，
 就容易連帶產生大錯誤，甚至影響到攝影本身。
 例如：
 ◎不知道「同一支鏡頭」搭配「不同感光元件」的相機成像範圍會不一樣，結果買到不適用的鏡頭。
 ◎現場光線不足，於是使用「高ISO值」拍攝，結果照片布滿明顯的雜訊。
 ◎一直使用「JPEG檔」拍照，結果在相片編修的時候困難重重，還導致畫質降低。

 所以，拍照時除了憑藉自己的感覺，
 還需要加入具有邏輯性的攝影知識加以輔助，
 才能往「攝影高手」之路邁進。

 本書分為四大章節，從大觀念到小細節深入解說，一一破解攝影誤區！
 ．第一章 器材與設定所造成的成像差異
 ．第二章 數位時代的必備知識
 ．第三章 相機鏡頭的結構與功能
 ．第四章 正確運用攝影周邊配件

 如果你是──
 ✔想從半調子成為高手的攝影玩家
 ✔羞於開口詢問基礎知識的非新手攝影玩家
 ✔想更詳實地理解基礎知識與原理的攝影玩家
 ✔想要打好硬底子的攝影新手
 那就快點打開書本練功吧！

本書特色

 ◎扛起相機之前的必須要知道的基礎知識：
 從搞懂名詞～正確運用攝影配件，全面性概念建構，在按下快門之前必須扎穩的攝影基本功盡在一冊！

 ◎4大章節，26項精闢要點，從大觀念到小細節深入解說：
 「相機設定」、「數位知識」、「鏡頭」、「攝影配件」，在每篇開頭以「Point」整理出大觀念，再深入說明小細節和原理，讓你不再一知半解，說出來大家都叫你「高手」！

 ◎專業攝影師撰文，佐以豐富的「圖表」與「手繪說明圖」：
 每個篇章都由不同的專業攝影師撰文，佐以豐富的「圖像」輔佐說明，讓你一眼看懂複雜難懂的原理

"
9789571068466,"


睽違近7年的DX（APS-C）規格DSLR王者，Nikon D500榮耀現身！


※徹底解放新一代DX規格「旗艦機種」壓倒性的攝影力！
※詳盡解說與剖析Nikon D500的「最佳化設定」以及各式「鏡頭的搭配訣竅」
※由日本攝影職人示範與分析各種主題的「實拍活用術」
※獨家收錄D500研發團隊的「深度專訪」

[重點規格]

	更加進化與提昇的2088萬有效像素、100%觀景窗視野率、影像放大倍率等倍（1倍）、幾乎涵蓋整個取景範圍的153點自動對焦點（55點可自由選取）、嶄新的Multi-CAM 20000自動對焦系統（暗處對焦能力達到-4 EV）、支援AF微調整自動設定、全新設計的反光鏡減震機制（減輕振動並縮短觀景窗影像消失時間）、電子前簾快門（徹底減輕快門釋放時的振動）、內建HDR與多重曝光拍攝功能、180000像素RGB測光感應器（提供更精確的場景判斷、人臉辨識以及3D Tracking連續自動對焦）、高達ISO 51200的常用感光度性能（可擴張到驚人的ISO 1640000）、EXPEED 5高速影像處理引擎、每秒10張的高速連拍（可持續連拍200張14bit無損壓縮的RAW檔）、20萬次的快門壽命、僅0.05秒的快門釋放時滯、4K UHD(3840×2160)短片拍攝（單段最長29分59秒）、提供外部（收音）麥克風與外部（監聽）耳機插槽、3.2英吋翻揭式「觸控」液晶螢幕（解析度236萬像素、可視角170度、視野率100%）、搭載減輕閃爍（Anti-flicker）拍攝功能、堅固耐用的單體結構鎂合金「防塵防滴」機身、搭載與D5同級的機身按鈕發光功能以及便利的對焦點選擇桿、內建Wi-Fi與NFC以及能夠確保和智慧型裝置（手機、平板等）保持連線的超低耗電SnapBridge檔案「無線傳輸」功能、可確保相片保持水平的「雙區縮放」影像（放大）檢視功能、最多可同時遙控18盞外接式閃光燈、採用高速傳輸的XQD與SD（支援UHS-II）雙記憶卡插槽、USB 3.0高速傳輸介面插槽、單次充電可拍攝1240張相片的優異續航力（CIPA標準，採用與D810、D750、D7200相同的EN-EL15鋰電池）。

[王者證明]

	從上述的重點規格中，相信您不難看出這台性能猛獸究竟有多麼優異與強大。從握起相機的那一刻，一種莫名的興奮期待感，那種油然而生的自信心，將幫助您創作出更多極致的作品！

	這樣的一份「信賴感」，正是旗艦機種所代表的意義。

	眾多與全片幅旗艦機種D5所共享的技術與規格，便是D500最強力的「王者證明」。無論是迅速的對焦、超高速的連拍、毫不遲緩的反應力，更加進化且實際可用的高ISO領域表現，全都是為了呼應專為職業級水準所徹底打造的黃金規格！

	本書，將幫助各位在最短的時間內，學習如何透過各種優化設定與建議的鏡頭搭配，完整釋放出D500應有的實力與表現，讓您不再因為器材的因素而阻礙了影像的創作，享受高自由度的攝影樂趣！

"
9789571062068,"


	淺顯易懂的解說搭配實際案例操作，讓最新版DPP成為後製處理的神兵利器！
	本書透過實際範例操作，帶領各位熟悉程式煥然一新的主要畫面與程式介面！
	讓您一手掌握全新DPP4的完美操作導覽手冊！
	藉由輕鬆調整單項功能＆相互搭配各項功能的複合技拯救珍貴相片！

	除了收錄讓RAW顯像更精確細膩8種類工具列功能，更有專業攝影師現身說法的編修完全攻略法、影像補救法，讓您利用DPP4的調整明亮度功能讓相片，搖身一變成為心目中的完美影像！，維持舊版DPP3的操作性，同時導入新的程式介面和功能設計，並且提升處理速度等，經過大幅更新改良的DPP4最初版本終於在2014年6月正式登場。在這之後隨著更新版本的推出，除了對應機種增加外，功能也更進一步獲得強化。到了2015年6月，伴隨EOS 5Ds、EOS 5Ds R的問世，DPP4也同步推出了最新版本程式。與DPP4的最初版本相較之下，不僅大幅改良程式設計，像是在White Balance和Picture Style追加了新的預設設定等，即便說它是款全新版本的DPP也不為過。

"
9789865005429,"

多樣拍攝實務與後製影像編修技法搭配絕妙呈現！本書是「一竿走天下」系列PART Ⅱ，前部「GoPro動閃攝影」主要是講靜態影像合成，本書則主要是進入「動態」影像合成的進階技巧，影片拍攝設備還是使用GoPro，即使是一台小攝影機，還是可以玩出無限大的可能性。本書內容會從初階的剪輯軟體Quik到Adobe Premiere Pro，介紹「剪輯」基本觀念，和如何透過剪輯軟體來玩簡易特效；進階的部分主要以後製合成軟體Adobe After Effects為主，讓讀者輕鬆玩出不一樣的視覺特效。本書特點偏向後製影像合成，主要採用GoPro實拍影片來製作影像剪輯與合成，和市面上After Effects書大多講解動態影像（Motion Graphic）有所區別；所有影片會經由GoPro拍攝，書本也會介紹前端的GoPro拍攝到後製影像處理的整體過程。
                    
"
9789571389714,"


因為看不見美，所以才拍不出美的照片。
	如何發現美、捕捉美？
	資深攝影師胡毓豪帶你培養一顆感受美、分辨美的攝影之心。


	隨著科技神速進步，智慧型手機附帶越來越強大的鏡頭功能，當人人皆可藉由手機拍照，「攝影」不再是一件高門檻的特殊活動，就算沒有高階的攝影裝備，仍然可以隨時隨地捕捉眼前的畫面。

	但怎樣才算拍出「好」照片？
	同樣的風景、光線、人物，取景不同，成像自然也有差異。
	資深攝影師胡毓豪說：
	「我們所處的環境，雖不完美，但仍可找出很美的角度，拍出令人驚艷的作品，這種能力不是天生的，透過有系統的學習，人人皆可達到。」

	從「美」的培養訓練開始，發覺不一樣的形與色，
	跟隨大師的「攝影之眼」，一起拍出進階的美好照片吧！

	【附錄胡毓豪六十年掌鏡生活的人生體悟：攝影‧哲思‧禪機的相互碰撞！】

名人好評推薦

	胡俊弘　臺北醫學大學前校長
	康台生　前師大、輔大藝術學院院長
	鄭家鐘　台新銀行文化藝術基金會董事長

"
9789865004835,"


	本書是「一竿走天下」系列PART Ⅱ，前部「GoPro動閃攝影」主要是講靜態影像合成，本書則主要是進入「動態」影像合成的進階技巧，影片拍攝設備還是使用GoPro，即使是一台小攝影機，還是可以玩出無限大的可能性。

	本書內容會從初階的剪輯軟體Quik到Adobe Premiere Pro，介紹「剪輯」基本觀念，和如何透過剪輯軟體來玩簡易特效；進階的部分主要以後製合成軟體Adobe After Effects為主，讓讀者輕鬆玩出不一樣的視覺特效。

	本書特點偏向後製影像合成，主要採用GoPro實拍影片來製作影像剪輯與合成，和市面上After Effects書大多講解動態影像（Motion Graphic）有所區別；所有影片會經由GoPro拍攝，書本也會介紹前端的GoPro拍攝到後製影像處理的整體過程。

本書特色

	動起來還不過癮！小視頻也能攝成大片！
	別說機子小，照樣玩出大特效
	多樣拍攝實務與後製影像編修技法搭配絕妙呈現

"
9789865004378,"

怎麼玩？在哪兒玩？GoPro都好玩！小相機也能激創驚豔還能玩出一般相機無法拍出的有趣畫面◆ GoPro初心者全方位攻略。◆ 絕對上手時下超夯的相片編輯App。◆ Adobe Lightroom & Photoshop 魔幻修圖技法。◆ 多樣攝影實務與後製技術搭配絕妙呈現。◆ 不只是看，入手實作更能創造神奇。本書主要講解使用GoPro搭配自拍竿攝影，由介紹GoPro特性到如何使用App來做調色與製作，接著進入Adobe Lightroom和Adobe Photoshop調色及模擬景深效果，最後是以範例呈現及解說進階合成製作，一機在手，你也能成為攝影專家。
                    
"
