ISBN,書籍簡介
9789865116071,"


	雪花般的白膚與
	魅惑的玲瓏曲線！
	徹底掌握女體曲線美
	極致的裸女姿勢集

	由知名女優「伊藤舞雪」擔任模特兒，演繹充滿女性美的構圖。站姿、坐姿、官能姿勢等……由6個章節所構成，是繪圖時不可或缺的工具書！

	＊由知名女優「伊藤舞雪」擔任模特兒，魅惑曲線完整收錄
	＊可欣賞也可實用！繪者必備的姿勢集工具書

"
9789865116088,"


	超越妄想的現實。
	專為「脫衣場景」打造的姿勢集。
	共收錄796張平常看不見的日常暴露脫衣姿勢。

	由白井柚香、夏目愛莉、一之瀨戀等人共同演繹，收錄站、坐、躺三種姿勢，並有不同角度與高度的照片，包括正面、背面、俯視、仰角等，搭配符合各場景的背景，包括室內外等豐富的景色，可供作畫時參考。是繪圖時不可或缺的工具書！

	＊由白井柚香、夏目愛莉、一之瀨戀等人共同演繹，共收錄796張日常生活中不容易看見的純真女孩脫衣姿勢
	＊可欣賞也可實用！繪者必備的姿勢集工具書

"
9789571093130,"

你可能在「大學生了沒」看過他的表演在各大網拍、廣告、戲劇中見過他的演出他是演員、模特兒、 Instagram網紅直到2017年，他多了一個新身分－－骨癌病友4公分的骨頭，對他而言是生與死的距離。ReBorn，意味著重生。在家佑剛開完刀，等待復原的時光，除了身體的疼痛外，曾經擁有的夢想也隨之破碎。他有好一陣子無法面對生病的自己，不敢展露手術所留下的疤痕。如今，他希望自身的經歷能有所意義，能帶給別人勇氣和力量。在這五年的觀察期中，不再畏懼曾經的低谷。那道傷疤，是家佑活著的生命勳章。ReBorn，是獻給所有受挫的追夢人，最真情的告白。家佑曾藉由晏人物的照片，對大家坦白自己的病況。這次，亦將藉由晏人物的鏡頭，無懼的蛻變。「走入黑暗，重生，成就更完整的自己。你手上的寫真集，是我與疤痕的和解。」▌本書特色●台灣男性攝影第一品牌「晏人物」，睽違一年拍攝再進化，全新實體珍藏本●新生代演員「林家佑」最赤裸的坦白。出道首部個人寫真集●內頁採最新水晶網點印刷技術，確保印製效果立體、色彩鮮亮●全書頁增加水耐光防護，避免油墨互相染印，提高收藏簡易度
                    
"
9789571078915,"

「人是流動的風景。我在人的身上旅行。」攝影是不該走安全牌的藝術創作。《EVERYTHING》紀念了一段無疾而終的初戀，但初戀不會只有透明、清新的回憶，如同人總歸有幾處面向選擇私藏於暗處。透過攝影，攝影師得以發掘人眼未知的觀看角度，以此創造出「新視角」。「紅色是絕對不會在我身上出現的顏色，現在卻出了一本紅色的書。」黃景笑說。不同於以往黃景草食系的形象，《DARKSIDE》穿插了相當強烈的紅色、黑色、白色，從中挖掘那些在愛過境遷後來不及美化的角落。當叛逆、激情、背叛、平靜與原諒全都被小心安放於靈魂深樞，當那些曾經如數家珍的記憶全都只剩一抹曖昧的顏色，關於那些確實留下來的痕跡，那些由愛而生，我們保管於心房角落的痂，又會是什麼顏色？「那些黑暗，可以孕育最耀眼的光。」《EVERYTHING》中不落凡間俗塵般清新陽光的男孩，透過這次的作品增添血肉，成了有情有慾的男人，卻依然在斑斕迷情的光暈中，美得令人屏息。無論是攝影師或模特兒，要親手摧毀自己強化的形象總是困難的。但隨著新視角的追尋，這位曾經被你投射初戀的男子，將再次成為你的唯一。▌本書特色●《EVERYTHING：晏人物攝影集》首席模特兒黃景，首部個人寫真●席捲日本、韓國、泰國等等社群網站！「犬顏天菜」「世界男友」不分國籍一網打盡！●台灣男性攝影第一品牌「晏人物」全新拍攝再進化，唯一獨家實體珍藏本●2019 SKM PHOTO新光三越國際攝影聯展特邀攝影師▌模特兒簡介【黃景】《EVERYTHING：晏人物攝影集》首席模特兒之一。作息規律的平庸上班族。IG：@view_83
                    
"
9789571087979,"


厚勢新天菜 亞亞

  

 2018年夏日，幾乎沒有拍攝經驗的亞亞，在偶然的介紹下來到晏人物工作室。
 忙碌工作的他，厚壯體魄、深情眼神和溫馴大狗狗一樣的犬鼻，平日完全掩蓋在日常制服下。
 透過攝影師的眼睛和鏡頭，亞亞溫柔暖男的輪廓中隱藏的反骨與傲氣自然流瀉，照片初釋便在Facebook引發極高的矚目，成為晏人物首位當日分享數破千的模特兒。擴散速度太快，甚至一度被社群網站懷疑使用外掛軟體而短暫將貼文隱藏。

  

 本次晏人物企圖將亞亞散發的菁英氣息發揮到極致，以「菁英之夜（Elite night）」為概念，想像總裁亞亞下班後的私人夜生活，或是一窺他出差空檔間的單身燥熱，與獨自深夜加班時才會露出的另一面……

  

 最直接的性感衝擊，亞亞將親身演繹，盡收眼底。

  

▌本書特色
 ●晏人物首位因分享數過高被FB下架的模特兒
 ●台灣男性攝影第一品牌「晏人物」第一本男子個人寫真集
 ●2019 SKM PHOTO新光三越國際攝影聯展特邀攝影師

  

▌模特兒簡介
 【亞亞】
 IG：Xavierycy

"
9789571086613,"


 「時間推著我們長大，但不一定非得長成別人心中標準的模樣。
 因為我們的心是自由的。
 因為我們還可以逃。」

 當你看見兩個人被放在同一個畫面，是不是會反射性地開始臆測起他們之間的關係？
 究竟這樣形似的兩人，是兄弟、情侶、還是朋友？

 但這樣的判斷習慣，我覺得並不是真正出自於本能，而是經由後天社會化後所習得。這樣的習慣幫助我們省力的生活，幫助我們輕鬆簡短的介紹一段關係，但很多時候，似乎也殺死了很多的可能性，或是粗魯的把所有關係的顏色，貼上非黑即白的標籤。

 我想呈現兩個待在一起的人，只是想待在一起、自然而然地待在一起。
 無論他們的關係是什麼、無論在見光或不見光的地方，他們之間發生了什麼。
 那樣的模糊地帶，帶來的也許是幸福或是掙扎，但也給了我們自由移動和詮釋的空間。
 我想用這樣難以分解的模糊不清，隱喻性地挑戰大家對「關係」的判斷。
 也許透過判斷的失靈，就能夠發現，太多時候，這樣省力的判斷是多麽暴力而缺乏細節。

 也許一段看似完美符合大眾標準想像的關係，無論是愛情、友情或親情這三類的霸道劃分，是很多人所夢想擁有的。但至少現在的我不是這樣。

 在我短短的生命裡，經歷了好多無法以三類劃分輕易斷定的關係，他們座落於光譜漸變、難為其色號命名的位置。
 我們相遇的、碰撞的、得到的、給予的、失去的，都是獨一無二，無論最後是否損益兩平。看似混亂卻美麗。
 它們是我珍惜的、不可取代的、構成我這個人的回憶。
 所以我不想把這樣的東西拍死。

 我私心地想把我經歷過的一些珍貴回憶，透過眼睛找尋，安置在作品裡；以稍微迂迴的比喻，投影在大家眼前。
 期待世界能有多一點點寬容和更加遼闊的可能性，在常識以外的地方擴增更大的生存空間。

 我想帶讀者逃離這樣判斷的系統。
 逃的是故事裡的角色，也是跟故事有共鳴的人。
　
本書特色

 ●台灣男性攝影第一品牌「晏人物」二號作品
 ●2019 SKM PHOTO新光三越國際攝影聯展特邀攝影師
 ●繼破萬本銷售佳績、2018博客來百大藝術設計類第一名《EVERYTHING》後，首部雙人合拍突破之作

"
4717702905576,"


	人像攝影絕對不能錯過的一本書！

	《VOUGE》、《Harpers Bazaar》、《RUNWAY》
	18名線上專業時尚攝影師的業界秘密大公開

	台灣首度引進！擴大攝影專業的必備聖經！

	讓我們一同走進國際級時尚攝影師艾略特。希格爾的攝影棚，親眼見證從模特兒開始擺POSE的第一個瞬間，到按下快門為止的姿勢引導，乙完整呈現實際打光、精準校正模特兒的拍攝過程，用分鏡圖一步步剖析個別POSE細微差別，並傳授針對客戶需求拍出100%完美好POSE的方法。

	本書擷選出1000招專業模特兒的攝影擺姿，並將其細分為站、坐、躺、跪、趴、律動、特殊擺姿、以及身體各細部包含頭、肩膀和手腳等所有人像攝影需注意到特種姿態。在各章當中不僅提供豐富完整的照片，還有專業打光分析和在拍攝現場的分鏡圖，以利讀者在最快的速度完整吸收專業知識。

	《模特兒攝影擺姿1000招》當中所選的模特兒包含不同的年齡層以及各項人像攝影所需的打光和布光、場景擺設和選景，更可讓所有攝影愛好者可以從中獲得更廣泛的商業攝影和人像攝影的各項技巧。
	 

"
9789571082134,"


「我想給你們兩場有愛情的旅行。
這是我的情書，
也是給你們的禮物。」


	2014年的夏天，Timothy為台大盃男排全明星賽拍攝了一組選手照片，擄獲了全臺灣的目光，透過社群媒體的轉發，專屬於男孩們的性感經過每一個鏡頭甚至傳遞到了世界。

	大家都在問「晏人物是誰？」

	Juksy街星、妞新聞等等各大媒體爭相報導這位新星攝影師，Timothy的Facebook、Instagram、Flick一天比一天受到矚目。拍攝過的男孩們紛紛得到演藝圈的青睞。
	Timothy從臺大企管系畢業的新鮮人，踏上自學之路成為專業攝影師，更接受了知名男性時尚雜誌的特約攝影師邀約。

	大家開始問「要如何才能成為晏人物鏡頭下的『晏人物』？」

	2018年的夏天，Timothy為以往曾合作過的人氣模特兒「游泳教練」與「黃景」，以「愛人的凝視」為題，拍攝了首部個人攝影集《EVERYTHING》。

	想像一趟簡單，卻因為是和喜歡的人單獨同行而顯得奢侈的旅行。

	《EVERYTHING》用第一人稱的視角，展開那些我們所愛的男孩們，所有令人心動的面向－－

【游泳教練】

	2017年2月，首次登上「晏人物」即造成世界轟動。臺灣、中國、日本、東南亞乃至歐美部落客，無不爭相轉貼作品。鹽系的親和臉龐配上精實的體魄，自然而然散發的傲氣風靡無數男女。「游泳教練」已成為「天使的臉蛋，魔鬼的身材」的最佳代言人。

	『很開心自己能被那麼多人喜歡，但是大家不需要知道我是誰。』

	一直以來，「游泳教練」的真實身分始終是個謎。粉絲們就像嗷嗷待哺的雛鳥，只能在晏人物不時公開的攝影作品中一親芳澤。

	現在，《EVERYTHING》讓儼然成為「國民游泳教練」的他，褪下更多的武裝──

【黃景】

	2017年6月初次登上「晏人物」。有著如小狗般靈動的無辜雙眸與勾人心弦的微笑脣形，攝影前的他，早已是網路上被盜用照片的長年苦主。這位來自高雄的大男孩，將以南臺灣的熱情風暴融化每一雙盯著他的眼。《EVERYTHING》將黃景毫無保留的展露，以往常被角度、光影、修圖所遮蔽的下巴傷痕也驕傲地呈現。透過攝影師的魔法鏡頭，眾人將發現，曾以為的不完美，竟是如此的有男人味。

"
9789869628143,"


 ～外拍女王教你擺出好POSE，讓身材美感極大化！～
 每個人的身高或身體結構不同，都有適合與不適合的姿勢，
 最重要的，是找到符合自己身材的姿勢！

 【本書特色】
 ◎為【攝影師】、【女性模特兒】專設的39個章節，拍出專業人像攝影。
 ◎內含豐富的示範照片，包含NG、OK照，對比前後差異。
 ◎給拍攝者、模特兒的事前準備、禮節叮嚀。

 日本外拍女王＋王牌人像、光景攝影師，
 將在本書在此傳授如何擺出美麗POSE，和如何拍出美麗POSE的實戰技巧，
 推薦給有以下目標的攝影族群：
 口 想要引導模特兒擺出更為美麗的姿勢的【攝影師】。
 口 想要學習如何擺出美麗的姿勢的【女性模特兒】。
 口 想認識美麗人像姿勢的技巧的【所有人】。

 模特兒的功課：
 ➡讓雙腿看起來更長的「N字」姿勢，該如何擺置？
 ➡具高自由度的「仰躺」姿勢，需要注意什麼重點？
 ➡緊急時可派上用場的身體保養對策？
 攝影師的功課：
 ➡如何充分與模特兒溝通構圖方式？
 ➡如何掌控光線與加入眼神光？
 ➡拍照時應該有的禮節是？

 ◆◆給「模特兒」的【16個人像POSE的實戰指南】◆◆
 ．身體的「重心」與負荷體重的「支點」，該如何擺放？
 （X）如果重心遠離腰部，擺出的姿勢就會欠缺平衡感。
 （O）將重心放在腰部後，身體與手腳的動作更為穩定，易於展現曼妙的姿勢。

 ．Z字型彎曲關節能強調曲線美？
 （Ｘ）大幅彎曲關節，可能會不小心露出肌肉或是擠出贅肉。
 （Ｏ）「扭轉」彎曲部位即可彌補臃腫的外觀，無法消除時適時減少彎曲關節的幅度。

 ．如何靠俯臥姿勢展現女性的妖艷美？
 （Ｘ）躺在床上擺出俯臥姿勢時，由於身體下陷，容易遮蔽身體正面線條。
 （Ｏ）稍微抬起靠相機側的腰部，避免身體曲線變形，運用背肌與手腕，抬起胸部以上的上體，靠相機側的手臂不遮住胸線與維納斯線。

 ◆◆給「攝影師」的【13個人像攝影應用提醒】◆◆
 ．如何透過線條與明度強調景深？
 （Ｘ）當人物輪廓線與背景線條重疊，會使人物埋沒於背景之中。
 （Ｏ）線條可以提高空間的表現力，需調整鏡頭光圈或是相機拍攝角度，強調人物線條。

 ．如何拍出肌膚的白皙度？
 （Ｘ）在拍攝整面白色背景時，若使用相機自動測光，很容易拍出偏暗的人像照片。
 （Ｏ）於模特兒後方架設閃燈打光，同時再從正面打出柔和的光線，以提高肌膚透明度。

 ．容易產生色偏的場景？
 （Ｘ）模特兒身穿白色服裝，旁邊有深綠色樹木，腳下為草地。在這樣的場所拍照時，不光只有服裝，連肌膚都會偏綠。
 （Ｏ）在腳邊的草地鋪設白布，就能防止色偏產生；為了讓暗沉的臉部變亮，需使用反光板。

 最後收錄【5個給模特兒的準備叮嚀】，
 以及【5個給攝影師，讓人像作品散發魅力的必備知識】，
 豐富的人像拍攝技巧，讓您瞬間開竅成為大師！

"
9789864014866,"


女孩，世界的寶藏
	純真無邪、明媚冷豔
	用快門捕捉振翅的青春小鳥吧
	在風和日麗的午後，潺潺流水的溪谷邊
	也可以是杳無人煙的舊車站、想像兩人遠行的幽暗房間
	讓金色光線穿過窗櫺揉碎在她清澈的眼瞳中
	一切意象由你塑造


	★來為女孩子們拍下各種令人眼睛為之一亮的照片吧★

Part 1 偶像攝影基礎知識

	▲何謂偶像？
	偶像以前是伸手不可及的存在，
	只會存在於電視、雜誌、媒體，
	在日本，自AKB48帶起偶像風潮後，
	時代改變了，
	偶像變得越來越能夠貼近人群，
	「去劇場就能看到」、「用握手券就能與對方握手」‥‥等等，
	偶像的親切化更能加強粉絲「想支持這個人」的心情，
	於是距離感也就大幅縮減。
	而現在，許多偶像都會在SNS（社群媒體）上發表自己想傳達的話題，
	也有如IG帳號這樣能夠無時無刻上傳照片的地方，
	雖然唱歌跳舞等活動和傳統偶像並無差異，
	可是也有添加一些特別服務粉絲的活動，比如「偶像攝影會」。
	那麼在台灣，雖然沒有這麼多可愛的偶像團體，
	或許也沒有偶像攝影會，
	但其實COSER或素人模特並不少見，
	不過不管是偶像還是COSER抑或素人模特、身邊的親朋好友、女友，
	說穿了她們也只是希望能被拍出自信光彩的女孩子，
	本書將由知名妄攝派大師青山裕企教你，
	如何在有限的時間和各種不同場所拍攝女孩！
	讓所有女孩都變得明媚動人吧！

	▲什麼是偶像攝影會？
	偶像攝影會是一些地方偶像或者公司行銷中的偶像，
	為了加深與粉絲的交流而舉辦的商業活動之一。
	每間事務所的規則不太一樣，費用及攝影方式等也會因活動而異。

	大致上偶像攝影會有這幾種場所：
	1.裝潢攝影棚
	2.白棚
	3.室外

	攝影如何進行：
	1.輪流
	2.團體
	3.個別

	室內可活動道具：
	1.沙發
	2.窗簾
	3.小道具
	4.花（人造花）
	5.箱子

	▲要準備什麼機材？
	難得去攝影會，想帶上各種自己得心應手的裝備，
	整理才發現這也需要那也需要，
	到底是帶望遠鏡頭好呢？
	還是定焦鏡頭？
	要帶多大的反光板？還是簡單照明工具？
	讓青山老師告訴你如何選擇！

	▲青山式溝通講座
	拍照並不是一個人埋頭猛按快門就可以的事喔！
	說穿了，拍照也需要一定程度的「溝通」，
	和模特溝通，才能拍出彼此都滿意的照片，
	強調動作姿勢，讓對方更明白你想凸顯的主題，
	如果首次拍攝很緊張，
	也可以透過一些輕鬆互動讓彼此心情舒適，
	好心情才能擁有好照片，
	如果你對於和陌生人交流有不安或害羞，
	這裡有一些不會出錯的基本溝通秘訣。
	　
Part 2 偶像照片取景超基本

	▲臉的方向．攝影角度．距離
	1.臉部方向的不同
	如果想把女孩子拍得可愛一點、漂亮一點的話，臉的方向是很重要的。請先記得臉的方向與觀看方向的法則。

	2.攝影角度的不同
	對於女孩子來說，理想的攝影角度就是自拍時的角度。可以請對方稍微試著自拍，這樣馬上就會知道。大多數女孩子應該都會把相機（手機）放在比自己的臉稍高的位置吧。這樣一來能讓臉的輪廓看起來比較俐落，眼睛也會顯得比較大。

	3.距離帶來的不同
	女孩子與相機的距離會直接表現出與女孩子之間的關係性，因此距離越近的照片，照片就能夠表現出「親密感」。

Part 3 偶像照片 取景圖鑑

	▲日本國旗構圖
	就是像日本國旗的圖案那樣，把要拍的東西放在整個構圖的正中間來拍攝，是最簡單的構圖。這對於看照片的人來說，馬上就能明白攝影師想讓大家看見什麼，因此是最基本的。

	▲二等分構圖
	將畫面等分為左右（又或上下、傾斜）兩部分的構圖。由於比例相同，因此能夠觀看者一種穩定感。

	▲三等分構圖
	這和攝影的專門定義不同，只是單純指將畫面上下或者左右分割為三個區域。與其嚴密思考等分的問題，只要大概以女孩子為中心，讓左右的背景區塊尺寸差不多大就可以了。

	▲對角線構圖
	這指的是在畫面對角線處放上線條的構圖方式。首先將女孩子放在正中間，然後讓背景傾斜，構圖就會比較穩定。

	▲消失點構圖
	從某一點往畫面手邊或者深處描繪放射線的構圖。如果將該點放在畫面中央，就會凸顯穩定感，如果錯開到左右兩邊，就會展現出動感。

	▲非對稱構圖
	此指刻意打破日本國旗、二等分、對稱構圖等比例平衡的構圖方式。讓女孩子離開畫面中央、刻意打破左右對稱等，就能夠拍出許多氣氛不同的照片。

	▲三角構圖
	此指在畫面當中放入一個彷彿描繪山型的三角形構圖。除了站著的女孩子以外，在拍攝動作的時候也以這種方式考量，就可以成為較具穩定感的構圖。如果會拍到影子的話，記得要把影子也放在三角形構圖當中。

	▲前景構圖
	在被攝者與鏡頭之間放了別的東西，越過那樣東西所拍攝的構圖方式。這樣會讓人有些距離感，看起來可能會有些憂傷、或者表現出在比較遠的地方看著自己非常在意的女孩那種感覺。有時看不太清楚也能夠營造出較為神秘的氣氛。

	▲記號性構圖
	這可以說是三角形構圖的進化型態，藉由在照片中放入直線或者幾何學圖形，女孩子就會看起來不像是生物而是人偶。這樣也有種偶像的氣氛在，因此是頗為有效的構圖。

	▲S字型構圖
	這指的是讓身體曲線彷彿描繪英文的S字型一樣。不過其實不僅限於S字型，為了要讓女孩子的體態看起來更好，這是一種統整性的說法，指的是不要讓女孩子直直站在那裡，而是請對方靠在某處或者稍微彎曲等各種方法。

	▲光與影構圖
	通常拍攝的時候會將光線打在女孩子臉上，不過刻意打造出陰影，就能夠拍攝出風格迥異的偶像照片。這也不僅限於偶像照片，光與影在攝影當中是非常重要的主題。

Part 4 為了將肌膚拍美需要使用光線

	▲除了構圖之外，光線也是影響拍攝成果的最大原因之一，
	在室內有很多遮蔽物，光源固定時，應該怎麼拍攝？
	該不該使用反光板？如何使用？
	在室外太陽很大光線充足，但要怎麼拍才能讓肌膚更好看？
	你知道使用人工光線的訣竅嗎？
	這章節通通教會你！

	1.光線的溫度與種類
	2.在室內將肌膚拍美的訣竅
	3.光線不足時使用反光板的方式
	4.在室外將肌膚拍美的訣竅
	5.使用人工光線攝影時的光線使用方式

Part 5 拍出與眾不同照片的表現技巧

	▲自然
	如果覺得不修飾的樣子最具魅力、自然正是她的醍醐味，
	那麼就灌注心力在引出女孩子自然的動作與表情吧。
	不要讓對方過於在意相機，請一邊閒聊、以愉快的氣氛拍攝。

	▲可愛
	「可愛」是偶像照片中的王者。
	不能單純將可愛的女孩子拍得很可愛就好，
	要思考能夠強調可愛的服裝以及姿勢，盡量拍進鏡頭中。

	▲性感
	如果想展露出成熟感或者性感，那就露出多一些肌膚、
	穿材質略透光的服裝或者泳衣。當然也要在姿勢及打光方面多下點功夫。

	▲冷酷
	也就是與一般所謂偶像的可愛感相反的調性，
	若女孩子的魅力在於冷酷氛圍的
                    
"
