ISBN,書籍簡介
9789864563029,"  
還在土法煉鋼，死背簡體中文的一字一詞？
 這一次，給自己一個機會，徹底學好簡體文書！

  

★學簡體中文，看這本就夠了！
 ★繁簡轉換不求人！
 ★生活中95%會用到的簡體文書，只要24小時就能搞定……


 學習簡體字並非一朝一夕便能習得的功課，要能確實看懂，進而可以書寫，其實比想像中的困難。
  

 讀通簡體字，不該是特意去一字一詞背誦，只需記住簡化的幾大重點，便可融會貫通，舉一反三。
  

 台灣與大陸的繁簡之爭，至此沒有消亡過；不置可否地，許多人認為簡體字簡化構成，破壞原有的字義，然而學習語文最該重視的是實用與否，在大陸即將成為全球最大經濟體前，學習簡體字也將成為一種必要。
  

 簡體字影響了傳統漢字的原意是事實，但這是好是壞，就看人如何解讀。海峽兩岸各有其文化與歷史背景，要求哪方改變自小到大使用的文化載體，恐怕雙方都不願意。無庸置疑地，學習簡體字，肯定對於個人格局的提升有所助益，現在不妨拋下成見或疑惑，趕緊來一塊兒搞懂簡體字吧。

  

 ◎本書歸納出6種簡體字造字原則，先說文，後解字，讓你輕鬆掌握簡體字！
 ◎每一個簡體字，均附上對應的繁體字＋國語注音符號＋大陸漢語拼音＋字義解釋，系統化的繁簡分析對照，讓你好記又好懂。
 ◎兩岸流行詞語，劃分4個單元完整介紹，易查易學，絕對難不倒你！

  

★跟著我們輕鬆學會482個基本字、14個簡化偏旁、120個必懂的兩岸流行詞語！ "
9789869268561,"  
	認識漢字真的好簡單！
	比字典更深入‧比課本更有趣
	【大力推荐】
	國立東華大學中國文學系副教授 巫俊勳
	國立花蓮女中國文老師 林明孝
	台北市立景美女中國文教師 涂釋仁
	輔仁大學中文系助理教授 陳恬儀

	★看完本書，可學得常用字525個，常用詞2196個。
	★透過故事性的文字，化抽象為形象，能快速識字漢了解字的含義。
	★舉一反三：用家族的形式，將同一家族(部首)的字集中在一起，可以輕而易舉地推想出家族內其他字的含意，提高識字效率。
	★涵蓋字詞量大：叢書三冊共收入1617個常見漢字，約6820個詞語，看完本叢書，即掌握了要學的用字與用語一半以上，有助於語文的學習。
	★即學即用：書末設互動趣味語文學習遊戲，可即時檢測掌握到的知識。
	★趣味閱讀延伸：「倉頡大仙講古」、「倉頡大仙一點靈」、「QQ小站」等三個趣味欄目，增加知識含量，開闊讀者視野。
	★書後附一目了然的檢字索引，讀者可以快速查閱想要學的文字。


	常常寫錯字，怎麼辦？
	本系列書可幫助中文學習掌握「字」的正確使用方法！
	閱讀本套書不只可知其造字源頭，還可知其同源字群（字的家族）；不只可知其音（唸法），更可深入認識其義及其引伸的意涵。
	是非常適合國小小朋友閱讀的一套書！

	全書以部首為主軸，分成不同的家族，再針對每一部首的家族字成員，詳細說明他們的由來與意義。
	文字描述淺顯易懂，搭配活潑趣味的插圖，讓讀者在閱讀過程中，能以說故事玩遊戲的方式，領略中國文字的藝術之美，並培養正確的用自觀念。

	例如：「日」的家族
	「日」就是太陽，跟太陽、日光、時間有關的字，大多有一個「日」偏旁。

	【家族聚會時間】
	【旦】＝「日」＋「一」（早晨、天剛亮的時候）
	＊血統證明書：「日」是太陽；「一」是地平線。「旦」字是太陽剛升上地平線的日出圖。

	【明】＝「日」＋「月」（光亮）
	＊血統證明書：日月一起高掛在天空，當然就會一片光亮啦！ "
9789869268578,"  
	認識漢字真的好簡單！
	比字典更深入‧比課本更有趣
	【大力推荐】
	國立東華大學中國文學系副教授 巫俊勳
	國立花蓮女中國文老師 林明孝
	台北市立景美女中國文教師 涂釋仁
	輔仁大學中文系助理教授 陳恬儀

	★看完本書，可學得常用字558個，常用詞2360個。
	★透過故事性的文字，化抽象為形象，能快速識字漢了解字的含義。
	★舉一反三：用家族的形式，將同一家族(部首)的字集中在一起，可以輕而易舉地推想出家族內其他字的含意，提高識字效率。
	★涵蓋字詞量大：叢書三冊共收入1617個常見漢字，約6820個詞語，看完本叢書，即掌握了要學的用字與用語一半以上，有助於語文的學習。
	★即學即用：書末設互動趣味語文學習遊戲，可即時檢測掌握到的知識。
	★趣味閱讀延伸：「倉頡大仙講古」、「倉頡大仙一點靈」、「QQ小站」等三個趣味欄目，增加知識含量，開闊讀者視野。
	★書後附一目了然的檢字索引，讀者可以快速查閱想要學的文字。


	常常寫錯字，怎麼辦？
	本系列書可幫助中文學習掌握「字」的正確使用方法！
	閱讀本套書不只可知其造字源頭，還可知其同源字群（字的家族）；不只可知其音（唸法），更可深入認識其義及其引伸的意涵。
	是非常適合國小小朋友閱讀的一套書！

	全書以部首為主軸，分成不同的家族，再針對每一部首的家族字成員，詳細說明他們的由來與意義。
	文字描述淺顯易懂，搭配活潑趣味的插圖，讓讀者在閱讀過程中，能以說故事玩遊戲的方式，領略中國文字的藝術之美，並培養正確的用自觀念。

	本書介紹的中國文字，以和人的食、衣、住、行、育、樂等生活及器皿有關的為主。其中多數由部首可知其同源，像酉與酒有關，糸與絲有關，車與車子有關。
	因此，學習中國字如能掌握同源字的原則，亦即懂得造字的根據、源頭，常常可以事半功倍。換言之，即使不會唸，也可以根據部首或近似源頭「猜」到其意，或很容易從字典查閱其意。像本書介紹的「刀」、「戈」、「舟」、「弓」即是。而「病」的家族字，從甲骨文畫的一個人躺在床上休息的樣子，可知和「病」有關。
	本書介紹的內容除以字義、字源及家族（同源）為主，亦加上注音、拆字（字的組合）及相關的問題，有助於思考。譬如介紹酒的同源時，提問：喝酒為什麼容易臉紅？由「盟」字在甲骨文上畫有一滴血，介紹犧牲締盟的故事，而引出「目連救母」之「盂蘭盆」典故的提問。
	如此看來，本書的意義已不止於「字的家族」之認識，還兼有思辨的練習。 "
9789869268585,"  
認識漢字真的好簡單！
比字典更深入‧比課本更有趣


 ★看完本書，可學得常用字534個，常用詞2264個。
 ★透過故事性的文字，化抽象為形象，能快速識字漢了解字的含義。
 ★舉一反三：用家族的形式，將同一家族(部首)的字集中在一起，可以輕而易舉地推想出家族內其他字的含意，提高識字效率。
 ★涵蓋字詞量大：叢書三冊共收入1617個常見漢字，約6820個詞語，看完本叢書，即掌握了要學的用字與用語一半以上，有助於語文的學習。
 ★即學即用：書末設互動趣味語文學習遊戲，可即時檢測掌握到的知識。
 ★趣味閱讀延伸：「倉頡大仙講古」、「倉頡大仙一點靈」、「QQ小站」等三個趣味欄目，增加知識含量，開闊讀者視野。
 ★書後附一目了然的檢字索引，讀者可以快速查閱想要學的文字。 "
9789868753471,  2012兩岸最「給力」的潮語辭典！在台灣，同樣的語言在南北即有腔調與語法上的差異；在大陸，語言間的豐富變化更是精彩多元。兩岸使用語詞的差異所引發的趣事，也因為往來頻仍而時有所聞，譬如在路邊招攬計程車，大陸上習慣稱為「打的（音：ㄉㄧ）」，此「的」為廣東方言「的士」的簡化，而「的士」又是從英文「Taxi」音譯而來。又如台灣形容一個人的打扮或氣質為「風格」，北京則將此個人特性稱為「范兒」。不同的詞語形容的卻是同一件事，若是溝通出現問題，往往會鬧出笑話來。詞語的差異造成溝通不良，說清楚了就是一笑置之，偏偏也有詞語一樣，涵義卻大不相同的時候。例如在台灣，會因為人們的幫忙與協助而感到溫暖，便說這種情況很「窩心」，而在大陸上對「窩心」的解釋正好相反。如果在不適當的時機誤用了語詞，便容易造成不知所措的誤會。也因此，部分專家學者以兩岸語詞的差異作為研究主題。現在台灣已經開放大陸的遊客來台自由行，彼此的語言溝通上並沒有太大的困擾，但是有些情況下脫口而出自己習以為常的語彙，從人名、飲食、消費、衣著、電腦資訊、生活保健……幾乎每一個領域的語詞都有差別存在，雖然有些詞兩岸不同，還是能夠猜出約略的意思，但有些卻是風馬牛不相及，讓人丈二金剛摸不著頭腦。而隨著時代演進，新詞的出現，外來語的引用，方言的衍生，都是語詞產生差別的因素，儘管如此，兩岸語詞仍相互影響並有逐漸融合之勢。 
9789866498039," 注音與筆劃雙檢索系統兩岸詞語對照簡易便利同文不同義，在不同的地方所代表的意思就不同，用錯了詞語就會鬧笑話。兩岸同文同語卻有文化差距，如：台灣所說的「馬玲薯」，海峽對岸的大陸說是「土豆」。本書乃針對國人的需求而編寫，目標在於幫助讀者們消除因兩岸用語不同所造成的文化隔閡。坊間類似「兩岸常用詞語對照手冊」的工具書仍屬鮮見，而本書特別依據讀者們不同的檢索習慣，系統化的整編兩岸常用詞語，提供「注音」與「筆劃」兩套互為對應的查詢系統，以及清晰條理的使用說明，讓兩岸常見的相對詞語的查詢與對照變得更為便利而有效率！本書攜帶方便、查閱容易，是工作、旅遊、讀書、寫信時不可或缺的最佳幫手。 "
9789572893227," 本書不同於坊間相似書籍的高錯誤率，提供使用者最完善、最正確的資訊。 "
9789571115054,0
9789868825871," 由於全球「中國熱」的風潮，世界各國競相學習中文，作為同文同語的鄰國，最靠近全球最大市場之一的台灣無疑佔有優勢地位。然而，語言是博大精深而有趣的，在不同的地方所代表的意思就不同，用錯了詞語就會鬧笑話。兩岸同文同語卻有文化差距，尤其在近代科技術語上的翻譯更是天差地別，如：台灣所說的「網際網路」、「太空人」，海峽對岸的大陸卻稱呼「互聯網」、「宇航員」。本書乃針對國人的需求而編寫，目標在於幫助讀者們消除因此造成的文化隔閡，以減輕生活困擾。本書特色本書特別依據讀者們不同的檢索習慣，系統化的整編兩岸常用詞語，並提供「注音」與「筆劃」兩套互為對應的查詢系統，及清晰條理的使用說明，讓兩岸常見相對詞語的查詢與對照變得更為便利而有效率！本書攜帶方便、查閱容易，是工作、旅遊、讀書、寫信時不可或缺的最佳幫手。 "
9789868466012," 最新版中華繁簡辭典繁簡詞句速查台灣首創學習毛筆6000字九宮格繁簡字帖範本 "
