ISBN,書籍簡介
9789578787896,"  
 三地語文課程示範教學教師、Super教師獎得主──楊曉菁老師的作文心法
 從字、詞、句到段落，進化你的寫作體質！
 解決你我面對作文的無力困境！
 從邏輯思辨到具象溝通，練就讓文字活起來的表達力。

  

【特色內容】

  

 讀越多，便寫得越好？話說得流暢，卻無法寫得清楚？
 苦無靈感？無從下筆？心有所感？但詞不達意？
 為賦新辭強說愁，辭溢乎情？邏輯矛盾，文字冗贅？

  

 檢驗你的寫作體質，掌握階梯式技巧，
 讓語文力成為你的競爭力。

  

「即使有想法，偏偏就寫不出！」

  

 學生時期的應試作文、各類報告，
 求職面試的履歷自傳，
 到進入職場後的公文、企劃書及簡報等，
 寫作，無所不在。

  

 只要掌握「完整」、「簡單」兩大心法，
 找出自己寫作的問題點，
 便能在短期內增進寫作功力，
 大幅提升邏輯思辨和溝通表達。

  

書寫前的體質檢驗
 ▶找出寫作的問題點，你是邏輯不通還是語言癌？
 ▶由字到詞，從寫好一句話開始，到完成一個段落。
關於寫作的基本認識
 ▶瞭解文章的有機組成。
 ▶建構審美評價的系統。
 ▶用對標點符號，讓文字產生動人情態。
 ▶能讓文字華麗轉身的修辭用法。
寫作的客製化療程
 ▶詞彙、句法與段落的進階變化。
 ▶強化資料判讀與思辨能力。
 ▶從文案寫作開始試身手。
寫作微整型
 ▶藉由「同儕批閱」獲得寫作反饋。
 ▶藉由尋找語病、語言癌，進行寫作調整。 "
9789571390437,"  
本書分為「升學作文」、「文學創作」、「文字運用」三大部分
	30招寫作力，搭配見樹也見林的實例說明
	大膽架構一個學習寫作的藍圖。


	師鐸獎得主蔡淇華老師這本新書做了一個大膽的嘗試，就是將「作文書」與「文學書」熔於一爐。「作文」與「文學」乍看扞格，然而作文系出散文，因考場而生，以明志為氣，取邏輯為骨，納詩質為魂，與文學脈絡，處處可尋。

	本書分為「升學作文」、「文學創作」、「文字運用」等三大部分，大膽架構一個學習寫作的藍圖，就是將「升學作文」的基本美學，嫁接到更深層的新詩、散文、小說、作詞等「文學創作」，甚至到職場後，可以串聯到實用的文案、下標、作詞等「文字運用」。

	期待這本書的生成，能成為島嶼寫作教育的一塊基石，來日文字築城，創新之邦，江山可待！ "
9789571391403,"  
寫作吧！送給○○○○最好的禮物
(師長送學生；家長送孩子；朋友送朋友……可以當禮物書來使用 讓購買者署名)
打通寫作的任督二脈，文字應該成為被看見的能力！

	以五年時間，指導超過一千人次創作，學生得到超過五百個新詩、散文、小說及戲劇的校外獎項。什麼樣的老師，可以有如此驚人的寫作教學能力？

	能詩善文精文案，治學通貫中西，摘下無數文學獎桂冠的蔡淇華老師，跳開晦澀的學術用語，躲避俗濫的作文套詞，教會學生善用五感體現四時遞嬗、人情流轉，再利用意象心智圖的發散收斂，快速破題，喚起所有人的寫作初心。

《寫作吧！你值得被看見》
	本書集結四十種寫作應具備的基本能力及創意，
	透過實例說明，一點就通，立即提升寫作能力，
	讓每個人都能透過文字書寫，勇敢表達自己！

《寫作吧！破解創作天才的心智圖》
	給我故事、給我步驟、給我實例
	給我聽得懂的寫作語言
	打開這本書，破解不固定中的固定
	鋪天蓋地的寫作36計，篇篇精彩、則則驚奇！

《寫作吧！一篇文章的生成》
	本書分為「升學作文」、「文學創作」、「文字運用」三大部分
	30招寫作力，搭配見樹也見林的實例說明
	大膽架構一個學習寫作的藍圖。 "
9789865250591,"  
2021全新暢銷增訂版

新增多篇林明進老師親自撰寫之優美範文

學習作文更有效！

	 

	從小三寫到高三，為何寫了十年卻寫不好作文？

	 

	建中名師林明進獨創笨作文，讓小學生、國中生、高中生一次學好作文

	以最正統的學習原理，打好作文基本功

	一看就懂、一學就會，從此克服寫作障礙

	 

	親子共學 × 學生自學 × 作文教學 × 扎實有效

	 

	作文課、會考、國寫、國考、職場Email、商品文案、小編發文……

	寫作力，就是人生競爭力！

	 

	《起步走笨作文》是針對想教好作文、想學好作文的人而設計的基礎教材，不限年齡對象，誰都可以學好作文，滿載而歸。──林明進                        

	 

■作文常見迷思

	1.黑板上出個題目讓學生馬上寫，就是最好的作文訓練？

	2.多背誦名言佳句，就能提高文章的可讀性？

	3.多背誦佳作範文，就會愈寫愈好？

	4.一定要分成四段、一定要「起承轉合」，才會拿高分？

	5.一定要上補習班才學得好作文？

	6.作文寫得好，關鍵在於「創意」？

	7.靈感、創意可遇不可求，只能碰運氣？

	 

■作文教學常見病灶

	1.「鑑別寫作力」和「培養寫作力」大不相同，卻時常在教學現場混為一談。

	2.沒有真正落實作文教學、沒有抓準培養寫作力的竅門，導致學生寫了十年，基礎作文卻是空的。

	3.書法教育有完整的歷程，由簡而繁，一筆一筆打底；我們的作文教育欠缺的就是學習的完整歷程，沒有照規矩一步一步來，最後造成多數人寫得不理想，甚至一輩子害怕作文。

	4.學生看完題目，矇著就寫，埋頭苦幹，這就是我們共同的作文人生。

	所以，作文不是每況愈下，是從來就沒有打過底；作文程度不是愈來愈低落，是從來沒有卓越過。

	5.甲乙丙丁或ABCD的等第，應該是作文教學檢討的開始，同時也是師生互動的依據，卻成為現行作文教學的「手段」。

	6.作文變得「標準化」、「答案化」，千篇一律、一律千篇，落入僵化的寫作窠臼。

	7.先教「創意」，不教「基礎寫作」，讓學生第一次上投手丘就要他馬上成為王建民。

	8.教作文是學校的事、是老師的事，家長把教作文的責任都推到老師身上。

	 

■笨作文這樣寫

	1.老師、父母照著笨作文的步驟，一步一步教；自學者用心體會基本技法，一步一步學；從扎根開始，才能收穫一輩子的真功夫。

	2.讓每個學生的作文生命「活著」，比寫得好重要。依程度給出適量字數練習，只能寫一句的，就不要馬上叫他寫出一篇。

	3.文章有文心，人人從心出發，寫自己想寫的，寫自己要寫的，而不是錯把作文當數理科目看待，永遠只會背佳句、套公式。

	4.作文課總在打分數，學生還不懂怎麼寫，就先被評鑑寫得好不好，對作文的興趣和信心都被打壞了。寫作應貴在「養」，準備好了再寫，翅膀硬了再飛。

	5.靈感創意並不是從天而降，而是基礎寫作力的一部分。作文基本功才是培養創意的基礎。

	6.文章還不成氣候時，「真」是一條路。寫作想要成功，從簡單開始、從真開始。

	 

▎5大基礎訓練．累加寫作實力 ▎

	語文表達訓練──學習基本語法知識，增進理解文意與運用文字的能力，扎實詞語句子的連綴基礎。

	觀察力訓練──培養敏銳的感受能力，善用眼、耳、口、鼻、手、身體的觀察力，使文章有聲有色、自然生動。

	運思訓練──下筆前進行審題及全面的構思，快速又準確的設計出文章的美麗藍圖，搭建四平八穩的文章骨架。

	章法訓練──文章開頭求新穎、美麗；中間正文要內容豐富、言之有物；結尾要精采亮麗、充實有力。

	修辭訓練──學習模仿名家佳構，歸納前人成功運用文字的規律，達到自然而美化的特定修辭效果。

	 

▎重點歸納分析，破解訓練要領 ▎

	學習主題──定義學習目標，抓準作文小竅門

	能力培養──安排主題訓練，落實寫作基本功

	寫作要訣──引導寫作策略，下筆力求快狠準

	表現技法──拆解寫作方法，靈活運用作文力

	參考習作──結合佳作欣賞，培養厚實文字觀

	常見病灶──提點作文大忌，避免套路新八股

	 

▎跟著笨作文名師起步走 ▎

	縮寫訓練──把握要點，保存原貌；高度濃縮，簡明扼要；文辭流暢，銜接自然

	審題訓練──周到完備；精準嚴謹；多做思辨與檢省

	立意訓練──立意要明確、創新、深刻、高遠、精妙

	構思訓練──確立文章的中心；多角度構思材料；精心安排組織篇章

	選材訓練──材料要有代表性、新鮮感；宜選自己熟悉的材料

	結構訓練──為全篇定一個好骨架：整體和局部要平衡勻稱，前後上下要渾然一體

	聯想訓練──從生活中累積豐富的閱歷；從書籍中儲備淵博的知識；長期自我訓練，開拓思路

	結構訓練──為全篇定一個好骨架：整體和局部要平衡勻稱，前後上下要渾然一體

	開頭訓練──成熟的立意構思；發揮鳳首的作用；文句簡潔；獨特新穎；切中題意

	過渡訓練──要做到自然、貼切、嚴密、恰當；詞語要謹慎選擇，斟酌運用

	照應訓練──閱讀別人的作品，要仔細推敲，周密思考；自己在進行寫作時，要嚴格要求，斟酌布局

	結尾訓練──順應文章的內容、事件的發展；必須有總括、統一及幫助全文理解的作用；必須有精練緊湊、充實有力的效果

	修辭訓練──修辭要得體、有效、靈活、精美、優質

	 

本書特色 

	 

	1.最經典、最扎實、最完整、最到位的「寫作啟蒙書」。

	2.最清楚、最可行、最好教、最有效的「寫作教學書」。

	3.兩岸寫作教學權威 / 建中資深名師 /「笨作文」創發者──林明進代表作。

	  "
9789865250607,"  
2021全新暢銷增訂版
	新增多篇林明進老師親自撰寫之優美範文
	學習作文更有效！


	從小三寫到高三，為何寫了十年卻寫不好作文？

	建中名師林明進獨創笨作文，讓小學生、國中生、高中生一次學好作文
	以最正統的學習原理，打好作文基本功
	一看就懂、一學就會，從此克服寫作障礙

	親子共學 × 學生自學 × 作文教學 × 扎實有效

	作文課、會考、國寫、國考、職場Email、商品文案、小編發文……
	寫作力，就是人生競爭力！ "
9789579054553,"  
寫作力，是翻轉人生的重要武器。
	寫作可以提高我們的表達和溝通能力，是鍛鍊思考能力的重要手段，是促進成長的最好方式，是學習效果和個人能力的放大器。

	本書作者從一介魯蛇，靠寫作成功逆襲，不到兩年時間從服裝店店員晉身網路新媒體副總裁。他大方分享每個人都學得會的寫作技巧，從如何選題、如何下標、如何修改文章到如何排版，希望讓更多人學會寫作，甚至讓寫作成為最重要的獲利能力。

	翻開這本書，就是逆轉勝的開始！
	一出手便屢破十萬閱讀人次的神級爆文作者，
	告訴你如何重新理解寫作，打造自己的核心影響力！

	寫作力，是翻轉人生的重要武器。
	寫作可以提高我們的表達和溝通能力，是鍛鍊思考能力的重要手段，是促進成長的最好方式，是學習效果和個人能力的放大器。

	這是一個內容為王的時代，越來越多人靠寫作，翻轉人生。

	‧中國知名行銷類文章寫手李叫獸，不到三年他的公司以接近一億估值被百度全資收購。
	‧北愛爾蘭人強尼．沃德（Johnny Ward）靠在網路上寫旅遊部落格，從貧窮的大學畢業生變成成立媒體公司的企業家。
	‧紐西蘭籍女作家莉西．卡特萊特（Lise Cartwright）原本是一位行政助理，靠寫作找到人生意義，目前是暢銷職場作家。

	為什麼人人需要學寫作？因為動筆就是投資。

	大多數人都對寫作有誤解，認為只有靠寫作為生的人才需要認真磨練文筆。
	其實人人都需要學寫作，因為寫作能力是經營人生的一項基礎能力。
	而且越是不靠寫作為生的人，越需要學習！

	‧寫作是最重要的生存技能
	行動網路時代，社交媒體改變人們溝通方式。在線上用文字溝通已是生活日常，所以在這個時代文字表達能力決定我們的溝通能力，也成為最重要的生存技能之一。

	‧寫作是促進成長的絕佳方法
	如果每天都有動筆，說明今天的你和昨天的你相比又有了新的進步。一天下來有沒有得寫、寫得好不好，正是檢驗有沒有進步、成長的重要標準。

	‧寫作是學習效果的加速器
	在寫作過程中我們會發現很多原以為自己知道的事，其實並非如此。所以寫作會逼自己深度思考，吸收、處理、輸出知識，可從中極大化提升學習效果。

	‧寫作是個人能力的放大器
	在社交媒體時代，擁有寫作能力等於在網上給自己安裝一個喇叭，可以時不時出聲亮相，讓更多人注意到你，最終連接到更多資源。

	‧寫作可重複銷售自己的時間
	對一個人分享和對一群人分享，講的東西一樣但後者效率是前者十倍、百倍、千倍，甚至萬倍。寫作可以在同樣時間內不斷複製你的價值。

	‧寫作是保值性最強的技能
	寫作技能具有極強時間累積性，越早開始培養越好，因為時間就是壁壘，盡快開始寫作就能享受時間帶來的複利效應。

	如何從零開始成為寫作高手？
	基於3年爆文寫作經驗，作者在本書提出清楚又詳盡的11堂養成步驟，從如何選題、如何下標、如何修改文章、如何排版，到教你如何正確活用動詞、名詞、形容詞等，希望讓更多人學會寫作，甚至讓寫作成為最重要的獲利能力。
	而你需要做的就是馬上行動，開始練習。 "
9789869250412,"  
	「這是一本關於我的書，從我最愛的事，到我最深的想法，以及最驕傲的時刻…」而你就是這本書的作者！

	風靡全球的互動自傳工具書《Once Upon a Time I was》，
	今年獨家從荷蘭引進台灣囉！

	還記得和朋友做過最瘋狂的事嗎?
	還記得初戀降臨時的砰然心動嗎? 
	還記得與自己約定好十年後要完成的夢想嗎? 

	如果你也有不想忘記的回憶，也有想紀錄的生命故事，
	你一定會喜歡這本互動自傳工具書《從前從前…》
	只要回答200 道簡單的問題，就能珍藏每個珍貴的人生片刻！
	透過書寫，重新整理自己的生命經驗，也是與至親長輩溝通、了解與和好的美好過程。

	誰需要《從前從前…》
	ü其實想陪爸爸媽媽/爺爺奶奶好好說說話，只是找話題很困難ü想更了解你最親愛的家人，卻不知道從何開始ü人生經歷超豐富，不記錄下來超可惜想留給孩子寶貴的人生經驗，但不想被嫌太囉嗦 "
9789573288374,"  
	「國寫」是可以準備的，而本書就是個好方法！
	幫助你在最短時間內，使國寫分數更上層樓
	讓國寫成為大學入學致勝的關鍵！
	 
	「國寫」是大學入學的關鍵。在90分鐘的測驗時間裡，雖只有2大題，分數卻佔了國文成績的50%！
	 
	本書是因應國寫考科而撰寫的實用應答技巧，內有許多菁英名校學生的真實寫作案例，以及簡明易懂的應試指引。內容淺顯清晰，應考策略既實用又有效，非常適合高中生在短時期內快速提升國寫分數。
	 
	作者特別把國寫的考試流程加以逐步說明，考生只要按照本書操作，在考試的時候就可以有憑有據，不會陷入無助、失措的情況。
	 
	破解題型
	■知性題：如何解讀考題內的長篇文字或圖形、表格，看懂考題要問什麼
	■情意題：寫出個人實際經驗，真誠表達感情，發揮想像力
	 
	作答技巧
	■快篩考題：如何快速尋找答題線索
	■破解題組：好用的「5種脈絡關係」，找出題組內多筆資料間的關係
	■命中解答：練習寫出不冗長、邏輯正確的優文。你的答案會讓評分老師微笑
	■搶下分數：依照評分標準，檢視自己的作文。閱卷老師的心，只有你懂
	 
	考前掃雷
	■看不懂情意題的時候，該怎麼辦
	■該不該瞎掰：如何在事實之上，寫出有溫度的誇飾
	 
	不緊張的考試流程
	■閱讀題目時如何掌握重點（用圈的）
	■如何看清考題，規劃書寫的布局（用畫的）
	■真正下筆寫作時要注意的事項 "
9789862356623,"  
	 ▎四十年暢銷百萬冊．非虛構寫作殿堂級教本 ▎

同一個題材，為什麼有的文章讓人昏昏欲睡，有的卻能讓人一口氣讀完、欲罷不能？
在各式各樣的字詞、句法與寫作技巧中，該怎麼找到屬於自己的風格？
針對不同類型的題目與讀者，怎樣的寫法才合適？
面對空白的螢幕、未知的批評與失敗，要如何克服焦慮與恐懼？
……各類型寫作者會碰到的任何問題，本書都將一一解答！
	 
★美國英文、新聞相關科系及寫作課程必讀指定教材
★美國亞馬遜書店近八百名讀者平均4.7星好評，高居排行不墜
★Goodreads書評網站近一千三百則評論，一萬七千次評價，平均高達4.25星
★《紐約時報》、《圖書館期刊》、《蘋果橘子經濟學》作者Stephen Dubner...各方好評盛讚推薦

	須文蔚國立東華大學華文文學系主任
	陳建守說書 Speaking of Books創辦人
	張翔一《換日線》頻道總監
	何榮幸《報導者》總編輯
	──推薦

	為什麼出版至今超過四十年，這本寫作書還能長銷不墜，不只是長年以來美國英文、新聞科系學生與寫作課程必讀的指定教材，更影響了無數的寫作者，被奉為「寫作者的聖經」？

	這本書的作者威廉．金瑟，在耶魯大學、哥倫比亞大學新聞學院及紐約新學院開設非虛構寫作課程多年，也曾擔任美國最大圖書俱樂部「每月一書俱樂部」編輯，並固定為美國各頂尖雜誌撰稿，在寫作、編輯、評論與教學上都有豐富經驗與心得，因此從寫作技巧到心理層面，知道寫作者在不同階段、面對不同題材會碰到什麼困難，以及如何對症下藥、打破盲點，幫助寫作者寫出真正的好作品。而這本《非虛構寫作指南》正是這些精華的集結。

	「雖然這本書講的是寫作，但是絕對不是只寫給作家看的：書中的原則適用於任何一個在日常生活中必須要寫東西的人。」

	人物採訪、遊記、科普寫作、商務文書、藝術評論、體育寫作、幽默小品……非虛構寫作的題材五花八門，會需要透過文字書寫這些題目的，也不只是所謂的「專業寫作者」。面對所有類型的寫作者，金瑟在本書以好懂而幽默的文字，將寫作的精要分為「原則」、「方法」、「形式」、「態度」四大部分，完整拆解寫出「好」文章的訣竅：

原則－－寫作時應該掌握的基本原則，包括忠於自我、力求精簡、消除冗言贅字、如何找到風格、為誰而寫、如何挑選及使用詞彙。

方法－－重要的實際寫作技巧，例如在作品中如何保持「一致性」、該怎麼寫好最重要的「導言」與「結語」，以及名詞、動詞、形容詞、副詞、標點符號的使用，還有縮寫、分段、改寫等面向的注意事項。

形式－－針對人物採訪、地點遊記、回憶錄、科技、商務、運動、藝術、幽默七大非虛構寫作領域，實際說明各類型寫作的要點及書寫技藝，並以經典文章為例，實際解析這些作品好在哪裡，又可以如何借鏡。

態度－－從心理層面給予所有寫作者建議：傾聽自己的聲音；如何面對寫作的愉悅、恐懼與信心；不要執著於成果而是注重過程；在寫作過程中如何做好選擇；什麼是好編輯、什麼是壞編輯……

	透過這本架構完整的著作，金瑟以清晰而溫暖的筆法和我們分享他對寫作的所有心得，毫不藏私。不論你是想要以寫作為業，或是想增進自己在生活、工作上的文字表達能力，你都能在這本書中得到完整明確而實際的指引，不管面對什麼題材，都寫得出有人味及溫度、能夠打動人心的好文章。

金瑟談寫作的各個面向──

談「好的寫作」：
	任何一位作家出售的作品，都不是他們書寫的主題，而是他們自己。」好的寫作是有生氣的，「個人化的交流」是非虛構文類作品的核心，其中兩個最重要的特質是「人味」與「溫度」。

談「精簡」：
	寫作的祕密就是剝除每一個句子裡的雜質，只留下最乾淨的元素。因此作者必須不斷地自問：我到底想說什麼？令人意外的是，他們通常都不知道。那我們要如何不受累贅所困？答案是要先清理要我們腦子裡的累贅。清理思想之後，才能清理寫作：兩者相依相存，缺一不可。

談「冗言贅字」：
	大部分的文章初稿都可以刪掉一半，也不會減損任何訊息或是喪失作者的聲音。重新審視你所寫的每一句話：是不是每一個字都發揮了新的功能？有沒有任何想法可以用更精簡的方式表達？有沒有任何誇大、做作或是趕時髦的文字？你是否對某些沒有用的字句感到難以割捨，純粹只是因為你覺得自己寫得很美？

談「風格」：
	風格是寫作的人產生的一種有機體，就像頭髮一樣，是作者身上的一部分。強加上去的風格，就像戴了一頂假髮，乍看之下，會覺得這個原本禿頭的人看起來年輕了幾歲，甚至變英俊了，但是再仔細一瞧─如果戴了假髮，別人肯定會多看兩眼──看起來就是不太對勁。問題不是他頭髮沒有梳理整齊；事實上，他梳理得很好，讓我們不得不讚嘆假髮工匠的技藝高超。重點是：他看起來不像他自己。這正是作家刻意去裝飾文章的問題：你失去了讓你與眾不同的特點。讀者一眼就看出你在裝腔作勢；讀者要的是聽起來是真心在跟他們說話的人。因此，最基本的規則就是：做你自己。

談「為自己寫作」：
	「我是為誰而寫？」這個基本問題有個最基本的答案：你是為你自己而寫。千萬別設想你有一群廣大的讀者，因為沒有這樣的一群讀者──每一個讀者都是不一樣的人。雖然先前我曾經警告你：讀者都是沒有耐性的，但現在我又說你必須為自己寫作，不要擔心是否會有讀者追隨，這似乎有些自相矛盾。其實，我講的是兩回事，一個是指技藝，一個是指態度。前者是你能不能掌握確切技能的問題，後者則是你要如何使用這些技能來表達自我的問題。以技藝而言，因為手藝不精而失去讀者，那是無可原諒的，但是讀者喜不喜歡你，是否認同你的觀點、和你產生共鳴，那就不必擔心太多。你就是你，他就是他，讀者與作家合則來，不合則去。

談「文字」：
	枯燥乏味的詞彙造就了平庸的文章，千萬別讓自己淪落至此。想要避免的唯一方法，就是深切關心文字。要留意其他作家在遣詞用字時的抉擇，你在選擇用字時也要格外挑剔。寫作這場競賽，比的不是速度，而是原創性。

談「一致性」：
	好的寫作靠的是一致性，包括人稱代名詞、時態、語氣的一致性。你首先必須保持自己的一致性。一致性不僅可以避免讓讀者失去方向，也可以滿足讀者潛意識裡對於秩序的需求，保證一切都在掌握之中，讓他們感到心安。因此，你要在眾多變數之中選擇你的一致性，然後貫徹始終。因此，因此，在你開始動筆之前，先問問自己一些基本的問題。比方說：「我要以什麼身分來面對讀者？」、「我要用什麼代名詞和時態？」、「要用什麼風格？」、「我要用什麼樣的態度來面對題材？」、「我要涵蓋的範圍有多大？」、「我最主要的重點是什麼？」

【媒體讚譽】

	《非虛構寫作指南》是給整個世代寫作者的一部聖經，如果你想找到訣竅，寫出簡潔又有渲染力、說服力的文章，這本書就是你要的。
	──《紐約時報》（New York Times）

	在《非虛構寫作指南》問世之前，沒有一本寫作指南寫得如此之好且具有這麼高的可讀性，對語言的熱愛與尊崇充溢於字裡行間。
	──《圖書館期刊》（Library Journal）< "
9789571366357,"  
 以五年時間，指導超過一千人次創作，學生因此得到超過兩百個校外新詩、散文、小說及微電影的校外獎項。
  
 什麼樣的老師可以如此積極而有活力的指導學生寫出一篇篇精采作品？
  
 2014年師鐸獎得主蔡淇華老師跳開晦澀的學術用語，躲避俗濫的作文套詞，嘗試用感人故事，以及加入感性的生命書寫來召喚閱聽讀者。
  
 「文字應該成為被看見的能力！任何人都需要擁有書寫的翅膀，用寫作力飛上高空，讓自己被看見，也因此看見更遼闊、更壯麗的世界。」
  
 2015年應國語日報社之邀，開設「寫作力」專欄，獲得各級學校師生的肯定，引起各界讀者廣大的迴響。本書集結四十種寫作應具備的基本能力及創意，透過實例說明，一點就通，立即提升寫作能力，讓每個人都能透過文字書寫，勇敢表達自己！ "
