ISBN,書籍簡介
9789869857246,"  
★前輩送給大家的寶藏★

★作者獲頒「師鐸獎」，兩次！★
	★學習台語的最佳伴手（phuānn-tshiú）★

★法國規模最大的語言學習機構——巴黎市政府的巴黎成人教育中心（Cours d'Adultes de Paris）今年首度推出「台語課」！★

	 

	《台語的鄉土口味—俗諺、俚語》編著者顏勝堂，兩次獲頒「師鐸獎」，是位年屆八十，退休多年的中學校長。

	 

	他於1984年在嘉義縣東榮國中校長任內，被「趕鴨子上架」，用台語教授《論語》，從此開啟其台語應用之門。

	 

	退休後的他，返鄉擔任北港朝天宮（媽祖廟）志工，仍悠遊在鄉土文史、北港音腔的台語濃情中，並結識了一群實事求是的年輕朋友――中國醫藥大學台語研究社（學生社團）創社社員。

	 

	看到醫學系同學參加校外衛教服務，前往彰化縣大城鄉台西村幾次義診，因為鄉間長輩不諳國語，多以台語表達，加上同學聽、說台語不流利，在言語溝通方面卡卡不順，導致問診未臻完美，還因此創立「台語研究社」，欲提升衛教品質。

	 

	他深受感動，決定著手編著撰寫《台語的鄉土口味—俗諺、俚語》一書。

	 

	書寫的動機，在嘉許年輕人積極處事的生命態度，也想與樂意和關心台語、台文推廣的人士，共同分享台語的親切用語及音韻之美。

	 

	作者參考教育部訂頒的《台灣閩南語常用詞辭典》，以其豐富的人生見聞，將台灣鄉土語言中的俗諺、俚語，佐以獨特的品味說明，以條目列舉方式呈現。各條目以外的解說、敘述，也使用國文、國語，方便不諳台語的人士閱讀。

	 

	每個條目最上列是台語語詞，其下為台語羅馬拼音，再下為俗諺、俚語分類，最下方則用國語、國文解說。

	 

	讓我們一起感受、體驗台語之美。 "
9789864439874," 成語四格漫畫，一天一頁，晨讀5分鐘，從學到會！逗趣的成語漫畫，歡樂上市。200個以上的成語漫畫大集合符合108年課綱，培養閱讀力！全彩四格漫畫，活潑又生動，一起進入成語世界吧！每個成語背後都有一個故事，變成四格漫畫後，變得淺顯易懂，輕輕鬆鬆就學會。◎為什麼需要學好成語？因為……考試不僅會出現，我們的生活中更是圍繞著許多成語，報章雜誌、媒體新聞、言語談話間總是不免會看到成語的影子，躲不了更逃不了，最好的就是克服、學好它！◎你理解需要好好學習成語，然而……從文章上看到了許多成語，但是卻不解其意，只好一知半解的看過去。辛辛苦苦背誦成語，但是準備寫作或開口說話時，卻想不到貼切的成語。總是搜索枯腸找成語，結果翻來覆去就是那幾個成語，言語無味，辭不達意。可怕的是，錯誤的理解成語而誤用，最後貽笑大方，從此只好閉嘴不再用成語。所以，本書專為初學成語、想好好應用成語的人而設計，從「人」出發，分出內心情感與外在世界兩大類，再進而細分不同情境、不同狀態的主題，讓你快速選擇最適切的成語，好讓文章畫龍點睛，說話簡練有力！破除詞窮語塞的窘境，從現在開始海闊天空。◆本書關鍵內容：心智圖分類37種主題、200個以上四格漫畫、500個以上延伸成語、文學常識、100道以上練習題＊適讀年齡：生難字加注音，讀字不卡關。國小中年級  親子共讀，最佳入門國小高年級  自主閱讀，培養興趣國中以上    課外延伸，增加知識本書特色 ◎ 用生動的心智圖輔助，從人的內心情感與外在世界分類出37種主題，有效查找出配合情境的適當成語。◎ 四格漫畫的表現方式為兩類，一為畫出成語的歷史典故，方便讀者理解來龍去脈；二為成語的現代應用，讓讀者了解情境，能夠快速應用。◎ 每個成語皆輔以相近詞、相反詞，有效延伸學習。更補充了該成語相關的來歷、背後故事、額外的知識多多益善，豐富了視野，讀起來津津有味。◎ 附錄成語相關練習題，複習整本書的內容，確保融會貫通，從此應用成語游刃有餘、信手拈來！ "
9789571190624,"  
	榮獲文化部推介 中小學生優良課外讀物工具書類

	全書共收錄二百則成語笑話，有現代、古代、寓言等，書中文字皆以教育部頒訂的審訂音來標示注音，笑話後並附有該則成語的解釋、例句和語文小常識，藉由有趣的笑話來助長小學生的學習興趣，並引導其分辨成語中字音字形易混淆之處，讓小學生能認識正確的成語用字。

	隨書附贈「字音字形競賽模擬試題本」，有效提升學生的字音字形能力，不再因讀錯音、寫錯字而貽笑大方。

	這是一本認識字音字形、參加字音字形競賽，最實用的語文學習書。

	全書共收錄二百則成語笑話，有現代、古代、寓言等，書中以幽默的笑話來引導小學生認識正確的成語用字，笑話後並有介紹該則成語的解釋、例句，以及能擴大學習視野的語文小常識。 "
9789578018860,"  
台語俗語足精彩　一百篇的酸鹹甜
	台灣心　本土語言愛保留
	台語情　逐家攏來講台語


	走揣母語、親近母語，對俗語例句來學習，是真有效的方法。行佇台語文運動路上，真心推sak台語ê蕭平治老師，長期收集台灣俗語資料，經過編寫、整理，用活跳ê健筆寫做短篇散文，成做「台灣俗語鹹酸甜」系列，佇網路頂面分享，無論是學習、教學，攏真受著歡迎。

	這本《台灣俗語鹹酸甜》第四冊，分類整理一百條無仝類型的俗語，有生活實用ê、感心趣味ê、罕得聽著看著ê，搭配散文解說、情境對話，予讀者會當了解每一句俗語ê正確用法。佇每一篇俗語短文當中，也附註解欄，解釋一寡較艱難ê羅馬字kap漢字，予大人、囡仔攏會使輕鬆學台語、講俗語。 "
9789863446224,"  
世界這麼大，還能遇見你；你若不離不棄，我必生死相依……
時光銀河裡，最爛漫旖旎，樂此不彼的追尋與沉溺——愛情婚戀

國學歷史名家王立群，融合先秦經典、詩詞歌賦、影視劇集、現象觀察，
勾連成語背後的婚姻與愛情價值觀。



	好評推薦——
	宋怡慧（作家、丹鳳高中圖書館主任）
	徐秋玲（北一女國文教師）
	蔡淇華（作家、教師）
	敏鎬的黑特事務所（《人生自古誰不廢》作者）
	（依姓氏筆劃排序）


	是一本構思非常新穎且與生活情境結合的成語書！
	——徐秋玲

	作者對國學的廣博知識，以及詳細解說典故時活靈活現的文筆，都讓人感到十分愉快！講解古典文學中的愛情，更是融古貫今，相當精彩！
	——敏鎬的黑特事務所


就地取材表情意——禮輕情意重「投木報瓊」
	古代戀人贈送定情禮物重視的是情意，而非禮物的價值有多高貴，只要有愛，一支茅草都能讓對方欣喜無比。
	 
林子裡的愛情故事——約會聖地「桑間濮上」
	每年春天，農曆二月時節，視祭祀與繁衍為重大要務的周朝政府會舉辦相親大會，無論男女，只要看對眼，就能手拉手去旁邊的樹林約會。
	 
思念是一種病，生而死又復生——病相思「人面桃花」
	即使愛情不可靠，但卻讓世間男女為之瘋狂、朝生暮死，一如《牡丹亭》的杜麗娘，情不知所起，一往而深。


一見傾心、桑中之約、采蘭贈芍、山盟海誓、黯然銷魂、魚傳尺素、琴瑟之好……

	國學歷史名家王立群，結合時政和當前社會熱點，以廣博的學識和生動的筆觸，從上百個與愛情婚戀有關的成語，暢談其中的人情事故及隱含的文化精粹。
	 
	從邂逅、定情、熱戀，到相知相守、白首偕老；從相思、離情、分手，到愛入歧途、相愛不能相守……王立群暢談藏在成語裡的人情義理，以及古典時代的純粹之愛，帶領我們回歸到最私密的雙人世界；把短短幾顆方塊字，耐心打磨成顆顆閃耀的明亮珍珠，串成一條條優雅、精緻的愛情項鍊，重溫純情年代的本貌。

	全新視角，夾古敘今，王立群展現智慧觀察與理解，既介紹了成語背後的故事，又引領我們重回古典純粹的深情時光，讓我們讀成語同時也學處世。 "
9789578679337,"  
Wisdom changes life.


	全球第一本，以政治話題為題材，
	用詼諧的漫畫，結合中國成語的智慧，編著的書籍，
	更可作為經營管理策略的参考，幽默風趣，寓教於樂，
	是一本不可多得，很有趣、有用的書。

本書特色：

	■精選55則成語。
	■每則成語用詼諧的政治漫畫呈現，將每位人物刻畫得幽默風趣、活靈活現。
	■每幅漫畫搭配中文成語、羅馬拼音、英文字義，加上英文解說並切入商業用途。
	■閱讀時先看漫畫及羅馬拼音，猜猜看描繪的是哪句成語，翻面則是詳細解說。
	■每頁也可裁剪下來，作為單獨的藝術畫作裱框欣賞。
	■寓教於樂，實用又有趣，是自用送禮兩相宜的絕佳禮物書。 "
9789573910237,"  
穿越121則歷史事件  解讀成語的身世DNA
詳實生動的史料故事  深度認識成語的典故
學生的實用國學工具書


	全書以24史為軸幹，收錄121個成語，旁徵博引相關歷史事件，以豐富詳實的史料，仔細描寫每個成語所蘊含的意義、背後的成因及其影響，充分幫助讀者深入認識其時代背景，與成語典故的演進，可說是充實國學知識的最佳工具書。

	推薦熱愛探究中國文史的民眾閱讀，更適合國、高中學生作為培養思辨能力，充實作文例證的輔助教材；詳細又淺顯易懂的故事內容與敘述，對於小學高年級學生的閱讀學習亦十分有助益，可說是各年齡層都能有所獲益的文史讀物選擇。 "
9789869491907," 本書精選了八十多個名人與成語的故事。對每一個故事都進行編寫，力求通俗易懂，適合青少年閱讀。讀這些故事，能夠讓青少年讀者了解名人虛心好學、孜孜以求的精神。閱讀這些故事，能開啟青少年的心智靈感，點撥青少年的處世之道，激蕩青少年生命的漣漪，啟發青少年更多的人生思考，將智慧的種子撒播在青少年的心中。 "
9789571187020,"  
	想提升華語讀、寫能力，使其華語程度更上一層樓，就應該要多閱讀，單字量累積夠了，自然能下筆成章。此《俗語及俚語》一書，就是為了讓學生透過中國古典文學來認識中國文化及思維的系列套書之一。 
	這是一本就「俗語及俚語」逐一探源，以輕鬆活潑的文筆，把該句俗語及俚語形成的典故清楚、完整地描繪出來。全書收錄42篇俗語及俚語故事，包括〈三個臭皮匠，勝過一個諸葛亮〉、〈有眼不識泰山〉、〈人小鬼大〉、〈賠了夫人又折兵〉、〈禮輕情意重〉、〈食指大動〉、〈人為財死，鳥為食亡〉、〈掛羊頭賣狗肉〉、〈醉翁之意不在酒〉……等等。 
	每篇都以定義、例句、由來、單字、思考題等，加上漢語拼音、英文及插畫，期以求新求變、實用有趣的原則。讓甫踏入華語學習之門的學生，能學得快樂、，學得開心。在愉快的氛圍之下，日益增進華語聽、說、讀、寫的能力。 "
9789571180618,"  
不是死板板的成語故事！

不是單一老掉牙的成語提問！

依成語故事的劇情發展來設計的百分百【PISA多層次題目】！

	 

	１．選錄的１６篇成語故事符合中小學生學習能力，可從情節發展裡享受閱讀的趣味。

	２．依故事設計PISA四層次題目，旁及補充PIRLS，有效提升中學生的閱讀素養檢測能力。

	３．配合教育部全面推廣閱讀素養理念,大大提升學子的閱讀邏輯分析。

	選錄１６篇饒富趣味兼具教育正面意義的成語故事，依故事內容設計針對【十五歲青少年檢測的PISA四層次題目】，旁及補充小四的閱讀檢測PIRLS，有效提升閱讀素養能力。 "
