ISBN,書籍簡介
9789571192680,"  
	作者跳脫譯本的忠實對錯論述，透過生活譯例與流行文化闡釋譯論，並探究時下翻譯議題與譯觀的發展趨勢，如：「網路粉絲翻譯」與「超譯現象」。同時藉由不同理論的並述，建構對翻譯文化現象多重的思考框架，期待能為讀者開啟更寬闊的思辨視野。 "
9789862954201," 演說是一門語言表達的藝術，要在短短的時間裡，抓住聽者的思緒，讓他們的心情隨著演說內容起伏，結束後還能引起迴響，這是需要長期培養與訓練的，要有正確的步驟、有效率的訓練方案，也要講竅門。如何臨場？如何撰稿？如何訓練？如何運用聲音？如何展現節奏？如何掌握聽者的心裡？如何運用體態語言？甚是如何穿著？都是成敗的關鍵。作者以其擔任全國語文競賽評判二十年的心得，與多年培訓選手的經驗，為中小學教師與家長，以及選擇師資培育學成的大學生，提供了深入的導引，按圖索驥，必能成就演說場上發光的明星。新增！全國語文競賽講題彙整 "
9789862215975,  　　人的學習歷程是由口說語過渡到書面語，有別於一般人認為說話教學不重要的刻板印象，本論述試圖在說話教學上帶入創新的元素，為說話教學開創新視野。說話教學可以不單單只是指導學生透過說話方式進行溝通，還能把層次拉高到透過口語表達的過程中，激發對事物的深層感受，進而透過具備文化特色的文本念讀，提高學童對自身文化的瞭解和認同。論述中以莊子寓言為題材、讀者劇場為教學方法來設計一套。　　說話教學的理論架構，提供教學者、表演工作者、甚至是家庭做為提升學童口語表達的知識、技能習得，以及提升對自身文化認識的參考工具。 
9789572951927," 良好的表達能力，能讓你替自己加分，本書教你如何輕鬆的表達，進而成為卡奈基喔！ "
9789867648372," 本書分九部分,從基本認識開始,教您掌握口才的祕訣、了解口才訓練的基本原則及說話者的涵養、日常的談話術等,讓您說出充滿智慧與 幽默的話術,不僅""能言善道""不是難事,更能輕鬆擁有好口才。  "
9789578180659," 趣味演說高手
　從本書中，讀者可以得知：

　‧尋找一個接一個的創意、秘訣、工作表及練習來幫你讓故事更有效率。

　‧發掘如何創造成功故事的重點。

　‧掌握一些可以吸引聽眾注意的技巧及戲劇效果，像是製造伏筆及速度的快慢等。

　‧找出如何成為一個受人喜愛的說故事者並且讓你的演出平穩。

　‧保持演講的新鮮度－縱使你常常重複同一個話題。
作者簡介
　Joanna Slan 

　 她是一位演講事業繁忙的演說家及會議舉辦的領袖，是國際英語演講協會及演講俱樂部活躍的成員。曾多次在雜誌上發表文章，並且榮獲許多演講及寫作上的獎項，也是暢銷書《心靈雞湯》的作者之一。 "
9789574931590," 如何開金口
　本書的特色有：
　
　1.本書作者Alan Weiss博士以淺顯易懂的文句改變思考的迷思及促使讀者重新思考自己的方向，這是一本演說人不可或缺的必備寶典。

　2.從本書中，你將會學到：

　‧如何找到深入聽眾心坎的話題

　‧如何經營一群你從未接觸過的人

　‧如何應用你從事公司經營者、諮詢顧問的經驗提升至專業演說家

　‧如何贏得成功演說的技巧

　‧如何透過演說來增加收入

　‧如何將成本減至最低

　‧如何克服你對公共演說天生的恐懼

　‧如何成為演說舞台的明日之星

　藉由本書所提供的資訊、案例、小秘訣等，帶你進入一個會賺錢的專業演說世界。
作者簡介
　Alan Weiss 

　 聞名世界的演說家、作家及諮詢顧問，也是Summit Consulting集團公司的創始人及總裁。專業演說經驗非常豐富的他曾為General Electric、GTE、Mercedes-Bens、The Institute for Management Studies等許多集團公司做演說。其目前著有Money Talks、Managing for Peak Performance、Million Dollar Consulting、What Happened to Excellence等著作物。 "
9789578637825," 演講名師
　現今的社會是一個注重溝通及資訊大量快速傳遞的社會，也是一個需要懂得事實表達自己意見的時代。當意見的表達能夠清楚明瞭，對方懂你的意思時，許多事情才能順利的進行﹔反之，則可能影響到事務進展的效率，甚而產生不能挽回的後果。大則如：一筆高利潤的生意就此泡湯或著國家名譽受損，小則如朋友間的感情破裂等等。古人有言：「一言以興邦，一言以喪邦。」這句話正明白揭示了言語的影響力以及其重要性，但也不禁令人玩味道：究竟怎麼樣的語言才可以興邦或喪邦？

　有人認為說話並不難，這是不了解中國人所說的話。其實，言語中表達出的學問並不簡單，所謂「一樣米養百樣人」，因此，依照每個聽者的背景不同，所說的話必定會需要做出不一樣的調整，才能達到理想溝通的目標。

　本書將教您了解演講人應該要如何進入公共演說領域、演講所需的技巧、如何在保有主業的情形下從公共演說中賺取酬勞，並告訴你公共演說所要付出的代價，讓您成為快樂的演說人！
作者簡介
　威廉˙湯普生

　湯普生傳播公司的董事長，企業領袖們的演講教練，也是演講研習營的領袖。最近當選為美國演說家學會年度會員，也成為柯林頓總統的演說指導員。 "
9789576861871,0
9789575522490,"  
	我們無論在學校、辦公室，或者各種宴場合，常常有機會簡單介紹自己，以及即席發表一篇感言或評論。這時，您應如何作開場白呢？您知道一場成功且令人印象深刻的演說，可使您的人際關係更和諧，處理事情更得心應手嗎？

	 

	本書針對您的各種需要，告訴您一切應注意事項：包括說話速度的快慢，抓住聽眾心理的要訣，和搜集資料的方法等。此外，書中尚列舉許多演說實例以為參考學習之用。只要您靈活運用這些技巧，便能完全克服即席演講恐懼症，幫助您創造更光明美好的人生。 "
9789866225956," 演說是一門語言表達的藝術，要在短短的時間裡，抓住聽者的思緒，讓他們的心情隨著演說內容起伏，結束後還能引起迴響，這是需要長期培養與訓練的，要有正確的步驟、有效率的訓練方案，也要講竅門。如何臨場？如何撰稿？如何訓練？如何運用聲音？如何展現節奏？如何掌握聽者的心裡？如何運用體態語言？甚是如何穿著？都是成敗的關鍵。作者以其擔任全國語文競賽評判二十年的心得，與多年培訓選手的經驗，為中小學教師與家長，以及選擇師資培育學成的大學生，提供了深入的導引，按圖索驥，必能成就演說場上發光的明星。 "
9789866773600," 迎向眾人的目光，說演俱佳的表演一個故事是需要勇氣、技巧的。本書從實務經驗出發，告訴您如何全身動員，及事前、事後的準備技巧，一一的加以闡述，並穿插故事述說的概念，讓故事說得更動聽、更有趣、也更具想像力。書中也提到了經由說故事技巧的訓練、提昇，讓我們有機會和孩子再一次的重新學習、成長，發現不一樣的自己，讓彼此更快樂、更能享受故事的樂趣。當您具備成熟的說故事技巧時，不但讓您在面對大大小小場合，都能應付自如外，也讓您在家庭裡、職場上都能成為受人歡迎的”大人物”。 "
