ISBN,書籍簡介
9789864796922,  新增108年考題解析  全新增訂版建中40年國文名師　林明進獨創最強最高「笨作文」，全臺高中生必修！學生自學 × 作文教學 × 進階國文力 × 國寫無敵文章要「自在」，就要文章「自」在，先問自己的文字生命在不在？作文的基礎寫作是有竅門的，本書帶你下笨功夫，只有肯下笨功夫才能得真功夫。請仔細體會這本書的「笨方法」，本書要讓考生拿到該拿的分數。「國寫這樣寫」，所標榜的就是每一篇的編寫精神都是細部拆解。希望真正引導考生按部就班，練就硬裡子，透過仔細而精緻，豐富而多元，廣泛而深入的學習思維，從每一個環節腳踏實地的教考生最笨的基本功。➤獨家！名師親授國寫全面實戰攻略● 108、107年學測國寫深入解析● 106年國寫試辦題深入解析● 89年語文表達能力測驗深入解析● 106年國寫參考試卷深入解析● 國寫20大題型最權威歸納預測● 國寫寫作訓練策略➤高分作文這樣寫● 不求名言佳句，首重組織能力● 審題要細、構思要活、選材要嚴、布局要實● 剖析病灶、循序演練、掌握題旨、完美演出● 寫所想寫，寫所要寫，寫所該寫本書特色◎	建中名師林明進40年教學精華，全臺名校教師熱烈推薦，仿效建中學子高分關鍵。◎	根據大考中心歷屆考題歸納命題趨勢，深入分析、化繁為簡、化零為整、清楚歸類，是教師與考生國寫備戰最佳資料。◎	有系統、有步驟、有效能；考生自我訓練 × 教師教學指南。◎	少範文，多心法；給考生大魚，不如給一根釣竿。◎	揪出病根、正面提點；細部拆解、廣泛深入；練就硬裡子，培養真功夫。 
9789860689105,"  
小論文撰寫指導熱門用書！

這是一本完全指導手冊，教導您寫出一篇最出色的小論文！

	 

	廣受學生歡迎的《中學生小論文寫作完全指導》改版囉！第四版根據110年的最新修訂辦法，更新小論文撰寫格式要求，並修訂部分內容。

	 

	108學年度起，四技二專甄選第二階段備審資料，全面必採「專題製作學習成果及專業實習科目學習報告」，因此小論文的寫作更顯重要！

	 

	小論文寫作的精神，在於培養學生就業或繼續進修所需的專業與獨立思考能力，本書基於此一精神，悉心編排內容，以期幫助您在升學或就業考試上過關斬將！

	 

	本書分為六大篇，循序漸進地指導學生如何製作小論文，內容包括如何發想題目、設計流程、撰寫前言、整理文獻、說明研究過程、指出研究結果並下結論，以及文獻撰寫。

	 

	書中詳細說明各種寫作格式與參考文獻方式，示範各種寫作原則與要訣，讓您一看就懂，即學即會，立刻活用！

	 

	內容齊備：從零開始指導，按論文研究與寫作的步驟一一說明，讓您一步步掌握論文寫作的要訣！
	範例豐富：列出各種範例，指出各種常見的問題，並提出各種觀點，來幫學生激發創意思考！
	實作練習：設計各種練習活動，讓學生透過練習加以活用！
	圖解說明：採用圖解說明，幫助迅速且正確地理解，易讀易懂！
	彩色編排：全書採用彩色印刷，版面清楚，設計活潑，讓您達到最高的閱讀效率！ "
9789864522439," ★ 名家精彩句段亮點大解析★ 引導孩子開心讀名文，領略佳文美趣★ 快速提升寫作及閱讀鑑賞能力描寫就是一種文字化妝，當作者的文字，展現動人的姿采，讀者也會浸淫其中，並享受你的感覺，擁抱你的感動。俄國作家高爾基說過：「文學第一要素是語言」，同樣的主題有些人寫出來枯燥乏味，讓人無心閱讀；有些人卻可運用生動的語言，牢牢吸引讀者的興趣，這就是語言的魅力。為了幫助廣大的國高中學生有效掌握和運用語言，生動描摹思想情意，我們從數百萬文字資料中，提煉精華，編撰了這部《作文描寫大觀》。本書內容包括：「描景」、「狀物」、「寫人」、「記事」四方面，大部分採自中外散文作品，也有一部分來自優秀的中小學作文。每一門類都提供同一題材，多種寫法的文例，使讀者在「亮點欣賞」和「比較」中體認寫作的藝術與高妙。本書有豐富多彩的語彙，刻畫入微、形象生動的優美文字，富有表現力感染力的修辭技法，是搖筆寫作不可缺少的指導寶典，也是一部精采可誦的文藝讀本。 "
9789577637017,"  
	大多數學生都較擅長寫抒情文，卻對需要分析的「知性題」感到困擾。

	108新課綱強調學生「應能廣泛認識跨領域、跨學科的主題，並運用所學處理這些主題在不同面向上的問題，提出論述。」

	本書從「議題」入手，統整生命思考、教育人權、流行文化、人才移動、糧食問題、全球經濟、能源環境、科技發展等議題討論，引領你宏觀世界，鍛鍊理性思考，寫好學測國寫「知性題」的作文書。

	本書在「議題導向（知性題練習）」的國寫課程設計中，先列出相關知識，再提供相關情境與寫作材料，作為閱讀分析與反思評鑑的練習。其脈絡如下：

	1.課程思考，情境瞭望：提出問題，引起動機，強化學習認知。

	2.課程內容，脈絡化學習—─你要知道的常識：分成俯瞰問題、解決問題兩方向。展示全球議題所關注的層面、各國政策與團體所形成的方案，期待在有系統地input世界發展諸多面相的資訊之後，形成整體觀察，讓學習者得以站在此制高點上，output分析人情事理，建構立場及想法。

	3.遷移練習：以歷屆大考題為練習平臺，進而布置情境，發展出各類生活現象與問題，使學生思索，進而提出觀點。另提供「問題分析」、「內容方向」、「答題策略」導引思路，以解決學生撰寫作文時感到內容貧乏、無法融會貫通跨領域或跨學科素材，確立脈絡之困。

	康德曾說：「啟蒙」就是「勇敢地去探知吧！」

	每個議題都是一個啟蒙，像水晶體啟蒙，讓人們認為無法被實際證據證明的論述都是神話與謊言；閱讀與寫作，正是開啟自我對世界的認識、檢視自我的利器。

名人推薦

	漳州師範大學院長　黃金明
	國立臺灣師範大學國文學系教授　鍾宗憲 "
9789865505400," 學測「國寫」對高中教育現場造成超乎想像的衝擊與焦慮。針對「國寫」，高中師生非常需要符合一○八課綱新趨勢、涵蓋多元題型、命題方式靈活、質量俱豐的指引，幫助學生充分練習各種題型、適應各種考法，做足應考準備。 本書正是能滿足這些需求的優質、全方位的「國寫指南」，條分縷析的以各種題材，讓看似艱難的寫作應考陡峰，有更明確的跨越之法。由二十七位熱心的名師擔任「響導」，帶領學生成功越過大考「國寫」這座寫作的山峰。本書為「增訂版」，係學生專屬版（初版含教師使用的「名師示範讀寫策略與實作」單元，增訂版取消該單元，並針對學生需求，擴增全新命題十一篇）。總策畫謝佩芬教授，熟諳高中國文教材與大考命題趨勢，經常應邀為高中教師研習授課；因應全國師生對「國寫」增能的需求，特地邀請包括北一女、中山女中、建中、南一中等全國知名高中優秀教師群，共同研發編寫本書。■內容一精闢〈導論〉，深入解析「國寫」精神與趨勢文長二萬五千字的「導論」〈關於一○八課綱「國語文寫作能力測驗」之思考與因應〉，含金量極高，是備考必讀的精闢專文。謝佩芬教授將她對大考國文的長期研究、實務經驗及針對「國寫」研習授課、演講的精華重點，毫不保留的與本書讀者分享。（一）	關於大考資訊的基本認識。包括﹕「研究卷」、「參考卷」、「考試說明」的區分與作用，從國寫變革因由看備考方向，國寫命題理念與測驗目標……。（二）	關於「國寫」重要事項的掌握。包括﹕材料呈現方式與應對之道，題型示例與注意事項，準備方向與重點提示……。（三）	關於「國寫」備考的具體作為﹕溫故知新並發現問題，平日準備的方向，臨場作答注意事項……。■內容二二十六位名師，提供31篇高品質命題與解析。各篇均完整包括﹕命題說明＋審題方式＋寫作指引＋學生習作＋等級評分＋閱卷評語。 命題說明及審題方式，能夠協助學生精確掌握題旨，準確擬定書寫策略，妥善表達。學生的示範習作，均依大考評分標準給分並寫評語；觀摩其優缺點，能夠協助考生寫出易獲閱卷老師青睞的答卷。31篇命題，分類及命題篇數如下﹕★ 議題思辨：8題★ 非連續文本：4題★ 實用寫作：4題★ 二擇一：4題★ 自訂題目：3題★ 觀點陳述：4題★ 情意抒發：4題分類清楚，方便學生依自身弱點按圖索驥，找到合適的題目進行操練。學生可以加強練習平日較少練習的「圖表判讀」，以及練習寫「議題思辨」、「觀點提煉」、「二擇一」、「自訂題目」等各種題目，適應靈活的考法，提升實戰力。 本書特色【增訂版】七大特色★ 高度專業：   臺大中文系謝佩芬教授策畫、審定，專業洞見值得信賴。★ 全新改版：   最新增訂版為學生專屬版（初版含教師使用的「名師示範讀寫策略與實作」，增訂版則無）。★ 精闢〈導論〉，應考必讀：  〈導論〉大幅更新，深入解析一○八課綱「國寫」最新命題趨勢與因應方法，師生必讀。★ 迎戰新考法，新增11篇命題：   因應一○八課綱「國寫」最新趨勢變化，由高中名師群聯手設計新考題，較初版新增11題（篇），內容更豐富，題型更多元、靈活。★ 題型分類：   命題素材》議題思辨–8題，非連續文本題–4題。   考核能力》實用寫作–4題，二擇一–4題，自訂題目–3題，觀點陳述–4題，情意抒發–4題。            ★ 全方位操練，提升實戰力：   全方位操練，協助學生練習「議題思辨」、「觀點提煉」、「二擇一」、「自訂題目」等各種考法，提升實戰力；並加強平日較少練習的「圖表判讀」，協助學生提升觀點陳述與聯想創造能力。★ 打造國寫完全指南：   各篇均完整提供：命題說明、審題方式、寫作指引、學生習作、等級評分、閱卷評語。命題說明及審題方式，協助學生精確掌握題旨，準確擬定書寫策略，妥善表達。示範習作，均依大考評分標準給分並寫評語，供學生觀摩優缺點，更能寫出獲閱卷青睞的答卷。 "
9789869693332,"  
	寫作其實是一件好玩、可玩的事？寫作素材哪裡尋？一個小點子，如何變成一篇好文章？

	本書收錄第十三屆聯合盃全國作文大賽總決賽首獎、優選及各區初賽第一名文章。

	名家專文告訴你如何解讀、分析或詮釋生活中隨手可得的圖表材料，學習拾綴片段、編織細節創作好故事，掌握三個關鍵條件寫好時事評論文章。

	高中職、國中小學生 提升寫作力必讀

名家專文指導

	陳麗明 北一女中國文教師
	陳康寧 國立中正大學中文系兼任講師
	賴嘉綾 作家、繪本評論

關於閱讀寫作，我想說的是……

	圖表判讀關涉到個人如何使用閱讀理解策略，不論是檢視、切割、分離或排序文本中的訊息，總要不辭繁細，不憚分析，而後才能或演繹、或歸納自己的見解，總之步驟越是清晰，就越能精準地分析文本或摘要內容，也更能自信地品味理趣、表達觀點。—陳麗明(北一女中國文教師)

	概念清晰、好的理由、聆聽他者，是一篇好的時事評論文章的三個關鍵條件，符合這三個條件的文章，通常能夠具有相當的說服力，並且能夠有效促進公民的對話。。 —陳康寧(國立中正大學中文系兼任講師)

	一個簡單的人、事、時、地的舉例，想要寫故事或是說故事的人，通常照著時間整理這些脈絡，就能開始。但開始後，也可以調整前後順序，增加懸疑和拉緊讀者的專注力。—賴嘉綾(作家、繪本評論)

	  "
9789577632517,"  
	這是本會考作文的考試引導。包括考試型態與作答方法；會考作文怎麼考？考哪些？如何「回答」比較好？為了達成這樣的目標，本書特色及使用方式如下：

全書共五個單元包括：
	1.解析會考寫作測驗：包括應試要訣、考試8大闐黑禁區、會考作文出題與評分原則、如何擬定大綱（小恐龍結構法）……等。

	2.語詞認知與寫作：包括修辭簡介與練習、文章的開頭、文章的結尾……等。

	3.說故事的記敘文：包括什麼是記敘文、如何寫記敘文、分類與寫作方向……等。

	4.道心情的抒情文：包括什麼是抒情文、如何寫抒情文、考試會出現的題型……等。

	5.談想法的論說文：包括什麼是論說文、寫作要訣……等。

	全書還包括齊格飛教你一招、分析歷屆試題；觀摩及分析六級分作文範例、名家作品及模擬寫作等。

二、使用方式：
	1.先攤開整張考試地圖：會考作文延續基測作文，介紹會考作文的基本認識和因應策略。
	2.打點應有的寫作裝備：面對題目，傳授怎麼寫、寫什麼？如何分析題目、取材及架構文章。
	3.熟練駕馭各種文體：不同文體有不同寫作心法，可從本書一一吸收和突破。
	4.逐步走出廣度與深度：本書收錄多篇好文，可從中學到好招、妙招，功力倍增。
	5.查閱和複習方便迅速：條列重點，以簡要文字提醒寫作陷阱及注意事項。

	請要求自己多做練習，才能把書上的變成自己的，以實現自己在考場上的完美演出！

本書特色

	1.這是一本會考作文得高分考試指引。
	2.補教會考作文名師私房教法、應考祕訣大公開。
	3.認識會考作文出題及評分原則。
	4.熟練各種題型、文體的寫作心法。
	5.附104～107年會考作文解析。 "
9789571193120,"  
	●指導學生榮獲【全國工科技藝競賽】全國 第一名
	●指導學生榮獲【106年統測成績】全國 第二、三、四名
	●指導學生榮獲【106年統測國文成績】全國 第三名 96分
	●大愛電視台【國民漢字須知：漢字、成語即時通】節目主持人
	●嘉嘉老師苦拚三年的求學歷程，激勵無數學子！

	國文女王想告訴你三個祕密：
	一、國文可以理解，這本書就是高分祕訣！
	二、簡單實用作文名句加分術，讓你快速滿級分！
	三、嘉嘉老師的學習歷程與獨特心法，一定可以激勵你！

	嘉嘉老師被學生號稱為「大魔王」，發明了「理解式國文學習法」，並以「沒有不可能」成功心法和「魔王試煉」獨步教育界！

	嘉嘉老師曾經無知狂妄的求學歷程影響了無數學子，讓徬徨無助的孩子看完書後感動落淚，從懂事到奮發向上！

	嘉嘉老師要告訴你的是整個人生！本書傳授給你的終極祕密，讓你對教育、對國文、對人生、對教學都將獲得全新啟發！ "
9789863443902,"  
一本針對國中會考「寫作測驗」而設計的應考神奇策略！準考生要馬上看。
最經典的「國中會考作文題型」，熟練30種心法，作文考試無往不利！
	 

	繼暢銷書《學生》、《學生2：溫暖的手勢》之後，建中名師林明進──《商業周刊》部落格專欄作家，教育部「基測國文作文策略與實例」編撰，全國國語文競賽各級作文評審，近40年作文教學精華，中國大陸也要借鑑的作文心法大全。

	．《笨作文》30篇題目都是師大心測中心不斷研發的測試題，題題都有代表性。只要反覆實戰練習，學好這套基本功，上到考場，最短時間內，也能自然下筆，寫出好作文。

	.《笨作文》是一本針對國中會考脫胎換骨的應考策略，標榜的就是要讓你「馬上」操作，一看就懂。

	.《笨作文》不提供任何優質的範文，旨在幫助學生獲得心法，寫自己想寫，寫自己要寫，寫自己會寫。憑自己本事寫出來的文章就是自己的最佳範文。

	面對作文題目，下筆為文前，為何常常容易陷入語意不清、表達不出本意的困境？
	在手腳冰冷、手足無措的窘境下，如何冷靜地面對題目，擺脫腸枯思竭的痛苦？

	寫作一篇文章容易，但是，寫作一篇好的文章則必須歷經千錘百鍊的過程才可得。這是一本教導中學生建立正確作文態度、如何作好一篇不落俗套文章的學習寶典。它強調不依賴範文，旨在幫助學生寫出有自己味道的「自在文章」。

	《笨作文》的「笨」，旨在期勉同學以實實在在、按部就班的態度學習作文章。
	林明進老師教我們作文力的培養，首重以下五項要點──
	馬上審題：審題要有真功夫，大處小處不馬虎，題目不能模糊，題意務必清楚。
	馬上立意：建立文章有靈魂，一新耳目找竅門，靈感激盪乾坤，開發創意真神。
	馬上構思：構想思考畫藍圖，四面八方找思路，統整全篇脫俗，設計變化自主。
	馬上選材：素材求精不求繁，篩選貴嚴不貴多，選對不如選好，選俗不如選新。
	馬上布局：起承轉合不呆板，有鳳首有豬肚也要豹尾，有章法有安排也要謀篇。

	全書精選30篇經典題目，以運思的完整步驟作分析，強調接到一篇作文題目，如何從審題、立意、構思、選材、布局，到直接進行寫作，快速養成一套具體有效的實戰策略。

	林明進有條不紊、循序漸進的解析，為學生畫出寫作的每一個細節和重點，指點出學生寫作時容易犯下的通病，幫助學生找到實用且有益的作文訣竅。

	生活經驗是寫作最佳的取材場所，圍繞在生活周遭的人、事、物，俯拾即是，好好運用本書五項訣竅，大膽從自己的心路歷程思索、觀察和想像，反覆練習。有了這些訓練，你已獲得了作文的基本心法，加上平時個人的閱讀累積，自能寫出一手滿分好作文。 "
9789865678647,"  
★一本中學生提升作文與語文能力的必備書！

★感謝各大學校團體推薦為學生作文參考用書！

★培養學生品格教育，就從寫作開始！ 

  

 如何巧妙修辭、創造好句子，

 是作文的首要任務！，

 寫作時加入一些成語、典故與俗語，

 將讓你的文章更生動！ 

  

善用文藻語彙的生動意涵，你也能引人入勝！

  

 一篇引人入勝的文章，除了內容豐富感人外，最重要是語言文字要生動，在把握文體特徵的基礎上，靈活地運用各種表達方式，揚長避短，滲透融合，進一步增強表達效果。

  

 在運用語言的過程中，適當地運用各種成語、典故、慣用語、俗語等等，能使語言更親切生動。語文的使用是一種技能，一種習慣，只要擁有豐富的文藻語彙，在寫作時遣詞造句就不會貧乏，可以運用自如，使文章增加光彩。 "
