ISBN,書籍簡介
9789578017443,  寶島特有‧台灣限定台灣人不可以不知道的台灣話【推薦專文】豬頭皮(音樂人)、柯董(濁水溪公社)、魚仔林(拷秋勤•勞動服務) 【金牌讚聲】恆春兮(職業黑手兼資深廣播人)、吳國禎(吳樂天弟子，廣播達人)、許慧盈(專業廣播主持人)、陳豐惠(知名電影台語指導)不四鬼、阿沙不魯、低路、釘孤枝、漚梨仔假蘋果、烏魯木齊……這些道地的台語詞彙，大人、囡仔都會說，但這些「親切」的父母話是怎麼來的？它們又是如何演化，在台灣人的口中流行起來的呢？「粉紅色小屋」長期關心台灣土地人文，曾於《自由時報》發表「台語原來是這樣」專欄。《台語原來是這樣》一書所輯錄的專欄圖文創作是他們對台灣語言的關懷，也是新世代與母語的對話，傳統與創新交織，引領讀者反思本土語文在台灣社會的困境。本書除了收錄台語詞彙的典故考證、釋義、沿用例句與小道消息外，搭配俏皮可愛的插圖，讓台語文化充滿生機與創意，顛覆過去對本土語文的想像！就讓我們跟著「粉紅色小屋」工作室，一起來探索這些口耳相傳父母話的身世之謎吧！ 
9789578019522,"  
台南限定，絕對道地；不怕亂想，只怕不講。

人氣組合「粉紅色小屋」圖文力作第二彈

帶你聽台南、練台語，啟動你的母語超能力

	 

	台南不只是一個適合人們作夢、幹活、戀愛、結婚、悠然過活的地方，更是一個聆聽台語、學習台語的聖地！

	 

	出身台南的台語圖文團體「粉紅色小屋」，繼第一部人氣作品《台語原來是這樣》後，繼續他們學習、收集台語詞彙的旅程。透過細膩的觀察、討論與聯想，在台南的台語日常當中，挖掘曾經聽過或初次耳聞的道地台語詞，細細品味只能透過台語承載、記憶的文化、歷史與生活細節。面對習慣用華語命名、討論的新事物，又該怎樣賦予它們台語的名稱和內涵，為台語注入現代的活水？

	 

	輕鬆逗趣的內容，Q萌可愛的插畫，生動實用的解說，連結回味懷舊的人情事物，《台語原來是這樣》第二集堂堂登場。快跟著粉紅色小屋，一起鍊成新時代的台語腦，找回咱的台語喙！

	 

	◎文化部「本土語言創作及應用補助出版」作品

	 

本書特色

	 

	1. 親切好讀、活潑逗趣的日常散文，紀錄學習台語的台南生活日常，連結台南在地文史，放鬆閱讀、學台

	語無負擔。

	 

	2. Q萌逗趣的台語詞主題插畫，以圖像表現、解釋台語詞彙及應用情境，大量情境例句，趣味閱讀、深化印象。

	 

	3. 附「新詞配給」單元，收錄數種主題的台語自創新詞範例，和讀者一起腦力激盪，尋找、發明現代台語詞彙，傳承母語鬥陣來。

	 

徛名oo-ián

	 

	出外講台語（台文推廣專頁）

	台南妹仔AYO（台語迷眾頁、Youtuber）

	朱頭皮（搖滾歐吉桑）

	邵大倫（金鐘主持人）

	魚仔林（勞動服務樂團主唱）

	臺灣話ê簿仔紙（台文推廣專頁） "
9789868541825,  本書為《台語能力檢定考試實務導論》的改版本書由全國第一個專業台語認證機構「國立成功大學台灣語文測驗中心」正式授權出版，其內容特色為介紹台語認證理論與實務、分析測驗的題型（閱讀、聽力、聽寫、口語）、更新增「聽力測驗對話試題」及提供應試技巧，並附全真模擬試題與CD光碟，是報考「全民台語認證」參考用書的首選。本書特色◎一本報考全民台語認證參考專書 ◎介紹台語認證理論與實務 ◎解析現行台語認證題型與考試方法 ◎附全真模擬試題與CD光碟 ◎新增「成大台灣語文測驗中心漢羅台文實務用法」 ◎新增「聽力測驗完整對話試題紙本」 
9789578019164,"  
散食囡仔變做臺語博士
外文專業行入臺文志業
勞苦業命體悟自由放下
一切　攏是愛攏是恩典
萬項　攏感謝天公伯仔

	有一種人生，家境散食，阿母的愛，予伊免一下出世就送予人做囝。
	有一種人生，骨力拍拚，戇戇仔做，天公伯仔攏知影嘛定著共伊疼。
	有一種人生，拍死毋退，無驚無惶，欲一生為臺語教育大步向前行。
	有一種人生，自由自在，無為名利，欲共臺語的媠佮趣味予人知影。

	本土語言傑出貢獻獎得主、資深臺語指導員王秀容，用簡單的文字、日常的話句，寫出伊頭一本臺語有聲散文集。對散食的囡仔時代，青春的讀冊歲月、溫暖的家庭故事、有甘有苦的婚姻經驗、勞苦的教師生涯、抗癌的艱苦病痛，對出世四個月寫到五十歲。伊堅心為臺語奉獻拍拚，活出有意義的性命，伊將人生每一擺的暗影佮奢颺，韌命佮認命，看破佮突破，用真心真情講故事予恁聽，用臺文活筆寫出女性的運命，用臺語媠聲講出女性的心聲，欲招逐家做伙來傳承臺語文、譜唱臺語的美麗之歌。

本冊特點

	◎教育部臺語推薦用字、詞語註解，學臺語真簡單。
	◎作者全冊朗讀，QRcode隨掃隨聽。 "
9789869723763,"  
	小隱士是誰？他為何想要一個家？故事的開頭沒有馬上解答讀者的疑惑，只見尋常的夏日景象，動物與人們在各自家中，躲避即將襲來的颱風。直到開始下雨，才看到主角——寄居蟹（寄生仔）。住在養樂多罐子的寄居蟹，躲在潮間帶石縫歌唱，夜深了，星星邀請他出來玩耍。於是寄居蟹不顧父母的警告，離開石縫，來到沙灘手舞足蹈。腳步聲逐漸靠近，寄居蟹才意識到，在劫難逃了！

	 

	小女孩拾起寄居蟹，從盒子中拿出五個鳳螺殼，向寄居蟹道歉，這才娓娓道來。原來，小女孩（囡仔姊）曾經將夜市買來的寄居蟹當成玩具，竟然害死寄居蟹，從此愧疚不已。這是一個省思生命、人與自然的故事，文字儘管平鋪直述，卻有著多元的視角與細緻的形容，值得讀者細細品嚐。直至最後，才明白，所謂的「小隱士」，就是寄居蟹，而這個名稱也似乎意味著更深刻的意涵。

	 

	本書設計為給國小中、高年級學生閱讀，文字上有許多細節需要親子共同思考。語言表現上也更有層次，有許多台語特色的疊字詞運用，如「kòng-kòng叫、pho̍k-pho̍k落、tsha̍p-tsha̍p-nih」，故事中亦提及許多與沙灘生態有關的詞彙，搭配細緻而有線條的圖片，讓讀者更能進入故事，也有助於學習部分較為困難的台語詞彙。

	 

	本書為2017年「阿却賞」兒童繪本徵選的得獎作品。李江却台語文教基金會所舉辦之「阿却賞」比賽已有二十年歷史，為國內最具指標性的本土語言創作獎項。考量市面上優質兒童台語繪本數量稀少，為讓家長們有更多優良的兒童讀物選擇，並期使母語生根於國家未來之主人翁，自2015年起，阿却賞特別徵選台語繪本故事創作。業經專業評審後之得獎作品，與美術工作者合作，委由台語傳播企業有限公司出版。希望在華文、英文充斥的繪本市場，開創出不同以往的嶄新面貌。

	 

	※本書榮獲文化部本土語言創作及應用補助 "
9789577636263,"  
	參加閩南語字音字形競賽及閩南語語言能力認證最管用的語文學習書！

	本書著重實用性，所收錄的內容是作者根據多年的閩南語教學經驗及歷年全國語文競賽閩南語字音字形競賽所出現的考題後，挑選出基本、重要、核心、考試命中率較高的詞彙，並配上「對應國語」、「七字仔」、「四句聯仔」等單元，加深讀者的學習印象，讓讀者瞬間學好閩南語字音字形。

本書特色

	一、詞彙更為精簡：挑選基本、重要、核心、考試命中率較高的詞彙，並盡量讓同一詞彙只出現一次，以減輕讀者學習負擔。

	二、增加對應國語：詞彙除列出台羅拼音外，亦加上對應國語，讓讀者以熟悉的國語，來做學習遷移，藉國語的協助，幫助讀者了解該閩南語詞彙的真實意涵。

	三、標示考試年分：將歷年全國語文競賽閩南語字音字形競賽所出現的考題一一標示清楚，有助於讀者掌握、分析比賽方向。另針對常弄錯的部分，引導正確的用法，對準備比賽的讀者有很大的幫助。

	四、同韻母用字表：為了彰顯閩南語聲韻之美，將相同韻母的文字用表格方式整體表列，可讓讀者利用相同韻母的文字，創作出聽來入耳、饒富音樂性的「七字仔」、「四句聯仔」。

	五、增列文白異讀：將同一字的文白音，甚至是替代字的標音及字詞示例一一條列，讀者可輕易掌握文白音的正確用法。

	六、整理易錯部分：將閩南語詞彙中，整理出1.同音異字；2.同字異音；3.同字輕聲變調；4.近音異字；5.近字異音；6.近意異字；7.兩同字異音且成詞；8.國閩語順序相反詞；9.國閩易混字詞；10.定用毋著的詞等容易搞混的部分，以供讀者能夠正確區分。 "
9789578018815,"  
	｜最實用的臺語演講教戰手冊｜

	20餘年臺語演講比賽第一線指導經驗之大成

	跳脫臺語僅能使用於日常之迷思
	羅列常用俗諺、重要學術名詞等，擴大臺語使用之範圍
	除增進臺語文能力，更可從本書體會臺語之美

	本書循序漸進從理論到實務，演講內容端也從簡單的名詞到整篇的解析，適用於入門與進階者。

	▍本書特色1－理論Ｘ實務
	◎為演講打好基礎
	啥物是演講｜演講ê基本修為｜演講ê通則｜演講ê準備｜常在講毋著ê音佮調｜講正港ê臺語詞｜講合味ê臺語句

	◎從實務累積經驗
	即席演講ê題目｜演講ê審題佮拆題｜完整ê結構設計｜ 大綱設計舉例｜顯頭、媠尾、演中央｜臺風原則佮訓練

	▍本書特色2－最好的實戰手冊
	◎收錄演講題目
	臺灣俗語真趣味｜我學臺語ê經驗｜講咱臺灣人ê禁忌｜臺灣歌謠鄉土情｜欲按怎創造臺灣新文化？｜啥物是臺灣ê價值？｜我上欣賞ê運動員｜臺灣是一个海洋國家……
	◎羅列精選俚語與例句
	歹勢一時，慣勢就好。｜歹勢食無份，慣勢面袂紅。｜毋管好囝、歹囝，攏是龜跤龜內肉。｜尪姨順話尾，假童害眾人。｜媠，媠無十全；䆀，䆀無加圇。

	《臺語演講三五步》
	毋但是指導大人臺語演講比賽ê祕笈，
	閣是順利通過臺語認證B級C級ê工具冊，
	對欲學臺語ê人幫贊嘛真大。

	．若準我毋講母語(族語)，欲叫啥人講？
	．若準我佇生活中毋講母語(族語)，啥物時陣講？
	．若準我上課毋講母語(族語)，欲按怎予母語(族語)有價值？
	．若準我佮序細講話毋講母語(族語)，欲按怎共母語(族語)傳予後代囝孫？

	｜母語教育宣言｜
	一、任何語言攏是人類共同ê遺產，攏必須受制度ê保護和提供永續發展ê機會。
	二、母語（族語）教育是天賦人權，不容剝奪。
	三、母語（族語）教育必須生活化、文字化、文學化和社會化才會成功。
	四、母語（族語）文字化ê原則是科學化、簡單化、優美化佮國際化。

	｜咱主張｜
	一、對幼稚園到大學，攏愛有母語〈族語〉ê課程，並且列入升學考試ê科目。
	二、用制度救母語，從事國家公務ê人員，攏愛通過本土母語〈族語〉ê認證。
	三、設立「傳統語言區」，規定當地路標、招牌，議會開會，必須愛用傳統語言。
	四、設立母語〈族語〉ê「國家文學獎」，提升母語〈族語〉ê地位。
	五、訂定「語言保護法」，規定各發行報紙應有一定比例ê本土母語〈族語〉欄。 "
9789869442046,"  
	「歇後語」的語言藝術，在數千年前已產生於民間，並在廣大的群眾中流傳久遠。其詞語幽默、詼諧、生動的特點，將中國語言的特色發揮的淋漓盡致。不但為群眾所喜愛，也受到語言專家的重視，並常常為各種文學藝術形式所採用。

	可是隨著時代的演進以及國語的普及，如今很多閩南語的字面含義，及其背後衍生的意思，很多民眾常常是一知半解，有些甚至是一竅不通。其實，不管是俗語、諺語都是我們日常生活語言中非常重要的部分，因為文辭固定，含義豐富，流傳廣遠，長久以來已經成為人們認識社會生活的指南，對時代社會的思想、精神、文化、的形成和發展產生重要的影響。

	在各種形式的對談或作品中，俗語、諺語普遍被引用，這些都一在說明它是一種大家樂見的表情達意模式。為了滿足廣大民眾的需求，我們編輯《閩南語歇後語——四句聯》，提供鑽研民俗文學或對俗諺語有興趣的讀者使用。

	雖然教育部已經公布「臺灣閩南語音標系統」，但對臺灣母語的專用字體與字形卻始終未加著墨。尤其是字體、字型的統一規定，致使坊間出現學者、專家自行創作的臺灣母語字型、發音的版本，讓讀者莫衷一是。

	而且教育部也沒有大力推展，一般民眾即使看著公布的詳細內容，其獨特的解說模式卻讓人難以了解，因此在編輯此書時倍感困難。當碰到應該以母語發音的字形時，我們卻無法編輯。唯有以同音或近音之字形予以取代。若實在找不出近音的字體，我們只有以英語語系的羅馬拼音來取代了。關於這一些，還希望讀者能夠見諒。

	願本書的出版，能增加您對臺灣母語的直接認識，更能分享老祖宗所遺留下來的文化精髓，在生活、工作和休閒時為您帶來一些方便，增添生活上更多的情趣。 "
9789577638991,"  
◎快速正確學習閩南語（台語）的最佳注音符號


	本書原為漢語拼音研究，為閩南語（台語）及研究漢音（中古音）而設，由國語注音符號擴展而完成。

	此套注音符號系統：
	1.可注閩、台、國語。換句話說，可注上古語、中古語、近古語及現代語，並能了解商漢語至胡漢語，暨上古漢語至現代漢語之間的演變。
	2.為快速正確學習閩、台語所必需，對漢音研究及古典詩詞寫作有所助益。

	若中文、台文系學生及全國中、小學教師能加以學習，對閩、台語的推廣，就能如虎添翼。 "
9789578019041,"  
翻譯超過300種語言的世界文學經典，走揣仝款的純真。

《小王子》作者120歲誕辰，台語有聲版精彩出世。

	 

「上蓋重要的物件，用目睭是看袂著的。」

	 

	小王子是對真遠的小行星B-612來的，這是一粒一工會當看著四十三擺日落的行星。佇這粒細細粒的行星頂面，伊有三座矮矮的火山，幾欉會將行星鑽破的猢猻木，閣有一蕊愛嬌閣驕傲的玫瑰。

	 

	有一工，小王子佮心愛的玫瑰互相使性地。伊決定離開，去揣新的朋友。佇旅途當中，伊拄著無子民的國王、向望有人共愛慕的虛華的人、規工燒酒醉的酒鬼、直直算天星的生理人、無法度歇睏的點燈人，佮無咧出門行踏的地理學家。每一个攏真有個性，但是攏無通做朋友。

	 

	最後伊來到地球，拄著一隻狐狸教伊壓落性的道理，予伊知影彼蕊玫瑰對伊家己的意義。終其尾，佇撒哈拉沙漠當中，佮有淡薄仔囡仔性的飛行員相拄，做伙走揣性命的純真……

	 

本冊特色

	 

	★直接對法語翻譯台語

	★專業審訂，全台語朗讀，QR Code隨掃隨聽

	★特別收入「台北小王子」、「府城小王子」跨頁插圖

	 

	◎文化部「本土語言創作及應用補助出版」作品

	 

【華語翻譯】

	 

超過300種語言譯本的世界經典，尋找同樣的純真。

《小王子》作者120歲誕辰，台語版精彩問世。

	 

「最重要的東西，用眼睛是看不到的。」

	　

	小王子是從很遠的小行星B-612來的，這是一顆一天能看到四十三次日落的行星。在這顆小小的行星上頭，他有三座矮矮的火山，幾欉會將行星鑽破的猢猻樹，以及一朵嬌媚又驕傲的玫瑰。

	 

	有一天，小王子和心愛的玫瑰互相耍脾氣。他決定離開，去找新的朋友。在旅途中，他遇到沒有子民的國王、渴望有人愛慕的虛榮的人、整天喝醉的酒鬼、一直計算星星數量的生意人、沒辦法休息的點燈人，以及沒有出門走走看看的地理學家。每一個都很有個性，但都當不成朋友。

	 

	最後他來到地球，遇到一隻狐狸教他馴服的道理，讓他了解那朵玫瑰對他自己的意義。然後，在撒哈拉沙漠當中，和還懷有一些童心的飛行員相逢，一起尋找生命的純真……

	 

本書特色

	 

	★法語直譯台語

	★專業審訂，全台語朗讀，QR Code隨掃隨聽

	★特別收入「台北小王子」、「府城小王子」跨頁插圖

	  "
