ISBN,書籍簡介
9789570852097,"  
商業中文最新穎、最符合現代情境的教學教材
 華語教學最權威—國立臺灣師範大學國語教學中心 編寫開發

  

系列規劃
 此系列共兩冊，每冊共十課，課本均附作業本。是提升學生在商業環境使用中文能力的教材。

 第一冊著重在公司內部的交流或與同事的交流，第二冊著重在公司外部的交流實況。課文的主題情境從描述新人的第一天、員工旅行、產品的行銷、客訴的處理，到裁員、公司併購等都囊括在內。

 各冊教材分別包含課本、作業本及教師手冊。每課包含對話、回答問題、個案分析、文化點及課室活動。

程度
 此教材程度規劃相當於 CEFR 的 B2-C1 或 ACTFL 的 Advanced-high，適合學過《當代中文課程 4》或《遠東商務漢語 3》，以及需要在工作中使用中文的學習者。

Introduction
 This two-volume series is a practical learning material for students working in a Chinese working environment. Each volume has ten chapters, with a workbook attached.

 Volume One aims to strengthen workplace communication with colleagues and bosses; Volume Two focuses on handling external affairs. Series consists of a wide range of topics including first day of work, company trip, marketing, customer complaint, layoff and merger and acquisition, etc.  

 Each volume includes a textbook, a workbook and a teacher’s manual. Each chapter contains dialogue-based question, case study, culture appreciation unit and comprehensive exercise.
     
Level
 Advanced Business Chinese is suitable for learners who have complete A Course in Contemporary Chinese Volume 4 《當代中文課程 4》 or Far East Business Chinese Volume 3《遠東商務漢語 3》. This series covers levels B2 to C1 in the CEFR, or Advanced-high in ACTFL Guidelines.

Highlights
 Including dialogue-based questions and case study for workplace problem solving.  
 Including detailed explanations on useful expression.
 Including cultural appreciation unit based on Chinese workplace.
 Including a synopsis of learning and grammar focuses for each chapter.

本書特色
 　
 以對話及個案分析讓學生運用所學，在實際的商務個案中討論和解決問題。

 在語言點的挑選上，不同於傳統語法點的做法，而以較長的句式呈現，並具體說明與練習這種語言表達方式可以用在什麼商業情況下。

 文化點的設計則是著重在華人商務行為或活動的描述，利於學習者跨文化溝通。

 每課清楚列出當課重要的學習目標與語言功能。 "
9789860511970,"  
台灣最具權威性、代表性的華語教材

	     
	新版實用視聽華語共分(一) (二) (三) (四) (五)等五套，每套包含課本、教師手冊、學生作業簿、教學MP3等教材，由台灣教育部策畫，是目前最具權威性，最完整而實用的成人華語鉅著，受到台灣各華語中心及補習班喜愛並廣為採用，未來將陸續規劃出版電子書。
	 
由基礎學起，最適合母語非華語人士的教材
	   
	本書專門為母語非華語的人士設計，著重於會話練習，由訓練學習者的基本發音做起，透過課文對話，帶領學習者逐步熟習常用字彙及語法，再配合MP3輔助光碟，讓學習者達到日常生活中能流利使用華語的目的。書中所有生字與生詞例句，係採用注音符號、漢語拼音、通用拼音並列，以增加讀者多元的認讀方式。
	 
架構完整，學習面面俱到
	     
	本教材為培養初學華語者聽、說、讀寫能力，課程設計以語法句型為骨幹，配以中國人日常生活用語，以期達到實學實用目標。每冊教材所包括的內容大致如下：1.課文、對話；2.生字、生詞及用法；3.語法要點及句型練習；4.課室活動；5.短文；6.注釋。
	 
最新修訂第三版，改進缺點、強化優點
	     
	由於社會快速變遷，《新版實用視聽華語》部分內容已無法符合教學現場的最新需求，因此台灣教育部再度進行編修計畫。第三版採納各方使用者的意見，修改不合時宜內容，適度增加例句及生詞的重現率，配合全新的繪圖及照片，有效輔助學習。

	◎第二冊共13課，本冊重點是延續第一冊的內容，介紹更多實用的華語語言形式及語言功能，使初級學習者能夠更準確、流利地進行日常溝通。本冊共有生詞 469 個，語法 41 則。 "
9789866371844,"  
	有鑑於越南與台灣文化交流越來越蓬勃發展，台商與中國進入越南投資越來越多，加上越南人在台生活、留學、工作等等…為了適應新環境，大家不斷的努力認真學中文。大多數人說中文算流暢，甚至有的還說的很流利，但讀寫能力還有很多限制。因為中文字很難學，尤其是來台工作的越南朋友，因為忙著工作，沒時間和機會可到華語中心學習。為了克服這些困難，讓越南鄉親們學中文速度效果加快，作者編寫了這本書，主要是關於日常生活常見的主題。詞彙豐富、教學仔細，每一個字每一個筆畫都詳細說明。只要認真維持，每天花很短時間學習，聆聽華語教師錄製的音檔，你一定很快可以成為華語專家。

	這本書適合各種對象、年紀。尤其是來台工作的越南朋友，還有嫁入台灣的越南配偶，想要提升自己讀寫的能力，只有“練習、練習、積極練習＂，這樣你（妳）一定會成功的。

從零開始學起，在家自學您也能成為華語專家！

	1. 認識漢語拼音、漢語聲調及漢字筆畫
	詳細解說漢語的發音方式及聲調的使用，並提供發音特訓單元練習 ，短期即可看漢語拼音唸出標準漢語。漢字筆畫可分為橫、豎、撇、點、捺、豎勾等幾類，要寫出漂亮漢字，一點都不難。

	2. 單字、會話、寫字，聽說讀寫一次搞定
	本教材以日常生活為題材，每個單元以單字、會話及寫漢字構成，這是全國第一本針對越南人編寫的聽說讀寫全方位漢語教材。適合於越南勞工、越南幫傭、越南配偶等等。 "
9789866371790,"  
Makes Learning Chinese Verbs FUN and EASY!

	1. Easy to Learn
	Explains how verbs can be used in different tenses and sentences in a clear and effective way.

	2. It’s Practical
	Teaches verbs for everyday use: food and drink, clothing, housing, transportation, education and entertainment.

	3. Easy to Follow
	Includes typical conversations with popular local businesses and services in Taiwan, so that you can use the sentences in real situations.

Helpful Features Include

	1. Quick Index
	Find the verbs quickly and easily.

	2. Pronunciation Guide
	Learn the tones and how pinyin is pronounced.

	3. Verb Tense Guide
	Learn how verb tenses are expressed in Chinese.

	4. MP3 CD
	Listen to the audio tracks to get familiar with Chinese.

	5. Real Scenario Based Text
	Learn how to communicate in a real scenario. "
9789570847369,"  
華語教學最權威 —— 國立臺灣師範大學國語教學中心　編寫開發
 最符合當代華語學習趨勢的教學用書
 讓中文課程走出新的未來、新的視野

  

系列規劃
 全系列教材共六冊，為全方位訓練學生華語能力的教材。前三冊以口語訓練為主，後三冊開始進入書面語訓練。

  

 第一冊著重在實際日常生活對話運用，第二冊開始輔以短文閱讀，第三冊則從長篇對話進入書面語及篇章的訓練，第四冊以篇章方式對書面語做更進一步的加強訓練，培養學生具備閱讀真實語料的語言實力。第五、六冊則涵蓋社會、科技、經濟、政治、文化、環境等多元議題探討，擴展學生對不同領域的語言運用。

  

 各冊教材分別包含課本、作業本、教師手冊及漢字練習簿（第一、二冊）。

  

程度規劃
 本系列教材適合來台學習華語學生，並適用於海外高中或大學學習華語的學生。一～六冊的程度規劃相當於 CEFR 的 A1-C1 等級或 ACTFL 的 Novice-Superior 等級。

  

特色
 符合現代教學潮流，結合溝通式教學和任務導向學習，培養學生使用華語的能力。
 每課開始的學習目標和課末的學習自評表，幫助學習者了解自己是否達成學習目標。
 課文緊貼日常生活真實情況，使學生在自然的語境下學習華語。
 採用新思維漢語教學詞類架構及語法說明，有效防堵學習者偏誤產生。
 語法說明包括語法功能、結構、語用、練習四個部分，輔助學習者正確地使用語言。
 課室活動提供明確的學習目標、活動或任務，透過有趣的活動練習鞏固學習。
 「文化」單元輔以真實的照片，使學習者能深入瞭解臺灣當地社會文化。
 提供線上輔助工具，協助教師課堂教學輔助及學習者之課後練習。

  

Introduction
 This six-volume series is a comprehensive learning material that focuses on spoken language in the first three volumes and written language in the latter three volumes. Volume One aims to strengthen daily conversation and applications; Volume Two contains short essays as supplementary readings; Volume Three introduces beginning-level written language and discourse, in addition to extended dialogues. Volume Four uses discourse to solidify the learner’s written language and ability in reading authentic materials; Volumes Five and Six are arranged in topics such as society, technology, economics, politics, culture, and environment to help the learner expand their language utilisations in different domains.
 Each volume includes a textbook, a student workbook, and a teacher’s manual.  In addition, Volume One and Two include a practice book for characters.

Level of Students
 A Course in Contemporary Chinese 《當代中文課程》 is suitable for learners of Chinese in Taiwan, as well as for high school or college level Chinese language courses overseas. Volumes One to Six cover levels A1 to C1 in the CEFR, or Novice to Superior levels in ACTFL Guidelines

  

Overview
 The series adopts communicative language teaching and task-based learning to boost the learner’s Chinese ability.
 Each lesson has learning objectives and self-evaluation to give the learner a clear record of tasks completed.
 Lessons are authentic daily situations to help the learner learn in natural contexts.
 Lexical items and syntactic structures are presented and explained in functional, not structural, perspectives.
 Syntactic, i.e. grammatical, explanation includes functions, structures, pragmatics, and drills to guide the learner to proper usage.
 Classroom activities have specific learning objectives, activities, or tasks to help fortify learning while having fun.
 The “Bits of Chinese Culture” section of the lesson has authentic photographs to give the learner a deeper look at local Taiwanese culture.
 Online access provides supplementary materials for teachers & students. "
9789865261092," 高爾基說書籍是人類進步的階梯，教師在教學和學習的過程中，有一本《IBMYP教與學剖析》參考書握在手中，能夠產生教學進步巨大的力量。本書主要是以IB國際文憑主流課程為主軸，運用十講內容暢談重要的教學理念，讓已經在學校教學的老師或是即將進入教學職場的新進教師能夠更了解IB國際課程的發展趨勢。本書不僅介紹IB國際文憑別出心裁課程設計的原則，同時也提出多元化的教學理論，更重要的是匯集不同領域一線老師的教學經驗，提供寶貴的教學步驟，積極將理論與實際教學緊密結合，展現出有效快速的教學示範。《IBMYP教與學剖析》方方面面介紹IB國際主流課程內容，以學生為中心的思想理念、有效的概念式及探究式教學策略、語言與文學及語言習得二個課程設計、跨學科的直向橫向課程聯繫、並進一步比較國際文憑課程與台灣108課綱的異同，以清晰明確的介紹，讓讀者易懂難忘。本書如同一把開啟進入IB國際主流課程的鑰匙，善用之必能從中獲益，啟發出教學的新思維、新方向、新力量。 "
9789865260248," 本書專為介紹華語文教學領域下的現代漢語語言知識，從一般性的語言學基礎以及華語教學的角度，針對語言概說、語言類型、漢語語音、詞彙、語法、篇章等主要本體內容做出系統而簡明的敘述。書中整理教育部歷年華語文教學能力認證考試之漢語語言學試題，解析並提示要點，融入各單元作為練習，書末並有近五年之試題解答。本書適合剛接觸語言學與初入華語文教學領域的讀者，為配合在大學課堂裡使用的時數以及對象，界定現代漢語語言學範圍與行文上力求深入淺出。本書作者具第一線專業教學經驗之華語文教師，擁有豐富的教材與課程教學等專案研發資歷，並經十餘年漢語語言學概論課堂教學使用以修撰成書。 "
9789865407957," This book found its inspiration from topics that are unique to Taiwanese culture explored through a total of 12 lessons organized into three units: “Daily Life in Taiwan,” “Social and Cultural Development in Taiwan,” and “Looking at World Issues Through the Kaleidoscope of Taiwan.” Every lesson discusses topics in Taiwanese local specialties and social issues by introducing current events and cultural phenomena that provide a vivid picture of everyday life in Taiwan, encouraging learners to gain a deeper understanding of Taiwanese culture. Furthermore, each lesson was designed with a ""Global Corner,"" which allows learners from all over the world to immerse themselves in the topics, sparking mutual discussion. This encourages learners to go above and beyond to explore Taiwanese culture and society while motivating them to comprehend how certain topics connect countries around the world and nurturing competence in cross-cultural communication. On the other hand, Key to the World: A Kaleidoscope of Taiwan was designed specifically for intermediate-advanced learners, intending to strengthen their Mandarin Chinese abilities, so that they can successfully study high-level materials. These lessons especially focus on expanding and building vocabulary. Besides incorporating common terminology, units such as “Near-Synonym Distinctions,” “Character Association Maps,” and “Formal and Informal Conversions,” can be utilized to supplement lexical acquisition. Overall, we endeavor to employ a wide array of methodologies to aid Chinese learners as they expand their vocabulary, grasp the differences between near-synonym terms that commonly confuse learners and further develop the ability to discern the differences between informal and formal language usage, ultimately reaching a higher level of proficiency.《台灣萬花筒》是由國立臺灣師範大學華語教學系蕭惠貞教授帶領16名研究生共同完成的華語教材，本書以台灣文化特色為題材，涵蓋「台灣日常生活切片」、「台灣社會文化發展」和「台灣萬花筒看世界」三大單元，共12課。每課皆以台灣在地特色及社會議題為主題，利用貼近生活的時事和文化內容吸引學習者，從而促進他們對台灣的認識。此外，各課最後設有「國際角落」，融入時下話題激發討論。此單元旨在引導學習者進一步探討台灣文化及社會現況，並由此連結世界不同國家的相關議題，藉以培養學習者的跨文化溝通能力。另一方面，《台灣萬花筒》以中高級華語教材為定位，旨在鞏固學習者的華語能力並順利銜接高階課程。教材尤其著重詞彙量的擴充和累積，除了一般生詞環節外，更透過「識字聯想」、「近義詞辨析」、「語體轉換」等單元輔助詞彙學習。總體而言，本教材務求以多元途徑協助學習者循序漸進地擴展詞彙量，掌握容易產生偏誤的近義詞組，並進一步培養語體意識，使其華語程度更上一層樓。 "
9789570919752,"  
聽廣播劇，看小故事，輕鬆學華語
感動人心，觸發思考，內容超優質


	由國內華語教學權威──國立臺灣師範大學國語教學中心策劃主編，專為中級程度華語學習者編寫，全套教材包含課本（附MP3音檔）、教師手冊、學生作業簿共3本，以廣播劇的方式，平實的對話內容，提升聽說能力，達到流利說華語的目的。

	☉本手冊分為教學引導、補充資料、學生作業簿解答與聽力內容附錄四部分：教學引導說明每課教學重點與教學方法；補充資料則舉出與每課劇情有關的學習常識或教學補充資料；每課皆附有學生作業簿解答，供老師參考；聽力內容附錄錄製於課本所附之MP3音檔，教師得要求學生於每課開始前及結束後各聽一次，一方面加強聽力，同時也有自我測驗的意味，比較在尚未學習生詞、句型前可聽懂的比例和學完生詞、句型後可聽懂的比例，有助於了解學習成果。

	  "
9789570854749,"  
集結海內外華語文教學領域專家學者的研究
 為華語教學領域拓展研究方向與研究方法

  

 《華語文教學的多元視野與跨界思考》全書呈現「多元視野與跨界思考」的精神，內容從理論視野到教學現場，並從學習者和師資培訓等不同角度出發，突破傳統的教學設計與評估方法。全新的見解、多元的視角，提供華語文教學界的研究者深入、跨界的觀點和啟發。 "
