ISBN,書籍簡介
9789869911146,"  
	專為菲律賓人量身訂做，不但標示最普遍的漢語拼音，同時將台灣所慣用的注音符號也一起標示，對日後生活上電腦打字或是手機上的注音符號輸入會更為上手。

	隨書附贈的QR Code線上音檔為華語．菲律賓語對照錄音，華語由資深的中文教師常菁小姐錄音，菲律賓語由菲律賓籍的Marilou A. Lee小姐錄音，聲音標準清晰。本書不僅適合菲律賓人學中文，同時華人學習菲律賓文也非常合適。 "
9789574382446,"  
	「Chinese Master 漢語大師」口語系列教材共有六冊，全書以中文拼音標注發音，有系統地反應漢語水準考試「HSK」的各級語法及詞彙，同時符合「國際漢語教學通用程大綱」的教學理念。

	 

	全套教材從零起點的發音開始，以漸進的方式將漢語語法及實用的詞彙應用在各類主題與情境當中。相信「漢語大師」系列教材能全程協助學生，從掌握日常生活對話開始，加深增廣，進一步對中國的社會、民情、文化、教育、環保等多元話題奠定單向表達和雙向討論的能力，成為學習漢語的最佳教材。 "
9789869911122,"  
	專為菲律賓人設計的零起點華語自學教材。

	 

■第一步：從認識注音符號及漢語拼音開始學起。

	首先認識37個注音符號以及「聲母」、「介音」、「韻母」的排列順序，並加上聲調符號即可完成中文發音。搭配練習書寫注音符號，加深記憶。

	 

■第二步：精選22個實用課程，以「會話」、「單字」、「相關單字」及「文法說明」所構成。

	從『初次見面，請多多指教』開始學起，收錄22個日常生活最常用的實用對話。「會話」部份，對話盡量簡短清楚表達，對話文中以紅字標示為本課文法，請參閱「文法說明」。「單字」部份，將對話裡的生詞彙整，方便背誦，並額外補充常用的「相關單字」。

	  "
9789574366415,"  
	「Chinese Master 漢語大師」口語系列教材共有六冊，全書以中文拼音標注發音，有系統地反應漢語水準考試「HSK」的各級語法及詞彙，同時符合「國際漢語教學通用程大綱」的教學理念。

	全套教材從零起點的發音開始，以漸進的方式將漢語語法及實用的詞彙應用在各類主題與情境當中。相信「漢語大師」系列教材能全程協助學生，從掌握日常生活對話開始，加深增廣，進一步對中國的社會、民情、文化、教育、環保等多元話題奠定單向表達和雙向討論的能力，成為學習漢語的最佳教材。

	※本書針對中文初級程度的日籍學員而設計
	※語言版本：繁體中文版, 日文翻譯
	※累積詞彙量：常用900中文生詞 (HSK甲級詞彙範圍)
	※全書10課：每課提供對話、生詞、句型、練習.
	※本書目標：掌握40%中文語法. 內容由基礎句型擴展到多元生活對話
	※內容舉例：時間用語, 選擇用語, 指示用語, 描述方向, 說明動線 "
9789570846508,"  
華語教學最權威──國立臺灣師範大學國語教學中心 編寫開發
最符合當代華語學習趨勢的教學用書
讓中文課程走出新的未來、新的視野


系列規劃

	全系列教材共六冊，為全方位訓練學生華語能力的教材。前三冊以口語訓練為主，後三冊開始進入書面語訓練。

	第一冊著重在實際日常生活對話運用，第二冊開始輔以短文閱讀，第三冊則從長篇對話進入書面語及篇章的訓練，第四冊以篇章方式對書面語做更進一步的加強訓練，培養學生具備閱讀真實語料的語言實力。第五、六冊則涵蓋社會、科技、經濟、政治、文化、環境等多元議題探討，擴展學生對不同領域的語言運用。

	各冊教材分別包含課本、作業本、教師手冊及漢字練習簿（第一、二冊）。

程度規劃

	本系列教材適合來台學習華語學生，並適用於海外高中或大學學習華語的學生。一～六冊的程度規劃相當於 CEFR 的 A1-C1 等級或 ACTFL 的 Novice-Superior 等級。

特色

	符合現代教學潮流，結合溝通式教學和任務導向學習，培養學生使用華語的能力。
	每課開始的學習目標和課末的學習自評表，幫助學習者了解自己是否達成學習目標。
	課文緊貼日常生活真實情況，使學生在自然的語境下學習華語。
	採用新思維漢語教學詞類架構及語法說明，有效防堵學習者偏誤產生。
	語法說明包括語法功能、結構、語用、練習四個部分，輔助學習者正確地使用語言。
	課室活動提供明確的學習目標、活動或任務，透過有趣的活動練習鞏固學習。
	「文化」單元輔以真實的照片，使學習者能深入瞭解臺灣當地社會文化。
	提供線上輔助工具，協助教師課堂教學輔助及學習者之課後練習。

Introduction

	This six-volume series is a comprehensive learning material that focuses on spoken language in the first three volumes and written language in the latter three volumes. Volume One aims to strengthen daily conversation and applications; Volume Two contains short essays as supplementary readings; Volume Three introduces beginning-level written language and discourse, in addition to extended dialogues. Volume Four uses discourse to solidify the learner’s written language and ability in reading authentic materials; Volumes Five and Six are arranged in topics such as society, technology, economics, politics, culture, and environment to help the learner expand their language utilisations in different domains.

	Each volume includes a textbook, a student workbook, and a teacher’s manual.  In addition, Volume One and Two include a practice book for characters.

Level of Students

	A Course in Contemporary Chinese 《當代中文課程》 is suitable for learners of Chinese in Taiwan, as well as for high school or college level Chinese language courses overseas. Volumes One to Six cover levels A1 to C1 in the CEFR, or Novice to Superior levels in ACTFL Guidelines

Overview

	The series adopts communicative language teaching and task-based learning to boost the learner’s Chinese ability.
	Each lesson has learning objectives and self-evaluation to give the learner a clear record of tasks completed.
	Lessons are authentic daily situations to help the learner learn in natural contexts.
	Lexical items and syntactic structures are presented and explained in functional, not structural, perspectives.
	Syntactic, i.e. grammatical, explanation includes functions, structures, pragmatics, and drills to guide the learner to proper usage.
	Classroom activities have specific learning objectives, activities, or tasks to help fortify learning while having fun.
	The “Bits of Chinese Culture” section of the lesson has authentic photographs to give the learner a deeper look at local Taiwanese culture.
	Online access provides supplementary materials for teachers & students. "
9789866371455," 全國第一本專為韓國人量身打造的韓語學習書，標註注音符號及漢語拼音，附上完整拼音圖表，基本發音規則簡單明瞭一看就懂。搭配可愛的插圖，一看就懂同時提高學習興趣，以日常生活為題材，如:問候、用餐、台灣小吃、電話、找房子、身體部位、交通、疾病、問路、機場、氣候、數字、貨幣、到銀行、時間、日期、生肖、星座、過年吉祥話…，短期即可輕鬆開口說華語。全書錄製中韓對照MP3，一句中文一句韓文錄音。 "
9789866371462," ●全世界第一本為了學習中文的韓國讀者寫的國際韓文版，繁體版中文分類小辭典；●增進學習效果的編排，韓文、繁體字、注音符號以及漢語拼音全收錄；●以11個主題依序分門別類收錄整理我們日常生活中，最常使用到的單字；●韓國語與漢語同時錄音，MP3檔案（共計：210分）全部收錄內文，用聽的也能也能學好中、韓文單字；●中韓互譯，不僅適用韓國讀者也適用學習韓語的台灣學習者，另有國際中文版《生活韓國語分類小辭典》；●跨國際，中韓學者合著、審定，更具權威性的語言學習書。 "
9789574368150,"  
	「Chinese Master 漢語大師」口語系列教材共有六冊，全書以中文拼音標注發音，有系統地反應漢語水準考試「HSK」的各級語法及詞彙，同時符合「國際漢語教學通用課程大綱」的教學理念。

	全套教材從零起點的發音開始，以漸進的方式將漢語語法及實用的詞彙應用在各類主題與情境當中。相信「漢語大師」系列教材能全程協助學生，從掌握日常生活對話開始，加深增廣，進一步對中國的社會、民情、文化、教育、環保等多元話題奠定單向表達和雙向討論的能力，成為學習漢語的最佳教材.

	本書針對中文中級程度的日籍學員而設計
	* 語言版本: 繁體中文版, 日文翻譯
	* 累積詞彙量:常用1500中文生詞 (HSK乙級詞彙範圍)
	* 全書10課. 每課提供對話、生詞、句型、練習.
	* 本書目標: 將中文會話應用在多元情境.並可完整敘述生活情境的始末.
	* 累積詞彙量:常用1500中文生詞 (HSK乙級詞彙範圍)

	． 日籍人士最理想的中級漢語口語教材.
	． 掌握60%中文語法.
	． 本書目標: 將中文會話應用在多元情境.並可完整敘述生活情境的始末.
	． 供應系列教材進行延伸學習.
	． 符合「國際漢語教學通用課程大綱」教學理念.
	  "
9789570857436,"  
閱讀華語新聞最佳選文教材
	華語教學最權威—國立臺灣師範大學國語教學中心 編寫開發


系列規劃
	本套教材共 2 冊，教材範圍以臺灣國內外新聞為主，包括各類新聞，以新聞篇幅及內容深淺排序。

	每冊有 8 個單元，每單元兩篇新聞（共 16 課），各單元設定不同的主題，以期讓使用者可以學習到不同主題的新聞常用詞語。第一冊主題包括氣象報導、物價上漲、喝酒開車、全球暖化、節慶活動、網際網路、疾病防治、經濟趨勢。第二冊主題有天然災害、招募人才、高壓工作與遺傳疾病、恐怖攻擊、網銀時代、貿易戰爭、表演藝術、兩岸關係等等。

	每單元的編排首先說明「學習目標」。接著在課文前有「課前閱讀」，透過閱讀新聞標題來掌握本則新聞重點。每單元的兩課課文各以一篇新聞為主。每篇新聞後有「生詞」（含書面語、專有名詞）和「句型」，以加強學生對詞語、句式的運用。另有針對課文內容提出的「理解與討論」，以及具任務性的「課堂活動」。每單元的最後附有兩篇新聞的簡體字版。

	本套教材同時編寫了作業本，每課有三到四部分包括詞彙和句型的練習題，每單元之後另有一綜合練習，以閱讀與單元主題相關之新聞來提升閱讀及理解能力。

程度規劃
	此系列教材的語言程度約在中心教材的第 5 級（CEFR B2），適合學完《當代中文課程 4》的學生學習，約 140-160 個學時可以學完一冊。

本書特色

	以新聞報紙為版型，學習者可以熟悉中文報紙的編排方式。
	新聞標題多樣化，學習者可以從課前閱讀猜測新聞主要內容。
	內容包羅萬象，課本包括：兩篇新聞、生詞（含中英文解釋、例句）、書面語及專有名詞、句型、課文理解與討論、課堂活動等等。另有作業本，包括：填入適當的生詞、連連看、句型練習、選擇、根據圖文回答問題、克漏字、短文閱讀、綜合練習等等，方便學生課後練習。
	標音採注音符號、漢語拼音並列。 "
9789570852103,"  
商業中文最新穎、符合現代情境的教學教材
 華語教學最權威──國立臺灣師範大學國語教學中心　編寫開發

  

系列規劃

 此系列共兩冊，每冊共十課，課本均附作業本。是提升學生在商業環境使用中文能力的教材。

 第一冊著重在公司內部的交流或與同事的交流，第二冊著重在公司外部的交流實況。課文的主題情境小自描述新人的第一天、員工旅行、產品的行銷、客訴的處理，大至裁員、公司併購等都囊括在內。

 各冊教材分別包含課本、作業本及教師手冊。每課包含對話、回答問題、個案分析、文化點及課室活動。

程度

 此教材程度規劃相當於 CEFR 的 B2-C1 或 ACTFL 的 Advanced-high，適合學過《當代中文課程 4》或《遠東商務漢語 3》，以及需要在工作中使用中文的學習者。

特色

 以對話及個案分析讓學生運用所學，在實際的商務個案中討論和解決問題。

 在語言點的挑選上，不同於傳統語法點的做法，呈現較長的句式，並具體說明與練習這種語言表達方式可以用在什麼商業情況下。

 文化點的設計則是著重在華人商務行為或活動的描述，利於學習者跨文化溝通。

 每課清楚列出當課重要的學習目標與語言功能。

Introduction

 This two-volume series is a practical learning material for students working in a Chinese working environment. Each volume has ten chapters, with a workbook attached.

 Volume One aims to strengthen workplace communication with colleagues and bosses; Volume Two focuses on handling external affairs. Series consists of a wide range of topics including first day of work, company trip, marketing, customer complaint, layoff and merger and acquisition, etc.

 Each volume includes a textbook, a workbook and a teacher’s manual. Each chapter contains dialogue-based question, case study, culture appreciation unit and comprehensive exercise.

Level

 Advanced Business Chinese is suitable for learners who have complete A Course in Contemporary Chinese Volume 4 《當代中文課程 4》 or Far East Business Chinese Volume 3《遠東商務漢語 3》. This series covers levels B2 to C1 in the CEFR, or Advanced-high in ACTFL Guidelines.

Highlights

 Including dialogue-based questions and case study for workplace problem solving.  
 Including detailed explanation on useful expression.
 Including cultural appreciation unit based on Chinese workplace.
 Including a synopsis of learning and grammar focuses for each chapter. "
