ISBN,書籍簡介
9789864295227," 本辭典收錄約七千字，依教育部頒布、審訂的標準字體、標準國字筆順與一字多音審訂表編輯；各字注音完備，附完整筆順，多數字標示字形演變，多數語詞附例句；字體大，閱讀舒適，並有生動的插圖；附三種檢索方式及實用的附錄，內容新且豐富實用，是讀者不可或缺的工具書。 "
9789866351051," 本書為依據教育部審定編輯的標準國語字典，內附簡體字。本書特色依據教育部審定一字多音標準字體附簡體字國字筆順 "
9789864295135," 本辭典收錄近六千字，字形、字音以教育部公布的「國字標準字體」、「國語一字多音審訂表」及「常用國字標準字體筆順」為準，內容除了有造句示範外，並有配合字義、詞義的彩圖說明，一目了然，另外加入精心設計的二十個主題式彩圖，如「交通工具」、「動物」、「標誌」等，部分標示英文名稱，提供讀者參考。 "
9789864295067," 本辭典收錄約七千字，依教育部頒布、審訂的標準字體、標準國字筆順與一字多音審訂表編輯；各字注音完備，附完整筆順，多數字標示字形演變，多數語詞附例句；字體大，閱讀舒適，並有生動的插圖；附三種檢索方式及實用的附錄，內容新且豐富實用，是讀者不可或缺的工具書。◎三種檢索方式(注音符號、總筆畫、部首索引)，讓您查閱更方便。◎各字注音完備，詞條廣博並多附例句。◎新增獨家專利『注音符號快速檢索法』，讓您成為檢字高手。 "
4719742126171," 辭典收錄約六千多字，依教育部頒布審訂的標準字體、標準國字筆順與一字多音審訂表編輯，各字注音完備，詞條廣博並多附例句，字體大，閱讀舒適，附三種檢索方式，另有漢語拼音，內容豐富實用，是您學習國語不可或缺的好幫手。 ◆三種檢索方式(注音符號、總筆畫、部首索引)，讓您查閱更方便。◆各字注音完備，詞條廣博並多附例句。◆新增獨家專利『注音符號快速檢所法』，讓您成為檢字高手。 "
9789865221348," 表格式整理出審訂音，牢牢記住標準字音獨創用國字字根排序，牢牢記住標準字形本書收錄約一萬個字頭，以孳乳字的方式編排，提供了一個不同於部首索引的字典使用方式，讀者可以清楚觀察到同偏旁字群的讀音異同，除了字典的查詢功能外，亦是形近字辨正的最佳學習教材。◎如何查：方法一、知道該字的讀音時，書末附有字音查字表，以ㄅㄆㄇ的順序排序查詢，即可找到該字位於哪一頁。方法二、不知道該字如何唸時，利用書前的部件索引找到該字的偏旁，進而查詢到該字位於哪一頁。◎本書特色：1.獨創運用孳乳字的方式編排，可從中清楚觀察到同偏旁字群的讀音異同，有助觸類旁通、舉一反三，是認識形近字辨正的最佳教材。2.表格式整理出審訂音，有助於牢牢記住標準字音。3.超過國中小學生學習範圍的字，在字前用＊號註明。4.為了利於閱讀，語詞欄中的難字、破音字亦標上字音，務求讓讀者隨時都能認識正確的字音字形。5.收錄的字頭，不論常見或罕用，力求每個字頭都有例詞及解釋，幫助記憶。6.收錄的語詞出處，除了翻閱大部頭辭典以外，生活周遭的事物也是取材來源。 "
9789864294961," 本辭典收錄六千多字，字形、字音以教育部公布的「國字標準字體」、「國語一字多音審訂表」及「常用國字標準字體筆順」為準，內容除了有造句示範外，並有配合字義、詞義的彩圖說明，一目了然，另外加入精心設計的二十個主題式彩圖跨頁，如「交通工具」、「動物」、「標誌」等，標示英文名稱，提供讀者延伸學習。 "
9789864293179," 本辭典收錄常用生字及罕用字約八千餘字依教育部頒布一字多音審定表、標準國字筆順編輯各字注音完備，附筆畫順序，多數語詞附例詞或例句。附三種檢索方式，並於總筆畫檢索表上附上各字的簡化字於注音檢索表各注音下附上漢語拼音。附錄內容新且豐富，是讀者不可或缺的工具書。 "
9789864293346," 本字典收錄約五千五百個常用及次常用字採教育部頒布、審訂之標準字體及標準國字筆順每字均附注音；依部首、筆畫編排，以書寫筆畫為其總筆畫數附總筆畫檢字表，檢索方便。書後並有認識中國文字、國語文法表、常用量詞表、俏皮話等附錄，豐富實用，是讀者認識國字、學習筆順的最佳參考。 "
9789864291762," 本辭海收錄之單字，係依教育部「國音常用字彙」編列，其他如古體、通體、俗體、同體、本體、訛體、或體及簡體等異體字，除極少數特別冷僻者外，亦一併羅列，總共有單字一萬餘字，詞條約二萬五千餘條，內容詳盡豐富。卷末附實用的附錄，如注音符號發音表、標點符號用法表、國語文法表等。 "
