ISBN,書籍簡介
9789861939445," 辭典收錄約六千多字,依教育部頒布審訂的標準字體、標準國字筆順與一字多音 審訂表編輯,各字注音完備,詞條廣博並多附例句,字體大,閱讀舒適,附三種檢索 方式,另有漢語拼音,內容豐富實用,在注音符號檢索上新增專利注音符號快速   檢索表,節省翻書的時間,讓您查閱更便利。是您學習國語不可或缺的好幫手。 "
4719742126591," 辭典收錄約六千多字，依教育部頒布審訂的標準字體、標準國字筆順與一字多音審訂表編輯，各字注音完備，詞條廣博並多附例句，字體大，閱讀舒適，附三種索方式，另有漢語拼音，內容豐富實用，是您學習國語不可或缺的好幫手。 "
9789577514080," 內容豐富，足夠九年一貫師生查用---所收單字8000多個，超過一般的6000多個常用、次常用字甚多，足夠九年一貫國校師生查用 採用標準字體，清晰易辨，適合師生書寫依據 ---依據教育部頒定的「標準字體」，並以楷體字排列，字形特大，筆劃清晰易辨，可為師生書寫依據。 依據「一句多音審訂表」標注 ---全部依據教育部頒定的「國語一句多音審訂表」標注，並採用「音框」設計。
「音框」設計，並附「漢語拼音」 ---「音框」裡除了注音符號外，還附有「漢語拼音」，是專為初學華語的外國學生及不認識或不識中文的華人子弟而設計的。  "
4719742146797," 辭典收錄約六千多字，依教育部頒布審訂的標準字體、標準國字筆順與一字多音審訂表編輯，各字注音完備，詞條廣博並多附例句，字體大，閱讀舒適，附三種檢索方式，另有漢語拼音，內容豐富實用，是您學習國語不可或缺的好幫手。 "
4719742126218," 辭典收錄約六千多字，依教育部頒布審訂的標準字體、標準國字筆順與一字多音審訂表編輯，各字注音完備，詞條廣博並多附例句，字體大，閱讀舒適，附三種檢索方式，另有漢語拼音，內容豐富實用，是您學習國語不可或缺的好幫手。 "
9789864294725," 本辭典收錄約七千字，一萬六千多個語詞，依教育部頒布、審訂的標準字體、標準國字筆順與一字多音審訂表編輯；各字注音完備，附完整筆順，多數字標示字形演變，多數語詞附例句；字體大，閱讀舒適，並有生動的插圖；附三種檢索方式及實用的附錄，內容新且豐富實用，是讀者不可或缺的工具書。 "
9789570919578,"  
金鼎獎高度肯定，被喻為「四十年來不可多得，具『創作性』」的工具書
這是你今生不容錯過的一本字典，也是使用中文、學習中文的人必備的工具書

	◆ 中國文字的奧妙，在於將人所感知的一切有形與無形，以六書的方式，藉由簡單的線條表現出來。因此，中國文字裡，包含了人們對大自然的觀察與思考、對事物與自身存在的判斷、對藝術美學的覺知與感知，範圍博大，含蘊深遠。再加上時代的推移，文字使用上有所變異，故而有各種字體的變化。

	◆羅織每一個文字從甲骨文、金文、小篆、隸書、草書，以至行書的各種演變，是為形；加以音聲辨正，是為音；援引古詩書文以為解釋，是為義；更加以字詞之辨正說明，可說是學習中國文字最根本且鉅細靡遺的工具書，也是中華文化最具體濃縮的精華典範。 "
4719742134985," 全國首創注音符號快速檢索法，讓你成為檢字高手。◎字詞量豐富收錄近七千單字，近一萬八千個語詞，包含教科書所有生字及重要詞句。◎細部解說內容包含解說部首、筆畫順序、字形演變……等，增進讀者興趣，並加深印象。◎解釋翔實每個單字、語詞都依其不同音列出完整翔實的解說，簡明易懂。◎檢索方便本辭書包括部首索引、總筆畫檢字表、注音符號檢字表，讓讀者方便查閱。本辭典收錄近七千字，字形、字音以教育部公布的「國字標準字體」、「國語一字多音審訂表」及「常用國字標準字體筆順」為準，內容除了有造句示範外，並有配合字義、詞義的彩圖說明，一目了然。另外，加入精心設計的二十個主題式彩圖，如「交通工具」、「動物」、「標誌」等生活化英文單字和翻譯，提供讀者雙向學習的機會，書末附有「國語文法表」、「常用書信用語」等參考資料，是讀者不可或缺的實用工具書。 "
9789864292684," 本辭典收錄約七千字，近一萬三千個語詞，依教育部頒布、審訂的標準字體、標準國字筆順與一字多音審訂表編輯；各字注音完備，多數字標示字形演變，多數語詞附例句；各部首前附部首單字表，詳列該部首收錄與易誤判為該部首的字；字體大，閱讀舒適，並有生動的插圖；附四種檢索方式及實用的附錄，如常用繁簡字對照表等，內容新且豐富實用，是讀者必備的好幫手。 "
4719742130598," 辭典收錄約六千多字，依教育部頒布審訂的標準字體、標準國字筆順與一字多音審訂表編輯，各字注音完備，詞條廣博並多附例句，字體大，閱讀舒適，附三種檢索方式，另有漢語拼音，內容豐富實用，是您學習國語不可或缺的好幫手。 "
