ISBN,書籍簡介
9789573289036,"  
	本書條目齊全、體例完整、釋義精富、切合實用、查檢方便，適合各級學生使用，更有助於寫作的參考，堪稱一部優良辭書。 "
9789864291236," 1.本辭典分上、下兩冊，收錄約六千個成語，內容豐富。2.成語均附注音，字體均依教育部標準字體編訂。3.每個成語均收錄解釋、出處、補注及實例，使讀者能輕鬆學習。4.內文按成語首字部首編排，並附部首、總筆畫兩檢索方式，查閱方便。5.附精美插圖，幫助讀者更了解成語的意涵。6.書末附「相似、相反成語」、「俏皮話」、「國語文法表」、「標點符號表」等附錄，實用有趣。 "
9789864294084," 辭典分上、下兩冊，收錄國中小常用成語六千餘個，每個成語包含解釋、補註、實例、義近、義反等，說明精簡扼要，內容淺顯易懂。全文均附教育部公布標準注音，幫助學生輕鬆閱讀，五百餘張的彩色插圖，幫助讀者更容易了解成語的內容，提升學習的興趣。書末附錄豐富，提供多方面的知識。全冊內容豐富實用，是您學習成語不可或缺的好幫手。 "
9789864294091," 辭典分上、下兩冊，收錄國中小常用成語六千餘個，每個成語包含解釋、補註、實例、義近、義反等，說明精簡扼要，內容淺顯易懂。全文均附教育部公布標準注音，幫助學生輕鬆閱讀，五百餘張的彩色插圖，幫助讀者更容易了解成語的內容，提升學習的興趣。書末附錄豐富，提供多方面的知識。全冊內容豐富實用，是您學習成語不可或缺的好幫手。 "
9789577512802," 成語辭典
　我們中國語言裡的「成語」，最普通的刑事是由四個字組成。這些成語都有出處，依一般人的說法，就是「都有典故」。說「出處」，說「典故」，紙的都是成語的「來源」。

　成語的出處是古代的經典或古人的文章。知道成語的出處，明白成語的「產生背景」，才不會造成誤解，才不會用錯。

　成語的形成，最初是靠大家的「傳誦」。傳誦日久，就定了型。「傳誦」的過程，不同於「研究」的過程。「傳誦」是因為喜愛，往往並不「深究」，這也是人人容易用錯成語的原因之一。 "
9789864291243," 1.本辭典分上、下兩冊，收錄約六千個成語，內容豐富。2.成語均附注音，字體均依教育部標準字體編訂。3.每個成語均收錄解釋、出處、補注及實例，使讀者能輕鬆學習。4.內文按成語首字部首編排，並附部首、總筆畫兩檢索方式，查閱方便。5.附精美插圖，幫助讀者更了解成語的意涵。6.書末附「相似、相反成語」、「俏皮話」、「國語文法表」、「標點符號表」等附錄，實用有趣。 "
9789869809108,"  
	全書收錄習近平主席講話、文章和論著中引用的成語、典故和經典名句一千二百九十餘條，其中成語、典故九百四十餘條，經典名句三百五十餘條。

	按「成語、典故」和「經典名句」兩個部分編排。釋義深入淺出，溯源循章有據。對每一成語、典故均作了考證，以最早出現該詞的典籍文獻作為「出處」；後來的典籍文獻或圖書、文章中出現之該詞作為「引例」。全書所引證的古今典籍、文章共計六百餘種（篇）。

	全書編纂精嚴深廣，極具巧思，不僅資料豐富，取材嚴謹，內容充實，且在數十萬言之中，突顯出整全有序的系統。既具學術性，又有可讀性，為可供雅俗共賞之傳世佳構，更是一部傳承和宏揚中華文化的經典鉅作。 "
9789577107510,"  
●可選擇漢語拼音．筆畫．注音符號索引 視需求靈活查閱

●具有成語條目．注音．釋義．例句．構成

成語本源．同義、反義成語．辯誤等多種活用功能

	成語就如語彙裏的精靈，能瞬時點亮話語重點。不論是文字或對話溝通，成語若運用得當，便能更加簡潔生動。   

	近來由於網路社群、自媒體、直播、講座、展演……等活動的興起，讓越來越多人有撰稿寫作、演說發言的機會。發表的文章或演說，若具有個人風格與魅力，便能吸引人關注聆聽。而「成語」正是讓語彙鮮活增色所不可或缺的重要角色之一。

	本社有鑑於此，特蒐羅眾多常用成語精選編輯成書，全書採注音、拼音雙並列方式舉例，精心挑選了4300餘條常用、必備的成語，經系統、條例的整理排列，讓讀者在正確的引導下，快速、有效的習得注音拼音的用法、成語的知識。書中亦附有詳細的筆畫、注音索引，能視需求靈活查閱，快速檢索所需的知識與詞條。

	希望讀者藉由本書，提升寫作實力、豐富語彙力，在各種溝通交流的場合表現更加得心應手，也期望讀者不吝指正，並多多利用本書。衷心祈願本書能對讀者有所助益。 "
9789571178745,"  
◎分類編排：
	將成語按照性質的不同共分成十六篇，七十六類，共收錄二千五百七十一則成語，並將意義相同者歸類編排，方便寫作文時靈活運用。

◎標準字音：
	依據教育部一字多音審訂表為準則，配合教學和學習的需要。

◎深究詞義：
	每則成語都逐字逐句解釋，除說明本義外，並且詳述其用法。

◎詞源注解：
	將每則成語的「詞源」加注解釋或翻譯，有典故的另詳細說明。

◎提示參考：
	對容易混淆的形音義加以提示辨析，同時列出相近的成語，以擴大知識面。

◎容易查詢：
	列有分類、總筆畫索引，方便讀者查閱。

	將成語按照性質的不同分成十六篇，七十六類，每則成語都逐字逐句解釋，並且詳述其用法。「詞源」部分都加注解釋或翻譯，有典故的另詳細說明。全書造句 符合社會脈動和國際觀，成語後附有「提示」，對容易混淆的形音義加以辨析，同時列出相近的成語。本辭典附有分類、總筆畫索引，方便讀者查閱。 "
9789571174013,"  
會考必考成語！參加特招必讀！
 精熟成語，閱讀素養題目不用怕！

  

 全書收錄近2088則詞條，以學習性的成語為主，在教科書、國語文競賽、十二年國教會考、特色招生、閱讀素養題目、日常生活中都常見到。每條成語的釋義都淺顯易懂，補充資料豐富翔實，有助於提升閱讀素養能力和寫作能力，適合參加「會考」和「特色招生」的學子選讀。

本書特色

 四大特色加倍提升閱讀素養能力！
 一、收錄2088則以學習性的成語為主，每條成語的釋義都淺顯易懂，資料豐富翔實。
 二、視主成語的義涵補充近義成語1687條、反義成語1381條，協助學子更精熟成語。
 三、「不要誤用」的成語混淆說明645條，是坊間的成語辭典所缺少的資料，徹底了解成語的用法，對會考、特招、閱讀素養題型最有用！
 四、獨家編撰實用的「文史趣談」單元106條，熟讀文史小故事，閱讀素養能力一飛沖天！ "
