ISBN,書籍簡介
9789864412143,  輕鬆讀、簡單學日文口語慣用語比你想像有趣的多！有時候，我們常會在日文的雜誌海報、動漫戲劇、網路論壇，看或聽到一些日本人常用的慣用語，例如「定番アイテム：基本款」、「鉄板ネタ：保證好笑的梗」、「構ってちゃん：討拍」等等。這些慣用語包含了俚語、俗語、流行用語或縮語，看起來並不會太長或太難，但是有些無法從字面上猜出它的真正意思，就算查字典也不一定查的到。也許我們無法理解整個句子或文章，但如果能了解這些慣用語的涵義和用法，也就能猜懂大致意思。這本書就是為了讓學習者對日語慣用語有更進一步的認識而發想設計完成的。本書歸納成「日常」和「人」等兩大主題，其下再細分類為14個單元。包括日常生活息息相關的食衣住行、休閒、時間金錢、常用的網路用語；人本身的個性、情緒、生理，以及對外的行為和人際關係等等。由專業的日文老師精心整理出約1100個日本人最常使用的慣用語，包括了可以見字辨義的詞，像是「アヒル口：鴨子嘴」、「腹八分目：吃八分飽」；或是需要先了解其原義或由來，才能明白引申義的字，例如「懐が暖かい：荷包滿滿」、「御曹司：富二代」；甚至是「モンスターペアレント：怪獸家長」、「パリピ：狂歡咖」等和製英語或流行語的說法。針對這些用語的來源及用法情境，加上簡單易懂的說明及實用例句。另外在假名上標記了羅馬拼音，希望讓日語初學者也能試著唸唸這些有趣的慣用語，藉以增加學習的成就感。全書搭配全彩圖片幫助記憶，讓讀者能看圖理解並靈活運用這些慣用語。本書提供了簡單易學、有趣又常用的日文口語，希望更多讀者能卸下學習語言的心防，輕鬆地邊讀邊學日語口語慣用語！ 
9789865776817,  「認真讀」、「仔細聽」、「勤手寫」、「開口唸」現在就跟著老師一起來練日語五十音基本功！市面上的日語五十音書籍多到一個眼花撩亂的地步，你可以有很多的選擇性，但你可能也會有「這本內容不錯，可惜沒有讓我實際練習的機會」、「買本五十音的習字帖挺不賴，可惜只能練習寫法而已，我想知道更多詳細的內容」等等的想法。很多人想學日語五十音，更多人是想「趕快」學會日語五十音。速成的東西不是不好，但如果不能好好被大腦消化，很快就會從左耳進右耳出，消失在空氣中了。這是一本教你「學好」日語五十音的書，我想它真的無法讓你在10分鐘內就快速學完五十音，但其實你我都知道，學習沒有捷徑，只要把基本功練好，學習的成效跟速度會在之後的日文實力中漸漸展現出來。現在簡單跟大家介紹一下這本書的內容和架構！本書共分成三大部份：平假名、片假名、句型。第一部份平假名和第二部份片假名，都是從清音開始介紹，由如何唸（發音）、如何寫（筆順）、如何應用（單字）一步一步地從基本學起。正確來說，我們常說的日語五十音其實只有46個，在這裡，各位可以了解到平/片假名是由哪些漢字所演化而成、該怎麼唸才會準確地發出對的音來、書寫的時候又該注意哪些筆劃和重點。在每個假名旁都有一個單字，用學過的假名加上附註的重音標記、羅馬拼音、和可愛的插圖，讀者們不妨試著自己唸唸看，保證提高學習的自信度。最後搭配上貼心設計的習字帖和假名練習，讓讀者在學完之後能做第一手的複習。學完清音，會馬上進入濁音半濁音部份。濁音共有4個，半濁音有1個。這裡的學習步驟和清音相仿，學完之後會有馬上讓讀者練習的機會。由於濁音是從部分清音變化而來，雖然有些類似，但無論是書寫的樣式和唸的發音都和清音部份有明顯的區分。在練習上我們增加了一點點小技巧。除了讓讀者們能複習濁音之外，更希望能讓各位清楚分辨出清音和濁音的不同，提醒讀者還是要仔細學習，以免有所混淆喔。濁音之後緊接而來的是拗音的練習。拗音是「清音+や行、ゆ行、よ行」的組合，共有33個。在這個部份，讀者們應該都對假名很熟悉，主要是學會將假名組合在一起的發音和寫的位置。要特別注意的是，拗音裡的「ゃ、ゅ、ょ」字體要縮小，並且要接在部份清音後面聯合發音，例如「き(ki)+ゃ(ya)＝きゃ(kya)」。只要把握住這兩個重點，相信拗音對大部份的讀者來說也是很簡單的。第三部份進入句型的世界。在這裡，總共會介紹15個常用的基本句型給各位認識。我們用清楚易懂的表格將基本句型整理出來，藉由例句、解說、和適時搭配的圖像和補充，讀者們勢必能更了解其用法和變化。學完一個句型後，馬上有小測驗可以練習。最後是由基本句型衍生出來的會話，將前面學過的句型置入在會話裡，讓句型不再枯燥，搖身一變為日常生活都用的到的實用會話。除了書上的內容之外，建議讀者們一定要搭配書中的MP3光碟一起學習。如果你有點讀筆，我們在書上也設計了點讀碼，讓你能邊點邊學習。聽聽日籍老師的標準發音和唸法，然後自己也試著唸唸看，「認真讀」+「仔細聽」+「勤手寫」+「開口唸」，絕對是讓學習語言的記憶更為深刻的不二法門。我們提供大家多種學好五十音的好方法，請大家務必從現在開始就試一試！ 
9789577108272,"  
	輕巧好攜帶，內容貼近生活，

	單字例句豐富實用！

	MP3音檔連結，方便下載隨時聆聽。

	隨聽隨學更有效率，日語力UP!

	 

	因應讀者需求，受廣大讀者們肯定的「彩色攜帶版初學者開口說日語」特別將原有的日中對照MP3迷你光碟，改為MP3音檔網址，方便讀者下載隨時聆聽。全書日中對照單字、例句、會話音檔，走到哪聽到哪，記憶更深刻，聽說更流暢！

	全書共分成五大章節，以循序漸進的方式，引導讀者們學習。第1～3章，介紹基本的日語生活用語；第4～5章，介紹如何實際與日本人溝通，以及到日本旅遊的例句會話。還附上日本地鐵圖、各站名稱及日本主要知名景點、名店等。

	本書不僅僅是一本生活會話書，也是一本實用的單字記憶書，對初學者來說無疑是一本全能的日語入門學習書。活用本書，相信一定可以達到意想不到的學習效果。

本書七大特色

《五大章節，從基礎到進階》
	以循序漸進的方式，教您如何用最基本的日語句子表達想法、和日本人溝通，甚至是出國旅遊都能暢行無阻。

《1000句．3000字彙》
	上千個單字例句並穿插實用會話，一次滿足所有讀者的學習慾望！

《日、中區隔‧羅馬音輔助》
	日、中區隔，並一一標注羅馬音，方便學習好對照。即使不會五十音，也可以輕鬆開口說日語！

《框格式的單字排版》
	本書採簡單明瞭的框格式單字記憶法，讓讀者學習日語更上手，直接手指溝通也大丈夫！

《日本各地地鐵路線圖、各路線站名》
	除了方便旅遊的地鐵路線圖外，各路線站名也一一標示出日語發音和羅馬拼音，讓您在日本搭地鐵順利抵達目的地。

《完整介紹日本各地知名景點、店名》
	本書最後特別介紹日本各地旅遊景點及大家耳熟能詳的店名一覽，幫助您在遊日過程中更加得心應手。

《輔助MP3，日語說得漂亮又流利》
	附上日中對照MP3音檔連結，搭配本書學習，初學立即開口說，日語越說越流利！ "
9789864415885,  看圖學日文單字，從生活的大小事開始讓你不只學得多，更能學得精！學習外語是一個漸進式的過程，從基礎到進階，從廣泛到細微。我們想知道的東西永遠沒有最多，只有更多。當學完甜點這個字已經無法滿足你的好奇心後，你會想知道甜點又分成什麼種類，有哪些不同的區別和說法。始於這種渴望學習的出發點，我們打造了這本學廣又學深的圖解日文單字書。本書歸納成「飲食文化」、「服飾與配件」、「居家生活」、「交通旅遊」、「體育活動」、「休閒娛樂」、和「世界各地」等七大主題，其下再細分類為28個單元，收錄了超過4000個常見常用、或是常見卻不知道怎麼說的單字。以「飲食文化」為例，我們列舉了各國料理及甜點的餐點，另外還介紹了餐廳裡的各式餐點飲料、餐具器皿、烹調方式、香料醬汁，連餐廳種類和知名連鎖餐飲店的說法，也能在本書裡一一學到喔。有別於一般單字書採用廣泛的分類方式，本書秉持著「學多又學精」的原則來規劃了學習內容。當你翻到超市裡的生鮮單元，除了多樣的蔬菜名稱之外，我們還深究了沙拉葉、蕈菇、堅果的種類有哪些。當你學到酒類，我們也提供了各式雞尾酒、日本酒、烈酒、啤酒……等的名稱或品牌。如此精細的分類，就是想要盡量滿足讀者「這個字怎麼說、那個字怎麼唸」的求知慾望。每一個日文單字旁邊皆附有羅馬拼音和中文意思，有效輔助拼讀發音。針對由外來語改成的日文人名、地名、商標名等專有名詞，我們會在旁邊加上原有的英文或原文幫助還原理解。另外某些單字具有特殊的文化背景和用法細節的差異，老師也會適時在單字後面補充說明。這是一本內容強大的日文單字學習書，搭配大量全彩圖片豐富視覺感官。不管是拿來當查找字彙的字典工具，或是用來自我充實兼娛樂消遣，相信都能符合你的需求。現在就趕快翻開本書，從你最有興趣的單元開始閱讀吧！ 
9789864411252,  不會日語沒關係！IKU老師都幫你準備好了！去日本玩只要帶這本書，讓你3秒開口說旅遊日語！累積多年教學經驗的日籍日語老師，IKU老師。他7年前是個完全不會講中文就一個人跑來台灣環島，熱愛自助旅行的人。老師說：「有一個能讓國外旅遊更好玩的秘訣，那就是『講對方的母語』！」你現在是不是正在想：「可是我不會日語耶…」？沒問題的！本書是專為沒日語基礎的人而設計！情境分為「購物」「住宿」「在餐廳」「問路」「聊天」，IKU老師幫你嚴選了旅遊一定會講的、簡單又好用的句子。還親手在每頁畫上可愛又好懂的插畫。簡單又易懂，去日本玩絕對少不了它！ 
9789864410941," 求新求變、按部就班學習日語沒問題！近年來，隨著學習日語的廣泛普及、參加日語能力測驗的人數日漸增多，各種因應考試的書籍也相繼出版發行。這些都是日本語教育工作者們依學習者的需要，並加上各種創意所精心編輯而成。一直以來，日語教師總是致力教導學習者以考上檢定考試或能夠在日常生活中所需要之聽說讀寫的日文能力為目標。而在教學過程中，日語教師更不斷研發更具學習效果的教材，就為了能有效提升學習者的日語能力。這不僅是以教師的立場為觀點，更著眼於學習者的立場，為了幫助其目標所發展出的實踐性學習策略。本書作者教授的是初級日語，進而教授進階日語。過程中發現大部分學習者的學習日語動機，從赴日本留學慢慢趨向於在網路上與日本朋友交談、職場上或旅遊時應急需要。而自修者除了使用紙本教材外，也會利用手機、平板電腦等現代化科技，參考各種日語教學方式，收集了各種省時省錢與攜帶方便的學習方式。藉此了解到許多學習者學習日語的習慣與模式之後，讓本書作者更堅信了在這個多元化的環境中，就必須要有更多變化的教學方法。若還停留在以往僵化制式的學習方式，即使人們對日語或日本文化有高度的興趣，學習效果仍會大打折扣。本書便是基於以上種種理念而誕生的。本書涵蓋了「生活大小事」、「旅遊大小事」、「職場大小事」等主題，收錄了超過1000個以上最實用最常用的基本日語用句。其中再針對這三個主題細分為46個小單元，依照各種不同的情境和使用狀況，提供了讀者們連日本人也最常說的用法。內容以實用性為取向，並以培養聽說能力為主。內容引用合於時宜的語句，並加入了當地日本人必說之的詞彙，範圍小到生活周遭大至工作專業領域，是一本促使讀者們能運用自如的好用書。為了增加學習者的興趣，還額外添加了許多補充單字與日本當地的文化資訊，務使學習者能在此書中獲得更多生活知識。另外為了讓初學者能夠馬上開口說出句子，還在每個主要句子下方加註羅馬拼音，學習超有成就感。大部份的句子裡都提供中高級學習者更多特殊語句的衍生意思做為參考，以及其他類似句子及回答方式的使用方法，讓讀者增加學習深度。本書由專業的日籍老師錄製標準的日語發音內文，讀者可到官網上下載MP3音檔輔助學習之用。透過各個單元的句子學習，將更能確切地掌握住在每一個情境中適宜的使用說法。讀者們除了要懂日語基本會話之外，還能展現出日語的應用能力。只要按部就班地跟著本書學習各種形式的句子，便可培養出高度的應戰能力。 "
9789864410682,  學日語，一本就上手本書精選72個學日語最實用的生活主題，分為12大類：關於日本、居家、日常生活、醫院、交通、餐廳、食物、嗜好與運動等，讓你除了看圖輕鬆學日語，更能貼近日本生活。書中除了豐富的圖解字彙之外，還收錄了許多日本活動慶典的相關用字，例如相撲、歌舞伎、花道等等。情境對話方面，同時兼顧了日語初學者入門必備的「丁寧語」(即表示敬意的禮貌說法)和一般常用口語表達，搭配重點解析及中文翻譯，讓讀者一目了然。另外，本書特別收錄了18篇輕鬆小品，內容多以介紹日本特有文化與生活為主，讀來詼諧有趣。讀者可到官網下載本書的朗讀MP3，隨時練習最正確的發音。本書提供點讀功能，讀者也可以使用點讀筆隨點書上的內容隨聽。藉由這種一邊聽一邊練習的方式，讓你就像隨身帶著一位日籍老師一樣，效果絕佳。 
9789864410446," 學好生活實用句，開口說日語不害怕！本書規劃為13個主題，72個單元，收錄了大約4000個常說實用的日語句子。從人與人見面最先需要的「問候」開始，展開一系列後續的相關發展主題。包含「人際」之間的相處、「聊天」哈拉、「居家」生活瑣事、跟食衣住行有著密切關係的「飲食」、「購物」、「交通」，一直延伸到「休閒」和「戶外」等娛樂活動，以及上班上學都需要的「商務」與「校園」等範圍。話題多元充滿變化，兼顧了實用性和趣味性。在72個單元裡，我們會根據不同的狀況場合列出常用的實用句，這些句子大多是可以直接用來和朋友溝通的。如大家所知，日語有平語和敬語的使用方式和時機，若遇到有跟長輩或上司對話的狀況，也會特別再將說法區隔出來。我們將句子裡的漢字、英文、數字、甚至符號等都加上了平假名或片語名，方便讀者做讀句的練習。只要多加朗讀練習，就算沒有羅馬拼音字或其他拼音符號的輔助，讀者也能自己唸出句子來。當主句是問句的情況下，我們提供了適合的答句，讀者可以斟酌參考回答。在碰到有特殊說法或有需要解釋的句子，特別是一些日本風俗民情會有影響交談方式或內容時，日文老師也貼心附上了簡單易懂的小解說，讓讀者能立刻了解句子為什麼會這樣使用。本書提供點讀功能，讀者可利用點讀筆直接在書上做點讀播放的學習（點讀筆使用方式請參考本書p. 13），亦可使用隨書附上的朗讀光碟在電腦或播放機上做聽力練習。專業的日籍老師會根據句子的使用時機，唸出書上的好用句，讀者可參考老師朗讀的語氣和抑揚頓挫來學到道地的日語唸法。我們搜集日常生活中最常用到的好用句，以最清楚的條列式呈現，再搭配上老師的有聲朗讀教學，希望能讓讀者用輕鬆的方式學到好用的日語句。讓您在需要與人以日語溝通的場合裡，能立即做出適當的反應及對談。 "
9789864410149,  圖解單字＋會話練習＋知識小補充用輕鬆的方式，學好實用的日語本書精挑細選出85個日常生活中你我最常出入的場所和從事的活動情境，依照主題分類而成「日本文化節慶」、「居家」、「生活城市」、「旅遊休閒」等四大部份。其中，第一部份「日本文化節慶」綜合節選了與日本相關的人文物產（傳統技藝、著名景點）和特有的活動節慶（祭典、七五三），內容充實有趣，非常值得推薦給讀者共讀。學習單字，最快的方式就是先知道那個單字是長什麼樣子！所以本書的每一個單元，都是從生動精細的插畫所開始。我們採用圖解方式來呈現每一課要教的單字，搭配文中所列出的日文∕漢字∕羅馬字唸法、加上重音及中譯輔助學習，讀者們可隨時進入主題情境中邊玩邊學習。看過日劇或日本節目的人都知道，日本人在和別人對話的時候，會因為身分輩份甚至是性別的不同，而有不同的用法和語氣。課文裡的對話雖然不像單字一樣可以照單全背，但是能讓讀者了解前面學過的單字在實際對話中可以如何運用。如果有同伴一起學習，還可以作角色扮演，口說能力會進步的更快喔！學習的本身除了實用性，還需要加進娛樂性的元素，才能讓學習者記得多也記得牢。除了前面學過的單字和對話之外，我們在每一課結束之前還設計了和主題相關的知識小補充。每一則有趣有用的短文，都是日文老師想在這裡跟大家所分享的小知識。所以在「客廳」單元裡，我們有「榻榻米」的小知識和榻榻米的坐法；在「浴室」單元裡，讀者們也能了解日本人愛泡湯的由來和好處。希望透過這個部份，能讓大家了解更深一層的日本文化及生活習慣。這本書裡提供了點讀功能，如果你有點讀筆，可以先安裝光碟裡附上的點讀音檔，然後就能在書上隨點隨聽隨學。或者，你也可以利用隨書附上的MP3來學習書上的內容。這是一本功能強大、精彩絕倫、絕不無聊的日語學習書。無論你選擇哪一種方式學習，都會有不同的驚喜發現。學習語言，需要環境，也需要習慣，更需要輕鬆的心情來開始。期待這本圖解情境工具書，能作為你學習的堅強後盾。 
9789866163906,"  有沒有一天，看日劇不必看字幕？有沒有可能，開口說日語像說中文一樣自然？多希望和日本人交談不用比手畫腳加傻笑。開口說日語，怎麼說都是那幾句！？邊說邊考慮日語文法，到頭來句子總是零零落落。日語學了不知道怎麼開口嗎？全球語言學家一致認為：學語言不用學太多，但要學得精！專為想學日語的人所設計的「平民日語會話書」，只教最實用、最常用的萬用日語會話句！專為想學日語的人設計100個常用情境要學只學最精華的，全書內容依「生活篇」、「職場篇」、「旅遊篇」三大類，整理出一生中最常需要說日語的100個情境。這輩子，只要學會這2,000句就夠了！每則情境分別收錄約20句非學會不可的基礎常用日語會話，全書100個情境共約2,000句會話，無論你是三不五時去日本旅遊的背包客、偶爾接待日本客戶的上班族、喜愛日本文化的哈日族，準備短期出國遊學的交換學生，用本書建立屬於你的實用會話庫。一本在手，就能一輩子行遍天下除了會話關鍵句，更補充情境式對話練習、超實用句型及可替換的單字，培養舉一反三的應用能力，讓你學一句就能活學活用！隨時隨地、不同年齡均適用！內容適用範圍廣泛，無論生活、職場、旅行，從早到晚，無論在國內還是國外，再也不用擔心開口說日語！因為樣樣具備，所以你只需要這一本會看會寫當然不夠，讓你更理解日語會話發音重點，特邀外籍名師錄製聽力∕發音MP3， 放進手機或MP3播放機，隨時帶著走，把握任何學習時間。輕巧口袋大小，單字庫輕鬆帶著走書本特別設計成輕巧方便攜帶的大小，讓你隨時隨地，想學就學，麻雀雖小，五臟俱全，每天用一點點時間，學習一生必學的萬用日語會話，打造超完美日文能力！選一本，能用一輩子的日語會話書吧！不用艱深的文法，沒有專業的術語，開口說日語就是如此簡單！ "
