ISBN,書籍簡介
9789864070534,"  
我們敢保證！
我們敢發誓！
《世界最強日語50音記憶口訣》
是全球唯一只要靠聽、看「50音記憶口訣」，
在200分鐘內，
50音平假名、片假名的「辨識度」可達90%以上！


	如果你不相信，
	那我們先來讓你見識一下：
	「ち」唸［chi〕
	記憶口訣如下：
	「ち．ち．ち！5．5．5！
	5，7，5，7！長得像5卻唸7！」
	你是不是在看完這個口訣後，
	馬上就記得了「ち」的長相和發音！
	如果你還有懷疑，
	那我們再來一個50音片假名的口訣。
	「シ」唸［shi〕
	記憶口訣如下：
	｢シ．シ．シ！洗．洗．洗！洗先走了還是シ！｣
	附註：口訣中把「洗」這個字的「先」拿掉，長相就像是「シ」了！
	《世界最強日語50音記憶口訣》
	是真的讓你「用聽的」就能學會日語50音！
	保證「舉世無雙」、「全球僅有」、「永生難忘」。
	我敢發誓，
	世界上不會再有更厲害的「50音記憶口訣」了！

本書教你用50音「三大記憶法」，
輕鬆記憶50音！

	★    用「字源記憶法」記：
	無論是50音的「平假名」或是「片假名」，它都有一個和中文字很像的「字源」，有時會和這個50音有些相關或相似。
	《世界最強日語50音記憶口訣》編輯群耗時近一年，努力找出其中的關聯性，並創造出獨一無二的口訣！
	例如：す的字源是中文字「寸」，兩者長相也十分相似喔！

	★    用「口訣記憶法」記：
	《世界最強日語50音記憶口訣》編輯群利用「字源」及「圖像」的概念，發揮無限的想像空間及創意，創造了舉世無雙的「50音記憶口訣」。
	例如：「す」的發音為〔su〕,我們的口訣是：「すすす，す了一寸長的拉麵！」。
	「す」的音近似台語「吸」，口訣「す了一寸長的拉麵」，可同時記憶「す」的長相和發音，而且連「す」的字源「寸」都記起來了！

	★    用「圖像記憶法」記：
	《世界最強日語50音記憶口訣》編輯群為了能更加深讀者記憶，利用「左右腦學習法」的概念，配上可以永生難忘的「圖像」加強記憶。當同時搭配「口訣」和「字源」時，50音將永遠放入你腦中的「長期記憶」裡。
	例如：我們將畫一個人用筷子夾起一根長得像「す」形狀的拉麵，拼命用嘴「吸〔su〕」，很自然的你就馬上記住「す」的寫法！

《世界最強日語50音記憶口訣》，
只要200分鐘，50音平、片假名的辨識度達90%以上！
	步驟1：聽MP3中「記憶口訣」50分鐘
	步驟2：對照書本並搭配「記憶口訣」50分鐘
	步驟3：專心看本書中的「三大記憶法」50分鐘
	步驟4：再聽MP3中「記憶口訣」50分鐘

【使用說明】

	《世界最強日語50音記憶口訣》結合「字源記憶法」、「口訣記憶法」及「圖像記憶法」等3種世界最強的50音記憶法則，學會1種功力30％，學會2種功力50%，學會3種並能同時運用，讓你在200分鐘後50音的辨識度達90%以上。

	★世界最強記憶口訣
	完全針對台灣讀者量身打造的「50音記憶口訣」，教你用最有趣、最有效率的方式，「永生難忘」的記住日語50音的發音！

	★圖像式學習超有趣
	本書利用「字源」及「口訣」的特殊記憶方法，並藉由「左右腦學習法」的概念，搭配專業插畫家繪製能全力發揮左右腦記憶極限的插圖，藉由圖像式學習，讓你事半功倍，學習效果更加倍！

	★隨身字卡超好玩
	本書除了世界唯一的超強記憶口訣，並搭配好玩又有趣的50音字卡，讓你隨身攜帶，利用空檔就可隨時練習，檢測自身學習成效！

	★用聽的也能學
	MP3收錄了所有50音的口訣與中日文單字、對話，讓你即使在不便看書本的情況下，用聽的就能學會日語50音！

	★加碼附贈發音影片
	為了讓所有讀者能夠有標準的日語發音，特別加碼收錄日籍老師50音發音口形影片，讀者可透過影片實際揣摩嘴形與發音位置，學習最標準的日語發音。

	★世界最強學習方案
	聽、說、讀、寫一本通，讓你在最短的時間、用最聰明的方法學會日語50音！
	聽：利用MP3聽標準的日語發音與有趣活潑的記憶口訣。
	說：跟著MP3反覆朗讀，訓練對日文的語感，強化自己的口說能力。
	讀：以圖像記憶每個字音與字形，搭配記憶口訣，日文瞬間變簡單。
	寫：每個清音附有清楚的筆畫順序，練習筆順並重複書寫，日語書寫也難不倒你！ "
9789865529963,"  
	給零基礎初學者
	聽、說、讀、寫一次到位的入門教材！

	渴望學到100%標準發音和語調的你
	透過趣味50音圖像記憶與發音聯想小訣竅
	假名字源+文字結構+書寫筆劃+鍵盤打字+生活單字+常用會話
	一次通通教會你！

	解說詳盡，想學不會都很難！
	★日文字源：圖解中文漢字草書演變而成的日文假名
	★語調規則：同樣單字，不同重音、聲調意義大不同
	★書寫筆劃：圖解筆劃順序和方向，跟著寫，忘不了
	★鍵盤打字：手機電腦全都教，輕鬆用文字與人互動
	★生活單字：最常用、最核心的重點單字
	★常用會話：現學現說，說出最道地的日本生活用語

	附贈：50音書衣海報+電子檔習字帖
	搭配母語人士錄製QR Code雲端音檔
	讓你迅速學會最標準道地的50音！

本書特色

	◎92則作者親自手繪趣味聯想圖+記憶小訣竅，讓你再也沒辦法忘記日語50音
	◎一一詳解平假名、片假名如何從中文草書+漢字偏旁演變而來，寫一手端正優美的日文字超簡單
	◎隨書附贈日語50音書衣海報+電子檔習字帖，讓你每天看、每天認、每天寫，自然而然深印腦海 "
4719742140597," ‧本書內容除五十音平假名、片假名的直、橫式練習和字例練習‧收錄輕鬆易懂、常用的會話練習和日本文化、節日、名人、文學、食物等資料介紹‧附五十音表和日本地名、常見姓氏等，讓學習更全面 "
9789865560133,"  
	市面上學習日文的書這麼多，你知道要選哪一本入門比較好嗎？
	看著書上表格排列的50音，真的就能記得住？

	不要因為記不住50音，就對日文裹足不前！本書搭配作者親錄、好記有趣的50音發音解說，用「聽」＋「寫」的方式，讓你無壓力地記住50音，接著再用同樣方式進一步學習日文基礎的單字與句型，讓你一舉跨過日文學習門檻，入門日文，真的一點也不難！

◎四大單元，輕鬆入門日文！

	全書分成四章，從日文必學的50音開始，到日文基本的單字與句型，最後是日常生活中必會的時間、數字、數量詞說法，內容循序漸進，由淺入深，打破你對學習日文的刻板印象，以好學習、有效率的方式學會日文！
	四章內容分別為：
	PART 1 日文的基本知識
	PART 2 運用基本句型與好用單字
	PART 3 表達願望、喜好、感覺與能力
	PART 4 學習時間、日期、數量詞，以及方位相關用法

‧PART 1 日文的基本知識
	除了說明日文的結構與重音之外，五十音是本章學習的重點！本章的五十音不但以好記憶的表格呈現，而且搭配「筆劃順序」、「寫寫看」、「單字」、「單字插圖」讓你好學習，更重要的是還有超級有趣、彷彿老師在身邊解說發音的音檔，要你一邊聽一邊寫，在反覆聽、習寫中，就能不知不覺把五十音記住，不用再死記硬背！

‧PART 2 運用基本句型與好用單字
	跨過日文五十音學習門檻之後，接著學習日文的句型。本章運用八個日文基本句型，搭配主題單字，再以三個學習順序：「換個單字說說看」、「換個單字寫寫看」、「代換練習」，搭配音檔，要你一邊聽一邊寫，奠定日文基礎！本書不強調背單字，而是在代換練習句型中，加深句型印象，同時也增加單字量。

‧PART 3 表達願望、喜好、感覺與能力
	學會日文基礎句型後，本章列出八個進階句型，包含如何表達願望、喜好、感覺與能力，從簡單句型到動作的表達，單字運用從名詞進入到形容詞，一樣運用無壓力的「聽」＋「寫」方式，漸漸加深日文能力！

‧PART 4 學習時間、日期、數量詞，以及方位相關用法
	學習日文，不要一本書就壞了學習的胃口！本書在PART 2、PART 3讓你全盤了解日文的基礎與進階句型後，不再進入更難的句型，而是在本章直接說明在日常生活中一定會用到的時間、日期、數字、數量詞用法，要你融會貫通，輕鬆自在玩日本、交日本朋友！

	從50音到簡單基本的單字及句子，跟著《邊聽邊寫！簡單快速日文入門》一邊聽一邊寫，保證記得住，入門日文再也不是難事！想玩日本嗎？日文不必多，有這些就夠了！

本書特色

	1. 從50音學起，基礎單字、句型全收錄！
	2. 日籍作者親錄發音＋完全解說，超級有趣！
	3. 帶你描著寫，最有成就感！
	4. 50音搭配可愛插圖記憶，最好記！
	5. 邊聽邊寫，最後跟著唸，就是學日文的王道！
	6. 最好學好寫的有聲日文入門教材！ "
9789864071012,"  
單字不是不好背，只是你沒找對方法！
	日文不用死記硬背，
	單靠「心智圖」就能自然記憶！

	「心智圖」結合左腦語言處理、右腦圖像記憶，
	激發你的大腦潛能。
	並利用心智地圖整理記憶的連貫性，
	把相關聯、衍生、相衝突的單字，一次學會！
	只用一張心智地圖，就能串聯所有日文單字！


史上最強2大日文學習法首度大結合！
	1、全世界最有效的單字記憶法──心智圖！
	一張心智圖，串起所有相關日文單字，主題記憶，一次記牢！

2、全世界最有效的日文學習法──圖解記憶！
	一張插圖，整合關鍵單字與圖像，長期記憶，輕而易舉！

四大特點，讓你不再硬背單字：
1、獨家日文單字心智地圖
	心智地圖結合了「左腦語言處理」、「右腦圖像記憶」的特性，激發出大腦最大的學習潛能，不管是有意識的字字閱讀，還是無意識的頁面掃視，都能夠將所有的單字輸入腦中，靈活運用。

2、單字、插畫，同時記憶
	誰說心智圖都長得不好看？本書學習內容搭配Bonjour 小姐繪製的插畫，保留心智圖的圖像記憶優點，再加上可愛插畫強化圖像，學習內容重點一目了然。

3、100%日本生活單字
	人生苦短，想做的事情很多，就不要花太多時間在無謂的學習上。本書作者利用心智地圖整理出最實用的生活單字3,000個，日文單字在精不在多，要學就要學最實用的內容！

4、輕鬆開口說日文會話
	會話學得再多，不會開口也沒有用，根據統計，生活中會反覆說到的會話大約只有2,000句，由老師精心撰寫出2,500句會話，在各種情境、因為各種原因開口，都通通適用！

	找回記憶的連貫性，發揮大腦的潛能，
	一枝筆、一張紙，就能畫出屬於你的日文單字心智記憶地圖！
	用一張心智圖，串聯所有的日文單字！


	【使用說明】
	利用2大日文學習法，輕鬆背好日文單字！

	1  心智圖　マインドマップ
	結合左腦語言處理、右腦圖像記憶的特性，激發出人類大腦的最大學習潛能，每個主題都將相關聯、衍生、相衝突的單字整理在一起，找回記憶的連貫性，一次學習同義、反義、近義單字，舉一反三，不用死背也能輕鬆記憶。

	2  全圖解　グラフィック
	經實驗證明，圖像記憶的學習效果是純文字學習效果的三倍，本書學習內容搭配Bonjour小姐的插畫，以圖解方式讓讀者藉由圖像輔助記憶，透過插畫與心智地圖的結合，強化圖像記憶的優點，一眼就掌握學習重點，快速加強記憶。

	除此之外，這本書還有──
	超好用的生活常用會話句
	學了不敢開口都是白學，老師依據各種最貼近日常的生活情境，撰寫最實用的生活會話，會話更補充關鍵單字，讓你學得好又學得巧！

	文化重點補充
	要學好一門語言，除了基本的單字、會話之外，文化背景以及生活常識也很重要，本書隨機補充該單元的文化重點、特殊風俗習慣與文化等，讓你學好日文之餘，也能學到更多知識。

	隨掃隨聽MP3
	學習不只侷限在書桌前，只要有一支手機，日文課程隨時都能啟航。全書特邀專業日籍老師錄製MP3，只要使用「VRP虛擬點讀筆App」掃描書中的QR Code，就能馬上聽到單字及會話句音檔。聆聽老師的語調並跟讀，矯正發音，你的專屬日文課程隨時都能開始！
	★ 本書未附CD，不提供光碟燒錄服務。

	［VRP虛擬點讀筆App介紹］

	1. 為什麼會有「VRP虛擬點讀筆App」？
	（1）以往讀者購買語言學習工具書時，為了要聽隨書附贈的音檔，總是要拿出已經很少在用的CD 播放器或利用電腦，又或是轉存到手機來使用，耗時又不方便。

	（2）坊間當然也有推出「點讀筆」來改善此種學習上的不方便，但是一支筆加一本書往往就要二、三千元，且各家點讀筆又不相容，CP值真的很低。

	（3）後來雖然有了利用QR Code描掃下載檔案至手機來聽取音檔的方式，但手機不僅必須要一直處在上網的狀態，且從掃描到聽取音檔的時間往往要花個五秒以上，很令人氣結。

	（4）因此，我們為了同時解決讀者以上三種困擾，特別領先全球開發了「虛擬點讀筆」App，並獲得專利，希望這個輔助學習的工具，能讓讀者不僅不用再額外花錢，且使用率和相容性也是史上最高。

	2.「VRP虛擬點讀筆App」就是這麼方便！
	（1）讀者只要透過書中的QR Code連結，就能立即下載「VRP虛擬點讀筆App」。（僅限iPhone和Android二種系統手機）

	（2）「VRP虛擬點讀筆App」下載完成後，可至App目錄中搜尋需要的音檔或直接掃描內頁QR Code一次下載至手機使用。

	（3）當音檔已完成下載後，讀者只要拿出手機並開啟「VRP虛擬點讀筆App」，就能隨時掃描書中頁面的QR Code立即讀取音檔（平均1秒內）且不需要開啟上網功能。

	（4）「VRP虛擬點讀筆App」就像是點讀筆一樣好用，還可以調整播放速度（0.8-1.2倍速），加強聽力練習。

	（5）如果讀者擔心音檔下載後太佔手機空間，也可以隨時刪除音檔，下次需要使用時
	再下載。購買本公司書籍的讀者等於有一個雲端的CD櫃可隨時使用。

	（6）詳細使用及操作方法請見書中使用說明。
	（雖然我們努力做到完美，但也有可能因為手機的系統版本和「VRP虛擬點讀筆App」不相容導致無法安裝，在此必須和讀者說聲抱歉，若無法正常使用，請與本公司聯繫，會有專人提供服務。 "
9789862489314,"  
這是一本不讓你打瞌睡的日文單字書！

「背單字」原來這麼療癒啊！

走吧！143個日本零食帶你一起瘋超市！

	 

	「ようこそ Eiko醬燒日文」版主、人氣日語教師 Eiko過來人說：

	人生不能沒有零食。留學時、工作時，我的體重都曾敗給過日本的零食。能夠說出和零食相關的日文，絕對是與日本人交流的一大助力。快拿起本書，堂堂正正地吃零食吧！

	 

	「雪奈日劇部屋」版主  雪奈像極了愛情說：

	每次去日本旅行都會到處尋找美食與點心，有了這本《用零食學日語》完全可以當工具書使用，商品插圖看了就飢腸轆轆、大飽眼福，而且輕鬆記住相關日語單字，真的好實用！

	 

	「日本零食! お菓子! Japanese Snacks」版主、旅日美食作家  和菓子大燃日本魂說：

	翻開任何一頁都讓人好想吃！好想學日文！好想去日本！用日本零食教你學日文，一本最有趣的美味語言學習書！ 

	 

	「哈捏口推特翻譯」版主  哈捏口甜滋滋說：

	怎麼有一本書能夠如此可愛又實用呀！

	邊做零食鑑賞邊背單字，一口氣滿足既是吃貨，也是語言狂熱者的你！

	 

本書特色

	 

【好記又實用的日文單字和用語】

	本書精選了可在日本超商、超市等地看到了6大類的143種日本商品，這些商品上的日文單字和用語，簡單又貼近生活所需。

	 

【可愛有趣的日語學習圖解教材】

	本書不但有各種色彩繽紛的日本商品插圖、可愛有趣的人物漫畫對話，還有實際的日本商品照片。除了滿足你的視覺饗宴之外，透過精彩的漫畫，亦可學習道地又好用的日文口語表現。

	 

【瞭解豐富多元的日本飲食文化】

	藉由日本商品名稱、廣告文宣、成份的日文單字和用語， 可以觀察到日本飲食文化的多樣性，且能大略掌握現代日本人的飲食喜好。

	 

名人推薦

	 

	居家料理達人 肉桂打噴嚏　嘴饞推薦

	  "
9789579699792,"  
	誰說插圖只能學基礎？
	用圖解將單字、助詞、文法的學習問題，
	從基礎到進階，突破一直卡關的關鍵障礙
	 
	為什麼這100個單字、助詞、文法，
	會一直問、常寫錯、常用錯呢？
	因為你印象不夠深、理解不透徹，當然會用錯，
	王可樂老師將觀念濃縮成100個圖解，視覺化學習，
	讓你認真除錯，一次突破！
	 
	★品質保證！線上日語學習第一品牌王可樂，系列書累積熱銷突破20萬本！
	★精準舉例！好像走入老師的腦中，讓你不懂也難。
	★碎片化學習！每天一個觀念，三個月基礎觀念加倍！
	 
	■誰適合讀這本書
	1.你的日語程度剛從基礎到進階，總覺得有哪裡沒打通，卡卡的
	2.你喜歡看圖，更勝於看字
	3.你希望看到很多觀念和生活例句，而不是一堆理論，或者不符合情境的舉例 "
9789577106773,"  
簡單、詳細、實用
打造日語好基礎！
學習日語的第一步再也不枯燥！


	本書從基礎開始仔細介紹五十音的來源，並補充豐富的初級單字，搭配上羅馬拼音、以及日籍老師錄製的音檔，讓你一邊練習聽力一邊學五十音，還可以累積單字量喔！

	學習日語的時候，初學者常常會因為漢字寫法跟中文的不同而感到混亂，本書按照筆畫排序常見的中日漢字寫法對照表，讓你方便查詢、學習更有效率。

	除了把五十音背起來之外，寫一手「美文字」也是現在許多人努力的目標！本書精選日本文學中的名言佳句來製做成練習帖，只要好好練習你也能寫出一手漂亮的日語喔！

	此外更穿插了許多豐富實用的日語專欄，學習五十音的過程中更可以補充許多有趣的小知識喔！

本書特色

	●附CD邊聽邊學
	●初級單字補充（附羅馬拼音）
	●精選日本文學名言佳句練習帖
	●常見中日漢字寫法比對表
	●實用專欄補充 "
4719742130215," 本書除基本日語50音、平假名與片假名的練寫外，更收錄十大生活主題，搭配大幅精心繪製的情境式畫面，每個單元介紹20個相關單字，每個單字，皆附中文解釋，讓您學日語，效果事半功倍！ "
4715006427619," 尺寸： 二開 "
