ISBN,書籍簡介
9789869894616,"  
學完初級日文，就看這一本吧！

單字、文法、閱讀、聽力，

四大學習面向，一次就能學好學滿！

	 

完全制霸N3日文，

完美銜接N4-N5課程！

	 

一個剛學完初級日文的自學者，

連接下來學什麼都不知道，要怎麼挑選課本呢？

	 

《專為初學者準備的日文課本》

是你在日文學習路上的明燈，

跟著王可樂老師做系統化、全面性學習，

跨過學習關卡，一次打好日語基礎。

	 

《專為初學者準備的日文課本》完全符合N3程度！

是從N4-N5晉升到N3的制霸攻略！

	 

學完50音，最重要的事是什麼？

	（X）背單字 →背單字最無聊，學習熱忱馬上就被消磨殆盡。

	（X）學文法 →大字不識幾個，直接挑戰文法書，看了幾頁就頭昏放棄。

	（X）練會話 →剛開始很實用，但講來講去就只會那幾種句型、幾個單字。

	（O）all in one學習 →初學者是塊海綿，當然是各面向同步學習，才有成就感！

	 

學完初級日文後，不知道接下來該學什麼？

	內容要實用、要有成就感，學習者才有動力往下學，本書專為「日語初學者」以及想「打好日文基礎」的人設計，王可樂老師用15堂課，讓你一次學會N3、N4、N5的單字、文法、會話。

	 

王可樂的日語教室，上課嘍！

	由從事日語教學10年、擁有38萬粉絲的網路最強日語粉絲團「王可樂日語」親自撰寫，集合教學上、網路上日語學習者最常忽略的細節，讓你學好學滿不當日語半吊子。

	 

■ 專為日語初學者準備──

˙ 15堂日語必修課

	以環環相扣的文章，串聯成15堂日語必修課，從文章帶出必學單字、關鍵文法，加上可樂老師擅長的拆解文章技巧，不僅能讓你看懂日文句，更能提升文法記憶度、兼顧單字和閱讀。

	 

˙ 330個關鍵文法

	語言學習需要層層累積，前面基礎打穩，之後學習才能穩健紮實。可樂老師精心整理的330個關鍵文法，幫助學習者跨過N4-N5 學習關卡，一舉提升到N3 程度。

	 

˙ 可樂老師真人教學影片

	光看文字還是不懂？沒關係！本書收錄8支可樂老師與原田千春老師的真人教學影片，掃描影片連結，就能上一堂專屬日文課。

	 

˙ CD片＋虛擬點讀筆App

	邀請日籍老師親自錄音書中每篇文章與單字，隨書免費附贈1張CD片，方便學習者在家使用播放器聆聽。或也可選用書中免費附贈的VRP虛擬點讀筆App，只要事先下載音檔，就能隨掃隨聽，離線也能聽。

	 

■ 本書適用於──

	˙ 學完初級日文，不知道接下來要學什麼的學習的人。

	˙ 曾經學過日文，但想要再系統化、全面性學習的人。

	（本書程度符合新日檢N3、N4、N5程度。）

	 

	 

【使用說明】

學完初級日文，看這本就夠了！

	跟著王可樂老師，一次跨過學習關卡，

	文法夠關鍵 + 內容夠豐富 + 解說夠詳盡 + 學習夠全面！

	 

1. 循序漸進──15堂日語課

	傳統課本多是片段式的會話、排排站單字與文法，枯燥無味難以自學閱讀。這本課本以15篇相關的故事作為課文，串聯成15堂日語必修課，跟著文章主角從生活中學日文。

	 

2. 一眼看破──文章拆解技巧

	看到日文文章就倒抽一口氣？看不懂句意就自我放棄？可樂老師最擅長的文章拆解技巧大公開，讓你一眼就能看懂日文句、一眼就能掌握文章大意，更能同時提升對文法的記憶度。

	 

3. 文法學堂──逐段解析

	文法不是教條，硬背是沒有用的，可樂老師精心整理出330個關鍵文法，程度涵蓋N3-N5，融貫在課本的每段文章中，透過逐段講解，不僅能打穩基礎、更可以向上學習，讓你日文學習不卡關。

	 

4. 影音講解──真人教學影片

	本書附贈8支真人教學影片，包含可樂老師講解文法的影片4 支、原田老師講

	解聽力的影片4 支，讓你看完書後再看影片，跟著可樂老師學好日文。

	★ 真人教學影片，請使用一般QR Code掃描器，連結到YouTube觀看。

	 

5. 同步學習──重點單字 + 練習題

	每篇課文皆補充至少20個重點單字，標示日語拼音、重音、中文意思。並提供10道題練習，可做學習成果檢測。

	 

6. 數位化學習──虛擬點讀筆App

	邀請專業日籍老師清水裕美子獻聲，錄製書中的課文與單字。只要拿起手機，下載並執行虛擬點讀筆App，掃描書中QR Code，完成音檔下載後，就能隨掃隨聽、離線也能聽到老師的專業發音。

	★ 本書亦附贈CD片，讀者可自行選用喜歡的方式聆聽音檔。

	★ 本書附贈CD片內容音檔為MP3格式。

	 

［VRP虛擬點讀筆介紹］
	1.為什麼會有「虛擬點讀筆App」？
	（1）以往讀者購買語言學習工具書時，為了要聽隨書附贈的音檔，總是要拿出已經很少在用的CD 播放器或利用電腦，又或是轉存到手機來使用，耗時又不方便。
	（2）坊間當然也有推出「點讀筆」來改善此種學習上的不方便，但是一支筆加一本書往往就要二、三千元，且各家點讀筆又不相容，CP值真的很低。
	（3）後來雖然 "
9789573283089,"  
「時雨の町-日文學習園地」管理者時雨推出新作！
從每日瀏覽人次都破8000以上甚至破萬的人氣日語網站，
集結初階日語學習者最常遇到的４大瓶頸與常見問題！


 背好五十音後，才真正開始進入日本語的世界！
 想要學好日語，在初級就要搞懂助詞的使用、授受動詞的不同；
 而日語漢字與中文詞彙有重疊之處，但意義大不相同者百百款，
 這是母語中文的人容易忽略的致命傷……
  
 人氣度與討論度皆高的日語學習網站「時雨の町」，
 這次細細整理出N4～N3的日語學習者最常搞不懂、看不透的關鍵，
 以簡單扼要的文字、輕鬆練習的快速短句，讓讀者進入狀況，掌握文法又抓住語感。
  
 ▶ 學習語言，語感很重要
 不是在日本生活的學習者，若沒有大量閱讀與接觸，很容易因為中文翻譯的意思相似或相同，
 而套用於日語使用上導致細微的錯誤，形成中文式日文，可能「可以通」但卻「不自然」！
  
 ▶ 搞懂助詞正是解讀日語句子的開始
 日語的助詞非常多種，是學習者真正能夠解讀日語句子的關鍵。
 在此，透過一目了然的條列式整理，協助讀者理解助詞為什麼這樣用？
 又為什麼在這個句子中，是使用這個助詞？……
  
 ▶ 授受動詞，一堵日語學習者的高牆
 在日語的使用上，「授受動詞」絕對是一大重要觀念。
 除了理解「施」與「受」的對象，也要瞭解「使用的時機」。
 當此任督二脈一打通，就能看懂到底是A幫B做了什麼事，還是B請A做事。
  
 ▶ 注意！日語漢字詞彙跟中文詞彙根本一模一樣，但其實意思卻大大不同
 日語中有許多詞彙與中文相通，卻也很多「長得一樣，骨子裡一點都不像」的詞彙。
 本書列舉10個很容易「被誤會」的、中文使用上也存有的漢字詞彙，於日語的閱讀、寫作上，都相當有幫助。

★特別收錄：自學者常見問題！

 時雨老師一次解決你日語N4～N3的所有困擾──
 ➤ 登愣！「ありがとうございます」、「ありがとうございました」不一樣嗎？
 ➤ 到底什麼時候用「は」或「が」啊？
 ➤ 「深刻」這個詞彙日語也有耶！所以「讓人印象深刻」翻成日語時可以直接套用嗎？
 ➤ 我想要跟日本人的腔調一樣，但總是看不懂重音……
 ➤ 授受動詞，到底是我給你、還是你給他，還是他給我啦？ "
9789863210863,  熟悉句型將是關鍵的一大步！ ★本系列推薦給：1.想豐富口語表達的您2.準備日本語能力試驗N4～N5的考生3.想一箭雙雕N4、N5句型的您 以日本語能力試驗出題為基準，全新改訂！N4～N5重要句型附中文解說，簡易專欄讓學習效率加倍、日語溝通能力ＵＰ！ 本書特色★網羅初級～中級基礎句型全書依情境、意義、功能等分為20個單元，並全面修改了例句及解說，內容更加淺顯易懂，可穩固學習者的運用能力。 ★N4～N5 考前準備一把罩！以日本語能力試驗出題基準，同時收錄N4、N5句型，加上本書句型皆標示級數的特性，作為考前文法對策也毫無死角！ ★系統性編排與複習題，循序漸進好輕鬆！各單元由課前預習導入句型解說，課後附有練習題。循序漸進的方法可增加學習效率。 ★搭配記號，一目瞭然！本書設計的記號，清楚標示各句型的使用時機、文法注意事項等，讓您迅速掌握句型要點！ ★8篇「專欄」帶您正確理解文法本書共附8篇專欄，將各種句型共通的重要觀念等整理其中。要理解句型之文法接續或語彙是否正確使用，必看此專欄！ ★書末整合初級重要文法項目與句型書末附有五項「小結」單元，統整出初級程度的重要文法項目與句型，可作為總複習或是綜合學習之用。      查詢便利，應用廣泛書末附有五十音索引，便於學習者能快速尋找各句型的詳細解說。本書除了作為教材，也可作為文法工具書參考使用。 
9789869778473,"  
在學習日文的過程中，你是否總會遇到自己一知半解的文法問題呢？即便上網查詢，即便問了老師，你是否仍對自己所得到的答案不甚滿意，總覺得還是哪裡不足，無法解開自己心中的癥結點呢？又或者你「生性閉俗」常常滿是困惑，卻不好意思開口提問呢？

	你的需求我們聽到了！本書集結了日語文法中，最關鍵的70個問題，解決你滿腦子的疑惑，並告訴你很多你以為你懂，但其實你不懂的日語文法！

	・「は」跟「が」有什麼不一樣？
	・「直接被動」、「間接被動」？「強制使役」、「使役被動」是什麼碗糕？
	・「〜に」還是「〜で」？「助詞能不能省略」？
	・意志動詞是什麼？無意志動詞又是什麼？持續動詞是什麼？瞬間動詞又是什麼？
	・什麼？「現在式」不是「現在事」喔？
	・「サンマを焼く人」與「サンマを焼く匂い」，兩種的修飾構造有不一樣嗎？
	・蛤？從屬子句還有分從屬度喔！
	・「敬語」跟「敬體」有什麼不一樣？「尊敬語」跟「謙讓語」又是什麼？

	這些你問日本朋友，他們也不見得回答得出來的問題，本書不藏私地全部為你詳細剖析！

	本書作者為專業且擁有日本合格日語教師認證的日文老師，從事日文教學逾20年、專業撰寫日文檢定教材，也常於自己的部落格、粉絲頁或者日語學習社團裡，發表關於日文文法學習的文章。本書彙集了作者數十年來所寫的文章以及教學生涯中學生、網友所提出的問題，去蕪存菁，整理成了這本涵蓋大部分的日語初級語法範疇的寶典，總共70個問題。相信本書裡應該有許多你想知道的問題答案、甚至是你自己學習時沒意識到的問題。

	由於本書採「問題式」的編寫方式，因此有些說明簡單，有些說明較困難。單篇挑著看也可以，從頭開始細細品味最順暢。整體程度控制在初級以及中級前期，也就是擁有N4程度的讀者就可以看得懂本書的基礎篇，擁有N3程度就可以看得懂進階篇。讀者可利用閒暇時間，輕鬆讀個兩、三篇，相信本書一定能讓你學習到「你以為你懂，但其實你不懂」的日語文法！

	最後，若您想從頭打好日文基礎，考過日檢，請一定要參考本社所出版的『穩紮穩打！新日本語能力試驗』的各級文法喔。祝各位學習順利！ "
9789866946417," 語言的學習有兩個層面，一個是理解的層面，另一個是記憶的層面。理解是了解語言的構句方法，也就是文法的層面，記憶則是提供構句的材料，即是單字的層面。 或許長期以來考試方式所造成的扭曲，外語學習者對文法普遍抱著敬而遠之的心態，不敢正面的面對，老是企圖用記憶的方式來廻避理解，不但効果不彰，反而産生對外語的排斥。外語學習効果不佳者，不是拼命記單字就能解決問題，反而是冷静下來，確實面對句子的結構問題，也就是文法問題。文法既然是個法則，就表示其是在一個軌道上運行，照理應該比亂無章法來得容易掌握，但外語學習者感覺的為什麼不是如此呢？問題出現在：所謂外語學習者，其思考已存在著由母語所建立的準則，也就是學習者腦内已建立一條「軌道」，往往把這條已習慣的軌道作為運行其它語言的準則，即所謂的「母語干擾」。母語的干擾在外語的學習上處處可見，但以構造上的干擾最為麻煩，因為它是從思考方向徹底干擾，可説是：打從骨子裏的干擾。 不同的語言，表面上雖然有不同的架構方式，但既然都處於相同的世界，則其産生表面架構的深層思考邏輯（概念）應是一致的（若不是一致，則人類不可能互相學習對方的語言）因此，當我們要了解一個與自己的母語體系不同的外語結構，就必需由深層的邏輯思考（概念）切入，而這種共通的邏輯思考可以由動詞作代表。本書乃秉持以上的見解，以動詞為核心，對其周邊的結構做詳細的分析，提供讀者新的語言思考模式，而這個模式不只是適用於日語，也有助於其它外語的學習。 本書以問答的方式解説日語的文法觀念，因此毎個單元都可獨立閲讀，適用於各個階段的日語學習者，但為了解日語的一般構造，建議讀者先從『日語的句子形態＆品詞的種類』一章開始。尤其最為學習者所困擾的動詞活用，本書以獨創的「五指學習法」，深入淺出地説明動詞的活用。最後希望藉由本書能為你建立學習日語的正確思考模式。 本書特色： 1. 從入門至一級程度的日語學習者皆能適用。 2. 採問答方式，循序漸進、建立正確的文法觀。 3. 突破傳統，配合自創圖形，以活潑、易懂的方式了解日語的句子結構。 4. 例句豐富，漢字皆有注音與解釋，不必再查字典。 5. 讀了本書，讓你不再害怕文法，能輕鬆應付各級的文法檢定。  "
9789863211365,"  
培養聽解能力，增進讀解能力，提升寫作能力！
  

幫助學習者通往中級，並培養閱讀與寫作能力！

 本書以學完《大家的日本語初級、進階 改訂版》等初級教材的學習者為對象，目標是幫助學習者順利進入中級，培養短篇文章的閱讀能力，以及整合題目的作文能力。所選的文型表現約為日本語能力試驗N4後半至N3前半的程度；每課生字、學習項目一覽有中、英語的翻譯；另附CD，可以2種不同的速度來聽課文， 或作為課文關鍵字的聽寫練習。

 本書構成：

 ●課前討論
 進入主題前的暖身準備。

 ●本文
 內容為約250～350字的文章，並附單字練習與內容確認等單元。

 ●新的文型表現
 學習項目的提示與例句。

 ●練習
 從簡單的填空、照樣造句到短文練習，讓學生熟練新的句型。

 ●作文
 可依照問題按序書寫，也可自行發揮。

 ●聽寫練習
 有緩慢、普通兩種速度，可依學生程度選擇。 "
9789867271631," 本書整理了初級的重要文法，為剛學完初級，想要短時間內做集中複習的學習者編寫而成。複習基礎的同時，比較各種表現形式的異同，掌握日文語感。除了幫助理解的插圖，解說部分還有中、英、韓文翻譯， 相當適合作為教學或自學教材。 "
9786263046269,"  
	◎「神啊…請告訴我試題答案吧……」

	「這……我也不知道啊！！」

→苦(くる)しい時(とき)の神頼(かみだの)み／臨時抱佛腳

	 

	◎「快遲到了〜〜 動作快〜〜」

	「你衣服……沒翻到正面，而且前後穿反了……」

→急(せ)いては事(こと)を仕(し)損(そん)じる／欲速則不達

	 

超貼切！超爆笑！的日本慣用語學習書，

用幽默文字+生動插圖解說，

帶你輕鬆記住日常生活、動物、金錢、季節、人際關係等，各領域的常用慣用語!!

	 

◎五步驟，快速熟記慣用語內涵！

	 

1.原文／中文翻譯

	老祖宗們所留下來的、帶有預言性質的短句。

	 

2.插圖

	讓人一看便知慣用語的內容，增加閱讀樂趣，引發讀者「心有戚戚焉」的共鳴。

	 

3.解說

	掌握慣用語的意思、典故，以及精妙之處。

	 

4.用法

	參考說明範例來活用慣用語。跟同學、老師、爸爸、媽媽露一手時，他們一定會大感驚訝吧！

	 

5.被慣用語說中的你！

	這是寫給心想「也太神，居然被慣用語說中了！」的你的一段話。相信應該（？）能為你帶來助益。

	 

	從哪一篇開始讀起都無所謂！光看插圖也很有趣喔！

	一起找出喜歡的慣用語，活用在生活當中吧！ "
9789862488935,"  
最瞭解學生需求的王可樂日語最新力作！

整合動詞變化和基礎句型的超完整題庫加影音教學，

自學與複習兩相宜！

王可樂要讓你知道，

動詞變化從句型來學才好懂、

句型從動詞變化來歸納最好記！

	 

	句型是構成日文文章的重要成分，

	而句型當中往往包含動詞變化，

	因此句型與動詞變化的學習應該是密不可分。

	著眼於動詞變化卻忽略了在句型中的應用、

	或注重句型卻無法結合動詞變化做系統性地整理，

	是目前市面上教材與練習本較為缺乏的部分。

	 

	這是一本最簡潔易懂的初級文法教戰手冊兼題庫，

	史無前例統整所有動詞變化與N5~N4句型，

	針對容易混淆的部分，

	用最簡單的方式說明核心意義與使用限制、

	最生活化的例句示範使用情境，

	讓您迅速掌握初級句型，

	生活必用、檢定必考90個文法迎刃而解！

	 

本書特色

	 

1. 搭配王可樂線上影音解說實戰練習：

	每章皆附有QRcode連結王可樂教學影片，針對每一個動詞型態詳細解說，為動詞變化尚不明瞭的自學者指點迷津。

	 

2. 全台第一本用動詞變化統整句型：

	將各種動詞型態與音便變化方式統整為12種動詞變化形，外加名詞形容詞，以此13個詞類形態為主軸歸納句型，方便記憶。

	 

3. 最完整的大量句型練習題：

	各句型包含照樣造句與看圖造句等題型，針對各句型都有10~15題以上的練習，習題種類與數量皆相當豐富，依循本書［Ⅰ.三套動詞規則示範→實例→大量變化練習］＋［Ⅱ.應用句型→短句實例→大量造句練習→長句實例→大量造句練習］步驟，熟悉動詞變化方式並瞭解如何應用，透過由簡入繁循序漸進地大量書寫，無形中習慣動詞變化、提升句型應用能力。

	  "
9789865405588,"  
十年集大成之作，全新日文學習教材，終於上市！
	 
	以「うめ大学」的台灣留學生「黃玲麗」為中心，串連出和日本人「中谷香枝」、「岩崎」等人的人際交流與在日本的生活點滴，一步步地引導出日文學習的情境。
	 
	這是一本內容豐富，有聲音也有圖片影像，能讓你輕鬆學習日文的教材，程度完全對應JLPT N4！對於各類動詞變化及相關句型、自他動詞、條件句、尊謙敬語等文法，都有易懂易學的獨家解說。若搭配教學影片一起學習，效果會更好！
	 
本書特色：
	 
精選最新單字＋容易混淆的文法比較
	本書精選420個單字。配合時事與時代演進，收錄最新型的單字，例如「スマートフォン（スマホ）」等，以生活化、實用性為主，讓學生透過單字搭配句型，講出符合現代用語的日文句子。
	 
	針對容易混淆的文法，也附有詳細地差異解說，例如「～ば／～たら／～と／～なら」的比較等，以最簡單地方式，說明文法的特徵與使用限制。
	 
文法量最全＋大量的練習題
	本書共收錄53個文法，文法量最多也最齊全，能夠完全掌握JLPT的必考內容。每個文法中導入大量練習，依據不同句型，以填空或造句的方式讓學生自行填寫。每課的結尾都附有「まとめ問題」，供學生立即檢視學習成果。每2～3課會再有一個「復習」，特別針對這幾課所收錄的文法，做最完整的綜合練習。練習題數量多且題型豐富多元！
	 
精美插圖＋實用的日文豆知識
	本書共有七位角色登場，人物個性鮮明又活潑，配合課程及不同的會話場景，更有相對應的插圖，能增加日文學習的樂趣。
	 
	書中隨處可見的「豆知識」，不只能學習日文，藉由「豆知識」更能親近日本的文化習俗。
	 
中文翻譯＋ 免費單字會話發音、文法影片教學
	本書的所有文法例句、會話、練習題等，都附有中文翻譯，並提供解答別冊，不需另外購買。
	 
	書中單字、會話的發音，也可以透過QR CODE掃描聆聽，對於部分較難理解的文法，更能使用COCOAR 2觀看教學影片。
	 
豐富的附錄資料＋詳細動詞變化表
	本書的附錄中，補充了大量學習資料，例如「各類動詞變化的練習（初級2）」、「他／自動詞彙整（初級3）」等，於各冊的最後也附有「動詞變化詳細表格」，方便查詢。 "
