ISBN,書籍簡介
9789575325473,"  
「與其求一句妙譯，應先求真正了解日文原意。」
──日文翻譯老司機


	對日語教學、華語教學熟門熟路的老司機，要發車帶各位通往日文翻譯之路啦，新手快上車！

	首發車《不小心當了日文翻譯？ 新手譯者的教戰守則》，專收下列對象：

1. 「這句話……我不知道中文要怎麼說耶」
	多少有過翻譯經驗的你，可能自己說過，或聽朋友說過：「這句話……我不知道中文要怎麼說耶……」

	老司機把話說穿：如果有一句話你不知道中文要怎麼說，並不是告訴人家你日文有多好，往往是因為你看不懂日文原文的真正意涵。

2.  「中文沒什麼差別」
	許多日文句子，用中文翻譯起來幾乎完全沒差別，但日文中的「意境」其實大不同。身為譯者，你可能覺得「既然中文沒有差別，那就沒問題吧？」

	當然不是！老司機守則：譯者就是有讓讀者或聽者不混淆的責任！

3. 「這……是一種語感」
	許多人碰到翻不出個所以然來時，就說「這……是一種『語感』」，搞得好像那句話只能意會不能言傳般神祕。

	老司機就是要告訴那些喜歡講「語感」的人：「知之為知之，不知為不知，是知也！！」

	最後，上車前，老司機提醒即將上路的新手譯者：
	翻譯有可能是一個新發明，也可能將錯就錯而影響一世代，
	翻譯必須站在當時、當地，聽當代事、講當地話，要有穿越時空的本事。
	想清楚了，就上車吧！

本書特色

	■   為「砍掉重練系列」番外篇，喜愛此系列的讀者千萬別錯過！
	■   翻譯能力和檢定級數沒有正相關，本書任何程度皆適用，且雅俗共賞！
	■   收錄近幾年四技二專及國家高普考、特考日文翻譯考題。
	■   是史上談最多18禁卻又不是18禁的日文學習書！ "
9789866020124," 學習外語的動機因人而異，有人為了興趣，亦有人為了工作，然目的一致：溝通。文化的傳遞與交流幾乎無法避免使用語言。在雙方皆不懂彼此語文的情況下，欲傳遞彼此文化的方式，不外乎透過翻譯。透過翻譯（筆譯或口譯）這個手段，除能將自身的文化傳遞給對方外，同時亦可將別國的文化引進來。所以「翻譯」這門課，在外語系的課程中，是一門重要且必修的課程。綜觀坊間，關於中日文翻譯的參考書並不多，尤其入門階段的更少。常有擔任此門課的教師們來電詢問，是否有適合的相關參考書籍可當教科書用。有鑑於此，本社編輯部為因應學習者的需求，著手蒐羅「中譯日」的相關資料，並配合學習者的程度與授課時數，彙編成冊，以供參考。全冊共有三十七個單元，每單元除說明單元關鍵字的翻譯方法外，並附有練習題及補充練習，其參考譯文以附錄方式登載於卷末。翻譯本來就會因人而異，同樣的句子，有數種不同的譯法，並不足為奇，故「參考譯文」顧名思義，僅供「參考」之用，並非絕對的標準答案，在此先作聲明，以免有所誤會。再者，每單元各自獨立，互無關連。故教授者可依學習者的需要，無須按單元順序，可自行挑選適當的單元進行授課。本書的編纂只是一個嘗試的開始，希望今後能有更完整的內容呈現給大家。本書若對「中譯日」這門課程有些許助益，實為編輯群的莫大榮幸。尚乞先進們不吝指教。 "
9789863211389,"  
寫作時總是煩惱從何處下筆？
 不知該如何運用習得的詞彙與文法，有系統地寫出一篇文章？
 快使用《大家寫作文》練功，讓您信手拈來、暢行無阻！
  
 學完初級階段的學習者皆適用的寫作輔助練習教材。

 在初級階段的寫作練習，請學習者統整學過的詞彙和文法等知識，以身邊事物為主題進行自由創作時，往往會看到學習者僅羅列出幾個短句，組合成令人難以理解的文章。這是因為寫作時並沒有從整體結構的角度來撰寫所造成。
  

 只要跟著本書內容，一步步穩紮穩打，練習掌握文章整體結構，學習意識到談話進展的寫作方式，便能在初級打好寫作基礎，順利邁向中・高級的寫作練習！
  

 本書挑選20個十分貼近生活的主題，分為對應《大家的日本語 改訂版》共50課的「基礎篇」，以及銜接中級的「進階篇」兩階段來學習，幫助各位學習者從初級階段輕鬆愉快地寫作。

 鍛鍊寫作四大招式：

 ★掌握文章整體結構，寫出統整性文章
 　透過「流程練習圖」列出的情境走向，以及「範文」提示談話內容的發展，讓學習者得以掌握文章整體結構，並寫出有系統的文章。

 ★完整的寫作前練習
 　學習者可藉由「作文的要點」了解寫作重點，參考書中提供的「相關詞彙」，並於「作文筆記」打草稿，思考文章內容和結構，作為實際練習的事前準備。

 ★主題貼近生活
 　本書挑選出適合初級階段、生活中常見的20個主題，協助學習者練習時更好發揮。

 ★可應用於演講和讀解
 　經由反覆練習，習慣文章的構成形式後，便會反映於自身表達能力上。此概念相信對於需要完整結構的演講、發表等有所幫助。閱讀文章時也可更快消化理解。 "
9789860612660,"  
	本書為依據107年教育部發布之十二年國民基本教育技術型高級中等學校群科課程綱要-外語群所編輯而成之日語翻譯練習上冊。供外語群應用日語科第二學年上學期每週2節，單學期2學分教學使用。

●編寫主旨

	課程按照107年教育部發布之課綱，配合部定之核心素養編寫而成。上册共計七個單元，分別收錄「希望・願望」「勧誘・申し出、「許可・禁止「義務・必要・不必要」「依頼・命令」、「提案・命令・忠告」「意見・思考・感想」、「状態表現」VS「意志表現」、「推量・可能性」「後悔」、「比較」「対比」、「可能・難易」「変化」等機能句型表現。

	本教材先以單字整理及文法句型介紹奠定日語翻譯練習所需必備基礎；進而延展至日語翻譯練習演練，作為運用及學習成效評估。以循序漸進、踏實的方式，培養學生所需之日語能力。

●單元架構

	◎預備暖身：設計「文法大補帖」及「單字補給站」「文法・句型介紹及練習」三部分，作為日語翻譯練習之基礎能力累積。
	◎閱讀大挑戰：以每單元介紹的文法句型編寫文章，幫助學生將所學單字、文法加以消化吸收。亦可進行跟讀練習，訓練口頭運用能力。
	◎翻譯大挑戰：藉由整篇文章的翻譯練習來掌握學生學習成效，針對不足的部分加以補充說明或練習。
	◎自我評量：分成「單字測驗」、「文法測驗」及「翻譯測驗」三部分。「單字測驗」設計有選出漢字正確讀法，以及選出字彙適當用法兩大題。「文法測驗」則有句子連接、正確用法、以及排列組合三種類型的練習題。「翻譯測驗」則是設計為選出正確中文翻譯以及日文翻譯的題目。 "
9789863211747,"  
用初級句型打好日語寫作基礎！

同時複習初級前半句型，循序漸進的日語作文入門教材。

 對日語初學者來說，盡早複習所學內容及大量練習運用，是提升日語能力的不二法門。跟著本書練習簡單描述圖片，幫助學習者確認是否已理解並能使用學過的初級語彙、句型、文法等，進一步寫出200～400字的短篇文章。

 本書內容分為兩大部分：
 Ⅰ・短句練習篇（35個基本句型，藉由填空與問答題，依句型完成短句，熟習詞彙的排列與接續方式）
 Ⅱ・主題作文篇（23個生活常見主題，依提示的詞彙、句型、提問等完成短篇作文）

 教師與學習者可利用本書作為初級的綜合副教材使用，複習基本句型的同時加強作文能力。答題前先試著口頭回答一遍，也有益於口說表現；按書中指示完成題目，有助提高文章的正確性，增強學習者自信心，順利用日語表達心中想法。

 本書特色：
 ★適合學習完初級前半（100小時）程度的學習者。
 ★35個基本句型＆23個生活主題，從完成句子循序漸進到簡單的短文寫作。
 ★可複習所學句型、培養作文能力。
 ★提供作文範例參考。
 ★附「作文稿紙書寫方法」以及「作文指導上的留意點」。

  

※本書無解答。 "
9789866230295,"  
	本書收錄日本「社會／政治經濟／科學／文化」等各種領域的新聞內容，附mp3 CD，適合已有基礎日語程度的學習者。
	利用本書可了解日本新聞的常用語彙及時事用語、強化聽解能力，並可作為理解日本現況的讀物。 "
9789865639372,"  
寫好一篇日文寫作必備的一本書！

佳評如潮推出全新修訂版！

	 

	★如果你是以下學習者，絕對不能錯過此書！

	○研究計畫不知該怎麼計劃的人

	○畢業論文不交論文不能畢業的人

	○論文寫作想在論文課拿高分的人

	○考國內日文研究所想唸研究所的人

	○赴日留學以日本研究所為目標的人

	○研究所課堂發表不知道怎麼準備課堂發表資料的人

	○看懂日文報紙想把日本三大報（読売、朝日、毎日）當國內報紙看的人

	○日商報告在日商工作必須繳交日文報告的人

	○日文投稿想測試日文文筆的人

	 

	★猶如名師親自指導，每學一課，實力就向上一層；精彩的內容，打通你日文寫作的任督二脈！

	本書共有15課，每學完一課，功力就往上提升一層；每看過一次，實力就向上提升一階；全書字字珠璣，說是寫作寶典亦不為過；宛如字典班的好用是為什麼呢？請看本書精彩內容：

	 

	第1課專題報告或學術論文上常使用的文體

	您曾在日文寫作時，不知道該用什麼文體嗎？從這一課就可以清楚知道專題報告或學術論文注重客觀引述、中立立場論述，因此常用的是「である」、「る」文體。

	 

	第2課找尋研究方向與訂定研究題目

	如何決定研究方向與研究題目呢？本課告訴您找尋研究方向的訣竅，以及訂定研究題目的技巧，讓您能迅速建立文章內容的方向。

	 

	第3課日文句號、逗號的使用

	您知道日文文章中隨著「句號」、「逗號」標點符號的位置不同，句子意思也會有所改變嗎？本課詳細說明標示日文「句號」、「逗號」標點符號的原則，讓您不會再標錯標點符號。

	 

	第4課日文文章常見各種標點符號與正確的格式使用

	為了能清楚地表達文章主旨，一定要認識正確的標點符號標法。本課不僅讓你認識日文各種標點符號的含意，還可以學習專題報告或學術論文上常見的標點符號的正確使用方式。透過學習正確的標點符號、文章格式使用方式，與外界意念溝通將會暢行無阻。

	 

	第5課專題報告或學術論文之文章表現注意要點

	要怎麼樣才能寫作日文文章不僅正確，而且優美呢？只要學會各詞性名詞化的表現，或是名詞與助詞的連接表達，都有助於提升遣詞用句的格調。

	 

	第6課日文參考書目羅列方式

	何謂參考書目？使用上又須考量什麼優先順序呢？本課將會告訴您撰寫專題報告或學術論文時，參考書目的重要性，以及參考書目羅列的排序原則，讓您引用時更加輕鬆自如。

	 

	第7課日文加入註腳的方式

	撰寫專題報告或學術論文時，須引用參考資料、文獻，且絕對不要忘記交代資料的來源、出處，因此加入註腳可說是非常重要。本課將會學習標示「脚注」的方法、注意事項和參考範例，只有好好交代資料來源、出處，才不會觸犯著作權法。

	 

	第8課撰寫研究動機，附錄資料「國內研究所概況」（2015年版）

	研究計畫書非常重要，因此撰寫研究計畫書須具備什麼樣的基本要項呢？其中，研究動機是首要條件，因此本課將會說明撰寫研究動機的訣竅、常見的日文表現句型及參考範例。

	 

	第9課日文引用格式（一）

	撰寫專題報告或學術論文，需要適時適宜地引用參考書目，而引用的參考書目，更需要如實交代資料的來源、出處。本單元要學習如何將參閱書籍、資料、學說，嵌入自己的專題報告或學術論文當中。

	 

	第10課日文引用格式（二）

	接續上一課，本課將要更進階地學習「一大段文章的引用方式」、「摘要重點式的引用方式」，以及各類視覺影像（圖表、照片等）的引用情形，讓您不管引用什麼內容都能得心應手。

	 

	第11課撰寫先行研究

	什麼是先行研究？撰寫先行研究時，又該如何著手呢？本課要告訴你只要熟悉引用方式，就能順利撰寫先行研究。此外，並說明各個先行研究之間的關係，以及撰寫論文時常使用的日文接續詞。

	 

	第12課常見的研究方法與推論方式

	常見的研究方法有哪些？客觀推論論點的方式又是什麼？本課將會仔細說明常見的研究方法和客觀論點推論的方式，讓您能選擇適合自己領域專攻的研究方法與推論方式。

	 

	第13課撰寫研究內容與研究方法

	撰寫研究計畫書終於來到第三要項「研究內容與研究方法」。題目訂定太過含糊、考察的標的沒有具體化，都可以在此再次說明。此外，本課還會學習限定研究內容、定義、時代分期的概念。

	 

	第14課撰寫研究價值（意義）與今後課題

	研究計畫書所必備的第四要項為「研究價值（意義）與今後課題」。研究有何意義、又有何價值，正是該論文是否有必要存在的關鍵點。因此本課要學習的是研究價值與研究意義的區別，以及今後課題的必要性。

	 

	第15課研究計畫書以及研究所課堂發表或是學術會議上口頭發表範例

	本課不但有完整版的研究計畫書範例，還會說明以完成的研究計畫書為原點，發展至論文目次的技巧。再加上研究所課堂上發表資料（或是學術研討會議上口頭發表資料）的範例，讓您一看就懂，一學就會。

	 

★本書4大特點：

	 

	特點1教學循序漸進，最好學！

	新手入門專題報告與論文寫作該從何下筆？本書從最基本的日文寫作格式，以及專題報告或學術論文上應該使用的文體，循序漸進地進入撰寫論文一開始所必需的研究題目，再由淺而深地到研究內容、研究方法、參考書目、註腳等等，讓您按部就班地認識日文專題寫作。此外，每一課後面還有練習題，一本學完，保證寫作論文得心應手！

	 

	特點2解說簡單易懂，最好看！

	一想到要撰寫專題報告以及畢業論文就一個頭兩個大嗎？看似深奧難懂的日文專題寫作課，在教學經驗豐富名師的解說下，變得簡單易懂，就好像指導教授隨時在您的身邊，幫您解答對於論文寫作的各種疑難雜症。一書在手，學習論文寫作效率佳！

	 

	特點3論文範例豐富，最好抄！

	在撰寫論文之前想要多方參考一下前人的論文？不需要上圖書館，本書蒐集了數篇範例，學習完課程內容，立即能參考應用！例如第2課中所列舉出的數個大四畢業論文題目和碩士論文題目，內容從社會、教育、文化到文學，範圍廣泛，參考價值高！

	 

	特點4台灣國內研究所概況統覽，最好用！

	想報考國內的日文研究所，還得一所一所上網查詢各研究所的資料？本書詳列國內各個研究所的概況，這麼完整又詳盡的輔助資料，讓您考研究所，事半功倍！

	 

★教育界、學術界一致推崇、聯合推薦！

	 

	．東吳大學日文系前系主任林雪星博士

	這本書適用於初 學者甚至高級日文程度者，內容循序漸進、深入淺出，並配合實例。秋桂老師與落合老師體貼地從日文論文的撰寫格式、標點符號、研究步驟，乃至於參考書目的引 用方式，一一詳盡解說。不僅對必須繳交日文報告的大學生及撰寫碩博士論文的研究生有極大助益，即使自學者也能跟隨本書逐漸提升日文寫作能力。

	 

	．中央研究院周玉慧博士

	本書從專題報告或學術論文上常使用的文體，至研究計畫書以及研究所課堂發表，或是學術會議上口頭發表範例，面面俱到，如果有了這些常識，出國留學、發表論文將迎刃而解，因此誠摯地 "
9789863210573,"  
腸思枯竭，還是不知該如何下筆？
	絞盡腦汁，站在台上卻無法暢所欲言？


	善用「設計圖」，簡單掌握寫作與發表的祕訣！

本書特色

	★多元題材，輕鬆建立基本架構   
	本書將「文章寫作」與「口頭發表」相連結，選用書信、簡報、辯論等多元題材，並 提供範例、設計圖、評量表等，有助於整理思緒、刺激發想，自然寫出簡潔易懂的內容，不需死背講稿也能侃侃而談！

	★勾勒「設計圖」，掌握必備技巧
	參照每課「範例」套用「設計圖」，即可輕鬆歸納摘要，創造出有自我風格的文章與發表內容，無論是在校發表或是職場提案，均能提出淺顯易懂的具體構想！

	★檢測「評量表」，確認學習成果
	完成每項課題後，可善用評量表自行確認重點，有效提升自我運用能力！ "
9789865953119," 聯合推薦！！東吳大學日文系系主任王世和老師東吳大學日文系前系主任林雪星老師 記敘文、抒情文、書信、明信片、電子郵件怎麼寫？循序漸進、按部就班，跟著淡江大學日文系教授「曾秋桂博士」、「落合由治博士」學習，您也可以寫出美麗的日語作文！ 本書5大特色，一點就通！您也能寫出美麗的日語作文！ 特色1 剖析「日語作文的結構」本書由淺入深，從「單字」→「片語」→「句子」→「段落」→「文章」，剖析日文結構，讓您踏出日文寫作的第一步！ 特色2 解析「日語作文的文體」本書以分類方式，讓您在最短的時間內，便能視不同的場合，寫出記敘文、抒情文、書信、名信片、電子郵件等日語作文！ 特色3 日語作文「範例大全」全書包含「私の故郷」、「台湾の歴史」、「ATMでお金を下ろす」、「家族が一人増えた」、「十年後の先生への手紙」等代表性的文章，還有「謹賀新年」、「メール」等書信範例。不知道怎麼寫日語作文？看範例就會了！ 特色4 日語作文「全方位學習」本書循序漸進，所有的範例，皆以「學習重點」→「作文範例」→「作文結構說明」→「單字、片語學習」→「文法學習」→「深度解析作文範例」的順序，讓您的日語作文，學得既多元又扎實！ 特色5 「重要文法、敬語用法、常用問候&#x "
9789866438585," 日文寫作需要具備單字、文法、慣用語等知識，可說是統整日文素養的最佳方法！《日文輕鬆寫》以「心情」為分類，引導學習者用日記寫下生活點滴，並在抒發心情的同時學習相關詞彙與慣用句。每個單元都會附上範例，讓學習者可以模仿寫作。跟著本書一起學，讓你日文輕鬆寫！ "
