ISBN,書籍簡介
9789579088114,"  
本書特色

	 

	專為初學者設計，為您細說日語。

	單字→句型練習→會話練習，以step by step的方式循序漸進，培養您聽說讀寫的能力。

	文法說明避免艱澀用語，讓您輕鬆學習，易懂好記。

	提供豐富的例句，保證您熟練每個句型。

	 

學習目標

	 

	◎談論目己的專長及興趣

	◎請求協助或提供幫助

	◎敘述動作之先後順序及列舉說明

	◎請他人不要進行某行為、動作

	◎描述進行中的行為

	◎介紹家人

	◎陳述經驗

	◎陳述意見、看法

	◎詢問或說明狀況、緣由

	◎徵詢同意及禁止、命令 "
9789579088121,"  
本書特色

	 

	專為初學者設計，為您細說日語。

	單字→句型練習→會話練習，以step by step的方式循序漸進，培養您聽說讀寫的能力。

	文法說明避免艱澀用語，讓您輕鬆學習，易懂好記。

	提供豐富的例句，保證您熟練每個句型。

	 

學習目標

	 

	◎談論目己的專長及興趣

	◎請求協助或提供幫助

	◎敘述動作之先後順序及列舉說明

	◎請他人不要進行某行為、動作

	◎描述進行中的行為

	◎介紹家人

	◎陳述經驗

	◎陳述意見、看法

	◎詢問或說明狀況、緣由

	◎徵詢同意及禁止、命令 "
9789579088602,"  
本書特色

	 

	★專為初學者設計，為您細說日語。
	★單字->句型練習->會話練習，以step by step的方式循序漸進，培養您聽說讀寫的能力。
	★文法說明避免艱澀用語，讓您輕鬆學習，易懂好記。
	★提供豐富的例句，保證您熟練每個句型。

	 

學習目標


	1.陳述義務及提供建議
	2.陳述因果關係或出乎意外的結果
	3.用假設語氣「TARA」來敘述事情
	4.用假設語氣「BA」來敘述事情
	5.指示路徑
	6.表達視覺感受、印象及預測
	7.被動句型的使用
	8.表達給予、接受某物及請求、提供幫助
	9.使役句型的使用
	10.用敬語來表示對他人的尊敬 "
9789579088244,"  
	本書為『日本語GoGoGo 』系列教材的第三冊。
	在50小時的課程中，學習者將可學到約600個單字，其中包含了約100個動詞。這個階段的學習主要是藉由字彙的增加進而介紹多種初中級的句型，

	例如「比較の表現」「希望の表現」「可能の表現」「伝聞の表現」等常用句型。



	在完成本冊之學習者可具備以下日語表達能力：

	1.描述人地物的特徵、特質
	2.比較兩者或三者以上的人事物
	3.表達自己或他人的願望
	4.說明某人具備的才能或行為能力
	5.穿著、打扮的描述
	6.陳述眼前看到的狀態
	7.藉由比喻來說明人事物之特性
	8.表達自己的意圖、打算及計劃等
	9.針對過去、現在或未來的事情做推測
	10.轉述聽說的事情或表達自己根據目睹的現象、耳聞的消息

	相關教材：『日本語GoGoGo 3 練習帳』 "
9789579088138,"  
	包含「聽力練習」及「宿題作業」。是依『日本語GoGoGo 2』各課內容所編寫。由於在『日本語GoGoGo 2』部分已充分培養學習者「說」的能力，本書則著重在「聽」及「讀、寫」等能力的培養。 "
9789866703621,  【大家學標準日本語】系列由具有「外國語教育教師證照」之日籍老師，根據生活、工作、檢定等目的，為各程度量身打造專業課程，完整規劃學日語必備的、全系列三冊「127個具體學習目標」！【初級本】：奠定日語基礎必學的基本課程（42個「具體學習目標」）【中級本】：發展日語能力必學的進階課程（44個「具體學習目標」）【高級本】：活化日語實力必學的應用課程（41個「具體學習目標」）所有的日語變化，都源自於這「127個學習目標」，任何的日語問題，都能查詢這「127個學習目標」而獲得滿意解答！※本系列同步發行【書籍】及【教學DVD】，另售：大家學標準日本語【中級本】教學DVD◆【中級本】：進入最關鍵的「動詞變化」，「變化形」結合「文型」，朝更多元表達邁進！本書為《大家學標準日本語》系列第二本。同系列的【初級本】是以「不需要動詞變化，就能完成的日語基本表達」為主，而【中級本】則是針對進階程度，規畫「發展日語能力必學的文型及會話」，以「掌握動詞變化、結合文型表達、擴展會話的可能性」為目標。讀完本書，你將學會：◎「動詞變化、現在進行、動作順序」用法◎「 ~ to、 ~ ta ra、 ~ su gi」用法◎「受身文、使役文、條件形」的說法◎「要求、許可、遺憾、經驗、建議、難易、能力」的說法◆每一課學習一個「變化形」，結合實用表達，融入「44個具體學習目標」！第14課【動詞te形】：學習目標為「運用te形」的「要求、許可、現在進行、試行」說法第18課【動詞ta形】：學習目標為「運用ta形」的「經驗、按照…、建議、動作舉例」說法第20課【動詞可能形】：學習目標為「運用可能形」的「表示能力、變化、儘量…」說法第23課【動詞受身形】：學習目標為「運用受身形」的「被害受身、公共受身、創造受身」說法◆每一種日語的用法，都會解釋原因、解釋為什麼，不會只說「這是日語的習慣用法」！本書作者──出口仁老師已有十年以上之日語教學經驗，特別擅長解說抽象的文型文法，以「一定能夠說明原因」的淺顯易懂教學法，在部落格、facebook、YouTube獲得數十萬人次的熱烈迴響。甚至連美、中、港、日等地都有支持者留言表示，透過出口仁老師的解說，總算釐清日語文型的盲點！◆精準設定「學習目標」，達成「循序漸進、步步提升」！作者以「由簡入繁、由基本到延伸」的概念，安排44個具體學習目標。優先出現的，一定是最基本、最常見的，再依序出現更多元的用法。以日語常見的「動詞變化te形」為例，書中分列七個學習目標，將「te形」結合七種文型，引導大家由淺到深，逐一學會由「動詞te形」構成的七種實用表達：【學習目標49】 動詞變化「te形」的用法（1）：表示「要求」【學習目標50】 動詞變化「te形」的用法（2）：表示「許可」【學習目標51】 動詞變化「te形」的用法（3）：表示「現在進行」【學習目標52】 動詞變化「te形」的用法（4）：表示「試行」【學習目標53】 動詞變化「te形」的用法（5）：表示「動作順序」【學習目標54】 動詞變化「te形」的用法（6）：表示「遺憾」【學習目標56】 動詞變化「te形」的用法（7）：表示「動作和移動」◆明確定義「學習內容」，清楚知道「自己的實力到哪裡」！作者解說44個具體學習目標時，將每一個「必學的要點」和「補充的要點」做出明確定義。分別是：【要注意！】【一定要會的！】【行有餘力再多學！】【能力足夠要多記！】這是四種學習的層次，也是讓自己實力精進的明確方向。在書中以明顯的標題呈現，學習者可以清楚了解，在自己目前的實力階段，什麼是要注意的、什麼是一定要會的，學了這些，如果有餘裕，還要自我要求再多學什麼，才能更進一步提升實力。本書特色◆最完整的「日語動詞變化概論」，初學「動詞變化」就上手！「沒學會動詞變化，絕對學不好日語！」這是不變的定律，也是許多人學日語時難以跨越的障礙。本書從兩大原則教大家熟練動詞變化：（1）先判斷「動詞分類」　　（2）再進行「動詞變化」。詳細解說三類動詞的特質和判斷方法，不論你目前的程度如何，或是之前累積了多少文法概念，都能從零開始、或從既有程度順利銜接，並能更加精進，掌握各種「變化形」的原則與活用。◆單字、文型、長篇和短篇對話，面面俱到的學習內容！全書13 ~ 24課，13課為「動詞變化概論」，14 ~ 24課為「逐一活用各變化形的學習課文」。每一課包含4個單元：　1【本課單字】：安排吻合「中級日語程度」的單字，單字內容並符合各課的實用功能。2【重要文型】：圖像化的文型解說、文型整理，讓抽象的文型文法，一看就明白！3【應用會話】：配合各課功能，融入各課文型，安排「長篇情境對話」。4【關連語句】：配合各課功能，補充更多樣話題的「短篇互動對話」。◆【課本】+【文法解說．練習題本】，雙書裝超值組合！本書為「雙書裝」設計，一本【課本】，一本【文法解說．練習題本】。【課本】：第13課 ~ 第24課。【文法解說】：彙整全書13 ~ 24課文型文法要點，內容媲美日語文法書，但又更簡單易懂。可隨時查詢，並能有系統地串聯全書的重要概念學以致用。【練習題】：以「動詞變化」為中心，規劃「全句式」日語練習題。將中文想法結合所提示的動詞變化型態，從實際運用中複習、並熟練各文型和動詞變化的使用時機，有助於提升日語活用能力。◆日籍專業播音員錄製，最正統的【東京標準音】MP3！全書內容全部朗讀，包含單字、文型例文、應用會話、關連語句。都能搭配最道地的【東京標準音】MP3來學習。◆另售【教學DVD】，出口仁老師∕授課，280分鐘【中級本：44個具體學習目標】精彩講解！DVD內容並非重點提示般的講解，而是仔細說明每一課的【文型、例文、相關補充】，帶著讀者學一遍「中級本的44個具體學習目標」。作者為累積十年日語教學經驗，並於各大日商、學校機構、網路…等進行多樣化教學之日語名師，讀者可以享受到「名師在你家！」的絕佳學習成效！ 
9789579088251," 完成日本語GOGOGO(3)之學習者可具備以下日語表達能力 : 1. 描述人地物的特徵、特質 2. 比較兩者或三者以上的人事物 3. 表達自己或他人的願望 4. 說明某人具備的才能或行為能力 5. 穿著、打扮的描述 6. 陳述眼前看到的狀態 7. 藉由比喻來說明人事物之特性 8. 表達自己的意圖、打算及計畫等 9. 針對過去、現在或未來的事情做推測10. 轉述聽說的事情或表達自己根據目睹的現象、耳聞的消息所做的判斷 "
9789868847965,"  
唯一台灣觀點的日文學習法，新裝再版優惠上市。
	明智老師經典作品
	3書+MP3原價1020元
	套書優惠價880元

《日文結構三部曲套書》內含：《日文結構的秘密（新裝版）》、《日文結構訓練方法（上）第二版》、《日文結構訓練方法（下）第二版》

五大優勢，領先各校日文教學二十年。
	•從動詞原形（辭書形）出發，輕易熟悉各式動詞演變。
	•獨創動詞變化總表，一表打盡所有動詞、助動詞變化。
	•重視漢字訓練，發揮漢字文化圈的學習優勢。
	•例句簡單、生動、實用，奠定新一代日文學習根基。
	•熟讀六十個句型，立刻達標N3水準，挑戰村上春樹原文小說！ "
9789869813815,"  
	本套教材「初級到高級一貫系列  來學日本語」，係由初級到高級共６冊所組成，乃專為國內外正規日語教育能實際使用所開發的教材。在編纂之際，將重點置於從初學者至高級者在學習上的連貫性，以期達到完整、不重複、有效率的學習目標。本書為此系列「初級１」的改訂版，係將舊版的「初級１」內容做增減與小部分修改。

	本套教材在每一冊都訂有學習達成目標，有鑒於現今擁有全世界30萬考生，且唯一被認可的「日本語能力測驗」為一項值得參考的資料，故將其考試及格的級別分配到各冊當中，因此學習完初級１後的同學應該有80％能通過Ｎ５的能力測驗。為達成此目標，本系列的文法項目涵蓋了日本語能力測驗大綱的所有領域。

	「『初級到高級一貫系列』來學日本語」對應「日本語能力測驗」級別分配：
	Vol.１　初級１　－　日本語能力測驗　Ｎ５
	Vol.２　初級２　－　日本語能力測驗　Ｎ４
	Vol.３　初中級　－　日本語能力測驗　Ｎ３
	Vol.４　中級－　日本語能力測驗　Ｎ２
	Vol.５中上級‧Vol.６上級　－　日本語能力測驗　Ｎ１

本書的構成：
	本書內容共20課，每課均由８頁構成，學習３～４個文型。
	第１頁－導入頁　該課的學習文型提示、插圖。
	２‧３頁／４‧５頁／６‧７頁－基本上一個文型兩頁，剛好成左右兩頁。以「基本文」、「練習」、「対話」、「やってみよう」等單元構成。
	第８頁－「会話」

各單元：
	「基本文」－該課文型
	「練習」－基本文型例句的代入練習
	「対話」－使用該課所學的文型學習基本對話
	「やってみよう」－透過小遊戲或作文等各種方式做練習
	「会話」－實用會話練習

	「隨書附CD」－收錄各課的「基本文」、「対話」、「会話」單元。

週邊教材：
	豐富的週邊輔助教材亦是本系列教材的特色。本書另有「教師手冊」、「學生手冊（文法與單字手冊）」、「練習問題集」、「聽解練習問題集」（以上另售）、「隨書附CD」。 "
9789863210887,"  
奠定良好日語基礎的經典教材
 《大家的日本語 初級Ⅱ 改訂版》隆重登場！
  

 長年廣受各大專院校青睞的《大家的日本語 初級》，
 力圖全面提升學習者的運用能力，廣集各國日語教育界的建議改訂而成。

本書特色

 ★學習項目淺顯易懂，內容符合日常生活
 《大家的日本語 初級Ⅱ 改訂版》每課依序為「單字」、「句型」、「例句」、「會話」、「練習A」、「練習B」、「練習C」、「問題」，學習項目淺顯易懂。並依各國日語教育界的建議，修改了部分詞彙與情境，內容符合日常生活，學習者可輕鬆掌握情境。

★收錄豐富插圖、練習題，全面提升運用能力
 《大家的日本語 初級Ⅱ 改訂版》不僅充實了練習題，更增添了豐富的插圖。學習者可自行掌握情境，進而思考如何表達，提升日語的運用能力，不再只是依照指示被動地練習。

★附屬CD各課會話、聽寫問題全收錄
 《大家的日本語 初級Ⅱ 改訂版》下載CD檔收錄了各課會話及問題的聽寫部分。反覆聆聽，模仿其發音及語調出聲練習，必能奠定良好的基礎，說出一口流利的日語。（※書中各單元標示的為「有聲CD（另售）」的編號，教科書附屬CD編號請參照P.7。）

★輔助教材完善，搭配智慧筆點讀，學習更加得心應手！
 《大家的日本語 初級Ⅱ 改訂版》另備《有聲CD版》、《文法解說・參考詞彙・課文中譯》等多樣輔助教材，更可搭配智慧筆，隨時點讀學習。無論是課堂學習、課餘複習，或是在家自學，學習者可選擇最適合自己的學習方式。

  

 ※本書未附「練習B」、「練習C」、「問題」等解答。

 ※課本解答為另售。

  

★※無附CD(請至官網下載音檔)　
 www.dahhsin.com.tw/bookIntro.php?lv01_type=Japan-s01&prd_id=E161 "
