ISBN,書籍簡介
9789866692390,"  
	您有這樣的苦惱嗎？
	●有能力，有專業，但溝通能力不夠，吃盡了苦頭。
	●日語明明講得對，但老抓不住日本上司的心理。
	●打電話跟日本人聯繫，就緊張得皮皮剉。
	●計畫書很周全，但做的簡報常出包。
	●寫出來的日文書信，日本客戶霧煞煞，一天到晚被老闆罵。

	職場或洽商要成功，首在溝通。也就是，必須和對方一來一往，在思想上、人心上做溝通。溝通順暢之後，只要有實力，日本人是「識貨」的，對您一定尊敬並傾心相交。怎麼跟日本人溝通，那就必須跨越商用日語的黃金關卡了。本書，

	★針對希望勇敢說出高階商用日語的您，
	書中話題都是工作中經常遇到的情景。常見句的內容，道地的商用表達，可以充分應用在商務日文上，讓您在職場中駕輕就熟！

	★針對希望提升日語簡報表達能力的您，
	印象深刻的談判，贏得喝采的簡報。讓您日文會議揮灑自如！

	★針對希望在國際職場成功洽談、提昇跨國之間溝通技巧的您，
	透過打電話、接電話、寫郵件及回覆郵件等，簡單又明瞭的分類主題及好用句，進行實際商用日文練習。讓您在社交情境中遊刃有餘！

	總而言之本書是，
	◆各種商用場景，讓您掌握必要的交流能力，同時在真實職場派上用場。
	◆「職場各種表現」、「簡報提案」、「書信郵件」1800句，絕對好套用。
	◆《半澤直樹2》、《這個不可以報銷》、《派遣女王2》、《校對女孩河野悅子》也會出現的句子，這裡看得到！
	◆適用在日檢等各種考試中！ "
9789579138147,"  
求職應徵能力、社會文化能力、人際關係能力、職場日語能力，
	按步就班，一步一腳印，進入日商、赴日就業不害怕！
	高效率養成日本職場的4大能力，就靠這一本！


★就是你！需要《能屈能伸！職場日語養成手冊》！

	如果你是夢想進入日本職場，卻不知從何準備起的社會新鮮人。
	如果你是面對日商就職面試的難關，不知道如何克服的求職者。
	如果你是光想到複雜的日本職場禮儀就害怕的新手上班族。
	如果你是一想到艱難的敬語與商用書信就一個頭兩個大的日商員工。

	《能屈能伸！職場日語養成手冊》讓您不再擔心害怕沒信心，就靠這一本日商就職能力無線延伸！

	專為希望進入在台日商或是日本企業就職的外語人士所設計，採用長沼SCHOOL東京日本語學校「商用日語課程」為基礎，有效學習並培養從就職活動開始，一路到進入日商公司工作所必須具備的商用日語能力，讓您養成一步到位的日本職場競爭力！

	隨著各個階段的讀者學習需求，不管從哪個單元切入都能立即上手，學以致用，不怕浪費時間。學習後再利用「CAN-DO確認清單」、「學習工作單」、「重要單字列表」輔以加強學習與實際運用的成效。

★讓您養成關鍵4大能力，進入日商工作不再是夢想！

‧就職應徵能力GET！
	透過撰寫履歷、自我介紹的教學，到業界職種的分析，以及面試訣竅精準掌握，讓您一舉突破難關！

‧社會文化能力GET！
	透過「理解異文化」、「日本地理」的單元完全掌握日本現況，讓您踏出成功的第一步！

‧人際關係能力GET！
	模擬「口頭發表」、「小組營造」、「個案分析學習」、「報告‧聯繫‧諮詢」等情境，讓您工作得心應手！

‧職場日語能力GET！
	敬語、打招呼、電話、訪問、會議、商務郵件等等，立即派上用場的商用日語，搭配擬真情境會話音檔練習，讓您隨學隨用！

本書特色

	1.從履歷撰寫到面試禮儀，專業教戰不害怕！
	2.理解異文化的差異，融入日本職場零煩惱！
	3.職場應對進退情境模擬，讓您工作得心應手！
	4.獨立單元無縫接軌，職場日語基礎輕鬆養成！ "
9789862486733,"  
「這麼寫，對方會懂我的意思嗎？」
「會不會給人感覺不夠尊重啊？」
「還得打敗敬語大魔王！天啊誰來救救我～」
你的心聲，我們聽見了！
本書教你如何用一般日常用語對照敬語，
慣用、延伸等460句任你抄，
寫出對時也對人、不失禮又能達意的MAIL！


本書特色

特色一輕鬆轉換日常用語→敬語→最敬語，立即就能換句話說

 日本人重視禮節，也相當重視「內」、「外」、「目上」、「目下」的分別，要寫出正確的商用書信，就要考慮與對方的關係，選擇適當的敬語層級才不失禮！但「敬語」這個中文很難找到對應表現的觀念，該怎麼把它學起來呢？就先從已學過的日常表現下手吧！

 本書以日常使用的句子做標題，其下將敬語分成三個部分，加以解說使用方法。有標記1、2、3者即代表尊敬程度越來越高，若無標記則代表尊敬程度相同、可以依場合換句話寫。即使是對敬語還不熟悉的讀者，也能以日常用句輕鬆查找，並正確應用！

 例如わかりました（我知道了），這句日常用語大家都會，但它的敬語該怎麼說呢？
 Level1：了解しました（我了解了），對同事使用。
 Level2：承知しました（我確實知道了），對社外人士、上司使用。
 Level3：かしこまりました（我明白了），則是對客人、老闆等使用的最敬語。

 還有教えてください（請告訴我），用錯敬語的話，對方可能就不想告訴你囉！
 Level1：教えてください（請告訴我）。使用了輕微命令表現，因此對象為同事或親近的人。
 Level2：教えていただけませんか（是否能麻煩您告訴我呢）。使用否定疑問句詢問對方意願，因此是較有禮貌的表現。
 Level3：ご教示いただければ幸いです（若蒙您賜教將是我的榮幸）。為最有禮貌的表現。

 雖說禮多人不怪，但有時真的禮多人會怪！短短一封信裡說太多次ありがとうございました，反而會讓人覺得沒什麼誠意，代換成「お礼申し上げます」、「お心遣いありがとうございます」等就能確實傳達自己的感謝之意囉！

 像這樣依對象選擇敬語、適時換句話說，就能寫出日本人也稱讚的商用MAIL囉！

特色二17個主題╳12則MAIL例文╳17則專欄╳33篇延伸好用句，各種情境都難不倒你！

 ★職場必備！17個主題常用句
 全書分成信件規則、開頭問候語、致謝、道歉、委託、催促、抗議、拒絕、了解、說明、問候、調職、結尾問候語……等17個職場上絕對會遇到的實用主題，將這些情境中會使用到的句子，整理出不同層級的敬語，方便你查找！

 ★這樣抄，快速寫好MAIL！12則MAIL範例
 書末使用前面的主題附上完整的信件範例，如轉職通知信、催促信、賀年信、委託信……等，不僅能從中學習商用MAIL的架構，也可一併複習前面學到的常用句，達到學以致用、融會貫通的效果！將這些例文當作範本使用，就能迅速又正確地寫好MAIL囉！

 ★眉角要注意！17則專欄
 專欄散見於書中，告訴你商用MAIL應該注意的「眉角」！附加檔案在MAIL中時需要注意什麼？祝賀信、問候信中有哪些忌諱的詞彙？尊敬表現跟謙讓表現傻傻分不清？如何自然地使用お和ご？自從學了させていただきます後什麼都要來させていただきます一下嗎？那就糟糕了喔！以上這些都將在專欄裡告訴你！

 ★更上一層樓！33篇延伸好用句
 開頭問候語總是寫お世話になっております嗎？其實依照季節換句話寫，會讓對方有你是個MAIL達人的印象！例：毎日炎暑が続いておりますが、いかがお過ごしでしょうか。（猛暑依舊，近來過得可好？）
 拒絕也有學問，想拒絕前輩的喝酒邀約，又不想一秒變邊緣人，有幾個拒絕的理由寫法可以學學喔。例：せっかくのお誘いですが、只今仕事に追われておりまして、時間をとることが難しい状況です。（難得您特地約我，但目前工作堆積如山，難以抽出時間。）
 覺得給對方添麻煩卻又有事不得不拜託他，這種介於道歉與感謝間的微妙情況，學起來怎麼寫，對方才會願意幫忙喔！例：ご多忙のところ、まことに恐縮でございます。（正值您百忙之際，非常抱歉）
 ……等等這些延伸用法也都一起整理給你！ "
9789864413775,"  
增進自己的職場日語即戰力，商務場合說日語再也不「卡卡」！

	總是覺得職場日語很困難嗎？您並不孤單！其實，職場日語中的敬語和對話禮儀，對多數的日語學習者來說都是個難關。甚至對於日語母語者而言，流暢地使用正式職場日語也絕非易事。因此，編輯部特別編撰此本以「職場日語」為主題的專書，希望能藉此一掃讀者學習職場日語的煩惱。

	本書涵蓋了初出茅廬的社會新鮮人需要的職場日語，從基礎敬語、基本禮儀到辦公室會碰上的大小事，採用輕鬆詼諧的情境會話，輔以真人影片教學，帶您身歷其境，學會最實用的職場日語。此外，每單元皆包含了職場日語小知識及專欄，幫助您有系統地學好日本的職場禮儀及潛規則，再也必不擔心犯錯或得罪客戶、上司，工作表現更出色。每單元的最後亦備有隨堂測驗，讓您可以小試身手，立刻檢視該單元的學習成果。

	您可搭配電腦互動學習軟體觀看影片及下載MP3音檔，方便又快速；亦可使用點讀筆，隨時隨地聽讀所有會話、單字例句及補充知識之內容，讓您的學習效果事半功倍。

	儘管職場中，語言能力的優劣無法代表一切，然而出色的語言能力，卻能夠讓您在眾人中脫穎而出，於求職或工作時更加順利。無論您是初學職場日語，或是想要增進自己的職場日語即戰力，編輯部希望能藉由本書，幫助您快速地掌握職場日語，進而在日系企業之中如魚得水，無往不利。 "
9789575325381,"  
社內社外各式商務書信、E-mail、日式履歷表、完美商務禮儀
	日本職場必備，一本在手，立即提升即戰力！

	 

	想在日本職場打勝仗，你需要一本全方位案頭書！

	要寫一篇內容清楚，且用語得體的日文商務書信並不容易，尤其商務書信裡特殊的用字遣詞，幾乎直接影響收件者對寄件者的商場禮儀評價。在多禮的日本社會中，寫一封正式且正確的書信，至今仍是商場上非常重要的溝通技巧，《零失誤！商務日文書信決勝技巧》正是一本完美的商務書信教學書，內容包含：

一、日式履歷表教學   
	履歷表格式、填寫時的注意事項、寄送方式，以及如何在自我介紹中表現自己的長處、美化短處。能寫一封漂亮的履歷表，才有機會創造日本職場新生涯。

二、社內各式文件寫作教學
	社內舉凡會議、業務、業績、出差、研習、調查都需寫報告；請假、留言、公出、離職等項目都有程序與表格，這些是日本職場的基本要求。

三、社外各式書信寫作教學
	與日本客戶書信往返，無論訂單、出貨、催收款、延遲、變更，甚至存證信函，內容絕不能有半點差池。

四、社交書信範例 
	一年之中的各種問候信件，看似單純，卻是最不可忽略的環節。

五、商務禮儀叮嚀
	如何用印、交換名片、安排座位？碰到同事或客戶的婚喪喜慶該如何表現？禮儀一疏忽、印象大扣分！

本書特點

	 

易懂的圖解說明
	利用表格、圖解方式，說明信封、明信片及商務書信的不同格式寫法。清楚易懂，一看就會！

豐富的書信範例
	從社內所需的通知單、會議紀錄、請假單、出差報告等，到社外常用的詢價、訂貨、糾紛及社交應酬，模擬日本上班族會面臨的各種情況作為範例，直接套用，不用再煩惱如何下筆！

大量的單字例句
	收錄大量單字、例句，寫書信時可直接替換，不怕詞窮！並針對特別單字有「正確用法」及「忌諱事項」的說明，避免誤觸文化地雷！ 另精選「商務書信常用詞彙」，以書信核心字彙搭配例句，是書信寫作的最佳語料庫。

深入的文化介紹
	例如漢字過多容易造成閱讀上的壓迫感，故商務書信中部分詞彙，如「上(うえ)」「益(ます)益(ます)」「何(なに)卒(とぞ)」等，都習慣以假名呈現而不用漢字；為了保持信件的機密性，日本的信封多為雙層設計，但卻得避免使用於弔唁信，以免給人壞事「重疊、重複」之感。 "
9789863211624,"  
日本職場不只有敬語文化，
 透過漫畫，帶領直擊日本職場文化！

 在日本企業的菜鳥外國人，告訴你日本職場需要注意的眉眉角角！

 本書以外國人的角度，描寫電話往來、商業用語、客戶拜訪⋯⋯等30個職場常見狀況。透過輕鬆活潑的漫畫和導入提問，幫助學習者思考合適的應對方法和行動。
  

 搭配中文解說，可快速理解日本的商務習慣、禮儀及日語表達方式。每個主題皆附有範例與應用問題，提供情境與提示幫助學習者組織商務會話，方便立即檢視學習成果，另有BJT試題與詳細解說可供加強實力。無論學生、求職者或社會人士，都能利用本書輕鬆掌握「商務日語能力」。 "
9789866282812,  3分鐘搞定日語E-mail！網羅必用日語E-mail語句依情境分門別類輕鬆完成日語E-mail學了一堆日語，卻不會寫E-mai？詳列E-mai必用語句，依目的情境詳細分類搭配實戰例文一本在手，輕鬆搞定E-mail 
9789866438141," ※列舉8大類必學的職場重要句型。※豐富的範例與插圖，有助於學習。※課後專欄介紹日本職場重要細節。※附載實用的日中英對照單字彙整。※搭配CD練習，聽說能力同步UP！ "
9789579672801," 商務貿易日本語
　本書由80個場面合而成，分為90課。本書的主人翁，是一位進入日本公司工作的外國人。藉由此人適應日本商業習慣過程中產生的錯誤，才及最後成功地學好了日本的商業習慣和商業日語，提到了失敗、成功的各種範例，是一本不可多得的商用教材。

　本書排除了一般教科書的經常出現的不自然會話形態，全書採用的都是可以立即使用的實踐會話。對於商務上需要的商業書、企畫書、報告書、感謝信、目候信等，本書中有極豐富的實例。 "
9789864414147,  提升自己的職場日語實戰力，商務日語「聽說讀寫」再也難不倒您！總是覺得職場日語很困難嗎？想到打電話時必須使用日語就覺得緊張嗎？您並不孤單！其實，職場日語中的敬語和電話用語、商務文書等等，對多數的日語學習者來說都是個難關。即使是日語母語者，也必須另外學習正式的職場日語。因此，編輯部特別編撰此本以「職場日語」為主題的專書，希望能藉此一掃讀者學習職場日語的煩惱。本書涵蓋了職場中最需要的「商務電話」、「商務文書」以及「簡報」三大主題，採用輕鬆詼諧的情境會話，輔以真人影片教學，帶您身歷其境，快速提升自身的職場日語實戰力。「商務文書」中更包含了商務書信寫法、常用書信及回信之範例、書信常用句，讀完之後便能馬上實際運用於職場。此外，每單元皆包含了職場日語小知識及專欄，幫助您有系統地學會日語電話禮儀、書信格式以及簡報方式，讓您工作表現更出色。單元最後尚備有隨堂測驗，讓您可以立即檢視該單元的學習成果。您可搭配電腦互動學習軟體觀看會話影片及下載MP3音檔，方便又快速；亦可使用LiveABC智慧點讀筆，隨時隨地聽讀所有會話、單字例句及補充知識之內容，讓您的學習效果事半功倍。儘管職場中，語言能力的優劣無法代表一切，然而出色的語言能力，卻能夠讓您在眾人中脫穎而出，於求職或工作時更加順利。無論您是初學職場日語，或是想要提升自己的職場日語實戰力，編輯部希望藉由本書，能幫助您快速地掌握職場日語，進而在日系企業中如魚得水，無往不利。 
