ISBN,書籍簡介
9789575324759,"  
「JLPT日本語能力試驗」權威作者出題。大量練習，提升考題熟悉度！


■日本專業語言教材出版社ASK，暢銷日檢系列，全新修訂！
■題目量為同類書籍2倍，一天20分鐘，4週絕對合格！
■關鍵500題，從「做題」中掌握弱點！
■超簡易版型，翻頁即是解析，方便行動學習！

 本書由日本專業語言教材出版社ASK邀請「JLPT日本語能力試驗」教材權威作者執筆。作者長期研究題型，出版了十餘冊日檢系列暢銷叢書，讀者遍及亞洲各國。本書前身為《新日檢500題N1︰文字‧語彙‧文法》，出版至今，由於不斷受到考生及教師們的好評，於2015年推出全新修訂版本，延續「大量練習，提升實力」的宗旨，修訂版更精準掌握最關鍵的500題與其延伸，幫助考生在最短時間內全力衝刺。

 從做錯的題目裡，找出盲點，釐清觀念，不再犯錯！

 苦讀了數本文法書，以為自己全都會了？

 「背好文法」不等於能「運用文法」！靈活的文法考題，才能測出自己確實懂了多少，因此考前最後一個月，正是自我檢測，抓出盲點弊病的關鍵時刻，要從大量做題中找出弱點。除了正確答案，作者還針對錯誤選項進行解說，同時提供不同詞性、相似詞、慣用語、類似用法，及陷阱題目的破題技巧，讓考生一看就懂，茅塞頓開！以四週的進度安排，扎實打底，累積實力！

本書特色

■ 三種題型交叉練習，亦可專攻單一題型
 每頁各有一道「文字」「語彙」「文法」題，可同時進行三種題型的交叉練習，提升反應速度，正確答題。亦可針對自己的弱點專門訓練某一題型。

■ 一天20分鐘，4週絕對合格
 按照本書安排進度，「一天20分鐘、15道題」即可完成4週密集衝刺。重要觀念、關鍵字詞反覆出現，徹底吸收新日檢考題精華。

■ 版型簡易，方便通勤、通學中行動學習
 每頁三題，翻頁即是解答∕解析∕延伸，漢字假名標注下方，完全保留日本教材風格的專業與實用！

■ 找出盲點，釐清觀念，增強信心
 多做題目，才能從錯誤的地方找出問題，釐清觀念，確實累積實力，應考更有自信！ "
9789866812767,"  
	為想從初階直接一口氣進高階的人，
	隆重出版了：
	「新制日檢！絕對合格 N1,N2必背比較文法大全」+「新制日檢！絕對合格 N3,N4,N5必背比較文法大全」＝
	「新制日檢！絕對合格N1,N2,N3,N4,N5必背比較文法大全」
	兩書合一本，
	自學再加碼！

	分類記憶學習法，破解考試最容易混淆的文法盲點！
	讓您擺脫課本文法，練就文法直覺力！
	N1,N2,N3,N4,N5共685項文法，每項都有「文法比較」，
	關鍵字再加持，
	提供記憶線索，讓「字」帶「句」，「句」帶「文」，
	瞬間回憶整段話！

	關鍵字+文法比較記憶→專注力強，可以濃縮龐雜資料成「直覺」記憶，
	關鍵字+文法比較記憶→爆發力強，可以臨場發揮驚人的記憶力，
	關鍵字+文法比較記憶→穩定力強，可以持續且堅實地讓記憶長期印入腦海中！

	日語文法中有像「にかこつけて」（以…為藉口）、「にひきかえ」（與…相反）相近的文法項目：

	にかこつけて（以…為藉口）：關鍵字「原因」→強調「以前項為藉口，去做後項」的概念。
	にひきかえ（與…相反）：關鍵字「對比」→強調「前後兩項，正好相反」的概念。

	日語文法中也有像「さいちゅうに」（正在…）、「さい」（在…時）意思相近的文法項目：

	さいちゅうに（正在…）：關鍵字「進行中」→著重「正在做某件事情的時候，突然發生了其他事情」。
	さい（在…時）：關鍵字「時候」→著重「面臨某一特殊情況或時刻」。

	「にかこつけて」跟「にひきかえ」；「さいちゅうに」跟「さい」之間的用法差異，本書配合文字點破跟關鍵字加持，可以幫助快速理解、確實釐清和比較，同時在腦中建立它們之間的關係，讓您學一個，馬上會兩個！
	　
	　除此之外，類似文法之間的錯綜複雜關係，「接續方式」及「用法」，經常跟哪些詞前後呼應，是褒意、還是貶意，以及使用時該注意的地方等等，都是學習文法必過的關卡。為此，本書將一一為您破解。

	精彩內容：
	■ 關鍵字膠囊式速效魔法，濃縮學習時間！
	本書精選685項N1到N5文法，每項文法都有關鍵字加持，關鍵字是以最少的字來濃縮龐大的資料，它像一把打開記憶資料庫的鑰匙，可以瞬間回憶文法整個意思。也就是，以更少的時間，得到更大的效果，不用大腦受苦，還可以讓信心爆棚，輕鬆掌握。

	■ 文法比較記憶連線，讓文法規則也能變成直覺！
	為了擺脫課本文法，練就您的文法直覺力，每項文法都精選一個日檢考官最愛出，最難分難解、刁鑽易混淆的類義文法，讓您迅速理解之間的差異，大呼「文法不用背啦」！除此之外，透過書中幫您整理出的比較點，讓相似文法在腦中分類、重組，文法學一次就會兩個，學習效果加倍神速！

	■ 重點文字點破意思，不囉唆越看越上癮！
	為了紮實對文法的記憶根底，務求對每一文法項目意義明確、清晰掌握。書中還按照時間、目的、可能、程度、評價、限定、列舉、感情、主張…等不同機能，並以簡要重點文字點破每一文法項目的意義、用法、語感…等的微妙差異，讓您學習不必再「左右為難」，內容扎實卻不艱深，一看就能掌握重點！讓您考試不再「一知半解」，一看題目就能迅速找到答案，一舉拿下高分！

	■ 最適合大腦記憶的分類學習法，快速記憶又持久！
	我們幫您把每一項文法都按照不同機能分類，學習每學一項文法都能同時學習到與相似文法的用法差異，這是最適合大腦記憶的分類學習法！如此觸類旁通，舉一反三，讓文法規則徹底融入您的腦細胞，不只在考試中看到題目就能迅速反應，即便是必須臨場反應說日文的情況，只要一啟動記憶連鎖，好幾種文法就自動在腦中浮現！好像日語就是您的母語一樣！

	本書廣泛地適用於一般的日語初學者，大學生，碩博士生、參加日本語能力考試的考生，以及赴日旅遊、生活、研究、進修人員，也可以作為日語翻譯、日語教師的參考書。

	書中還附有日籍老師精心錄製的MP3光碟，提供您學習時能更加熟悉日語的標準發音，累積堅強的聽力基礎。扎實內容，您需要的，通通都幫您設想到了！本書提供您最完善、最全方位的日語學習，絕對讓您的日語實力突飛猛進！ "
9789869778435,  本書不同於坊間書籍多以相近語意的方式編排，是以文法上的結構來做分類，方便讀者全面性地掌握各個句型的接續及文法限制。各文法項目中，除了將N1的新出句型，與N3、N2已學習過的相似語意句型加以分析比較以外，亦適時加入難度較高的「進階複合表現」，讓學習者解句型之間的異同，以及如何結合、運用。這是一本專為華語圈日語學習者所量身打造的N1文法書。新制日本語能力試驗N1考試，特別著重考生的文法架構、閱讀理解、以及實際運用的能力。經作者群詳細分析2010年7月至2019年12月共20回實際考古題後發現，十題文法題與五題重組題當中，屬於舊制一級出題基準的句型，平均僅考出約六至七題，另外有一至兩題敬語題、一題副詞題、其餘則是N3、N2文法所衍生發展而來的進階表現、或是慣用的表達方式。如：「別れさせられそうになる」、「辞めるに辞められず」、「成功するもしないも」、「あったらあったって」、「というような意味だったと思う」…等，可見新制考試並不是只要熟背句型即可勉強過關。為了提升讀者全方位的能力，本書編寫時，除了舊制的文法項目外，也一併將過去20回新制考古題中曾經出題過的重要表現納入。此外，亦蒐集了許多類似上述的衍生用法以及慣用表現，用於各篇章的例句當中。也因為N1考試，閱讀部分的佔比非常高，因此編寫時刻意撰寫結構較複雜、難度較高、使用場景更多元化的例句。敬語部分則是另立篇章，系統性整理敬語的使用方式，讓讀者得以掌握敬語的整體輪廓。相信只要熟讀本書，不僅文法考題部份可以迎刃而解，閱讀能力也必定能有大幅度的提升。本書的特色，有以下幾點：①以剛考過N2的學習者為對象，詳細說明各個句型的基本意義、用法、接續以及活用。②每項文法除了詳細說明外，各個例句亦附上假名讀音以及中文翻譯。③本書特別重視句子構造與銜接，依句型需要也會列舉「其他型態」。例如：基本型態為「〜（よ）うが～まいが」，其他型態則有「〜（よ）うと〜まいと」、「〜（よ）うと〜（よ）うと」。④有些句型則是設有「進階複合表現」，例如：「〜いかん＋によらず」、「〜をもって＋しても」、「〜に越したことはない＋ものの」。這是為了讓學習者可以靈活運用已經學習過的多個句型，以增進學習者的寫作能力及句子構造能力。⑤分析比較語意類似的句型，例如：「〜に即して」與「〜に基づいて」的異同；「〜にて」與「〜をもって」的異同；以及「〜を余所に」與「〜をものともせず」的異同…等。⑥敬語特別篇，則是系統性地整理了N1考試當中所需要的敬語知識，詳細介紹「尊敬語」、「謙讓語」、「丁重語」、「特別丁寧體」、「素材敬語」、「對者敬語」…等，在高階敬語使用上不可不知的觀念。亦加入曾經於N1考試中出題過的特殊尊敬語、謙讓語動詞用例，讓學習敬語不再只是淪落於表格上的背誦，而是掌握如何實戰使用。最後，在N1考試當中，無論是文法或是讀解，會使用到N2句型的頻率非常高，因此建議讀者可與本系列的姐妹書『穩紮穩打！新日本語能力試驗　N2文法』併用，相信要考過N1檢定，絕對不是難事！ 
9789578904774,"  
「日檢N1讀解這樣準備，不會太難嗎？」
	當然要難，因為夠難才能區別平庸與不凡！
	「但這麼難，又要怎樣才能練得到位呢？」
	就讓這本書的精準破題，幫你贏下這一戰！

	 

【STEP 1. 取分情報．一手掌握】
	N1所有題型重點與高分關鍵全收錄，信手拈來就是滿分成績

【STEP 2. 弱點分析．招招命中】
	精密剖析文章架構、段落，再長的文章都一目瞭然，自信作答

【STEP 3. 戰勝巔峰．考場不敗】
	嚴選64篇高難度題型，讓你挑戰極限巔峰，進化成頂尖高手

先從【理論篇】紙上談兵，擬定新日檢N1滿分奪取策略！

別當試場莽夫，準備好再出發：
	本書理論篇將幫助你學習到「如何分析考題重點和解題技巧」，並教會你「如何提升閱讀能力的方法」，舉凡快速從段落中找到解題線索、或者一眼看穿複雜文章結構的方式，都將有助於讓你在面對任何題型時，可以更冷靜沉著應對、並且有效率地取分。

進入【實戰篇】身歷其境，逐一過關斬將，破解各類難題！

搞懂重要題型，答題唯快不破：
	本書實戰篇中，會以日檢N1讀解常考的八大題型作為清楚分類，幫助你習慣各類題型特質，並瞬間精準分析，在分秒必爭的考試過程當中，練就「一眼看穿關鍵點」的直覺反應作答力，因為時間就是分數——不浪費時間就能搶到更高的分數！

大量吸收經驗，考試熟能生巧：
	一回生二回熟，「經驗」絕對是日檢N1讀解的搶分重點，但這些經驗總不能靠多次考試屢敗屢戰來累積吧！因此你需要的是大量篇幅的練習和說明，讓你即便是第一次進考場，也能快速建構起扎扎實實的閱讀力，系統性地掌握讀解取分關鍵！

廣度深度兼具，作答信心滿分：
	本書文章選材廣泛，包含各類體裁、篇幅、情境、時事、領域，絕不死板的內容，才能提升閱讀廣度；同時結合了歷年考古題，和真正考試的出題形式一模一樣，深度體驗考試臨場感，熟悉考試的感覺以後，下筆作答才能超自信、不緊張！ "
9789575325626,"  
日本最暢銷的日檢系列！
	從易混淆的發音、句型暖身，逐步拆解日檢聽解5大題型
	擴充各類主題與字彙！
	1日2頁精實訓練，4週完成讀書計畫


	「新日檢完勝對策」系列由「JLPT日本語能力試驗」教材權威佐佐木仁子、松本紀子老師共同執筆，為考生規畫兩個月的應考讀書計畫。全套書籍從N5至N1分級共15冊，扎實奠定〈文法〉〈讀解〉〈聽解〉及〈漢字‧語彙〉四大基礎。

	〈聽解〉的關鍵是「聽到並且理解」，不只要聽到正確單字，還要能辨別句意，因此需要階段性訓練及技巧指點。本書規劃五大章，前四章從「發音」、「句型∕文法」、「會話表現」到「日檢題型」逐步訓練，延伸展開各種「主題類型」並擴充「詞彙」，每日一個焦點訓練，內容由短逐漸加長。第五章則是總練習題，以4週完成訓練目標！

第一週，從發音、文法、會話開始暖身
	一開始著重在容易出錯的發音或語法等基礎訓練上，為聽懂稍長的內容做好準備。例如相似發音的單字、易混淆的句型意思、敬語或會話省略等，透過各種短句及會話，扎實奠定基本功。

第二週，拆解日檢N1聽解5大題型
	針對日檢N1聽解5大題型舉例說明。在解答練習題的同時熟悉出題形式。5大題型包含：「課題理解」、「重點理解」、「概要理解」、「即時應答」及「統合理解」，除了說明不同的出題流程，也指出問題核心，幫助讀者徹底掌握解題關鍵。

第三週，擴展會話的主題類別
	訓練各類型會話的聽解技巧，並擴充主題及相關單字，如氣象、交通、醫院、職場、圖表中較難的專業詞彙，或是當聽取他人意見時，是否能掌握對方的語意轉折、弦外之音等，都是本週的訓練目標。

第四週，日常生活的場合，擴充詞彙量
	除針對職場、學校常用外來語，也大量練習「省略形」的外來語。N1考題中常見「換句話說」的情況，比如在會話中聽到「介護する」，答案選項卻以「ケアする」出現，或是利用副詞取代會話中的某種狀態描述，因此學習「換句話說」為本週訓練重點。

大量練習，立即檢核，學習有效率
	各章皆有一回「まとめ問題」確認讀者的理解程度。第5章的總練習題（総まとめ問題）是以日檢形式出題的模擬測驗。大量的練習題，讓學習者可自我檢核學習成效，同時熟悉日檢題型，增強信心，確實提升聽解能力。

適用讀者
	■ 目標是通過「JLPT日本語能力試驗」N1的考生
	■ 開始學習高級日語的學習者
	■ 希望聽得懂專業談話內容的讀者

「新日檢完勝對策N1」系列進度規劃：
	〈文法〉一天2頁，8週完成。
	〈讀解〉一天2頁，6週完成。
	〈聽解〉一天2頁，4週完成。
	〈漢字‧語彙〉一天各2頁，8週完成。 "
9789575325534,"  
日檢TOP 1！百萬考生實證推薦的超效學習法

「日語課本」與「日檢備考」合而為一的全新教材！

將N1必備文法融入課文，

以日檢「文法」「聽解」「讀解」出題形式設計練習題，

在學習日語的過程中，同時準備日檢，成功達陣！ 

	 

	「TRY！日本語能力試験 文法から伸ばす日本語」系列為ABK（公益財団法人アジア学生文化協会）以其35年的日語教育經驗編纂而成。編寫期間，也同時作為旗下日本語學校的授課教材，因而經過實際教學的反覆驗證，是目前將日檢文法整理得最完備的實用教材，讓讀者在學習日語的過程中能同時熟悉日檢題型，事半功倍，深獲第一線教師們高度肯定！

	 

	本書完整規劃10章、123個 N1必學文法項目，每章分配4～13個項目，方便學習者自學或課堂教學安排進度。

	 

特色1：實用文法，真正能運用在生活中

	本書以日檢「Can-do」精神，將日檢文法融入各種生活情境中，如新聞報導、政令宣導、文學賞析、閱讀劇本、送別會演講等，實用生動的會話或文章，搭配可愛的插圖，文法不再枯燥，讓學習者能將課本所學實際運用在日常生活中。

	 

特色2：重要觀念圖示化，化繁為簡，學習更有效

	本書將重要觀念視覺圖示化，讀者一看就懂。如文法最重視的「接續」說明，以公式化呈現。每項文法的重要程度以星號★標示，星號越多表示越重要。此外，將句型的使用場合，用符號提示親疏遠近、正式∕非正式、口語∕書面語，幫助學習者了解日語的正確用法，才不致於發生看似語法正確、其實用法錯誤的日文。

	 

特色3：延伸學習相似句型，點線面完全提升

	當日文程度越好時，對於相似句型的文法細節往往更容易混淆。每個文法解說皆再提供數個相關例句輔助說明，學習者可更加熟悉文法內容。若例句延伸出其他文法觀念或易混淆句型，書裡也會標示相關參考的頁碼，讀者可立即查詢，相互參照，加深記憶。

	 

	號稱文法界祕笈的「相似句型一覽表」，除了把 N1級別以下相似的文法句型整理出來，還有級數、句型編號和對應的課本頁數！方便學習者查詢對照，融會貫通。

	 

特色4：大量練習，日檢題型融入學習中

	為求最佳的學習成果，書中設計大量練習題目，幫助學習者找出不足之處。每個章節「Check單元」，提供簡單的練習題目，務必釐清該章的文法觀念。在每課結束後還有綜合測驗（もとめの問題），特別的是，作者採用日檢三科的出題形式，學習者在複習時，「文法」、「聽解」、「讀解」的作答能力也可同步提升。

	 

	免費超值下載

	請至官網免費下載音檔及單字表。www.jwbooks.com.tw/ask2021

	■  MP3音檔：內含課文朗讀音檔、聽力試題音檔。

	■  課文單字表：將書中N1必學單字製作成表，讀者可自行下載，重點單字總整理，加速記憶，搭配課本使用效果最好。

	  "
9789865023546,"  
	JLPT新日檢N1合格字彙一次蒐錄！
	全書全彩印刷，更好閱讀！
	附贈記憶遮色片，更好練習！

	日檢名師每年考場實測
	完美分析2010年以後
	各出題題型單字

	★納入近年日檢出題新字彙
	★30天完記合格單字計劃
	★外師親錄MP3音檔立即聽
	★日檢題型強化實戰練習
	★超值加贈加深記憶遮色片

	貼近考試現場需求，
	最系統化的單字歸納學習！

	‧合格單字： 按照出題頻率有效彙整單字，並列出單字的近似詞、反義詞或相關詞彙，加上詞性標示、例句，再加入日檢單字所需相關知識。基本必考單字+高分必備單字，學習更有效率！

	‧實戰練習：模擬日本語能力測驗的題型來準備考試，1天1分鐘驗收，抓準考試關鍵單字也練實戰功力！

	‧字彙索引：將全書的單字按照50音排序，井然有序，隨時查找最快速！

	‧考衝別冊：在本書末，與書籍合訂在一起。收錄本書中出題率最高的單字，考前快速瀏覽，掌握得分契機！

	‧遮 色 片：研讀完單字，遮住重點，自我檢測，加深單字記憶與理解力！

	‧MP3音檔：手機掃瞄QR Code立即聽，隨時學習好方便！ "
9789862465790,"  
日檢考高分的頂尖高手，
	都在偷學的單字記憶法，
	那就是情境記憶法！
	日語自學，從零基礎到考上N1，就靠這一本！
	「情境分類」大全，N1~N5單字完全收錄！


	新制日檢考試重視「活用在交流上」。因此，在什麼場合，如何用詞造句？就成為搶高分的祕訣。本書配合新日檢考試要求，場景包羅廣泛，這個場合，都是這麼說，從「單字→單字成句→情境串連」式學習，打好「聽說讀寫」綜合實踐能力。結果令人驚嘆，史上最聰明的學習法！讓你快速取證、搶百萬年薪！

	學習日語除了文法，最重要的就是增加單字量。如果文法是骨架，單字就是肌肉。本書精心將日檢考試必考N1~N5單字，直接幫您創造情境，分類到日常生活中常見的場景，利用想像自己在生活情境中，使用該單字的樣子。也就是利用體驗無窮的想像樂趣，來刺激記憶，幫助您快速提升單字肌肉量，勁爆提升您的日語力！

	史上最強的新日檢單字集《日本語單字分類辭典 N1,N2,N3,N4,N5單字分類辭典》，首先以情境分類，串連相關單字。而單字是根據日本國際交流基金（JAPAN FOUNDATION）舊制考試基準及新發表的「新日本語能力試驗相關概要」，加以編寫彙整而成的。除此之外，本書精心分析從2010年開始的新日檢考試內容，增加了過去未收錄的日檢各級程度常用單字，加以調整了單字的程度，可說是內容最紮實的日檢單字書。

	無論是累積應考實力，或是考前迅速總複習，都能讓您考場上如虎添翼，金腦發威。精心編制過的內容，讓單字不再會是您的死穴，而是您得高分的最佳利器！

	「背單字總是背了後面忘了前面！」「背得好好的單字，一上考場大腦就當機！」「背了單字，但一碰到日本人腦筋只剩一片空白鬧詞窮。」「單字只能硬背好無聊，每次一開始衝勁十足，後面卻完全無力。」「我很貪心，我想要有主題分類，又有五十音順好查的單字書。」這些都是讀者的真實心聲！

	您的心聲我們聽到了。本書的單字採用情境式主題分類，還有搭配金牌教師編著的實用例句，相信能讓您甩開對單字的陰霾，輕鬆啟動記憶單字的按鈕，提升學習興趣及成效！

內容包括：
	1.主題王─情境帶領加強實戰應用力
	日檢考高分的頂尖高手，都在偷學的單字記憶法，那就是情境記憶法。本書採用情境式學習法，由淺入深將單字分類成：時間、住房、衣服…動植物、氣象、機關單位…通訊、體育運動、藝術…經濟、政治、法律…心理、感情、思考等不同情境。讓您不僅能一次把相關單字整串背起來，還方便運用在日常生活中，再搭配金牌教師編寫的實用短例句，讓您在腦內產生對單字的印象，應考時就能在瞬間理解單字，包您一目十行，絕對合格！

2.單字王─高出題率單字全面深化記憶
	根據新制規格，由日籍金牌教師群所精選高出題率單字。每個單字所包含的詞性、意義、用法等等，讓您精確瞭解單字各層面的字義，活用的領域更加廣泛，幫您全面強化學習記憶，分數更上一層樓。

3.速攻王─說明易懂掌握單字最準確
	依照情境主題將單字分類串連，從「單字→單字成句→情境串連」式學習，幫助您快速將單字一串記下來，頭腦清晰再也不混淆。每一類別並以五十音順排列，方便您輕鬆找到您要的單字！中譯解釋的部份，去除冷門字義，並依照常用的解釋依序編寫而成。讓您在最短時間內，迅速掌握日語單字。

4.例句王─活用單字的勝者學習法
	要活用就需要「聽說讀寫」四種總和能力，怎麼活用呢？書中每個單字下面帶出一個例句，例句不僅配合情境，更精選該單字常接續的詞彙、常使用的場合、常見的表現，配合日檢各級所需時事、職場、生活、旅遊等內容，貼近日檢各級程度。從例句來記單字，加深了對單字的理解，對根據上下文選擇適切語彙的題型，更是大有幫助，同時也紮實了聽說讀寫的超強實力。

5.聽力王─高分合格最佳利器
	新制日檢考試，把聽力的分數提高了，合格最短距離就是加強聽力學習。為此，書中還附贈光碟，幫助您熟悉日籍教師的標準發音及語調，讓您累積聽力實力。

	在精進日文的道路上，只要有效的改變，日文就可以大大的進步，只要持續努力，就能改變結果！本書廣泛地適用於一般的日語初學者，大學生，碩士博士生、參加N1到N5日本語能力考試的考生，以及赴日旅遊、生活、研究、進修人員，也可以作為日語翻譯、日語教師的參考書。搭配本書附贈的朗讀光碟，充分運用通勤、喝咖啡等零碎時間學習，讓您走到哪，學到哪！絕對提供您最完善、最全方位的日語學習！ "
9789575324971,"  
3大理由，這本N1單字書非用不可！

	理由一：專業製作搭檔！
	アークアカデミー日本語學校執筆＋日本アスク集團出版＋東京腔師資朗讀錄音

	理由二：記單字有訣竅！
	依「主題」串聯必考單字，「讀解」、「聽解」科目無形中一起進步！

	理由三：免費APP模擬試題，自我測驗！
	「字彙模擬試題」，打開APP就能做，挑戰實力不用多掏錢；
	「單字、例句朗讀」，打開APP就能聽，躺著、坐著、站著都能輕鬆複習！

	一定考上？絕對合格？完全攻略？第一次買日檢單字書的人看這裡！
	好的語言教材，當然不是隨便一位母語者就能寫得出來。

	本書由アークアカデミー日本語學校老師執筆、校長監修，日本專業語言教材出版社ASK（アスク）編輯出版，並在日本當地錄製標準東京腔。如果你對市面上一堆「一定考上」「絕對合格」「完全攻略」的書感到困惑、不知如何抉擇的話，本書以專業教學立場精挑必學單字，即使不為考試，也是生活必備單字。

想利用背單字，同時提升「聽解」、「讀解」能力嗎？
	按照50音順序背單字，容易背過就忘？如果你不擅長硬背單字，那麼試試依照主題來記吧！アークアカデミー團隊從教學經驗中發現，即使是檢定單字，經過主題、情境分類，記憶效果最好，尤其「聽解」、「讀解」兩科目試題通常也各有主題，如「天氣」「興趣」「家人」「數據表格」等，因此透過主題背過的單字，考生較能迅速回想，立即反應。

想爭取讀書時間、節省荷包嗎？
	「眾文新日檢」免費APP，針對日檢「每個等級」(N1~N5) 額外提供書裡沒有的「字彙模擬試題」，打造你的完勝進修計畫。模擬試題完全免費，APP中亦包含書中所有單字、例句朗讀音檔，學習不再受地點、工具限制，任何時候躺著、站著、等人、運動、通勤皆可複習！ "
9789862466391,"  
《精修版 新制日檢！絕對合格 N1,N2,N3,N4,N5必背單字大全》
	逆轉勝，搶分高手！
	您一直想要的日檢單字書，
	「精修版」N1,N2,N3,N4,N5必背單字大集合，隆重登場了！

	以絕對合格為目標，我們精修、精修再精修！
	從初階～高階，從不懂～精通，都在這1本！
	如果一生只選一本，那就選這本吧！

	★ 日籍金牌教師編著，百萬考生推薦，應考秘訣一本達陣！
	★ 榮獲多位國內知名大學日語系教授一致好評、熱烈推薦！
	★ 被國內多所學校列為日檢指定教材！
	★ N1～N5單字最齊全，例句最到位！
	★ 說明簡單易懂！馬上查、馬上會！伴隨你受用一輩子的單字寶典！
	★ 自學、教學，人手一本，超好用！
	★ 初階、中階、高階，各種程度皆適用！

內容包括：
	1.單字王─高出題率單字全面強化記憶：根據新制規格，由日籍金牌教師群所精選高出題率單字。每個單字所包含的詞性、意義、解釋、類．對義詞、中譯、用法、語源、補充資料等等，讓您精確瞭解單字各層面的字義，活用的領域更加廣泛，也能全面強化記憶，幫助學習。

	2.例句王─活用單字的勝者學習法：活用單字才是勝者的學習法，怎麼活用呢？書中每個單字下面帶出一個例句，例句精選該單字常接續的詞彙、常使用的場合、常見的表現、配合同級所有文法，還有科學、地理、時事、職場、生活等內容貼近所需程度等等。從例句來記單字，加深了對單字的理解，對根據上下文選擇適切語彙的題型，更是大有幫助，同時也紮實了文法及聽說讀寫的超強實力。

	3.得分王─貼近新制考試題型學習最完整：新制單字考題中的「替換類義詞」題型，是測驗考生在發現自己「詞不達意」時，是否具備以不同的表達方式說出相同概念的「換句話說」能力，以及對字義的瞭解程度。這一題型除了須明白考題的字義外，更需要知道其他替換的語彙及說法。為此，書中精闢點出該單字的類義詞，對應新制內容最紮實。

	4.聽力王─合格最短距離：新制日檢考試，把聽力的分數提高了，合格最短距離就是提升聽力實力，方法是：「多聽、廣聽、反覆聽」。為此，書中還附贈光碟，幫助您熟悉日籍教師的標準發音、語調高低及各種連音，讓聲音跟文字建立正確的連結，以累積您聽力的實力。

	本書根據日本國際交流基金（JAPAN FOUNDATION）、日本國際教育協會編寫的《日本語能力測試出題基準》、新制「新日本語能力試驗相關概要」、近十年考古題及2010年起最新日檢考試內容等，經由多年編寫日語教材經驗豐富的日籍金牌教師群，精心編制而成的N1,N2,N3,N4,N5必考、必背共9181個單字，內容超級完整，無論是累積應考實力，或是考前迅速總複習，都是您高分合格最佳利器！

	除了考試之外，日常隨身攜帶也是一本貼身好用的必備辭典。只要有這一本，就可以從初階用到進階，無論是初學者、高中、大學、博碩士及日語教師，都是人手一本，終生受用的日語達人寶典！

	◇◇◇◇◇◇

《朗讀版 新制對應 絕對合格！N1,N2,N3,N4,N5動詞活用大全》
	學日語不要再當苦行僧啦！
	自己學就會，
	不用老師教，
	3個公式、14種變化，
	一眼搞懂日語動詞變化！
	日檢、上課、上班天天派上用場！

	日語動詞活用是日語的一大特色，只要馳騁一下想像力，把他們擬人化，幫他們說故事，同時抓住日語的動詞規則3公式，學起來就是這麼有趣簡單：

⊙第一公式：先確認永遠不變的「語幹」：
	進入日語動詞活用前，先緊抓住不會有變化的動詞語幹。例如：「書く（かく→か）」、「着る（きる→き）」。

⊙第二公式：再接上小跟班語尾「語幹+語尾」：
	語尾＝活用形只是跟在語幹的後面就行啦！
	五段動詞語尾＝橫掃あいうえお五段上。
	一段動詞語尾＝只堅守在「い段」、「う段」上。

	專案處理的有：
	来る＝變化在「き、く、こ」カ行上。又叫「カ變」。
	する＝變化在「さ、し、す、せ」サ行上。又叫「サ變」。

⊙第三公式：最後接上小幫手助動詞等「語幹+語尾+助動詞等」：
	語尾動詞變化再接個性很有特色的「助動詞（ない<不>、たら<的話>等）」就可以表達不同意思。

	日語動詞活用就像是動詞的兄弟，這裡將介紹動詞的這14個兄弟（14種活用變化）。兄弟本是同根生，但由於他們後面可以自由地連接助動詞或語尾變化，使得各兄弟們都有著鮮明的個性，他們時常高喊「我們不一樣」，大搞特色。請看：

	正義正直的老大→書く          書寫    （表示語尾）
	小心謹慎的老2→開かない    打不開  （表示否定）
	悲觀失意的老3→休まなかった  過沒有休息（表示過去否定）
	彬彬有禮的老4→渡します     交給      （表示鄭重）
	外向開朗的老5→弾いて       彈奏      （表示連接等）
	快言快語的老6→話した       說了      （表示過去）
	聰明好學的老7→入ったら     進去的話  （表示條件）
	情緒多變的老8→寝たり      又是睡    （表示列舉）
	實事求是的老9→登れば       攀登的話  （表示條件）
	暴躁善變的老10→飲ませる    叫…喝    （表示使役）
	追求刺激的老11→遊ばれる    被玩弄    （表示被動）
	豪放不羈的老12→脱げ         快脫      （表示命令）
	勇敢正義的老13→点けられる可以點燃  （表示可能）
	異想天開的老14→食べよう     吃吧      （表示意志）

	本書利用完全圖表，再配合三個公式，
	讓您一眼搞懂各具特色的日檢
	N1,N2,N3,N4,N5 全部動詞14種活用變化！
	讓您考日檢、上課、上班天天派上用場。 "
