ISBN,書籍簡介
9789575325558,"  
日檢TOP 1！百萬考生實證推薦的超效學習法

「日語課本」與「日檢備考」合而為一的全新教材！

將N3必備文法融入課文，

以日檢「文法」「聽解」「讀解」出題形式設計練習題，

在學習日語的過程中，同時準備日檢，成功達陣！

	 

	「TRY！日本語能力試験 文法から伸ばす日本語」系列為ABK（公益財団法人アジア学生文化協会）以其35年的日語教育經驗編纂而成。編寫期間，也同時作為旗下日本語學校的授課教材，因而經過實際教學的反覆驗證，是目前將日檢文法整理得最完備的實用教材，讓讀者在學習日語的過程中能同時熟悉日檢題型，事半功倍，深獲第一線教師們高度肯定！

	 

	本書完整規劃11章、113個 N3必學文法項目，每章分配4～8個項目，方便讀者自學或課堂教學安排進度。

	 

特色1：實用文法，真正能運用在生活中

	本書以日檢「Can-do」精神，將日檢文法融入各種生活情境中，如口語簡報、閱讀食譜、招募廣告、工作面試、介紹寵物等，實用生動的會話或文章，搭配可愛的插圖，文法不再枯燥，讓學習者能將課本所學實際運用在日常生活中。

	 

特色2：重要觀念圖示化，化繁為簡，學習更有效

	本書將重要觀念視覺圖示化，讀者一看就懂。如文法最重視的「接續」說明，以公式化呈現。每項文法的重要程度以星號★標示，星號越多表示越重要。此外，將句型的使用場合，用符號提示親疏遠近、正式∕非正式、口語∕書面語，幫助學習者了解日語的正確用法，才不致於發生看似語法正確、其實用法錯誤的日文。

	 

特色3：延伸學習相似句型，點線面完全提升

	當日文程度越好時，對於相似句型的文法細節往往更容易混淆。每個文法解說皆再提供數個相關例句輔助說明，學習者可更加熟悉文法內容。若例句延伸出其他文法觀念或易混淆句型，書裡也會標示句型編號，讀者可立即查詢，相互參照，加深記憶。

	 

	號稱文法界祕笈的「相似句型一覽表」，除了把 N3級別以下相似的文法句型整理出來，還有級數、句型編號和對應的課本頁數！方便學習者查詢對照，融會貫通。

	 

特色4：大量練習，日檢題型融入學習中

	為求最佳的學習成果，書中設計大量練習題目，幫助學習者找出不足之處。每個章節「Check單元」，提供簡單的練習題目，務必釐清該章的文法觀念。在每章結束後還有綜合測驗（もとめの問題），特別的是，作者採用日檢三科的出題形式，學習者在複習時，「文法」、「聽解」、「讀解」的作答能力也可同步提升。

	 

	免費超值下載

	請至官網免費下載音檔及單字表。www.jwbooks.com.tw/ask2021

	■  MP3音檔：內含課文朗讀音檔、聽力試題音檔。

	■  課文單字表：將書中N3必學單字製作成表，讀者可自行下載，重點單字總整理，加速記憶，搭配課本使用效果最好。

	  "
9789869778411,  本書是由目白JFL教育研究會團隊所編寫。不同於坊間書籍以相近語意的方式編排，本書著重以文法、句法上的分類來做編排，方便讀者全面性地掌握各個句型的接續及文法限制。此外，本書亦詳細列舉出各句型的各種活用型態，並適時加入難度較高的「進階複合表現」，讓學習者解句型與句型之間如何結合、運用。這是一本專為華語圈日語學習者所量身打造的N3文法書。日本語能力試驗N3，是2010年7月考試改制時才設立的全新級數，難易度介於舊二級與舊三級之間。由於新制改制後，主考機關就沒有公布所謂的「出題基準」，因此N3級數並不存在著所謂的「必考句型」。坊間許多參考書編寫時由於無所適從，許多書籍就只是將舊二級較簡單的部分與舊三級較困難的部分挑出，組合成N3文法書。但經作者群詳細分析2010年7月至2018年12月份共18回實際考古題後發現，N3除了會考出一些舊三級未曾學過的新句型外，還有許多的考試項目都看似在N4時學過，但考得更進階。例如舊制三級考出了樣態助動詞「～そうだ」其動詞與形容詞的現在肯定的用法，如：「雨が降りそうです」、「このリンゴは美味しそうです」。但 2011年的七月份的N3考試就出題「何年働いても自分の家は買えそうもない」這種「可能動詞＋樣態助動詞否定形」的進階用法。本書企劃時徹底分析考古題，將這些有可能出題、或已經出提過的進階表現一網打盡，同時也參考了日本具代表性的數本中級前期教材所編寫而成，內容相當完整、詳細。本書的編排，是依照難易度，由淺入深。且許多後面才出來的例句，會刻意使用先前已經學過的文法，讓學習者可以溫故知新。因此，建議學習者使用本書時，不要跳著看，最好是從第一單元開始閱讀，循序漸進。每個單元倘若能夠仔細研讀，相信要考過N3檢定，不是難事！ 
9789575325671,"  
日本最暢銷的日檢系列！
	從生活常用範圍精選N3字彙，
	以搭配詞形式幫助記憶，
	同步提升「聽解」「讀解」實力！
	1日各2頁精實訓練，6週完成讀書計畫


	「新日檢完勝對策」系列由「JLPT日本語能力試驗」教材權威佐佐木仁子、松本紀子老師共同執筆，為考生規畫兩個月的應考讀書計畫。全套書籍從N5至N1分級共15冊，扎實奠定〈文法〉〈讀解〉〈聽解〉及〈漢字‧語彙〉四大基礎。

	本書《新日検完勝対策N3：漢字‧語彙》為日本アスク出版社所出版的《日本語総まとめ N3漢字》及《日本語総まとめ N3語彙》的合訂本。考量讀者在學習日文或準備日檢時，漢字、語彙都是必讀基礎項目，因此將兩本合併，方便學習。

	書籍前半本為〈漢字〉，頁碼以A開頭，後半本則為〈語彙〉，頁碼以B開頭。讀書計畫以漢字‧語彙各「1日2頁」進行。全書以日常生活為主題，發展N3相關單字，以「搭配詞組」或「短句」的形式學習，「應考」與「實用」兼具。

將相同漢字分門別類，加速記憶
	通常帶有相同漢字的語彙，意思也可能相關。本書將相同漢字整理列表，學習者可先確認中、日漢字寫法的差異，再記住由漢字所衍生出的相關語彙，學習效果更佳。

	若同一個漢字，在不同組合下會有特殊發音，會以符號提醒讀者注意，井然有序的整理，讓「相關」、「相反」與「特殊」的語彙，皆能一目了然。

用插圖呈現單字特色，猜謎加深印象
	本書利用活潑的插圖，將生活中的各種情境或常見的告示牌、通知單、產品說明書等，巧妙連結單字。另有「クイズ」猜謎專欄，在趣味的題目裡，培養對漢字字形、意義、發音的熟悉度。

以片語記單字，同時提升「讀解」「聽解」實力
	一般的日檢單字書都是「單字+例句」，只是例句較長卻不易記憶。本書以「搭配詞」概念，組成片語，並將單字以粗體標示，清楚易讀，容易記下使用方法，同步提升解讀文章與會話的能力。

每週循序漸進，兩個月高效達標
	每週第1～6天，各有兩頁學習內容，並附2～3組練習題，確認相似或易混淆詞彙，是否已確實掌握。第7天「實戰問題」則以日檢形式出題，〈漢字〉每回20題，6週共120題；〈語彙〉每回25題，6週共150題。

適用讀者
	■目標是通過「JLPT日本語能力試驗」N3的考生
	■日語初級學完，開始挑戰中級的學習者
	■希望學會日常生活中常用語彙及漢字的讀者

「新日檢完勝對策N3」系列進度規劃：
	〈文法〉一天2頁，6週完成。
	〈讀解〉一天2頁，6週完成。
	〈聽解〉一天2頁，4週完成。
	〈漢字‧語彙〉一天各2頁，6週完成。 "
9789862466216,"  
宅在家，不出門，一樣自學考上N3，
	本書用，
	情境分類，
	打鐵趁熱，回想練習，
	讓您記得快又牢！


	★快又牢1：「情境分類，單字速記No1」★
	配合N3內容要求，情境包羅萬象，學習零疏漏，速記No1！

	★快又牢2：「想像使用場合，史上最聰明學習法」★
	針對新制重視「活用在交流上」，從「單字→情境串連」，學習什麼話題，用什麼字，什麼時候使用，效果最驚人！

	★快又牢3：「打鐵趁熱，回想練習記憶法」★
	背完後，打鐵趁熱緊跟著「回想練習」，以「背誦→測驗」的學習步驟，讓單字快速植入腦中！

	★快又牢4：「一次弄懂相近詞，類義詞記憶法」★
	由一個主題，衍伸出好幾個相關的單字，比較彼此的關聯性及差異性，同時記住一整系列。

	★快又牢5：「記一個漢字，就可以記一串單字」★
	以漢字為核心，認識一個漢字，就可以記住幾個相關連的單字。只要學一次，看到漢字就知道唸法，會唸就會用！

	★快又牢6：「查閱利器，50音順金鑰索引」★
	貼心設計50音順金鑰索引，隨查隨複習，發揮強大學習功能！

	★快又牢7：「利用光碟大量接觸單字，聽覺記憶法」★
	新日檢強調能看更要能聽。利用光碟反覆聆聽，單字自然烙印腦海，再忙也不怕學不會！

本書五大特色

	★清楚單字分類，完全掌握相近詞彙！
	本書依使用情境分類單字，並配合N3考試內容，提供豐富的情境主題從政治經濟、日常生活到心理感情等等。讀者不僅能一目了然的快速掌握重點，相關單字串連在一起也能幫助加深記憶。並藉由比較相近詞彙的關聯及差異，保證一次弄懂，不再混淆。同時，不論是考題還是生活應用中都能啟動連鎖記憶，遇到分類主題立刻喚醒整串相關詞彙，給您強大的單字後援，累積豐厚實戰力。

	★讀完即測驗，自學必備的自我考驗！
	本書的每個章節皆精心設計當回單字填空題，讓讀者可以趁著記憶猶新時做回憶練習，邊背邊練，記憶自然深植腦海！此外，每個句子都標上日文假名，做題目的同時，能延伸學習更多單字。且從前後句意推敲單字的題型，也有助於訓練閱讀能力。更能避免每日勤奮學習，卻不知是否真的學會了，藉由做題目檢視自己的學習成果，給您最踏實的學習成就感。

	★針對日檢題型，知己知彼絕對合格！
	日檢N3單字共有5大題，而本書的題型主要針對第3大題，另外也可活用於單字第4及第5大題。為了將數個相近詞彙填入適當的例句中，必須要清楚理解單字的意義，並認識相似詞彙，同時還要有讀懂句意的閱讀能力。本書將會幫助您大量且反覆的訓練這三項技能，日檢單字自然就能迎刃而解。

	★從漢字掌握多種唸法，會唸就會用！
	以表格統整出N3單字中，有一種或多種發音的漢字。由於漢字大多是表意文字，即使是有多種唸法，但只要知道漢字的意思及連帶關係，就可以掌握漢字。只要學一次，就可以活用於任何考試及生活場景上！

	★貼心50音排序索引，隨時化身萬用字典！
	本書單字皆以50音順排序，並於書末附上單字索引表。每當遇到不會的單字或是突然想要查找，本書就像字典一樣查詢精準，且由於單字皆以情境編排，查一個單字還能一併複習相似辭彙。當單字變得輕鬆好找，學習也就更加省時、省力！

	★聽日文標準發音，養成日文語感、加深記憶！
	所有單字皆由日籍教師親自配音，反覆聆聽單字便自然烙印在腦海，聽久了還能自然提升日文語感以及聽力。不只日檢合格，還能聽得懂、說得出口！且每篇只需半分鐘，讓您利用早晨、通勤、睡前等黃金時間，再忙也不怕學不會！

	自學以及考前衝刺都適用，本書將會是您迅速又精準的考試軍師。充分閱讀、練習、反覆加深記憶，並確實擊破學習盲點，從此將單字變成您的得高分利器！迎戰日檢，絕對合格！ "
9789575325688,"  
日本最暢銷的日檢系列！
	依相似度及接續方式分類，淺顯易懂的日文解說
	增強文法理解力！
	1日2頁精實訓練，6週完成讀書計畫


	「新日檢完勝對策」系列由「JLPT日本語能力試驗」教材權威佐佐木仁子、松本紀子老師共同執筆，為考生規畫兩個月的應考讀書計畫。全套書籍從N5至N1分級共15冊，扎實奠定〈文法〉〈讀解〉〈聽解〉及〈漢字‧語彙〉四大基礎。

	《新日檢完勝對策N3：文法》以日常生活為主題發展N3相關句型，「備考」與「實用」功能兼具。每日以形態、意思或接續方式類似的3～4個句型為一主題。學習目標明確，同時也能辨別運用上的差異，以6週完成訓練目標。
	 
每週循序漸進，6週高效達標
	每日一主題，左右兩頁共3～4個句型，份量適中。每週有「週學習表」，清楚標示每日學習目標，最後一日則是「實戰問題」。7天一循環，按部就班，6週有效達標。

大量練習，立即檢核，學習有效率
	完成每日份量後，立刻上場刷題，確實掌握學習狀況；每週第7天有一回「實戰問題」，採日檢形式出題，25道題目，限時15分鐘，書末附有詳解。透過每日小練習，每週大複習，自我檢核學習成效，同時熟悉日檢題型，信心倍增。

用搭配詞幫助記憶，效果更加倍
	一般文法書條列文法時，通常以「～」省略其他字，如「～まで」「たとえ～ても」，而本書以搭配詞的方式呈現，如「骨まで食べられる」「たとえ反対されても」，不但提升對日語的敏銳度，搭配記憶事半功倍。

重要提醒圖示化，說明文字淺顯易懂
	為幫助讀者在不同的場合正確表達，例句旁設有接續方式小叮嚀，並將重要提醒圖示化，如「會話常用」、「女性常用」、「用於負面」、「正式∕文書」……，一看就懂。此外，每週的敬語小專欄，深入淺出介紹各式敬語。解說用字淺顯易懂，就算沒有老師帶領，也可以逐步完整學習。

	適用讀者
	■ 目標是通過「JLPT日本語能力試驗」N3的考生
	■ 日文初級學完，想往中級邁進的學習者
	■ 希望學習日常生活中常用句型的讀者

	「新日檢完勝對策N3」系列進度規劃：
	〈文法〉一天2頁，6週完成。
	〈讀解〉一天2頁，6週完成。
	〈聽解〉一天2頁，4週完成。
	〈漢字‧語彙〉一天各2頁，6週完成。 "
9789575325695,"  
日本最暢銷的日檢系列！
	招募．租屋．商品型錄．書信e-mail．日記
	搭配日檢讀解4大出題形式，全面掌握閱讀技巧！
	1日2頁精實訓練，6週完成讀書計畫


	「新日檢完勝對策」系列由「JLPT日本語能力試驗」教材權威佐佐木仁子、松本紀子老師共同執筆，為考生規畫兩個月的應考讀書計畫。全套書籍從N5至N1分級共15冊，扎實奠定〈文法〉〈讀解〉〈聽解〉及〈漢字‧語彙〉四大基礎。

	《新日檢完勝對策N3：讀解》以不同內容形式進行讀解練習，從通知、型錄等日常生活較常接觸的文件，循序漸進到書信、評論文、說明文等難度較高的文章。分析資訊與理解技巧，雙管齊下。對於讀通文章所需的基礎文法，如接續表現、指示詞、功能詞、敬語等，加強解說，逐步提升閱讀理解的能力，以6週完成訓練目標。

搭配四大出題形式，閱讀內容多樣化
	搭配日檢讀解出題形式，利用各類型文章，由淺入深，訓練掌握閱讀重點的技巧，六週共分為6個訓練主題：生活中常遇到的說明或通知、商品型錄與保固卡、書信和電子郵件、新聞報導或廣告、日記小說、較為專業的評論文或說明文。

主題實用豐富，涵蓋日常所需
	每週密集接觸各種不同領域的單字和用語，從日常生活到專業領域。如前兩週以生活資訊為主，內容涵蓋商店、餐廳營業時間與項目、交通地圖、打工資訊、租屋資訊、產品使用事項等；第三週學習書寫和閱讀信件時的小技巧；第四週學習解讀新聞、廣告、圖表；第五週則是學習區分文章中的客觀事實和作者的主觀感受……等等，不只準備考試，還能同步強化生活技能與專業知識。

點線面循序漸進，加強閱讀理解
	每週第1到第6天，每日兩頁的學習主題有三步驟。首先，學習該單元的課前重點，如書信裡的敬語、閱讀報紙極短標題等。其次，透過第二步驟的會話引導，增加對第三步驟文章的理解能力。循序漸進，由易而難的引導設計，讓中級學習者不再害怕文章閱讀。第7天「實戰問題」，則是針對該週學習內容的總測驗。

大量練習，立即檢核，學習有效率
	前6天的「問題」練習，是藉由不同類型的文章讓讀者即學即練。第7天的「實戰問題」，則以日檢形式出題，須限時完成，書末有解答與較難句型的解說。即使未能在規定時間內做完，透過多次的練習，亦能有效提升閱讀速度，同時熟悉日檢題型，增強信心。

注重標音，提高漢字讀音能力
	每個主題第1到第6天的所有漢字皆會標示假名，遮蓋標示的假名來閱讀可提升漢字讀音能力。第7天「實戰問題」則僅在超過N3程度標示讀音。

適用讀者
	■ 目標是通過「JLPT日本語能力試驗」N3的考生
	■ 日文初級學完，想往中級邁進的學習者
	■ 希望能閱讀長一點文章的讀者

「新日檢完勝對策N3」系列進度規劃：
	〈文法〉一天2頁，6週完成。
	〈讀解〉一天2頁，6週完成。
	〈聽解〉一天2頁，4週完成。
	〈漢字‧語彙〉一天各2頁，6週完成。 "
9789862465868,"  
想要日檢，百「試」百勝！
	就多做考試會出的題目！

	本書將是您日檢「高得分」的一塊試金石！
	摸透出題「方向」和「慣性」的寶藏題庫，
	再講求「通關戰略」！
	讓您在關鍵時刻，突然爆發潛力！
	成為日檢黑馬－得分高手！


	百萬考生佳評如潮！為回饋讀者的喜愛，新增通關解析，擊破考點！絕對合格！

	一本好的模擬試題，除了能讓您得到考試的節奏感，練出考試的好手感外，透過專業日籍教師的通關解析，讓您立刻就抓出自己答題的盲點，快速提升實力！親臨考場，立刻就能超常發揮，高分唾手可得！

★多做會考的寶藏題庫，高分唾手可得：
	努力雖然重要，但考試勝敗的關鍵在，摸透出題「方向」和「慣性」，再講求「戰略戰術」。因此，為掌握最新出題趨勢，本書的出題日本老師，通通在日本長年持續追蹤新日檢出題內容，徹底分析了歷年的新舊日檢考題，完美地剖析新日檢的出題心理，比照日本語能力試驗規格，製作了擬真度100﹪模擬試題的寶藏題庫。讓考生知道會考什麼題目，才知道如何為打勝仗而做準備。這樣熟悉考試內容，多做會考的寶藏題庫，將讓考生在關鍵時刻，突然爆發潛力，贏得高分！

★摸透出題法則，通關戰略方向指引，搶高分決勝點：
	日檢合格高手善於針對考試經常會出的問題，訂出通關戰略。更知道一本摸透出題法則的模擬考題，加上巧妙的分析解題思路與方法，並總結規律，才是得分關鍵。

	本書符合日檢合格高手的最愛，例如：「日語漢字的發音難點、把老外考得七葷八素的漢字筆畫，都是熱門考點；如何根據句意確定詞，根據詞意確定字；如何正確把握詞義，如近義詞的區別，多義詞的辨識；能否辨別句間邏輯關係，相互呼應的關係；如何掌握固定搭配、約定成俗的慣用型，就能加快答題速度，提高準確度；閱讀部分，品質和速度同時決定了最終的得分，如何在大腦裡建立好文章的框架」。只有徹底解析出題心理，再加上戰略上的方向指引，培養快速解題的技巧，合格證書才能輕鬆到手！

★大份量6回聽解考題，全科突破：
	新日檢的成績，只要一科沒有到達低標，就無法拿到合格證書！而「聽解」測驗，經常為取得證書的絆腳石。

	本書提供您6回合大份量的模擬聽解試題，更依照JLPT官方公佈的正式考試規格，請專業日籍老師錄製符合N3程度的標準東京腔光碟。透過緊密扎實的練習，為您打造最強、最敏銳的「日語耳」，熟悉日本老師的腔調，聽到日語在腦中就能夠快速反應，讓您一聽完題目馬上就知道答案是哪一個！

★掌握考試的節奏感，輕鬆取得加薪證照：
	為了讓您熟悉正式考試的節奏，本書集結6回大份量模擬考題，全部都按照新日檢的考試題型來製作。您可以按照正式考試的時間計時，配合模擬考題，訓練您答題的節奏與速度。考前30天，透過6回密集練習，讓您答題可以又快又正確！事前準備萬全，就能提高您的自信心，正式上場自然就能超常發揮，輕鬆取得加薪證照！

★金牌教師精心編寫通關解析，擊破考試盲點：
	為了幫您贏得高分，《絕對合格攻略！新日檢6回全真模擬N3寶藏題庫＋通關解題》分析並深度研究了舊制及新制的日檢考題，不管日檢考試變得多刁鑽，掌握了原理原則，就掌握了一切！

	本書由長年追蹤日檢題型的日籍金牌教師撰寫通關解析，點出您應考時的盲點！做練習不怕犯錯，就怕一錯再錯！透過反覆的試錯、糾正，從錯誤中學習，實力也能大大增加，考試絕對合格！

★相信自己，絕對合格：
	「信心」來自周全的準備，經過反覆多次的練習，還有金牌教師幫您分析盲點，補足您的弱項，您已經有了萬全的準備，要相信自己的實力，更要保持平常心，專注在題目上，穩穩作答，就能發揮出120%的實力，保證「絕對合格」啦！ "
9789863211853,  突破考試難關最佳日檢套書全面剖析考試題型，循序傳授解題關鍵，考前磨鍊實力的最佳良伴！ 【日本語能力試驗 滿點】不求學得快，但求學得巧！「題型介紹＋解題祕訣＋豐富習題」循序培養日語實力，全面提升學習效率，不再讓您枯記死背、一知半解！適合當作考試、銜接中級、複習的教材。 《滿點讀解N3》特色： ◎循序培養讀解能力三步驟： Step1【實力養成】：培養基礎能力，提升閱讀速度！將實力養成分為兩個部分，首先幫助學習者熟悉書面語，並從基礎練習提升閱讀速度。 Step2【題型練習】：掌握各種題型，訓練解題技巧！提供N3常見文體，引導學生準確有效率地理解文意，再透過大量練習熟悉題型，提高做題正確率。 Step3【模擬試題】：實際演練，磨練應試實力！除了各篇章的習題之外，書末亦有1回與正式考試形式相同的題目，幫助熟悉考題，提升閱讀實力。 
9789864413171," 日本語能力試驗(Japanese-Language Proficiency Test，簡稱JLPT)，是一國際性的語言認證測驗，為提供世界各國的日語學習者一個檢測自身日語能力之檢定考試，簡稱日檢。此測驗由日本國際交流基金會與日本國際教育支援協會共同舉辦，於每年七月及十二月各舉辦一次。根據官方統計資料顯示，全球報考日檢的人數年年攀升，直至2018年全球之應試人數已達100萬人，實為規模最大的日語能力檢定測驗。然而，如同其他國際性語言檢定，日檢並無固定的測驗範圍可依循，且試題內容靈活，經常讓有志報考日檢的人在準備考試時傷透腦筋。為此，LiveABC日語編輯部特別針對日檢規劃了這本《一本合格！JLPT日檢完全攻略(試題+解析)N3》，希望能提供有志報考日檢的讀者應試準備方向。首先，準備檢定考試時，最重要的就是掌握「關鍵單字」，並且在了解考試題型之後，再透過「模擬試題」不斷地演練。本書可分為「N3關鍵單字」、「JLPT模擬試題」以及「JLPT模擬試題詳解」三大部分；在「N3關鍵單字」中，編輯部特別精選了500個出題頻率高的單字，輔以清楚易懂的排版，並加上重音、詞性及例句等完整標示，讓您可以迅速理解詞義和用法，並且開口唸出單字加深印象，讓背單字不再是一件難事。接著，帶您了解日檢N3的測驗內容及題型之後，再開始練習「JLPT模擬試題」。本書完整收錄了三回JLPT模擬試題，內容完全仿照官方公式問題集之架構出題，可確實達到模擬考試的目的。最後，「JLPT模擬試題詳解」採用和前述模擬試題相同的排版，將題目和詳解做對照方便讀者閱讀，詳解內容包含逐題中譯與試題解析，不僅告訴您正確答案，更要告訴您解題關鍵在哪裡。如此一來，透過三回「模擬試題」的練習，再搭配精美的「試題詳解」，讓您詳解讀一遍，勝讀好幾本日文文法書，上考場時遊刃有餘。本書內附電腦互動版JLPT模擬試題光碟，內容收錄三回JLPT模擬試題，可以直接使用光碟做測驗，測驗後會自動計算答對題數及測驗時間，方便又快速。搭配本書詳解一起使用，準備考試必定事半功倍。另外，本書還可搭配點讀筆使用，可隨時隨地聆聽「N3關鍵單字」中的單字、例句，讓您再也不用煩惱單字該怎麼唸。「試題詳解」的聽解大題亦可單題點讀，邊聽音檔邊看詳解，讓您輕鬆戰勝日文聽解題。近年，越來越多人報考日檢為取得一語言證照或作為加薪升遷的依據，而無論您是為了升學考試還是為了赴日打工、就職報考日檢，參加檢定考試無疑是個了解自己語言學習成果的好機會。希望本書能提供您一個準備日檢的方向，只要循序漸進地累積實力，相信日檢一定難不倒您。 "
9789869603904,"  
每天只要花一點時間

就能破解新日檢N3考試的祕密！

	 

只要1天30分鐘，

勤練18題，

30天掌握N3關鍵540題，

30天取得 N3合格證書！

	 

《新日檢JLPT N3 關鍵540題》

完全命中新日檢考試「題型」與「出題方向」，

馬上破解「新日檢N3的祕密」！

	 

	本書由在台教學20多年、專精新日檢教學的補教名師清水裕美子老師撰寫。清水老師具有日本人母語優勢及多年教學經驗，深入研究日本語能力測驗（JLPT）的出題趨勢，且熟知台灣學生在準備日檢考試時的盲點。清水老師整理出5回全真模擬日檢N3試題，希望透過這些題目，能帶領台灣考生從題目中找到解題關鍵、克服學習盲點、考取日檢合格證書。相信考生只要每天花30分鐘、每天做18題，就能在短時間提升應考實力，順利考取新日檢N3合格。

	 

	 

	★★★超人氣日檢王、王可樂老師唯一推薦模擬試題★★★

	快跟著王可樂老師一起學好日文：www.facebook.com/wangcolaneko/，考取日檢合格證書就是這麼簡單！

	 

	 

專為新日檢N3想合格的你量身打造的4大合格祕密──

1. 日籍名師親撰超高命中率題型

	清水老師在台已有近二十年的教學經驗，深入研究新日檢題目，致力協助台灣考生突破盲點。清水老師分析新日檢題目與台灣學生最容易失分的陷阱題，整理出戰勝新日檢N3試題及攻略，完全符合日本國際基金及國際教育支援協會的出題趨勢，只要熟練這五回試題，就能考取N3合格證書。

	 

2. 最具臨場感的完全擬真日檢試題

	本書分試題篇與解析篇，試題篇不僅仿照日本語能力測驗（JLPT）規格，題目數、難易度、出題方向、錄音語速……等皆完全符合官方趨勢，在題目呈現上更模仿真實考題的排版樣式，讓考生就算是在家練習，也有親臨考場的感覺。

	 

3. 精闢解題技巧，快速了解問題關鍵

	想要考取N3合格證書，除了掌握作答時間之外，更重要的是「看懂並且答對題目」。本書的每道題目都有詳盡的中譯，讓考生能確實了解題意。而解題的技巧在精不在多，清水老師以精闢的解析，點出問題點，讓考生能夠快速抓取解題關鍵，掌握N3考題的考試重點，一舉突破考取N3合格證書。

	 

4. 1天做18題，30天日檢N3合格

	本書附贈30天學習練習進度表，方便考生自我規畫學習進度，只要按表操課，每天花30分鐘，練習並精通18題日檢N3題目，持之以恆，認真學習，30天後就能順利N3合格！

	 

	 

取得新日檢N3合格證書的關鍵祕密──熟練模擬試題！

	將考前黃金準備時間，花費在高效益的書籍上，才能獲得最高的成效。

	掌握N3必考題型與常見陷阱題型，才是最佳的應考策略。

	 

突破新日檢N3 的3大題型的合格關鍵──

1. 言語知識（文字˙語彙）} 考試時間30分鐘。

	寫完試題不是對完答案就沒事了，為了達到紮實的學習成效、透徹理解錯誤地方，在練習完試題後，將混淆或理解錯誤的單字整理到筆記本中，隨時翻閱。並每天自我檢測，直到單字已經深入腦海為止。

	 

2. 言語知識（文法）˙讀解 } 考試時間70分鐘。

	N3的程度要能夠看懂日常生活相關內容的具體文章、掌握概要資訊，因此平時多閱讀日文文章，並且練習用不同的方式敘述，對於提升閱讀速度與理解力會很有幫助。而在寫完試題後，記得整理出易混淆或理解錯誤的文型，並在過了3-5天之後回頭練習同份試題，直到能夠完全答對與理解題目為止，如此便能確實理解，下次碰到同樣的陷阱就能從容應對。

	 

3. 聽解 } 考試時間40分鐘。

	想考過新日檢N3，須具備面對常速且連貫的對話，能夠大致理解並整合對話的具體內容、人物關係等資訊的能力。除了多看多聽日文節目，提升掌握對話內容的理解力之外，也可善用本書的聽解題目，詳細閱讀聽稿與反覆聆聽試題音檔，直到確認每字每話都能完全理解為止。

	 

5回全真模擬試題 + 仿真聽解語速 + 精闢解析 + 新日檢補教名師

= 馬上破解新日檢N3考試！

= 考取新日檢N3合格證書！

	 

	 

【使用說明】

只要一天18題，30天內就掌握日檢N3合格關鍵540題

1. 認識新日檢N3測驗

	想考過新日檢，就要先了解新日檢，想要N3合 "
