ISBN,書籍簡介
9789575325572,"  
日檢TOP 1！百萬考生實證推薦的超效學習法

「日語課本」與「日檢備考」合而為一的全新教材！

將N5必備文法融入課文，

以日檢「文法」「聽解」「讀解」出題形式設計練習題，

在學習日語的過程中，同時準備日檢，成功達陣！ 

	 

	「TRY！日本語能力試験 文法から伸ばす日本語」系列為ABK（公益財団法人アジア学生文化協会）以其35年的日語教育經驗編纂而成。編寫期間，也同時作為旗下日本語學校的授課教材，因而經過實際教學的反覆驗證，是目前將日檢文法整理得最完備的實用教材，讓讀者在學習日語的過程中能同時熟悉日檢題型，事半功倍，深獲第一線教師們高度肯定！

	 

	本書完整規劃9章、45個 N5必學文法項目，每章分配1～6個項目，方便讀者自學或課堂教學安排進度。第9章「便捷詞語」，介紹助詞、副詞、指示詞等用法。書末另有一回完整模擬試題。

	 

特色1：實用文法，真正能運用在生活中

	本書以日檢「Can-do」精神，將日檢文法融入各種生活情境中，如購物、溫泉滑雪、興趣討論、機場等，實用生動的會話或文章，搭配可愛的插圖，文法不再枯燥，讓學習者能將課本所學實際運用在日常生活中。

	 

特色2：延伸學習相似句型，點線面完全提升

	當日文程度越好時，對於相似句型的文法細節往往更容易混淆。每個文法解說皆再提供數個相關例句輔助說明，學習者可更加熟悉文法內容。若例句延伸出其他文法觀念或易混淆句型，書裡也會標示句型編號，讀者可立即查詢，相互參照，加深記憶。

	 

特色3：大量練習，日檢題型融入學習中

	為求最佳的學習成果，書中設計大量練習題目，幫助學習者找出不足之處。在每章結束後還有綜合測驗（もとめの問題），特別的是，作者採用日檢三科的出題形式，學習者在複習時，「文法」、「聽解」、「讀解」的作答能力也可同步提升。

	 

	免費超值下載

	請至官網免費下載音檔及單字表。www.jwbooks.com.tw/ask2021

	■  MP3音檔：內含課文朗讀音檔、聽力試題音檔。

	■  課文單字表：將書中N5必學單字製作成表，讀者可自行下載，重點單字總整理，加速記憶，搭配課本使用效果最好。

	  "
9789575325732,"  
日本最暢銷的日檢系列！
字彙、文法、閱讀、聽力同時並進，
一本搞定N5全科，
日語初級者的最佳整理祕笈！


	「新日檢完勝對策」系列由「JLPT日本語能力試驗」教材權威佐佐木仁子、松本紀子老師共同執筆，為考生規畫兩個月的應考讀書計畫。全套書籍從N5至N1分級共15冊，扎實奠定〈文法〉〈讀解〉〈聽解〉及〈漢字‧語彙〉四大基礎。

	《新日檢完勝對策N5：漢字‧語彙‧文法‧讀解‧聽解》以日常生活為主題發展N5相關字彙、文法、閱讀、聽力，「備考」與「實用」功能兼具。
	 
第一週，〈漢字〉學習，將相同漢字分門別類，加速記憶！
	將漢字依「時間」、「方向」、「詞性」、「意思相反或相似」等分類整理，學習者可先確認中、日漢字寫法的差異，再記住由漢字所衍生出的相關語彙，分類學習效果佳。同一漢字在不同組合下的特殊發音，或容易混淆的字形、讀音，皆另有提醒。

第二週，〈語彙〉學習，以片語記單字，同時提升「讀解」「聽解」實力！
	利用「搭配詞」概念，將所學語彙組成實用片語，其易讀好記的特性，不但有助於讀解及聽解準備，更是生活會話上的好幫手。

第三～五週，〈文法‧讀解〉學習，每週循序漸進！
	每週1～6天，將形態、用法或意義相關連的文法歸納在同一日學習，容易辨別運用上的差異，學習完立即練習，掌握當日學習成效。第7天利用「綜合測驗」，將前6天所學文法功能融合於文章之中，讓學習者活用文法、訓練閱讀理解能力。7天一循環，按部就班，「文法」、「讀解」兩科3週有效達標。

第六週，〈聽解〉學習，熟悉慣用語、掌握日檢題型！
	將一週分為三階段，分別是：複習生活基本用語→分析選項形式→了解題型分類。
	生活基本用語，如招呼語、家人稱謂、數字和時間的說法等，皆為常考內容，考生需在考前多加複習。選項的形式有插圖和文字兩種；題型則分為「課題理解」、「重點理解」、「表達方式」、「即時應答」，每種題型的作答流程與答題技巧各有不同，初次挑戰日檢的考生一定要先掌握到。

	「新日檢完勝對策N5」系列進度規劃：
	一天2頁，6週完成。 "
9789864413126,"  記好日文老師說一定會考的日檢單字，日檢合格大成功！日本語能力試驗(又稱JLPT)，是一種國際性的認證測驗，也是提供世界各國的日語學習者和日語使用者檢測自我日語的能力測驗，在每年7月和12月的第一個週日舉行。根據官網公布資料顯示，2011年全球共有約70萬人報考，其中台灣考區就有約64,000名考生應試。以台灣地區的JLPT報名費每次新台幣1500元來看並不算便宜，你也許會覺得好奇，為什麼還是會有這麼多人想要參加JLPT的檢定測驗。JLPT的檢定報名沒有年紀、性別、職業等限制，只要是母語非日語的日語學習者都可以自由報名。因為新制日檢有難易度的分級程度(N5~N1)，基本上，你可以根據自己的程度報考適合自己的級數，藉由參加檢定測驗檢視自我的日語學習狀況。另外一方面，因為JLPT的考卷全球統一由日本出題並收回校閱，所以取得的合格證書可在全球通用。JLPT的「認定書」（合格證書）就是一種國際證照，這個成績可以作為學習評量、入學甄選、畢業檢核、求職、升遷加薪、外派日本企業之日語能力證明。對於目前或日後想從事與日語相關工作的人來說，更是不可或缺的求學就業必備證照。此次，我們的日語編輯小組和日文老師花了非常長的時間翻閱了大量的日語檢定相關書籍及歷屆考古試題，一個字一個字的過濾篩選，挑選了符合JLPT裡N5~N3級數程度的文字語彙集結成本書。將近3000個字彙，我們一一加上了漢字或外來語的源字、中譯、重音標線、詞性、同反義及衍生字、說明和用法等補充。為了讓讀者更能掌控字彙用法，我們在每個單字旁邊都加上符合N5~N3文法程度的日中例句，搭配適時補充的圖解衍生單字，讓讀者在最短的時間內快速有效地牢記住單字及用法。在每一個級數學習結束之前，還有一回針對言語知識（文字‧語彙）的模擬測驗，題型及題數皆仿照正式的日語能力測驗，幫助讀者先熟悉測驗方式，以期在正式測驗中能快速進入作答模式。本書的企劃製作過程中，除了參考相關書籍及日文老師的實際教學經驗，我們也訪問曾考過日語檢定的考生，收集他們考試前後的心得感想，甚至動員相關人員實際參與檢定考，藉以獲得任何一點點值得參考的寶貴意見和建議。日語檢定的書籍雖說無範圍限制，但畢竟有難易度的級數分類，不像字典一樣可以照單全收。我們努力將最精華最關鍵的重點字彙收錄在本書中，希望對想要準備日檢的讀者有所幫助，順利通過日語檢定，合格沒問題！ "
9789865560300,"  
	要通過日語檢定，第一步就是要背單字！《新日檢N5單字帶著背！》將N5必考單字一網打盡，運用主題式整理讓您好學好記，還有數百題模擬試題，隨身帶著背，保證高分合格！更依照歷年考題調整收錄單字，保證是最精準的新日檢單字書！

◎運用本書必考上5大原因：

	‧一網打盡N5必考單字、語彙，一本就夠！
	‧發音＋漢字＋重音＋詞性＋例句，依照詞性編排，一目瞭然！
	‧數百題隨堂測驗＋模擬試題，即時自我檢測學習成效！
	‧模擬試題完全解析，釐清重要觀念，一點就通！
	‧考前衝刺必攜，隨身背誦好方便！

◎循序漸進，掌握N5高分合格的訣竅！

1.主題式總整理，一網打盡N5必考單字、語彙！
	本書將所有N5單字依照詞性的不同分成七大類，分別是「名詞」、「形容詞」、「副詞」、「動詞」、「疑問詞」、「招呼語」、「接續詞．複意、複音字」。接著再在各大類下細分各個小項目，例如「名詞」下可分為：人、食、衣、住、行等等，群組記憶單字，好記不遺漏！

	例：
	一、名詞
	（一）人
	①稱呼
	②人際關係
	③器官
	④身分

2.發音＋漢字＋重音＋詞性＋實用例句＋中譯，立即熟記單字！
	書中每一個單字均明確標示「發音」、「漢字」、「重音」、「詞性」，並一一附上最實用的例句＋最正確的中文翻譯，不但能讓您立即熟記單字，還可以當作初級日語辭典，是學習最佳良伴！

	例：
	わたし [私] 0 名 我
	わたしは　がくせいです。
	我是學生。

3.數百題隨堂測驗＋全真3回模擬試題，掌握考題趨勢！
	學習完一小類單字後，馬上可以利用緊接在後的「隨堂測驗」，即時檢測學習成效！而全真3回模擬試題，完全依照「日本國際教育支援協會」及「日本國際交流基金會」公布來出題，忠實呈現試題原貌，讓您厚植實力、加強臨場經驗、增加解題速度和功力，保證過關！

	例：
	隨堂測驗
	（1）選出正確答案
	（　）① こども
	1. 于ども 2. 子ども
	3. 児ども 4. 小ども

	模擬試題第一回
	もんだい1
	ぶんの　＿＿の　かんじは　どう　よみますか。1・2・3・4 から　いちばん　いい　ものを　ひとつ　えらびなさい。
	（　）① 新しい　ようふくですね。
	1. あたらしい 2. あだらしい
	3. あらたしい 4. あらだしい

4.完全解析，找出考生應考盲點！
	每回模擬試題均有解答與詳細的試題分析解說，幫助考生找出盲點，完全精通N5程度的日語。

	例：
	模擬試題第一回　中譯及解析
	もんだい1
	ぶんの　＿＿の　かんじは　どう　よみますか。1・2・3・4 から　いちばん　いい　ものを　ひとつ　えらびなさい。
	（　）① 新しい　ようふくですね。
	1. あたらしい 2. あだらしい
	3. あらたしい 4. あらだしい
	中譯 新衣服啊。
	解析 「新しい」（新的）是イ形容詞，這裡用來修飾後面的「洋服」（衣服）。

◎本書7大特色，讓您N5一擊必中！

1.「必考單字」好學習！
	參考歷年考題，精選1000個出在考題中出現機率高，同時也是最基礎的必考單字群，不可不背！
	　
2.「隨堂測驗」效果佳！
	背完一小類單字後，可以馬上利用單字下方的小考題，測試學習效果，不僅加深印象，還能立即了解答題時容易犯的錯誤！

3.「重點整理」不會忘！
	細心列出數字、數量詞、時間等新日檢必考之「重點整理表」，方便讀者記憶比對，不管再多繁複的變化，都不再是難題！

4.「複意、複音字」好對照！
	學習日文單字時最容易混淆的複意、複音字，本書貼心地分門別類，讓您遇到相似題型也能夠從容以對！

5.「3回模擬試題＋完全解析」最實在！
	附上3回擬真的「模擬試題＋完全解析」，考題精準，讓您在記憶單字後，能測驗自己的實力！

6.「名師錄製音檔」輕鬆背！
	特聘日籍名師錄製標準日語朗讀音檔，掃描QR Code下載好方便，隨時聆聽，不僅可以跟著說出一口正確、漂亮的日語，還能一邊聽音檔，一邊背單字，輕鬆學習無負擔！

7.「隨身攜帶」好方便！
	因應隨時隨地皆能背誦、準備N5單字的需求，特別製作成好攜帶的小開本。讓您不管是在捷運裡還是公車上，都可以把握零散時間，厚植單字實力！

本書特色

	熱銷多年！好評如潮！
	最精準、最有效的《新日檢N5單字帶著背！》，
	配合考題趨勢，修訂內容，
	因應時代使用習慣，暢銷升級推出QR Code版，
	讓您掌握必考單字，保證高分通過新日檢！ "
9789862466278,"  
	瞄準新日檢高分套書
	↓
	3個月紮實打底學習「日檢N5熱銷套書」，N5合格絕對綽綽有餘
	↓
	單字：單字‧文法交叉高效訓練，例句內容緊跟新日檢腳步，貼近日本生活！
	文法：首創30分鐘，文法速記表快速練習法！
	閱讀：頻出考題精心嚴選，詳細解析教您搶高分攻略！
	聽力：以最短時間助您融會貫通的聽力高分特訓！
	↓
	熟練「日檢N5熱銷套書」，「單字,文法,閱讀,聽力」一次就過關！ "
9789862466384,"  
讓挑戰題變成得分題，
	本書用，
	機能分類，
	打鐵趁熱，回想練習，
	讓您記得快又牢！


	★快又牢1：「機能分類，文法速記No1」★
	配合N5內容要求，類別包羅萬象，學習零疏漏，速記No1！

	★快又牢2：「一次弄懂相近文法，機能分類記憶法」★
	由一個機能，衍伸出好幾個相關的文法，比較彼此的關聯性及差異性，同時記住一整串。

	★快又牢3：「想像使用場合，史上最聰明學習法」★
	針對新制重視「活用在交流上」，從「文法→機能串連」，學習什麼話題，用什麼文型，什麼時候使用，效果最驚人！

	★快又牢4：「活用中學習，從生活例句學單字」★
	以同級詞彙撰寫生活例句，學文法順便補充單字量，單字不死背，日檢技能全方位！

	★快又牢5：「打鐵趁熱，回想練習記憶法」★
	背完後，打鐵趁熱緊跟著「回想練習」，以「背誦→測驗」的學習步驟，讓文法快速植入腦中！

	★快又牢6：「查閱利器，50音順金鑰索引」★
	貼心設計50音順金鑰索引，隨查隨複習，發揮強大學習功能！

	★快又牢7：「利用光碟大量接觸例句，聽覺記憶法」★
	新日檢強調能看更要能聽。利用光碟反覆聆聽，文法自然烙印腦海，再忙也不怕學不會！

本書特色

★機能分類 × 比較相近用法，考試強大後援團！
	為了解決您老在陷阱選項中難以自拔，本書完整收錄N5考試內容，並依時間、比較、希望、意志…等機能，把相同意思或相近的文法分類在一起。這樣幫助您對照、比較相近用法的差異及其關連，幫助您一次釐清所有文法，不再混淆。不再受陷阱選項影響，正確答案立即浮現。
	同時不論是考試，還是生活應用，遇到分類主題，立刻啟動連鎖記憶，喚醒整串相關文法。不管是常考、愛考、一直考的文法，各個都不怕。這樣為您累積豐厚實戰力，成為您考試的強大後援團。

★關鍵字說明 × 道地生活句，文法一點就通！
	本書完整收錄日檢N5必考文法，並將文法說明內容精簡，再精簡！僅以關鍵字點出文法精隨，讓您以最少時間，抓住重點，刺激五感，製造聯想。再配合專業日籍老師撰寫生活化道地的例句，就是要您文法一點就通。這樣學習文法更自然，更能順著直覺迅速反應。讓您面對文法不再頭痛燒腦。

★靠「句子」學同級單字，好處更多！
	不要您再苦心背單字，本書讓您靠「句子」學單字。書中例句除了配合N5程度生活情境外，還精心使用同級單字。不僅如此，再加碼，又補充這些單字的相近詞，在同頁下方的單子補充欄裡。這樣，一方面讓您從活用中學習，加深記憶軌跡，另一方面「點→線」方式學習單字用法，有效率的增加單字量，可將單字量補好補滿！

★學過文法立即測驗，讓挑戰題變成得分題！
	每單元學過文法後，馬上在對頁精心設計該單元的文法選擇題及句子重組題。讓您在記憶猶新之下進行回想練習，邊學邊練，記憶自然深植腦海！而文法學習與題目練習，安排於同一跨頁的版型，方便您針對錯的題目歸納出不熟的是哪個部分，回去複習，這樣讓挑戰題變成得分題！

★針對日檢題型，知己知彼，絕對合格！
	日檢N5文法共有３大題，本書的題型主要針對第１、２大題，但也可以活用於第３大題。為了讓您在相近文法中選出正確答案，必須要清楚理解正確的用法及意義，並能辨識容易混淆的相近用法，同時還要有讀懂句意的閱讀能力。另外，句子重組則是訓練讀者掌握句子的結構，對於鍛鍊口說和寫作技巧也有莫大的幫助。本書將會幫助您大量且反覆的訓練這４項技能，日檢文法自然迎刃而解。

★貼心50音排序索引，隨時化身萬用字典！
	書末附上文法索引表。每當遇到不會的文法或是突然想要查找，本書就像字典一樣查詢精準，且由於文法皆以機能編排，讀者不但能根據所需從任意機能開始閱讀本書，查一個文法還能一併複習相似文法。當文法變得輕鬆好找，學習也就更加省時、省力！

★聽日文標準發音，養成日文語感、加深記憶！
	所有文法及例句皆由專業日籍教師配音，反覆聆聽便能將內容自然烙印於腦海，聽久了還能自然提升日文語感及聽力。不只日檢合格，還能聽得懂、說得出口！且每篇只需半分鐘，讓您利用早晨、通勤、睡前等黃金零碎時間，再忙也不怕學不會！

	自學以及考前衝刺都適用，本書將會是您迅速合格的考試軍師。充分學習、練習、反覆加深記憶，並確實擊破學習盲點，從此將文法變成您的得高分利器！迎戰日檢，絕對合格！ "
9789865507787,"  
日檢從N5到N1，每考完一級都必須要重新準備嗎？
	能不能有一本書把日檢的重要單字一網打盡？

	讓從非本科生一躍為專業日文工作人員的老師告訴你，
	只要一本書就能為日檢單字做好準備！
	精華濃縮日檢N5~N1所有高分必備單字，絕對超滿足。

	單字編排不只依難度分級，還依詞性分類，
	將自動詞、他動詞一網打盡；收錄日師親錄標準發音音檔；
	獨家設計可勾選表格，有系統化學習，自我檢測好輕鬆！


	黃金三步驟背誦法：
	【單字記憶先植入→反覆讀音再強化→例句練習真活用】
	日檢單字強勢進駐腦海，念念不忘，快速成就日檢滿分大師之路，
	N5~N1五級別，所有難題通通一級必殺！

	N5、N4、N3、N2、N1一路向上挑戰，
	只要熟記關鍵單字，一本在手難題通通一擊必殺！
	一次只準備一級的日檢考試字彙，在面對下一級的考試時又要從頭來過，重新背單字，這樣不就好像是畫地自限，減緩進步的速度嗎？讓這一本書幫你一次解決N5~N1的字彙，成為考是最佳利器，全力衝刺到滿分的頂點！

	自動詞、他動詞貼心分類；單字重音標示一個不漏，
	單字小教室和專家詳細說明，日語難題通通一擊必殺！
	日文文法與中文大相逕庭，許多細節讓非母語學習者感到混亂，然而日本人偏偏又是一絲不苟的民族，半吊子的日文只會讓他們笑掉大牙。因此，本書特別針對日語學習者最容易混亂的自動詞、他動詞貼心分類，且在發音部分也把重音處標記清楚，唯有最細節的處理，才能征服試場！

	黃金三步驟背誦竅門＋超系統化的可勾選表格設計
	還有日師親錄專業音檔，學習全方位讓考試通通一擊必殺！
	單字學習有黃金三步驟：認識單字→讀音練習→例句應用，邏輯性的學習更有效率！本書單字獨家設計的可勾選表格，記錄自己學到哪裡，讓學習更有效率！
	再搭配日師親錄的MP3音檔，用耳朵來學習，以不同感官接收刺激，透過聲音的方式達到多次學習的效果，才真正記得牢！ "
9789862466247,"  
《合格全攻略！新日檢6回全真模擬試題N5》修訂版正式上市！

	 

本書的解題版是《絕對合格攻略！新日檢6回全真模擬N5寶藏題庫＋通關解題》。

	 

幫你掌握日語檢定核心關鍵534題，

短期衝刺，日檢100分保證到手！

	 

配合最新出題趨勢，模考內容全面換新！

	 

	百萬考生見證，權威題庫，就是這麼威！

	出題的日本老師通通在日本，

	持續追蹤日檢出題內容，重新分析出題重點，精準摸清試題方向！

	輕鬆取得加薪證照，搶百萬年薪！ 

	 

	●您是否做完模考後，都是感覺良好，但最後分數總是沒有想像的好呢？做模擬試題的關鍵，不是在於您做了多少回，而在，您是不是能把每一回都「做懂，做透，做爛」！

	 

	●一本好的模擬試題，就是能讓您得到考試的節奏感，練出考試的好手感，並擁有一套自己的解題思路和技巧，對於千變萬化的題型，都能心中有數！

	 

新日檢萬變，高分不變：

	●為掌握最新出題趨勢，本書的出題日本老師，通通在日本長年持續追蹤新日檢出題內容，徹底分析了歷年的新舊日檢考題，完美地剖析新日檢的出題心理。發現，日檢考題有逐漸變難的傾向，所以我們將新日檢模擬試題內容全面換新，製作了擬真度100﹪的模擬試題。讓考生迅速熟悉考試內容，完全掌握必考重點，贏得高分！

	 

摸透出題法則，搶分關鍵：

	●摸透出題法則的模擬考題，才是搶分關鍵。例如：「日語漢字的發音難點、把老外考得七葷八素的漢字筆畫，都是熱門考點；如何根據句意確定詞，根據詞意確定字；如何正確把握詞義，如近義詞的區別，多義詞的辨識；能否辨別句間邏輯關係，相互呼應的關係；如何掌握固定搭配、約定成俗的慣用型，就能加快答題速度，提高準確度；閱讀部分，品質和速度同時決定了最終的得分，如何在大腦裡建立好文章的框架」。只有徹底解析出題心理，合格證書才能輕鬆到手！

	 

決勝日檢，全科備戰：

	●新日檢的成績，只要一科沒有到達低標，就無法拿到合格證書！而「聽解」測驗，經常為取得證書的絆腳石。

	 

	●本書不僅擁有6回合大量的模擬聽解試題，更依照JLPT官方公佈的正式考試規格，請專業日籍老師錄製符合N5程度的標準東京腔光碟。透過模擬考的練習，把這6回「聽懂，聽透，聽爛」，來鍛鍊出「日語敏銳耳」！讓您題目一聽完，就知道答案是哪一個了。

	 

掌握考試的節奏感，輕鬆取得加薪證照：

	●為了讓您有真實的應考體驗，本書完整輯錄「6大回合超擬真模擬試題」，完全複製了整個新日檢的考試配分及題型。請您一口氣做完一回，不要做一半就做別的事。考試時要如臨考場：「審題要仔細，題意要弄清，遇到攔路虎，不妨繞道行；細中求速度，快中不忘穩；不要急著交頭卷，檢查要認真。」

	 

	●這樣能夠體會真實考試中可能遇到的心理和生理問題，並調整好生物鐘，使自已的興奮點和考試時間同步，培養出良好的答題節奏感，從而更好的面對考試，輕鬆取得加薪證照。

	 

找出一套解題思路和技巧，贏得高分：

	●為了幫您贏得高分，《修訂版 合格全攻略！新日檢6回全真模擬試題N5》分析並深度研究了舊制及新制的日檢考題，不管日檢考試變得多刁鑽，掌握了原理原則，就掌握了一切！

	 

	●確實做完這6回真題，然後認真分析，拾漏補缺，記錄難點，來回修改，進行分類，將重點的內容重點複習，也就是做懂，做透，做爛這6回。這樣，您必定對解題思路和技巧都能爛熟於心。而且，把真題的題型做透，其實考題就那幾種，掌握了就一切搞定了。

	 

相信自己，絕對合格：

	●有了良好的準備，最後，就剩下考試當天的心理調整了。不只要相信自己的實力，更要相信自己的運氣，心裡默唸「這個難度我一定沒問題」，您就「絕對合格」啦！

	  "
9789865560195,"  
	您正傷腦筋該怎麼準備新日檢N5嗎？除了死背硬記單字之外，為了熟悉考試題型，您是否還在考慮一次寫個完整5回、10回的模擬考題呢？

	不知道該怎麼規劃考前時間的考生看過來！覺得一次就要寫完整一回模擬考題很有壓力的考生也看過來！

	本書幫您清楚規劃測驗範圍，測驗之後一邊確認答案，一邊對照翻譯與解說，只要30天！每天只要20題！就能達到無壓力地做題與同時複習、記憶重點的雙重功效！

◆兩大名師聯手合作！

	‧本書由撰稿經驗十五年以上的こんどうともこ老師，完全依據「日本國際教育支援協會」及「日本國際交流基金會」所公布的新日檢「最新題型」出題。擁有長期研究日檢的經驗，全新撰寫546題最精準、活潑的考題，助您從容面對新日檢！

	‧翻譯與解析部分，由輔考經驗多年的王愿琦老師，就「文字・語彙」、「文法」、「讀解」、「聽解」各科目的每一題，做詳細、精湛的翻譯與解說，助您徹底攻略每一題，新日檢高分過關！

	兩大名師聯合出手，100%模擬新日檢考題，最新題型＋完全解析，考前30天，就靠這一本！

◆本書三大部分，30天輕鬆備考新日檢N5！

模擬試題部分
	‧名師撰寫，完全模擬實際檢定考題目，最放心！
	‧內容涵蓋必考4大科目：「文字・語彙」、「文法」、「讀解」、「聽解」，零疏漏！
	‧將模擬試題拆成30天，每天固定分量練習、學習，無負擔！
	‧以每5天為一週期：前4天練習「文字・語彙」、「文法」2科，每天20題，厚植實力；第5天熟悉「讀解」、「聽解」2科，每次11題，融會貫通！
	‧「聽解」試題由日籍名師錄音，完全仿照正式考試的速度，搭配QR Code掃描下載，隨時聆聽提升聽解實力！

解答部分
	‧每一天測驗完，立即檢核實力，看日後的每一天，程度是不是越來越好！

翻譯、解說部分
	‧將模擬考題調整成「漢字上標註讀音」模式，可同步複習漢字以及讀音，增強實力！
	‧翻譯部分採日文、中文「字對字」方式呈現，並兼顧「語意通順」，遇到不懂的生字和文法，可即時領悟！
	‧以明快、深入淺出的方式解題，簡單易懂，助您輕鬆戰勝新日檢！
	‧以表格形式彙整相關重點，讓您一次掌握，輕鬆備考！

	《30天考上！新日檢N5題庫＋完全解析》將做題時間分散成30天，每天只要花一點點時間做題練習，並對照解答、解說複習記憶，便能達到事半功倍的成效，讓您無壓力備考新日檢N5！

本書特色

	只要30天！
	由輔考經驗豐富的作者群撰寫出題頻率高的模擬試題，
	每天10題「字・語彙」＋10題「文法」，以及每5天一回的「讀解」、「聽解」，
	546題的精準題庫＋完全解析，讓您輕鬆無壓力備考新日檢N5！ "
9789862464755,"  
開啓日檢閱讀心法，日檢實力大爆發！
只要找對方法，就能改變結果！
即使閱讀成績老是差強人意，也能一舉過關斬將，得高分！


★ 日籍金牌教師編著，百萬考生推薦，應考秘訣一本達陣！！
★ 被國內多所學校列為指定教材！
★  N5閱讀考題66 × 日檢必勝單字、文法 × 精準突破解題攻略！
★ 魔法般的三合一學習法，讓您樂勝考場！
★ 百萬年薪跳板必備書！
★ 目標！升格達人級日文！成為魔人級考證大師！

	為什麼每次日檢閱讀測驗，就像水蛭一樣，不知不覺把考試時間吞噬殆盡！
	為什麼背了單字、文法，閱讀測驗還是看不懂？
	為什麼總是找不到一本適合自己的閱讀教材呢？

	你有以上疑問嗎？
	不知道該怎麼準備新日檢N5閱讀嗎？
	市面上這麼多閱讀參考書，不知道該怎麼選嗎？
	胡亂買了一堆書，卻不知從何唸起嗎？

	放心！ 不管是考前一個月或是考前一週，《精修版 新制對應絕對合格！日檢必背閱讀N5》帶你揮別過去所有資訊不完整的閱讀教材，磨亮你的日檢實力，不再擔心不知道怎麼準備閱讀考試，更不用煩惱來不及完成測驗！

	本書【４大必背】不管閱讀考題怎麼出，都能見招拆招！
	✓閱讀內容無論是考試重點、出題方式、設問方式，完全符合新制考試要求。為的是讓考生培養「透視題意的能力」，經過做遍各種「經過包裝」的題目，就能找出公式、定理和脈絡並進一步活用，就是抄捷徑方式之一。
	✓「解題攻略」掌握關鍵的解題技巧，確實掌握考點、難點及易錯點，說明完整詳細，答題準確又有效率，所有盲點一掃而空！
	✓本書「單字及文法」幫您整理出N5閱讀必考的主題單字和重要文法，只要記住這些必考關鍵單字及文法，考試不驚慌失措，答題輕鬆自在！
	✓「小知識」單元，將N5程度最常考的各類主題延伸單字、文法表現、文化背景知識等都整理出來了！只要掌握本書小知識，就能讓您更親近日語，實力迅速倍增，進而提升解題力！

本書特色

	本書【五大特色】內容精修，全新編排，讓您讀得方便，學的更有效率！閱讀成績拿高標，就能縮短日檢合格距離，成為日檢閱讀高手！

	1. 名師傳授，完全命中考試內容！
	由多位長年在日本、持續追蹤新日檢的日籍金牌教師，完全參照JLPT新制重點及歷年試題編寫。無論是考試重點、出題方式、設問方式都完全符合新日檢要求。完整收錄日檢閱讀「理解內容（短文）」、「理解內容（中文）」、「釐清資訊」三大題型，每題型各十一回閱讀模擬試題，徹底抓住考試重點，準備日檢閱讀精準有效，合格率不再交給命運！

	2. 精闢分析解題，一掃所有閱讀盲點！
	閱讀文章總是看得一頭霧水、頭昏眼花？其實閱讀測驗心法，處處有跡可循！本書每道試題都附上詳盡的分析解說，分段說明，脈絡清晰，帶你一步一步突破關卡，並確實掌握考點、難點及易錯點，所有盲點一掃而空！給你完勝日檢高招盡出！

	3. 掌握N5相關單字、文法、萬用句型，三倍提升應考實力！
	針對測驗文章，詳細挑出N5單字、文法和萬用句型，讓你用最短的時間達到最好的學習效果！有了本書，就等於擁有一部小型單字書及文法辭典，「單字×文法˙萬用句型×解題攻略」同步掌握閱讀終極錦囊，大幅縮短答題時間，三倍提升應考實力！

	4. 小知識萬花筒，讓你解題更輕鬆，成效卻更好！
	閱讀文章後附上的「小知識」，除了傳授解題訣竅及相關單字，另外更精選貼近N5程度的時事、生活及文化相關知識，內容豐富多元。絕對讓你更貼近日本文化、更熟悉道地日語，破解閱讀測驗，就像看書報雜誌一樣輕鬆，實力迅速倍增！

	5. 萬用句小專欄，給你一天24都用得到的句子，閱讀理解力百倍提升！
	本書收錄了日本人日常生活的常用句子，無論是生活、學校、職場都用得到！敞開你的閱讀眼界，啟動聰明的腦系統基因，以後無論遇到什麼主題的文章，都能舉一反三，甚至能舉一反五反十，閱讀理解力百倍提升！ "
