ISBN,書籍簡介
9789863211655,"  
 本書為測驗職場日語溝通能力之「BJT商務日語能力考試」官方編寫，專為學習者設計之模擬試題及指南。模擬試題皆依實際考試出題形式、難易度編寫，並由官方針對考試要點，徹底剖析考試目的、考題結構、解題技巧及各等級評分標準。讓學習者充分理解「BJT商務日語能力考試」，並檢測自己是否已具備商務職場的日語理解與溝通能力，備試更能得心應手！

本書特色：

 ●對應現行考試方式
 配合現行BJT商務日語能力考試編寫而成，實際體會臨場考試狀況。

 ●充實的解說
 由BJT主辦考試官方徹底解說考試目的與檢測方針。

 ●詳盡的指南
 針對考試重點與考題結構，徹底剖析出題方向、解題技巧和各級評分標準。

 ●徹底解說模擬試題
 配合從官網下載的音檔進行模擬測驗，並於測驗後閱讀解說，備試更加得心應手！ "
9789860795134,"  
課本都懂，看到考題卻反應不過來嗎？
	你需要以日檢邏輯統整文法，多樣化例句培養語感！

	日檢初中級 50 個考點 + 中級句型整理
	觀念解說 ╳ 大量例句 ╳ 文義辨析 ╳ 日檢仿真試題
	從豐富語境搭配實用字彙來學文法
	不死記就能打好日文底子！


	本書適合：
	1.做題庫發現問題多，需要從觀念加強。
	2.想從基礎文法自學，又不想使用情境制式化的傳統教科書。
	3.希望提升活用文法與句型造句的能力。

本書特色

特色一、以「日檢考點」統整所有文法
	本書初級由「文法考點」構成，中級由「文法考點」與「句型統整」兩部份構成。以日檢出題邏輯將所有文法統整為50大考點，並包含易混淆文法的辨析，讓你學習的同時就知道每項文法概念會如何出現在考題中。
	每個考點透過﹝觀念分析﹞→﹝例句示範﹞→﹝成果檢視﹞→﹝試題詳解﹞四步驟，徹底釐清觀念，確認自己的文法實力。希望短時間內掌握各考點的讀者，可以直接從成果檢視做起，再回頭挑需要加強的部分閱讀。

特色二、以「接續型態」統整句型
	句型最大的困難，在於記憶句型公式，及瞭解如何運用。本書以動詞形態來分類句型，直接解決接續形態混淆的問題，大大提升學習效率。各句型皆有三個以上示範例句，透過類似的文脈重複練習。

特色三、從多樣化情境之大量例句掌握文法與句型
	文法與句型最快的學習方式，是回歸語境與累積大量實例。Hiroshi研究多年日檢考題，發現日檢難掌握原因在於語彙範疇廣又新，因此活用各種口譯場合經驗，避開陳腔濫調與不合時宜的例句，結合各領域與符合時下情境的例句學文法，可同時提升語彙能力。

特色四、針對助詞、時態、授受動詞、敬語，加強整理
	上述幾項一般學習者最困難的領域，其實本身觀念不難，只是缺乏好理解的分類整理，本書在這些最難理解的項目上，有較多篇幅的歸納介紹與辨析。

外語學習界熱烈推薦

	王可樂日語│ 王可樂老師
	今泉江利子│政大／淡大／文大兼任日語教師
	日文輕鬆記│人氣日語學習IG
	以琳老師 Yiling│線上多益課程人氣講師
	笹岡敦子｜輔仁大學跨文化研究所口筆譯組兼任講師
	楊承淑｜輔仁大學學術特聘教授
	Manako｜IG「マナコ日文研究室」版主
	(依姓氏筆畫順)

短文推薦

笹岡敦子｜輔仁大學跨文化研究所口筆譯組兼任講師：
	雖然例句很惡搞，但可以學到的東西卻是確實的。因應考試打好基本概念的基礎，並靠著例句網羅相關應用，即便是進階學習者，若在文法上有所困惑，也是一本可靠的參考書。

日文輕鬆記│人氣日語學習IG版主：
	輕鬆、高效率同時又能維持熱忱的語言學習方法，向來都很吸引我。Hiroshi老師的這本書，很適合那些不想花太多時間在研讀課本，只想快速掌握文法重點，學會區分容易混淆的句型，然後把剩下的時間留給自己喜愛的動漫、日劇、小說跟Podcast的人。

Manako｜IG「マナコ日文研究室」版主：
	以日檢邏輯統整初中級文法，輔以多種情境、場合之下會使用的生活化例句，助你釐清文法概念的同時還能提升句型活用的能力！再者，搭配各章節後的模擬試題，反覆練習深化文法記憶，讓日文學習變得更有效率，是一本我會想推薦給日文自學者的文法書！ "
9789575324698,"  
日本專業語言教材出版社ASK，暢銷日檢系列，全新修訂！
 題目量為同類書籍2倍，一天20分鐘，4週絕對合格！
 關鍵500題，從「做題」中掌握弱點！
 超簡易版型，翻頁即是解析，方便行動學習！

  

「JLPT日本語能力試驗」權威作者出題。大量練習，提升考題熟悉度！
  

 本書由日本專業語言教材出版社ASK邀請「JLPT日本語能力試驗」教材權威作者執筆。作者長期研究題型，出版了十餘冊日檢系列暢銷叢書，讀者遍及亞洲各國。本書前身為《 新日檢500題N2‧N3︰文字‧語彙‧文法》，出版至今，由於不斷受到考生及教師們的好評，於2015年推出全新修訂版本，延續「大量練習，提升實力」的宗旨，修訂版更精準掌握最關鍵的500題與其延伸，幫助考生在最短時間內全力衝刺。
  

從做錯的題目裡，找出盲點，釐清觀念，不再犯錯！

  

 苦讀了數本文法書，以為自己全都會了？
 「背好文法」不等於能「運用文法」！靈活的文法考題，才能測出自己確實懂了多少，因此考前最後一個月，正是自我檢測，抓出盲點弊病的關鍵時刻，要從大量做題中找出弱點。除了正確答案，作者還針對錯誤選項進行解說，同時提供不同詞性、相似詞、慣用語、類似用法，及陷阱題目的破題技巧，讓考生一看就懂，茅塞頓開！以四週的進度安排，扎實打底，累積實力！

  

本書特色
  

■ 三種題型交叉練習，亦可專攻單一題型
 每頁各有一道「文字」「語彙」「文法」題，可同時進行三種題型的交叉練習，提升反應速度，正確答題。亦可針對自己的弱點專門訓練某一題型。

  

■ 一天20分鐘，4週絕對合格
 按照本書安排進度，「一天20分鐘、15道題」即可完成4週密集衝刺。重要觀念、關鍵字詞反覆出現，徹底吸收新日檢考題精華。

  

 ■ 版型簡易，方便通勤、通學中行動學習
 每頁三題，翻頁即是解答∕解析∕延伸，漢字假名標注下方，完全保留日本教材風格的專業與實用！

  

■ 找出盲點，釐清觀念，增強信心
 多做題目，才能從錯誤的地方找出問題，釐清觀念，確實累積實力，應考更有自信！ "
9789862461259,"  
《新版 新制對應絕對合格N1,N2,N3,N4,N5文法比較辭典》再出新版了！
讓您充分利用瑣碎時間也能怎麼考，怎麼過！


	瑣碎時間是珍珠，
	它散落在吃飯後、等車時、做家事間，
	把這些珍珠串起來，
	就價值連城啦！

	新日檢N1,N2,N3,N4,N5文法考試，四個選項，
	經常讓您「左右為難」、「難分難解」嗎？
	本書利用「筆記術」，提煉解題線索，充分比較，
	再加上「過五關斬六將」，考試如線上遊戲，累積實力點數，
	效果再升級「生動漫畫」，重點馬上看到
	這樣做對、做全、做出實力，
	就能讓您一舉拿下高分！

	日檢文法常覺得枯燥乏味而提不起勁嗎？
	書中N4,N5文法，有漫畫插圖生動幽默，重點一學就會，比較點過目不忘！
	「過五關斬六將」讓考試如線上遊戲，讓您贏在考場！
	爭取考試成績王道就要，
	精選好的試題，並加強演練，增加做題熟悉度和速度！

	考文法最重要的是懂得分析句子的結構，只要將結構拆解成功，就算成功了。即使裡頭一堆生字，但只要掌握結構，一切很簡單：

■ 獨門拆解句子結構技巧，是您考試必備利器
	《新版 新日檢 絕對合格 N1,N2,N3,N4,N5文法比較大全》為了解除您多年來的文法迷思，也讓您在速讀文章時不被文法架構綁住，除了精選好的試題之外，並告訴您如何拆解句子結構，反覆訓練您應考技巧。進而，在考場上繳出漂亮的成績單！

■ 「生動漫畫」、「比一比」最容易混淆的文法盲點，一舉拿下高分
	書中，N4,N5文法有漫畫插圖生動幽默，讓您重點一學就會，比較點過目不忘。不僅如此，還特別將難分難解刁鑽易混淆的文法項目，用「比一比」的方式進行整理、歸類，按目的、時間、原因、傳聞…等機能別的實際用法，並分析易混淆文法間的意義、用法、語感…等的微妙差異。讓您在考場中不必再「左右為難」「一知半解」，一看題目就能迅速找到答案，一舉拿下高分！

■ 「過五關斬六將」考試如線上遊戲，讓您贏在考場
	豐富的考題，以過五關斬六將的方式展現，讓您寫對一題，好像闖過一關，就能累積實力點數。沒過關還有文法博士，為您解說通關訣竅，點出考點為何，並將各選項逐一解說，讓您充分弄懂題意，絕對贏在考場！

■ 利用筆記術，提煉解題線索，讓您做對、做全、得滿分
	「過五關斬六將考試」的考題講解，還幫您做筆記，讓您看書就像在看自己上課的筆記一樣，親切好懂，買一本書就像帶了一個老師回家！同時學習做筆記的方法，一生受用無窮！其中，搭配文法提示、答案、解說及譯文，讓您可以即時演練、即時得知解題技巧，保證學習成效No. 1！也就是讓您做對、做全、得滿分。 "
9789864412877," 日本語能力測驗(Japanese-Language Proficiency Test，簡稱JLPT)，是一國際性的語言認證測驗，為提供世界各國的日語學習者一個檢測自身日語能力之檢定考試，簡稱日檢。此測驗由日本國際交流基金會與日本國際教育支援協會共同舉辦，於每年七月及十二月各舉辦一次。根據官方統計資料顯示，全球報考日檢的人數年年攀升，直至2017年全球之報考人數已達88萬人，實為規模最大的日語能力檢定測驗。然而，如同其他國際性語言檢定，日檢並無固定的測驗範圍或根據可依循，且試題內容靈活，經常讓有志報考日檢的人在準備考試時傷透腦筋。為此，LiveABC日語編輯部特別針對日檢規劃了這本《一本合格！JLPT日檢完全攻略(試題+解析)N5》，希望能提供有志報考日檢的讀者應試準備方向。首先，準備檢定考試時，最重要的就是掌握「關鍵單字」，並且在了解考試題型之後，再透過「模擬試題」不斷地演練。本書可分為「N5關鍵單字」、「JLPT模擬試題」以及「JLPT模擬試題詳解」三大部分；在「N5關鍵單字」中，編輯部特別精選了400個出題頻率高的單字，輔以清楚易懂的排版，並加上重音、詞性及例句等完整標示，讓您可以迅速理解詞義和用法，並且開口唸出單字加深印象，讓背單字不再是一件難事。接著，帶您了解日檢N5的測驗內容及題型之後，再開始練習「JLPT模擬試題」。本書完整收錄了三回JLPT模擬試題，內容完全仿照官方公式問題集之架構出題，可確實達到模擬考試的目的。最後，「JLPT模擬試題詳解」採用和前述模擬試題相同的排版，將題目和詳解做對照方便讀者閱讀，詳解內容包含逐題中譯與試題解析，不僅告訴您正確答案，更要告訴您解題關鍵在哪裡。如此一來，透過三回「模擬試題」的練習，再搭配精美的「試題詳解」，讓您詳解讀一遍，勝讀好幾本日文文法書，上考場時遊刃有餘。本書內附電腦互動版JLPT模擬試題光碟，內容收錄三回JLPT模擬試題，可以直接使用光碟做測驗，測驗後會自動計算答對題數及測驗時間，方便又快速。搭配本書詳解一起使用，準備考試必定事半功倍。另外，本書還可搭配點讀筆使用，可隨時隨地聆聽「N5關鍵單字」中的單字、例句，讓您再也不用煩惱單字該怎麼唸。「試題詳解」的聽解大題亦可單題點讀，邊聽音檔邊看詳解，讓您輕鬆戰勝日文聽解題。近年，越來越多人報考日檢為取得一語言證照或作為加薪升遷的依據，而無論您是為了升學考試還是為了赴日打工、就職報考日檢，參加檢定考試無疑是個了解自己語言學習成果的好機會。希望本書能提供您一個準備日檢的方向，只要循序漸進地累積實力，相信日檢一定難不倒您。 "
9789862465349,"  
新制日檢N3必出1575字，配合1575「金短句」+「金長句」+重音標示
竭盡所能，濃縮學習密度，快速掌握出題重點。

	「金短句」透析與其他詞常見的搭配形式，
	以獲舉一反三增加詞彙量、增強表達力。

	研究顯示多舉出例句將提升記憶，
	本書加上含有同級文法的「金長句」大大有利於提升日檢分數。

	重音標示，讓您有聽就有懂，不讓聽力分數形成落差，
	縮短日檢合格距離！

	同級易混類反義詞加強區別學習，
	學習效果３倍升級！

	《絕對合格 全攻略！新制日檢N3必背必出單字》百分百全面日檢學習對策，讓您致勝考場：

	★ 所有單字標示「重音」，讓您會聽、會用，考場拿出真本事！
	★ 每個單字都補充同級「類語詞」加強易混淆單字、同義詞的區別學習，學習效果３倍升級！
	★ 新增最接近必出考題的金短句「必考詞組」，以提升理解度，單字用法一點就通！
	★ 編寫最接近必出考題的金例句「必考例句」，同步吸收同級文法與會話，三效合一，效果絕佳！

	別讓記憶力，成為考試的壓力！想成為最後的贏家，那就是找對單字書！

	重音版絕對合格提供100％全面的單字學習對策，讓您輕鬆取證，致勝考場！本書特色有：

1. 50音順+類對義詞，考點關鍵＝合格捷徑！
	全書單字採50音順排列，黃金搭配省時省力，讓你方便查詢，每個字並補充同級類義詞，搭配部分對義詞，相關單字一網打盡，加強易混淆單字、同義詞的區別學習，讓你加深印象、方便記憶，必考單字學習效果三級跳！

2. 標示重音，輕鬆攻破聽力，縮短合格距離！
	突破日檢考試第一鐵則，會聽、會用才是真本事！「きれいな はな」是「花很漂亮」還是「鼻子很漂亮」？小心別上當，搞懂重音，會聽才會用！本書每個單字後面都標上重音，讓您一開始就打好正確的發音基礎，讓您有聽就有懂，不讓聽力分數形成落差，大幅提升日檢聽力實力，縮短日檢合格距離！

3. 一千五百多個單字，舉一反十，變出無數用法！
	重音版絕對合格日檢單字給您五星級內容，讓您怎麼考，怎麼過！權威，就是這麼威！
	▲ 所有單詞（包括接頭詞、接尾詞、感歎詞等）精心挑選，標注重音、詞性，解釋貼切詳細。
	▲ 每個字增加類義詞，配合部分對義詞，戰勝日檢的「換句話說」題型，３倍擴充單字量。
	▲ 最接近必出考題的短句，針對「文脈規定」的題型，濃縮學習密度，讓您知道如何靈活運用單字。
	▲ 最接近必出考題的例句，同級文法與會話同步學習，針對日檢趨向生活化，效果絕佳！

4. 貼心排版，一目瞭然，好用好學！
	單字全在一個對頁內就能完全掌握，左邊是單字資訊，右邊是慣用詞組及例句，不必翻來翻去眼花撩亂，閱讀動線清晰好對照。

5. 權威經驗，值得信賴！
	本書以日本國際交流基金（JAPAN FOUNDATION）舊制考試基準，及最新發表的「新日本語能力試驗相關概要」為基準。並參考舊制及新制日檢考試內容並結合日語使用現況，同時分析國內外各類單字書及試題等，並由具有豐富教學經驗的日語教育專家精心挑選出N3單字編著成書。

6. 日籍教師朗讀MP3光碟，光聽就會
	由日籍教師標準發音朗讀，馬上聽、馬上通、馬上過！本書附贈MP3光碟，由日本專業老師親自錄音，隨聽隨記，即使沒時間也能讓你耳濡目染。可說是聽力訓練，最佳武器！

7. 編號設計，掌握進度！
	每個單字都有編號及打勾方格，可以自行安排學習或複習進度！ "
9789862465134,"  
廣受讀者歡迎的精修版《日本語10000字辭典》，推出方便實用的攜帶本了！

	《日本語10000字辭典─N1,N2,N3,N4,N5單字辭典》「真是一輩子都用得到的好辭典，學日語的人應該人手一本的。」感謝讀者如此熱烈的推崇。為此，我們精進再精進，推出精修版，精實過後的內容，方便您永久使用，一輩子都陪伴在您身邊。

	《日本語10000字辭典─N1,N2,N3,N4,N5單字辭典》自出版以來，廣受讀者們的熱烈支持！因此，我們推出「精修版」，將內容更加精實，希望能幫助讀者，考試如虎添翼，一考就過。除此之外，攜帶本採用小開本設計，讓您方便攜帶，走到哪就可以學到哪！

	據一項調查指出，全球正面形象的排行，日本僅以些微的差距，居德國之後， 排行第二。 從這個排行來看，日本已經讓世界重新愛上她了。怎麼說呢？

	我們看日本動漫，感動了！看到凱蒂貓，抒壓了！看到日本為了保育環境，政府、企業都肯下大功夫，佩服了！看到日本的傳統節慶，一起跳傳統舞蹈，興奮了！ 看到全世界首屈一指的製造能力跟能源效率，受鼓舞了！看金融海嘯來襲時，日本急忙金援世界各國，鼻酸了！日本已經讓世界感動並重新愛上她了。

	這樣的日本，讓世人都很感興趣，更紛紛向她取經。想必您絕對也很想多瞭解日本吧！為了讓您日本資訊、情報不漏接，山田社精心編制了《攜帶本 精修版 日本語10000字辭典─N1,N2,N3,N4,N5單字辭典》。看了這本書您會有：

	「哇！原來只要用對方法，單字、句型、文法就能一次學習」、「每看完一個例句，不但是單字和文法而已，同時也吸收了好多常識與知識」、「我好喜歡你們挑選的例句，不僅句句實用，而且，也可以提升閱讀能力」、「只要把書中的單字準備好，就可以實紮穩打，等不及要考日檢單字了，等不及要找資訊了」。

	本書廣泛地適用於一般的日語初學者、大學生、碩士博士生、參加N1,N2,N3,N4,N5日本語能力考試的考生，以及赴日旅遊、 生活、 研究、進修人員，也可以作為日語翻譯、日語教師的參考書，特色有：

1.網羅日檢N1到N5單字
	《攜帶本 精修版 日本語10000字辭典─N1,N2,N3,N4,N5單字辭典》是根據日本國際交流基金會提供的《日本語能力測試出題基準》，將生活、工作、財經、報章雜誌常出現的單字，編分成N1,N2,N3,N4,N5，五個級數的單字。單字共10000字，無論是赴日留學、生活、旅遊、洽商或檢定考試，都是功能性最強、最完整的一冊。

2.全國首創【單字．文法．例句】三效學習
	全國首創單字跟文法一起學習，單字下面都帶出詞性、單字中譯、還有一個例句。不僅如此， 例句中更包含N1,N2,N3,N4,N5的文法， 三效學習【單字．例句．文法】，可說是最實用的日語單字辭典。建議您可以配合同為山田社出版的《精修版 日本語文法．句型辭典—N1,N2,N3,N4,N5文法辭典》一書學習，這樣不僅事半功倍，效果絕對更佳。

3.搭配真人朗讀CD，一舉提升聽解實力
	本書還加碼贈送，由專業日籍教師精心錄製的朗讀CD，讓您背單字不只用眼睛看，還可以用耳朵聽，雙管齊下，讓您一舉提升聽解實力，迅速掌握提升日文捷徑！讓您在無形中學會一口標準日語！ "
9789869644341,"  
●日本語檢定協會授權獨家出版發行
●快速掌握試題精華，考試重點全攻略
●附贈MP3光碟

	本書收錄2014年J.TEST實用日語檢定考試（A-D級）的全部試題、試題答案和聽力原文。相信本書能確實發揮其輔助之功能，建議以終身學習為志向的讀者們能多加利用J.TEST平台來建構自己生涯的能力資本。隨書另附贈聽力試題MP3光碟一張。

本書特色

	●收錄2014年J.TEST考試（A-D級）六次考試全部考古題

	●日本語檢定協會獨家提供：全部試題及標準答案、聽力試題原文

	●附贈聽力MP3光碟，日本語檢定協會原聲原題 "
9789869644358,"  
●日本語檢定協會授權獨家出版發行
●快速掌握試題精華，考試重點全攻略
●附贈MP3光碟

	本書收錄2014年J.TEST實用日語檢定考試（E-F級）的全部試題、試題答案和聽力原文。相信本書能確實發揮其輔助之功能，建議以終身學習為志向的讀者們能多加利用J.TEST平台來建構自己生涯的能力資本。隨書另附贈聽力試題MP3光碟一張。

本書特色

	●收錄2014年J.TEST考試（E-F級）六次考試全部考古題

	●日本語檢定協會獨家提供：全部試題及標準答案、聽力試題原文

	●附贈聽力MP3光碟，日本語檢定協會原聲原題 "
9789869500562,"  
	●收錄2013年J.TEST考試（A-D級）六次考試全部考古題

	●日本語檢定協會獨家提供：全部試題及標準答案、聽力試題原文

	●附贈聽力MP3光碟，日本語檢定協會原聲原題

	 

	本書收錄2013年J.TEST實用日語檢定考試（A-D級）的全部試題、試題答案和聽力原文。相信本書能確實發揮其輔助之功能，建議以終身學習為志向的讀者們能多加利用J.TEST平台來建構自己生涯的能力資本。隨書另附贈聽力試題MP3光碟一張。 "
