ISBN,書籍簡介
9789864290932," 本辭典依日本字母表(五十音圖)的順序編排，兼收和語、漢語、外來語詞彙，注明詞類並釋義，附例句、成語或諺語等；書後並附日本地名表、日本姓氏索引等資料及漢字索引，方便實用，是學習日語的最佳幫手。 "
9789864291106," 本辭典依日本字母表(五十音圖)的順序編排，兼收和語、漢語、外來語詞彙，注明詞類並釋義，附例句、成語或諺語等；書後並附日本地名表、日本姓氏索引等資料及漢字索引，方便實用，是學習日語的最佳幫手。 "
9789571168005," 根據多家日本出版社所出版的『國語辭典』為選字藍本，精選日本報章雜誌中最常出現常用的字詞將近6萬字。每個字詞都清楚地標示出最正確的重音所在位置。是一本從初學者到高級程度者通通都適用的工具書。內容遍及各個領域，並收錄了最常見外來語詞彙。絕對是學習與精通日語的最佳配備！ 本書特色以日本人最常用語為選取範圍，不論是報章雜誌或者小說、網頁，所有的常用字詞都能在這本詞典中找到。每個字詞都清楚標示重音和詞性，幫你學會標準的日文發音並學會正確的用法。多字義字詞均一一條列不同字義和用法，使你在寫作和閱讀上更加得心應手。每一個例句都附上簡潔的中文翻譯，讓你能立即心領神會地隨時應用。  "
9789570526271," ●詞目三萬餘條。●收詞量大，詞目新。●釋義簡明扼要。●部份詞義需說明者，設有例證。●十五幅日語圖說（七幅彩圖），提供日語常用語詞匯。●正文後多個附錄，提供必要參考資料。 "
9789571161358," 本書以幫助「台灣和大陸等華文地區的日語系學生學習日語」為目標，因此，編輯時特地避開了目前市面上許多由日本人編寫，以「日本大學的中文系學生學習中文」為目標所編輯的中日辭典所犯的毛病。更針對讀者的實際的需求，收錄許多現代用語，有利於翻譯及寫作時應用。字詞的選擇以常見、常用語為選詞標準，方便初、中級程度的日語學習者使用。本書特色　　●注音排序易於查詢：以注音符號排序，符合國人使用辭典的習慣。　　●雙色印刷便於瀏覽：全書採用雙色印刷，方便使用者瀏覽、找字。　　●字詞採直譯、意譯：採簡潔的日文直譯及字義解釋2種翻譯方式，可適用不同場合。　　●例句具現代感：最符合現代日語的譯法，讓你進行無時差的雙向溝通。　　●增列常用成語：精選最常出現在中文和日文中的實用成語，讓文字表現更加生動。　　●附加實用資訊：附加Office、PPT、Word、Excel、 Outlook等介面中日文對照表，以及量詞及單位的讀法、數字讀法等實用資料。 "
9789866882760," ＊□□□□□□付線□?字□表記＊地名.固有名詞□豐富□收錄＊生□生□□□□?用的□用例＊序數辭表.動詞□活表用.漢字音訓讀□方表□附錄□收錄 "
9789571151595," ＊ 收錄兩岸三地常用詞彙50,000個詞條以上＊ 詞條內容涵蓋常用字、常用成語、歇後語＊ 附加國名、地名、名人名字、電腦用語…等＊ 雙色印刷、注音符號排序查找字詞方便又快速本書以幫助「台灣和大陸等華文地區的日語系學生學習日語」為目標，因此，編輯時特地避開了目前市面上許多由日本人編寫，以「日本大學的中文系學生學習中文」為目標所編輯的中日辭典(或稱華日辭典)所犯的毛病。更針對讀者的實際的需求，收錄許多現代用語，有利於翻譯及寫作時應用。本書特色：●注音排序具檢索便利性：以注音符號排序，符合國內讀者使用辭典的習慣。●雙色印刷便於查找：全書採用雙色印刷，方便使用者瀏覽、查詢。●字詞採直譯、意譯：採用簡潔的日文直譯，以及字義解釋2種翻譯方式，以符合不同場合所需。●例句翻譯具現代感：最符合現代日語的譯法，讓年輕人進行無時差的雙向溝通。●增列成語、歇後語：精選最常出現在中文和日文中的實用成語，並特別挑選語意活潑的歇後語，讓文字表現更加生動。 "
9789571148182," 本書採用最廣義的『相對語』概念，大範圍地收錄包含日語中所謂的：「反対語」「反義語」「対義語」甚至包括「対照語」的相關詞彙。收詞內容除了一般的常用語之外，還包含日本自古以來的優雅古文字詞，以及一些饒富趣味的辭彙。希望藉由本辭典的出版，能幫助讀者們在寫作與從事相關研究工作時，更方便地找出具有相關性的詞彙。 "
9789578279919,  1.    收錄字彙8萬餘（標準語調、複合語語調、詞性變化語語調）。2.      每一字彙除了以數字標示語調外，更直接以畫線標示。3.      附有插圖1450幅（日本固有或較難理解語彙）。4.      列出類義語對照表787幅，精確掌握字彙的意義及用法差異。5.      漢字欄標記〝△〤〞（常用漢字、音訓讀法以外漢字、非常用漢字）。6.      字彙解釋包括詞性變化、所屬範圍、語源、意義、用法、用例等。7.      分別注有同義、類義、反義、相對、慣用、諺語、成語等。8.      例句經由學者、專家重新添筆潤飾，釋義明確，具實用性。9.      附錄內容豐富實用，有助於對日語常識的理解及認識。10.  漢字索引：首創直接以頁碼標示，一索即得的功能是最大的特色。 
9789867103307," 適合各年齡層，各種學習階層，簡易上手、迅速學習、分類清楚，市面最完整的日漢辭典專書。日本教育部最新頒訂資料！教學和學習必備最佳工具專書！本書特色 1.特別製作本書的使用技巧，讓您在最短時間內迅速上手。2.按照日文的五十音來做分類區分，查詢迅速。3.使用日本墨料及進口紙張，呵護您的雙手，體貼您的眼睛。4.硬殼精裝質感舒適，具有長期使用的保存價值。5.初學日文、日文專家都不能錯過的日漢辭典專書。6.收錄8000句，市面最完整的日漢辭典專書 "
