ISBN,書籍簡介
9789869627900,"


想重新學英文，先從「單字」開始學！
準備英文考試，先把「單字」記住吧！
用大腦喜歡的方式學習——靠直覺、靠聯想，
7000單字超速記憶！


《7000單字超速記》= 人手一本的超值斜槓單字書

	字首字根字尾 / 圖像聯想記憶 / 超實用搭配詞
	★ 大學入學考試中心【高中英文參考詞彙表】完全對照！
	★【學測、指考、多益、全民英檢、托福、雅思】完全適用！
	★【日常生活、出國旅遊、職場交流】絕對夠用！

	（掃描QR code立即收聽單字朗讀）

使用說明
	 





適讀單元



學習目標





Level 1
符合美國幼稚園至一年級學生程度
等同英檢初級程度



					 
學會月份、星期、家人稱謂、打招呼、道別的相關單字。





Level 2
符合美國二年級學生程度
等同英檢初級程度



					 
學會描述日常事物、水果、職業、服裝、天氣、動物、樂器的相關單字。





Level 3
符合美國三年級學生程度
等同英檢初級程度



					 
學會描述物品、性格特質、情緒、動作的相關單字。





Level 4
符合美國四年級至五年級學生程度
等同英檢中級程度



					 
學會描述狀態、設備用品、地點、學科的相關單字。





Level 5
符合美國五年級學生程度
等同英檢中級程度



					 
學會談論時事、描述經驗、分析事理的常用單字。





Level 6
符合美國六年級學生程度
等同英檢中級程度



					 
學會談論社會文化及描述生活經驗的深度單字。






用大腦喜歡的方式，真正記住英文單字！
	1.    大腦喜歡圖像－看圖輔助記憶，搭配實用例句，讓單字深入腦海。
	2.    大腦喜歡聲音－掃描QR code即可聆聽美籍老師朗讀的英文字彙。
	3.    大腦喜歡歸納－一次記住重點單字的相關片語和搭配用法。
	4.    大腦喜歡符號－牢記常用字首、字根、字尾，如同掌握單字的符號密碼。
	5.    大腦需要鍛鍊－反覆閱讀、定期複習，就像肌肉訓練一般，更能活化記憶。

詞性縮寫說明：
	a =形容詞  n =名詞  v =動詞
	ad =副詞   art =冠詞aux =助動詞int =感嘆詞
	abbr =縮寫
	prep =介系詞
	pron =代名詞
	conj =連接詞

"
9789865070731,"


★英文學習者的第一本革命性入門語源單字書
	★著作累積銷售超過200萬冊、《英文單字語源圖鑑》作者清水建二最新作
	★不用死背！學生、上班族、初學者的必備單字大全！
	★語源解說＋圖像輔助，讓背英語變得事半功倍，不再只是學半套！

	 

	為什麼英語單字老是背不起來？
	英語單字，如果總是一個字一個字分開來背，
	很容易背了又忘記、忘記了再背，沒效率又會打擊學習信心！

	 

	其實，每個英語單字都是一個「有意義的組合」，
	只要先了解單字當中的【字首、字根、字尾】語源的意思，
	讓每個單字有系統地在腦海中串起關聯性，
	只要背一個語源，就能連鎖記得同語源的其他5個單字。
	未來即使是不認識的字，也能猜出意思，連鎖背起超過10,000個單字！

	 

	百萬暢銷作者清水建二和英語教學名師すずき ひろし再度聯手打造
	一本更基礎、更必要的語源單字書！
	無論是「準備檢定」、「升學考試」的學生，或是想「重新學英文」的社會人士，
	本書都能協助打穩基礎，讓讀者的英語學習力大大改善，
	擁有跟母語人士一樣的單字力。

	 

	◎收錄最基礎的41個字首╳126個字根，初學者也學得會！

	 

	一般語源學習書收錄的多半是比較困難的單字，只適合有一定字彙能力的人閱讀。
	本書著眼於這一點，以art、ball、car、cap這類每個人大多都認識的單字為例，
	編寫出一本即使是英語程度初級者也能理解的語源學習書，
	涵蓋國中程度每個人都必須知道的基本單字，
	每則字首、字根、單字皆有附語源涵義，由淺入深，鍛造讀者實力。

	 

	◎獨創圖像不無聊，單字意思從此一目了然！

	 

	背單字的時候，就是要將情境替換成自己的生活來思考，
	透過「圖像」，能讓單字在心裡多加上一層「具體」印象，
	而不會是對我們來說毫無感覺的東西。

	 

	本書根據語源，用獨創插圖把單字的抽象意思表現出來，
	特別設計貓、烏龜、老鼠等生動角色，既趣味又可愛。
	讀者可以一邊背單字，一邊參照插圖模擬自己的身體或行動，
	藉由想像力來真實體會，就能將意思深深刻在心中，
	從此背單字不再只是背半套！

"
9789861365268,"


★創下日本語言學習書紀錄，7個月熱銷突破50萬本！
★持續占據紀伊國屋書店、三省堂書店、東販網路書店語言類暢銷No. 1
★相見恨晚！零勉強、免死背！考大學、多益、托福、證照、申請海外學校，絕對必備！
★資深英語教師耗費10年構思的「語源學習法」！看圖輕鬆記憶100個語源，語彙超速暴增！

 「好想學好英語啊！」「應該再來學一下英語了。」
 「單字老是背不起來」「才背起來，一個禮拜就忘記」……
 討厭背誦、記憶力不持久、英語能力一直停滯不前嗎？
 這一本很不一樣！
 資深英語老師耗費10年構思，經無數學生實證有效的「語源學習法」
 一次解決以上所有困擾！
 學會這套方法，不用太花時間和腦力，就能牢記１萬個英文單字！
 1圖1單字，1次記5單，高效率達成閱讀英文書報實力。

 列選英文單字中最重要的12組字首和103個字根、字尾，
 搭配諧音和意象圖解，輕鬆演繹最高效的英單記憶法。
 零基礎的初學者，看完本書就能牢記1000個國高中程度的基本單字。
 中級以上程度者學會這套方法，可以有效擴充單字庫。
 過去老是記不住的字彙：長單字、經濟和政治等各領域的專業用語等，從此不用太花時間和腦力就牢牢記住，自由閱讀英文報章雜誌一點都不難。

"
9789869907484,"


英文要說得標準、說得漂亮才會有信心，
	有信心之後，
	英文才會學得快、學得好！

	說英文的時候總覺得「差不多」就好嗎？
	初學時的含糊就是以後溝通的障礙！

	英文發音的致勝點就在「基礎」與「細節」，
	學好英文發音沒有捷徑，
	跟著口譯大師將發音打掉重練，
	3大步驟顛覆你的英文口說！
	讓你從一竅不通，到用英文溝通！


	學英文發音沒有捷徑，但有路徑。
	求學時走偏的學習方式，就由吳宜錚老師幫你一步步拉回來！
	Step 1 觀念建立 →  Step 2 音標熟悉 → Step 3 細節調整
	3大步驟找到自然語感！

	● 自我檢測
	你是否能夠成功讓Siri或Google assistant分辨以下幾組單字呢？
	1. pen / pain
	2. bed / bad
	3. world / word
	4. bark / park

	學好英文問題不在「口音」，而是在「發音」！
	只要打好發音的基礎，台灣腔立刻變成美國腔！

	■　自然發音＋KK音標雙管齊下
	要想準確發音，自然發音及KK音標一個都不能少！透過學習自然發音，我們可以很直覺得念出所見的字句，但英文是受許多其他文化所影響的語言，因此常用的單字中有極高比例是屬於例外發音，這時KK音標就是一項很好用的工具！本書開章吳宜錚老師即詳細介紹兩種系統的規則，為你奠定良好的發音基礎。

	■　video+  獨家搭載發音示範影片
	本書特別錄製專業美籍老師親自示範的發音影片，不用再看著嘴型圖一個人摸索，實體書本結合線上教材，就像真人在你面前說給你聽！發音嘴型、音調一目了然，重複學習也沒問題！

	■　words+  近千個單字建立聲音資料庫
	看著音標說明還是掌握不到發音訣竅嗎？本書提供近千個範例單字，往大腦大量輸入聲音資料、快速建立發音概念，搭配吳宜錚老師的發音小提示，包你愈講愈自信。除此之外，更補充豐富例句，一次了解單字的念法和用法！

	■　stress+  貼心收錄單字重音規則
	在英文中，重音對發音具有極大影響，如同中文的一、二、三、四聲，即使讀音相同，只要重音位置改變就有可能變成不一樣的詞性及意思。本書於音節的單元中詳述各種長度單字的重音慣例及其例外，只要掌握、熟悉重音的位置及念法，你的英文就會自然許多喔！

	■　intonation+  例句增加語調線輔助
	華人說英文最為人詬病的就是過於平坦的語調，不同於中文每個音節皆有固定聲調，英文是在整段語句中有音高的升降，不同的語調乘載著截然不同的訊息，若沒搞清楚，親切的詢問有可能瞬間變成不屑的嘲諷。本書特別在例句增加語調線的標註，讓你不只發音標準，連語調都很到位。

	■　audio+  特別邀請專業美籍老師錄音
	為提供道地發音，本書特別邀請專業美籍老師進行音標、單字及例句的錄音。除此之外，只要跟著老師開口說，模仿其發音和語調，就能練就一口自然的英文！

	● 本書附贈CD片內容音檔為MP3格式。

	■　App+  免費附贈「Youtor App」（內含虛擬點讀筆）隨掃隨聽
	家中沒有CD播放器嗎？別擔心！本書附贈的「Youtor App」（內含虛擬點讀筆）讓你不受器材、空間的限制，隨時隨地聆聽音檔學習！

	【使用說明】
Step 1 【觀念建立】
	準備篇：搞懂字母、音標和音節觀念
	字母和音標的關係為何呢？音節又是什麼？發音的必備知識一次全公開！在這一篇章你會學到發音的基本名詞，再跟著自然發音及KK音標的說明及舉例，先預習大致的讀音，並了解單母音、雙母音，和有聲、無聲子音的分類原則。

Step 2 【音標熟悉】
	基礎篇：了解音標讀法、避免常見錯誤
	為什麼apple, art, again中的a發音都不一樣呢？full（充滿的）要怎麼念才不會像fool（傻瓜）？你要的答案，這一篇都有！除了按部就班跟著豐富單字、例句練習音標讀音，記憶字母組合常見的發音等。還可以深入探究本篇收錄的有聲子音、無聲子音易混淆字比較，以及台灣人常犯的發音錯誤，矯正自己容易讓人產生誤會的字詞發音。

Step 3 【細節調整】
	進階篇：練習劃分音節、加強重音和語調差異
	看到太長的單字就不會唸？每次講英文都讓人昏昏欲睡、抓不到重點？這是因為你缺乏音節、重音和語調的概念！在這一篇章你會知道該如何拆解單字、劃分音節，並了解重音應該放在哪個音節，以及不同情緒和情境，句子的語調會產生什麼樣的變化。掌握這些小眉角，你離溝通無礙已相去不遠！

	［VRP虛擬點讀筆介紹］
1.在哪裡下載「VRP虛擬點讀筆」？
	（1）讀者可以掃描書中的QR Code連結，或是於App商城搜尋「Youtor App」（內含VRP虛擬點讀筆）下載即可。

2.為什麼會有「VRP虛擬點讀筆」？
	（1）以往讀者購買語言學習工具書時，為了要聽隨書附贈的音檔，總是要拿出已經很少在用的CD播放器或利用電腦，又或是轉存到手機來使用，耗時又不方便。
	（2）坊間當然也有推出「點讀筆」來改善此種學習上的不方便，但是一支筆加一本書往往就要二、三千元，且各家點讀筆又不相容，CP值真的很低。
	（3）後來雖然有了利用QR Code掃描下載檔案至手機來聽取音檔的方式，但手機不僅必須要一直處在上網的狀態，且從掃描到聽取音檔的時間往往要花個5秒以上，很令人氣結。
	（4）因此，我們為了同時解決讀者以上三種困擾，特別領先全球開發了「VRP虛擬點讀筆」，並獲得專利，希望這個輔助學習的工具，能讓讀者不僅不用再額外花錢，且使用率和相容性也是史上最高。

3.「VRP虛擬點讀筆」就是這麼方便！
	（1）讀者只要透過書中的QR Code連結，就能立即下載「Youtor App」（內含VRP虛擬點讀筆）。（僅限iPhone和Android二種系統手機）
	（2）下載完成後，可至App目錄中搜尋需要的音檔或直接掃描內頁QR Code，將音檔一次從雲端下載至手機使用。
	（3）當音檔已完成下載後，讀者只要拿出手機並開啟「Youtor App」（內含VRP虛擬點讀筆），就能隨時掃描書中頁面的QR Code立即讀取音檔（平均1秒內）且不需要開啟上網功能。
	（4）「VRP虛擬點讀筆」就像是點讀筆一樣好用，還可以調整播放速度（0.8-1.2倍速），加強聽力練習。
	（5）「VRP虛擬點讀筆」比點讀筆更好用，具有定時播放、背景播放的功能，也可以自動換頁或是手動點選想要的頁數，聆聽該頁音檔。
	（6）如果讀者擔心音檔下載後太佔手機空間，也可以隨時刪除音檔，下次需要使用時再下載。購買本公司書籍的讀者等於有一個雲端的CD櫃可隨時使用。
	（7）詳細使用及操作方法請見書中使用說明。

	※雖然我們努力做到完美，但也有可能因為手機的系統版本和「Youtor App」（內含VRP虛擬點讀筆）不相容導致無法安裝，在此必須和讀者說聲抱歉，若無法正常使用，若有此情形，需要麻煩讀者使用隨書附贈的CD。或與本公司聯繫，由專人為您服務。

"
9789864541225,"


為什麼只學自然發音是不夠的？
	為什麼一定要學K.K.音標？


	因為有很多重要的字是不符合自然發音規則的
	本書教你輕鬆「認識」音標，真的不用背！
	保證看完一遍就能看懂英文字典或線上字典的音標　
	別讓只重視自然發音的學習害慘您的孩子!!
	幫助孩子從此學英文單字再也沒有障礙
	無論是過去從未學過、自己教小孩、老師教學生，怎麼用都行
	隨書附贈 MP3 光碟 + QR 碼線上音檔
	學習快樂又有效率！

◆ 只學「自然發音」就好了嗎？
	由於近年來「字母拼讀法」，也就是大家所熟悉的「自然發音」法盛行，使許多的英文學習者有了「只要學好自然發音就好」的錯誤觀念，甚至更有極力強調「自然發音法」的老師，在「心中有音標、教學無音標」的情況下，只教自然發音，對於英文音標完全不提，這種非全備的「半吊子學習」對英文學習者來說，已造成極大的傷害。因為，自然發音法是透過「字母」與「音」之間的對應關係（例如 c 發 [k]、a 在兩子音間發 [æ]，所以 cat 就發 [kæt]），幫助學習者去讀出或拼出英文單字。
	不過，由於英文來自許多不同的「語源」，因此自然發音法的「字母組 vs 發音」的規則容易出現例外。比方說，不同字母卻發相同的音：busy 的 y、bit 的 i、village 的 a、symbol 的 y都樣發短母音 [ɪ]。此外，也有許多相同字母卻發不同的音，例如fall、mass、soda、any、image 的 a，分別發 [ɔ]、[æ]、[ə]、[ɛ]、[ɪ] 的音。還有一些「不發音」的，例如 climb 的 b，甚至有些字母與它實際的想像發音相差甚遠，例如 laugh 的 gh 發的是 [f]。這些往往是學習者最大的挫折所在。

◆ 越常用的短單字越容易跳脫自然發音的規則
	其實「自然發音」並非是萬靈丹！因為符合自然發音規則的，大概佔所有英文字彙的70-80%，而另外還有20-30% 的單字無法以自然發音的規則來發音。兩三成的比例似乎不多，但其中很多是「很短」的單字，或者說很基礎、很重要的單字，如果拼錯了，會造成它的很多衍生字彙也會拼錯。其實，「越常用的、越短的單字，就越容易跳脫自然發音的規則」，例如自然發音會介紹「-ou- 唸『ㄠ』的音」，但touch（碰觸）卻要唸 [tʌtʃ]，如果照著「自然發音」的規則，則可能唸成 [taʊtʃ] 鬧成大笑話。又例如自然發音教你 -ar- 在重音節唸『ㄚㄦ』的音」，但又跟我們說「『子音 + a +子音』要唸 [æ] 的音」，那當我們遇到像carry（運送）這樣的簡單的字，是要唸 [`kɑr-rɪ] 還是 [`kær-rɪ]？其實都是錯的，雖然 carry 的 ar 在重音節，但卻要遵循「子音 + a +子音」的規則，a 要唸 [æ]，而緊接的重複字母 rr 只能發一個 [r] 的音，而且後面有發母音的 y，所以正確的發音應該為 [`kærɪ]。也就是說，「自然發音法」例外情況太多，無法在發音及拼字上完全做到一對一對應，因此還是要藉助 K.K. 音標的幫忙才能十全十美。

◆ 不用背！本書教你輕鬆「認識」音標
	鑑於「自然發音」的例外「屢見不鮮」，而「自然發音」的規則又「多如牛毛」讓人無所適從！Dorina老師繼《學自然發音不用背！》後，為了讓大家的英文學習能夠達到真正「全備的學習」，又精心撰寫了本書《學英文音標不用背！》讓讀者可以透過『圖像口訣』、『發音密技』、『rap音韻』、『系統分析』、『全腦開發』五大學習法輕輕鬆鬆的「認識」英文音標，將過去痛苦的『音標死背學習法』全部革新，真正讓「自然發音」與「英文音標」達到相輔相成的效果。

◆ 智慧QR碼，行動學發音
	看完一遍就能看懂英文字典的音標
	只要您用智慧型手機等行動裝置掃描一下QR碼，就能夠馬上聽到該課的MP3，到哪裡都能夠「行動練發音」！從此之後，不用再怕小朋友隨便把CD光碟收到不同的光碟盒而找不到、不用再怕光碟機不斷的挑片，不論光碟怎麼放聲音都出不來、也不用再怕尋找特定段落時老是按上、按下、長按放開，還是找不到想要聽的地方！亦可掃描全書MP3下載QR碼，不需註冊會員，或額外安裝自己不熟悉的播放APP才能聽，更省去每次聽音檔都要掃描的麻煩！（註：由於iOS系統對檔案下載的限制，iPhone用戶需升級至iOS 13以上，方可使用全書完整打包下載連結。）

	學習完本書後，請隨便拿起一本英文字典來看，保證不管哪一本字典，您都能從旁邊的英文音標唸出正確的發音！英文音標不是用來「背」的，而是拿來「認識」的！當您看完本書後，您會發現，咦?！竟然所有的英文音標都已經深深烙印在心裡了?！

本書特色

	1. 律動學音標！唱過就記住！一輩子不會忘！
	好玩！好記！輕鬆認識英文音標！
	保證學過後就能用字典唸出所有單字正確的發音！！！

2. 圖像口訣瞬間認識音標
	每個單元都有DORINA老師親手畫的情境插圖及記憶口訣，只要配合著唸一次，瞬間就可以認識音標！

3. 名師密技指導輕鬆唸出正確發音
	完全公開DORINA老師教學多年的獨門發音密技，不需要了解甚麼唇齒音、雙脣音等發音專有名詞，也不需看一堆學術的口腔圖，舌頭位置圖，只用生活的常見例子做說明。只要跟著做，不但可以幫助自己矯正發音，也可以在寓教於樂下，輕鬆指導小朋友唸出正確的發音！

4.「英文音標」與「自然發音」輕鬆連結
	將「英文音標」與「自然發音」的規則以Rap音律的方式做連結，輕鬆、好記，除了學會如何「聽音拼字」、「看字讀音」外，更能學會用字典唸出最正確的發音。

5. 按系統分析易學易懂
	按照短母音、長母音、雙母音、有聲子音、無聲子音、常見組合，將各種發音方式科學系統化的整理分析，達到易學易懂的效果。

6. 特別錄製mp3，英文朗朗上口
	本書mp3以RAP強烈的音韻節奏錄製而成，可以強化英文發音的韻律感，在潛移默化中達成長久記憶的效果，讓你在不知不覺中輕鬆記住單字的發音。

7. 輕鬆的課程複習，讓每次的學習都有功效
	每一課結束前都有簡單的練習題，讓您回顧本課所教的發音，學習效果更加倍。

"
9789864070978,"


CP值最高！
最精準、最有效率的學習法！

 ★連老外都驚呆
 18張心智地圖衍伸出8,000個單字、3,600個句子！
 從來沒想過單字可以這樣記！

 ★連語言學家都驚呆
 首創兩種「學習法組合」
 公認最有效的「心智地圖」圖像記憶，
 搭配系統化的「字首、字根、字尾」歸類
 學習語言原來這麼簡單！

 ★連學霸都驚呆
 原來單字不需一個一個死記、硬背，
 只要用對方法，輕輕鬆鬆也能一次學起來！

 《四大特點，就是要讓你Wow出來！》
 ★主題式「字首、字根、字尾」歸納！
 ★18張拉頁心智地圖！
 ★8,000個 最實用單字！
 ★圖像記憶法：就是要讓你記得更多！

 圖像記憶的同時系統化歸納！
 讓全世界74億人都「驚呆」的「學習法組合」！
 最有效的「心智地圖」圖像記憶 + 系統化的「字首、字根、字尾」，
 就是要你輕鬆背單字！

 【使用說明】
 1.字首字根字尾主題式聯想
 看到主題，如Light（光）你有什麼想法呢？ 有什麼單字是和光有關的呢？

 2.動動手指翻開拉頁
 wow一下！翻開拉頁竟然有這麼多東西！檢視一下剛剛在腦海中想的答案有沒有在裡面呢？

 3.找到想學習的對應主題
 如果想要聯想更多、或者想不到還有什麼，趕快翻到那一頁繼續看看，一個單字還能延伸出什麼不同的單字呢？

 4.翻到該頁將單字系統化整理
 翻到那頁之後，記下延伸出的單字，或者在旁邊寫下自己想到的其他單字，做下筆記，讓你的單字庫愈來愈龐大！

 5.一定用得到的生活會話
 單字學了就要會用，只學單字是不夠的！懶鬼子編輯部特別嚴選3,600句英美國最道地的生活會話，讓你單字記得牢，也用得好、用得巧！

本書特色
  
 為何英文單字總是忘了又背，背了又忘？
 那是因為，
 你沒有將單字背進「長期記憶」裡！

 「心智地圖學習法」搭配「字首、字根、字尾」歸納整理，
 才能有效將單字放入腦中「長期記憶」！

 什麼是「短期記憶」？什麼是「長期記憶」？
 心理學家研究，人的記憶系統可以分成「短期記憶」和「長期記憶」。
 拼命死記的填鴨方式，只能短暫的將資訊放在短期記憶裡，
 短期記憶也就像是沒有分類過的書堆，
 當臨時要用的時候，完全無法將資訊有效率地找出。
 反之，以歸納、統整及圖像的方式存取腦中資料，
 就能在想用到的時候快速找到需要用到的資料，
 並長期存在腦海中！

 「心智地圖記憶法」
 是全球公認最強大的圖像整合歸納法！
 「字首、字根、字尾記憶法」
 是全球公認最有效率的單字記憶法！
 唯有透過「心智地圖」有效地進行「圖像記憶」，
 並搭配「字首、字根、字尾」的「歸納整理」，
 才能讓你學過的單字都過目不忘！

"
9789869527606,"


希望孩子多記一點單字，卻又怕給他太多壓力，怎麼辦……？


	別怕！單字有小卡，記憶不卡卡！
	全書1,200張單字小字卡，
	讓孩子光看音節點就能用自然發音法猜出單字發音，
	爸媽和孩子天天互動練習，把為了考試而記單字的壓力，
	轉化成為爸媽和孩子互動玩樂的活力！

	別怕！單字聽就懂，馬上開口說！
	本書獨家收錄的單字MP3參考自然發音法，
	以美國小學教育彩色母音圖(Color vowel chart)
	及音節(Syllabus)的概念設計錄音，
	讓孩子對單字記憶更深，眼耳並用，不再過目即忘！

1.爸爸媽媽一起來，字卡記憶更快速！
	本書字卡建議：中大班到小四的孩子（5-10歲）由父母一起共讀學習，小四至國三（10-16歲）則由孩子自己來讀，父母在旁支持陪讀，有了爸媽的協助、幫忙、關心，孩子記單字的路程可以發揮最大的效果。

2.擺脫土法煉鋼，看看道地美國小孩怎麼學單字！
	本字卡書是以參考自然發音法（Phonics），美國小學教育彩色母音圖（Color vowel chart）及音節（Syllabus）的基本精神來設計，並作適當調整，以最符合孩子的學習需求，用外國小孩的方法來學習單字最有效！

3.單字好複雜？就靠分割音節記憶法！
	孩子有效記憶為最高指導原則，使用類似「記憶身份證」或是「記電話號碼」常用的拆分長數字觀念，來將單字拆分（母音以紅色字體表示，音節則以小圓點分隔），讓孩子聽聲辨字，能夠更系統化學習，外表看來再複雜的單字都能快速記憶！

4.特殊音節點調整，更能幫助孩子有效記憶！
	本字卡書的音節區隔，原則上以常用音節區隔規則來標記。在考慮孩子單字記憶的效果，在兩個母音共享一個子音（輔音）的情況下會略做調整，將子音（輔音）分配到後音節，以利於孩子更清楚辨識出子音，而有效地聽聲拼字，比如說stud.y，會調整為stu.dy，Sat.ur.day會調整為Sa.tur.day；而兩個相同連續子音部分只發一個子音，在考慮音節區隔原則及單字有效記憶情況下，會將其拆開成前後分屬於不同音節。比方說，happen會標示為hap.pen, happy會標示為hap.py。

"
9789864412235,"

嚴選近十年學測常考必備字彙。依大考中心「 高中英文參考詞彙表」2OOO~45OO 選字，符合升大學考試需求，透過閱讀範文認識單字亦可由單字理解範文，雙管齊下！本書是一本針對升大學考試而設計的字彙書。收錄的字彙是依據「大考中心」頒布的「高中英文參考詞彙表」來編纂，此參考詞彙表分為六級，而本書選用的是其中第二級至第四級的字彙。此範圍的單字在學測試題用字中占了相當大的比例，不僅是理解文章類考題（克漏字、文意選填、閱讀測驗）的基礎，更是詞彙題最主要的出題範圍。只要能熟悉第二至四級字彙，就等於掌握了基本分。本書依主題分為八個章節，全部共含三十五個單元。每單元先藉由閱讀範文來認識字彙，再透過全面性的單字解說熟練每字的重要用法，最後再從課後練習立即驗收學習成效。按照本書穩紮穩打的學習步驟相信能有效累積大考必備的字彙量，游刃有餘地面對升大學考試。‧文意學習35篇範文選材多元，文章長度與主題均符合學測出題模式。‧核心字彙收錄2~4 級字彙，清楚標示每字在學測出現過的年度！詳列不同詞性、定義、相關字詞與重要片語，並比較易混淆用法及延伸補充字首、字尾概念，提供舉一反三的學習有助於迅速累積學測字彙量。‧課後練習每單元提供閱讀測驗、詞彙測驗、克漏字、文意選題等與學測相同的題型，書末並附一回學測模擬試題，全面戰勝學測！
                    
"
9789865027384,"

史上第一本最爆笑演出4格漫畫英語單字會話書 不用靠顏值，我們的英文內在超有料！ 就是要讓你笑到記憶最深處，不知不覺就把英文給記住！ #單字+主要例句MP3# 外師道地發音 手機掃碼立即聽 突破你的英語級數‧挑戰你的笑點指數 只要想到漫畫內容就能聯想單字和句子的超效率學習法 承認吧！就是懶得學英文， 覺得要花時間，無聊，沒耐心， 所以老是學不會， 遇到英文就軟腳。 學英文跟生活一樣很無聊嗎? 那就需要生活英語特效藥 每日一帖，包你每天笑， 英文也會嚇嚇叫！ 真的從來沒有這麼開心的學過英文 有好笑的看、有音檔可以聽 大人、小孩均適用 還怕學不會！ 超過28億人次點擊的超人氣網路漫畫角色改編 學習娛樂兼具，腦力全開，英文自然變簡單！ 透過主角鄭信一家人活潑又無厘頭的日常生活故事， 讓你在看漫畫同時也能輕鬆開心的學習英語。 立刻拋棄「背了馬上就忘，忘了又重背」 這種反覆背誦英語單字的無聊學習方式， 還有學了也不知怎麼使用英文的問題！ 一個4格漫畫就是一個生活情境， 全書涵蓋近400個生活情境的場景。 讓我們一起開始用「只要邊看漫畫邊笑就能清楚記住單字， 還能自動記住符合情境的英語會話句」的 《爆笑英語王》來有趣的熟悉英語吧！ ‧這裡有最常用的英文單字 ‧同時列出單字的詞性與意思 ‧提供單字的代表例句，自然記單字也記句子 ‧簡潔易懂的口語會話表現，很快就能琅琅上口 ‧4格漫畫更能輕鬆有趣理解單字和句子使用的情境和脈絡 ‧只要掃描一個QR Code即可進入MP3音檔選項，分別點選聆聽所有音檔 對於難以記住或容易忘記英語單字、不知怎麼用英文表達、或是沒辦法耐心學英語的人來說， 這將是一本神奇的書，可以幫助你更輕鬆的學英文，還有開心大笑，心情超展開。 【爆笑英語王】系列共兩冊 第1彈：A~L的單字與例句，以及11個大類的主題圖解單字。 第2彈：M~Z的單字與例句，以及11個大類的主題圖解單字。(本書) 單本就能增功力，兩書一起英語功力加倍更升級！
                    
"
9789864540624,"


sofa、couch、lounge 都是「沙發」，但長相一樣嗎？
你知道你說出口之後，老外腦海中浮現的是哪種沙發嗎？
單字與圖像照片全收錄！「型」與「義」同時對照再也不說錯！
讓你一次「照單全收」記住每天都用得上的生活單字！
想學道地英文不能只靠課本！
1500張實境照片＋詳細解說＝學會道地好英文！


 收錄 10 大主題，從居家生活到參加派對，全部一次囊括，學習內容最豐富！
 實用單字、單字使用時機與差異解說、英文小知識、情境對話，一次告訴你！
 涵蓋生活中的點線面，讓你學到派得上用場、正確不誤用的道地英文！

 學了英文多年，單字字義記得滾瓜爛熟、英文證書多不計數，
 結果實際要用時，卻總是這個不知道、那個不會說嗎？
 這是因為你學的是「考試會考」的英文，而不是「用得到」的英文！

 想要增加自己的單字庫，所以翻出英文課本、買了列出一堆單字的條列式單字書，然後從第一個背到最後一個，你想過花了時間精力記下來的單字，到底用不用得到，或是真正的意思到底是什麼嗎？

 問題 1. 考試會考的字，生活中用不到，生活中用得到的字，考試不會考！

 因為台灣的英文教育大多以考試導向為設計的出發點，因此課本和一般單字書列出的單字，多以解決考試問題為核心，所以你可能學會了一生都遇不到的核動力潛艇（nuclear submarine）怎麼說，常見的接駁車（shuttle bus）卻不會說，單字怎麼學就是學不到那個最重要的常用關鍵字，讓你好像學了很多，但生活中會用到的單字卻總是零零落落，這個不知道、那個不清楚。

 本書收錄了 10 大主題，不論是居家生活還是婚喪喜慶、從學校到棒球場，全都包含在內，讓你無論遇到什麼狀況，都能找到想要用的單字，開口說出道地英文！

 問題 2. 單字字義看起來都一樣，但其實差很多！

 英文單字翻成中文之後難免有落差，但是坊間的單字書，礙於版面或是因文化背景的不同而難以解說，往往都把字義縮減成最簡單的字面解釋。但不知道單字的差異性就隨便亂用，只會打壞你想要用英文表達的美意，因為你說出來的英文只會讓外國人一頭霧水！

 本書針對大家的學習需求，精心打造全場景圖解式的單字學習環境，各類單字搭配實際場景圖，且針對易誤用單字詳細講解使用時機和注意事項，讓你學會好用又正確的英文，單字不誤用，表達才能正確又有效率！

 本書收錄了在不同場景、不同地點、不同情境下的實用生活英文，讓你徹底知道要怎麼用英文說出身邊的人事物，舉目所及、親身經歷的一切都成為你的英文老師，走到哪裡英文教室就在哪裡！身歷其境學英文，這次就要讓你真正學會道地好英文、單字實力突飛猛進！

本書特色

 ◆ 依照學習者的學習需求，量身打造實境式全場景圖解英語單字學習環境
 ◆ 以真實生活場景照片帶出生活中隨處可見的人事物，要學就學真正用得到的實用單字！
 ◆ 全書收錄10 大主題，不論是上班上學還是參加派對，全都一次囊括，學習內容最豐富！
 ◆ 詳細解說容易誤用的單字，並搭配圖解說明，讓學習者真正理解單字的含意，再也不誤用！
 ◆ 外師親錄單字記憶MP3，道地美式發音，清楚易學，配合書中音標標記，再也不怕開口說英文！

"
