ISBN,書籍簡介
9789869803779,"


《最強英文閱讀技巧》

保證世界最強！強到沒對手！

6步驟看懂英文文章，8大英檢考試都適用！

	 

★ 最強1：多益、雅思、托福滿分名師 ★

最熟悉考試內容、最了解學生盲點、最實用的閱讀法！

	 

★ 最強2：獨創「6564閱讀法」 ★

跳脫逐字閱讀的迷思，文章再長也能馬上讀完！

	 

★ 最強3：英文文章速讀攻略 ★

主動式閱讀、圖像化資訊，看一遍就能抓到重點！

	 

★ 最強4：掃一眼就知文章重點 ★

掌握關鍵字、看出論點關係，連出題方向也能一併掌握！

	 

★ 最強5：各大英檢考試完全適用 ★

所有英文考試都有閱讀題，有感提升閱讀速度，答題更能快狠準！

	 

「想要短時間看懂英文文章，就一定要學6564閱讀法」！

許多英文學習者習慣逐字閱讀，看到不懂的單字就查，

一篇文章看了15分鐘還抓不到重點，考試時哪有這麼多時間讓你浪費。

也有英文學習者看到英文文章就舉手投降，

不是看到睡著，就是直接跳過不看，堅信英文文章是無字天書。

這些困擾，《最強英文閱讀技巧》都能幫你解決。

	 

《最強英文閱讀技巧》獨家傳授「6564閱讀法」

也就是：

「6個快速閱讀的步驟 + 5種文章關鍵字 + 6種文章重點關係 + 4種思路轉折」

	 

只要學會，地表最強的「6564閱讀法」，

就能夠看懂90%的英文文章！

	 

	■ 獨創速讀攻略，只看你要看的！

	最強英文老師Eric Yang具備豐富的考試實戰經驗，加上針對學生弱點研究出來的教學方法，獨創「6564閱讀法」。不管是要準備學測、指考、多益、托福、雅思、領思、全民英檢、公職考試，或是要閱讀英文文章的研究生，都可以重點性地快速略讀，馬上掌握文章重點！

	 

	■ 地表最強名師，傳授世界最強的「閱讀技巧」！

最強1 多益、雅思、托福滿分名師

	Eric老師具備豐富的考試實戰經驗，加上針對學生弱點研究出來的教學方法，獨創的「6564閱讀法」，已經幫助上千名學生申請世界前五十大的大學及研究所。

	 

最強2 獨創「6564閱讀法」

	把抽象的略讀法具體化，只要能夠掌握快速閱讀的6個步驟、閱讀文章的5種關鍵字、文章重點的6種關係、思路的4種轉折，英文文章再長都不是問題。

	 

最強3 英文文章速讀攻略

	跳脫逐字閱讀的迷思，忍住停下來鑽研字句的衝動，只要化被動為主動的搜尋關鍵字、將資訊圖像化，就能用最快的速度讀完英文文章。

	 

最強4 掃一眼就知文章重點

	跨過英文閱讀的撞牆期，反覆練習6564閱讀法，閱讀速度提升有感，掃描文章一眼就能知道文章重點，連考題的出題方向都能夠一併掌握！

	 

最強5 各大英檢考試完全適用

	學測、指考、多益、托福、雅思、領思、全民英檢、公職考試等考試都有文章閱讀題，只要能快狠準掌握文章重點，就能將省下的時間提升其他考科的成績。

	 

【使用說明】

■ 打好基礎──了解「閱讀原理」、「閱讀考試內容」

	做事情要有目的，開始閱讀文章之前，只要先了解目的，就能夠找到英文閱讀的重點，作者更歸納整理出英文閱讀測驗的7大類型、5種題型，不管學習是否為了考試，還是為了提升英文能力，都能夠充分掌握閱讀的技巧。

	 

■ 速讀攻略──「快速閱讀的6個步驟」、「5種文章關鍵字」

	Eric老師帶領學習者跳脫逐字閱讀的迷思，用主動式、圖像化的略讀方式，快速掌握文章主要概念，再運用掌握文章關鍵字的技巧，將資訊簡化，如此就能以最快的速度讀完英文文章。

	 

■ 起承轉合──掌握「6種文章重點關係」、「4種思路轉折」

	一篇完整的文章會具有起承轉合的結構，但只要搞不懂文章論點的關係，就會誤解文意。Eric老師整理出6種文章重點關係、4種思路轉折方式，並搭配文章拆解說明，就算文章再長，也能夠抓到核心概念。

	 

■ 答題快狠準──各大英文考試實戰練習

	所有的英檢考試都有英文閱讀題，這也是台灣學習者最容易失分或放棄的題型，Eric老師具有多益、托福、雅思的滿分成績，加上多年的教學經驗，熟悉學習者閱讀文章題的盲點。Eric老師精心提供多篇英文試題範例，讓學習者能反覆練習，每篇範例與題目皆依照英文檢定的出題冊而設計，再搭配「6564閱讀法」講解，學習者只要反覆練習就可望提升閱讀速度，答題自然快狠準。

"
9789869392549,"


（X）我的英文不好，根本沒辦法和孩子一起共讀英文。
（O）既然孩子可以從零開始學，那我更沒理由做不到！
「所以英文能力的好壞，並不是逃避一起學習的藉口！」

（X）我下班回家後，根本沒時間和孩子一起共讀英文。
（O）每天少滑手機十分鐘，一週就多一小時共讀時間！
「不是行不行，而是想不想，養成英文習慣從爸媽開始！」

全書超過100個重點，聽╳說╳讀╳寫全方位無死角，
不僅僅讓你學會怎麼和孩子共讀，還讓你了解如何與孩子一同成長，
才能真正沒有壓力地享受這甜蜜的負荷！


 到底該怎麼與孩子一起學好英文呢？
 線上超過1,000名家長證實，這樣做，更有效！

實證成功！「當同學」比「當老師」更有效！
 很多父母在與孩子共讀英文時會犯的第一個、也可能是最大的錯誤，就是試著當孩子的「老師」。你可以回想看看，以前在學校時，自己和同學的關係比較好？還是和老師的關係比較好呢？試著做孩子的「同學」吧！一方面讓孩子無壓力地學習英文，一方面你也能夠學習如何跟孩子相處，了解孩子的困擾，就不會出現「為什麼這題那麼簡單你卻不會？」這類的衝突，孩子對英文也會更有興趣！

實證成功！「頻率高」比「時間長」更有效！
 「下班回家後都晚了，沒時間和孩子一起學習」是現代許多爸媽的說法，於是他們將孩子送到補習班，一週一天課（60分鐘），以為這樣就能彌補平常無法共讀的落差，結果孩子在離開補習班後繼續大量使用中文，效果根本不如預期。其實，只要爸媽願意每天「犧牲」10分鐘滑手機的時間，和孩子用簡單的英文對話幾句，一週就有超過1小時的效果，還能養成使用英文的習慣，這樣才是真正有效益的學習！

實證成功！「慣用句」比「單字量」更有效！
 學英文的過程中，單字固然重要，但「習慣」的養成更加關鍵！其實只要讓孩子學會平時在家最常用的100句英文短句，每天反覆使用，就會內化成習慣，自然而然脫口而出，就像我們學中文的邏輯一樣，起先都是由很簡單的句子開始重複使用，而後才循序漸進增加詞彙量。本書統計出家庭生活中最常使用的100句短句做為參考，即便英文不好的爸媽，也能和孩子輕鬆對話無負擔！

實證成功！「一知半解」比「細部鑽研」更有效！
 孩子不是考生，更不是研究生，比起像考古一般地細細琢磨英文句型、文法等概念，不如先養出他們的興趣才更重要！太多爸媽、老師因為要孩子「不要犯錯」所以一開始塞了太多「正確」的東西給孩子，讓原本簡單的英文概念因為諸多特例而變得複雜，孩子抓不著規律，自然就會選擇放棄。本書設計主張讓孩子了解最最基本的概念，讓他們先「願意學」，之後再慢慢加入特例及變化，才不致於讓孩子學英文的第一口就食不下嚥！

 用完美解決1,000名家長煩惱的最有計畫性教學法，
 讓你不僅可以和孩子自在學習，更能同步成長！

"
9789570850949,"


	透過李家同簡潔而寓意深遠的文章，領略用英文表達中文故事的妙趣

	我在此給讀者一個建議：你不妨先看看中文文章，先不看英文的翻譯，然後試著將中文翻成英文，我相信你一定會覺得中翻英好困難。翻完以後，再去看英文翻譯，相信可以學到不少，也可以寫出越來越像外國人的句子。-- 李家同

李花村 Plum Blossom Village

	我行醫已經快四十年了，以目前情況來看，我相信孩子存活的機會非常小，可是我仍安排他住進加護病房，孩子臉上罩上了氧氣罩，靜靜地躺著。我忽然跪下來作了一個非常誠懇的祈禱，我向上蒼說，我願意走，希望上蒼將孩子留下來。理由很簡單，我已六十五歲，這一輩子活得豐富而舒適，我已對人世沒什麼眷戀，可是孩子只有六歲，讓他活下去，好好地享受人生吧！

	I’ve been a doctor for nearly forty years; judging by the look of things, I knew that the boy’s chances of survival were very slim.  In spite of that, however, I had him put in the ICU.  He lay there quietly, an oxygen mask covering his face.  Suddenly I knelt down and said an unusually earnest prayer.  “I’m willing to die, but I hope You will preserve this boy,” I said to God.  “The reason is simple: I‘m 65 years old.  I’ve lived a full and comfortable life; now I’m ready to take my leave of this world.  But this boy is only six!  Please let him live.  Let him enjoy what life has to offer.”

"
4713269382683,"


	「少兒英語閱讀測驗」，英語閱讀測驗是從小學、國中、高中到大學、研究所、TOEIC、TOEFL等，所有的英文考試必考的題型。我們編排是由簡單到難，循序漸進。也可以把文章當課本一樣朗讀，增加語感。

"
9789866915802,"

楊耀琦老師將Dolch Sight Words 220個單字，有系統地規劃出學習單元，以不同型態的單字活動，讓學生認識、練習、運用所學到的常見字。各單元配合文章閱讀，由短到長，由淺入深，讓學生培養完整的閱讀能力。全新的學習方式，引導學生運用常見字進行閱讀，帶領學生體會英語閱讀的樂趣。
                    
"
9789570849332,"


李家同 分享學英文、教英文的方法與歷程


	涵蓋如何學英文、如何增加英文生字、如何學好英文文法、如何幫助小孩子打好英文基礎……等主題。

	誰都知道我國的英文程度有雙峰現象，有些非常好，也有大批的同學英文程度非常差，對於這些看到英文就害怕的同學，我一直非常同情。因為我自己的經驗是，英文雖然難，也沒有這麼難，不應該弄成這樣子的。

	我小的時候，有時候會感到數學或者物理有些難，有些物理觀念，始終搞不清楚，只好亂混過去。

	可是我這一輩子從來不怕英文，我從小就記得動詞在某種條件之下，一定要加s；我也從未將兩個動詞連在一起用。

	長大以後，看再難的英文書，只要查過了生字，一定會懂句子的意思。
	坊間有很多非常吸引人的書，從書名上看來都告訴著我們：學英文，有捷徑可找。
	我每次演講，卻總是唱反調：我認為讀英文雖非難事，但一定要花時間，必須細水長流。

"
9789861476919,"

This anthology of western literature is concise and portable, yet it still includes a diverse and balanced variety of classic works, instead of paraphrasing the works into simplified versions, this work features authentic passages from Greek and Roman mythology, the Bible, and English and American poetry, prose, fiction, and drama. Each chapter begins with a clear introduction, “About the Work,” and three warm-up questions. The selected passage from the literature is annotated, with definitions of important vocabulary, and also provides some intriguing additional information in the “More to Know” section, and additional follow-up questions. Special features of this book are the Activities at the end of each chapter, such as word puzzles, role-plays, classroom games, and presentation opportunities. These activities will provide fun exercises for students in class. This book is not only a selection of works of great literature, but also a source of inspiring discussion and interesting pastimes and projects. Stop perusing books silently at your desk – stand up and have fun with the world dramatic classics!本書收錄共35 章，題材涵蓋六大主題：Mythology, Bible, Poetry, Prose, Fiction, and Drama。每章首先介紹作品簡介及其相關文化背景，並以三個warm-up questions 引導學生深入文本，一享文學之美。接著進入「原文文本」、「More to Know」、「Discussion」及「Activities」四大部分。最後的「Activities」為本書一大特色，它提供教師於每章結束後可和學生進行的一些課室活動，如：word puzzles, role-plays, classroom games, and presentation opportunities。「Activities」讓讀者和學生能藉由這些活動對作品更加熟悉 認識，教師也可藉由此部分，提高學生學習興趣，透過愉快的學習方式引導學生進入文 學迷人的世界，領會閱讀文學的樂趣與喜悅。此外，每章的「原文文本」部分（Into the Work），另附文本內重要字詞註釋，幫助學習者掌握作品精義和其中的句法、辭彙，進而欣賞作品的音、意、形之美。
                    
"
9789863122579,"


 一篇文章有許多單字不認識, 每個單字都要查字典, 閱讀速度怎麼快得起來？
放下字典，將句型視覺化，讓重點破繭而出！

  

 一般英文閱讀書的通常都是文法書或考試用書的延伸, 會帶讀者從文法來分析文章結構, 然後再實際閱讀一篇比一篇長的文章進行練習。雖然長時間下來, 下苦功花時間跟著練多少能強化英文閱讀能力, 但成效並不顯著, 方法不對也只是事倍功半。

  

 本書作者謝樹明 老師將速讀技巧融入英文閱讀學習, 利用專利符號標示出主詞、動詞、形容詞, 幫助釐清文章架構, 將抽象的句型視覺化, 讓文章關鍵字自然浮現, 短時間就能改善英文的閱讀速度和理解能力。

  

 本書所採用的英文閱讀分析方法已申請專利
 發明專利案號: 104118230

  

本書特色
  

 請試著閱讀以下文章：

  

 Sometimes life hits you in the head with a brick. Don't lose faith. I'm convinced that the only thing that kept me going was that I loved what I did. You've got to find what you love. And that is as true for your work as it is for your lovers. Your work is going to fill a large part of your life, and the only way to be truly satisfied is to do what you believe is great work. And the only way to do great work is to love what you do.


 如果你是：

  

 ● 一看到文章就準備拿起英文字典…
 ● 一看到英文就逐字閱讀、一一翻譯…

  

 本書徹底翻轉你的閱讀方法，
 每天 30 分鐘，十小時立即提升英文閱讀力！

  

 ● 首創『積木閱讀法』 (專利案號:104118230) 再複雜的句型都能快速拆解文意
 ● 將速讀技巧融入英文閱讀學習，在閱讀中立即抓住關鍵重點
 ● 5 大常見英文句型逐一拆解，將抽象文法視覺化，加深印象、更容易理解

"
9789571171777,"

本書共分為六章。第一章介紹英文書本的閱讀策略。第二章是英文文章的閱讀策略，強調英文文章三部曲，即序論 (Introduction)、本文 (Body Paragraphs) 與結論 (Conclusion)。第三章為英文段落的閱讀策略，重點在英文段落三部曲，即主題句 (topic sentence) 闡述∕發展句 (supporting∕development sentences) 與結論句 (concluding sentences)，另外介紹了英文段落各種組織類型，包括例證法∕舉例法 (exemplification)、時間順序法 (chronological order)、空間順序法 (spatial order)、類比法 (analogy)、因果法 (cause and effect)、比較或對比法 (comparison or contrast)、分類法 (classification)、定義法 (definition)、過程分析法 (process analysis)、主題法 (topical organization)、推理法 (inference)、問題解決法 (problem-solution)、綜合法 (combined methods)等。第四章是綜合練習，包含英文句子大意與主動詞的練習、英文段落練習、英文文章練習、一些考題的練習 (如大學學測、大學指考、研究所考試、各類公職考試)。第五章係高層次的英文閱讀策略，包括布魯姆教育分類學 (Bloom’s Educational Taxonomy)、相互教學法 (Reciprocal Teaching)、提問作者法 (Questioning the Author)、SWOT分析法 (SWOT Analysis)、主題結構分析 (Topical Structure Analysis)。第六章為做筆記的策略，介紹了康乃爾筆記法 (Cornell Note-taking Strategy)、心智圖法 (Mind-mapping Strategy) 與樹狀圖法 (Tree Diagram Strategy)。本書特色英文閱讀是大學與研究所學程中的必要課題，而如何有效率地閱讀英文原文書、英文文章或研究論文，實為當務之急。因此，唯有熟稔英文寫作原則與具備高效率的閱讀策略，才能以事半功倍之效，游刃有餘地悠遊於學海之中。本書集結作者任教於大學英文閱讀課程的上課內容、教學經驗和心得，共分為六個章節，與讀者分享快速掌握英文閱讀的訣竅。全文之前附有「本書內容簡介」和「本書內容導讀」，以提綱挈領的方式，讓讀者快速掌握本書重點。
                    
"
9789575324278,"

文章太難、單字量不夠、看不懂慣用句型、閱讀速度慢……？初階程度的讀者，你的閱讀難題，白老師通通知道！短文閱讀 + 大量練習 = 建立基礎英文閱讀力最有效的方式！提升英文閱讀能力並非一蹴可及，需要日積月累，由淺入深不斷學習。最有效的方法就是閱讀大量的素材，並搭配練習，相輔相成。《白安竹基礎英文閱讀》就是針對台灣初階程度的讀者，融合國際文化視野的一本基礎英語學習書。本書每篇短文約200字，符合生活常見的短篇報導及書信長度，對於基礎程度的讀者來說具有挑戰性，但又不至於負擔過重。短文的主題及類型貼近生活，另一方面，也收錄了埃及豔后、英國詩人、美國平民英雄等不同國家文化的小故事，甚至包括海洋汙染等社會議題，進一步加強英文閱讀的文化涵養。本書另一特色是收錄「大量、豐富的練習」。透過循序漸進的練習，學習者同時加強字彙、閱讀、聽力及文法句型實力。多變的題型不僅能夠提升學習動力，也能夠磨練語言技巧，真正強化聽說讀寫全方位的英文能力。本書作者白安竹老師，擁有哈佛教育碩士學位，撰寫英文教材已有將近20年的經驗，同時也是全球權威字典出版公司Merriam-Webster主力作者，著作暢銷臺、美、日、韓。白老師精通六種語言，通曉語言學習法則，並曾旅居台灣多年，深刻了解台灣英語學習者的問題所在，因此能夠依據不同程度學習者的需求，綜合國際文化視野及台灣英語教學系統，編寫獲得眾多英文老師肯定推崇並採用的教材。本書特色■ 短文閱讀+大量練習，有效增進英文程度對於基礎程度的讀者來說，閱讀長篇英文文章可能較為吃力，本書每篇短文約200字，長度適中，同時搭配大量的練習，每讀完一篇文章立刻做練習，加強學習效果，創造最佳學習曲線。■ 完整的單元架構，同步提升聽說讀寫能力每篇文章都從「課前預習」開始，透過插圖及簡單的問答導入主題，閱讀完文章之後，緊接著是相關的字彙、閱讀、文法、聽力練習題，每個單元就像是一堂完整的英文課，兼顧全方位英文能力的發展。■ 豐富的閱讀主題，取材活潑，學習不枯燥包括邀請函、email、網路購物、公告、網誌等日常接觸到的文章，以及可了解不同文化的小故事，此外也有科技新發展、環境汙染等較為知性的主題，題材豐富多變，絕對不枯燥乏味！■ 多樣的練習題目，即學即用，強化學習效果是非、選擇、填空、配對、句子重組、問答題……多種題型交替出現，不僅能增加學習樂趣，也能夠磨練不同的技巧。
                    
"
