ISBN,書籍簡介
9789570858754,"


原文理工教科書總是讓你看不懂？
有了本書，馬上帶你讀懂理工英語！


	碳水化合物、原子核與質量的英文分別該怎麼說？
	該怎麼用英語說明「一個帶有正電的質子」？
	你知道英國政府不接受傑出的科學家從軍嗎？

	本書透過有趣生動的小故事，用英語帶你了解生物、化學與物理的基本概念，
	每篇文章精編字彙、例句與翻譯練習，
	用英語學理工知識，理工英語不再艱澀難懂，一次就融會貫通！

	許多學生可能會在閱讀原文理工教科書時感到挫折吃力，對於專業科學的詞彙與用法不熟悉，因此影響閱讀速度與理解程度。

	本書針對生物學、化學與物理學，精編60篇英語小短文，讓讀者能用英語學理工基本知識與科學歷史。每篇文章編有字彙、例句與翻譯練習，在閱讀短文後立刻學習與練習，有效記憶理工相關英語詞彙與說法。讓讀者認識與熟悉，之後使用原文教科書便能輕易上手。

"
9789869751742,"


從現在開始，
	你不用硬擠出時間，
	也無法再拿「沒時間」當藉口！

	「每天只要5分鐘，就可以學好英文！」

	「沒時間」是現代人的通病，
	要工作、要放鬆、要吃喝拉撒睡，
	就是沒有時間學英文！

	時間愈不夠用，就愈要善用「零碎時間」！
	吃飯時、通勤時、等人時、睡覺前……，
	抓住每段零碎時間，讓每個5分鐘的空檔，
	都成為一堂英文閱讀課。

	《午休5分鐘的英文閱讀課》
	專為現代人設計，
	文章、單字句型、文法重點、閱讀寫作技巧……，
	每組學習內容，都能在5分鐘讀完，
	再搭配免費附贈的虛擬點讀筆App＋2,000單字電子書，
	讓每個5分鐘的空檔，
	都成為一堂英文閱讀課。

	想要學英文，
	比起找出50分鐘花大錢上英文課，
	卻有30分鐘在發呆打磕睡，
	還不如利用「零碎時間」學習，更有效率！


	沒有不夠用的時間，只有不會善用時間的人！

◆ 善用零碎時間的能力，就是你的超能力！

	「時間不夠用，哪有空學英文？」現代人的時間常被各項事務切分成零碎片段，想學英文不用花完整的50分鐘，只要善用通勤、吃飯、等人……等零碎時間，每段零碎時間，都是一堂英文課。

	【專為現代人打造！午休5分鐘的英文閱讀課！】
	吃飯前花5分鐘，就能看懂短篇的公告、通知單、廣告單
	等人時花5分鐘，就能看完100～150字的短篇文章
	通勤時花5分鐘，就能記憶5～10個英文單字與用法
	工作前花5分鐘，就能學會各種英文文法、閱讀與寫作技巧

◆ 午休5分鐘，快速世代的高效學習法！

	風靡全球的午休學習法，利用早上和下午行程轉換的空檔學習，6到60歲都適用。每天只要花5分鐘學英文，比一個星期上2小時的英文課更有效。

	【最高效的學習法！午休5分鐘的英文閱讀課！】
	現代人容易被英文閱讀打敗的原因主要是：容易恍神、無法理解文意。想提升英文閱讀力，不需要直接挑戰閱讀長篇文章，現代人能夠保持高度專注力學習的時間，只有5分鐘！

	《午休5分鐘的英文閱讀課》專為現代人設計，每篇短文、每個長篇文章段落、每組單字或句型、每個文法重點……，都是5分鐘就能閱讀完的內容，想要學英文，比起找出50分鐘花大錢上英文課，卻有30分鐘在發呆打磕睡，還不如利用5分鐘專注學習，更有效率！

◆ 5分鐘培養英文超能力

	從基礎篇、進階篇到應用篇，用最生活的主題，培養最實用的英文閱讀力。
	公告／廣告／菜單／社群媒體／購物網站／新聞／寫作

	基礎篇︱ 各式公告、尋人啟事、通知單、廣告單、菜單、社群媒體貼文
	進階篇︱ 流行文化、人文藝術、旅遊、運動、新聞
	應用篇︱ 查找資料、加入會員、訂購結帳、退貨換貨、意見調查

◆ 5分鐘培養英文戰鬥力

	每個人的學習起跑點都一樣，但「學習效率」決定每個人的英文能力。《午休5分鐘的英文閱讀》提供學習課本、朗讀CD、虛擬點讀筆App、2,000單字電子書，讓你無時無刻都能學習，利用「零碎時間」學習最有效率！

◆ 今天不看，明天一定會後悔！

	別以為看懂文章、理解文意、抓取關鍵訊息就夠了，還教你如何PO文、寫短篇文章、搜尋資料，更請專業美籍錄音員錄製全書單字、句型、文章，聽說讀寫一次加強，包你天下無敵。

使用說明

	■ 本書適用時機──
	早上配早餐使用︱ 一日之計在於晨，搭配早餐，補充身體與腦袋的能量。
	消夜泡泡麵使用︱ 書放在泡麵上，邊學習、邊等泡麵熟，一舉兩得。
	通勤裝文青使用︱ 收起手機，拿出書本，知識力、文青力迅速提升。
	等人發呆時使用︱ 把握等人的空檔，多看幾句會話，等等聊天就能現學現賣。
	睡前5分鐘使用︱ 睡前學的內容更容易被大腦吸收，黃金學習時間一定要把握。

■ 本書使用方式──
	1. 全書分為：生活化的「基礎篇」＋主題豐富的「進階篇」＋學了就會用「應用篇」，保證最豐富、最實用。
	2. 每篇文章皆提供中英文，搭配閱讀測驗，即時檢測學習成效。
	3. 補充豐富的單字、句型與例句，能夠一次學到多種用法。
	4. 面對無法一次看懂或看完的長篇文章，特別將文章以一個段落為單位，提供中英文與單字解說，既能分段學習，也方便對照。
	5. 下載隨書附贈的虛擬點讀筆App，只要事先下載好音檔，就能隨掃隨聽、離線也能聽。
	★ 獨家講述閱讀技巧，就算只有5分鐘，就算面對不同情境、不同長度的文章，也能馬上掌握文意關鍵。
	★ 除了「閱讀」，更補充撰寫文章的寫作技巧，全書文章、單字更請專業美籍老師錄製MP3，同時加強「寫作立」與「聽說力」。
	★ 免費附贈2,000單字電子書，符合全民英檢初級程度，就算沒有帶書出門，也能隨時隨地背單字。

［VRP虛擬點讀筆介紹］

	1.    為什麼會有「虛擬點讀筆App」？
	（1）    以往讀者購買語言學習工具書時，為了要聽隨書附贈的音檔，總是要拿出已經很少在用的CD 播放器或利用電腦，又或是轉存到手機來使用，耗時又不方便。
	（2）    坊間當然也有推出「點讀筆」來改善此種學習上的不方便，但是一支筆加一本書往往就要二、三千元，且各家點讀筆又不相容，CP值真的很低。
	（3）    後來雖然有了利用QR Code描掃下載檔案至手機來聽取音檔的方式，但手機不僅必須要一直處在上網的狀態，且從掃描到聽取音檔的時間往往要花個五秒以上，很令人氣結。
	（4）    因此，我們為了同時解決讀者以上三種困擾，特別領先全球開發了「虛擬點讀筆」App，並獲得專利，希望這個輔助學習的工具，能讓讀者不僅不用再額外花錢，且使用率和相容性也是史上最高。

	2.    「虛擬點讀筆App」就是這麼方便！
	（1）    讀者只要透過書中的QR Code連結，就能立即下載「虛擬點讀筆App」。（僅限iPhone和Android二種系統手機）
	（2）    「虛擬點讀筆App」下載完成後，可至App目錄中搜尋需要的音檔或直接掃描內頁QR Code一次下載至手機使用。
	（3）    當音檔已完成下載後，讀者只要拿出手機並開啟「虛擬點讀筆App」，就能隨時掃描書中頁面的QR Code立即讀取音檔（平均1秒內）且不需要開啟上網功能。
	（4）    「虛擬點讀筆App」就像是點讀筆一樣好用，還可以調整播放速度（0.8-1.2倍速），加強聽力練習。
	（5）    如果讀者擔心音檔下載後太佔手機空間，也可以隨時刪除音檔，下次需要使用時再下載。購買本公司書籍的讀者等於有一個雲端的CD櫃可隨時使用。
	（6）    詳細使用及操作方法請見書中使用說明。

	（雖然我們努力做到完美，但也有可能因為手機的系統版本和「虛擬點讀筆App」不相容導致無法安裝，在此必須和讀者說聲抱歉，若無法正常使用，請讀者使用隨書附贈的CD。）

"
9789863189886,"


	One runs the risk of weeping a little, if one lets himself be tamed.
	一個人一旦讓自己被人馴養後，就得承擔一點哭泣的風險。

	來自小小星球的小王子，遊歷了各個星球，最後來到了地球。這不只是小王子的宇宙之旅，更是小王子一場充滿純真與溫柔的生命之旅，這是因為小王子擁有一個簡單的「祕密」:

	It is only with the heart that one can see rightly;
	what is essential is invisible to the eye.
	只有用心靈才能把事情看得真確；
	重要的東西用肉眼是看不見的。

	《小王子》猶如穹蒼中一顆燦然動人的明星，讓久居樊籠的我們，尋回內心深處純真的夢想、樸實無偽的友誼；喚醒深陷世俗囹圄而不自覺的心靈，與生命中最寶貴、卻也最容易被忽略、遺忘的真情。
	--------------------------------------
	搭配寂天雲APP聆聽訓練聽力最有效！

	掃描書封QR Code下載「寂天雲」App，即能下載全書音檔，無論何時何地都能輕鬆聽取專業母語老師的正確道地示範發音，訓練您的聽力。

	功能特色：
	● 透過本App，可下載每本書的音檔，即點即播。
	● App 內建掃描器，掃描書本內頁QR Code ，可直接對應到書本內容，播放音檔。
	● 可根據自我學習狀況，設定循環播放、單曲重複播放、前進後退10秒播放。
	● 有多段語速可供選擇播放，可依學習情況調整快慢語速，逐步強化聽力訓練。
	● 可設定星號書籤，標示重點複習音檔，重複播放。
	● 提供背景播放，讓您無論開車、坐車通勤、跑步或行進間，訓練聽力不間斷。
	● 可設定播放時間，讓您睡前也能預設關閉時間，把握淺眠期的黃金學習時段。

	透過「寂天雲」App，書本與聲音的連結更自由、更多元，讓您隨時隨地都能輕鬆學習，更方便！更有效率！

"
9789864413744,"


	108 課綱的理念是希望學生能利用課堂所學，盡可能在生活情境中與三面九項的核心素養做連結，促使學生能夠跨領域、跨學科的學習，進而將所學的知識轉化成能力與態度。我們已基於上述目標編寫了《16 堂培養核心素養的英文閱讀課》（初級篇），而這本接續編寫的「進階篇」的文章與練習難度提升，仍分為十六個主題多元的單元，包括動物生態、生活常識、危機處理、文化淵源、社交旅遊等。每個單元由閱讀技巧、主題文章、單字片語等語言知識，以及三道素養題組所組成。在全書共四十八道素養題組中，我們將文章主題延伸運用到生活情境中，透過各種題型來訓練學生溝通表達、解決問題、培養多元文化與國際理解的能力。

	當學英文不再只是為了追求考試拿高分，而是能真正運用在生活中，無論是與國際友人溝通交流，或是作為探索跨科知識的工具，屆時課綱的理念才算真正落實。在那之前，我們不妨就先從激發學習興趣開始吧！

"
9789863189800,"


生活情境化主題 + 多元化體裁 + 跨學科／跨領域知識整合 + 精編閱讀混合題型練習
	針對108課綱學測最新混合題型，精心編寫60篇閱讀文章與考題，
	不論是測驗目標、題型設計、命題方向等皆呼應核心素養精神，
	輕鬆打造英文閱讀核心素養力，完美解題拿高分！

	本套書共分三冊，專為欲準備108課綱新型學測學生編寫。內容架構符合108課綱素養精神，文章選材多元化，以動物、科學、環保、科技、生涯規劃等多元議題打造閱讀核心素養力，並加強各種生活化體裁的閱讀能力，如篇章、廣告、地圖、長條圖、折線圖、文氏圖、心智圖等。

	綜合以上架構精編60篇多元主題引人入勝的文章，並在文後搭配5題閱讀混合題型、16題字彙測驗，訓練讀者表達看法、訓練批判性思考、瞭解文意、判讀圖表、理解詞彙用法，有效提升閱讀核心素養力，完美解題拿高分！

本書特色

	1.套書依程度分冊，以難度循序漸進編寫，學習分量適中有成效
	本套書共分3冊，每冊依據文章長度、高級數字彙數量、文法句構與句子長度等區分難度，讀者能夠依自身程度選擇，提升學習成效。
	▶ Book 1
	文章長度（無圖表）：250–300 words
	文章長度（有圖表）：150–200 words
	英語程度： Levels 1–4
	▶ Book 2
	文章長度（無圖表）：300–330 words
	文章長度（有圖表）：200–230 words
	英語程度： Levels 1–5
	▶ Book 3
	文章長度（無圖表）：330–360 words
	文章長度（有圖表）：230–260 words
	英語程度： Levels 1–6

	2.多元閱讀題材與生活化撰文體裁，有效將學習融入生活
	全書文章主題涵蓋多元領域，並結合生活化體裁寫成。豐富讀者閱讀經驗並提升英語閱讀能力，有效應用於日常生活。

	3.文後閱讀混合題型與字彙測驗，高效訓練閱讀技巧與字彙力
	針對大考中心公布111年學測新增命題方向之「混合題型」，每篇文章後精心設計5道選擇、選填及非選合一的「閱讀混合題」，諸如選擇題、配對題、簡答題、填空題、圖表填充等，完全擬真新題型出題方式，從多元角度訓練讀者閱讀理解能力及邏輯批判思考能力，並有效打造閱讀理解、圖表判讀、邏輯分析、表達運用等能力，完美呼應核心素養精神。

	字彙題包含詞意配對題與字彙選填題，在課後能迅速複習詞彙意義與用法，高效增加應考實力。

	4.豐富多彩圖表與道地發音MP3，輔助閱讀、加強吸收
	每篇文章均配有豐富彩圖圖解，幫助讀者迅速了解文章情境，同時附有專業母語人士朗讀MP3，同時訓練聽力能力。

	5.道地發音MP3，一次學會正確發音，增進英聽能力
	附有專業母語人士朗讀MP3，同時訓練英語聽力，只要掃瞄書頁上的QR Code，便能輕鬆聽取。讀者可隨時反覆聆聽，學習正確發音，並增強英聽實力！
	-------------------------------------
搭配寂天雲APP聆聽訓練聽力最有效！

	掃描書封QR Code下載「寂天雲」App，即能下載全書音檔，無論何時何地都能輕鬆聽取專業母語老師的正確道地示範發音，訓練您的聽力。

功能特色：
	●　透過本App，可下載每本書的音檔，即點即播。
	●　App 內建掃描器，掃描書本內頁QR Code ，可直接對應到書本內容，播放音檔。
	●　可根據自我學習狀況，設定循環播放、單曲重複播放、前進後退10秒播放。
	●　有多段語速可供選擇播放，可依學習情況調整快慢語速，逐步強化聽力訓練。
	●　可設定［星號書籤］，標示重點複習音檔，重複播放。
	●　提供背景播放，讓您無論開車、坐車通勤、跑步或行進間，訓練聽力不間斷。
	●　可設定播放時間，讓您睡前也能預設關閉時間，把握淺眠期的黃金學習時段。

	透過「寂天雲」App，書本與聲音的連結更自由、更多元，讓您隨時隨地都能輕鬆學習，更方便！更有效率！

"
9789864414345,"

運用108課綱理念，搭配混合題型練習提升英文閱讀實力精選22個閱讀技巧，培養英文閱讀素養力在這個資訊爆炸的時代，如何更有效地汲取訊息，是現代人可以好好學習的一項技能。而本書就是要告訴讀者一些實用的閱讀技巧，幫助你迅速掌握重點，同時不只學語言知識，還要學習如何深入閱讀，透過文本訊息來歸納、分析，甚至跳脫文本理解背後的言外之意。此外，十二年國教的新課綱強調三面九項跨領域學習的核心素養，英文科不再只是著重字彙、片語、文法等語言知識的學習，而是強調將這項技能轉化為「知識 + 技能 + 態度」的素養能力。因此，在本書中，我們收錄了各種題材的閱讀文本，並且藉由文本訓練一項閱讀技巧，再透過靈活、多樣的測驗題型來訓練讀者全方面的閱讀理解力，更期盼讀者能將這些閱讀技能運用到其他各種文本上，幫助你在浩瀚書海中，可以有效率地汲取知識。【本書內容介紹】Pre-reading讀前準備▶進入文章閱讀前提供三個問題，讓讀者對第一次接觸的文章有初步概念。▶圖解文章中出現的關鍵單字，讓讀者進一步瞭解文章的主題和方向。Reading閱讀文章提供類型豐富多元的文章，包括名人軼事、自然生態、歷史文化、旅遊、健康及科技等，依難易度循序培養閱讀實力。Test Yourself閱讀理解測驗每單元提供與該單元相關的閱讀理解測驗，搭配大考混合題型如選擇、表格填空或簡答等，讓讀者檢核對文章的理解度。Reading Skill閱讀技巧每單元提供一項閱讀技巧，包括因果關係、比較和對照、預測、推論和區分事實和觀點等，希望透過每一項技巧幫助讀者掌握文章訊息，提升英文閱讀能力。Test Your Skills 閱讀技巧測驗提供與文章主題相關的閱讀技巧測驗，型式包括文本理解、圖表閱讀等，透過測驗培養讀者深度思考的能力。★每單元的中文翻譯及測驗解答均收錄於別冊中
                    
"
9789865676858,"

閱讀測驗在大學入學考試英文科中的比重超過三分之一， 108 新課綱公布的參考試卷更增加了新的閱讀題型 ── 混合題。本書以 108 新課綱所強調的「核心素養」為主軸，涵蓋 8 大類主題共40 篇高擬真文章，包含新式閱讀測驗及混合題兩種題型。詳解本解析題目判讀的方法與方向，引導讀者掌握答題關鍵。＊108課綱核心素養嚴選一天一篇，40 天讓你完勝新題型！涵蓋 8 大類主題•40 篇高擬真文章 選題新穎•內容廣泛•解析詳盡業界第一本，快、狠、準！搶鮮必讀！◈選文主題以「核心素養」為主軸，搭配最夯的新知話題－ 涵蓋科技、網路文化、環保、人物、自然地理、文學藝術、醫療保健、歷史文化等 8 大類，共收錄 40 篇文章，題材包羅萬象。除了可以培養邏輯思考，提升閱讀各類文章的能力外，並能獲取不同領域的知識。 ◈題型設計依據 108 新課綱，一網打盡閱讀測驗新題型－針對大考中心公布的 111 年大學入學考試命題方向設計，每類主題包含 3 篇新式閱讀測驗及 2 篇混合式題組，擬真度高，讓讀者充分了解新題型考試方式。◈解析補充詳實精闢，穩固英文基本功－全文翻譯精準確實，題目解析切入重點，並羅列重要單字片語及延伸補充，易學易懂；讓讀者能夠運用字彙、語意、文法，去理解文章結構、脈絡，並加以分析比較，輕鬆掌握作答關鍵，增進應考實力。《108課綱核心素養‧升大學系列》叢書在版面設計方面，特別採用文藝復興時期具代表性的圖像，以反映各領域文化素養的啟發與各項突破。※ 本書部分內容取自《A78 主題式閱讀測驗》
                    
"
9789869685252,"


＜神級英語大師＞

以廣讀培養全方位英語力

以獨到攻略破解命題典型

以大量真題磨練答題技巧

各類英檢閱讀測驗，真題狂解一讀就通！

	 

	坊間各大英文考試幾乎都有「閱讀測驗」，若加上該考試還要寫作文，對絕大多數考生而言會造成相當大的時間壓力。而要化解時間壓力，能否把握有限的考試時間、有效的掌握閱讀測驗就是個關鍵。

	旋元佑老師以豐富的教學和寫作經驗，完整歸納各類英檢的閱讀命題典型、洞悉考生的問題核心。本書採用閱讀測驗加上逐題精析的編排方式，提綱挈領地指引答題策略，是考生大量閱讀磨練應試實力的最佳工具。

	 

【廣讀】60 篇科普、人文、社科各領域精選文章

	許多研究顯示，不管參加什麼英語檢定考試，英文閱讀量較多的考生，分數都比較高。換言之，只要方法正確，大量的閱讀可以一舉提升英文聽、說、讀、寫的能力。

	然而大部分人閱讀英文都是採用「精讀」的方式，也就是藉助文法翻譯和句型分析，把一篇文章從單字到句型、甚至是組織結構與時代文化背景全都要弄得一清二楚，所以不但閱讀速度慢，閱讀的分量也相當有限。結果就是一直有個無法突破的瓶頸──聽、說、讀、寫各方面一直無法達到真正「流利」的程度。要突破這個瓶頸，旋元佑老師主張最有效的辦法就是以「廣讀」的方式，簡單講就是根據個人興趣選擇閱讀素材，持續進行大量、快速、不求甚解的閱讀，以積累厚實的英語實力。本書蒐羅自然科普、人文歷史、社會科學、文學藝術各領域精選文章，皆為 TOEFL、GRE、IELTS 等各大英檢考試的閱讀測驗出題範疇，是讀者進行廣讀訓練及準備考試的最佳素材。

	 

【攻略】11 類閱讀測驗必考題型 ＆ 解題心法

	本書「方法論」透析坊間各大英檢閱讀測驗的命題型態，彙整出 11 類必考題型，包含：「主題」型、「細節」型、「推論」型、「消去」型、「單字」型、「指射」型、「修辭目的」型、「組織結構」型、「安插句子」型、「語氣態度」型、「句子改寫」型。

	每種題型有其特色及相應的解題策略，書中詳細地舉例說明，務使所有考生都能準確掌握各題型的解題心法。

	 

【練題】560 道真題速解，全面貫通答題技巧

	藉由作者精心設計的大量擬真題，幫助考生累積豐富的閱讀測驗答題經驗，輔以精闢獨到的解析，帶領考生逐題印證方法論中所學之答題技巧。

	 

	★ 更多資訊請上貝塔官網 www.betamedia.com.tw

"
9789869194631,"

★ 本書網羅大考常考的各種主題文章30回，並於書中列出文章中高頻的字彙及常考文法供讀者增加單字、句型的能力。★ 橘紅色字體提示了重點，使讀者一目了然、詳細的解題及中譯更能使讀者學習上輕鬆加倍。★ 本書聘請專業教師錄製教學影片，讓您不必出門即可享有名師解題、如親臨課堂一般的感受。大學學科能力測驗及指定科目考試及其他各種重要考試，閱讀測驗是勢必出現的題型，且所占比分高，故平日對本題型的能力累積的重要性不言而喻。本書精選的文章程度適合高中程度以上的英文學習者，文章中所出現的字彙、文法適用於對於多種考試的準備，如學測、指考、高普考、特考、英檢中級、英檢中高級、多益…等，故一書在手即能對多種考試做應試的準備。
                    
"
9789864412464,"

此為接續《英文閱讀特訓班：初級篇》與《英文閱讀特訓班：中級篇》之「中高級篇」，繼前兩本收錄的十六種閱讀技巧，再進一步提供最後八種進階的閱讀技巧，幫助讀者將英文閱讀能力提升到更高的層次。本書的文章長度及難度皆比前兩本有所提升，並收錄教育部英文單字分級中之五、六級的單字，擴充讀者的單字字彙量。透過大量閱讀累積英文實力，讓你擁有優異的英文閱讀能力、不再懼怕學測、指考、統測、全民英檢、高普考、特考等各級英文考試的閱讀測驗！
                    
"
