ISBN,書籍簡介
9789863843160,"


恐怖小說大師Stephen King史蒂芬‧金、
奉為權威典範的英文寫作聖經！
經典兒童名著《夏綠蒂的網》作者E. B. White極致推崇！
橫跨兩世紀‧全球暢銷超過10,000,000冊
從哈佛、耶魯，到普林斯頓，霸佔全美高中、大學課堂的「英語寫作暢銷經典」！

 ※【獨家收錄】２５道作者精心規劃練習題
 ※【獨家隨書贈】英文寫作必備‧實戰練習手冊

 ★Amazon「英語寫作技巧榜Writing Skills」NO.1暢銷書！
 ★常春藤聯盟（Ivy League）指定英語必修教材！
 ★經典兒童名著《夏綠蒂的網》作者E. B. White極致推崇！
 ★全球寫作名家強力推薦！
 ★《紐約時報》認證．美國高中最受歡迎的畢業禮物！
 ★《時代雜誌》（Time）「１００本全球最具影響力的書籍」！
 ★《The Writer》雜誌強力推薦「１０大英文寫作指導書籍」！

 ７個語法基本規則×１１個寫作基本原則×７大寫作格式注意事項
 ５０個容易誤用的字詞×６５個經常拼錯的單字×２５道作者精心規劃練習題

 【適用】✔高中生 ✔大學生 ✔商務人士 ✔英文教師 ✔多益TOEIC ✔托福TOEFL ✔GRE、GMAT ✔高普考
 【各界好評】✔暢銷作家 ✔常春藤名校教授 ✔普立茲獎得主 ✔各大媒體

◎一本「英文母語人士」奉為寫作聖經的殿堂級教本！
 2016年美國Open Syllabus Project統計，全美大學有超過3,000堂課程將《The Elements of Style》列為指定參考書，在美國幾乎人手一冊，許多教授都要求學生必須熟讀史壯克的「７個英文語法規則」＆「１１大文章寫作原則」，唯有反覆練習這１８個原理，才能寫出道地、簡潔、言之有物的文章。本書也是文壇巨匠史蒂芬．金讚嘆不已的教學典範，強烈推薦所有人閱讀！

◎Check！寫出道地英語文章的五大重點，你都會嗎？
 就連暢銷作家都承認，自己每次寫作時都會複習這五大重點。熟習這五個規則後，你再閱讀其他文法書、單字書、寫作書才能事半功倍：

〔重點一〕刪除贅字！刪除贅字！刪除贅字！很重要所以說三次。
 → 文章要簡潔才有力。句子裡不該有贅字，段落裡不該有冗句。比如「the fact that」是最常見的贅詞：「owing to the fact that」（作「因為」解）用「since」一個字代替就好！

〔重點二〕每段以一個主題句（topic sentence）開頭，且務必句句相扣！
 → 要讓讀者在每段的開頭就掌握該段主旨，每一句都要扣緊前句發揮，上下句連接鬆散的文章是最忌諱的！五大「句句相扣」的寫作技巧，請見本書範例。

〔重點三〕There is、There are、It is、These are太氾濫，請用更精準的動詞取代！
 示範用一個動詞「repent」，瞬間將16個字的句子，縮短成5個字：
 X) It was not long before he was very sorry that he had said what he had.
 (O) He soon repented his words. 他隨即對自己的話感到懊悔

〔重點四〕以下這些易誤用的字詞，你都會分辨嗎？
 ．「Due to」和「Owing to」的差別是什麼？
 ．比較兩個本質相同事物的不同之處，要用「compare with」還是「compare to」？
 ．who, which, when這些連接詞前面，什麼時候要加逗號？什麼時候不用？
 ．「Less」和「Fewer」哪個是指程度，哪個是指數量？
 ．你知道Data和Phenomena是複數名詞，永遠不能加s嗎？

〔重點五〕不要只會用and、but、so，或that、who、which、when來連接句子。
 → 這會讓文章讀起來很無聊，你應該更精確、簡潔的句構，讀者才會手不釋卷。比如：

 (X) There is a general agreement among those who have enjoyed the experience that surf-riding is productive of great exhilaration.享受過衝浪的人一致認同，衝浪能製造許多興奮情緒

 (O) All who have tried surf-riding agree that it is most exhilarating. 衝過浪的人都覺得很刺激

【常春藤聯盟（Ivy League）．指定英語必修教材】
 1.哈佛大學（Harvard University）
 2.普林斯頓大學（Princeton University）
 3.哥倫比亞大學（Columbia University）
 4.耶魯大學（Yale University）
 5.康乃爾大學（Cornell University）
 6.賓夕法尼亞大學（University of Pennsylvania）
 7.布朗大學（Brown University）

本書特色

 1.出版市場唯一的中英雙語對頁編排！
 本書在編輯上，將中英文做對頁編排，讓讀者在閱讀時能直接對照兩種語言，更加方便觀摩史壯克教授的原文寫作，練習如何完美結合單字與文法，用最簡潔清晰的句子精準傳達語意！

 2.【獨家收錄】２５道作者精心規劃練習題，檢視學習成效，文法祕訣一次掌握！
 本書特別附上史狀克教授親自規劃的文法練習題，透過「書本學習→→實戰活用→→對解答檢討」三大步驟，幫助你充分汲取本書精華，日日磨練，學習效果更加倍！

 3.【特別規劃】「英文寫作必備‧實戰練習手冊」，提供超實用表格及重點例句練習！
 原創手冊將提供超過30個重點例句及文章範例，讓讀者練習將錯誤的例句修改成正確、簡潔的句式！此外，手冊也將提供實用表格以及重點技巧摘錄，以筆記頁的形式呈現，能幫助讀者迅速活用史壯克教授文法規則！

"
9789869966252,"


《最強英文寫作指南》

保證世界最強，全球學霸都在用！

風靡歐美一流大學的「4大寫作技巧」；

強化「5大寫作文體」的段落邏輯訓練，

讓你英文寫作下筆如神，強到沒對手！

	 

★ 最強1 全球通用的寫作公式

	牛津、劍橋、哈佛等歐美一流大學學生必學；台灣各大院校英文寫作課必修的經典公式！本書教你用老外的邏輯，寫出自然流暢的完美英文！

	 

★ 最強2 段落拆解與邏輯訓練

	本書以簡易「人體圖」來解釋各個段落的結構組成，並輔以範文解析段落句型的寫作技巧，幫助讀者迅速掌握寫作邏輯！

	 

★ 最強3 五大文體完全解析

	詳盡解說各類考試常見的論述文、說明文、敘述文、故事寫作、圖表比較的寫作要點，並搭配淺顯易懂的圖表說明，使讀者快速入門！

	 

★ 最強4 實用句型和必備單字

	以正、反例句向讀者說明各段落的構句技巧，並以表格整理寫作必備的「形容詞」、「轉折詞」、「連接詞」及「片語」！

	 

★ 最強5 適用國內外各大檢定

	不論是升學考試常見的敘述文、論述文，留學檢定必會的圖表分析寫作，還是申請學校的英文自傳，透過本書實用寫作技巧，讓你考試一路過關斬將！

	 

	本書收錄了歐美一流大學教授都在用、學生都在學的「4大寫作技巧」，

	不教你艱澀單字，不教你高深文法，只教你寫作必備的段落邏輯思考！

	 

技巧1. 萬用剝皮公式PEEL！

	PEEL就是「Point（觀點）＋Evidence（證據）＋Explain（解說）＋link（連結）」。寫論述文時，可利用PEEL剝皮公式，先選定個人看法，接著提出能說服讀者的證據，最後在段落的結尾簡潔有力地總結重點，以連結到下個段落。善用此方法，能讓你的文章論述清晰、條理分明！

	 

技巧2. 萬用餅乾公式OREO！

	OREO就是「Opinion（意見）＋Reason（理由）＋Evidence（證據）＋Opinion（論點）」。這是寫論述文的另一種常見公式，但是更善於用數據、理論、名言來強化個人意見。利用此方法包裝個人觀點，並多方列舉證據，讓你的文章有理有據！

	 

技巧3. 萬用薯條法則FRIES！

	FRIES就是「Fact（事實）＋Reason（理由）＋Incident（事件）＋Example（範例）＋Statistic（數據）」。寫作說明文時，個人觀點不再重要，重要的是文章中提供的範例是否真實、數據是否中立？善用此方法，能讓你的文章中立理性，客觀不偏頗！

	 

技巧4. 萬用故事山Story Mountain！

	寫作故事或是敘述文時，重要的是帶給讀者閱讀的樂趣，因此情節如何鋪陳、單字怎麼運用就很重要。故事寫作就像是山勢的變化，開始是出場人物和背景介紹，緊接著事件的來龍去脈，最後是故事的高潮或轉折，結尾則是感想或寓意。

	 

【使用說明】

想要寫好英文文章，下筆前必須做好的4個準備！

	 

STEP 1. 寫作前要先知道讀者是誰：選定文體！

	寫作須知：英文寫作題目和中文寫作題目最大的差異，就是英文重於「論述」，而中文重於「記敘」。論述文、說明文、圖表分析寫作都是英文考試的常客，讀者在寫作前務必知道寫作題目的要求，才能對症下藥！

	 

	本書有解：本書章節依照常見寫作文體分類編排，讓讀者可以針對想要加強的文體來閱讀本書。

	 

STEP 2. 寫作時間和字數也很重要：擬定段落！

	寫作須知：正式的英文寫作通常都是五段式作文，寫作前可以先擬定各段落的重點和句數，千萬記得各段落要環環相扣，不能天馬行空。

	 

	本書有解：本書用「人體圖」向讀者說明英文寫作各段落的組成，熟悉段落人體圖，寫作時就能掌握題旨、首尾呼應。

	 

STEP 3. 派上用場的文法和單字：牢記句型！

	寫作須知：英文寫作需要的單字和文法不用太難，但是適當的轉折語和形容詞也很重要！

	 

	本書有解：本書除了列舉常見的寫作方法和步驟之外，並附上正、反例句供讀者參考，讀者可以模仿本書好的句子並套用在自己的寫作上。

	 

STEP 4. 讓文章幫你表達想法：活用公式！

	寫作須知：寫作的目的並不是把自己背過的單字和文法全部用上，而是組織成的文章每個人都看得懂！

	 

	本書有解：本書彙整了歐美學生在寫作課必學的4大公式，每個公式都有自己常搭配的寫作文體，善用這些技巧，你也能在英文寫作上搶滿分！

	 

"
9789575325244,"


廖柏森教授重磅經典，新裝出擊！
	暢銷第一名，英文論文寫作必備聖經！
	第四版新增200條關鍵句式與10組通用句型！

	 

	本書自2006年出版至今，歷經多次改版，上市之初正值台灣學術生態改變，對於英文論文寫作的觀念亟待普及提升之際。該書的出版，立即引起大專校園內的熱烈迴響及重視，並間接提升了國內英文學術寫作的水準，十多年來一直穩坐英文論文寫作類暢銷冠軍！

	本書作者廖柏森為國立臺灣師範大學翻譯研究所教授，書中所收錄各類文本的表達模式和語句，皆是作者歷經十餘年不間斷地蒐集而來。在最新第四版中，廖教授再新增200條關鍵句及10組通用句型，協助寫作者能更有效率完成論文。

	全書共收錄800條英美國際學術期刊的真實句型範例，主要提供論文寫作常用的句型模式和詞語搭配，並介紹論文完整的各章節（包括緒論、研究方法、研究結果、討論∕結論、摘要）經常使用的文法結構、表達方式和字彙片語。

	廣受寫作者好評的「一般常用句型」單元，以語義和邏輯關係分類，包括「評論」、「定義」、「舉例」、「因果關係」、「相關性」、「一致性」等共32組主題，每組附有大量的補充句型，適用於各種領域的英文寫作中，寫作者終身受用。

	廖柏森教授的「英文研究論文系列」一套六本（書目請詳見作者簡介），分別從關鍵句、文法、搭配詞、段落、口語報告及摘要六個主題，結合理論與實務，兼顧深度與廣度，指引寫作者從點線面發展出一篇英文論文，是每位有撰寫英文論文需要的學術工作者不可或缺的案頭書。

適用讀者

	有撰寫英文研究論文需要的大專院校學生、碩博士研究生
	缺乏英文論文寫作經驗的教師
	「專題報告」「論文寫作」課堂指定用書
	需要撰寫學期報告 (term papers)、技術報告 (technical reports) 的寫作者

本書特色

	全書編排順序按照正式論文的格式架構，每章節開頭皆會先闡述該論文章節應包括的內容要素、組成部分、常用句型和注意事項。方便老師課堂教學，自學者也可在短時間對寫作方向有初步的掌握。

	在每章節之後附上句型練習，寫作者可在空格中填入自己的研究內容，加強練習，老師亦可做為教學上的課後作業。

	附「學術搭配詞」整理一覽表，介紹字群組合的方式，讓寫作者對搭配詞的用法有初步的概念。（若欲深入了解，請見《英文研究論文寫作：搭配詞指引》一書）

"
9789860642711,"


《紐約時報》暢銷書、

美國亞馬遜網站最佳文法參考書之一，超過1700位讀者4.7顆星好評推薦！

	 

繼《英文寫作風格的要素》（The Elements of Style）之後，

最實用的英文寫作指南。

	 

藍燈書屋（Random House）文稿總監匯聚三十年編輯經驗，

集結用字精確、標點精準、詞句精練的智慧結晶，

充滿有用建議與有趣知識，

幫助你說個符合邏輯的好故事，提升寫作力！

	 

	許多人把1919年出版《英文寫作風格的要素》當成寫作經典，不過，一百年之後，藍燈書屋文稿總監班傑明‧卓瑞爾（Benjamin Dreyer）寫的這本書，從編輯的觀點建議讀者如何寫出用字精準、邏輯通順、脈絡清晰又有個人風格的文章，堪稱是21世紀必讀的寫作指南。

	 

	卓瑞爾在全球知名的藍燈書屋擔任審稿的工作近三十年，為藍燈書屋建立審稿的高標準，他曾經是普立茲得獎作家麥可．謝朋（Michael Chabon）、伊麗莎白．斯特勞特（Elizabeth Strout）等人的文字編輯。本書是他萃取編輯心得而成的寫作建議，重點包括：

	 

1.用字精確

	●什麼情況下，最好避免使用阿拉伯數字？

	●如何區分 that 和 which、who和 whom、lay 和 lie？

	●從人名、地名到專有名詞，如何避開容易混淆的錯別字？

	 

2.標點精準

	●加在and、or或but之前序列逗號該怎麼用才對？

	●e-mail還是email？從消失的連字號看標點符號如何與時俱進

	●如何正確使用逗號、句號、冒號、撇號、分號、引號、圓括號和連字號？

	 

3.詞句精煉 

	●符合邏輯的好故事有哪些基本要素？

	●為什麼聳肩不要寫成 shrug one’s shoulders？

	●如何避免使用very（非常）、rather（相當）、really（很）和in fact（實際上）之類的贅字？

	 

	卓瑞爾以他豐富的審稿糾錯經驗提醒我們，好看的文章必須說個好故事，也要符合邏輯，例如檢查數字有沒有缺漏、引用的語錄一定要核實、筆下人物的年齡必須與時俱增，即使是虛構的小說也是如此。

	 

	本書有著專業文稿編輯滿滿的叮嚀、有用的智慧和有趣的小知識，對於想提升英文寫作力的讀者，絕對是不可多得的瑰寶；對於平時就在花時間編輯、潤飾他人文章的讀者，則是必備的工具書。最棒的是，對於單純熱愛語言的讀者，本書帶來無與倫比的享受。

"
9789869966276,"


專為臺灣學生設計，

專攻雅思「口說」＋「寫作」，

直接套用、強勢取分，最懂考官的雅思搶分祕笈！

	 

《最強雅思口說寫作》

保證世界最強！強到沒對手！

考前必看「答題模組」，口說、寫作高分過關！

	 

★ 最強1：前雅思主考官親自審閱 ★

	符合考試趨勢！連主考官都驚呼：考生必備實戰攻略！

	 

★ 最強2：答題模組，馬上套用 ★

	掌握大架構、填入個人化資訊，開放式問答也不怕！

	 

★ 最強3：範例問題，完全擬真 ★

	雅思名師撰寫＋前雅思主考官審定，出題方向最貼近！

	 

★ 最強4：解題技巧，保證高分 ★

	強攻口說、寫作的解題技巧，臺灣學生的搶分祕訣！

	 

★ 最強5：VRP虛擬點讀筆，練好口說就靠它 ★

	線上下載「Youtor App」（內含虛擬點讀筆），跟讀練習超有感！

	 

	「根據統計，臺灣雅思的口說、寫作成績平均只有5.5分！」

	臺灣英文教育著重背誦與記憶，

	導致學生在面對開放式問答時，總是感到一籌莫展、束手投降，

	九成以上的考生，會被口說、寫作拉低平均分數，無法考到理想成績。

	這些困擾，《最強雅思口說寫作》都能幫你解決。

	 

	在雅思口說考場──

	「這個主題好難，講不出幾句話怎麼辦？等下只能跟主考官乾笑了……」

	「如果有句型能夠直接套用的話，該有多好！」

	 

	在雅思寫作考場──

	「慘了，寫了15分鐘才擠出5句話，寫作這科又要全滅了嗎？」

	「如果有範例能夠照著抄，該有多好！」

	考生的心聲，老師都聽到了，

	這些需求，《最強雅思口說寫作》都能完全滿足。

	 

	《最強雅思口說寫作》是專為臺灣學生設計的搶分祕笈，

	只要掌握地表最強的「答題模組」，

	口說、寫作就能一舉衝破6.5分！

	海外留學、移民就業、都適用！

	 

■ 連主考官都驚呼：評分標準被破解了！

	James Brown和Hanna Hu熟悉雅思考試出題趨勢，加上多年教學經驗，深知臺灣學生的弱點在於口說、寫作這類開放式問答題，特整理歸納出近300組擬真例題與答題模組，只要套用架構、填入訊息，不管是準備一般組或學術組的考生，不管抽到什麼考試主題，都可以直接套用，考取高分！

	 

■ 雅思名師＋前雅思主考官，傳授世界最強的「雅思口說寫作應考攻略」！

最強1  前雅思主考官親自審閱

	James Brown & Hanna Hu具備多年雅思教學經驗，已幫助數百名學生進入世界頂級名校就讀，深知雅思考試出題方向，加上本書由前雅思主考官親自審閱，命中率最高！

	 

最強2  馬上套用的「答題模組」

	口說寫作的開放式問答，是拉低臺灣考生平均分數的大魔王，James Brown & Hanna Hu歸納整理出近300組答題模組，只要掌握大架構，再填入個人想法與訊息，掌握基本分數快狠準！

	 

最強3  「完全擬真」的範例問題

	全書例題皆由最了解雅思考試的James Brown & Hanna Hu撰寫，搭配前雅思主考官審閱，並完整涵蓋雅思口說寫作必考的14大主題，保證貼近出題方向，想要海外留學、移民就業都不是問題！

	 

最強4  保證高分的「解題技巧」

	雅思考試報名費這麼貴，當然要想盡辦法考一次就過關！本書將長篇大論的解說，濃縮成簡短精實的解題技巧，考前強攻口說、寫作，不僅提升單科成績，更能有效拉高平均分數！

	 

最強5  免費附贈VRP虛擬點讀筆

	只要線上下載「Youtor App」（內含VRP虛擬點讀筆），就能不受時間空間的限制，只要帶著手機就能隨掃隨聽書中示範音檔，運用shadowing跟讀法跟著美籍老師練好口說！

	 

	★本書未附CD，未提供光碟燒錄服務。全書音檔皆使用「VRP虛擬點讀筆」聽取。

	 

【使用說明】

	你的備考方式，決定你的分數優勢！

	掌握地表最強的「答題模組」，口說、寫作就能一舉衝破6.5分！

	 

Step 1 了解考試範圍

	前雅思主考官表示口說、寫作絕大部分從這14大主題出題，只要熟練這些主題，掃描題目一眼就知道該如何回答，海外留學、移民就業都不是問題！
	 

【出題範圍】

	工作、教育、建築、交通、科技、食物、自然、空閒時光、健康、人、閱讀素材、媒體、服飾與流行、藝術。

	 

Step 2 勤練範例問題

	面對沒有範圍的雅思考試，想考高分，就要跟對老師、練對題型。全書例題皆由最了解雅思考試的James Brown & Hanna Hu撰寫，保證最精準！
	 

【範例問題】

	What job would you like to do in the future? 你未來想從事什麼樣的工作？

	 

Step 3 活用答題模組

	臺灣考生最不擅長的開放式問答，是拉低平均分數的大魔王。James Brown & Hanna Hu特為考生整理出300組答題模組，只要填入個人想法與訊息，基本分數就能馬上入手！
	 

【示範回答】 

	Actually, I’m planning to change my career. I’m hoping to set up my own business in the future. That’s why I’m taking the IELTS test. I want to take a degree in international business and become an entrepreneur.
	 

【答題模組】

	Actually, I’m planning to _________ . I’m hoping to _________ in the future. That’s why I’m _________ – I want to _________ and become _________.

	 


"
9789869894685,"


為什麼他們不出國留學、不花錢補習，

竟然也能寫出像母語人士一樣好的英文文章？

	 

全球61億人都在用的英文寫作技巧大公開！

只要活用傅友良Glory老師的

英文寫作4步驟：

「閱讀短文」、

「看圖寫句子」、

「寫故事大意」、

「引導式練習」，

就能馬上寫出A＋的英文文章！

現在就開始提筆，翻轉你的英文寫作力！

	 

	只要4個步驟，就能寫好英文文章：

	 

1、「閱讀故事短文」，從日常生活中取材，英文不再枯燥乏味！

	英文寫作該從哪裡起步？大家總以為一味的動筆練習就會進步，錯！英文寫作的基礎來自於良好的「文意理解力」，透過閱讀本書傅友良Glory老師獨立編寫的24篇親身經歷的故事加上24篇範文，除了可以讓你的英文文章鑑賞技巧大幅躍進之外，還可了解正確的文章段落結構，認識適合寫作的書面語句！

	 

2、「看圖寫句子」，訓練圖像思考，激發大腦創意！

	看圖寫作已經是全民英檢初級複試、多益寫作測驗、學測英文作文的基本題型之一！此單元藉由提供4張圖片，讓讀者從故事範文中找出並寫下符合圖片內容的句子。透過圖文連結，除了強化文字理解力之外，同時也可訓練圖像的邏輯思考及英文句型練習，讓左右腦同步運作、均衡發展，使英文寫作不再枯燥乏味！

	 

3、迅速找到文章重點！「寫故事大意」讓你的作文不再離題！

	寫作起頭難！段落的起、承、轉、合總是你寫作的障礙嗎？先別急著寫出新的文章！可試著運用本書的「引導式提問」練習寫故事大意，因為好的寫作源自於模仿！

	 

4、利用「三段式寫作」＋「引導式提問」，展現思考的創作力！

	只會寫短句已經不夠應付考試！透過作者獨創的「倒三角三段式寫作」＋「段落引導式提問」，幫你的零散句子化「繁」為「整」！引導讀者將生活經驗寫成短句，句子構成段落，段落形成文章。學會這些技巧，任何想法都能透過英文精準表達！

	 

	台灣將在2030年全面邁向雙語國家，但是現在不需要花大錢出國進修ESL語言課程，也能提升英文實力！就讓《61億人都在用的英文寫作技巧：4步驟掌握英文寫作》幫你突破英文寫作！

	 

馬上培養雙語國家的英文寫作力！

	不論是敘述文、抒情文、書信體……等，提起筆，就能寫！

	從日常取材，打造你的英文寫作核心句群！

	 

【使用說明】

	 

START.  6大主題、24種情境，提升閱讀理解！

	作者親身經歷並獨力編寫的24篇故事加24篇寫作範文，主題包含：驚喜的意外事件、淚與笑的求學挑戰、感恩與懷念的人物、多變的北國天氣、可愛又淘氣的小動物、溫馨的人情味等等，閱讀這些趣味短文，除了也能與讀者的日常生活作連結，還能有效提升英文的閱讀理解速度，文章鑑賞技巧大幅躍進！

	 

STEP 1. 看圖寫句子，培養文意理解力！

	本書的「看圖寫句子」單元設計，是利用4張圖讓讀者學習抓出段落大意和重點句型，從圖文配合中訓練文意理解力！除了使英文寫作不再枯燥乏味，還可激發大腦的創意思考力。

	 

STEP 2. 寫故事大意，抓出重點核心！

	練習以第三人稱重述故事大意，就能迅速抓出任何文章的核心重點！運用書中的「自問自答法」作思考訓練，能夠快速熟悉英文文章的段落結構，同步提高英文閱讀、寫作成績！

	 

STEP 3. 引導式提問，熟悉段落結構！

	下筆完全沒靈感？想法常常亂無章法？本書的「引導式提問」不同於坊間教科書的設計，作者貼心的以三段式敘事文的結構為順序作提問，讀者只要依照問題循序作答，即可生成完整的英文敘述文章！

	 

STEP 4. 動筆寫故事，展現創作力！

	英文敘述文是針對個人經驗的寫作文體，透過故事來陳述自己的想法，讓英文和日常生活連結，寫作力就是你的表達力！ 

	 

Grammar Focus. 必備寫作文法，穩固英文基礎

	光背單字還不夠！你還需要有足夠的文法基礎，否則就會產生可怕的中式英文句子！本書會在各個章節的最後整理出與文章相關的重點文法，以故事中的句子作範例解說，加強讀者的英文造句實力，讓你像英語母語人士一樣寫作！

	 

"
9789578950719,"

學英文最快的方法《每天3行，寫小日記練出好英文》第二集回來了！磨練好英文，就靠反覆成自然的「身體習慣」行事曆&手帳改用英文寫每天持續寫、不需死背，無壓力記住日常英文！背單字又累又無聊，總是背十個忘十個，老覺得腦容量怎樣都不夠用嗎？又或是努力學了好久的英文，等到真的要用時卻常常用不出來？其實，好英文不是光用看的就能記住，還要靠「寫」的習慣才能磨練出來。只要運用每天都會寫的「手帳」，反覆書寫，就能用身體將英文牢牢記起來！跟著本書的步驟開始用英文寫手帳，日常生活中越常用到的單字，寫的次數就越多，漸漸地，你想表達的內容就會迅速以英文浮現在腦海中喔！◆工作生活都好用，把「寫英文」變得像呼吸一樣自然更基礎的內容、收錄更多實用單字，更適合新手！為一直想學好英文的你，再度量身推出的英文學習書。這次，不只寫一天的日記，還可以將英文套用到公事上，學會基本商業英文。只要運用每天寫手帳的短短三分鐘，從私密的記事開始練習，無論是：□預定行程　□待辦事項　□購物清單　□靈感　□夢想目標　□興趣　□座右銘將平時寫在手帳裡的內容轉換成簡單的英文，跨出使用英文的第一步，就能逐步建立自信心，無形中累積單字量，自然而然轉化成「用英文思考的大腦」！ ‧「簽合約」是　sign the agreement　 ‧「複印文件」是　make a copy of the document‧「邀男友去約會」是　ask my boyfriend for a date‧「預約餐廳」是 　make a restaurant reservation‧「預約下午5 點的美髮師」是　make an appointment with my hairdresser for 5:00 pm只要先習慣在手帳上書寫生活和工作相關的單字和片語，未來要用時就不怕腦袋空白。搞清楚什麼名詞要接什麼動詞和介系詞，突破寫作障礙的同時也增進會話能力！◆基礎不好怎麼辦？四步驟帶你寫出絕對豐富的英文手帳STEP 1：「只用單字來表達」一起來學會最簡單的寫法，擺脫使用英文的心理障礙。寫在手帳上的事情自己懂就好，所以不論是預定行程或安排，只要先列出單字就夠了。本書蒐羅天氣、身體、節慶、感情、時尚、美食、校園、工作、購物，各式主題一網打盡。STEP 2：「簡單一句話」習慣了用單字書寫以後，再嘗試用簡單的一句英文句子列下待辦清單。不需要想得太複雜，先照抄莎莉老師提供的例句、改掉受詞就OK了！STEP 3：「寫下心裡的話」love ya lots! （超喜歡！）nobody understands me…（沒人懂我……）I had enough! （我受夠了！）開始試著用英文表達現在的心情！記錄日常生活的小感想，同時學會口語常見英文，寫手帳也會越來越好玩。STEP 4：「實現目標與夢想」用英文寫下鼓勵自己的一番話、生活或工作上的目標，心生雀躍的同時，更能強烈地意識到自己所寫的內容，讓實現目標的動力大幅提升！※本書特色1. 全彩圖例，圖文並茂莎莉老師的手帳大公開，附週計畫、月計畫圖解。全書彩色印刷，編排精美可愛，易懂又實用。2. 立刻找到各種主題的單字集 & 例句集全書收納34種主題單字集，分類清楚，方便讀者依據目的立刻找到想要的單字。同時介紹相關的to-do-list簡單例句，一併記住常用片語。輕鬆就能寫出日常生活裡會碰上的大大小小預定行程或安排。3. 8種情境手帳寫法小祕訣瘦身手帳／英文學習手帳／家計管理手帳／旅遊手帳／甜點手帳／占卜手帳／電影手帳，總有一種適合你！4. 特別收錄英文格言集充滿正能量的格言&名言，寫在夢想手帳上，時不時鼓勵自己，往目標邁進！
                    
"
9789865676490,"


句型之於英文，猶如骨架之於人體。如果沒有骨架，便無法撐起人形；如果不妥善運用句型，英文便雜亂無章。
 在用英文翻譯或寫作時，常常毫無頭緒，不知從何下筆嗎？
 本書精選英文必備句型，讓你面對英文不再心慌意亂！
 搭配賴世雄教授畢生絕學，以深入淺出的方式傳授功力，讓你不懂也難！
  

＊ 精選必學句型 增進寫作實力
 收錄翻譯與寫作實用句型，關鍵文法重點一把抓。
＊ 解析條理分明 突破文法盲點
 招牌賴式解析搭配淺顯易懂的例句，複雜的文法概念一點就通。
＊ 活化句構概念 精進翻譯技巧
 條列相關句型及概念，引導學習過程舉一反三、融會貫通。
＊ 挑戰單元練習 驗證學習成效
 單元練習題貼心附上重點提示，立即運用、輕鬆作答。

"
9789575324711,"


不論你是想快速套用句型，還是想字斟句酌慢慢修潤，
這本書都能符合你的期望！


	英文論文摘要字數不多，卻可說是全文重點，很多人費盡心思寫出自認完美的英文摘要，但在教授眼裡卻是通篇中式英文，讓原本可能相當出色的研究論文打了折扣。其實，英文摘要並非一般英文作文，有其慣用的寫作句型格式，寫作者若能參考國際慣用的寫作範例，更能有效率地寫出出色的英文論文摘要！

	廖柏森教授依據論文摘要的六文步，從國際英文期刊中，精選各領域主題通用的句型範例，寫作者可以直接套用適合的句型範例，輕鬆完成高水準的英文論文摘要。

廖柏森教授親授 AntConc語料庫逐步教學
	除了可直接套用句型範例，寫作者也可參考本書的語料庫教學，獨力修潤完成論文摘要。廖教授從過去的演講中，發現同學們對自建AntConc語料庫的興趣非常高，但對於如何收集語料、怎麼操作語料庫介面，進而套用到英語寫作上，總是不得其門而入。在本書中，廖教授一一解答，帶領寫作者操作每個步驟，將這套只流傳於教授間的寫作寶典，不藏私地傳授給所有寫作者！

"
9789575325800,"


第一本介紹論文搭配詞用法的寫作指引，
	正確搭配詞彙，提升學術寫作專業度！


	以搭配詞 (collocation) 學習英文的觀念，近年來已日益普及而受到重視。本書針對常用的學術寫作詞彙及其常見的搭配形式整理而成，讓學習者避開中式英文的陷阱，有效率地寫出自然而流暢的英文論文，不再「搭錯」詞。

	舉例來說：「『犯』罪」稱作 “commit” a crime，「『犯』錯」是用 “make” a mistake，而「『犯』法」則是 “break” the law。

	對於論文寫作者而言，搭配詞的選擇尤須謹慎，因為學術寫作涉及專門的領域和特殊文體要求，許多詞彙在一般英文及學術英文的使用上，就有語義上的差異。

	例如：approach作為動詞，在一般英文中常表「接近」，但在學術英文中，卻比較常當作「處理」，如approach the problem（處理此問題）；又如argue，一般常作「爭論」，在學術英文中，argue則解釋為「主張」，如the research argued...（此研究主張…）。

國內第一本學術搭配詞專業書籍

	作者廖柏森教授，累積多年來所蒐集的學術寫作高頻用字，依詞性分類，整理出4000種字詞搭配變化。寫作者依文境直接選用搭配，不但省去查證時間，讓用字更顯靈活。

	全新第二版，新增了搭配詞彙的用法說明、搭配例句和練習題數量，同時也刪除部分相對簡易的搭配詞彙和例句，讓內容難易度一致。另外，書中從國際英文期刊、學術書籍及語料庫中，篩選出實際的豐富例證，讓寫作者能確實掌握英文論文寫作的精準度，全面提升學術英文論文的專業水準！

	廖柏森教授的「英文研究論文指引」系列一套六本，分別從關鍵句、文法、搭配詞、段落、口語報告及摘要六個主題，結合理論與實務，兼顧深度與廣度，指引寫作者從點線面發展出一篇英文論文，是每位有撰寫英文論文需要的學術工作者不可或缺的案頭書。

"
