ISBN,書籍簡介
9789863189923,"


	專業觀光英語 ＋ 旅遊知識 ＝ 完美結合！
	出國旅遊就靠這一本！一書在手，流利英語探索世界不是夢！

	本書專為一般出國旅遊、自助旅行的冒險者與觀光相關科系學生量身打造，針對全方位的旅遊情境，精心規畫十大主題、40單元，從抵達國門前的行前準備、旅途中的食衣住行育樂、到行程中的疑難雜症，提供：

	情境對話 x 實用例句 x 資訊補充包 x 彩圖圖解

	豐富完備的學習內容，輕鬆強化讀者的旅遊英語實力，陪伴您玩遍世界！

	Key Features 本書特色

	1. 包山包海十大主題
	出境、飛航、入境、住宿、交通、用餐、娛樂、購物、通訊和旅途中的緊急狀況，想得到的旅遊二三事這本書通通一手掌握，滿足最迫切的觀光英語需求！

	2. 模擬真實觀光情境
	生動活潑的日常對話，引導讀者進入旅遊實境，如登機門異動、使用旅館服務、藝文活動購票、購物退稅等，融入情境聚焦學習，讓英文應對變得好簡單。

	3. 旅遊英語常用說法
	實用的旅遊小句，按多樣化的實際旅遊情境詳盡分類，並有中文關鍵字索引，不僅幫助讀者加深印象，更可快速找到適用的說法，現學現賣，大膽開口說！同時也新增時下最新的英文說法，如：使用免費Wi-Fi、搭乘隨上隨下觀光巴士、使用遊樂園快速通關券、購買當地SIM卡等，隨時跟上最新的旅遊訊息。

	4. 深度補充旅遊知識
	除了英語溝通能力外，文化知識和旅遊資訊亦為旅遊不可或缺！集結最新旅遊經驗與情報，諸如訂房種類、簽證申請、各國飲食文化和如何在國外上網打電話，旅遊零經驗也能走遍天下！

	5. 絕美彩圖補充解析
	全書精選主題式的實境彩圖，搭配清楚文字說明，幫助以視覺記憶單字加深印象，打造置身旅遊情境的臨場感，學習效度更增加，也讓旅途更順暢。

	6. 專業朗讀英語MP3
	由專業外籍老師錄製的MP3，搭配書中內容練習，培養英語聽力與口語表達，走到哪聽到哪，全面提升英語能力。

	7. 實用網站App大蒐秘
	新增附錄，搜集從官方簽證資訊、訂購機票飯店、旅遊資訊與行程規劃、到緊急救助一應俱全，提供旅遊好用網站與App的推薦，免去從五花八門的資訊中大海撈針的困擾，並有QR code，只要手機一掃，輕鬆接軌旅遊資訊！
	--------------------------------------
	搭配寂天雲APP聆聽訓練聽力最有效！

	掃描書封QR Code下載「寂天雲」App，即能下載全書音檔，無論何時何地都能輕鬆聽取專業母語老師的正確道地示範發音，訓練您的聽力。

	功能特色：
	● 透過本App，可下載每本書的音檔，即點即播。
	● App 內建掃描器，掃描書本內頁QR Code ，可直接對應到書本內容，播放音檔。
	● 可根據自我學習狀況，設定循環播放、單曲重複播放、前進後退10秒播放。
	● 有多段語速可供選擇播放，可依學習情況調整快慢語速，逐步強化聽力訓練。
	● 可設定星號書籤，標示重點複習音檔，重複播放。
	● 提供背景播放，讓您無論開車、坐車通勤、跑步或行進間，訓練聽力不間斷。
	● 可設定播放時間，讓您睡前也能預設關閉時間，把握淺眠期的黃金學習時段。

	透過「寂天雲」App，書本與聲音的連結更自由、更多元，讓您隨時隨地都能輕鬆學習，更方便！更有效率！

"
9789863189763,"


用英語介紹台灣熱門暢銷書！

我想用最簡單的英文介紹台灣！

	 

	想用最簡單、最容易開口的英文介紹台灣嗎？該如何用最道地的英文，輕鬆開口生動地向外國朋友介紹美麗的台灣呢？

	 

	本書標榜以淺顯易懂的英語描寫台灣的各個面向，共分32個單元，主題涵蓋多元，介紹台灣的地理位置、人口族群、語言、宗教寺廟、文化習俗、重要節慶、飲食文化、夜市及常見美食和飲料、台北／台中／高雄／台南／花東等各地歷史與熱門特色景點，讓你輕鬆用英語學習台灣的文化，全面了解每個節日、習俗，以及台灣獨一無二的慶典活動，深入體會台灣經驗。

	 

	每個單元皆設計有關鍵字彙庫、短文閱讀、模擬實境會話，以及課堂練習，並穿插與台灣文化、熱門觀光打卡景點、飲食、宗教等相關的小短文，並搭配豐富的實境彩圖，圖文搭配，更能增加閱讀趣味性。不論你是在地人或是異鄉人，都能透過本書，深入認識台灣，並能用英語輕鬆介紹台灣。

	 

架構與特色

	1. Word Bank（關鍵字彙庫）：針對短文與會話，提供關鍵單字解釋，加強核心字彙學習。

	2. Reading Passage（短文閱讀）：每個單元以一篇350–400字短文閱讀開始，扣緊主題，簡要地介紹台灣。

	3. Quiz（短文閱讀簡答題）：針對每篇短文閱讀，提出簡答題提問精要重點，幫助複習文章要旨、統整活用及延伸學習。讀者可試著用英文回答，再參考後面的解答做練習。

	4. Conversation（模擬實境會話）：以250–300字模擬情境對話，幫助輕鬆用英語討論台灣各面向特色。

	5. Extra Reading（延伸文化閱讀）：提供各種豐富的主題小短文，作為台灣文化的補充介紹，如介紹客家文化、過年文化、台灣人的送禮文化等主題，進一步深入了解台灣文化，深具知性與趣味。

	6. Practice（課堂練習）：每單元皆編寫包括聽力、閱讀和寫作三面向的課堂練習，題型設計多元，幫助課後複習與活用。

	7. More Pictures（圖文補充）：針對各單元主題，補充精彩的實景照片與英文說明，如最新熱門打卡景點，讓讀者有更充實的相關知識及字彙庫，就能更靈活自如地介紹台灣。

	 

搭配寂天雲APP聆聽訓練聽力最有效！

	 

	掃描書封QR Code下載「寂天雲」App，即能下載全書音檔，無論何時何地都能輕鬆聽取專業母語老師的正確道地示範發音，訓練您的聽力。

	 

	功能特色：

	● 透過本App，可下載每本書的音檔，即點即播。

	● App 內建掃描器，掃描書本內頁QR Code ，可直接對應到書本內容，播放音檔。

	● 可根據自我學習狀況，設定循環播放、單曲重複播放、前進後退10秒播放。

	● 有多段語速可供選擇播放，可依學習情況調整快慢語速，逐步強化聽力訓練。

	● 可設定［星號書籤］，標示重點複習音檔，重複播放。

	● 提供背景播放，讓您無論開車、坐車通勤、跑步或行進間，訓練聽力不間斷。

	● 可設定播放時間，讓您睡前也能預設關閉時間，把握淺眠期的黃金學習時段。

	 

	透過「寂天雲」App，書本與聲音的連結更自由、更多元，讓您隨時隨地都能輕鬆學習，更方便！更有效率！

	 

"
9789865676995,"

獨家！買1送1！買紙本書送電子書！享受雙功能數位學習：音檔隨掃隨聽+VIP APP行動書櫃，任何時間任何地點都能輕鬆學英文！本書著重新概念引導式學習，引導讀者突破開口障礙，從簡單的句子說起，逐步深入到實際交流中，從而敢說、會說、道地說，輕輕鬆鬆玩轉旅遊英文。書上直接附贈電子書序號，不論ios或android系統，下載APP輸入即可使用！◆ 9大旅遊主題◆ 900句道地實用句◆ 159段情境對話外出、在家學習超便利，使用效果加倍！學英文，用得上最重要！出國從搭機到殺價「立即翻、馬上用」！※新概念引導式學習本書著重在引導讀者突破開口障礙，從簡單的句子說起，逐步深入到實際交流中，從而敢說、會說、道地說，輕輕鬆鬆玩轉旅遊英文。◆ 9大旅遊主題：本書涵蓋9大旅遊實用主題，包括搭機、住宿、交通、觀光、購物、美食等，讓你旅行途中遇到任何狀況都能沉著以對。◆ 超過900句重點實用句：每個主題皆列出道地的母語人士常用句，包羅萬象且簡單易學，讓你輕鬆開口說英文！◆ 159段情境對話：依真實旅遊情境設計對話，模擬與外國人對話的臨場感，輕鬆說出想講的話，就是這麼簡單！◆ 標準美式發音：特請專業美籍老師為全書錄製音檔，可以同時練習聽力、發音和口說能力。◆ 精闢翻譯及字詞解析：附有完整的中文翻譯，關鍵字詞皆有解析，讓你能夠觸類旁通、全方位學習。◆ 練習題驗收成效：每個主題之後皆附有練習題，幫助你做好基本功，打下紮實的基礎。★【常春藤VIP行動書櫃】APP學習功能特色： 【提供iOS／Android手機學習模式】：下載書本後，可離線使用。 【閱讀訓練】：中英文對照或隱藏模式，全英/中英對照學習。 【聽力訓練】：自動或循環朗讀、複讀範圍與次數均可自訂，訓練聽力超有感。 【口說練習】：可以聽老師發音後，按下麥克風一句一句練習口說，精進您的口語能力。 【語速調整】：可調整七段不同速度，讓你聽力訓練減少挫折感。 【單字分析】：提供本書內容總單字量與單字級等分佈比例，在學習前即可了解單字難易度。 【單詞級等標示】：標示學習內容的單詞級等，包含字頻（8級等）、大考中心（6級等）、全民英檢（3級等）、多益常考用字。 【查字義】：內建單詞資料庫，快速查詢字義，理解文章內容。【搜尋】：輸入關鍵字查找標題或全文學習內容。 【書籤】：將重要學習內容標記書籤，方便日後反覆復習。 【睡眠學習】：睡前可設定播放時間，利用臨睡前的淺眠期強化聽力訓練。
                    
"
9789864413577,"

《觀光旅遊英語通》收錄八大主題，包含行前規劃、機場英語、機艙英語、入境英語、飯店英語、交通英語、旅遊英語、觀光英語，分為五十五個單元，涵蓋各種出國時會面臨的擬真情境，像是在機場、海關、旅館、各景點等地會遇到的各種狀況，以及旅途中吃、住、交通、購物，甚至生病等問題。整體來說，它是一本「旅遊英語工具書」，希望能教讀者如何用英語來處理旅途中所有計畫中或意料外的大小事！
                    
"
9789863187790,"


博客來旅遊英語類熱銷書全新版！
	專業觀光英語 ＋ 旅遊知識 ＝ 完美結合！
	出國旅遊就靠這一本！一書在手，流利英語探索世界不是夢！


	本書專為一般出國旅遊、自助旅行的冒險者與觀光相關科系學生量身打造，針對全方位的旅遊情境，精心規畫十大主題、40單元，從抵達國門前的行前準備、旅途中的食衣住行育樂、到行程中的疑難雜症，提供：

情境對話 Ｘ 實用例句 Ｘ 資訊補充包 Ｘ 彩圖圖解

	豐富完備的學習內容，輕鬆強化讀者的旅遊英語實力，陪伴您玩遍世界！

Key Features 本書特色   

	1.    包山包海十大主題
	出境、飛航、入境、住宿、交通、用餐、娛樂、購物、通訊和旅途中的緊急狀況，想得到的旅遊二三事這本書通通一手掌握，滿足最迫切的觀光英語需求！

2.    模擬真實觀光情境
	生動活潑的日常對話，引導讀者進入旅遊實境，如登機門異動、使用旅館服務、藝文活動購票、購物退稅等，融入情境聚焦學習，讓英文應對變得好簡單。

3.    旅遊英語常用說法
	實用的旅遊小句，按多樣化的實際旅遊情境詳盡分類，並有中文關鍵字索引，不僅幫助讀者加深印象，更可快速找到適用的說法，現學現賣，大膽開口說！同時也新增時下最新的英文說法，如：使用免費Wi-Fi、搭乘隨上隨下觀光巴士、使用遊樂園快速通關券、購買當地SIM卡等，隨時跟上最新的旅遊訊息。

4.    深度補充旅遊知識
	除了英語溝通能力外，文化知識和旅遊資訊亦為旅遊不可或缺！集結最新旅遊經驗與情報，諸如訂房種類、簽證申請、各國飲食文化和如何在國外上網打電話，旅遊零經驗也能走遍天下！

5.    絕美彩圖補充解析
	全書精選主題式的實境彩圖，搭配清楚文字說明，幫助以視覺記憶單字加深印象，打造置身旅遊情境的臨場感，學習效度更增加，也讓旅途更順暢。

6.    專業朗讀英語MP3
	由專業外籍老師錄製的MP3，搭配書中內容練習，培養英語聽力與口語表達，走到哪聽到哪，全面提升英語能力。

7.    實用網站App大蒐秘
	新增附錄，搜集從官方簽證資訊、訂購機票飯店、旅遊資訊與行程規劃、到緊急救助一應俱全，提供旅遊好用網站與App的推薦，免去從五花八門的資訊中大海撈針的困擾，並有QR code，只要手機一掃，輕鬆接軌旅遊資訊！

"
9789864411870,"

旅遊必備  一應俱全本書結合點讀、電腦互動光碟、朗讀MP3等數位元素，搭配旅人詞彙心智圖、好用句、情境對話、重點單字、片語解析、實用圖解、旅遊資訊與情報等豐富內容，讓您在學習英語的同時，也能拓展旅遊視野及知識。本書特色：1.	以「旅人詞彙心智圖」記單字及詞彙更有效率各單元一開始依主題以「心智圖」（Mind Map）的方式整理旅遊必備相關字詞，透過聯想與歸納來幫助記憶，讓學習能夠更有系統且有效率。針對特定詞彙亦提供詳細說明，讓讀者不但認識單字的意思，也了解其相關資訊。2.	旅行必備常用句，要會說的、該聽懂的，這裡通通有！在「旅人要會說」及「旅人要聽懂」中，讀者可學習如何實際應用「心智圖」中所學的詞彙。旅行中常需要開口說、常會聽到的實用句，在這裡都找得到。另外，在句子中針對部分字詞提供可作替換的詞彙，幫助讀者舉一反三、學得更多。3.	真人影片、互動家教，看看老外怎麼說全書的主題對話都拍攝成真人影片，讓讀者能夠輕鬆地一邊看影片、一邊學習道地的口說英語，彷彿身歷其境、遍遊各地。對話中的實用詞彙、片語及慣用語等，也都有詳盡解說並適時提供相關補充，讓讀者能深入了解其用法及含意。4.	跟著「旅人加油站」，吃喝玩樂難不倒！每個單元的「旅人加油站」中，精心規劃與各主題相關的延伸學習，內容包羅萬象：有圖解單字、好用句、各種旅遊資訊及情報等，讓讀者為旅程做好準備的同時，也能增添旅遊常識。
                    
"
9789862483640,"


第一本帶你從台灣頭走到台灣尾的英語學習書
不僅能更了解台灣，還可以用最純正的英文來介紹這美麗寶島！

  

本書特色

 都市風情Ｘ鄉村美景
 熱門活動Ｘ當地美食 
 文章解說Ｘ特色短句
 情境對話Ｘ重點圖解
 23個都市景點，EZ TALK帶你全台走透透！

 帶外國朋友遊台灣時要如何介紹寶島的文化特色及美食呢？
 特色美食「龍鳳腿」翻成「longfeng leg」，外國朋友能理解嗎？
 而必買的名產「太陽餅」可以直接說成「sun cookie」？
 遊景點必看必玩的「天燈」、「歌仔戲」英文你會嗎？

特色一：全台23個都市景點，EZ TALK帶你走透透！

 精選23個特色都市景點，從東部出發宜蘭、淡水、陽明山、九份金瓜石、平溪猴硐、台中、南投、阿里山、台南、高雄、墾丁、台東、花蓮．．．等到澎湖、綠島、蘭嶼、金門外島，讓EZ TALK當你專屬的小導遊帶你用英文跑遍全台灣。

特色二：短文簡介，3分鐘完全掌握各地景點特色資訊

 想全方位把台灣之美介紹給全世界，開口才發現自己一知半解，無法講出個所以然？
 別擔心，文章介紹從地理位置出發，到文化背景，加上超豐富私房特色景點，完整旅遊資訊全都不遺漏，讓你不再害怕開口用英文說台灣。

特色三：特色短句，台灣豆知識現學現賣

 想當個稱職的台灣親善大使，那就絕對不能缺少完整的資料收集和流利的英文。但是，不是這個東西的英文不會講，就是說出一大串不像英文的英文，外國朋友總是有聽沒有懂。EZ TALK 這次深入台灣，幫你解決所有問題。
 特色短句，教你用短短的幾句話，就能把台灣傳統精神淋漓盡致地講出來，完全擺脫中式英文。

 ◎Lei cha, which means “pounded tea” in Chinese, is a traditional Hakka beverage.
 擂茶，中文是「搗碎茶葉」的意思，是一種客家傳統飲品。

 ◎Longfeng drumstick is a local snack made of ground pork and seafood wrapped in pig intestine and then deep-fried.
 龍鳳腿是一道在地小吃，用碎豬肉及海鮮包在豬腸裡酥炸而成。

 ◎The best place to watch the Alishan sunrise is Zhushan, which can be reached by a short train ride from Alishan Train Station.
 最適合觀賞阿里山日出的地點是祝山，可從阿里山火車站搭短途火車前往。

特色四：情境對話，跟外國人聊台灣超有梗

 融入當地，特別設計出以當地風情為背景的情境對話，讓你和外國人聊台灣特色景點完全不冷場。
 要怎麼和外國人開口聊，EZ TALK幫你找到超有梗的話題。

 ◎到高雄看景點－『龍虎塔』
 A: Look at those two towers. One has a dragon at the entrance, and the other one has a tiger.
 你看看這兩座塔。塔的入口一個是龍嘴，另一個是虎口。

 B: Those are the Dragon and Tiger Pagodas. See the stairs going into their mouths? They say that entering through the dragon’s throat and exiting through the tiger’s mouth can turn bad luck into good luck.
 這是龍虎塔。有看到進去門口後的樓梯嗎？據說從龍喉進、虎口出可以消災解厄，轉好運喔。

 A: Ooh, let’s go! What’s inside the pagodas?
 哇，我們快進去。塔裡面有什麼啊？

 B: Paintings of scenes from heaven and hell to encourage people to be good.
 裡頭有天堂和地獄情境的畫作，來鼓勵大家做好人。

特色五：隨書附贈MP3，不只看的懂還能跟著說一口流利的美語

"
9789865953591,"


久等了！
 就是這一本，史上最強歸類整理！
 考生引頸期盼，
 最詳實、最易讀的領隊導遊英文考試用書，終於上市了！

  

考生的心聲，我們都知道！

 ＊Help！好久沒碰英文了，聽說準備領隊導遊的英文，必須先把歷屆考題看一遍，但是單字好多，該從何看起？歷屆考題這麼多，光看一份就頭暈！

 ＊Help！做完歷屆領隊導遊的英文考題了，但是對完解答還是霧煞煞，考試重點到底是什麼啊？怎麼這題和那題好像？還有怎麼這幾個單字好像也在別份考題出現過？沒有時間的我，該怎麼整理、吸收呢？

 Don’t worry！
 擔心英文的考生有福了！
 史上最強的領隊導遊英文應考書《領隊導遊英文一本搞定！》，將助您一臂之力，解決您所有的問題！

本書３大特色

 ★嚴選16大類必考重點單字和考題，考生可以快、狠、準的方式，吸收歷屆考題精華！
 本書第1部分，先將考題去蕪存菁，以情境方式分類，嚴選最常考的16大類重點，挑出相關的關鍵單字和必考佳句，好閱讀、好記，對有較多時間可以準備考試的考生，可用此單元厚植實力，而只剩下幾天可以讀書的考生，可拿來臨時抱佛腳，絕對事半功倍，包准考上！

 ★歷屆試題解析最詳細、統整最清楚，考生可以穩扎穩打得高分！
 本書第2、3部分，收錄98-102領隊、導遊英文試題共10回，以最詳盡的方式解析考題。10回共800題，每句都是完整翻譯，還將考題整理成完整的句子，不需再自己填空，閱讀解析更迅速。此外也特別挑出考題重點、統整必考單字、列出其它屆類似的考題，並分析其中差異，每一篇解析可說是歷屆考題集錦！每看完一篇，都像做完數篇試題一樣功力倍增！

 ★為什麼本書是領隊導遊英文應考用書最好的一本？
 市面上的領隊導遊英文書這麼多，十之八九，通常都只把歷屆考試曾出現的單字列出，毫無分類就希望考生能夠猛K，又或是只把歷屆考題附上答案翻譯，希望考生能夠自行理解。但本書大不相同！不但經過整理、好吸收、有條理，而且還有詳細解釋、提示必考重點，讓考生能夠快速理解。另外還特別附上準備英文導遊口試的方法，一本就能抵市面上所有的領隊導遊英文考試用書，用最少的時間，掌握領隊導遊英文，幫你省下許多迷失於英文大海裡的時間！

 只要有這本，領隊導遊英文真的一本就搞定！

"
9781599664019,"

這套教材包含聽力、口說與閱讀練習，聽力練習培養學生聽懂旅遊或觀光英語的能力，口說練習讓學生能以英語表達意見，描述熟悉的人、事、地、物和參與簡單的討論。每單元皆有知識性豐富的文章，適合將來想在觀光相關領域工作的學生，如航空、飯店與旅遊行程等實用的主題，設計許多貼近真實生活的情境如過海關、參觀景點、預定行程，訓練學生使用英語進行各式旅遊或觀光場合的對話能力，增進對英語溝通禮儀的認識，以在旅遊或觀光的場合與情境中適當應對。Talk About Travel Second Edition is a workbook designed for students who are interested in developing their English skills for the purpose of traveling or working in the field of tourism and hospitality. Units throughout the book progressively build a foundation for the experiences travelers can expect during an international trip. By scaffolding information and language practice in a meaningful and task-oriented way, students will learn how to fill out important travel documents, how to book flights and hotels, how to navigate their way through customs, how to find service offered upon arrival at a destination, how to get around in an English-speaking environment, and what to do for entertainment in various cities.Features:● Useful vocabulary to suit a wide variety of situations in tourism● Informative reading passages and realistic dialogs using natural English● Practical communication exercises for those working in the field of tourism● Authentic documents, brochures, and flyers for further study● Helpful tips about how to enjoy traveling● Task-based communicative activities for problem-solving skills● Audio recordings of all reading passages and dialogs
                    
"
9786263000193,"


	暢銷彩圖三版，
	熱銷三萬本，學校熱門指定用書，改版升級再進化！
	更多彩圖與最新旅遊資訊，
	用彩圖實境旅遊，輕鬆學會旅遊必備英語單字與會話！

	身歷其境，用彩圖學旅遊英語！
	內含23章旅遊主題，從出入境到住宿、租車到購物，
	出國前先身歷其境，出國時可作隨身手冊參考，
	讓你在旅遊途中每個環節都能輕鬆用彩圖學英文！

	本書特色

	➣主題按旅遊流程編排，完整囊括旅途各環節
	內含23章旅遊主題，按照出國旅遊流程編排，從出入境、過海關、上飛機、到達目的地，到住宿、租車、購物，完整涵蓋旅遊所需情境，到哪都能勇敢開口說英文！

	➣按步驟學旅遊英語，循序漸進好吸收
	每章節分成三部分，按部就班掌握重點：

	Part 1 Key Terms 關鍵詞彙：
	精選旅遊常用詞彙，依據最新旅遊趨勢新增實用必備單字，搭配實境彩圖連結單字與實物，幫助加強記憶。

	Part 2 Conversations 會話：
	依情境編寫旅遊常見對話，並新增如行動支付、叫車APP等現今常見主題，超實用旅遊會話現學現用。

	Part 3 Useful Expressions 實用句型：
	豐富詳盡的實用句型，依主題分類隨找隨用，碰到什麼情境都能流利說英文。

	➣新增更多彩圖與最新旅遊資訊，快速熟悉出遊環節
	根據各單元主題，新增更多彩圖圖解，並補充最新與最實用的旅遊資訊，如出境流程、國際駕照與用餐禮儀等，第一次出國旅遊也能駕輕就熟！

	➣外籍老師親錄MP3，加強旅遊聽力訓練
	全書內容皆錄製有MP3音檔，包含詞彙、會話與實用句型，輕鬆學會聽說旅遊英語，旅遊時也能隨放隨聽！

	--------------------------------------
	搭配寂天雲APP聆聽訓練聽力最有效！

	掃描書封QR Code下載「寂天雲」App，即能下載全書音檔，無論何時何地都能輕鬆聽取專業母語老師的正確道地示範發音，訓練您的聽力。

	功能特色：
	●  透過本App，可下載每本書的音檔，即點即播。
	●  App 內建掃描器，掃描書本內頁QR Code ，可直接對應到書本內容，播放音檔。
	●  可根據自我學習狀況，設定循環播放、單曲重複播放、前進後退10秒播放。
	●  有多段語速可供選擇播放，可依學習情況調整快慢語速，逐步強化聽力訓練。
	●  可設定［星號書籤］，標示重點複習音檔，重複播放。
	●  提供背景播放，讓您無論開車、坐車通勤、跑步或行進間，訓練聽力不間斷。
	●  可設定播放時間，讓您睡前也能預設關閉時間，把握淺眠期的黃金學習時段。

	透過「寂天雲」App，書本與聲音的連結更自由、更多元，讓您隨時隨地都能輕鬆學習，更方便！更有效率！
	 

"
