書名,書籍網站,作者,出版社,ISBN,圖片網址
英語自學策略：英文Email懶人包，複製、貼上、替換，瞬間搞定！（隨掃即用「Email懶人包」一貼搞定QR Code！）,https://www.kingstone.com.tw//basic/2018052985952?zone=book&lid=book_class3_kip&actid=book_class3_kip,Sheila,凱信企管  ,9789860683639,https://cdn.kingstone.com.tw/book/images/product/20180/2018052985952/2018052985952b.jpg
PVQC餐飲專業英文詞彙全收錄含自我診斷Demo版 － 最新版,https://www.kingstone.com.tw//basic/2018030934163?zone=book&lid=book_class3_kip&actid=book_class3_kip,e檢研究團隊 編譯,台科大    ,9789864557325,https://cdn.kingstone.com.tw/book/images/product/20180/2018030934163/2018030934163b.jpg
希平方攻其不背商務英文篇（紙上操作版）：30天速成職場溝通用語,https://www.kingstone.com.tw//basic/2018052870104?zone=book&lid=book_class3_kip&actid=book_class3_kip,曾知立,商周出版  ,9789864777211,https://cdn.kingstone.com.tw/book/images/product/20180/2018052870104/2018052870104b.jpg
Get Ready！商務英語溝通力【二版】（25K彩色 +1MP3）,https://www.kingstone.com.tw//basic/2018052832720?zone=book&lid=book_class3_kip&actid=book_class3_kip,Michelle Witte,寂天文化  ,9789863187547,https://cdn.kingstone.com.tw/book/images/product/20180/2018052832720/2018052832720b.jpg
上班族不能不會的商務社交職場英語 （點讀擴編版）,https://www.kingstone.com.tw//basic/2018052731207?zone=book&lid=book_class3_kip&actid=book_class3_kip,LiveABC編輯部,希伯崙    ,9789864410910,https://cdn.kingstone.com.tw/book/images/product/20180/2018052731207/2018052731207b.jpg
當場用得上的商業英語會話,https://www.kingstone.com.tw//basic/2018052722212?zone=book&lid=book_class3_kip&actid=book_class3_kip,LiveABC編輯部,希伯崙    ,9789864410798,https://cdn.kingstone.com.tw/book/images/product/20180/2018052722212/2018052722212b.jpg
英文E－mail複製、替換、零失誤：亞馬遜書店讀者評價第一名！實用性、正確度最高！,https://www.kingstone.com.tw//basic/2018052700074?zone=book&lid=book_class3_kip&actid=book_class3_kip,中川萬里、 Patrick Kell等,國際學村  ,9789864540181,https://cdn.kingstone.com.tw/book/images/product/20180/2018052700074/2018052700074b.jpg
職場實用英語完全攻略 （全新增修版）,https://www.kingstone.com.tw//basic/2018031019838?zone=book&lid=book_class3_kip&actid=book_class3_kip,LiveABC編輯群,希伯崙    ,9789864415557,https://cdn.kingstone.com.tw/book/images/product/20180/2018031019838/2018031019838b.jpg
商務英文簡報技巧全攻略（20K+寂天雲隨身聽APP）,https://www.kingstone.com.tw//basic/2018052987826?zone=book&lid=book_class3_kip&actid=book_class3_kip,Ian Andrew McKinnon,寂天文化  ,9786263000414,https://cdn.kingstone.com.tw/book/images/product/20180/2018052987826/2018052987826b.jpg
和全球做生意 必備商用英文E－mail,https://www.kingstone.com.tw//basic/2018052979043?zone=book&lid=book_class3_kip&actid=book_class3_kip,LiveABC編輯群,希伯崙    ,9789864415519,https://cdn.kingstone.com.tw/book/images/product/20180/2018052979043/2018052979043b.jpg
職場英文必備實戰指南：EZ TALK 總編嚴選特刊（附QR Code.線上音檔）,https://www.kingstone.com.tw//basic/2018052928966?zone=book&lid=book_class3_kip&actid=book_class3_kip,EZ TALK編輯部,EZ叢書館  ,9789862489260,https://cdn.kingstone.com.tw/book/images/product/20180/2018052928966/2018052928966b.jpg
上班族天天在用的工作實況英文：從面試、自我介紹到談判，你會聽到的、想說的話，這裡通通都有！（附MP3,https://www.kingstone.com.tw//basic/2018052907640?zone=book&lid=book_class3_kip&actid=book_class3_kip,周梅， 溫建平,國際學村  ,9789864541270,https://cdn.kingstone.com.tw/book/images/product/20180/2018052907640/2018052907640b.jpg
深度解密！一次就上手的超實用職場英文 E－mail 即戰手冊,https://www.kingstone.com.tw//basic/2018052887225?zone=book&lid=book_class3_kip&actid=book_class3_kip,鍾君豪,捷徑文化  ,9789578904958,https://cdn.kingstone.com.tw/book/images/product/20180/2018052887225/2018052887225b.jpg
妝品英語 美妝x彩妝x保養完全攻略（附MP3）,https://www.kingstone.com.tw//basic/2018052881483?zone=book&lid=book_class3_kip&actid=book_class3_kip,LiveABC編輯群,希伯崙    ,9789864413256,https://cdn.kingstone.com.tw/book/images/product/20180/2018052881483/2018052881483b.jpg
餐旅實戰英語 （附DVD－ROM含MP3功能）,https://www.kingstone.com.tw//basic/2018052859468?zone=book&lid=book_class3_kip&actid=book_class3_kip,LiveABC編輯群,希伯崙    ,9789864412914,https://cdn.kingstone.com.tw/book/images/product/20180/2018052859468/2018052859468b.jpg
飯店服務英語800句,https://www.kingstone.com.tw//basic/2018052838142?zone=book&lid=book_class3_kip&actid=book_class3_kip,趙志敏 主編,崧燁文化  ,9789576816642,https://cdn.kingstone.com.tw/book/images/product/20180/2018052838142/2018052838142b.jpg
一本戰勝！商務英文E－mail全情境指南，商務英文書信抄這本就搞定！,https://www.kingstone.com.tw//basic/2014930051078?zone=book&lid=book_class3_kip&actid=book_class3_kip,蔡文宜,捷徑文化  ,9789869454476,https://cdn.kingstone.com.tw/book/images/product/20149/2014930051078/2014930051078b.jpg
要抄，就抄最強的英文E：mail（附1電子書）,https://www.kingstone.com.tw//basic/2018052737209?zone=book&lid=book_class3_kip&actid=book_class3_kip,韋力,我識      ,9789869357814,https://cdn.kingstone.com.tw/book/images/product/20180/2018052737209/2018052737209b.jpg
國貿與多益 一魚兩吃『考用』與『職場』大結合迅速掌握『商用英文書信』要訣！,https://www.kingstone.com.tw//basic/2014930049297?zone=book&lid=book_class3_kip&actid=book_class3_kip,洪婉婷,倍斯特    ,9789869191531,https://cdn.kingstone.com.tw/book/images/product/20149/2014930049297/2014930049297b.jpg
即選即用外貿英文書信,https://www.kingstone.com.tw//basic/2014930048375?zone=book&lid=book_class3_kip&actid=book_class3_kip,諸葛霖、王燕希,五南      ,9789571179070,https://cdn.kingstone.com.tw/book/images/product/20149/2014930048375/2014930048375b.jpg
９９%會問的：百大企業英文面試題 （MP3）,https://www.kingstone.com.tw//basic/2014941317491?zone=book&lid=book_class3_kip&actid=book_class3_kip,王郁琪,力得倍斯特,9789869075961,https://cdn.kingstone.com.tw/book/images/product/20149/2014941317491/2014941317491b.jpg
英文E－mail，抄這本就夠了 （增訂版）,https://www.kingstone.com.tw//basic/2014930046241?zone=book&lid=book_class3_kip&actid=book_class3_kip,張慈庭英語研發團隊,捷徑文化  ,9789866010620,https://cdn.kingstone.com.tw/book/images/product/20149/2014930046241/2014930046241b.jpg
職場單字簡單到不行,https://www.kingstone.com.tw//basic/2018052160540?zone=book&lid=book_class3_kip&actid=book_class3_kip,張慈庭,捷徑文化  ,9789866763595,https://cdn.kingstone.com.tw/book/images/product/20180/2018052160540/2018052160540b.jpg
商務英文書信寫作,https://www.kingstone.com.tw//basic/2018052112549?zone=book&lid=book_class3_kip&actid=book_class3_kip,有元美津世,眾文      ,9789575323394,https://cdn.kingstone.com.tw/book/images/product/20180/2018052112549/2018052112549b.jpg
商務英文會話大全,https://www.kingstone.com.tw//basic/2018052861669?zone=book&lid=book_class3_kip&actid=book_class3_kip,許瑾,含章      ,9789869769914,https://cdn.kingstone.com.tw/book/images/product/20180/2018052861669/2018052861669b.jpg
課長島耕作：職場英文EASY GO,https://www.kingstone.com.tw//basic/2018051258002?zone=book&lid=book_class3_kip&actid=book_class3_kip,一朗．巽．,平安文化  ,9789578033115,https://cdn.kingstone.com.tw/book/images/product/20180/2018051258002/2018051258002b.jpg
超強英文寫作課：英文商業書信基本範例（附MP3）,https://www.kingstone.com.tw//basic/2018052979463?zone=book&lid=book_class3_kip&actid=book_class3_kip,陶慧,布可屋    ,9789865544188,https://cdn.kingstone.com.tw/book/images/product/20180/2018052979463/2018052979463b.jpg
與國際接軌的實用職場英文（免費附贈「Youtor App」內含VRP虛擬點讀筆）,https://www.kingstone.com.tw//basic/2018052978671?zone=book&lid=book_class3_kip&actid=book_class3_kip,薛詠文,我識      ,9789869966290,https://cdn.kingstone.com.tw/book/images/product/20180/2018052978671/2018052978671b.jpg
和全球做生意商務職場必備詞彙+實用句,https://www.kingstone.com.tw//basic/2018052935797?zone=book&lid=book_class3_kip&actid=book_class3_kip,LiveABC編輯群,希伯崙    ,9789864414239,https://cdn.kingstone.com.tw/book/images/product/20180/2018052935797/2018052935797b.jpg
輕鬆駕馭英語簡報,https://www.kingstone.com.tw//basic/2018052934745?zone=book&lid=book_class3_kip&actid=book_class3_kip,空中英語教室編輯群、范雅筑,師德      ,9789869857789,https://cdn.kingstone.com.tw/book/images/product/20180/2018052934745/2018052934745b.jpg
和全球做生意 商場 & 辦公室必備英語會話,https://www.kingstone.com.tw//basic/2018052932581?zone=book&lid=book_class3_kip&actid=book_class3_kip,LiveABC編輯群,希伯崙    ,9789864414154,https://cdn.kingstone.com.tw/book/images/product/20180/2018052932581/2018052932581b.jpg
新概念900句玩轉職場英文（獨家買1送1，買紙本書送電子書）,https://www.kingstone.com.tw//basic/2018052931249?zone=book&lid=book_class3_kip&actid=book_class3_kip,賴世雄，吳紀維,常春藤    ,9789869977500,https://cdn.kingstone.com.tw/book/images/product/20180/2018052931249/2018052931249b.jpg
和全球做生意必備會議英語+LiveABC智慧點讀筆鋰電池版－16G（盒裝版）,https://www.kingstone.com.tw//basic/2018052927044?zone=book&lid=book_class3_kip&actid=book_class3_kip,LiveABC編輯群,希伯崙    ,4715838656898,https://cdn.kingstone.com.tw/book/images/product/20180/2018052927044/2018052927044b.jpg
商務英語必備指南,https://www.kingstone.com.tw//basic/2018052926702?zone=book&lid=book_class3_kip&actid=book_class3_kip,金利,崧燁文化  ,9789577359964,https://cdn.kingstone.com.tw/book/images/product/20180/2018052926702/2018052926702b.jpg
和全球做生意 必備簡報英語（互動下載版）,https://www.kingstone.com.tw//basic/2018052922254?zone=book&lid=book_class3_kip&actid=book_class3_kip,LiveABC編輯群,希伯崙    ,9789864414062,https://cdn.kingstone.com.tw/book/images/product/20180/2018052922254/2018052922254b.jpg
我的第一本職場&出國萬用E－mail攻略,https://www.kingstone.com.tw//basic/2018052919681?zone=book&lid=book_class3_kip&actid=book_class3_kip,許豪,捷徑文化  ,9789865507398,https://cdn.kingstone.com.tw/book/images/product/20180/2018052919681/2018052919681b.jpg
海外CASE輕鬆接！專為文創工作者打造的英文MAIL寫作指南,https://www.kingstone.com.tw//basic/2018052912637?zone=book&lid=book_class3_kip&actid=book_class3_kip,東販編輯部,台灣東販  ,9789865114299,https://cdn.kingstone.com.tw/book/images/product/20180/2018052912637/2018052912637b.jpg
屍速英語：活用30個學過的基本動詞，職場英語嚇嚇叫！,https://www.kingstone.com.tw//basic/2018052913429?zone=book&lid=book_class3_kip&actid=book_class3_kip,KAWASEMI Co.- Ltd.,如何      ,9789861365541,https://cdn.kingstone.com.tw/book/images/product/20180/2018052913429/2018052913429b.jpg
和全球做生意 必備會議英語（互動下載版）,https://www.kingstone.com.tw//basic/2018052913399?zone=book&lid=book_class3_kip&actid=book_class3_kip,LiveABC編輯群,希伯崙    ,9789864413928,https://cdn.kingstone.com.tw/book/images/product/20180/2018052913399/2018052913399b.jpg
辦公室英語，簡單易懂懶人包！（附CD）,https://www.kingstone.com.tw//basic/2018052909804?zone=book&lid=book_class3_kip&actid=book_class3_kip,Heo Soyoung,書林      ,9789574458813,https://cdn.kingstone.com.tw/book/images/product/20180/2018052909804/2018052909804b.jpg
20天閃電翻轉「聽.說」英語速成班！商務會話 600 句,https://www.kingstone.com.tw//basic/2018052903932?zone=book&lid=book_class3_kip&actid=book_class3_kip,金在憲,含章      ,9789869875714,https://cdn.kingstone.com.tw/book/images/product/20180/2018052903932/2018052903932b.jpg
