ISBN,書籍簡介
4715838656171,"

LiveABC智慧點讀筆介紹學習語言時，遇到不會唸的單字或句子，不是問人就是拿起翻譯機聽著死板的發音，這種學習方式己經落伍了。LiveABC智慧點讀筆邀請您一起來體驗嶄新的學習模式！LiveABC智慧點讀筆使用高品質的光學感應筆頭，書中的單字、句子、段落都可隨點隨聽，走到哪、讀到哪、聽到哪，不受任何時間地點限制，攜帶方便外型輕巧時尚，符合現代人講究方便、快速、有效的學習需求，一筆在手樂趣無窮。品名：LiveABC智慧點讀筆(鋰電池版) 產品規格●尺寸：15.1cm*2cm*1.9cm(L*W*H)●重量：36+-2公克(鋰電池)●記憶卡：16G SD記憶卡●按鍵：電源鍵、模式鍵、音量鍵●配件：USB傳輸線USBType-C cable、使用說明書、錄音/音樂卡/字典卡●原價2,800元
                    
"
9789867162847,"

本書共收錄16個專業科別，涵蓋腸胃科、心血管科、呼吸科、神經科、骨科、泌尿科、腎臟科等，是一套針對國內護校學生、專業護士，及有志前往英、美、澳等地進修護理專業課程、或從事醫護工作者的互動式教材，藉由實景拍攝的情境對話影片，可反覆練習專業英文的口語表達，同時搭配課本的護理記錄、醫學專欄等，系統化的整理使讀者能更加清楚掌握病歷內容，並以專業語彙描述病症，同時理解其相對應之診斷、治療措施，為一本聽、說、讀、寫技巧一應俱全的醫護學習教材。本書特色如下：人體圖解：整合醫護專業知識各單元開始以簡單明瞭的圖解，說明人體細部器官構造，並條列專業字彙輔以音標中譯。情境對話：加強護理英語會話技巧每課對話均依實務病例設計，分為入院、術後及出院，教授完整問診、衛教英語。護理記錄：教授護理記錄寫作技巧涵蓋英文文法、寫作規範及專業縮寫辭典，為國內同類教科書之首創。文法解析：加強重點文法概念講解實用句型及替代說法，並搭配翻譯練習，幫助讀者迅速掌握學習要點。入院記錄：提升閱讀專業英文病歷之能力病歷內容與課文情境結合，訓練護理人員以專業語彙描述病症。醫學專欄：精選醫學文章、充實醫護專業知識文章內容搭配課文，亦為「人體圖解」之延伸，培養讀者閱讀長篇專業文章之能力。並條列專業字彙音標與中譯，使讀者能充實醫護專業知識，最後輔以測驗題，在閱讀完文章後能即刻檢測自身學習成效。綜合評量：複習課文學習重點針對每單元護理筆記，以文句配對及翻譯練習的形式，幫助學生加強醫護專業詞彙之應用與理解。而針對入院記錄及醫學專欄，以多重選擇題測驗學生對整篇文章與其專業知識的熟悉程度。【全新增修版】將綜合評量重新規劃、增加醫學專欄測驗題、入院記錄補充相關醫護術語，並將其餘內容作細部修改與調整，以更加符合實務需求。

"
9789862624906,"



全球應用語言學權威、《劍橋英語百科全書》作者克里斯托，
告訴你英語如何能在短短50年間成為全球最強悍的語言。

		 

		◎作者為大英帝國勳章得主、英國國家學術院院士。
		◎第一本客觀討論英語全球發展的語言研究經典

		 

英語憑什麼？
		為什麼是英語成為全世界最多人口使用的自然語言，而不是華語、法文或西班牙語？世界語言學權威克里斯托受到美國推動英語的最大機構（美國英語協會）所託，撰寫一本直陳事實、摒棄政治偏見的世界英語發展史。這部經典基於作者的語言學專業與其撰寫《劍橋英語百科全書》所做的歷史研究，分別從歷史演變、文化背景與社會發展等各領域，深入探討英語崛起成為世界通用語言的關鍵因素與演變過程。

		 

透視英語崛起的背景與發展的全球趨勢
		在本書中，作者提出了三個問題：造成世界語言的原因為何？為何英語最有可能成為世界語言？英語未來能維持現在這種地位嗎？除了分析世界通用語言的定位、成因與必要性，作者也提出全球與普及所造成的在地語言和文化問題，例如弱勢語言被淘汰，導致特殊的民族文化整個消失，或各族群母語遭受外來語破壞，導致年輕人對自我文化的認同低落等。最後就全球的現況，探討語言發展的未來，提出種種可能與展望，例如抗拒英語的潮流、英語分裂的可能、新英語的產生。

		 

從英語發展史看世界政局變遷　
		語言的擴散是軍事加上經濟強權的後果。本書詳細闡述有史以來種種「全球語」的消長歷程及其緣由，同時也清楚地呈現歷史上自古羅馬帝國到大不列顛帝國等各強權的興衰演變，提供一個從語言了解世界的新角度。


	 

"
9789869974868,"


	Монография посвящена новому явлению русской письменной речи – формированию сложных атрибутивных конструкций, которые уже довольно давно используются в письменном английском языке. Это интересное явление свидетельствует о таких возможностях русского синтаксиса (и работающей на него морфологии), о которых прежде не подозревали. В работе справедливо подчёркивается маркированность таких конструкций: они стилистически ограничены прежде всего интернет-текстами. Это та среда, где они и зародились. Однако указанное явление уже встречается и в текстах вполне «приличных» жанров (например, в поэзии) при стремлении придать изложению разговорный характер. В исследовании производится анализ атрибутивных образований современного русского языка в разных аспектах: структурно-семантическом, лексико-семантическом и функциональном.
	 

	Книга адресована специалистам в области филологических наук, а также всем, кто интересуется проблемами языка и культуры.

	 

	本書致力於現代俄語的一種新現象—複雜定語結構的形成；相較於此，網路流行使用的英語擁有此種複雜的定語結構，已有很長的一段時間。

	 

	這個有趣的現象同時也發掘出，俄羅斯的語法具有以前未知的功能。本文強調出此種特有的定語結構：在風格上主要限於網路文本，這也是其誕生的環境。

	 

	然而，這種現象也已在相當「正式」類型的文本（例如詩歌）中可找到，也讓各種文稿更具有生活感、會話性。本書的相關研究主要在於，分析現代俄語在網路用語等不同方面的定語結構，包括結構語義、詞彙語義與功能。

	 

	這本書是針對語言科學領域的專家，以及對語言、文化問題感興趣的讀者。

	 

"
9789863189442,"


	美容美體相關科系、專業美容相關行業人士不可或缺的實用美容英語工具書！
	本書內容針對美容美體相關知識，進行有系統的專業介紹，共10大單元，包括基礎皮膚結構簡介、如何清潔保養皮膚、常見保養品成分、面膜種類與成分、芳療精油簡介以及醫學美容等專業美容英文內容。
	全書每章編排以美容主題文章，搭配課後練習、文法講解、實用例句，以及長短篇會話，輔以彩圖圖解單字、美容小常識，幫助讀者掌握美容主題與字彙，全面提升美容專業知識與溝通能力，是相關科系學生與在職進修最佳專業工具書。
	本書特色
	1. 主題文章（Article）: 每章包括一篇500字的各類美容保養知識，全書共500多個相關單字片語，搭配600張彩圖解說。文後並附閱讀測驗，方便自我檢測。
	2. 文法解析（Grammar in Use）: 每章介紹一種文法主題，採條列式說明，以淺顯文字輔以例句，深入淺出解說文法觀念。
	3. 活用例句（Practical Sentences）: 每章皆列十餘條活用文法、單字例句，提高文法複習效果與字彙應用能力。
	4. 情境對話（Dialog）: 針對章節主題，設計不同場景的生活美容會話，模擬實境，訓練口說溝通能力。
	5. 美容常識與技巧（Beauty Knowhow & Tips）: 依主題提供美容美體常識與技巧，包括基礎膚質檢測、曬傷處理、常見精油功效、芳香植物療效、精油使用禁忌、醫學美容諮詢等。
	附錄收錄文章中譯，以及英漢對照字彙表，可搭配課程或自修使用。

"
9789864414000,"


當代科技大圖解（全新增修版）
	從積體電路到建築工程，不可不知的科技新知盡在這一本！
	尖端工程 × 娛樂百匯 × 電算科學 × 科技裝置 × 智慧家庭

	近幾十年間，科技水準以驚人的速度提升，人們從仰賴書信、公共電話或以呼叫器聯繫，到現今人手一支智慧型手機，不僅人與人間的溝通變得更便捷，汲取資訊也相當容易。從宏觀的視角來看，也不難發現各種工程和建設都一再突破極限，正如作為台北地標的101大樓，除了曾在摩天樓的高度競逐中奪冠，結構內更有全球最大的防震阻尼器；這如果沒有科技的支持，勢必無法達成。

	科技的推陳出新彷彿早在人類的計畫之中，1985年的電影《回到未來》就描繪了許多對於未來（2015年）的想像，而事實證明包括全像投影、指紋辨識和智慧型眼鏡等科技都已問世，其他目標也正逐步實現。要說21世紀的我們活在科技時代，實在一點也不為過。

	有鑒於此，《How It Works知識大圖解》的編輯群特別整理了數種當代科技成就，分別從五大主題切入，帶領讀者自不同層面一覽改變日常生活的現代科技：
	尖端工程──旋轉建築、巨型水族館……過去看似不可能的建設奇蹟，如今已一一實現。
	娛樂百匯──從電玩系統到觀影設備，看科技如何豐富你我的休閒時光。
	電算科學──眾多科技產物的背後到底有什麼精密原理正在默默地運作？
	科技裝置──智慧裝置已成為21世紀隨身必備的用品，它們對我們的影響究竟有多大？
	智慧家庭──拜科技所賜，各種家庭小幫手大大減輕了人們打理家務時的負擔。

	編輯們除了期盼透過本刊，讓讀者對這些切身相關的科技有更全面的認識，也希望讀者能與我們一同思考科技之於人類過去、現在和未來的關聯。

	日新月異的技術發展固然值得歡欣，但當我們已習慣生活在科學發達的年代，許多事物都能由科技代勞時，我們是否也在不知不覺中忽略了人類的本質，只一味地聚焦於技術的精進？自然人性與科技發展該如何取得平衡？我們身而為人的價值又是什麼？或許這也是活在21世紀的人們始終必須省思的議題。

"
9789574458868,"


	零號病人、超前部署、居家檢疫的英文怎麼說？

	佛系防疫、安心就學、甩鍋等用語如何用英語表達？

	 

	疫情肆虐的時刻，宅在家裡的我們除了追劇，還可以學英文！本書緊追Covid-19爆發以來，重點時事、新聞中的關鍵詞彙，附上多方考據的嚴謹權威英譯，是寫作時的參考來源、也是閱聽疫情新聞的良伴。

	 

	交報告、討論新聞時，不必再用網路字典土法煉鋼翻譯一堆傳染病用語，也不必再用中式英文解說各種防疫措施。學習正確的公衛詞彙和防疫用語，本書將成為您最快速、實用的工具書！

	 

本書特色

	 

	■緊扣時事的關鍵英語

	■輕鬆有趣的好讀短文

	■分類清晰的豐富詞彙

	 

"
9789574458783,"


	用英語順暢表達觀點、陳述意見是現代學術及職場上越來越重要的技能。而英語辯論則可以有效訓練語言表達與邏輯思辯能力。

	 

	本書歸納八種演說、辯論時常用的論述方式，配合19個熱門的議題範例，套用對應高頻且多樣的句型，從單句到段落，逐步引導邏輯清晰的正反方論述。再加上五篇全真演辯範例，呈現精彩紮實的實戰過程，提升讀者往更高階的英語表達與辯論能力。

	 

	本書特色

	 

	1、豐富的修辭與句型，可用於各式辯論演說

	2、多樣化演辯主題，且詳列相關單字

	3、多篇正、反方情境模擬與攻防論述

"
4715838655334,"

LiveABC智慧點讀筆介紹學習語言時，遇到不會唸的單字或句子，不是問人就是拿起翻譯機聽著死板的發音，這種學習方式己經落伍了。LiveABC智慧點讀筆邀請您一起來體驗嶄新的學習模式！LiveABC智慧點讀筆使用高品質的光學感應筆頭，書中的單字、句子、段落都可隨點隨聽，走到哪、讀到哪、聽到哪，不受任何時間地點限制，攜帶方便外型輕巧時尚，符合現代人講究方便、快速、有效的學習需求，一筆在手樂趣無窮。品名：LiveABC智慧點讀筆16G●尺寸：14.6cm*3.1cm*2.4cm●重量：37.5公克(不含電池)●記憶卡：16G SD記憶卡●按鍵：電源鍵、模式鍵、音量鍵●配件：USB傳輸線、使用說明書、錄音/音樂卡、英漢字典查詢板、SD記憶卡、產品保固書、保固回函卡●原價2,600元
                    
"
9789863187783,"


本書榮獲【好書大家讀】推薦，最優質的經典暢銷書！
	全文英漢對照，蒐羅【原音重現】的史料音檔，帶您回到歷史性的那一刻！


特別收錄2首【動人歌曲】：
	1. 美國內戰時期最知名的愛國歌曲〈約翰．布朗的軀體〉（John Brown's Body）
	2. 美國人民權運動的代表歌曲〈我們終將克服難關〉（We Shall Overcome）

本書為《遇見偉大的聲音》和《感動世界的聲音》之合輯，二版增選四篇演講：
	(1) 翁山蘇姬：我們不會被遺忘（2012年）
	(2) 馬拉拉：書本和筆才是最強大的武器（2013年）
	(3) 村上春樹：牆與蛋（2009年）
	(4) 德國總理道歉演說：我深表羞愧（2005年）

	全書共精選【56篇】歷史上最具影響力、最憾動人心的英語演講，主題多元，內容豐富，篇篇各具特色。演說所觸及的領域，包括人權、政治、戰爭、和平、社會、階級、犯罪、信仰、文學、哲學、科學、醫學、人性、愛情、理想、實業、環保、動保等。

	演講中在在體現偉大無私的理念和奮鬥不懈的精神，激勵人們，打動無數的聽眾，帶給世人無限的希望，也改變了許多人的一生。

	針對每篇演講，皆提供了講者和時空背景與時代意義的【簡介】，幫助掌握演說的來龍去脈與精神。採取【英漢對照】，方便閱讀；附單字註釋及IPA音標，並以中英文定義闡釋，幫助讀者理解。

	行文間，搭配珍貴的【歷史照片】或精美插圖，並蒐羅【原音重現】的史料音檔，演說慷慨激昂、鏗鏘有力，帶您回到歷史性的那一刻，重溫這些偉大的聲音！

	本書精選的偉大演說者，包括金恩博士、林肯總統、甘迺迪總統、歐巴馬、邱吉爾、甘地、曼德拉、麥克阿瑟、卓別林、愛因斯坦、生物學家赫胥黎、哲學家羅素、海倫．凱勒、德蕾莎修女、翁山蘇姬、馬拉拉、馬克．吐溫、村上春樹、西雅圖酋長、丹諾律師、超人克里斯多夫．李維、洋基鐵馬賈里格、洛克斐勒、卡內基等，全書綻放永恆價值的光芒，閃爍人類理想的光輝。

本書收錄的演說，包括：

	【Part 1遇見偉大的聲音】

	01. 金恩博士：我有一個夢想（I Have a Dream）
	02. 林肯總統：蓋茨堡宣言（Gettysburg Address）
	03. 約翰･布朗判刑後的發言：猶如自己也同樣受縛（John Brown's Address to the Court After His Conviction）
	04. 小羅斯福總統：四大自由（The Four Freedoms）
	05. 西雅圖酋長宣言（Chief Seattle's Treaty Oration）
	06. 紅鷹酋長投降宣言：我無懼於任何人（Chief Red Eagle: Address to General Andrew Jackson）
	07. 黑鷹酋長投降宣言：我不曾做過令族人蒙羞的事（Black Hawk: Surrender Speech）
	08. 邱吉爾開戰宣言：熱血、辛勞、眼淚和汗水（Blood, Toil, Tears and Sweat）
	09. 約翰．甘迺迪：我是柏林人（Ich bin ein Berliner）
	10. 卓別林：《大獨裁者》演講片段（The Great Dictator）
	11. 印度聖雄甘地：非暴力，武力的法則（Non-Violence :The Doctrine of the Sword）
	12. 曼德拉出獄演講：邁向民主的腳步不會倒退（Our March to Freedom Is Irreversible）
	13. 麥克阿瑟國會告別演說：老兵不死，只是凋零（Old Soldiers Never Die）
	14. 愛因斯坦：武器捍衛不了國土（Arms Can Bring No Security）
	15. 英國哲學家羅素：我們該選擇死亡嗎？（Shall We Choose Death?）
	16. 海倫．凱勒：不要順從於毀滅者（Strike Against War）
	17. 集中營倖存者維瑟爾：冷漠的危險（The Perils of Indifference）
	18. 英國文學家薩克雷：論慈善與幽默（On Charity and Humor）
	19. 福克納諾貝爾得獎感言：心靈的真諦（Truths of the Heart）
	20. 洛克斐勒家訓：讓生命有意義的方法（Our Family Creed）
	21. 洋基鐵馬賈里格球場告別演說：我是世界上最幸運的人（Lou Gehrig's Farewell Speech）
	22. 馬克．吐溫：勇氣（Courage）
	23. 為老鼓忠犬辯護：忠犬禮讚（Tribute to a Dog）
	24. 丹諾律師為少年請纓：用仁慈之心行正義之事（To Temper Justice With Mercy）
	25. 「超人」李維演說：沒有不可能的事情（Nothing Is Impossible）
	26. 歐巴馬基調演說：無畏的希望（The Audacity of Hope）

【Part 2 感動世界的聲音】

	27. 美國獨立宣言（United States Declaration of Independence）
	28. 不自由，毋寧死（Give Me Liberty or Give Me Death）
	29. 傑佛遜第一次就職演說：我們的政治信念（The Creed of Our Political Faith）
	30. 林肯第二次就職演說：我們禱告的是同一個上帝（Abraham Lincoln: Second Inaugural Address）
	31. 小羅斯福第一次就職演說：我們唯一要害怕的，是恐懼本身（Franklin D. Roosevelt: First Inaugural Address）
	32. 甘迺迪就職演說：火炬已經傳給新一代的美國人（John F. Kennedy: Inaugural Address）
	33. 詹森總統：我們終將克服難關（We Shall Overcome）
	34. 麥帥西點軍校告別演說：責任、榮耀和國家（Duty, Honor, Country）
	35. 只愛美人不愛江山：愛德華八世退位宣言（Edward VIII: Farewell Address）
	36. 印度聖雄甘地：向美國呼籲（Appeal to American）
	37. 金恩博士最後的演講：我已踏上山頂（I've Been to the Mountaintop）
	38. 羅伯特･甘迺迪：金恩博士之死（On the Death of Martin Luther King）
	39. 約翰･甘迺迪總統哀悼文（Eulogy for John F. Kennedy）
	40. 羅伯特･甘迺迪哀悼文（Eulogy for Robert F. Kennedy）
	41. 麥爾坎･X：是選票還是子彈？（The Ballot or the Bullets）
	42. 曼德拉總統就職演說（Nelson Mandela: Inaugural Address）
	43. 女性黑人議員基調演說：誰能代表共同的利益？（Who will speak for the common good?）
	44. 生物學家赫胥黎：科學與藝術（Science and Art）
	45. 卡內基給年輕人的話：事業成功之道（The Road to Business Success）
	46. 馬克．吐溫：七十大壽謝辭（Seventieth Birthday）
	47. 德蕾莎修女諾貝爾獎謝辭：毀滅和平的最大兇手（Mother Teresa: Nobel Lecture）
	48. 海倫･凱勒：盲人的騎士（Helen Keller: Knights of the Blind）
	49. 民主黨全國大會演說：為愛滋請命（Show Me What You're Doing on HIV）
	50. 911 恐怖攻擊追悼詩：給美國（For America）
	51. 生物科技的世紀：生命的大哉問（The BioTech Centur
                    
"
