ISBN,書籍簡介
9789865698294,"  
打算考托福的你，英文程度已經非常優秀了

但是「優秀」就已經足夠了嗎？

讓托福命題總監Susan Chyn教你

如何從「優秀」到「完美」！

  

 你一定要看這本！

 24年美國教育考試服務中心（ETS）任職經歷

 托福命題總監、考試總監、托福iBT策劃推動者

 全球托福權威－Susan Chyn親自出馬！

 史上最強作者，給你史上最強托福測驗寶典

  

 不是權威不出書！

 唯有托福命題總監親自出馬的這一本

 才最貼近真實，最無懈可擊！

  

本書特色

  

考托福，到底可以幹嘛？

  

 托福是全球公認的英語能力檢定國際標準，出國唸書就是沒它不行！

 申請簽證、獎學金、移民，托福都能幫上忙！

 證明英語實力，讓你未來的老闆瞠目結舌（更重要的是會幫你加薪）！

  

 有這麼多用處，可是托福口說好難，怎麼辦？沒問題！要準備，就看最權威的！

  

超權威Point1.命題總監說：寫作最忌剛愎自用！考前先看看高手們都怎麼下筆，從中找到托福高分的不傳秘密！

  

 托福寫作不是寫日記、自己開心就好。多看命題總監親選的高分範例，找到每位考官都喜歡的寫作特點，才能完美命中考官胃口拿高分！

  

 很多人在寫作時，常常會犯一個毛病：主觀地認為自己寫的東西很棒，卻沒有從他人客觀的視角檢視，導至上考場時發生「我覺得我寫得很好，為什麼不瘦考官青睞？」。沒錯！或許真的是考官有眼不視泰山，有才華的你需要伯樂發掘，但請記得，托福是場即時的考試，沒有「時間能證明一切」的機會，所以還是認命吧！比起自己賭氣、跟分數過意不去，不如趕緊搞懂考官們的閱卷胃口，從各位高手的範例中找到高分秘訣，才是打敗托福寫作的唯一方法！

  

超權威Point2.命題總監說：與其絞盡腦汁想呀想，不如托福絕對高分模板照著填就能拿到高分，何樂而不為？

  

 命題總監Susan Chyn於本書中特別整理出考官最愛的高分模板，照著填照著寫就能拿分數，根本就超作弊！

  

 如果你覺得，光是參考高手的高分範例還不夠，自己看了老半天還是看不出端倪來，或者考試已經迫在眉睫，來不及啦，急需一個完美的臨時抱佛腳計畫時，想問：有沒有「更作弊」的方法？答案是：「當然有」！這次命題總監Susan Chyn特地彙整出超多超作弊的高分模板，只要按這個模板的格式、照著填、照著寫，分數就能一分一分不費吹灰之力地穩穩進帳！這麼簡單又偷吃步的好方法，買書的自己知道就好，千萬不要到處張揚呀！

  

超權威Point3.命題總監說：學會換句話說！讓你的寫作內容更加豐富精采！考官看了嘖嘖稱奇！

  

 寫作時，同一個句子不斷重複，只會讓人覺得你詞窮了……懂得正確的「換句話說」，讓你寫作文章句句都是重點，主旨內文都強而有力！

  

 寫作時最怕的，就是同一個重點卻用同一句話從頭寫到尾，感覺就像是詞窮了，只能不斷重複再重複……真正的高手在寫作時，會將重點或概念，以不同的句子去呈現，讓整篇文章、論述看起來豐富多變又精彩，卻又不會離題，持續敘述你想表達的核心重點！想要有這等功力，平時就要多訓練自己「換句話說」的技巧，讓考官在閱卷時點頭如搗蒜，對你寫作的文章無不豎起大拇指，為你讚嘆，給你加分！

  

超權威Point4.市面上全真模擬試題這麼多，但毫無疑問地，當然要選托福命題總監親擬的這一本，才最貼近真實，最無懈可擊！

  

 坊間的「全真模擬試題」就算再擬真，充其量也不過是「接近」真實考題而已……

  

 但是！這本不一樣！由托福命題總監親自出題的擬真試題，根本是游走在「洩題」的邊緣，真的超級作弊，超級貼近真實！加上全真錄音MP3，還沒上考場就可以先在家裡身歷其境，對於考前緊張症候群的你正是最好的選擇！其他考生還在皮皮剉的時候，只有你答得安心、寫得放心，不會漏掉任何關鍵資訊。因為……你早就已經練過了！

  

搞定托福iBT寫作，真的就是要靠權威來幫你！ "
9789862488959,"  
托福閱讀考試包含許多主題，
題目會詢問文章內容、推論結果，甚至要求考生把細節分類。
長文的廣度和深度對考生是很大的挑戰。
本書涵蓋完整教學與大量練習，將幫您拿下高分！

	 
本書特色

1.配合托福改制：
	*介紹新制改版差異。
	*模擬試題符合新制規格，每題組10道題。
	 
2.提供自我檢測，破除閱讀盲點
	* 對應檢測表能看出自己錯誤的題目類型，方便考生針對自身弱項，加強練習。
	 
3.按照題目和主題類型分類，一次搞懂10種題目類型╳12個學術主題的解題技巧
	*包括題型介紹、題目範例與答題策略。
	 
4.答題策略提供答題技巧，以文字和拉線方式詳述
	*所有題型皆提供詳盡的答題策略，提供完整答題技巧與心法。
	 
5.28篇學術主題文章╳5處筆記區╳9篇字彙練習，2回完整模擬試題
	*「題目類型」架構：題型介紹→題目範例→題型範例→答題策略→2個練習題組→筆記區→單字複習
	*「主題練習」架構：3個練習題組→單字複習
	 
6.筆記填空練習，鍛鍊找重點技巧
	*筆記填空練習幫助學生從長文中找出文章重點並做筆記，培養迅速找重點能力。
	 
7.所有文章皆附贈音檔，同樣主題可用來鍛鍊聽力
	所有閱讀教學與練習文章皆附贈音檔，可拿來當作鍛練聽力，加強聽力分數。
	 
名人推薦
	 
	托福119分英文教學YouTuber—卡娜 Cana Ko
	LINDSAY SAT名師—Brett 林熙老師
	留美知名YouTuber—iamZOEY何
	托福名師—譚歆老師
	國際新聞記者—翁琬柔
	英語教育專家—許雅寧老師
	（按姓名筆畫順序排列）
	 
托福119分英文教學YouTuber—卡娜 Cana Ko
	「EZ叢書館配合新制托福出版的《TOEFL iBT 新制托福閱讀指南》含有考生必知詳細的考試資料，閱讀題型、排版分類非常像真實考題，讓考生可以輕鬆有效率迎戰托福考試！」
	 
LINDSAY SAT名師—Brett 林熙老師
	「這本書完整清楚的介紹托福閱讀的結構與各類題型，讓新手考生能夠快速掌握托福閱讀考點與技巧。是上手托福閱讀很好的一本書！」
	 
托福名師—譚歆老師
	「令人驚艷的托福參考書：系統化的題型分類、不藏私的技巧說明，最後還來個額外練習。讓同學們輕鬆考高分！」 "
9789865694326,"  
本書特色

	本書各回測驗均融入ITP托福文法常見題型，建議與拙著《TOEFL-iBT高分托福文法120》一起搭配使用，以收整體理解和歸納之效。
	本書各回測驗之後均附解答與分析，包括：題型分析，答案核對表，和解題焦點。
	其中，題型分析可讓讀者熟悉ITP托福文法測驗的趨勢導向以及各文法主題所佔的份量。
	其次，答案核對表提供簡明的標準答案一覽表，以利快速自我檢評。
	最後，解題焦點中將文法題，逐一提示譯文、解題重點與相關要領，並指引考生參閱《TOEFL-iBT高分托福文法120》中的題源出處，裨益考生提升解題能力。

行家推薦

	•「TOEFL-iBT高分托福詞彙120」一書與一般坊間的詞彙書比較，面貌完全不同。不但涵蓋豐富的詞彙與閱讀資料，引用主題也深具時代意義，而且在譯解上更精益求精，的確能與時而俱進，不愧是一本好書...
	前台大語言學研究所所長 黃宣範教授

	•這本書所選的單字跟我最近去考的托福測驗竟然幾乎相符，真是選字精準的一本好書啊！
	高雄寰宇外語中心班主任 林神龍先生

	•賴水信的高分托福文法是很棒的一本書，一開始做文法的時候會習慣性的靠語感答題，總是認為自己是對的，可是出來成績又很慘，這本書幫我釐清了很多觀念…如果把賴水信整本唸完觀念都通的話，考托福文法應該就沒問題了。
	部落格讀者「背光飛行」

	•至於參考書籍，我可以推薦你一本「高分托福文法」賴永信編著，我覺得他整理得很不錯。如果你覺得需要一本準備TOEFL的文法參考書，可以考慮買這一本。
	部落格讀者「風沙星辰」

	•寫作和文法的部分，可以參考－「高分托福文法」賴水信著，趙御荃老師推薦，她說她以前考托福時就是靠這一本而已。也許有人覺得現在又不考文法，不過，寫作也需要文法，文法不通或錯誤，寫作一樣寫不出來。這本書裡面超詳細的內容也讓我建立不少文法觀念，而且它裡面的句子或是練習真的都是針對托福去設計的。
	批踢踢托福版網友 "
9789862488591,"  
	推薦這本書給第一次考托福、想了解托福考試、想拿高分者

	托福考試包含生活對話＋學術講課，
	學術講課又涵蓋許多領域，應該從何準備？
	題目會詢問文章主旨、細節，問你教授對某事物的想法。
	若缺乏有效率的教學方式，就只能花錢買經驗了！
	看完本書，讓你知道怎麼考，考什麼，並做好拿高分的準備！

	六大特色：
	1. 配合托福改制：
	*介紹新制改版差異。
	*模擬試題符合新制規格，減少一篇長篇演講（6 題）。

	2. 自我檢測最有效：提供自我檢測，破除聽力盲點
	 對應檢測表能看出自己有錯的題目，對應表格，可看出題目的類型、常考頻率、課本對應頁數，方便考生針對自身弱項，加強練習。

	3. 教學最有系統：把文章和題目分類，一次搞懂10種文章類型╳7種題型的解題策略
	*包括題型介紹、題目範例、出現頻率與答題策略。

	4. 練習最完整：15個對話╳22篇講課╳28篇聽寫練習╳6篇字彙練習，1回完整模擬試題
	*「題目類型」架構：題型介紹→題目範例→出現頻率→答題策略→2個練習題組→聽寫
	*「文章類型」架構：常聽到的句型→2個練習題組→2篇聽寫

	5. 鍛鍊基本功：加強字彙，養成聽關鍵字、作筆記、寫逐字稿的好習慣
	*單字複習，幫助學生培養字彙能力。
	*聽寫練習，培養考生專注力與內文理解力。

	6. 解說最詳盡：中英對照的解說幫助理解
	*在每個Part後面，提供中英對照聽力稿與題目翻譯、解說、相關單字、背景知識，與補充的學術知識，讓學生理解答題邏輯，並對這類學術講課題目更了解。 "
9789575324957,"  
全球考試用書權威BARRON’S獨家授權
用3步驟往托福寫作之路全速衝刺，直奔高分！
收錄193則托福iBT寫作頻考題及高分範本！
警告！猜題率太準，考生可以參考寫作內容架構，但千萬不可照抄！


 托福iBT寫作測驗分為「整合題」與「獨立題」兩部分。「整合題」部分，考生需要閱讀一篇短文並聆聽一段授課音檔，從中歸納並比較兩者的論點；「獨立題」部分，考生需要針對一道申論題目，提出意見並以條理清楚的邏輯論述。對考生而言，托福iBT寫作測驗因為融合了聽力與寫作，是相當頭痛的項目。

 本書由考試用書權威BARRON’S獨家授權。作為全球考用書第一品牌，BARRON’S非常重視書籍對考生的實際幫助與成效。書中的寫作3步驟，便是針對托福寫作的「整合題」與「獨立題」所設計的寫作攻略，透過「構思、寫作、修改」3步驟與大小練習，拆解寫作的每一個環節，一步步指引考生寫出一篇架構清楚、論點清晰、邏輯正確的文章。

 除了寫作3步驟，本書另收錄托福iBT寫作測驗一出再出的193則考題，並附上高分寫作範本，考生務必全部看過。但要提醒考生，這些題目皆為頻考題，考生千萬不可照抄範本，以免閱卷者認為考生背誦範本而給予低分。考生可以參考範文的內容架構，利用寫作3步驟反覆練習，絕對可以取得托福寫作高分！

 最後，本書提供4回模擬試題，並附整合題授課音檔，讓考生多次實際演練，熟悉測驗節奏，以便在考場上從容應戰！

本書特色

 ■3步驟寫作技巧
 教導考生寫作3步驟及技巧，迅速完成整合題與獨立題寫作

 ■193則常見考題
 收錄193則托福寫作常見考題，並附上高分範本供考生學習

 ■4回模擬試題
 提供4回寫作模擬試題，幫助考生完整練習並進行考前衝刺 "
9789865698270,"  
打算考托福的你，英文程度已經非常優秀了

但是「優秀」就已經足夠了嗎？

讓托福命題總監Susan Chyn教你

如何從「優秀」到「完美」！

  

 你一定要看這本！

 24年美國教育考試服務中心（ETS）任職經歷

 托福命題總監、考試總監、托福iBT策劃推動者

 全球托福權威－Susan Chyn親自出馬！

 史上最強作者，給你史上最強托福測驗寶典

  

 不是權威不出書！

 唯有托福命題總監親自出馬的這一本

 才最貼近真實，最無懈可擊！

  

本書特色

  

考托福，到底可以幹嘛？

  

 托福是全球公認的英語能力檢定國際標準，出國唸書就是沒它不行！

 申請簽證、獎學金、移民，托福都能幫上忙！

 證明英語實力，讓你未來的老闆瞠目結舌（更重要的是會幫你加薪）！

  

 有這麼多用處，可是托福口說好難，怎麼辦？沒問題！要準備，就看最權威的！

  

超權威Point1.命題總監說：時間不夠又怎樣！只要懂得怎麼做快速又好記的筆記，就能突破時間的障礙！

  

 每次考聽力和閱讀，都覺得是在和時間賽跑，看／聽了一個就忘了一個，搞得自己神經兮兮好緊張，不失常的都會失常……

  

 有些考試是不允許記筆記的，因此在準備時，大家常會忽略這一項。但托福可以記筆記，所以考生應儘早開始訓練，嘗試用各種不同方式記筆記，所以說，想要凍結托福考試時間，並非天方夜譚，只要善用手中的紙筆就可以！本書提供大量的抄筆記策略，簡單快速又好記難忘，例如：以箭頭符號（→）來表示「引起」、「造成」；以大於或小於符號（>；<）表示「比較喜歡」、「優於」、「較好」、「較大」等等意思，讓你把所聽所看都化為符號，就能擺脫時間壓力，順利答題！

  

超權威Point2.命題總監說：偷跑有技巧，讓你答題更快，更準！能夠預測下文的人，就能掌握整場托福考試！

  

 程度中上的考生能夠針對問題選出正確解答，但高手考生，早在聽完題目以前，就能直接寫出解答啦，這就是「猜題」的高深學問！

  

 預測下文的能力，對於任何希望取得新托福考試高分的考生來說，都非常非常地重要。在聽學術類講座時，如果能預知下文將要呈現的資訊，那作答速度就會快上許多（再次突破時間的障礙，甚至超越了時間！）。而且，只要預測出下文，就能有多於的時間、心力去快地抓住其他要點、更準確地記下關鍵資訊。在聽講座或對話時，考生如果能預測到教授接下來很可能會講什麼，那麼即使沒聽出一兩個單字，也不必過於擔心，因為你已經十之八九能夠寫出正確的答案了！。

  

超權威Point3.命題總監說：只要抓到文章的大特點和小重點，就算用猜的，也能猜出不可思議的超高分！

  

 能在有限時間內看／聽完，且清楚整篇文章，算你行！不過我更厲害，因為我只要抓到重點，就算沒有全部理解，也能寫出正解！

  

 一篇文章中的「大」特點有很多，例如文章的組織結構，或例如作者開始談論某個歷史事件的方式，理解教授在講座中提供範例的能力也是一種重要的技巧。當考生抓住了篇章的整體，就能進行更細的資訊處理。這樣即使不認識文章裡的某些單字，也能基本理解文章的主要意思！另外，也要注意文章細節，例如單字的發音方式等等，也包括在學術類閱讀文章、講座和對話中使用的字彙、片語。考生一定都希望記住經常出現在新托福考試中的單字和片語，因此本書列出了大量這類單字和片語。

  

超權威Point4.市面上全真模擬試題這麼多，但毫無疑問地，當然要選托福命題總監親擬的這一本，才最貼近真實，最無懈可擊！

  

 坊間的「全真模擬試題」就算再擬真，充其量也不過是「接近」真實考題而已……

  

 但是！這本不一樣！由托福命題總監親自出題的擬真試題，根本是游走在「洩題」的邊緣，真的超級作弊，超級貼近真實！加上全真錄音MP3，還沒上考場就可以先在家裡身歷其境，對於考前緊張症候群的你正是最好的選擇！其他考生還在皮皮剉的時候，只有你答得安心、寫得放心，不會漏掉任何關鍵資訊。因為……你早就已經練過了！

  

搞定托福iBT閱讀聽力，真的就是要靠權威來幫你！ "
9789865698287,"  
打算考托福的你，英文程度已經非常優秀了

但是「優秀」就已經足夠了嗎？

讓托福命題總監Susan Chyn教你

如何從「優秀」到「完美」！

  

 你一定要看這本！

 24年美國教育考試服務中心（ETS）任職經歷

 托福命題總監、考試總監、托福iBT策劃推動者

 全球托福權威－Susan Chyn親自出馬！

 史上最強作者，給你史上最強托福測驗寶典

  

 不是權威不出書！

 唯有托福命題總監親自出馬的這一本

 才最貼近真實，最無懈可擊！

  

本書特色

  

考托福，到底可以幹嘛？

  

 托福是全球公認的英語能力檢定國際標準，出國唸書就是沒它不行！

 申請簽證、獎學金、移民，托福都能幫上忙！

 證明英語實力，讓你未來的老闆瞠目結舌（更重要的是會幫你加薪）！

  

 有這麼多用處，可是托福口說好難，怎麼辦？沒問題！要準備，就看最權威的！

  

超權威Point1.命題總監說：會講英文，沒什麼大不了的，但會說出「道地發音、正確重音」的英文的人，就能拿到最高分！

  

 為什麼「英文不太好」會成為我們對日本人的刻板印象？追根究柢，就是他們的發音問題！所以想突破托福，就一定要擺脫你的發音障礙！

  

 托福強調的是「最道地的英文」，因此，考生口說時的重音（抑揚頓挫），以及正確的發音方式，將會影響到這一部分的分數評比。托福命題總監Susan Chyn這次特別將考生容易混淆的重音與發音問題列入本書當中，並在重音處以粗體字作記，例如：複合名詞的重音通常在第一音節（background；laptop）而複合動詞則會在第二音節（uproot；understand），命題總監獨門的方法，讓考生可以在最短時間內，熟悉最貼近外國人的發音方式，讓你不必出國、不必請外籍家教，就可以說的像個真正的外國人！

  

超權威Point2.命題總監說：不要只會做選擇題了，一點意義也沒有！把文法帶到口說中，有效運用，才是滿分關鍵！

  

 關於文法，很多華人在遇到選擇題時沒有問題，卻無法在實戰口說中運用……但這才是口試滿分與否的關鍵呀！還不快把握！

  

 寫作時文法運用如流，因為就算寫錯，還能有機會再修正：但口說一旦說錯，就容易被看破手腳，所以很多人對於口說存有障礙，導致永遠不敢開口講出像寫作時一樣、結構較複雜的文法句型，結果就是口說內容一成不變，毫無吸引力……ETS評分準則指出，「對文法的有效應用」是得到滿分四分重要條件之一，因此，只要抓中正確的口說策略，例：使役動詞（allow，make，help，require等等）的運用，就能將原本不具特色的說話內容變得很有特色，連命題總監都對你的口說感到嘖嘖稱奇！

  

超權威Point3.命題總監說：考托福光是英文好還不夠！口說要連貫、銜接的漂亮，一氣呵成，才是真高手！

  

 「會開口說出英文句子」與「會完整、有邏輯的英文口說」是截然不同的！從今擺脫片段式的英文口說，將它們一口氣串連起來吧！

  

 所謂真正的「會開口說英語」，指的並非是一句一句片段式的敘述，而是能夠有邏輯地將一個完整的論述、有趣的故事，以許多片段句子加以整合、連結、進而成為一個具連貫性的集合，讓考官聽完後除了對你的基礎英文能力感到滿意以外，也對你的表達與邏輯思維大大地加分。要將句子完美地接合起來，最簡單的方法就是如介系詞、連接詞、冠詞等等，另外，命題總監Susan Chyn也在本書中題到一些加強文句銜接性的策略，讓身為考生的你，在闡述觀點的能力上大進擊，答題無往不利！

  

超權威Point4.市面上全真模擬試題這麼多，但毫無疑問地，當然要選托福命題總監親擬的這一本，才最貼近真實，最無懈可擊！

  

 坊間的「全真模擬試題」就算再擬真，充其量也不過是「接近」真實考題而已……

 但是！這本不一樣！由托福命題總監親自出題的擬真試題，根本是游走在「洩題」的邊緣，真的超級作弊，超級貼近真實！加上全真錄音MP3，還沒上考場就可以先在家裡身歷其境，對於考前緊張症候群的你正是最好的選擇！其他考生還在皮皮剉的時候，只有你答得安心、寫得放心，不會漏掉任何關鍵資訊。因為……你早就已經練過了！

  

搞定托福iBT口語，真的就是要靠權威來幫你！ "
9789865698355,"  
打算考托福的你，英文程度已經非常優秀了

但是「優秀」就已經足夠了嗎？

讓托福命題總監Susan Chyn教你

如何從「優秀」到「完美」！

	 

	你一定要看這套！

	24年美國教育考試服務中心（ETS）任職經歷

	托福命題總監、考試總監、托福iBT策劃推動者

	全球托福權威－Susan Chyn親自出馬！

	史上最強作者，給你史上最強托福測驗寶典

	 

	不是權威不出書！

	唯有托福命題總監親自出馬的這一套

	才最貼近真實，最無懈可擊！

	 

本書特色

	 

	考托福，到底可以幹嘛？

	托福是全球公認的英語能力檢定國際標準，出國唸書就是沒它不行！

	申請簽證、獎學金、移民，托福都能幫上忙！

	證明英語實力，讓你未來的老闆瞠目結舌（更重要的是會幫你加薪）！

	 

超權威Point1.命題總監說：時間不夠又怎樣！只要懂得怎麼做快速又好記的筆記，就能突破時間的障礙！

	 

	每次考聽力和閱讀，都覺得是在和時間賽跑，看／聽了一個就忘了一個，搞得自己神經兮兮好緊張，不失常的都會失常……

	 

	有些考試是不允許記筆記的，因此在準備時，大家常會忽略這一項。但托福可以記筆記，所以考生應儘早開始訓練，嘗試用各種不同方式記筆記，所以說，想要凍結托福考試時間，並非天方夜譚，只要善用手中的紙筆就可以！本書提供大量的抄筆記策略，簡單快速又好記難忘，例如：以箭頭符號（→）來表示「引起」、「造成」；以大於或小於符號（>；<）表示「比較喜歡」、「優於」、「較好」、「較大」等等意思，讓你把所聽所看都化為符號，就能擺脫時間壓力，順利答題！

	 

超權威Point2.命題總監說：偷跑有技巧，讓你答題更快，更準！能夠預測下文的人，就能掌握整場托福考試！

	 

	程度中上的考生能夠針對問題選出正確解答，但高手考生，早在聽完題目以前，就能直接寫出解答啦，這就是「猜題」的高深學問！

	 

	預測下文的能力，對於任何希望取得新托福考試高分的考生來說，都非常非常地重要。在聽學術類講座時，如果能預知下文將要呈現的資訊，那作答速度就會快上許多（再次突破時間的障礙，甚至超越了時間！）。

	 

	而且，只要預測出下文，就能有多於的時間、心力去快地抓住其他要點、更準確地記下關鍵資訊。在聽講座或對話時，考生如果能預測到教授接下來很可能會講什麼，那麼即使沒聽出一兩個單字，也不必過於擔心，因為你已經十之八九能夠寫出正確的答案了！。

	 

超權威Point3.命題總監說：只要抓到文章的大特點和小重點，就算用猜的，也能猜出不可思議的超高分！

	 

	能在有限時間內看／聽完，且清楚整篇文章，算你行！不過我更厲害，因為我只要抓到重點，就算沒有全部理解，也能寫出正解！

	 

	一篇文章中的「大」特點有很多，例如文章的組織結構，或例如作者開始談論某個歷史事件的方式，理解教授在講座中提供範例的能力也是一種重要的技巧。當考生抓住了篇章的整體，就能進行更細的資訊處理。這樣即使不認識文章裡的某些單字，也能基本理解文章的主要意思！另外，也要注意文章細節，例如單字的發音方式等等，也包括在學術類閱讀文章、講座和對話中使用的字彙、片語。考生一定都希望記住經常出現在新托福考試中的單字和片語，因此本書列出了大量這類單字和片語。

	 

超權威Point4.命題總監說：會講英文，沒什麼大不了的，但會說出「道地發音、正確重音」的英文的人，就能拿到最高分！

	 

	為什麼「英文不太好」會成為我們對日本人的刻板印象？追根究柢，就是他們的發音問題！所以想突破托福，就一定要擺脫你的發音障礙！

	 

	托福強調的是「最道地的英文」，因此，考生口說時的重音（抑揚頓挫），以及正確的發音方式，將會影響到這一部分的分數評比。托福命題總監Susan Chyn這次特別將考生容易混淆的重音與發音問題列入本書當中，並在重音處以粗體字作記，例如：複合名詞的重音通常在第一音節（background；laptop）而複合動詞則會在第二音節（uproot；understand），命題總監獨門的方法，讓考生可以在最短時間內，熟悉最貼近外國人的發音方式，讓你不必出國、不必請外籍家教，就可以說的像個真正的外國人！

	 

超權威Point5.命題總監說：不要只會做選擇題了，一點意義也沒有！把文法帶到口說中，有效運用，才是滿分關鍵！

	 

	關於文法，很多華人在遇到選擇題時沒有問題，卻無法在實戰口說中運用……但這才是口試滿分與否的關鍵呀！還不快把握！

	 

	寫作時文法運用如流，因為就算寫錯，還能有機會再修正：但口說一旦說錯，就容易被看破手腳，所以很多人對於口說存有障礙，導致永遠不敢開口講出像寫作時一樣、結構較複雜的文法句型，結果就是口說內容一成不變，毫無吸引力……ETS評分準則指出，「對文法的有效應用」是得到滿分四分重要條件之一，因此，只要抓中正確的口說策略，例：使役動詞（allow，make，help，require等等）的運用，就能將原本不具特色的說話內容變得很有特色，連命題總監都對你的口說感到嘖嘖稱奇！

	 

超權威Point6.命題總監說：考托福光是英文好還不夠！口說要連貫、銜接的漂亮，一氣呵成，才是真高手！

	 

	「會開口說出英文句子」與「會完整、有邏輯的英文口說」是截然不同的！從今擺脫片段式的英文口說，將它們一口氣串連起來吧！

	 

	所謂真正的「會開口說英語」，指的並非是一句一句片段式的敘述，而是能夠有邏輯地將一個完整的論述、有趣的故事，以許多片段句子加以整合、連結、進而成為一個具連貫性的集合，讓考官聽完後除了對你的基礎英文能力感到滿意以外，也對你的表達與邏輯思維大大地加分。要將句子完美地接合起來，最簡單的方法就是如介系詞、連接詞、冠詞等等，另外，命題總監Susan Chyn也在本書中題到一些加強文句銜接性的策略，讓身為考生的你，在闡述觀點的能力上大進擊，答題無往不利！

	 

超權威Point7.命題總監說：寫作最忌剛愎自用！考前先看看高手們都怎麼下筆，從中找到托福高分的不傳秘密！

	 

	托福寫作不是寫日記、自己開心就好。多看命題總監親選的高分範例，找到每位考官都喜歡的寫作特點，才能完美命中考官胃口拿高分！

	 

	很多人在寫作時，常常會犯一個毛病：主觀地認為自己寫的東西很棒，卻沒有從他人客觀的視角檢視，導至上考場時發生「我覺得我寫得很好，為什麼不瘦考官青睞？」。沒錯！或許真的是考官有眼不視泰山，有才華的你需要伯樂發掘，但請記得，托福是場即時的考試，沒有「時間能證明一切」的機會，所以還是認命吧！比起自己賭氣、跟分數過意不去，不如趕緊搞懂考官們的閱卷胃口，從各位高手的範例中找到高分秘訣，才是打敗托福寫作的唯一方法！

	 

超權威Point8.命題總監說：與其絞盡腦汁想呀想，不如托福絕對高分模板照著填 "
9789869285506,"  
踏出iBT學術考試「勝」利的第一步！
 讓《iBT新托福學術字彙「勝」：必背精華版》Show You HOW！

  

關鍵在於熟悉學術相關閱讀，特別從歷史、文化、科學科技、行銷商業、自然地理到人文藝術7大類型著手，從閱讀吸收字彙！

  

★ 《iBT新托福學術字彙》一書必「勝」特色、考生必「備」理由：
  

於閱讀文章編寫上……
 1. 精選58篇學術文章，以歷史、文化、科學科技、行銷商業、自然地理到人文藝術篇分類。

  

 2. 雙篇閱讀皆與該單元主題相關：
 ①. 第一篇→較有難度
 ②. 第二篇→少了些沉重的知識
 ③. 兩篇皆具專業度、刺激考生的批判思考能力！

  

於字彙收錄篩選上……
 1. 雙篇閱讀中的單字：
 延伸的同反義字＋關鍵例句 → 字彙量不再受閱讀所限制，而能有更效延伸、拓展。

  

 2. 透過文章分類：
  替大腦劃分記憶區塊＋延伸字彙也能和雙篇閱讀與文章類型有效連結 → 大大提升iBT學術字彙量！

  

Bonus特色：於雙篇閱讀後另有【iBT新托福字彙閱讀應試技巧】，題目由筆者設計，加深考生對字彙的印象，更能提升閱讀及批判思考能力，一舉數得。

  

搭配MP3用『聽』的記憶單字，效果加倍！ "
9789577299895,"  
■ 名師教戰突破盲點，掌握聽力備考關鍵

	 

	iBT托福除了聽力測驗，口說測驗、寫作測驗部分也都包含聽力整合題型，因此英語聽力在托福考試中是相當重要的指標能力。對於許多缺乏聽力訓練環境的考生而言，在備考上更是最大的壓力所在！

	 

	本書由高點登峰美語托福名師 任紹維老師依據豐富輔考經驗，為考生診斷出聽力測驗最需突破的幾大盲點，幫助考生得以正確掌握備考方向，增加應考自信心！

	 

■ 外觀與內涵皆高度擬真的托福模擬試題，全方位建構托福聽力滿分地圖

	 

	本書共包含4回完整的托福聽力測驗模擬試題、逐題解答解析以及文章翻譯。試題的難易度、長度、學科主題和題目的類型，皆與 TOEFL iBT 真題一致，是考生備考、檢測實力不可或缺的擬真試題本。

	 

	事實上，托福測驗出題的學科、命題的重點及題型都有固定的範疇與形式。因而本書各回測驗所收錄之學科主題皆經過審慎安排，考生只要確實進行模擬測驗，並依個人較不熟悉的學科內容作知識及重點字彙補強。再加上徹底透析專為考生解密的「聽力測驗八大題型」，必能輕鬆掌握在實際測驗中的聆聽重點，一試高分！ "
