ISBN,書籍簡介
9789869616737," 廣收科技、資訊、經貿、觀光旅遊等新詞。字彙豐富，輕巧且攜帶方便，適合各界讀者需要。 "
9789864294190," 辭典收錄六千字以上，依教育部頒布、審訂的標準字體、標準國字筆順與一字多音審訂表編輯；各字注音完備，附完整筆順，多數字標示字形演變，多數語詞附例句。字體大，閱讀舒適，並有生動的插圖；附三種檢索方式及實用的附錄，  內容新且豐富實用，是讀者不可或缺的工具書。 "
9781625031327,"  
 《傳世漢英寶庫》全套三冊，分別為第一輯：正文篇（ISBN-9781625031327）、第二輯：細目索引與中文索引篇（ISBN-9781625031334）、第三輯：中文索引查字表與英文索引篇（ISBN-9781625031341）。三冊一函合購原價新台幣2500元。

  

 《傳世漢英寶庫》被認為是唯一正確表達中華語言與觀念的辭典，辭條列有英美漢學家譯著與國際通訊社新聞稿的權威出處。一位辭典學家曾以《傳世漢英寶庫》之前身為研究對象，在亞洲辭書學會學術會議或類似國際會議上，分別以英文、中文發表四篇論文，讚許其在漢英辭典編寫上的革新。  "
9789620056901,  全書共收常用條目二萬七千餘條，包括成語、諺語、歇後語等，本詞典精心挑選一些常用但在翻譯上可能會引起困難的固定詞組，如：買關子、跌破眼鏡、換湯不換藥、騎虎難下、拐彎抹角。兼收政治、經濟、科學、醫學等領域中，一些常用之專門術語，如：無記名投票、普選、貿易逆差、個體戶、安樂死、心電圖、光碟、核心家庭等。注重收錄漢語常用詞，提供準確道地的英文翻譯，照顧讀者在寫作和翻譯上的需要。釋義準確，一部漢英辭典最重要的就是英文釋義。釋義的目的不在於讓讀者理解詞頭的意義，而是幫助讀者用英文表達詞頭的意思。所有英語翻譯均力求準確道地，詞典中的英文翻譯，均由香港中文大學翻譯系陳善偉教授審訂。所有條目均配上漢語拼音及國字注音，並提供全面的詞性標注，如：動詞、名詞、形容詞等。檢索方法包括筆畫、部首、漢語拼音和國語注音，便於讀者選擇最快捷的檢字方法，兼顧不同讀者的需求。12頁全彩色插圖，以專題形式介紹10類富中華文化色彩的事物，包括中式食品、中醫、中樂器、古代建築等，以便讀者形象地學習這些詞語的英文表達方法，並提供準確的英文翻譯。正文後有十個附錄，包括中港台三地的主要政府部門和首長名稱、世界地名、中國歷史朝代公元對照檢表等，為讀者提供額外的實用資料。 
9789570521092," 本書原為民國35年重慶商務印書館編輯出版，收集約三萬個詞條。如今為增進原書效用，一方面增加詞條為五萬個，一方面加入注音符號索引，以方便一般民眾檢索。 "
9789576126987," 1.尺寸超迷你，攜帶方便，隨處可查。 2.依照教育部頒發標準字體。 3.採教育部頒發「一字多音審訂表」。 4.同時滿足學習英語及中文兩種需求。 5.全書雙色印刷，版面清析查閱方便。 ※一盒18本，共有4種顏色，分別為（紫、綠、橙、藍） "
9789576124624," 本書特色
　本書是專門給全世界華文的學校及學生所使用的拼音字典。近年來詞語不斷增加，所以本書收錄不少新增的詞語。

　本書收錄了四千餘常用的中國字及超過四萬的成語及詞彙。並且在每個字及詞底下皆附上拼音及英文解釋。

　並收錄了最新有關資訊的詞語，並增加了拼音的索引，使查詢更方便。 "
,0
9789576123535," 遠柬袖珍漢英辭典
　本辭典內容豐富，廣收科技、經貿、觀光旅遊等詞語及日常生活用詞，取材兼具現代化與實用性。

　收錄單字八千餘，詞條三萬餘，所有詞條並加注國語注音。為方便讀者查閱，本辭典採用部首筆畫、國語拼音、漢語拼音三種索引。

　新詞最多，如：人工智慧、伺服器、健康食品、偷渡客、半導體、唯讀光碟、單親家庭、多媒體、煙毒勒戒所、網際網路、美元升值、行動電話、銀行擠兌、陪產假、雷射影碟、電子邸件、頂克族。高空彈跳等。 "
9789570510546,"  
	袖珍漢英詞典 "
