ISBN,書籍簡介
9789864293452," 本字典收錄20,000餘字，全書彩色印刷，並附精美的插圖，字義解釋清楚簡明，，例句均取材自日常生活，使英文融入生活中，讓讀者能運用自如；相關字、諺語、慣用語的補充資料，則將英語的學習由點延伸到面，增加英語學習的廣度，符合讀者學習英語的需求。榮獲文化部第38次中小學生工具書類優良課外讀物。 "
9789864295555," 本字典收錄一萬二千餘字，全書彩色印刷，並有精美的插圖，字義解釋清楚簡明，例句均取材自日常生活，使英文融入生活中，讓讀者能運用自如；相關字、諺語、慣用語的補充資料，則將英語的學習由點延伸到面，增加英語學習的廣度，符合讀者學習英語的需求。獨家專利查詢：每頁書耳處皆附各字母頁碼索引，檢索單字更方便。 "
9789864295012," 本辭典收錄超過40,000個詞彙，以十二年國教英語課程綱要基本單字表及英檢參考字表編撰而成，含「國中常用2000字詞」及大考中心參考詞彙。例句使用簡易單字勾勒優美文句。用法、搭配詞、字辨等補充學習資料框，作延伸學習。以文法句型為編輯要點，除詞性變化及中譯外、加註同反義字及片語等其他重要語言知識。附錄加入英文五大基本句型、動詞時態介紹、英文語態、關係子句、助動詞用法等，運用更靈活正確。聖經紙彩色印刷，紙質輕薄且韌性好，攜帶方便。專利查詢：每頁書耳處皆附各字母頁碼索引，檢索單字更快速。 "
9789864294411," 本字典收錄一萬二千餘字，全書彩色印刷，並有精美的插圖，字義解釋清楚簡明，例句均取材自日常生活，使英文融入生活中，讓讀者能運用自如；相關字、諺語、慣用語的補充資料，則將英語的學習由點延伸到面，增加英語學習的廣度，符合讀者學習英語的需求。 "
9789865410940," 1. 本辭典全書 708 頁，收錄單字、複合字、成語約六萬餘。 2. 常用字加星號＊；最常用字加雙星號＊＊，以資識別。3. 名詞按其定義標注 [C] [U]，以表示可數、不可數。4. 增列補充字 19 頁，如：comfort zone, copyleft,emoji, Expo, fan page, flightmare, Internet overdose, leet, malware, manspreading, me generation, MYOB, news feed, on-air, palmtop,peace march, Velcro, working holiday. "
9789865410735," 1. 體積小，攜帶方便。2. 本字典七百餘頁，收錄單字、複合字、成語七萬餘，內容豐富。3. 含一萬五千日常用字。較常用字加星號＊，最常用字加雙星號＊＊，以資識別。4. 名詞按其定義加□C□U以表示可數、不可數。5. 單字下面第一個複合字前加符號「§」。6. 附錄新增「補充字」33頁。The Far East Mini English-Chinese Dictionary contains over 15,000 English entries, including compound words and idioms. The explanations in it are clear and simple, and it is easy to carry wherever you go. To aid language learners, commonly used words are marked with one asterisk, and the most commonly used ones are marked with two. Thirty-three pages of new words have been added to the Appendix. The mini dictionary is an excellent tool to help you improve your reading skills. The Kenyon and Knott Phonetic Alphabet (K.K.) is used. "
9789864293445," 本字典收錄20,000餘字，字義解釋清楚簡明，例句均取材自日常生活，使英文融入生活中，讓讀者能運用自如；相關字、諺語、慣用語的補充資料，則將英語的學習由點延伸到面，增加英語學習的廣度，符合讀者學習英語的需求。附錄豐富（英文五大句型、動詞時態介紹、關係子句、助動詞用法、不規則動詞表、KK音標發音指引、名人佳句等），實用性高。 "
9789864294947," 本字典收錄20,000餘字，全書彩色印刷，並附精美的插圖，字義解釋清楚簡明，例句均取材自日常生活，使英文融入生活中，讓讀者能運用自如；相關字、諺語、慣用語的補充資料，則將英語的學習由點延伸到面，增加英語學習的廣度，符合讀者學習英語的需求。獨家專利查詢：每頁書耳處皆附各字母頁碼索引，檢索單字更方便。 "
9789864293438," 本字典收錄一萬二千餘字，全書彩色印刷，並有精美的插圖，字義解釋清楚簡明，例句均取材自日常生活，使英文融入生活中，讓讀者能運用自如；相關字、諺語、慣用語的補充資料，則將英語的學習由點延伸到面，增加英語學習的廣度；特別用法、相關常識以「註」說明，加深印象；名人佳句、人生小語的介紹，讓書面溝通更EASY。獨家專利檢索，每頁書耳處皆附各字母頁碼索引，查詢單字更快速。 "
9789864294909," 耗時10年，由臺大外文教授團隊及英文名師群合作編撰完成。收錄超過40,000餘個單字，含國中基本2000字、大考中心公布之7000參考詞彙、全民英檢、多益、托福、雅思等測驗參考字表。文法句型詳盡解說，以國、高中的英文教學重點編撰而成。例句取材廣泛，具閱讀性，擺脫一般字典給人枯燥的印象。加入最新字彙，如：BREXITEER(英國脫歐派)、SCHMENT(人造肉)、SELFIE(自拍照)等等。專利查詢：每頁書耳處皆附各字母頁碼索引，檢索單字更方便。附錄精彩，實用性高：包括英文五大基本句型、動詞時態介紹、英文語態、關係子句、助動詞用法等，運用更靈活正確；同時收錄不規則動詞表、名人佳句、人生小語等。 "
