ISBN,書籍簡介
9789574457496,"  
	本詞典不以收詞量龐大為號召，收錄詞條約12,000，已涵蓋英美中學常用字彙和片語，是中級英文閱讀能力的必備通行證（passport)。

	定義簡明扼要，例句盡量使用基本字彙，編排不貪多務廣，佐以圖像幫助了解字義，指引初學者捷徑。強調透過例句理解字義，中文意思皆按例句序排列，快速掌握意思

	重要單字附注比較（compare）或注意事項（note），釐清難字或易混淆之字詞。

	英式英語和美式英語，不同的拼法、用字、表達方式，都加以區別列舉。

	衍生字和片語用紅色套字標示，醒目易讀。食衣住行日常生活圖例，另以8頁彩圖呈現。

	提供中文逆向檢索，兼具漢英詞典功能，可供查詢英文怎麼說？可探索雙語的一詞多義、或多詞同義的趣味與陷阱。

	紙本字典的優點是定義精確，翻查過程同時也可訓練字序的概念、推估落點及手眼的協調，還可參照前後相關字詞，印象通常較深刻，讓學習更有效率。 "
9789869616706,"  
※書籍特點說明：

	1.英漢、漢英兩本辭典合而為一，一書兩用、查閱方便。

	2.英漢部分：英文字彙、成語約60,000餘，常用字加星號*，最常用字加雙星號**，新字新詞最多，名詞並加注[C][ U]，以表示可數、不可數。

	3.漢英部分：中文單字約7,300餘，詞語約30,000餘，內容豐富，新詞最多，採用部首筆畫、國語注音、漢語拼音三種索引，所有詞條並加注國語注音。 "
9789880082535,"  
	內容豐富全面

	多樣化的語言支援

	光碟輔助學習

	 

適合程度：高小學生、初中學生、中級程度的英語學習者

	 

內容豐富全面

	收錄詞目、片語和釋義達100,000條，較上一版增加25%

	顯示3,000個英語中最常用的單詞

	標示「學術詞彙表」(Academic Word List) 中的單詞，提醒讀者在英語環境中學習所需要掌握的重要詞語

	提供40,000 個選自語料庫的真實例證

	在長詞條中增設導航詞 (signpost)，幫助讀者快速檢索內容

	　

	多樣化的語言支援

	6,000個同義詞和反義詞，並設多個「同類詞」專欄 (Thesaurus)，有效擴充詞彙

	20,000 項搭配信息，配合「詞語搭配」專欄 (Collocations)，提升遣詞造句的能力

	設「語法」(Grammar) 和「用法」(Usage) 的重點說明，指出學習者常犯的錯誤

	新增「詞語選擇」(Word Choice)，辨析容易混淆的近義詞

	逾100頁的語言學習專頁、語法參考和附錄，提供豐富實用的資料

	 

	光碟輔助學習

	附送光碟，提供詞典全文檢索、詞目讀音、彩色圖片等

	新增「發音訓練」(Pronunciation Trainer)，教授英語元音和輔音、比較相似讀音及列舉容易誤讀單詞，由真人示範標準讀音，並配備錄音功能

	 

	※光碟系統要求：

	 

	解析度：1024x768或以上

	顯示模式：65536(16位元)色或以上

	處理器：Pentium4 2 GHz處理器或以上

	記憶體：512MB RAM或以上

	顯示卡：SVGA顯示卡(4MB或以上)

	音效卡：16位元Sound Blaster

	光碟機：2倍速DVD或以上

	作業系統：中文版Microsoft Windows 2000(SP4)、XP(SP2)、Vista(家用/商業) 、Windows7或8

	其他軟件：Microsoft Internet Explorer 9或以上

	本光碟需要於管理員帳號下安裝 "
9789160015628,"  
超值組合附 英漢雙解第五版全文光碟 + 當代英英第六版線上字典

	 

第五版字典內容：

	※收錄詞目、片語和釋義達230,000條，英美並重

	※收錄文化詞目，如FA Cup (足總盃)、Greyhound Bus (灰狗長途汽車)、

	  Pulitzer Prize (普立茲獎)，探索英美文化

	※提供65,000項搭配訊息，並設詞語搭配專欄 (Collocations)

	※提供18,000個同義詞、反義詞和相關詞，並設詞語辨析專欄 (Thesaurus)

	※顯示口語和書面語中最常用的3,000詞

	※DVD光碟提供全文內容和詞目讀音，另附《朗文簡明漢英詞典》

	 

英漢雙解第五版全文光碟 

	DVD適用作業系統：

	中文版Microsoft Windows 2000(SP4)、XP(SP2)、Vista(家用/商業)、Windows 7、Windows 8、  

	Windows 10

	 

當代英英第六版線上字典內容：

	※收錄更新完整的字彙與文法資源，包含短片、互動式練習與試題

	※新增Longman Communication 9000：把最常用的9000字彙再分為三組(高頻率、中頻率與低頻率) ，讓使用者更輕鬆學習

	※內附當代英英第六版線上字典授權碼 www.longmandictionaries.com/ 

說明：線上字典使用年限為開通後4年 "
9789571151885," 簡明扼要為這本辭典的主要編輯方向，所以，本辭典雖依據一定之詞彙體系及固定的體例來編輯，但卻並未施加詞意解釋與說明，而僅只列出中文、日文和英文三種語文相互對應之詞彙。但是，為了顧及實用和豐富內容，在實際的編輯過程中，除了常用的語詞之外，亦搜羅了一些目前在網際網路上搜尋不到的詞彙。另外，「常用會話」的單元，擇取了一般日常生活、旅遊觀光和國際交流時較為常用的會話例句，方便讀者使用。 "
9789571145440,"  
	《活學活用英語寶典》是一本適合不同程度的英語學習者使用的中型工具書，一冊在手，陪伴您從初學到進階，在不同階段吸取不同內容，如同擁有眾多老師在身邊，隨時為您釋疑解惑，指點迷津。

	 

	★實用　收錄6000餘字，其中包括教育部公布之國中必備2000字，適合各級學生及社會人士使用。

	 

	★活用　「詞語辨異」「詞語搭配」「正誤解析」「用法解說」「小辭典」「慣用語」「口語」「典故」等有用的資訊小方塊，幫助理解、融會貫通。

	 

	★好用　將各項實用知識設計以區塊方式呈現，便於查閱、學習及吸收。

	 

	★有趣　全書搭配豐富且生動的插圖來補充文字敘述的不足，加強學習趣味；另特別收錄13幅情境彩色頁，讓你從情境中學單字。 "
9789571144207,"  
	本書共收477組，包含單字近1000個，其中包括「形近易混」與「義近易混」，詳細分析每組「易混詞」的異與同，搭配實用的例句與測驗，教你用對的字，寫對的句子！

	 

	內容豐富新穎、解釋準確明晰、例句典型道地、插圖生動活潑、檢索方便快捷。 "
9789571143552,"  
	1. 收錄約6000常用字彙，著重字詞的用法，對於每個字的使用對象、文法限制、常用句型、慣用搭配等，皆有詳盡的用法說明。

	 

	2. 用法說明不僅以文字敘述的方式，更直接替讀者歸納出圖表，一目了然，迅速吸收。

	 

	3. 文字部分的用法說明以字體變化來突顯，圖表部分則加以套色，從視覺上強化記憶。 "
9789571141886,"  
	本書收錄5000多個常用詞彙，每個詞條均列出常用的撘配詞語，豐富而且實用，可使讀者的英語表達能力大增，造句、作文的遣詞用字更精確，不再寫出不恰當的中式英語。

	 

本書特色

	 

	《英語說寫好幫手》

	 

	一、豐富的表達----關於「天氣」，我們常說「好（good）」天氣、「壞（bad）」天氣，或者「熱（hot）」天氣、「冷（cold）」天氣，但是「寒冷刺骨」的天氣、「陰晴不定」的天氣、「善變」的天氣和「陰沈」的天氣，又要怎麼說呢？在「weather」這個字的搭配例 子中，你會學到「weather」更深刻的表達。

	 

	二、正確的表達----「打電話」的「打」是哪一個「打」呢？「接電話」的「接」又是那一個「接」呢？而「掛電話」的「掛」又是那個字呢？翻到「telephone」這個字，一切就見分曉了。

	 

	三、慣用的表達----「grave」、「serious」、「severe」、「solemn」、「stern」、「strict」都是「嚴肅」的意思，那麼「嚴肅的表情」到底該用哪一個「嚴肅」呢？在「face」之下，你會找到慣用而不拗口的搭配詞。 "
9789571140520,"  
	同義語，顧名思義，不是僅指單字，而是把英語中的同義現象從單字擴大到詞組、片語甚至句子。

	 

	本書不拘形式，講究實用，它能將英語當中常用的、意思相同或相近的詞語串聯起來，形成一個個詞彙網路。每個詞條均配有一個例句，語言規範，表達清楚，說明該詞的正確用法。 "
