ISBN,書籍簡介
9789866077364,  只有精通英語還不行，法語讓你加分更多！！法語可以讓你在藝術、時尚、戲劇、視覺藝術、舞蹈、建築、廚藝等領域大放異彩！法國是第5大經濟強國、第3大接受外國投資的國家，學會它將增加你的國際競爭力法語有助於學習拉丁語系的各種語言，並更有助英語學習！超過全球三億人都在使用的法語，學會它將讓你縱橫世界如虎添翼史上第一本最適合國人，從零開始自學、教學兩用教材即將襲捲台灣的法語學習市場從法語字母、發音開始教起，每個發音都有圖解及音檔，沒基礎也能學！大量表格、插圖輔助學習！內容最實用！簡明易懂！輕鬆了解法語文法！以有趣、幽默的圖畫解說法國文化，法語怎麼學都不無聊！◆編排簡單、淺顯易懂、學習無壓力無負擔的自學教材◆從法語字母、發音開始講解，並有圖解、音檔輔助，從零開始也能學◆課文、表格、插圖，輕鬆學會日常生活使用會話、文法，打好法語基礎◆不只是學法語、更學到法國文化◆法語學習史上第一本，最適合當作基礎教學的課本教材你有沒有發現近年來《Taxi-終極殺陣》、《Priceless-巴黎拜金女》、《Banlieue 13-暴力特區》等愈來愈多的精采法語好片或法語廣告，開始逐一地在台灣展露頭角。法式的商家也逐一進駐了我們的生活圈裡。法語對台灣的影響已經開始不容小覷。事實上，法語本身於世界上的影響力極大，總共有36個國家作為官方語言，並在聯合國、歐洲聯盟等重要組織、地區廣泛受人使用，全球使用人口粗估高達3.4億左右，而且與日俱增中。法語的應用，在現在、未來皆已是提昇自己國際競爭力不可或缺的重要關鍵。所以，本書將能輕鬆替你培養出法語的國際競爭力。全書分三大部分，(1)發音、(2)基本句型、(3)正式課文。首先在發音的部分，採口型圖輔助講解，且有中文輔助講解如何記下每一個音。接著在基本句型的部分，會先教肯定、否定、疑問等最基礎的重要表達，在熟稔這些表達後，便會進入正課。配合前面紮根的兩項基礎，便可在法語優美的語調中、學習到生活必需的法語會話，以及法語文法。每課中更有精采的法國文化單元，能在學習的同時更加感受到法國的魅力。本書編排清晰、條理分明，能循序漸近地學好法語基礎。極適合自學，亦極適合作為課用教材。本書特色　　　　　　　　　　　　　　　1.超完整的發音規則法語是個發音模式複雜的語種，但是本書讓它變簡單了。本書第一單元依口腔母音、鼻腔母音、半母音、子音分門別類細分說明。每一個發音都附有詳細發音輔助說明及模擬口型圖，搭配mp3，用看得、聽得馬上就能學會複雜困難的法語發音。除此之外，連音、母音省略、重音、語調亦有相關說明。打好法語發音基礎不是難事。2.基礎句型篇學成基本表達架構本書第二單元將初步溝通必須使用到的問候語、問答、提議、表明身分等基本表達作完整教學。例舉的基本會話中，會代入文法的套用解說，融會貫通後便能夠靈活運用自己需要的表達。基本的溝通便不成問題。3.循序漸近的課程安排第三單元開始正式課文，這個部分分為機能性分明的14課，從最初的問候、詢問時間、詢問日期、指示代名詞的使用、上街購物、享用美食、撥打電話等生活實用主題課程。循序漸近的學習，讓你能像爬階梯般地，一步一步地穩固法語能力。4.無負擔的學習每課會有兩則對話、當課學習要點、文法重點、文化說明等充實的精采內容。內容豐富，但取材適量，不會有過多的內容排山倒海而來，造成學習欲下降。可以學得輕鬆自在，又學得實用精要。5.文法重點擷取學習要點，不時以簡明扼要的表格、插圖協助理解法語的文法。不論是法語中令人難懂的特殊人稱六變位、或是陰陽性等等等的文法，都能一目了然。6.精采的法國文化你知公雞為什麼是法國民族的代表象徵嗎？你知道什麼時候去凱旋門參觀，可以見識到更盛大的精采活動呢？本書在每課末都有針對法國文化作趣味性的解說，讓你不只是單單學習法語而已。更能快樂地通盤了解法國。7.精要的文法手冊本書卷末附上濃縮全書的文法手冊一本，極適合作文法複習時使用。8.適合自學更宜作教材全書的排版設計適合自學，亦極適合作為一般教學課程的課用教材。●mp3特色 　　　　　　　　　　　　　 法籍專業配音員優美音調發聲只要跟著唸效果超乎你的想像在浪漫的情調中學習法語擬真法語會話，只要跟著聽跟著講，就像跟法國人一樣，在浪漫的情調中，同時學會出正確的法語對話。法籍配音員的正確發音正常速會話中，mp3模擬了真實的場景。除了聽得到法國人優美的語調之外，讓聽覺學習更加聲歷其境。 
9789869476836,"  
專為華人設計！秒懂易學的法語教材，隆重登場！
初學者所需的「字母、發音、語音知識、單字、句型、文法、會話」
這本通通有！


 從基礎出發、有系統的發音教學
 除法文音標外，同時加上英文、中文及注音模擬諧音，容易體驗好記又好唸！
 循序漸進的課程安排：從「發音課、文法課、單字課、句型課到會話課」
 內含真人發音影片DVD+真人口型圖片+雙速MP3錄音
 讓你輕而易舉就能開口說法語

對許多學過法語的人來說，「法語」一開始最要命的障礙是…

 明明都和英文一樣是用abc字母組成，但通常不是你以為的那樣「拼什麼、唸什麼」，一開始肯定會唸錯，感覺「發音」和「拼字」是兩個兜不起來的東西。

 Comment allez-vous（您好嗎？）該怎麼唸？
 [kɑmɛnt-ɑlez-vos]    （Ｘ）
 [kɔmɑ̃t-ɑlez-vus]    （Ｘ）
 [kɔmɑ̃-tɑle-vu]    （Ｏ）

 想要用Comment allez-vous（您好嗎？）這句話跟法國人問聲好，看到法文字comment很像英文comment（評論），就很高興地說[kɑmɛnt-ɑlez-vos]，結果才剛開口就被糾正了…

 --> 切換成法語發音：comment唸成[kɔ-mɑ̃]（音近：溝猛）；allez唸成[a-le]；vous唸成[vu]
 --> 字尾子音不發音：從以上個別單字來看，字尾的子音t、z、s都是不發音的。
 --> 請注意連音規則：comment後面是母音開頭的allez，所以comment字尾子音t要發音並與allez連音。

 法語有自己一套特殊的發音規則，因此想學好法語，就要從基本的字母、發音開始學起，並且還要掌握法語的各類發音規則。像是法語在單字中、在句子中的唸法、怎麼拆音節、怎麼連音，以及每個字母組合的正確發音等等，為接下來的單字、會話、文法學習打好根基。

要真正打好法語的基礎，就得先從發音開始

 只要搞懂法語的基本發音規則，並進一步掌握其他發音規則，就能先破除以上的障礙。以下是本書有助於打好基礎的特色：

 ◆ 看DVD發音影片，跟著真人學發音、矯正嘴型
 ◆ 用MP3的雙速音檔，聽發音與相關的單字，隨時都能打好發音基礎
 ◆ 一個發音一個發音的系統式教學
 ◆ 附上口腔位置圖，隨時掌握正確的發音方式
 ◆ 附上法文音標，並以英文、中文、注音之模擬諧音輔助，好記又好唸
 ◆ 整理發音與拼字的對應，一目了然字母在單字中的發音
 ◆ 看本書的語音知識，一次重點式地了解法語各個發音規則

從基礎出發，到法語文法、法語單字、短句與會話的一套系統式學習

 在學會基礎的字母與發音之後，若進一步搞懂基本的法語文法、並學習大量的單字、短句與會話，就能了解法語的邏輯，並能輕鬆開口說出法語。以下是本書整個課程架構：

 第一堂：法語發音課
 熟悉法語的16個母音、17個子音、3個半母音，並搞懂法語複雜的語音規則。

 第二堂：法語文法課
 理解法語最重要的5種詞類及其特徵與功能，並搞懂法語的句子結構。

 第三堂：法語單字課
 依主題收錄重要、常用或專門的單字，不論是用在日常生活，或是用在特殊話題，這些單字都能發揮出實用性。

 第四堂：法語句型課
 依主題收錄各類非常實用的短句，讓你表達無障礙。像是高興時、不高興時；需要感謝時、道歉時；想要稱讚時、表達喜歡時，還是同意時，都有適合的短句讓你拿來就能說。

 第五堂課：法語會話課
 依場合列出相關的重要短句，接著再將這些短句套入三個模擬情境的會話中，可聽MP3、用適合自己的正常速或慢速，一起朗讀對話，對聽力與口說訓練會有很大的幫助。

本書特色

發音影片教學，跟著法語老師學發音、矯正嘴型

 要學好法語，就要先從發音開始！讀者可搭配本書的發音課內容，看隨書附贈的DVD來學好法語發音。本DVD收錄了包括母音、子音與半母音的法語發音影片，以一個發音一個發音的方式唸給讀者聽、看，就像是一對一家教一般。除了可看書學習，還可模擬影片中老師的嘴型，同時比對自己發音時的嘴型，看看有哪裡不同，盡可能唸出正確的音。

讓你真正會說、會唸的語音知識

 想學好法語，固然是要從基本的字母、發音開始學，但只學最基本的字母與發音根本不夠，就算你知道有16個母音、17個子音、3個半母音，但看到法文還是一樣不會唸，那是因為還沒搞懂法語在單字中、在句子中的唸法。面對單字、句子時，你看到的是字母與變音符號，而不是音標，你至少得知道怎麼拆音節、怎麼連音，以及每個字母組合的正確發音，才能講出標準的法語。因此，本書的語音知識篇，循序漸進教你關於字母與發音的關聯，並以重點式教學從最基本的規則開始講解，像是變音符號、音節、連音等等，打好你的法語基礎。

讓你短時間掌握基礎文法與結構

 搞懂文法是學會一個語言的關鍵，但要理解法語文法結構的複雜規則，絕不是一、兩天的事，因此本書的文法課以重點式分類、清楚易懂的表格、例句，用不複雜的方式來一一拆解法語的邏輯。
 透過重點式分類，你會學到各詞類（名詞、動詞、限定詞等等）以及基本的句子結構。各詞類之下，又會學到相關細部分類與其用法、特徵或變化（如動詞變化、代名詞形態、陰陽性等等），以表格、例句、解說，從細部分類到整個句子結構來進行課程，一次學好法語文法結構。

大量的法語單字與日常短句

 書中收錄了許多法語單字，從日常生活中常用的單字、特定領域才會用到的單字，到只會在書報上看到的專門單字，通通都有。像是國家城市、家人與稱謂、身體部位、日常用品、水果、蔬菜、動物、職業、服飾、顏色與飲食等等，無一不是我們日常生活中會用到的字。其餘像是花草樹木、體育運動等，若能學好這些單字，在與法國人聊到大自然、運動時，就不會辭窮不知道該如何表達。而日常短句更是平常生活中常常會講到的話，建議讀者可以熟讀這些短句，如此一來，聊天時就有很多句子可以表達了。

情境模擬生活會話

 在會話課的各個單元中，一開始會先介紹常用短句，再將這些常用短句套入會話中，並提供三個模擬情境對話讓讀者練習。本書附贈的MP3分為正常速與慢速兩種，讀者可以選擇適合自己的音檔速度，跟著MP3一起朗讀對話，對聽力與口說訓練會有很大的幫助。 "
9789862281833," 法語入門的生活化自學教材你知道嗎? 英文有70％的單字都是從法文來的、分辨法文固定發音規則、單字的陰陽性，字的性別不再傻傻分不清！短時間讓你學會世界上最浪漫的語言！說一口優雅的法文，好比啜飲一口香醇咖啡，羅織一場法國巴黎左岸式的浪漫。本書收錄法文簡易詞彙學習、文字發音示範，內容淺顯易懂，加上每個章節的練習題，搭配隨書附贈的CD，法文情境式對話，真人發音的速度接近法國人平常說話的速度！速讀法語實用教材，適合初學者及進階者的線上學習！ "
9789570859676,"  
廣受好評的《法語凱旋門：法文圖表精解》續作進階版！
	以圖表與例句解說進階法文文法，奠定扎實法文基礎！


	本書專為已具備法語基礎的學生編寫，精心剖析進階法文文法各要點，清楚分類文法項目並詳細說明，透過例句與練習來學習進階法語一次就融會貫通！

本書特色

	一、精編十大文法主題，輕鬆歸納進階文法要點
	本書針對進階文法詳細編列十大主題，如名詞化、現在分詞、副動詞、條件與假設之表達方式等。清楚詳盡的文法條列，有效幫助讀者釐清複雜的進階文法。

	二、詳列例句與說明，用多種情境加深文法概念
	每條文法編列多則例句並輔以說明，迅速理解文法概念與使用情境，進而掌握句型運用。

	三、文法條列輔以圖表精解，一次搞懂詞彙變化
	必要時在文法條列中輔以圖表解說，讓讀者一目瞭然複雜的詞彙變化，熟悉變化規則。

	四、彩圖式字彙補充，用單字圖組複習主題詞彙
	在四至五項文法規則間附有彩圖字彙補充，除了在學習間適度休息，也能用單字圖組複習相關主題詞彙。

	五、章節後編有問題討論與習題，即刻練習提升學習效果
	每章節後隨即編列問題討論與習題，讓讀者能即時運用本課所學，加深印象並檢視學習成效。 "
9789865544348,"  
第一本專為華人編寫的法語學習書

簡易中文注音學習法

1秒開口說法語，

中文拼音輔助，會中文就能說法語

秒學、秒會、秒說

人人都可以馬上開口說！

	 

	最簡單、最快速的法語學習法！

	初學法語最強入門書

	中文拼音對照一學就會

	馬上和法國人聊天！不冷場！

	 

	500個法國人天天說的生活單字

	500句法國人天天聊的簡單會話

	旅遊經商、遊學留學必備寶典

	隨時隨地，都能馬上派上用場！

	 

	學會了法語，不論是到法國或其他法語系國家旅遊、出公差，你將能完全體驗暢行無阻、如魚得水的滋味；如果你有到法國遊學或唸書的計畫，法語學得愈好，你就愈能輕鬆面對異地的環境與繁重的課業，當一個快樂的遊學、留學生。

	 

【簡易中文注音學習法】

◆中文拼音對照，一秒開口說

	超實用情境會話，用看的，用聽的，用比的，都方便，秒學秒會，大家都可以馬上開口說法語。

	 

◆最簡單、最快速法語學習法

	史上最簡單的生活法語，快會快說，旅遊經商、工作上班、遊學留學，即學即用，秒學秒會秒說。

	 

◆不花錢，自學法語好幫手

	初學、自學最好用，不用上補習班，有此一書，就好像請了一位免費的法語家教，是自學法語的好幫手。
	 

【4大快學法：快速學會說法語】

◆快學1. 會中文就能說法語:

	初學、自學最好用，快會快說，活學活用、現學現賣，無論經商、旅遊、遊學、留學，都能輕鬆開口說法語。

	 

◆快學2. 中文拼音輔助，開口就能說：

	超實用情境對話，快速溝通有方法。法語不熟沒關係，你指中文、他法韓語，嘛也通。從入門開始，到單字、會話、句型，學習零壓力，輕鬆打好法語基礎。

	 

◆快學3. 聲音+教材雙效合一

	內容豐富活潑、簡單易學，有助你掌握實際的發音技巧，加強聽說能力，學習純正道地的法語。是你自學法語的好幫手。

	 

◆快學4. MP3完整收錄標準發音。會話、單字、句型，一學就會

	由法籍老師親自錄音，標準唸出正確發音。內容為中文唸一遍，法語唸兩遍，第一遍為正常速度、第二遍唸稍慢，還有中文拼音對照，反覆練習，自然說出一口流利的法語。

	 

	在內容的編排上，本書全部以生活化的內容為主，再配合精心整理的「主題單字」，分門別類做加強補充，讓您更易於理解。

	 

	搭聽MP3，躺著、坐著、站著、開車、坐捷運都合用，學好法語，時空、姿勢，輕鬆不設限！

	 

本書特色

	 

◆用最新奇、有趣的方式，法語輕鬆學

●學習零壓力

	全方位學習無障礙，效果立現，快速溝通有方法，法語不熟沒關係，你指中文、他看法語也能通。

	　

●跟聽跟讀

	單字、會話、句型，輕鬆學習沒壓力，MP3有助你掌握實際發音技巧，加強聽說能力。跟著老師的發音，反覆練習，自然說出一口純正的法語。

	 

●最有效的初學法語書

	用中文說法語，大家都能輕鬆開口說，出國旅行或洽公，和法國人溝通沒問題，超好學、超有趣。

	 

	  "
9789864415571,"  
	從零開始打基礎
	法語初學者最適合的學習書

文藻外語大學法國語文系 副教授 王秀文　講師 蘇楠（Sonia Lhommet）聯手打造

	專為初學者編寫
	從發音到會話建立法語基礎
	圖解情境讓你輕鬆開口說法語

	四大實用單元，一次學會生活必備法語
	圖解發音：19個母音、17個子音、音節劃分、連音等
實用字彙：職業、天氣、稱謂、情緒表達、飲食、休閒、日用品等
基礎文法：句型組成、詞性、時態、感嘆句、強調句等
社交會話：打招呼、婉拒、道謝、購物、問路、旅遊、租房、閒聊等會話情境

	身處全球化時代，學習外語已是具備跨文化溝通能力的必備途徑。法語結構、文化思維、風俗民情和英語截然不同。學習法語有助於認識法語系國家視角，更能拉近與法語母語人士的距離，開啟通往世界大門的鑰匙。

	本書乃專門為台灣學習者撰寫的初級法語教材，共分成四個單元：法語發音、必備單字、基礎文法和情境會話。每單元使用簡短實用單字，由淺入深漸進提供法語好學好記的學習途徑。單元最後隨堂練習讓初學者可以自我檢測法語的聽、說、讀、寫基礎能力，適合在家自學者、欲準備法語檢定考試 A1 者以及想輕鬆學習如何和法語母語人士進行基礎對話的入門者。 "
9789577108098,"  
好想學法語，又怕法語太難？

說法語要放鬆說才好聽

學法語也一樣放輕鬆，

一課學一個主題，逐步累積文法知識

Relax! 法語其實很簡單！

	 

	本書專為法語初學者量身打造，從字母、發音到慣用句型，循序漸進，輕鬆學會基礎法語文法。

	 

	隨書附贈中法發音MP3，除了搭配書本，還能單獨使用，通勤時也能輕鬆聽簡單記，學文法的同時，又學會了說法語！每課皆附練習題，上完58堂課，聽、說、讀、寫全方位提升法語力！

	 

今天就開始學法語吧！

	 

	搭配MP3熟讀本書，等於能用法語：

	1.和人打招呼。

	2.自我介紹。

	3.表達日子與天氣。

	4.問路。

	5.購物。

	6.去餐廳吃飯。

	7.表達喜好、情緒。

	8.表達意志。

	9.表達即將發生與剛發生完的事。

	10.和法國人做簡單的對談。

	 

＊中法發聲MP3錄音員：

	法語發聲

	VINCENT GIRY

	中文發聲

	常青

	 

本書特色

	 

	1. 輕鬆學會基礎法語文法。

	2. 書上標有音標，快跟著MP3說說看。

	3. 本書介紹的字彙與文法，涵蓋DELF A1範圍。

	4. 穿插的彩頁有置身巴黎的氛圍。

	  "
9789577107886,"  
隨手輕鬆學法語，聽說好流暢！ 

6大主題．100種情境．80組會話

1200必學字彙．2000活用例句  

生活、旅遊大小事流利開口說！

	 

	《初學者開口說法語》全書共分成六大章節，以循序漸進的方式引導讀者學習。第1∼2章介紹字母及基本發音規則，第3∼4章介紹會話與單字，及如何實際與法國人溝通，並搭配「單字充電站」單元，幫助初學者迅速增加詞彙量，提升口語能力；第5∼6章介紹到法國旅遊的例句會話，及法國旅遊的相關景點與知識補充，並附上法國主要城市的地鐵圖、各省名稱及主要知名景點、名店等。

	 

	本書不僅僅是一本生活會話書，也是一本實用的單字記憶書，對初學者來說無疑是一本全功能的法語入門學習書。攜帶版方便隨身攜帶，隨翻隨學，活用本書，相信一定可以輕鬆開口說法語！

	 

本書特色

	　

《六大章節，基礎到進階》

	循序漸進，用最基本的句子表達溝通。

	    

《會話、句型、單字三方切入》

	上千單字例句搭配會話，滿足所有學習慾望！

	 

《一句法文、一句中文‧音標輔助易讀易學》

	學習方便好對照，輕鬆開口說法語！

	 

《框格式單字排版》

	單字簡潔框格式排版，口說、手指溝通無障礙！

	 

《繽紛全彩插圖》

	繽紛彩圖穿插，不同配色區別主題，閱讀記憶更輕鬆。

	    

《搭配MP3，法語聽說應對超流暢》

	法籍老師錄製，法式情境襯樂，學習聽說零壓力。

	  "
9789864540709,"  
史上最完整、最詳細、品質最好
 從初級～高級都適用，可搭配任何教材！

 專為華人設計，真正搞懂法語構造的解剖書
 「清楚易懂」＋「表格式解說」
 一次釐清法語文法構成的要素，聽說讀寫從此不出錯


★學法語時，手邊為什麼需要一本好用的文法書：

 [理由1 ]  

 學過語言的人都知道，遇到不會的字可以立即查詢，但這個方法用在文法上，不見得行得通，尤其是『法語文法』！法語有其特定的文法規則、各元素構成的方式，就算所有的單字都查了，但在文法部分，一般資料所提供的文法概念支離破碎、不完整，用零星片面的線索去理解複雜的法文句子，無法釐清其邏輯，自然無法理解一句話所要表達的意思。

[理由2 ]

 單字可以硬記、照抄、會話可以照著唸，但遇到需要用到文法的時候，例如要理解一個句子、一篇文章、聽懂對方的表達，以及要寫出或說出一句法語時，法語文法都扮演著非常重要的角色。某個文法概念一旦沒搞懂，就可能聽不懂法國人在說什麼，或是法國人根本不知道你在說什麼，就算你的發音很標準。主要的原因是因為法語有「陰」「陽」性的性別之分，有其特定的語順，有複雜但明確的動詞時態觀念與變化，以及各元素微妙的構成方式，絕對不是單純做套用、替換，就能適時地表達出正確的法語。

 想以既有的會話句套用，把「你」換成「我」、把「今天」換成「昨天」、換掉某個動詞或形容詞等等，都要考慮到整句話的語順是否正確，是否符合要表達的語意，以及陰陽性、動詞變化、時態等是否都有注意到。

[理由3 ]

 法文學了這麼久，為什麼法文的「做家事」faire le ménage、「購物」faire les courses都固定使用定冠詞（le/la/les）而不是不定冠詞（un/une）呢？只是單純表達「和朋友出去玩」，為什麼法文一般是用avec des amis或avec un(e) ami(e)（和朋友），而少用avec mes ami(e)s或avec mon ami(e)（和我的朋友）？你知道「c’est＋名詞」和「il est＋名詞」在用法上的差別嗎？閱讀法文時，常見的代名詞 on 為什麼有時會變成 l’on 呢？你知道 Il n’y a pas trente-six solutions. 中的 trente-six（36）solutions指的並不是如字面的「36個解決辦法」嗎 ？本書中收錄了許多就算是法文學了很久，但仍不知道的法語文法知識，若能更明確搞懂法語中那些細微的用法，才算是真正精通法語。

 怎麼樣才能適時適所表達出正確的法語呢？唯有搞懂文法，才算是真正學會這個語言的方式。因此您現在最缺乏的是一套從詞類、句子結構分析開始學的法語文法書，讓你循序漸進精準掌握法語的正確用法，而本書的優點正好能補足這方面的需求：

 【從基礎的文法開始，再分門別類詳盡說明】
 本書先從基礎的文法結構開始教起，深入分析句子、片語的的組成，並介紹法文句子中會出現的詞類。之後按詞類（如名詞、冠詞、動詞）、用法（如否定句）、時態等分章節詳細解說。各章節再細分各重點，針對像是陰陽性、單複數、語順、動詞變化等等，個別以重點式文字、表格、例句一一說明清楚。

 【豐富的表格整理、句型拆解，讓文法一目瞭然】
 本書用表格來具體呈現法語重要的變化，例如動詞人稱變化表、動詞時態的變化表等等，並以明顯的顏色標出變化之處，另外也用圖表與線條來說明法文句子的架構、冠詞的用法與差別等等，讓你一目瞭然各詞類的功能與變化，在閱讀或表達法文時能自我判斷其文法結構，明白對方意思，還能表達出合乎文法規則的句子。

 【貼心的附加內容】
 除了前面主要的文法篇章之外，本書還收錄了其他在學習法語時重要的知識，例如感嘆詞整理（如Ah bon!：帶有「啊！是這樣嗎！」語意，表示感到意外）、擬聲詞整理（包含人、動物、事物、動作的擬聲詞）、時間的表達方式、數字的表達方式，標點符號的使用方法等，甚至連四則運算的法文說法也都有收錄。此外，本書也附上文法用語的「中文＋法文」雙索引查詢功能，想要查詢的文法規則都可以迅速查到。

本書特色

 特點一　用圖表歸納法語文法，跟著步驟掌握法語邏輯
 本書會用圖表來具體呈現法語的文法結構，整理出相關的詞彙與例句，讓你一次搞懂法語的用法、位置、功能或變化（如動詞變化、代名詞形態、陰陽性等等）。

特點二　循序漸近的文法課程安排
 超過 20 課的文法課程，以有系統的文法觀念來教學，讓初、中、高級學習者能從頭學基礎的文法知識，以及更深入、複雜的文法重點。

特點三　有助於理解文法的例句
 每課都有大量的例句可做參考，學習者能在理解文字解說、表格內容的同時，藉由例句相互對照學習，馬上看懂正在學的文法概念，還能學到類似的表達與生字，對於學習這類較複雜難懂語言的初學者來說是很有幫助的。

特點四　豐富的中高級程度之法語文法知識專欄
 在本書的文法篇章中不時會穿插一些專欄，額外補充程度比較高、難度比較深的法語文法知識，讓學習者能深入瞭解法語較複雜的領域，在文法邏輯的掌握上更上一層樓。 "
9789869603386,"  
克服臨場對話恐懼、這次絕對充滿自信！

  

 臨時需要的簡單對話，卻老是卡在動詞變化嗎？
 只要換幾個單字，直接套用＋替換，
 免想破頭推動詞變化和思考文法結構問題！
 簡單說出正確法語！

 6大主題、38種場合、超過200個套用句，
 收錄日常生活中，法國人最常用的套用句
 所到之處，你的法語自動套用、替換，溝通不設限！

★對於正在學「法語」的你來說，你是否遇到以下狀況…

 ．臨時想簡單地跟法國人說「很高興認識您」「這是要送給您的」，單字查了，動詞變化也查了，卻不確定想講的法文是否正確…

 ．法語的語順特殊，與中英文不同，因不熟悉「主詞、動詞、受詞」結構，常支支吾吾地說不出一句話來…

 ．法語的動詞變化很複雜，除了人稱基本的6種動詞變化外，還有時態上的變化、語式上的變化；簡單未來時需要做變化，條件式也需要做變化，這麼多變化常常搞混在一起…

 只是想講一句簡單的法文，卻得為複雜的文法、動詞變化而苦惱嗎？

★若您遭遇過以上情況，那麼您最需要的，就是這本「直接告訴你這樣造句」「直接幫你配好主詞與動詞」「直接讓你拿來就用不會錯」的法語替換句大全，就算法語文法不好照樣能聊！

 有了這本，臨時需要說的一整句法語都搞定！不用擔心自己的法語文法不好；不用擔心自己沒背熟動詞變化；不用擔心到底能不能講出完整句子！只要照著本書方法，只要學會套用、替換，就能造出自己想要表達的句子。因為關於文法問題，本書的句型都幫你套好了，只要簡單照著說就行！

★要如何花最少時間學到最多東西，本書三大特點讓你學完後成為法語達人！

 【方法1】學一個句型還能舉一反三、靈活運用造出多個例句，同時搞定文法、會話能力
 本書的200多個替換句型，是法國人在日常生活中常常替換使用的，只要會套用、替換，你就像法國人一樣會說法文。就一句法語，整體架構不變，但換成自己想要表達的各種詞彙，就能變化出好幾個不一樣語意的句子。從最基本的關鍵句，到比較複雜、語氣較為細膩的句型，本書通通都有。只需放入不同單字，就能舉一反三輕鬆說法語，臨時需要也能馬上講出來。

 【方法2】就像小孩學母語一樣，套了就會說，反覆練習自然養成法語腦
 學語言，其實可以像小孩學母語一樣，先慢慢熟悉怎麼用句型去做替換，不刻意一一仔細研究文法，也能迅速學會語言的規則。因此用本書學法語，就像法國小孩學母語一樣，直接跟著句型套用、替換、變化，那些原本難背的動詞變化，一下就搞定。

 【方法3】6大主題、38個使用項目、超過200個常用句，簡單表達出最到位的法語
 本書依主題、場合與目的來分類，讓你的法語表達無設限。6大主題中有最基本的套用句型主題，有表達自己的意圖及情緒的主題，也有關於疑問詞的主題。6大主題之下的38個項目中，有與「être」相關的特定文法句型與表達，有與「avoir＋名詞」相關的或與「問句」相關的句型與表達，同時也包含像是欲望、祝福、鼓勵等特定場合的句型與表達。

本書特色

打造法語腦的兩步驟句型練習

 ．套用句練習 1∣熟悉基本句型
 在第一個步驟的練習，會先熟悉基本句型及用法解說，接著再看如何套用變換不同詞彙、造不一樣的句子。這些都是法國人實際會用到的句型，只要稍微變化一下也能造出屬於自己的句子。

 ．套用句練習2∣以對話來熟悉各個句型的用法
 在第二個步驟的練習中，收錄了用到特定句型的兩個短對話範例，讓你先清楚句型用法之後，接著熟練對話中所出現的表達方式。

補充內容解析
 每個單元在碰到需要額外補充單字與用法的解說時，會貼心附上說明並用例句教你運用方式。在Conseils補充說明部分，會解說句子或對話中不好理解或重要的表達，並加以補充如文法說明及有用的表達句。在Lexique單字整理部分，則整理了句子或對話中用到的單字。

利用本書＋MP3，跟著法籍配音員反覆練會話句
 本書MP3的錄製是由法籍配音員反覆唸書中的替換句及對話，可以邊聽、邊跟著唸所聽到、讀到的內容。

使用範圍極廣泛
 本書適用於旅遊、日常生活、自我介紹、個人表達、一般書寫等等用途。 "
