ISBN,書籍簡介
9789579138864,"  
學習全世界第三大語言的西班牙語，已經蔚為風潮。

想學西班牙語，不知道要用哪一本教科書嗎？

用這本最有野心、想讓你最快上手的《AMIGO西班牙語A1》就對了！

	 

★政大人氣西語教師精心撰寫！

	《AMIGO西班牙語A1》作者李文康老師為政大外文中心的人氣西班牙語講師，生動的教學方法、注重口說的活潑氣氛，讓他深獲許多學生的愛戴。

	 

	李文康老師深耕臺灣西語教學多年，十分清楚學生的學習盲點及困難。為了讓更多人認識這熱情的語言，幫助更多學習者能夠在學習西語更快上手，他撰寫了許多好學、好用的西語教材，為臺灣的西語教學環境，貢獻良多。

	 

★突破傳統的西班牙語學習書！

	李文康老師為了想學好西班牙語、也想開口說好西班牙語的學習者，特別規劃了《AMIGO西班牙語A1》，目的就是要讓學習者不僅能勇於開口，有自信且正確地說出西班牙語，並能將西班牙語融入各種日常生活中。

	 

	全書共有14課，包含12課的正課，以及1課「工作與職場西班牙語單元」，還有1課「DELE單元提供口語表達與互動測驗內容」，精彩的課程內容如下： 

	 

◎掌握西語發音訣竅

	從發音、拼音和重音開始，再透過清楚的表格掌握動詞變化，穩紮穩打學好西班牙語。

	 

◎「¡A aprender!  西語句型，一用就會！」

	精選各種場合與職業所需的生活化與專業性西班牙語句型和詞彙，幫助您在不同場合都能說出一口道地正確的西班牙語。

	 

◎「¡A entender la gramática!  西語文法，一學就懂！」

	以清晰簡潔的方式說明文法規則並提供例句，讓您快速理解文法架構。搭配相關句型一起運用，學習效果快又佳。

	 

◎「¡A practicar!  西語口語，一說就通！」

	設計各類真實生活場景的對話，幫助您正確了解對方想要表達的意思，並能開口用西班牙語表達自己的想法和意見。

	 

◎「¡Vamos a viajar!  用西語去旅行！」

	透過文化介紹，幫助您更深度認識西語系國家。不管您要在當地生活、讀書求學或觀光旅行，本書都能帶您一手掌握最道地的西語系國家文化情報。

	 

◎「¡Vamos a escribir! 一起來寫西語吧！」

	每單元設計多樣化的練習題（問答、完成表格、規劃行程等），幫助您隨時檢核學習歷程和成果。根據DELE設計的練習題，讓您一步步熟稔語言檢定考試題型。

	 

◎「¡Vamos a conversar! 一起來說西語吧！」

	每單元結束前，按照該單元主題提供一則會話，將該單元主要文法、單字和句型，通通融會貫通其中。

	 

◎國際標準西語發音＋朗讀音檔QR Code

	全書內容皆由專業西班牙語教師以正常語速錄製音檔，搭配QR Code，讓您隨時隨地沉浸在西班牙語環境，自然而然學好西班牙語，同時聽懂不同口音的西班牙語。

	 

◎囊括兩大西語地區的道地語法

	同時呈現西班牙和中南美洲兩大地區的西班牙語說法和用語，讓您一書在手，不論跟哪個地區的西班牙語母語人士交談，都能輕鬆溝通無阻礙。

	 

★一書在手，奠定西班牙A1聽、說、讀、寫基礎！

	每一課皆是如此地活潑、生動、好學習，不管是各類生活場景的口頭會話（聽），還是不同主題內容的日常對話（說），或者是信件、電子郵件、菜單廣告等文本的閱讀理解（讀），以及申請表格、電子郵件和信件、留言等等的填答與書寫（寫），都可助您全面提升聽力理解、口語表達、閱讀理解和寫作表達的西班牙語能力。

	 

	當您邁入學習西班牙語的行列，就是打開一扇通往嶄新境界的大門。不但可以接觸繽紛多元的西語系國家文化、結交來自西班牙和中南美洲的新朋友，還能夠讓您的生活變得更加多彩多姿。

	 

	想踏入西語世界，快跟著教學經驗豐富、活潑風趣、注重口說表現的李文康老師，用好讀好學的經典西班牙語教科書──《AMIGO西班牙語A1》打好西語基礎！

	 

本書特色

	 

	學西班牙語最有效率的入門書，就是這本！

	1. 西語發音：能正確並清楚地說出西班牙語發音並唸出詞彙。

	2. 情境對話：能了解不同情境的西班牙語對話內容及其意涵。

	3. 溝通表達：能在不同情況正確運用西班牙語達成溝通目的。

	4. 觀點交流：能運用西班牙語跟他人進行觀點與意見的交流。

	5. 表達喜好：能以西班牙語表達自己喜愛的各種活動和嗜好。

	6. 生活技能：能用西班牙語來完成各項日常事項與生活要務。

	7. 文化理解：能深度認識西語系國家的文化習俗與生活習慣。

	8. 語言檢定：能邊學習邊預備DELE的口語表達與互動測驗。 "
9789865560287,"  
9大分類、100則字卡
	西文字卡 × 筆記本設計
	全台最大西文學習粉專創意撰寫
	《西班牙文，每日一句》創造你的日常西文語境！


	當遇到「很蠢、無腦」的人，道地西文該怎麼說？
	想請對方「滾開」，你還可以用西文說「滾去炒蘆筍！」
	中文說「狗改不了吃屎」，西文則說「山羊總是往山上爬」？
	「死掉的小蒼蠅」在西文裡原來是指「雙面人」！

	看這麼有趣的內容，就知道是全台最大西班牙文學習Facebook粉絲專頁「西班牙文，每日一句」要出書啦！這次帶來他們最受歡迎的「字卡」並結合「筆記本」功能，不管你是已經有點西文基礎，想多接觸課本之外，西班牙人日常使用的口語短句，還是一直想練好西文，卻無法持之以恆，想要平易近人、像朋友聊天般的西文語境，《西班牙文，每日一句》都能幫助你！又潮又好看的筆記本設計讓你想隨身攜帶，且每天不貪多，就讀短短一句，一起來灌溉自己的西文環境吧！

＊適讀程度：CEFR A1-B2

＊9大分類、100則字卡，任何時候你都能秀一句西文！
	本書為有西文基礎的你，精選A1-B2程度的俗語、日常短句和片語共100則字卡，並依在生活中能使用的情境分成9大類，邀請你把西文帶進生活中的各種時候。

	全書9大分類：
	分類一：心情好的時候可以說「¡Cojonudo!」（太讚了！）、「¡Qué guay!」（酷耶！）等
	分類二：不爽的時候可以說「hablar a toro pasado」（放馬後炮）、「No me molestes.」（別煩我。）等
	分類三：罵別人的時候可以說「¿En qué estabas pensando?」（你腦子有洞？）、「¡Eres un(a) inútil!」（你（妳）真是個廢物！）等
	分類四：對別人好的時候可以說「¡Mucha mierda!」（祝你好運！）、「Te queda bien.」（你很適合。）等
	分類五：驚訝的時候可以說「Esto pasa de castaño oscuro.」（真的太扯了。）、「¡No me jodas!」（真的假的！）等
	分類六：跟朋友約的時候可以說「a dos velas」（沒錢）、「¡Como quieras!」（隨便你！）等
	分類七：無聊懶散的時候可以說「Voy a mi bola.」（我不想管了。）、「más se perdió en Cuba」（沒什麼大不了的）等
	分類八：感情的事可以說「mejor estar solo que mal acompañado」（寧缺勿濫）、「poner los cuernos」（劈腿）等
	分類九：隨時都可以說「O sea que…」（也就是說……）、「por cierto」（順帶一提）等

＊少量閱讀、成就感大增，用有趣的對話拉近你和西文的距離！
	學遍了文法、背夠了單字，但能說出口的總是不夠生活化？本書只給你日常用得上的西文，搭配短短兩句對話、單字和補充，就算每天只讀一句也能現學現賣，快一起來看看吧！

	˙「字卡」與「程度分級」：你是專注力稍縱即逝的現代人！沒問題，整個頁面只有字卡，想不集中專注力都難。每則字卡都標示所屬程度，而即使字卡中用了難一點的單字，也能用在簡單的對話情境中，讓你話一出口就說到對方心坎裡，不僅外顯程度立即提升，連母語人士也對你刮目相看。
	例：
	no tener abuela
	自戀（貶義）
	Nivel: A1

	˙「情境」：只用A、B兩句對話就讓你進入狀況！像和朋友對話般，時而吐槽、時而暖心，馬上了解使用情境。搭配音檔一快一慢的朗讀語速，更能有效練習聽力口說。
	例：
	A: Oye, yo soy el guapísimo chico de la clase. ¿Y por qué no tengo una novia?
	A：聽著，我是班上最帥的男生，為什麼我會交不到女朋友？
	B: Usted no tiene abuela.
	B：您也太自戀。

	˙「單字」：將對話中的重點單字挑出來，並標示詞性、中文意思，不查字典也沒問題。
	例：
	tener (v.) 有、擁有
	usted (pron.) 您

	˙「補充」：補充說明字卡或情境中用到的文法、同義詞或其他說法，並適時補充俗語、短句和片語的由來、背景故事等，讓你不只是背誦字卡還能長知識，印象加深加廣。
	例：
	no tener abuela 直譯是「沒有阿嬤」。西班牙阿嬤對自己的金孫總是讚不絕口，認為寶貝孫子女最美、最帥、最聰明。因此如果說一個人「沒有阿嬤」，意指這個人身邊沒有誇耀他的角色，所以必須大力地吹捧自己，延伸為一個人太自戀的意思。

	《西班牙文，每日一句》讓你每天都有動力讀一點西文、把西文帶到生活中，相信生活中的各種時刻有了西文，表達必定更加生動！

本書4大特色

	1. 直覺式「字卡」學習，版面簡潔、素雅，注意力集中！
	2. 真正能當「筆記本」用，隔線、日期設計齊全，隨身攜帶，好看又實用！
	3. 小份量教學，最適合現代人！每天只讀一點，改變自己的西文環境！
	4. 隨書附標準西文朗讀音檔QR Code，語速一快一慢，最道地的西文隨身帶著聽！ "
9789864415489," 看插圖學西語將生活常用的實用單字一網打盡本書精選17大主題，包含日常生活中常見的16個主題和1個介紹特有景點、食物、節慶、人物的西班牙主題。一共收錄了101個單元，約1900個常用字彙。內容精彩豐富，透過生動有趣的插畫圖說，更能加深讀者們的學習印象。在每個單元的圖解單字部份，我們用紅色、藍色、黑色等三種不同的顏色來標示出西文單字和中英文解釋。獨特的編排方式讓讀者看起來清楚易懂，加上圖像及中英文輔助解釋，學習西文單字更簡單更有效率。針對某些單字則會特別補充其同/反義字、字彙用法、或在西文裡的其他有趣解釋，幫助讀者拓寬學習的廣度。另外像是在第一個主題「認識西班牙」裡的單元裡，我們會介紹西班牙特有的美食、節慶、以及人物等單元。為了讓讀者更深入了解其烹飪方式及文化背景等細節，特別在這些單字下面記載了相關的解說及由來。在主題結束以前，有一個文化櫥窗的小短文，內容主在介紹跟西班牙以及該主題有關的實用知識。讓讀者在學習之後能放鬆心情吸收實用的生活資訊，就算沒有機會去西班牙，也能有身歷其境般妙不可言的神遊之感。本書附錄有西班牙人常用的手勢介紹和生活常用的西語100句，好學又好用的延伸補充必能提高讀者學習西班牙語的動力。本書特別設計附上一本生活實用300句西語手冊，設計精美小巧、攜帶方便。內附有300個好用常用的生活句，讓你在不同的場合裡找到適合的一句話來與人溝通。另外我們聘請專業的西班牙籍錄音員錄製MP3，讀者可以藉由MP3或使用點讀筆的方式來聆聽書中的單字發音，跟著一起唸唸看，是加強聽力和口說的最好方法。您也可以下載安裝電腦互動學習軟體來複習書中內容。多元化的方式搭配本書使用，對於學習者來說，都是學西語最基礎也是最佳的學習工具。 "
9789864540808,"  
打破西語初學者文法卡關的魔咒！
重新定義文法學習順序！


	「基礎詞性」→「進階詞性與慣用表達法」→「動詞與時態」
	先學會基礎表達法，再逐步學習各種動詞變化！

	本書擁有一眼看懂的表格解析＋豐富的例句示範，
	真正做到「零壓力」、「零挫折感」，
	自然而然養成準確的文法直覺！

	◆完全表格化呈現，最清晰易懂的西班牙語文法書！

	市面上的西班牙語文法書，多半還是採用舊的教學方式，文字說明一大堆，還沒搞清楚狀況就塞給你許多陌生的文法名詞，光看到密密麻麻的字，頭就昏了！其實西班牙語的文法非常有系統，所以本書突破傳統做法，以表格化的方式呈現各種句型與字尾變化等等，讓你一眼就能輕鬆「看」懂！即使是文字說明，也盡量做到最簡明扼要，整理出「只要這樣記就OK」的文法原則，就是要讓你知道，西語文法其實很簡單！

	◆不但包含完整的西語文法基礎，更重新定義文法學習順序！

	  「1.基礎詞性→2.進階詞性與慣用表達法→3.動詞與時態」
	   這樣學，成功率最高！

	很多人學西班牙語文法，一開始就非常挫折，因為開頭就被硬塞動詞各種時態複雜的規則與不規則變化，只能抱頭痛哭！Silvia老師認為，要先打好基礎，再好好學習文法最豐富的動詞部分。所以本書第一部分先介紹字母和各種基本詞性，第二部分開始介紹副詞、介系詞和時間、數字、天氣等慣用表達法，等到對文法有大致的概念，才開始學習動詞，而且先從需要特別記憶的不規則動詞一個一個慢慢學，然後才是規則動詞變化和各種時態。本書真正做到由淺入深、循序漸進，讓初學者也能輕易精通，一路輕鬆無障礙！

	◆文法就是要在實際運用中學習！

	豐富的例句＋朗讀MP3，在練習聽說的同時自然學會文法！

	掌握文法原則之後，最重要的就是在實際使用中體會文法的規則。所以，在解說文法之餘，本書也提供上千個實際範例，並且搭配朗讀MP3，讓你一邊聽、一邊唸、一邊記，印象更深刻，自然而然掌握文法感！

	◆隨書附贈動詞變化記憶表

	隨時翻閱，好查好用

	在本書的最後，Silvia老師還貼心附上各種規則、不規則動詞的典型變化記憶表，絕大部分的動詞都能套用其中一種變化模式，任何時候都能簡單查閱，隨時解決關於動詞變化的任何疑惑！ "
9789579138475,"  
	想開口說出標準又浪漫的西班牙語嗎？
	零基礎、最好學、最扎實的《我的第一堂西語課》登場！
	從發音開始，讓你和這美麗的語言輕鬆邂逅！
	學習主題最貼近日常生活，讓你一學馬上應用！
	用生詞搭配動詞，原來講西語這麼簡單！
	用西語問候、點餐、購物、交朋友，有這本就夠！
	搭配音檔QR Code，隨掃即聽，讓您輕鬆學西語！

	想學西班牙語嗎？快來看看這本超適合零基礎的你的學習書！

	本書不但學習主題貼近日常生活，學了可以馬上使用。內容編排更由生詞入門，配合大眾熟悉的學習模式，降低恐懼感。

	熟悉生詞後，再藉由搭配動詞、情境對話，一步步教你如何運用主題生詞。最後的課後練習，更能讓你融會貫通所有學習內容！

	■打破國人語言學習障礙的西語入門書！

	不管你學的是英語、日語還是韓語，總是背單字超厲害、開口說超害怕嗎？那是因為你沒有用對的方法學外語！

	為了打破國人在外語學習中，不敢開口說、實際運用的障礙，本書作者特別根據豐富的教學經驗，融合語言學習的自然步驟，編寫了這套最有效率的西班牙語入門教材，就是要你在短時間內，掌握基礎西班牙語最關鍵、最常見的單字與動詞，進而自在運用西班牙語。

	■這樣入門最輕鬆，從零開始的發音就要這樣學！

	如何開始學西班牙語呢？別再像傻子一樣先把字母的念法背起來了！這樣做不但曠日廢時，等背好時，學習熱情也差不多被磨光了。

	為了快速建立起學習自信，本書作者跳過了西語字母念法，直接示範西語中「母音＋子音」的念法，讓你一個小時之內熟悉西語發音，之後念生詞、念句子都不成問題！

	而有了正確的西語發音，就有敏銳的語感，更能大幅提升之後的聽、說、讀、寫及文法的學習成效！

	■精選生活常用主題，外語環境自己創造！

	語言學習需要熟能生巧，快速熟悉外語的方法，就是將外語應用在日常生活中。只要熟悉日常生活中常用的句子、單字，創造外語環境輕而易舉！

	快看看以下作者精選，最實用、最日常的主題，只要熟悉這些主題中的內容，就能輕鬆用西班牙語和外國朋友溝通！

	Aprendiendo desde cero  從零開始學這些最快
	Lección 0 Introducción  入門：西語背景介紹與極簡發音
	Lección 1 Números  數字：問價錢、要電話、問地址
	Lección 2 Saludos  問候：會重點字，就能打開話題

	Comiendo y bebiendo en el extranjero  出國一定要吃吃喝喝
	Lección 3 Las Bebidas  飲料：下飛機來杯西班牙水果酒
	Lección 4 La comida  食物：旅遊點餐就靠這些關鍵字
	Lección 5 Los postres  點心：讓您嚐遍異國的特色甜點

	Arreglando el itinerario por tí mismo  旅遊行程安排不求人
	Lección 6 Tiempo  時間：安排行程、表達日期時間
	Lección 7 Lugares Públicos  公共場所：出國問路、週末計畫
	Lección 8 Transporte  交通工具：旅行交通安排自己來

	Haciendo amigos de todo el mundo  用西語和世界做朋友
	Lección 9 Idioma y Nacionalidad  語言國籍：和世界各國的人交流
	Lección 10 Pasatiempos  興趣休閒：和新朋友建立社交圈

	■本書特有，主題式高效率學習4步驟！

	除了主題選擇貼近日常生活，方便學習者能輕鬆、立即運用外，本書特殊的學習步驟，也是你學好、說好西班牙語的無敵利器。快看以下4步驟，你會發現，初學者要使用變化豐富的句子，其實那麼簡單！

	步驟1. 主題生詞，一次學會
	在開始運用西語之前，總要了解一些基礎的生詞。因此在每章的開頭，老師都精選了與該主題相關的實用生詞，用大家常見的外語學習習慣，作為該課的開場與暖身。在生動插圖的搭配下，輕鬆將生詞輸入腦袋裡吧！

	例：
	第五課點心（Los postres）生詞
	El pan  麵包 (m)
	El queso 起司 (m)
	Las palomitas de maíz  爆米花 (f)
	El bizcocho  蛋糕 (m)
	La galleta  餅乾 (f)
	El helado  冰淇淋 (m)
	La fruta  水果 (f)

	步驟2. 搭配動詞，馬上運用
	沒辦法馬上記熟主題生詞嗎？完全沒有關係！接下來的搭配動詞，馬上讓你實際運用主題生詞。

	肯定句、否定句、肯定疑問句、否定疑問句，搭配現在式6個動詞變化，每個入門動詞，作者都精心列出多達24句例句，力求每個主題生詞都能在例句中實際運用。除此之外，還有貼心的「可能使用情境」說明，讓你遇到相似情境，腦袋就能自然反應說出得體西語。

	透過循序漸進、反覆卻不無聊的練習，你想忘記生詞、句型都很難！

	例：
	第五課點心（Los postres）搭配動詞1：COMPRAR（買）

	（一）COMPRAR現在式動詞變化：
	我買：Yo compro
	你買：Tú compras
	他買／她買／您買：Él / Ella / Usted compra
	我們買（陽性）／我們買（陰性）：Nosotros / Nosotras compramos
	你們買／妳們買：Vosotros / Vosotras compráis
	他們買／她們買／您們買；Ellos / Ellas / Ustedes compran

	（二）用法：
	1. 某人買＿＿＿＿。（肯定句）
	人稱＋comprar動詞變化＋數量＋postre（點心）.

	‧Yo compro un pastel.  我買一個蛋糕。
	‧Tú compras una gelatina.  你買一個果凍。

	步驟3. 即學即用，融會貫通
	學會使用主題生詞和搭配動詞後，想像實際運用時的情況看看吧！「即學即用」設計主題相關情境，模擬西語對話，讓你發現馬上開口說其實沒那麼難！

	例：
	第五課點心（Los postres）：Dos amigos compran en un supermercado.  兩個朋友在超市買東西。

	A: Quiero comprar un helado de chocolate.  我要買一個巧克力冰淇淋。
	B: A mí no me gusta el chocolate.  我不喜歡巧克力。
	A: A mí me gusta mucho.  我很喜歡。
	¿Qué helado te gusta?  你喜歡什麼冰淇淋？
	B: Me gusta el helado de fresa.  我喜歡草莓冰淇淋。
	Hoy no quiero comprar helado. Quiero comprar un pastel de frutas.  今天我不要買冰淇淋，我要買一個水果蛋糕。
	A: ¿Te gusta este?  你喜歡這個嗎？
	B: Sí, ¿cu&aacu "
9789864753925,"  
學西語就是要「超分解」！
一句話聽起來落落長，聽完也只是霧煞煞？
動詞該在哪？疑問詞又該如何使用？
透過生活會話逐步漸進，
一回神！發現自己說得一口溜西語！

西語會話「拆給你看」！
逐字解釋、分類學習，讓你言之有物！
瞭解西班牙語的邏輯與規則，
快速、輕鬆、開口就能說！


◆開口就能說、每句都好用！
	設定各式各樣的情境，從問候、自我介紹、購物到旅遊，
	只要替換套用想說的關鍵字，西語溝通能力瞬間提升！
	學習最實用的會話與應用，輕鬆用西語表達想說的話！

◆逐字解釋，快速理解！
	主題會話中每一個字都附加解釋，幫助理解文法與句構！

◆重點整理字詞使用方式！
	名詞加註陽性／陰性名詞標示，
	表格整理人稱等動詞變化的活用與整理、主詞與動詞的組合方式
	清楚明瞭沒有疑慮！

◆練習題讓學習更完整！
	每一篇主題都附上總整理練習題，
	馬上測試學習成效，同時加深印象，學習無漏洞！

◆附贈雙速MP3！
	[ STEP 1 ] → 先聽一句中文、一句西班牙語的慢速發音版本
	透過複誦，學習西班牙語的「口說能力」！
	[ STEP 2 ] → 接著播放速度較快、只有西班牙語的情境會話
	透過聆聽自然速度的發音，培養「聽力」！

	透過貼近生活的各種情境的會話＋文法解說＋練習題
	讓你愈學愈上手！愈學愈有趣！
	學習×實用×效率，原來用西語聊天這麼簡單！

本書特色

	★ 最實用生活、旅遊情境，學會這些就能開口溜西語！
	★ 拆解會話構造，真正的理解打造最強會話實力！
	★ 動詞變位、文法重點大整理，事半功倍的快速西語會話入門！ "
9789865775025,  讓學生不想下課的18堂西文課，史上最活潑生動的西班牙語學習書西班牙語是世界三大語言之一，也是世界各地繼英文和中文之後傾嚮學習的語言。在台灣，過去多侷限於大學生的學習者，現在在高中也成了熱門的第二外語。本書的編排方式是從發音開始教起，再搭配上18堂循序漸近的會話課程。除此之外，您知道西班牙的冰咖啡和我們有什麼不同嗎？過年時為什麼要吃12顆葡萄呢？本書將帶您一起遊覽不同於東方文化的西語世界喲！本書特色1. 從發音開始教起每個字母的讀音，在單字時該如何發音，除了書上有完整的解說之外，還可以搭配CD一起學習。不同於英文，西文書是不標音標的！因為西文字母的發音，在單字裡幾乎是單一的，所以只要將發音學好，任何單字都難不倒你！2. 介紹與東方文化不同的西語世界說西語的國家可不是只有西班牙喔！將西語列為官方語言的國家就有21個，連美國境內都有說西班牙語的地區。而西班牙這個擁有世界文化遺產居全球第二的國家，他們的生活作息、計數單位等，可是和我們大不相同。在每個單元的最後，還有一個小故事分享喔！3.十八堂完全圖解的情境式會話有家庭、有校園、有生活、有旅遊，每個單元都會讓你有身歷其境的學習感。4.完整的基礎單字與補充單字整理除了和會話有關於的基礎單字外，每個單元還有實用的補充單字。單字是依字母順序做排序，而且都有詞性與陰陽的標註。5.系統式的文法解說本書的語法解析是以系統的方式來做編排並以口語的方式做解說，相當容易瞭解。6.簡單有趣的練習每堂課最後的練習，可是相當靈活有趣。不僅可以驗收自己的學習成果之外，還有把整堂課複習一遍的功效喲！7.有送語言學習光碟MP3喲！本書所加贈的光碟，是以西班牙語為母語的外籍配音員所錄製。 
9789578157101," 西班牙語
　出國旅遊時，語言不通怎麼辦？AA旅遊句型隨身書提供從訂房到餐館點餐、購物，以至於汽車故障、問路、如何打電話等2000多個最實用的語句與單字，同時並列中、英、德三國語言，檢索容易，簡潔詳明，足夠可以輕鬆的應付各種狀況，幫助讀者解決旅途中所發生的問題，避免產生不便與誤解，盡情開心享受每一趟安全的旅遊。

　此外，雖書附贈旅遊句型隨身聽CD有聲書，由外籍人士以標準發音錄製，幫助讀者在最短時間掌握發音要訣，可以在旅遊中勇於開口發言。

　此套叢書包含了歐洲最為通行的英語、法語、德語、西班牙語及義大利語，書中內容包羅萬象。 "
9786267009505,"  
一冊在手，暢行無阻，最貼近西班牙的旅行會話
	一句一句的會話練習，密切貼近當地生活


★隨書附贈QR Code雲端音檔
	串聯網路，隨掃隨聽，即時學習不受限！

★【西‧英‧中】三語對照
	→不會講西班牙語的人，也能照著唸出道地西語！
	→一指神通學習法！看到卻不會說？書拿出來用「指」的吧！
	→收錄遊西班牙一定會用到的的必學字彙與實用會話！
	→真人示範，一聽就會，學會最道地的發音和語調！

★去西班牙非帶不可
	1.不會說？用比的也OK！
	→第一時間唸不出來，拿書直接用手比，輕鬆表達所需。

	2.不會唸？隨書附MP3QRCode，手機一掃隨身聽！
	→方便快速查詢、直接學習，聽到什麼馬上能說什麼。

	3.初學入門：精選實用對話，立刻進入狀況
	→精選旅途中必備詞句，幫助你用最短時間入門。

	4.中級程度：快速恢復功力
	→幫助複習、統整從前所學，輕鬆喚回記憶。

	5.雙語併用：暢遊歐洲更方便
	→隨時可轉換使用英文，面對臨時狀況得心應手。

★精心設計六大特色
	1.身歷其境：內容完全根據筆者在西班牙求學、居住及旅遊期間的了解和親身經驗撰寫，讓你身歷其境學習更帶勁。除了地圖之外，所有照片全為筆者及師友學生在西班牙實景拍攝。

	2.無須基礎：適合沒有西班牙文基礎的讀者閱讀及學習，也適合擁有西班牙文初中級程度的讀者快速參考、複習、整合使用。

	3.語言文化：是語言學習書，也是旅遊工具書。除了介紹在西班牙旅遊時所可能用到的字彙及對話，同時提供重點文化背景介紹。

	4.便利閱讀：以主題分篇章方便隨時查閱，讀者可依據個人需求及興趣，自由選擇要閱讀哪些部分。

	5.英文參考：書中的字彙及例句，除了以中文及西班牙文標示之外，同時列出英文翻譯供讀者隨時應變參考。

	6.雲端音檔：QR Code一掃，單字會話想聽就聽，隨時帶著走。也很適合當成背景音樂練習聽力，隨時學習無壓力。

本書特色

	◎版面經過特別設計，第一時間說不出口，直接拿書用手比也OK！
	◎隨書附贈MP3 QR Code，手機一掃隨身聽！講不標準沒關係，真人直接幫你唸！
	◎西、英、中三語對照，深入體驗當地生活，溝通便利無障礙！ "
9789865560201,"  
佳評如潮！

『我的西語課』系列強勢回歸

這次，《我的第三堂西語課》帶你直闖西班牙

挑戰用流利西語一起遊學去

	 

	已經有西語基礎的你，好奇到西語系國家的遊學生活嗎？

	想進一步在西語環境中訓練聽力、口說嗎？

	快跟著人氣西語老師『台瓜夫妻』游皓雲、洛飛南（Fernando López）的最新教材，一起到西班牙遊學吧！

	 

	《我的第三堂西語課》為《我的第一堂西語課》、《我的第二堂西語課》之銜接教材，並延續此系列的直覺式學習法，給你最貼近台灣學習者需求、生活體驗的西語教學內容。這次，除了增加課程的西語難度，更將場景直接帶到西班牙，讓你跟著來自台灣的遊學生Alejandra一起挑戰，在西語環境實際運用所學！

	 

※適讀程度：西語程度相當於CEFR A1-A2之班級或自學者

	 

※11堂課：跟著Alejandra展開西班牙遊學生活吧！

	本書從第0課開始，帶你跟著課文主角，一起苦惱如何挑選合適的語言學校。接著第1課出發至當地，展開後續10課間，找寄宿家庭、到語言學校報到、實際上課及課後活動的有趣情節。場景橫跨台灣、西班牙，從機場、車站、電信公司、當地人家、語言學校到餐廳等，像連載小說般，逐課推進新劇情，視角既富親切感又貼近當地生活，讓人好奇Alejandra在西班牙做了哪些活動呢？

	 

	Lección 0: Preparándose para estudiar en el extranjero

	第零課：出國遊學前的準備

	Lección 1: Llegando al aeropuerto de Madrid 

	第一課：到達馬德里機場

	Lección 2: Comprando billete de tren para ir a Granada

	第二課：買火車票去格拉納達

	Lección 3: Comprando una tarjeta SIM para tener internet

	第三課：買SIM卡來上網

	Lección 4: El primer encuentro con la familia anfitriona

	第四課：跟寄宿家庭第一次見面

	Lección 5: Alquilando y compartiendo un piso con otras personas

	第五課：跟別人合租房子

	Lección 6: Registrándose en la escuela

	第六課：到學校報到

	Lección 7: Haciendo el examen de nivel

	第七課：做分班程度測驗

	Lección 8: Primer día de clase, conociendo a los compañeros de clase

	第八課：第一天上課，向同學介紹自己

	Lección 9: Yendo de tapas con los compañeros después de la clase

	第九課：下課後跟同學一起去吃tapas

	Lección 10: Participando en una actividad cultural con los compañeros

	第十課：跟同學計畫一起參與當地藝文活動

	 

※4大步驟：以直覺練習代替繁複解說，步步提升西語實力！

	本書共11課，每課除了引人入勝的故事情節之外，還有課文閱讀理解練習、生詞、語法與句型等活潑又扎實的內容，一起來看看吧。

	 

步驟1：課文

	如連載小說般的故事情節，讓你等不及翻到下一課！課文依情境不同，有短文、有對話，皆採兩欄式西語、中文對譯，可以先遮住中文部分挑戰自己的理解力，再掀開確認不懂的地方。還有為故事情節量身打造的精美插圖，場景、人物躍然紙上！

	 

	例：

	Alejandra: ¿Te acuerdas de que aquí en España la gente cena a partir de las 9? A las 7 creo que no va a haber nada en los bares.

	你記得西班牙都是晚上9點開始吃晚餐的嗎？我覺得7點的話酒吧應該什麼都沒有耶。

	 

	Sabrina: Es verdad. Todavía no estoy acostumbrada a la hora tan loca de comer en España.

	對吼！我還沒習慣西班牙這個瘋狂的用餐時間……

	 

	Daniel: Yo tampoco. Seguro que a las 7 voy a comer algo en casa primero.

	我也不行。我7點一定就會在家先吃點東西了。

	 

步驟2：課文閱讀理解練習

	閱讀完有趣的課文後，必須測驗自己是不是確實了解了！每課都出10題考你課文裡的細節，還會有幾題「分享自己經歷、給建議」的題目，想一想該怎麼回答，實際遇到時，就不再兵荒馬亂！

	 

	例：

	1. ¿A qué hora quedaron los estudiantes? ¿Por qué? 

	學生們約了幾點見？為什麼？

	 

	2. ¿A qué hora es la cena normalmente en tu país? 

	在你的國家，通常是幾點吃晚餐？

	 

步驟3：生詞

	挑出課文中出現的重點生詞，並依名詞、動詞、形容詞等詞性分類，方便查找。最重要的動詞部分，更依照「ar動詞」、「er動詞」、「ir動詞」、「反身動詞」進一步分類，閱讀課文時，不妨先試試自己是否都找到了，並用生詞表來確認喔！

	 

	例：

	la sangría  西班牙水果酒

	la clara  啤酒加汽水

	 

步驟4：語法與句型

	現在式、現在進行式、未來式、簡單過去式、現在完成式、肯定與否定命令式……，這麼多看似深難的語法及複雜的西語動詞變化，本書都用最直覺的方式，將書內解說文字減至最低，並以大量的實戰演練代替。每個句型，也都標明清楚的公式，讓你一看就懂、一懂就能用！力求不被語法綑綁思緒，將注意力放在如何用西語表達上，希望讓你達到真正像母語人士般運用自如的境界。

	 

	例：

	「a partir de」（從……起）

	請看課文中的例子：

	¿Te acuerdas que aquí en España la gente cena a partir de las 9?

	你記得西班牙都是晚上9點開始吃晚餐的嗎？

	 

	實戰演練：請用「a "
