ISBN,書籍簡介
9789570526288," ●詞目26,000條，選詞精當實用。●中文釋義簡明確切●附編十五類有關日常生活起居的實用法語圖說（其中十四頁彩圖），可按圖索字，方便實用。●正文後附動詞變位表和原形動詞索引表，有助於讀者掌握語法知識和方便查找詞彙。 "
9789570526295," ●詞目近三萬條，選詞精當、實用。●以＊號標明常用詞。●注重新詞、新義。●中文釋義準確恰當。●收有短語、諺語，以及外來語和拉丁美洲方言詞彙。●有四個附錄，提供實用參考資料。 "
9789868676343,  本書是一本韓國語學習者的必備工具書！　　如果你是一位韓國語學習者，除了應當必備一套按照音序排列的“韓-漢”、“漢-韓”詞典外，還應當必備一本韓國語分類詞典。對於學習者和使用者來說，在韓國語的語言學習過程中，往往是根據談論或者研究的話題產生詞彙需求，分類詞典能夠很好地解決這種需要，因此本書應當是韓國語學習者和使用者必備的一本工具書。本書的編寫特色　　本書收詞量大，收入8000多個韓國語單詞，為讀者提供了有效的詞彙框架，是獲得韓國語基本詞彙的工具。　　本書收詞面廣，涵蓋十四大主題類別，分類科學合理。如果你已經有了一定的韓國語基礎，就會發現本書詞彙的組織模式對於提升或鞏固所掌握的詞彙有極大的幫助；如果你是韓國語專業的大學生，就會發現在準備口語課堂任務和就某一特定話題做書面表達時，本書能夠給你提供卓越成效的幫助；如果你正在韓國工作或者探親訪友，就會發現本書能幫助你迅速查找到所要表達的詞彙。　　本書收錄最新詞彙，包括生活、科技、社會、政治、經濟等領域的新鮮詞彙，是一本比較“時尚”的詞彙工具書。　　本書小巧精緻，便於攜帶；在大的主題類別中，嚴格按照音序排列，易於檢索。本書採用雙色印刷，版式設計美觀大方，條理清晰。本書的內容結構　　本書包括發音簡表、十四大主題分類詞彙（數量與度量，空間與時間，自然與物質，人，交流，日常生活，業餘生活，旅行與交通，教育，工作與商界，科學技術，政治、法律、宗教與歷史，緊急情況，重點問題等），以及按音序排列的韓-漢詞彙表等。　　發音簡表教你如何讀出單詞、短語和句子，幫助你贏在語音入門的起跑線。　　分類詞彙的十四大主題部分又分成五十個次主題，例如，“人”的這個大主題分為五個次主題︰身體、描述人、醫療與健康、家庭和朋友、民族。每個次主題又分成更具體的主題，如“描述人”又分成外貌特徵、年齡、描述性格等）。如此設計是為了幫助你系統地掌握各種詞彙，在你使用韓國語時滿足你的各種需要。　　韓-漢詞彙表用來幫助讀者在使用過程中快速查找詞彙。 
9789865953218," 台韓雙邊經濟貿易往來頻繁，台灣對韓國貿易總額2011年超過300億美元、2012年超過269億美元，韓國是台灣非常重要的貿易國。而韓國知識經濟部更表示，韓國將在2013年擊敗義大利，成為世界第八大貿易大國。工欲善其事，必先利其器。在經貿實務作業上，一定會遇到各種艱澀、難查的相關詞彙。有時雖然可以利用網路上交互查詢到對應的翻譯，但耗時費力，而且難以查證其正確性；而大多數的專有名詞、專業詞彙，往往連網路都難以查詢。因此，一本內容充實、選詞專門的經貿用語集，絕對是必要的。本書係中國文化大學韓國語文學系獲得韓國學中央研究院（The Academy of Korean Studies）「海外韓國學重點大學」計畫案中的一項成果，由游娟鐶博士歷時多年、數十次反覆校對修訂，才得以執行完成編纂。內含經貿相關專有詞彙等共2400餘條，比照韓語辭典順序編排，皆為「韓．英．中」三語對照，並有重要且實用的附錄（度量衡、韓國企業職稱、數量名詞等），是商務、經貿專業相關人士不可或缺的工具書。值得一提的是，由於韓國經濟也倚重中國市場，本書中譯部分也編入台灣相異的大陸用語，在實務上的運用更加順暢，讓跨國貿易能無縫接軌。本書的完成經歷多次的校對與修訂，然撰稿、編輯過程繁複，若有疏漏之處，由衷期盼各界先進不吝指教與鞭策，共同為韓語教育貢獻心力。本書特色一本經貿人士不可或缺的專業工具書！游娟鐶博士藉由接觸科技經貿產業多年相關經驗精心整理集結成冊，首創韓英中三國語言經貿詞彙，網路上怎樣都難以查到的業界用語，完整收錄，即查即用，唯有《韓英中實用經貿詞彙》才能滿足經貿人士的需求，本書除了一般商用所需的詞彙外，還提供了更進階的專業經貿用語，打造出最專業的經貿人才！韓英中實用經貿詞彙6大特色1.國際化：韓英中用語相互對照，國際通用！2.最專業：由游娟鐶博士精心蒐集、匯整，歸納出最專業的經貿詞彙；中譯包含台灣及大陸用語，專業應用無障礙。3.最完整：全書收錄近3000條的專業經貿詞彙，一應俱全！4.最清晰：採韓英中三欄對照，編排一目瞭然，字體大小適中，閱讀不吃力。5.好查詢：全書採韓語辭典順序編排，可依右頁索引查詢，節省查詢時間。6.好方便：收錄國家城市語言、度量衡、化學元素表、韓國企業職稱、數量名詞、位置、季節、月份、星期與時間等實用附錄。 "
9789571166520," 想學韓語的哈韓族們，再也不必勉強自己用簡體版的字典了。因為一本由國人自己編寫，繁體中文版的韓中辭典終於出現了！本辭典當中精選韓語最常使用的韓語詞彙，並以韓文、中文直接對照的編排方式，讓您使用起來一目了然、即查即用！重要的詞彙並附加相關詞彙及延伸詞組，幫助您運用聯想記憶法，快速記憶單字並掌握語彙用法。有了這本韓中常用語詞典一書在手，無論是追星或是去韓國旅遊都OK啦！本書特色一本空前超好用的韓中常用語詞典！本書特色韓中詞彙直接對照：採用韓中一對一對照的編排方式，字義一目了然。附相關詞彙及延伸詞組：主詞彙加上相關詞彙、延伸詞組，總字詞達上萬條。雙色印刷便於瀏覽：全書採用雙色印刷，方便讀者分辨字詞之間的關連性。 "
9789570526257," ◎詞目三萬條。◎以查閱詞義為主，部份詞目兼有常用詞組。◎除德語基本詞彙、一般詞彙外，有科技詞彙和外來語。◎注意選收新詞、新義。◎十五幅德語圖說（七幅彩圖）提供常用語詞彙。◎正文後有不規則變化動詞總表。 "
9789867736369," 本書收錄了有關商貿、財會、稅務、金融、證券、保險、企業管理、經濟理論等方面的常用28000餘條，翻譯彙編成集，供讀書參考使用。 "
9789867766274,0
9789867766335,0
9789867766342,0
9789627123736,0
9789867766281,0
4715449400835,0
9789627123026," 本書是一本嶄新，獨特，前所未有的辭典﹔是獻給懂英語的華人，特別是居住在國際大都市如上海，香港，新加坡，台北等的學法語人士一本與時代結合拍的語言工具書﹔他對學漢語和法語學生同樣有用！ "
9780844214801,0
9780844214757,0
9789579040884,0
9780844214658,0
9789579040815,0
9789570303049,0
9789579687126,0
9789620701603,0
