書名,書籍網站,作者,出版社,ISBN,圖片網址
字音字形全方位訓練：進階篇,https://www.kingstone.com.tw//basic/2018020414866?zone=book&lid=book_class3_kab&actid=book_class3_kab,蔡有秩,螢火蟲    ,9789866372919,https://cdn.kingstone.com.tw/book/images/product/20180/2018020414866/2018020414866b.jpg
我也繪漢字 Ⅲ【正簡通用版】,https://www.kingstone.com.tw//basic/2018020582732?zone=book&lid=book_class3_kab&actid=book_class3_kab,陳學志、林振興、張瓅勻,正中書局  ,9789570919783,https://cdn.kingstone.com.tw/book/images/product/20180/2018020582732/2018020582732b.jpg
畫說部首最有趣（萬象卷.器物卷）,https://www.kingstone.com.tw//basic/2018020572665?zone=book&lid=book_class3_kab&actid=book_class3_kab,劉克升,新文創    ,9789579068260,https://cdn.kingstone.com.tw/book/images/product/20180/2018020572665/2018020572665b.jpg
畫說部首最有趣（動物卷.自然卷）,https://www.kingstone.com.tw//basic/2018020571743?zone=book&lid=book_class3_kab&actid=book_class3_kab,劉克升,新文創    ,9789579068222,https://cdn.kingstone.com.tw/book/images/product/20180/2018020571743/2018020571743b.jpg
新思維錯別字辨正語典,https://www.kingstone.com.tw//basic/2018020571323?zone=book&lid=book_class3_kab&actid=book_class3_kab,司馬特,商周出版  ,9789864776542,https://cdn.kingstone.com.tw/book/images/product/20180/2018020571323/2018020571323b.jpg
說文解字540部首習作本,https://www.kingstone.com.tw//basic/2018020571293?zone=book&lid=book_class3_kab&actid=book_class3_kab,沈心慧、叢培凱、陳逸文等,新學林    ,4717385757127,https://cdn.kingstone.com.tw/book/images/product/20180/2018020571293/2018020571293b.jpg
畫說部首最有趣（人體卷.動作卷）,https://www.kingstone.com.tw//basic/2018020569252?zone=book&lid=book_class3_kab&actid=book_class3_kab,劉克升,新文創    ,9789579068161,https://cdn.kingstone.com.tw/book/images/product/20180/2018020569252/2018020569252b.jpg
生字大補帖1,https://www.kingstone.com.tw//basic/2018020558843?zone=book&lid=book_class3_kab&actid=book_class3_kab,正中編輯委員會,正中書局  ,4711605480307,https://cdn.kingstone.com.tw/book/images/product/20180/2018020558843/2018020558843b.jpg
辨字‧讀字‧懂字：每日一漢字,https://www.kingstone.com.tw//basic/2018020539491?zone=book&lid=book_class3_kab&actid=book_class3_kab,張鼎,西北國際  ,9789869460774,https://cdn.kingstone.com.tw/book/images/product/20180/2018020539491/2018020539491b.jpg
漢字學堂：畫說地球與萬物的故事,https://www.kingstone.com.tw//basic/2018020479568?zone=book&lid=book_class3_kab&actid=book_class3_kab,高詩佳、陳世憲,五南      ,9789571185729,https://cdn.kingstone.com.tw/book/images/product/20180/2018020479568/2018020479568b.jpg
