書名,書籍網站,作者,出版社,ISBN,圖片網址
柳園聯語（上、下）全兩冊不分售,https://www.kingstone.com.tw//basic/2018560211260?zone=book&lid=book_class3_kag&actid=book_class3_kag,楊君潛,萬卷樓    ,9789577399922,https://cdn.kingstone.com.tw/book/images/product/20185/2018560211260/2018560211260b.jpg
婚喪喜慶題辭‧呷新娘茶,https://www.kingstone.com.tw//basic/2018560210058?zone=book&lid=book_class3_kag&actid=book_class3_kag,蔡狄秋,文國書局  ,9789862471500,https://cdn.kingstone.com.tw/book/images/product/20185/2018560210058/2018560210058b.jpg
巧聯妙對打油詩,https://www.kingstone.com.tw//basic/2018560209359?zone=book&lid=book_class3_kag&actid=book_class3_kag,連揚帆,樹葉出版  ,9789868839731,https://cdn.kingstone.com.tw/book/images/product/20185/2018560209359/2018560209359b.jpg
趣詩妙聯,https://www.kingstone.com.tw//basic/2018300060875?zone=book&lid=book_class3_kag&actid=book_class3_kag,余我,國家      ,9789573614463,https://cdn.kingstone.com.tw/book/images/product/20183/2018300060875/2018300060875b.jpg
寫好聯，過好年,https://www.kingstone.com.tw//basic/2018560202275?zone=book&lid=book_class3_kag&actid=book_class3_kag,魏寧.路曉紅,華志文化  ,9789865936648,https://cdn.kingstone.com.tw/book/images/product/20185/2018560202275/2018560202275b.jpg
天下對聯大全集,https://www.kingstone.com.tw//basic/2018560206723?zone=book&lid=book_class3_kag&actid=book_class3_kag,魏寧.路曉紅,華志文化  ,9789865636050,https://cdn.kingstone.com.tw/book/images/product/20185/2018560206723/2018560206723b.jpg
實用對聯辭典,https://www.kingstone.com.tw//basic/2018560198349?zone=book&lid=book_class3_kag&actid=book_class3_kag,丁榮凡,國家      ,9789573613664,https://cdn.kingstone.com.tw/book/images/product/20185/2018560198349/2018560198349b.jpg
最新常用對聯寶典,https://www.kingstone.com.tw//basic/2018560199971?zone=book&lid=book_class3_kag&actid=book_class3_kag,黃博榮,文國書局  ,9789862470657,https://cdn.kingstone.com.tw/book/images/product/20185/2018560199971/2018560199971b.jpg
新編實用對聯大全,https://www.kingstone.com.tw//basic/2018560200011?zone=book&lid=book_class3_kag&actid=book_class3_kag,黃博榮,文國書局  ,9789862470640,https://cdn.kingstone.com.tw/book/images/product/20185/2018560200011/2018560200011b.jpg
中國千年對聯故事,https://www.kingstone.com.tw//basic/2018560199131?zone=book&lid=book_class3_kag&actid=book_class3_kag,馬書田,國家      ,9789573609926,https://cdn.kingstone.com.tw/book/images/product/20185/2018560199131/2018560199131b.jpg
中華對聯大典（1）吉祥如意,https://www.kingstone.com.tw//basic/2018560155625?zone=book&lid=book_class3_kag&actid=book_class3_kag,吳餘鎬編著,大孚      ,9789577653680,https://cdn.kingstone.com.tw/book/images/product/20185/2018560155625/2018560155625b.jpg
中華對聯大典（2）五福臨門,https://www.kingstone.com.tw//basic/2018560155755?zone=book&lid=book_class3_kag&actid=book_class3_kag,吳餘鎬編著,大孚      ,9789577653697,https://cdn.kingstone.com.tw/book/images/product/20185/2018560155755/2018560155755b.jpg
中華對聯大典（3）大富大貴,https://www.kingstone.com.tw//basic/2018560155885?zone=book&lid=book_class3_kag&actid=book_class3_kag,吳餘鎬編著,大孚      ,9789577653703,https://cdn.kingstone.com.tw/book/images/product/20185/2018560155885/2018560155885b.jpg
中華對聯大典（4）三陽開泰,https://www.kingstone.com.tw//basic/2018560155915?zone=book&lid=book_class3_kag&actid=book_class3_kag,吳餘鎬編著,大孚      ,9789577653710,https://cdn.kingstone.com.tw/book/images/product/20185/2018560155915/2018560155915b.jpg
對聯新語（二次增訂本）,https://www.kingstone.com.tw//basic/2018560155335?zone=book&lid=book_class3_kag&actid=book_class3_kag,陸家驥,臺灣商務  ,9789570519372,https://cdn.kingstone.com.tw/book/images/product/20185/2018560155335/2018560155335b.jpg
中國對聯故事 （下集）,https://www.kingstone.com.tw//basic/2018560107204?zone=book&lid=book_class3_kag&actid=book_class3_kag,陳圖麟,正展      ,9789578317420,https://cdn.kingstone.com.tw/book/images/product/20185/2018560107204/2018560107204b.jpg
古今楹聯大觀,https://www.kingstone.com.tw//basic/2018560115117?zone=book&lid=book_class3_kag&actid=book_class3_kag,陳香,國家      ,9789573606925,https://cdn.kingstone.com.tw/book/images/product/20185/2018560115117/2018560115117b.jpg
趣味聯共賞,https://www.kingstone.com.tw//basic/2018560097116?zone=book&lid=book_class3_kag&actid=book_class3_kag,余我,國家      ,9789573605485,https://cdn.kingstone.com.tw/book/images/product/20185/2018560097116/2018560097116b.jpg
巧思妙手織錦文（上）,https://www.kingstone.com.tw//basic/2018110045291?zone=book&lid=book_class3_kag&actid=book_class3_kag,張清榮,幼獅文化  ,9789575308858,https://cdn.kingstone.com.tw/book/images/product/20181/2018110045291/2018110045291b.jpg
巧思妙手織錦文（下）,https://www.kingstone.com.tw//basic/2018110045321?zone=book&lid=book_class3_kag&actid=book_class3_kag,張清榮,幼獅文化  ,9789575309763,https://cdn.kingstone.com.tw/book/images/product/20181/2018110045321/2018110045321b.jpg
古今藝術名聯選粹,https://www.kingstone.com.tw//basic/2018560084413?zone=book&lid=book_class3_kag&actid=book_class3_kag,張沾　著,臺灣商務  ,9789570512212,https://cdn.kingstone.com.tw/book/images/product/20185/2018560084413/2018560084413b.jpg
應用對聯大全,https://www.kingstone.com.tw//basic/2018560005289?zone=book&lid=book_class3_kag&actid=book_class3_kag,周大同,大孚      ,9789577650856,https://cdn.kingstone.com.tw/book/images/product/20185/2018560005289/2018560005289b.jpg
萬用對聯大全,https://www.kingstone.com.tw//basic/2018560005319?zone=book&lid=book_class3_kag&actid=book_class3_kag,周大同,大孚      ,9789577650863,https://cdn.kingstone.com.tw/book/images/product/20185/2018560005319/2018560005319b.jpg
實用對聯集錦,https://www.kingstone.com.tw//basic/2018560143974?zone=book&lid=book_class3_kag&actid=book_class3_kag,楊傑,台灣實業  ,9789867686077,https://cdn.kingstone.com.tw/book/images/product/20185/2018560143974/2018560143974b.jpg
巧聯妙對,https://www.kingstone.com.tw//basic/2018560135771?zone=book&lid=book_class3_kag&actid=book_class3_kag,鄭嘉善,星光      ,9789576775000,https://cdn.kingstone.com.tw/book/images/product/20185/2018560135771/2018560135771b.jpg
佛寺庵楹聯瑣談,https://www.kingstone.com.tw//basic/2012240011690?zone=book&lid=book_class3_kag&actid=book_class3_kag,陳家驥編譯,大千出版社,9789578231467,https://cdn.kingstone.com.tw/book/images/product/20122/2012240011690/2012240011690b.jpg
格言聯璧（上）,https://www.kingstone.com.tw//basic/2018560120234?zone=book&lid=book_class3_kag&actid=book_class3_kag,李復國,漢威      ,9789579505598,https://cdn.kingstone.com.tw/book/images/product/20185/2018560120234/2018560120234b.jpg
格言聯璧（下）,https://www.kingstone.com.tw//basic/2018560120364?zone=book&lid=book_class3_kag&actid=book_class3_kag,漢威,漢威      ,9789579505604,https://cdn.kingstone.com.tw/book/images/product/20185/2018560120364/2018560120364b.jpg
中國對聯故事 (上集),https://www.kingstone.com.tw//basic/2018560107044?zone=book&lid=book_class3_kag&actid=book_class3_kag,陳圖麟,正展      ,9789578317406,https://cdn.kingstone.com.tw/book/images/product/20185/2018560107044/2018560107044b.jpg
實用對聯集成,https://www.kingstone.com.tw//basic/2018560115797?zone=book&lid=book_class3_kag&actid=book_class3_kag,門冀華,正展      ,9789578317734,https://cdn.kingstone.com.tw/book/images/product/20185/2018560115797/2018560115797b.jpg
巧聯妙對打油詩,https://www.kingstone.com.tw//basic/2018560114325?zone=book&lid=book_class3_kag&actid=book_class3_kag,連揚帆,玉匠      ,9789579182669,https://cdn.kingstone.com.tw/book/images/product/20185/2018560114325/2018560114325b.jpg
實用對聯大全,https://www.kingstone.com.tw//basic/2018560112451?zone=book&lid=book_class3_kag&actid=book_class3_kag,張弓長,書香門第  ,9789576051227,https://cdn.kingstone.com.tw/book/images/product/20185/2018560112451/2018560112451b.jpg
中國楹聯精粹,https://www.kingstone.com.tw//basic/2018560109888?zone=book&lid=book_class3_kag&actid=book_class3_kag,李勇,正展      ,9789578317475,https://cdn.kingstone.com.tw/book/images/product/20185/2018560109888/2018560109888b.jpg
中國對聯故事 (中集),https://www.kingstone.com.tw//basic/2018560107174?zone=book&lid=book_class3_kag&actid=book_class3_kag,陳圖麟,正展      ,9789578317413,https://cdn.kingstone.com.tw/book/images/product/20185/2018560107174/2018560107174b.jpg
