書名,書籍網站,作者,出版社,ISBN,圖片網址
台語的鄉土口味：俗諺、俚語,https://www.kingstone.com.tw//basic/2015390169181?zone=book&lid=book_class3_kah&actid=book_class3_kah,顏勝堂,島座放送  ,9789869857246,https://cdn.kingstone.com.tw/book/images/product/20153/2015390169181/2015390169181b.jpg
成語四格漫畫,https://www.kingstone.com.tw//basic/2018020573587?zone=book&lid=book_class3_kah&actid=book_class3_kah,晨星編輯部,晨星      ,9789864439874,https://cdn.kingstone.com.tw/book/images/product/20180/2018020573587/2018020573587b.jpg
成語就是這樣讀和寫－－看成語笑話拚字音字形競賽,https://www.kingstone.com.tw//basic/2015232889666?zone=book&lid=book_class3_kah&actid=book_class3_kah,呂淑敏,五南      ,9789571190624,https://cdn.kingstone.com.tw/book/images/product/20152/2015232889666/2015232889666b.jpg
台灣俗語鹹酸甜（第四冊）,https://www.kingstone.com.tw//basic/2015390167767?zone=book&lid=book_class3_kah&actid=book_class3_kah,蕭平治,前衛      ,9789578018860,https://cdn.kingstone.com.tw/book/images/product/20153/2015390167767/2015390167767b.jpg
情不知所起，一往而深——文史名家智解70款婚戀私語、15種兩性關係，引領我們重回古典純粹的深情時光,https://www.kingstone.com.tw//basic/2018020560174?zone=book&lid=book_class3_kah&actid=book_class3_kah,王立群,麥田      ,9789863446224,https://cdn.kingstone.com.tw/book/images/product/20180/2018020560174/2018020560174b.jpg
諧畫成語Chinese Idioms for a BETTER Career,https://www.kingstone.com.tw//basic/2018020552421?zone=book&lid=book_class3_kah&actid=book_class3_kah,阿酋,城邦印書館,9789578679337,https://cdn.kingstone.com.tw/book/images/product/20180/2018020552421/2018020552421b.jpg
漫說風雲成語,https://www.kingstone.com.tw//basic/2018020537367?zone=book&lid=book_class3_kah&actid=book_class3_kah,王重實,遠景      ,9789573910237,https://cdn.kingstone.com.tw/book/images/product/20180/2018020537367/2018020537367b.jpg
名人與成語典故,https://www.kingstone.com.tw//basic/2018020545980?zone=book&lid=book_class3_kah&actid=book_class3_kah,編輯,昌明文化  ,9789869491907,https://cdn.kingstone.com.tw/book/images/product/20180/2018020545980/2018020545980b.jpg
俗語與俚語,https://www.kingstone.com.tw//basic/2015390162267?zone=book&lid=book_class3_kah&actid=book_class3_kah,楊琇惠,五南      ,9789571187020,https://cdn.kingstone.com.tw/book/images/product/20153/2015390162267/2015390162267b.jpg
在宮廷鬼混的騙子【成語故事模擬PISA實戰版】,https://www.kingstone.com.tw//basic/2015232523799?zone=book&lid=book_class3_kah&actid=book_class3_kah,陳淑玲、呂倩如、趙文霙等,五南      ,9789571180618,https://cdn.kingstone.com.tw/book/images/product/20152/2015232523799/2015232523799b.jpg
