書名,書籍網站,作者,出版社,ISBN,圖片網址
翻譯理論：學習與思辨,https://www.kingstone.com.tw//basic/2018110082043?zone=book&lid=book_class3_kai&actid=book_class3_kai,廖佳慧,五南      ,9789571192680,https://cdn.kingstone.com.tw/book/images/product/20181/2018110082043/2018110082043b.jpg
演說的技巧與指導（增訂版）,https://www.kingstone.com.tw//basic/2018110074680?zone=book&lid=book_class3_kai&actid=book_class3_kai,耿志堅,新學林    ,9789862954201,https://cdn.kingstone.com.tw/book/images/product/20181/2018110074680/2018110074680b.jpg
莊子寓言在讀者劇場中的應用,https://www.kingstone.com.tw//basic/2018000014406?zone=book&lid=book_class3_kai&actid=book_class3_kai,林桂楨,秀威資訊  ,9789862215975,https://cdn.kingstone.com.tw/book/images/product/20180/2018000014406/2018000014406b.jpg
輕鬆表達,https://www.kingstone.com.tw//basic/2018110057942?zone=book&lid=book_class3_kai&actid=book_class3_kai,小山香織,中經社    ,9789572951927,https://cdn.kingstone.com.tw/book/images/product/20181/2018110057942/2018110057942b.jpg
輕鬆擁有好口才,https://www.kingstone.com.tw//basic/2018110057362?zone=book&lid=book_class3_kai&actid=book_class3_kai,林素琴,世一文化  ,9789867648372,https://cdn.kingstone.com.tw/book/images/product/20181/2018110057362/2018110057362b.jpg
趣味演說高手：運用幽默故事的演講,https://www.kingstone.com.tw//basic/2018110048667?zone=book&lid=book_class3_kai&actid=book_class3_kai,高尚文,揚智文化  ,9789578180659,https://cdn.kingstone.com.tw/book/images/product/20181/2018110048667/2018110048667b.jpg
如何開金口：如何賺大錢的演說術,https://www.kingstone.com.tw//basic/2018110048797?zone=book&lid=book_class3_kai&actid=book_class3_kai,賈士蘅,揚智文化  ,9789574931590,https://cdn.kingstone.com.tw/book/images/product/20181/2018110048797/2018110048797b.jpg
如何成為名嘴：公益與私利兼具的演說,https://www.kingstone.com.tw//basic/2018110047325?zone=book&lid=book_class3_kai&actid=book_class3_kai,丁文中,揚智文化  ,9789578637825,https://cdn.kingstone.com.tw/book/images/product/20181/2018110047325/2018110047325b.jpg
趣味語言妙用,https://www.kingstone.com.tw//basic/2018110043167?zone=book&lid=book_class3_kai&actid=book_class3_kai,楊志岐,漢欣文化  ,9789576861871,https://cdn.kingstone.com.tw/book/images/product/20181/2018110043167/2018110043167b.jpg
隨機應變即席演講術,https://www.kingstone.com.tw//basic/2018110027761?zone=book&lid=book_class3_kai&actid=book_class3_kai,黃秋興,益群書店  ,9789575522490,https://cdn.kingstone.com.tw/book/images/product/20181/2018110027761/2018110027761b.jpg
演說的技巧與指導,https://www.kingstone.com.tw//basic/2018110067729?zone=book&lid=book_class3_kai&actid=book_class3_kai,耿志堅,新學林    ,9789866225956,https://cdn.kingstone.com.tw/book/images/product/20181/2018110067729/2018110067729b.jpg
大聲說故事,https://www.kingstone.com.tw//basic/2018110063561?zone=book&lid=book_class3_kai&actid=book_class3_kai,白碧華,菁品文化  ,9789866773600,https://cdn.kingstone.com.tw/book/images/product/20181/2018110063561/2018110063561b.jpg
偶來說故事,https://www.kingstone.com.tw//basic/2018110062359?zone=book&lid=book_class3_kai&actid=book_class3_kai,白碧華,菁品文化  ,9789867081971,https://cdn.kingstone.com.tw/book/images/product/20181/2018110062359/2018110062359b.jpg
學生台語演講稿文集(第2輯)+光碟,https://www.kingstone.com.tw//basic/2018110061307?zone=book&lid=book_class3_kai&actid=book_class3_kai,潘春發,旭智      ,9789868240049,https://cdn.kingstone.com.tw/book/images/product/20181/2018110061307/2018110061307b.jpg
改變世界的精采演說,https://www.kingstone.com.tw//basic/2018110061277?zone=book&lid=book_class3_kai&actid=book_class3_kai,編輯部,名鑑      ,9789868241350,https://cdn.kingstone.com.tw/book/images/product/20181/2018110061277/2018110061277b.jpg
口才訓練一級棒,https://www.kingstone.com.tw//basic/2011920445770?zone=book&lid=book_class3_kai&actid=book_class3_kai,楊美貞,新苗文化  ,9789574512027,https://cdn.kingstone.com.tw/book/images/product/20119/2011920445770/2011920445770b.jpg
智慧演說學,https://www.kingstone.com.tw//basic/2018110058994?zone=book&lid=book_class3_kai&actid=book_class3_kai,張廷榮,頂淵文化  ,9789572020838,https://cdn.kingstone.com.tw/book/images/product/20181/2018110058994/2018110058994b.jpg
學生台語演講稿文集,https://www.kingstone.com.tw//basic/2018110058604?zone=book&lid=book_class3_kai&actid=book_class3_kai,潘春發,旭智      ,9789572971963,https://cdn.kingstone.com.tw/book/images/product/20181/2018110058604/2018110058604b.jpg
就是要你好口才,https://www.kingstone.com.tw//basic/2018710017698?zone=book&lid=book_class3_kai&actid=book_class3_kai,莊淇銘,天下文化  ,9789864173518,https://cdn.kingstone.com.tw/book/images/product/20187/2018710017698/2018710017698b.jpg
演說的藝術,https://www.kingstone.com.tw//basic/2018110057522?zone=book&lid=book_class3_kai&actid=book_class3_kai,史蒂芬,麥格羅希爾,9789574939305,https://cdn.kingstone.com.tw/book/images/product/20181/2018110057522/2018110057522b.jpg
你可以說得更好(1),https://www.kingstone.com.tw//basic/2018110056730?zone=book&lid=book_class3_kai&actid=book_class3_kai,陳艾妮,陳艾妮    ,9789867800107,https://cdn.kingstone.com.tw/book/images/product/20181/2018110056730/2018110056730b.jpg
你可以說得更好(2),https://www.kingstone.com.tw//basic/2018110056860?zone=book&lid=book_class3_kai&actid=book_class3_kai,陳艾妮,陳艾妮    ,9789867800114,https://cdn.kingstone.com.tw/book/images/product/20181/2018110056860/2018110056860b.jpg
你可以說得更好(3),https://www.kingstone.com.tw//basic/2018110056990?zone=book&lid=book_class3_kai&actid=book_class3_kai,陳艾妮,陳艾妮    ,9789867800121,https://cdn.kingstone.com.tw/book/images/product/20181/2018110056990/2018110056990b.jpg
