書名,書籍網站,作者,出版社,ISBN,圖片網址
文言文閱讀素養讀這本就對了（共二冊 ）,https://www.kingstone.com.tw//basic/2018020560594?zone=book&lid=book_class3_kaj&actid=book_class3_kaj,高詩佳,五南      ,9789577632319,https://cdn.kingstone.com.tw/book/images/product/20180/2018020560594/2018020560594b.jpg
文言文閱讀素養,https://www.kingstone.com.tw//basic/2018360007285?zone=book&lid=book_class3_kaj&actid=book_class3_kaj,高詩佳,五南      ,9789571179322,https://cdn.kingstone.com.tw/book/images/product/20183/2018360007285/2018360007285b.jpg
文言文制勝攻略－激增大考即戰力關鍵50篇,https://www.kingstone.com.tw//basic/2018350072996?zone=book&lid=book_class3_kaj&actid=book_class3_kaj,遲嘯川,典藏閣    ,9789862718018,https://cdn.kingstone.com.tw/book/images/product/20183/2018350072996/2018350072996b.jpg
筆尖上的成長：名師帶你讀作文  卷二  下冊,https://www.kingstone.com.tw//basic/2015240216577?zone=book&lid=book_class3_kaj&actid=book_class3_kaj,戴慶華、蔣文編著,昌明文化  ,9789869491709,https://cdn.kingstone.com.tw/book/images/product/20152/2015240216577/2015240216577b.jpg
筆尖上的成長：名師帶你讀作文  卷二  上冊,https://www.kingstone.com.tw//basic/2015240216447?zone=book&lid=book_class3_kaj&actid=book_class3_kaj,戴慶華、蔣文編著,昌明文化  ,9789869491198,https://cdn.kingstone.com.tw/book/images/product/20152/2015240216447/2015240216447b.jpg
筆尖上的成長：名師帶你讀作文  卷一  下冊,https://www.kingstone.com.tw//basic/2015240216287?zone=book&lid=book_class3_kaj&actid=book_class3_kaj,李震主編,昌明文化  ,9789869491181,https://cdn.kingstone.com.tw/book/images/product/20152/2015240216287/2015240216287b.jpg
筆尖上的成長：名師帶你讀作文  卷一  中冊,https://www.kingstone.com.tw//basic/2015240216157?zone=book&lid=book_class3_kaj&actid=book_class3_kaj,李震主編,昌明文化  ,9789869491174,https://cdn.kingstone.com.tw/book/images/product/20152/2015240216157/2015240216157b.jpg
筆尖上的成長：名師帶你讀作文  卷一  上冊,https://www.kingstone.com.tw//basic/2015240216737?zone=book&lid=book_class3_kaj&actid=book_class3_kaj,李震主編,昌明文化  ,9789869491167,https://cdn.kingstone.com.tw/book/images/product/20152/2015240216737/2015240216737b.jpg
筆尖上的成長：名師教你寫作文  卷二  上冊,https://www.kingstone.com.tw//basic/2015240216997?zone=book&lid=book_class3_kaj&actid=book_class3_kaj,黃春編著,昌明文化  ,9789869491730,https://cdn.kingstone.com.tw/book/images/product/20152/2015240216997/2015240216997b.jpg
筆尖上的成長：名師教你寫作文  卷一  下冊,https://www.kingstone.com.tw//basic/2015240216607?zone=book&lid=book_class3_kaj&actid=book_class3_kaj,王素敏編著,昌明文化  ,9789869491723,https://cdn.kingstone.com.tw/book/images/product/20152/2015240216607/2015240216607b.jpg
