書名,書籍網站,作者,出版社,ISBN,圖片網址
國寫笨作文：學測實戰篇（全新增訂版）,https://www.kingstone.com.tw//basic/2015240241388?zone=book&lid=book_class3_kak&actid=book_class3_kak,林明進,天下文化  ,9789864796922,https://cdn.kingstone.com.tw/book/images/product/20152/2015240241388/2015240241388b.jpg
中學生小論文寫作完全指導【四版】（20K彩圖）,https://www.kingstone.com.tw//basic/2015240254791?zone=book&lid=book_class3_kak&actid=book_class3_kak,董幸正,深思文化  ,9789860689105,https://cdn.kingstone.com.tw/book/images/product/20152/2015240254791/2015240254791b.jpg
作文描寫大觀（2版）,https://www.kingstone.com.tw//basic/2015233134512?zone=book&lid=book_class3_kak&actid=book_class3_kak,賴慶雄,螢火蟲    ,9789864522439,https://cdn.kingstone.com.tw/book/images/product/20152/2015233134512/2015233134512b.jpg
第一本教你如何寫好學測國寫「知性題」的作文書（第二版）：議題導向的閱讀與寫作,https://www.kingstone.com.tw//basic/2015240243702?zone=book&lid=book_class3_kak&actid=book_class3_kak,陳嘉英,五南      ,9789577637017,https://cdn.kingstone.com.tw/book/images/product/20152/2015240243702/2015240243702b.jpg
越過寫作的山（增訂版）：學測國文寫作全方位操練 跟著名師嚮導，深耕閱讀能力，掌握寫作法門,https://www.kingstone.com.tw//basic/2015240248912?zone=book&lid=book_class3_kak&actid=book_class3_kak,謝佩芬,字畝文化  ,9789865505400,https://cdn.kingstone.com.tw/book/images/product/20152/2015240248912/2015240248912b.jpg
靈光一閃 創意如泉湧,https://www.kingstone.com.tw//basic/2015233152592?zone=book&lid=book_class3_kak&actid=book_class3_kak,第十三屆聯合盃全國作文大賽優勝同學等,聯合報教育,9789869693332,https://cdn.kingstone.com.tw/book/images/product/20152/2015233152592/2015233152592b.jpg
絕對讓你看得懂、寫得好的會考作文 （第三版）,https://www.kingstone.com.tw//basic/2015240238425?zone=book&lid=book_class3_kak&actid=book_class3_kak,齊格飛,五南      ,9789577632517,https://cdn.kingstone.com.tw/book/images/product/20152/2015240238425/2015240238425b.jpg
女王的教室1：國文老師一定要告訴你的終極祕密！,https://www.kingstone.com.tw//basic/2015240214023?zone=book&lid=book_class3_kak&actid=book_class3_kak,陳怡嘉,五南      ,9789571193120,https://cdn.kingstone.com.tw/book/images/product/20152/2015240214023/2015240214023b.jpg
笨作文：國中實戰篇,https://www.kingstone.com.tw//basic/2018110080469?zone=book&lid=book_class3_kak&actid=book_class3_kak,林明進,麥田      ,9789863443902,https://cdn.kingstone.com.tw/book/images/product/20181/2018110080469/2018110080469b.jpg
作文滿級分必備－－文藻語彙、成語大全,https://www.kingstone.com.tw//basic/2018020450826?zone=book&lid=book_class3_kak&actid=book_class3_kak,林慶昭,出色      ,9789865678647,https://cdn.kingstone.com.tw/book/images/product/20180/2018020450826/2018020450826b.jpg
讓學生不想下課的作文課（2版）,https://www.kingstone.com.tw//basic/2015232079081?zone=book&lid=book_class3_kak&actid=book_class3_kak,高詩佳,五南      ,9789571165509,https://cdn.kingstone.com.tw/book/images/product/20152/2015232079081/2015232079081b.jpg
國中模範作文範本,https://www.kingstone.com.tw//basic/2015240101149?zone=book&lid=book_class3_kak&actid=book_class3_kak,張美雯(編),文國書局  ,9789862470596,https://cdn.kingstone.com.tw/book/images/product/20152/2015240101149/2015240101149b.jpg
作文書寫技巧,https://www.kingstone.com.tw//basic/2015233157702?zone=book&lid=book_class3_kak&actid=book_class3_kak,蔡輝振,天空數位  ,9789865575052,https://cdn.kingstone.com.tw/book/images/product/20152/2015233157702/2015233157702b.jpg
不用出門補習，寫好國寫作文不難 （第三版）,https://www.kingstone.com.tw//basic/2015240249834?zone=book&lid=book_class3_kak&actid=book_class3_kak,汪中文、林登順、陳光明,五南      ,9789865223434,https://cdn.kingstone.com.tw/book/images/product/20152/2015240249834/2015240249834b.jpg
多采世界 Fun手寫,https://www.kingstone.com.tw//basic/2015233132358?zone=book&lid=book_class3_kak&actid=book_class3_kak,第十二屆聯合盃全國作文大賽,聯合報教育,9789869693301,https://cdn.kingstone.com.tw/book/images/product/20152/2015233132358/2015233132358b.jpg
