書名,書籍網站,作者,出版社,ISBN,圖片網址
正字典,https://www.kingstone.com.tw//basic/2018030999315?zone=book&lid=book_class3_kaz&actid=book_class3_kaz,吳順忠,花千樹    ,9789888042807,https://cdn.kingstone.com.tw/book/images/product/20180/2018030999315/2018030999315b.jpg
台灣外來語：外國來e台灣話,https://www.kingstone.com.tw//basic/2018030995287?zone=book&lid=book_class3_kaz&actid=book_class3_kaz,李南衡,玉山社    ,9789862942611,https://cdn.kingstone.com.tw/book/images/product/20180/2018030995287/2018030995287b.jpg
長崎唐話唐音研究論集,https://www.kingstone.com.tw//basic/2018030998103?zone=book&lid=book_class3_kaz&actid=book_class3_kaz,林慶勳,萬卷樓    ,9789864783670,https://cdn.kingstone.com.tw/book/images/product/20180/2018030998103/2018030998103b.jpg
我的第一本台灣話－中文、羅馬拼音對照，6天學會說台語（附MP3）,https://www.kingstone.com.tw//basic/2018030990107?zone=book&lid=book_class3_kaz&actid=book_class3_kaz,許明芳,布可屋    ,9789865544003,https://cdn.kingstone.com.tw/book/images/product/20180/2018030990107/2018030990107b.jpg
通志七音略研究,https://www.kingstone.com.tw//basic/2018020559475?zone=book&lid=book_class3_kaz&actid=book_class3_kaz,葉鍵得,萬卷樓    ,9789864780549,https://cdn.kingstone.com.tw/book/images/product/20180/2018020559475/2018020559475b.jpg
實用生活華語不打烊（中級篇）（越南語版）,https://www.kingstone.com.tw//basic/2018020552391?zone=book&lid=book_class3_kaz&actid=book_class3_kaz,楊琇惠,五南      ,9789571196633,https://cdn.kingstone.com.tw/book/images/product/20180/2018020552391/2018020552391b.jpg
上古漢語的詞綴形態及其構詞功能,https://www.kingstone.com.tw//basic/2018020555347?zone=book&lid=book_class3_kaz&actid=book_class3_kaz,丘彥遂 編,中興大學  ,9789860538991,https://cdn.kingstone.com.tw/book/images/product/20180/2018020555347/2018020555347b.jpg
學中文真有趣（中英雙語版）,https://www.kingstone.com.tw//basic/2018020485477?zone=book&lid=book_class3_kaz&actid=book_class3_kaz,鮑家麟,漢世紀數位,9781625033185,https://cdn.kingstone.com.tw/book/images/product/20180/2018020485477/2018020485477b.jpg
語文領域的創思教學,https://www.kingstone.com.tw//basic/2018000029783?zone=book&lid=book_class3_kaz&actid=book_class3_kaz,張春榮,萬卷樓    ,9789577399489,https://cdn.kingstone.com.tw/book/images/product/20180/2018000029783/2018000029783b.jpg
國文課程的古典與創新：感受學習法的理論與實踐,https://www.kingstone.com.tw//basic/2018200312463?zone=book&lid=book_class3_kaz&actid=book_class3_kaz,林靜茉,萬卷樓    ,9789577399496,https://cdn.kingstone.com.tw/book/images/product/20182/2018200312463/2018200312463b.jpg
國語文教學現場的省思,https://www.kingstone.com.tw//basic/2018020470350?zone=book&lid=book_class3_kaz&actid=book_class3_kaz,王基倫,萬卷樓    ,9789577399366,https://cdn.kingstone.com.tw/book/images/product/20180/2018020470350/2018020470350b.jpg
