書名,書籍網站,作者,出版社,ISBN,圖片網址
台語原來是這樣,https://www.kingstone.com.tw//basic/2018030822491?zone=book&lid=book_class3_kba&actid=book_class3_kba,大郎頭,前衛      ,9789578017443,https://cdn.kingstone.com.tw/book/images/product/20180/2018030822491/2018030822491b.jpg
台語原來是這樣2：台南生活的台語日常,https://www.kingstone.com.tw//basic/2018031013676?zone=book&lid=book_class3_kba&actid=book_class3_kba,大郎頭,前衛      ,9789578019522,https://cdn.kingstone.com.tw/book/images/product/20180/2018031013676/2018031013676b.jpg
全民台語認證導論（附CD）,https://www.kingstone.com.tw//basic/2018030668839?zone=book&lid=book_class3_kba&actid=book_class3_kba,國立成功大學,亞細亞    ,9789868541825,https://cdn.kingstone.com.tw/book/images/product/20180/2018030668839/2018030668839b.jpg
我咧唱歌【附台語朗讀QRcode】,https://www.kingstone.com.tw//basic/2018630207865?zone=book&lid=book_class3_kba&actid=book_class3_kba,王秀容,前衛      ,9789578019164,https://cdn.kingstone.com.tw/book/images/product/20186/2018630207865/2018630207865b.jpg
小隱士想beh有一間厝,https://www.kingstone.com.tw//basic/2018030979591?zone=book&lid=book_class3_kba&actid=book_class3_kba,林榮淑,台語傳播  ,9789869723763,https://cdn.kingstone.com.tw/book/images/product/20180/2018030979591/2018030979591b.jpg
閩南語字音字形好好學,https://www.kingstone.com.tw//basic/2018020569382?zone=book&lid=book_class3_kba&actid=book_class3_kba,鄭安住,五南      ,9789577636263,https://cdn.kingstone.com.tw/book/images/product/20180/2018020569382/2018020569382b.jpg
臺語演講三五步,https://www.kingstone.com.tw//basic/2018030961008?zone=book&lid=book_class3_kba&actid=book_class3_kba,劉明新,前衛      ,9789578018815,https://cdn.kingstone.com.tw/book/images/product/20180/2018030961008/2018030961008b.jpg
閩南語歇後語－四句聯,https://www.kingstone.com.tw//basic/2015390163769?zone=book&lid=book_class3_kba&actid=book_class3_kba,SWALO視覺設計中心製作群,南海印刷  ,9789869442046,https://cdn.kingstone.com.tw/book/images/product/20153/2015390163769/2015390163769b.jpg
漢音注音符號系統－閩南語篇,https://www.kingstone.com.tw//basic/2018020573327?zone=book&lid=book_class3_kba&actid=book_class3_kba,鄭煌榮,五南      ,9789577638991,https://cdn.kingstone.com.tw/book/images/product/20180/2018020573327/2018020573327b.jpg
小王子 台語版【附台語朗讀QRcode】,https://www.kingstone.com.tw//basic/2018760193007?zone=book&lid=book_class3_kba&actid=book_class3_kba,Antoine de Saint-Exupéry,前衛      ,9789578019041,https://cdn.kingstone.com.tw/book/images/product/20187/2018760193007/2018760193007b.jpg
