書名,書籍網站,作者,出版社,ISBN,圖片網址
輕鬆讀客語. 世界民間故事篇= Reading Hakka made easy. world folktales in Hakka,https://www.kingstone.com.tw//basic/2018020584606?zone=book&lid=book_class3_kbz&actid=book_class3_kbz,黃瑞循,大陸書店  ,9789867061829,https://cdn.kingstone.com.tw/book/images/product/20180/2018020584606/2018020584606b.jpg
我的第一本廣東話單字：羅馬拼音對照，會ABC就能說粵語（附MP3）,https://www.kingstone.com.tw//basic/2018020580318?zone=book&lid=book_class3_kbz&actid=book_class3_kbz,何美玲,布可屋    ,9789865544072,https://cdn.kingstone.com.tw/book/images/product/20180/2018020580318/2018020580318b.jpg
英粵通語Cantonese for everyone：香港大學粵語教材（一九三一）（POD）,https://www.kingstone.com.tw//basic/2018070009425?zone=book&lid=book_class3_kbz&actid=book_class3_kbz,H. R. Wells,心一堂香港,9789888583720,https://cdn.kingstone.com.tw/book/images/product/20180/2018070009425/2018070009425b.jpg
百年客諺客英解讀,https://www.kingstone.com.tw//basic/2018020582862?zone=book&lid=book_class3_kbz&actid=book_class3_kbz,彭欽清、黃菊芳,遠流      ,9789865659356,https://cdn.kingstone.com.tw/book/images/product/20180/2018020582862/2018020582862b.jpg
客家生趣話1000則（第二冊）：先人的智慧．俚諺語生趣話,https://www.kingstone.com.tw//basic/2015390168689?zone=book&lid=book_class3_kbz&actid=book_class3_kbz,傅新明,五南      ,9789577639219,https://cdn.kingstone.com.tw/book/images/product/20153/2015390168689/2015390168689b.jpg
藏文楷書臨摹字帖：以藏文三十字母組合為導向,https://www.kingstone.com.tw//basic/2018020575581?zone=book&lid=book_class3_kbz&actid=book_class3_kbz,義喜拉姆,聖地文化  ,9789869724913,https://cdn.kingstone.com.tw/book/images/product/20180/2018020575581/2018020575581b.jpg
第一次學廣東話，超簡單,https://www.kingstone.com.tw//basic/2018020568620?zone=book&lid=book_class3_kbz&actid=book_class3_kbz,施銘瑋,布可屋    ,9789579579674,https://cdn.kingstone.com.tw/book/images/product/20180/2018020568620/2018020568620b.jpg
我的第一本廣東話：羅馬拼音對照，馬上和廣東人聊得來（最新圖解附中文、廣東話朗讀MP3）,https://www.kingstone.com.tw//basic/2018052865957?zone=book&lid=book_class3_kbz&actid=book_class3_kbz,施銘瑋、何美玲,哈福企業  ,9789869742573,https://cdn.kingstone.com.tw/book/images/product/20180/2018052865957/2018052865957b.jpg
僑旅錦囊（一九一八）附〈華英譯音巫語指南〉,https://www.kingstone.com.tw//basic/2018070007841?zone=book&lid=book_class3_kbz&actid=book_class3_kbz,盧少卿（餘恨）編著,心一堂香港,9789888582648,https://cdn.kingstone.com.tw/book/images/product/20180/2018070007841/2018070007841b.jpg
分類通行廣州話（一九二五）,https://www.kingstone.com.tw//basic/2018030947866?zone=book&lid=book_class3_kbz&actid=book_class3_kbz,譚季強,心一堂香港,9789888582327,https://cdn.kingstone.com.tw/book/images/product/20180/2018030947866/2018030947866b.jpg
廣州話指南（光緒版）,https://www.kingstone.com.tw//basic/2018030945992?zone=book&lid=book_class3_kbz&actid=book_class3_kbz,禪山,心一堂香港,9789888582143,https://cdn.kingstone.com.tw/book/images/product/20180/2018030945992/2018030945992b.jpg
松陽方言攷（附：古音鱗爪）,https://www.kingstone.com.tw//basic/2018020557761?zone=book&lid=book_class3_kbz&actid=book_class3_kbz,葉夢麟,台灣中華  ,9789574328703,https://cdn.kingstone.com.tw/book/images/product/20180/2018020557761/2018020557761b.jpg
